Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHI,
638,0.0293245,0,0,0,0,0.0431686,0,0,0,0,0,0,0.034389,0,0.0190616,0.079715,0,0,0.0230251,0,0,0.0407272,0.0713873,0.0251401,0.0136426,0.0164832,0.0260517,0.0354612,0.0272497,0.0387081,0.0479787,0.0297459,0.0106674,0.0114338,0.0232528,0.0264114,0.0169389,0.00943756,0.0330845,0.0237409,0.0472239,0,0.0118233,0.0620064,0.0340009,0,0,0.0181073,0,0,0.0471675,0.0591284,0.0336753,0.0296056,0.0198201,0.0505591,0.0375126,0.0526179,0.0558041,0.0278651,0.0578116,0.0377213,0.0433,0.0753273,0.0177371,0.0163412,0.0279519,0.0226227,0.0228339,0.0238467,0.0269098,0
639,0.0293072,0,0,0,0,0.0431755,0,0,0,0,0,0,0.0346493,0,0.0189834,0.0797051,0,0,0.0229554,0,0,0.0407406,0.0714643,0.0257073,0.0137102,0.0164356,0.0259359,0.0353275,0.0272671,0.0388102,0.0479592,0.0297812,0.010655,0.0114325,0.0230279,0.0262538,0.0173025,0.00946905,0.0331395,0.0237083,0.0474065,0,0.0118943,0.0621395,0.0339951,0,0,0.018049,0,0,0.047188,0.058949,0.0334559,0.0297946,0.0199112,0.0504518,0.0374466,0.0524494,0.0558232,0.0278737,0.0578713,0.0377718,0.0433482,0.0753617,0.0178863,0.0163484,0.0280182,0.0225954,0.0228489,0.0238141,0.0269365,0
640,0.0292718,0,0,0,0,0.0432018,0,0,0,0,0,0,0.0347153,0,0.0189196,0.0797166,0,0,0.0228787,0,0,0.0407582,0.0715292,0.0259548,0.013772,0.0163884,0.0258919,0.0352124,0.0272857,0.0388953,0.0479611,0.0297688,0.0106333,0.0114362,0.0229566,0.0261996,0.0175033,0.0094961,0.0331694,0.023687,0.0475054,0,0.0120278,0.0622857,0.0340086,0,0,0.0179813,0,0,0.0472108,0.0588102,0.0332349,0.0299863,0.0199746,0.05036,0.0373945,0.0523437,0.0558148,0.027846,0.0578719,0.0377839,0.0433611,0.0754207,0.0179935,0.0163303,0.0280618,0.0225613,0.0229069,0.0237419,0.0269629,0
641,0.0292531,0,0,0,0,0.0432037,0,0,0,0,0,0,0.0346627,0,0.0188357,0.079697,0,0,0.0228076,0,0,0.0408113,0.0715759,0.0259124,0.0138185,0.0163541,0.0258976,0.0350616,0.0272037,0.0389108,0.047978,0.0297339,0.0106295,0.0114234,0.0230386,0.0262712,0.0174766,0.00953447,0.033211,0.0236371,0.047627,0,0.012174,0.0624531,0.0339968,0,0,0.0179341,0,0,0.0472302,0.0587097,0.0330342,0.0301274,0.0200637,0.0502682,0.0373242,0.0522952,0.0557531,0.0277988,0.057855,0.0377713,0.0433888,0.0754653,0.0181111,0.016329,0.0280777,0.0225495,0.0229294,0.023691,0.0269658,0
642,0.0292637,0,0,0,0,0.043208,0,0,0,0,0,0,0.0346295,0,0.0187302,0.0796313,0,0,0.0227491,0,0,0.0409005,0.0716002,0.0257679,0.0138529,0.0162925,0.0258887,0.0349124,0.0270581,0.0388624,0.0479976,0.0296956,0.0106527,0.0114051,0.0231721,0.026376,0.0173469,0.00959408,0.033261,0.0235526,0.0478157,0,0.0122966,0.0625769,0.0340007,0,0,0.0178704,0,0,0.047269,0.0586314,0.0328841,0.0302136,0.0201455,0.0501869,0.0372038,0.0522456,0.055728,0.0277492,0.0578599,0.0377231,0.0433995,0.0755363,0.0182362,0.0163064,0.0280839,0.0225597,0.0229262,0.0236486,0.0269419,0
643,0.0292851,0,0,0,0,0.0431938,0,0,0,0,0,0,0.0346729,0,0.0187089,0.0795573,0,0,0.0226432,0,0,0.0409426,0.0716325,0.0257298,0.0138701,0.0162116,0.025855,0.0347522,0.0270236,0.038894,0.0479795,0.0296211,0.0106666,0.0114443,0.0232743,0.0264214,0.0174468,0.00962137,0.0332108,0.0234682,0.0479736,0,0.0123727,0.0625828,0.0340101,0,0,0.0177977,0,0,0.0473347,0.0585646,0.0327198,0.0302682,0.0202064,0.0500903,0.0371364,0.0522552,0.0556737,0.0276915,0.0578638,0.0376381,0.0433842,0.0756215,0.0183064,0.0162554,0.0280852,0.0225384,0.0229223,0.0236137,0.0269384,0
644,0.0292923,0,0,0,0,0.0431958,0,0,0,0,0,0,0.0348448,0,0.0186455,0.0794877,0,0,0.0224879,0,0,0.0409918,0.0716826,0.0259078,0.0138974,0.0162036,0.0257482,0.0346046,0.0270224,0.0390085,0.047951,0.0295388,0.0106597,0.011509,0.0232535,0.02638,0.0175605,0.00952667,0.0331863,0.0234083,0.0480737,0,0.0124353,0.0626254,0.0340142,0,0,0.0178247,0,0,0.0473712,0.0585075,0.0325347,0.0303234,0.0202553,0.0499765,0.0370996,0.0522727,0.0555921,0.0276267,0.0577979,0.037542,0.0433382,0.0756023,0.0183683,0.0162307,0.0280311,0.0224909,0.0229174,0.0236071,0.0269607,0
645,0.0293191,0,0,0,0,0.0432106,0,0,0,0,0,0,0.0349941,0,0.0186768,0.0794586,0,0,0.0223342,0,0,0.0410551,0.071701,0.0259909,0.0139183,0.0162223,0.0256938,0.0344511,0.027139,0.0390233,0.0479366,0.0294701,0.0106463,0.0115641,0.0232348,0.0263457,0.0175049,0.00947452,0.0331892,0.0233595,0.0483159,0,0.0125378,0.0627473,0.0340283,0,0,0.0178166,0,0,0.0473659,0.0584184,0.0324253,0.0303823,0.0202265,0.0499123,0.0371098,0.0521007,0.0556281,0.0276248,0.0577868,0.0374709,0.043331,0.0756464,0.018507,0.0162565,0.0278414,0.0224499,0.0228814,0.0235981,0.0269851,0
646,0.0293529,0,0,0,0,0.0432146,0,0,0,0,0,0,0.0351765,0,0.0186591,0.0794433,0,0,0.0221762,0,0,0.041178,0.0717156,0.0261055,0.0139751,0.0161966,0.0256641,0.0342922,0.0272418,0.038994,0.0479275,0.0294127,0.0106232,0.0115674,0.0231982,0.0262895,0.0173684,0.00947942,0.0332369,0.0232634,0.0485992,0,0.0126733,0.0629777,0.0340066,0,0,0.0177077,0,0,0.0473585,0.0583379,0.0322993,0.030433,0.0202679,0.0498887,0.0370744,0.0520299,0.0557996,0.027656,0.057896,0.0374487,0.0433857,0.0756864,0.0186659,0.0162772,0.0275839,0.0223987,0.022838,0.0235836,0.0269816,0
647,0.0293592,0,0,0,0,0.0432304,0,0,0,0,0,0,0.0353638,0,0.0186237,0.0794578,0,0,0.0220229,0,0,0.0413213,0.07176,0.0262333,0.0140721,0.0161195,0.025574,0.0341471,0.0272761,0.0389638,0.0478924,0.0293504,0.0105731,0.0115643,0.0231293,0.0262561,0.0172731,0.00951515,0.0333175,0.023154,0.048724,0,0.0128122,0.0630905,0.0339641,0,0,0.0175876,0,0,0.047352,0.0582721,0.0321809,0.030471,0.0203284,0.0498347,0.0369589,0.0521285,0.0557595,0.0276861,0.0579642,0.0374338,0.0434847,0.0757395,0.0187607,0.0163386,0.0273418,0.0222983,0.0227943,0.023554,0.0269436,0
648,0.0295795,0,0,0,0,0.0436337,0,0,0,0,0,0,0.0309186,0,0.0199848,0.0797786,0,0,0.020618,0,0,0.0419961,0.0716491,0.019566,0.0146578,0.0155275,0.0251013,0.0344907,0.0271983,0.0388393,0.0478587,0.0295541,0.0119152,0.0128231,0.0271484,0.0296308,0.0155769,0.0103314,0.0326948,0.0233703,0.0433758,0,0.0102994,0.0633348,0.0335268,0,0,0.0172956,0,0,0.0475029,0.0589148,0.0332717,0.0299329,0.0204165,0.0485805,0.0367071,0.0512602,0.0561542,0.0289059,0.0585148,0.0361156,0.0443724,0.0767233,0.0145939,0.0163264,0.0261688,0.0229418,0.0230424,0.023436,0.0261319,0
649,0.029559,0,0,0,0,0.0436086,0,0,0,0,0,0,0.0309224,0,0.0199949,0.0797384,0,0,0.0205046,0,0,0.0421122,0.0717185,0.0194747,0.0146538,0.015482,0.0251733,0.0343174,0.0270744,0.0386176,0.0478116,0.029595,0.0120119,0.0129425,0.0272938,0.0297959,0.0155169,0.0103462,0.0327959,0.0232585,0.0434859,0,0.0104178,0.0633428,0.0334246,0,0,0.0172422,0,0,0.0475002,0.0588805,0.0330959,0.0299684,0.0203785,0.0485964,0.0365868,0.0510543,0.0561679,0.0290449,0.0584831,0.0360902,0.0443408,0.0767746,0.0148465,0.0165465,0.0260955,0.0228313,0.0229797,0.0234941,0.0261286,0
650,0.0295181,0,0,0,0,0.043683,0,0,0,0,0,0,0.031048,0,0.0199254,0.0797799,0,0,0.0203029,0,0,0.0422249,0.0717743,0.0195083,0.0147492,0.015504,0.0251452,0.0341436,0.0270577,0.0385111,0.0477506,0.0295861,0.0120496,0.0129743,0.0273413,0.0298328,0.015401,0.0103589,0.0328131,0.0231612,0.043591,0,0.0105154,0.0633955,0.0333641,0,0,0.017043,0,0,0.0475875,0.0588253,0.03301,0.030002,0.0204185,0.0485044,0.0364229,0.050983,0.0561895,0.0290632,0.0584861,0.0360897,0.044332,0.0768044,0.0148472,0.0166997,0.0260187,0.0226251,0.0230136,0.0234802,0.0261994,0
651,0.0295031,0,0,0,0,0.0437571,0,0,0,0,0,0,0.0311597,0,0.0198669,0.079813,0,0,0.0200946,0,0,0.0423022,0.0718241,0.0195689,0.0148474,0.0155134,0.0250598,0.0338976,0.026995,0.0384502,0.0476963,0.0295705,0.0120839,0.013022,0.0273769,0.0298848,0.0153057,0.0103529,0.0328116,0.0230778,0.043623,0,0.0105517,0.0634249,0.0333101,0,0,0.0167919,0,0,0.0476955,0.0587884,0.0328849,0.0300318,0.0204739,0.0483882,0.0362931,0.051028,0.0561894,0.0290339,0.0585156,0.0360932,0.0443375,0.0768483,0.0148419,0.0169042,0.0258705,0.0224214,0.0230738,0.0234213,0.0262215,0
652,0.0295037,0,0,0,0,0.0438501,0,0,0,0,0,0,0.0312941,0,0.0198202,0.0798086,0,0,0.0199005,0,0,0.0423989,0.0718629,0.0196683,0.014914,0.0154991,0.024917,0.0336024,0.0268536,0.0383884,0.0476775,0.029565,0.0121482,0.0130891,0.027405,0.0299313,0.0151835,0.0103836,0.0328353,0.0229407,0.0436313,0,0.0105971,0.063449,0.0332871,0,0,0.016715,0,0,0.0478219,0.0587459,0.0327741,0.0300568,0.0205428,0.0482486,0.0362032,0.0511003,0.0561769,0.0289924,0.0585368,0.0360831,0.0443341,0.0768753,0.0148317,0.0171487,0.0257258,0.0222109,0.023153,0.0233166,0.026223,0
653,0.029495,0,0,0,0,0.0439541,0,0,0,0,0,0,0.0314038,0,0.019781,0.0798301,0,0,0.0196951,0,0,0.0424188,0.0719117,0.019725,0.0149733,0.0154859,0.0248503,0.0333182,0.0266349,0.0383055,0.0476638,0.0295651,0.0122414,0.0131677,0.027429,0.0299732,0.0150769,0.0103755,0.0327376,0.0228303,0.0436235,0,0.0106245,0.0634773,0.0332765,0,0,0.0167329,0,0,0.0479131,0.0586928,0.0326975,0.0300693,0.0205856,0.0481622,0.0361005,0.0510308,0.0561703,0.0289886,0.05854,0.0360795,0.0443258,0.0768799,0.0148397,0.0173625,0.0256215,0.0220231,0.0232221,0.0232489,0.0262066,0
654,0.0294769,0,0,0,0,0.0440781,0,0,0,0,0,0,0.031563,0,0.0197066,0.0798561,0,0,0.0194676,0,0,0.0424155,0.0719438,0.0198047,0.0150442,0.0154239,0.0247757,0.0330776,0.0265123,0.0382116,0.0476314,0.0295335,0.012302,0.0132281,0.0274525,0.0299707,0.0149397,0.0103986,0.0325162,0.0226467,0.0435828,0,0.0106474,0.0635256,0.0332491,0,0,0.0165075,0,0,0.0479079,0.05867,0.0326133,0.0300788,0.0206039,0.048099,0.0359669,0.0510419,0.0560887,0.0289691,0.0585522,0.0360854,0.0443764,0.0768887,0.0148198,0.0174677,0.0254569,0.0219155,0.0232807,0.0232023,0.0262271,0
