Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,RTHIA,RWRB,L5FT,LTOE,
177,0.0302851,0,0,0,0,0.0486193,0,0,0,0,0,0,0,0,0.0679344,0,0,0.0174173,0,0,0.0340278,0.0710737,0.0215184,0.00623453,0.0194748,0.0324218,0.0355076,0.0472367,0.0548058,0.0365591,0.0103118,0.0135433,0.0309067,0.0295812,0.0164244,0.00876195,0.0168003,0.0406376,0,0.0170657,0.0711528,0.0359985,0,0,0.0153957,0,0,0.0419577,0.0506059,0.0335404,0.0330869,0.0173283,0.0491509,0.0373001,0.0324584,0.0574445,0.0211786,0.05463,0.0323656,0.0408477,0.0744749,0.0158057,0.0211055,0.0071845,0.0302227,0.0201993,0.0586237,0.0253688,0.0235356,0.020828,0
178,0.0301484,0,0,0,0,0.0487601,0,0,0,0,0,0,0,0,0.0680578,0,0,0.0177619,0,0,0.0340475,0.0710173,0.0220252,0.00650347,0.0195106,0.0323353,0.0360689,0.0473333,0.0549068,0.0370306,0.0103547,0.0136532,0.0307663,0.029566,0.0165058,0.00893514,0.0165327,0.0407684,0,0.0170592,0.0710657,0.0355317,0,0,0.0153843,0,0,0.0420075,0.0506459,0.0334858,0.0333532,0.0173347,0.0494584,0.0374393,0.0324911,0.0574215,0.0211732,0.0546401,0.032388,0.0406886,0.0744809,0.0158104,0.021649,0.00729328,0.0303341,0.0203935,0.0586096,0.0252952,0.0229496,0.021626,0
179,0.0299452,0,0,0,0,0.0488328,0,0,0,0,0,0,0,0,0.0682381,0,0,0.0178886,0,0,0.0342627,0.0709271,0.0224124,0.00682472,0.0195943,0.0322612,0.0367747,0.0474963,0.0549277,0.0372844,0.0104021,0.0137813,0.030537,0.0295516,0.0165977,0.00920511,0.0161226,0.0406626,0,0.0170904,0.0707003,0.035017,0,0,0.0156078,0,0,0.0419875,0.0507558,0.0335375,0.0338559,0.0172398,0.0497762,0.0375689,0.0332124,0.0574345,0.0212685,0.0546306,0.0323505,0.0405298,0.0744473,0.0157533,0.0218557,0.00738019,0.0303902,0.0206516,0.0586167,0.0251122,0.0225842,0.0224427,0
180,0.0302906,0,0,0,0,0.0491366,0,0,0,0,0,0,0,0,0.068359,0,0,0.017426,0,0,0.0346592,0.0707059,0.022477,0.00745263,0.019617,0.0317074,0.0367031,0.0480429,0.0551156,0.0372834,0.0104184,0.0140654,0.0304735,0.0295951,0.0172086,0.00957432,0.0155908,0.0415923,0,0.0171726,0.0713966,0.0350808,0,0,0.0160646,0,0,0.0416753,0.0491784,0.0338752,0.0364212,0.0181349,0.0511995,0.0373604,0,0.0561239,0.0193577,0.0538465,0.0317819,0.039976,0.0741493,0.0164255,0.0219467,0.00726442,0.0309232,0.0202083,0.0599447,0.0249641,0.0221874,0.0232451,0
181,0.029631,0,0,0,0,0.0489122,0,0,0,0,0,0,0,0,0.0684976,0,0,0.017019,0,0,0.0346502,0.0706423,0.0214148,0.00728414,0.0196166,0.0319969,0.0383905,0.0478284,0.0550465,0.0371474,0.010527,0.0143358,0.0304586,0.0295673,0.0170461,0.00943243,0.0161073,0.0403087,0,0.0172829,0.07047,0.034166,0,0,0.0163845,0,0,0.0413998,0.0511683,0.0337635,0.0347431,0.0169956,0.0505784,0.0371744,0.0334254,0.0572474,0.0213178,0.0544695,0.0324349,0.040556,0.0742821,0.0156731,0.0213455,0.00723294,0.0305262,0.0212762,0.0587194,0.0249643,0.0234262,0.0221004,0
182,0.0295019,0,0,0,0,0.0489325,0,0,0,0,0,0,0,0,0.0689356,0,0,0.0164754,0,0,0.0348137,0.070429,0.0205851,0.00742604,0.0198321,0.0318764,0.0393639,0.0475578,0.054988,0.0367597,0.0106739,0.0148544,0.030432,0.0294888,0.0172452,0.00935196,0.0164221,0.040294,0,0.0172417,0.070489,0.0338715,0,0,0.0166699,0,0,0.0411064,0.0513541,0.0338872,0.0348568,0.0167678,0.0509247,0.0366974,0.0334336,0.0571573,0.0214921,0.0544139,0.0325393,0.0402384,0.0741894,0.0156796,0.0210045,0.00715476,0.030653,0.0216469,0.058644,0.0247288,0.0243675,0.0208015,0
183,0.0293248,0,0,0,0,0.0488905,0,0,0,0,0,0,0,0,0.0694156,0,0,0.0159373,0,0,0.0348454,0.0702306,0.0199299,0.00765509,0.0199311,0.031753,0.0403362,0.0471249,0.0548308,0.036324,0.0106615,0.0151054,0.0302773,0.0292429,0.0174755,0.0092686,0.0167284,0.0399833,0,0.0173159,0.0703578,0.0336711,0,0,0.0168585,0,0,0.0407814,0.0511112,0.03413,0.0350056,0.016473,0.0512842,0.03598,0.0335723,0.057143,0.0216874,0.0543198,0.032578,0.0400059,0.0740112,0.0156492,0.0208278,0.00705441,0.0307367,0.0220419,0.0585088,0.0244764,0.0253403,0.0194264,0
184,0.0291466,0,0,0,0,0.0487985,0,0,0,0,0,0,0,0,0.069824,0,0,0.0155654,0,0,0.0347648,0.0701162,0.0192205,0.00794271,0.0198456,0.0315643,0.0412161,0.0466016,0.0545785,0.0358358,0.0103979,0.014672,0.0300946,0.0289257,0.0177742,0.00917085,0.0170069,0.0396499,0,0.0174012,0.0701693,0.0335687,0,0,0.0169694,0,0,0.0406764,0.0509606,0.0344021,0.0352595,0.0162505,0.0516524,0.0352056,0.0337689,0.057063,0.0217886,0.0542579,0.0326536,0.0399752,0.0739185,0.0156462,0.0209281,0.00702572,0.0306967,0.0224105,0.0584816,0.0242594,0.0260807,0.0185965,0
185,0.0290153,0,0,0,0,0.0486549,0,0,0,0,0,0,0,0,0.0701831,0,0,0.0153619,0,0,0.0345044,0.0701533,0.0184394,0.00829622,0.0195453,0.031359,0.0418703,0.0459184,0.0541889,0.0352307,0.00991776,0.0135787,0.0295633,0.0284842,0.0180502,0.00885459,0.0173906,0.0393381,0,0.0174556,0.0700456,0.0335165,0,0,0.0170135,0,0,0.0408926,0.0509033,0.0346599,0.0355157,0.0161142,0.0519725,0.0344469,0.0338962,0.0569435,0.0217836,0.0542092,0.0327448,0.039972,0.0739443,0.015647,0.0211821,0.00707456,0.0305177,0.0227662,0.0585471,0.0239475,0.026238,0.0183244,0
186,0.0288957,0,0,0,0,0.0484545,0,0,0,0,0,0,0,0,0.0704756,0,0,0.0152956,0,0,0.0343353,0.0703733,0.017756,0.0087092,0.0190323,0.0311155,0.0422846,0.0451719,0.053682,0.0344913,0.00942267,0.0123997,0.0288297,0.0279699,0.0180885,0.00875137,0.0176721,0.0389376,0,0.0175268,0.0699628,0.033506,0,0,0.0170155,0,0,0.0409523,0.0508833,0.0349461,0.0356974,0.0160383,0.0522073,0.0337819,0.0339591,0.0568284,0.0217461,0.0541581,0.0327682,0.039846,0.0740105,0.0156857,0.021436,0.00712245,0.0301853,0.0230853,0.0586773,0.0236677,0.0260789,0.0183341,0
187,0.0287744,0,0,0,0,0.0483065,0,0,0,0,0,0,0,0,0.0706669,0,0,0.0152341,0,0,0.034178,0.0707363,0.0172164,0.00912758,0.0185018,0.030813,0.042408,0.0445473,0.0531819,0.0337317,0.00894036,0.011554,0.028369,0.0275945,0.0179919,0.0085938,0.0180009,0.0384482,0,0.0176216,0.0698518,0.0335502,0,0,0.0169444,0,0,0.0408747,0.0508495,0.0352371,0.0357973,0.0159894,0.052353,0.0333741,0.0339497,0.0567593,0.0216282,0.0540738,0.0327228,0.0397361,0.0738282,0.0158021,0.0219731,0.00715495,0.0297531,0.0233404,0.0587977,0.0235736,0.025933,0.0183842,0
188,0.0286866,0,0,0,0,0.0482494,0,0,0,0,0,0,0,0,0.0708607,0,0,0.0154424,0,0,0.0340817,0.071105,0.0169471,0.00951323,0.0181845,0.0304628,0.042298,0.0441001,0.0528065,0.0330798,0.00869313,0.0112228,0.0282514,0.0275034,0.0178238,0.00846741,0.0180961,0.0379872,0,0.0177107,0.0697533,0.0336607,0,0,0.0167867,0,0,0.040874,0.0507946,0.0355276,0.0358215,0.0160286,0.0523447,0.0331209,0.0340948,0.0567289,0.0214836,0.0539991,0.0326564,0.0396554,0.0736836,0.0159528,0.022406,0.0073493,0.0293149,0.0235701,0.0589043,0.0234934,0.0258764,0.0184112,0
189,0.0282204,0,0,0,0,0.0480628,0,0,0,0,0,0,0,0,0.0706538,0,0,0.0154994,0,0,0.0341015,0.0712666,0.0167984,0.00892827,0.0178467,0.0306279,0.0428106,0.0439203,0.0524195,0.0321712,0.00873566,0.0113757,0.0282666,0.0275821,0.0174639,0.00854359,0.0185902,0.0419509,0,0.0181842,0.068764,0.0334435,0,0,0.0167495,0,0,0.0409604,0.0514626,0.0344917,0.0337519,0.0165489,0.0517958,0.033062,0.033737,0.0560243,0.0211978,0.0549733,0,0.0404254,0.0739683,0.0151611,0.0223877,0.00725925,0.0288498,0.0243485,0.0583546,0.0234565,0.0258793,0.0184203,0
190,0.0286836,0,0,0,0,0.0483705,0,0,0,0,0,0,0,0,0.071023,0,0,0.0162393,0,0,0.0339034,0.0715072,0.0170764,0.00981967,0.0180008,0.0300343,0.0420434,0.0439173,0.0524318,0.0322687,0.0090821,0.01202,0.0285042,0.0278643,0.0173749,0.00858006,0.0178587,0.0371106,0,0.0178479,0.0695788,0.0339531,0,0,0.0165012,0,0,0.0410301,0.0506497,0.0359943,0.0356707,0.0162055,0.0521332,0.0329815,0.0342424,0.0567068,0.0211014,0.0539355,0.0325672,0.0396903,0.0734891,0.0162606,0.0225583,0.00737041,0.0291498,0.0240097,0.059026,0.0233904,0.0263204,0.0178851,0
191,0.0287038,0,0,0,0,0.0484361,0,0,0,0,0,0,0,0,0.0710108,0,0,0.0161616,0,0,0.0340597,0.0714977,0.0173372,0.00979809,0.0179524,0.0299931,0.0418391,0.0441178,0.0523992,0.0321286,0.0094499,0.0127255,0.0288202,0.0281596,0.0173674,0.00888654,0.0178815,0.0366453,0,0.0178682,0.0694499,0.0341069,0,0,0.0164515,0,0,0.0411514,0.0505072,0.0361464,0.0355923,0.0162616,0.052082,0.0330401,0.034173,0.0566964,0.020907,0.0539179,0.0325828,0.0397154,0.0734921,0.0164391,0.0224373,0.00725136,0.0292011,0.0241905,0.0590378,0.0235994,0.0267876,0.0173803,0
192,0.0287461,0,0,0,0,0.0484584,0,0,0,0,0,0,0,0,0.0710754,0,0,0.0161049,0,0,0.0340167,0.0714178,0.0177147,0.00980802,0.0182421,0.029996,0.0416907,0.0443058,0.0524497,0.0320453,0.00984356,0.0133799,0.0291507,0.028438,0.0173675,0.00897392,0.0178633,0.0361844,0,0.0178696,0.0692857,0.0342317,0,0,0.0163358,0,0,0.0412306,0.0503765,0.0362498,0.0354969,0.0162279,0.0519754,0.0331057,0.0342215,0.0567092,0.0208253,0.0539513,0.0325609,0.0396571,0.0735034,0.0166489,0.0222823,0.00724235,0.0293594,0.0243042,0.059163,0.0241586,0.0270306,0.0171074,0
