Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,RTHIA,RWRB,L5FT,LTOE,
9,0.0410373,0,0,0,0,0.0423177,0,0,0,0,0,0,0,0.0157711,0.0684784,0,0,0.020457,0,0,0.0396131,0.0712637,0.0230538,0.00191086,0.0156299,0.0392771,0.0233662,0.0444122,0.0529023,0.0344754,0.00994134,0.0130618,0.023078,0.0256601,0.0165474,0.0310522,0.0184976,0.0419908,0,0.0200667,0.069591,0.0426926,0,0,0.0260678,0,0,0.0463934,0.0463008,0.0428212,0.0310092,0.0152287,0.0496302,0.0386233,0.0354279,0.0573788,0.0211933,0.0488989,0.0301789,0.0353864,0.0691662,0.01914,0.0112872,0.0234366,0.0253004,0.0145892,0,0,0,0,0
10,0.0410275,0,0,0,0,0.0422772,0,0,0,0,0,0,0,0.0157841,0.0683891,0,0,0.0204164,0,0,0.039566,0.0712598,0.0229,0.00192683,0.0156642,0.0395017,0.0235596,0.0443519,0.0529426,0.0345727,0.0099479,0.0130824,0.0231171,0.0256815,0.0165178,0.0309458,0.0184966,0.0421876,0,0.0200957,0.0695384,0.0427032,0,0,0.0259545,0,0,0.0463454,0.0462479,0.0428759,0.0310345,0.0151981,0.0498153,0.0386017,0.035468,0.0572903,0.0212445,0.0489332,0.0301368,0.035449,0.0691983,0.0191292,0.0114816,0.0233929,0.0252111,0.0147886,0,0,0,0,0
11,0.0410152,0,0,0,0,0.042242,0,0,0,0,0,0,0,0.0158248,0.0683486,0,0,0.0203872,0,0,0.0395345,0.0712263,0.0227276,0.00191514,0.0155103,0.0397575,0.0237639,0.0443875,0.0530177,0.0347657,0.010006,0.0131778,0.0232072,0.0257159,0.0164402,0.0307944,0.0184491,0.0424448,0,0.0201109,0.0694311,0.0427068,0,0,0.0258482,0,0,0.0463117,0.0461946,0.0429499,0.0310869,0.015154,0.0500186,0.0385912,0.0355108,0.0572104,0.0212862,0.0489311,0.0300783,0.0355467,0.0692018,0.0191277,0.0114816,0.0233499,0.0251492,0.0150222,0,0,0,0,0
12,0.0410145,0,0,0,0,0.042226,0,0,0,0,0,0,0,0.015916,0.0683269,0,0,0.0203663,0,0,0.0395029,0.0711426,0.022798,0.00188172,0.01536,0.0400204,0.0239702,0.0444833,0.0531251,0.0349404,0.0100007,0.0131571,0.0232262,0.0257348,0.0164015,0.0305882,0.0183482,0.0427945,0,0.0201468,0.0693394,0.0427109,0,0,0.0257351,0,0,0.0462712,0.0461206,0.0430651,0.0311525,0.0151094,0.0502421,0.0386553,0.0355524,0.0571375,0.0212517,0.0488928,0.030028,0.0358717,0.0691605,0.0191304,0.0113889,0.0232975,0.0251288,0.0152861,0,0,0,0,0
13,0.0410044,0,0,0,0,0.0422781,0,0,0,0,0,0,0,0.0159803,0.0682699,0,0,0.020313,0,0,0.0394684,0.0710553,0.0229091,0.00192181,0.0156201,0.0403105,0.0242282,0.0445393,0.0531753,0.035042,0.0100498,0.0130668,0.0232536,0.0257888,0.0163659,0.0303854,0.0182166,0.0431886,0,0.0202143,0.0693227,0.0426973,0,0,0.0257327,0,0,0.0461871,0.0460168,0.0432214,0.0312462,0.0150931,0.0505162,0.038748,0.0356797,0.0570779,0.0211565,0.0488774,0.0299807,0.0363921,0.0691077,0.0191358,0.0116812,0.0232432,0.0251359,0.015531,0,0,0,0,0
14,0.0409917,0,0,0,0,0.0423136,0,0,0,0,0,0,0,0.016039,0.0681861,0,0,0.0202421,0,0,0.0394482,0.070974,0.0228538,0.0019545,0.0159323,0.0406144,0.0245115,0.0444898,0.0531846,0.0351506,0.0100463,0.0129165,0.0232471,0.0258286,0.0163168,0.0301396,0.0180643,0.0432798,0,0.0202488,0.0693035,0.0426966,0,0,0.0257621,0,0,0.0461679,0.0459582,0.0432619,0.0313488,0.0150462,0.050789,0.0388005,0.0358441,0.0570002,0.0211136,0.0489331,0.0298462,0.0359994,0.0691601,0.0191273,0.0119405,0.0232073,0.0251398,0.0157308,0,0,0,0,0
15,0.0410365,0,0,0,0,0.0422708,0,0,0,0,0,0,0,0.0160843,0.0681225,0,0,0.0201863,0,0,0.0394135,0.0709065,0.0228506,0.00195444,0.0160526,0.0408694,0.0247147,0.0444681,0.0532158,0.0351812,0.0100659,0.0126969,0.0232255,0.0258118,0.0161823,0.0298072,0.0179218,0.0433849,0,0.0202799,0.0692391,0.042727,0,0,0.0257783,0,0,0.0461636,0.0458887,0.0433169,0.0314549,0.0149904,0.0510254,0.0388052,0.0359543,0.0569392,0.0210349,0.04895,0.0296927,0.0357014,0.0691743,0.019117,0.0120355,0.0231707,0.0251416,0.0159112,0,0,0,0,0
16,0.0410738,0,0,0,0,0.0422403,0,0,0,0,0,0,0,0.0160711,0.0680871,0,0,0.0201526,0,0,0.0393347,0.0708309,0.0227134,0.00196633,0.0161208,0.0410828,0.0249028,0.0444008,0.0532776,0.0351243,0.0100253,0.0124814,0.0231795,0.0257737,0.0159507,0.0293954,0.0177566,0.043499,0,0.0203334,0.0692236,0.0427607,0,0,0.0257696,0,0,0.0461403,0.0458016,0.0434197,0.0315917,0.0149076,0.0512437,0.0389463,0.0361142,0.0568842,0.0209568,0.0489208,0.029586,0.0356399,0.0691533,0.0191152,0.0120076,0.0231448,0.0251725,0.016042,0,0,0,0,0
17,0.0398728,0,0,0,0,0.0420317,0,0,0,0,0,0,0,0.016088,0.0679366,0,0,0.0201208,0,0,0.039244,0.0706037,0.0225341,0.00231319,0.0159089,0.0420304,0.0266736,0.0441886,0.0530032,0.0343854,0.00988201,0.0125124,0.02301,0.025558,0.0150858,0.0287361,0.0176901,0.0368842,0,0.0202376,0.0670001,0.0419433,0,0,0.0258594,0,0,0.0461496,0.0503432,0.0399709,0.0278596,0.0180286,0.0506299,0.0393904,0.0335179,0.0545498,0.0217138,0.0522708,0.030064,0.0391344,0.0724154,0.0173414,0.0118432,0.0231219,0.0246333,0.0168436,0.0603303,0,0,0,0
18,0.0397533,0,0,0,0,0.0420476,0,0,0,0,0,0,0,0.0162937,0.0678571,0,0,0.0200764,0,0,0.0391269,0.0706905,0.0222826,0.00284003,0.0159758,0.0423451,0.0266893,0.0440333,0.0528284,0.0342543,0.0096403,0.0123995,0.0228577,0.025434,0.0149243,0.0283258,0.0174813,0.0370683,0,0.0202701,0.0666194,0.0418973,0,0,0.025933,0,0,0.0461709,0.0503191,0.0401555,0.0281287,0.0179846,0.0512915,0.0395669,0.0336478,0.0544877,0.0217852,0.0522294,0.0299982,0.0391675,0.0724052,0.0172571,0.0117537,0.0231057,0.024657,0.0171919,0.0604579,0,0,0,0
19,0.0396138,0,0,0,0,0.0420176,0,0,0,0,0,0,0,0.0163867,0.0678124,0,0,0.0200186,0,0,0.0390754,0.0707046,0.0221499,0.00316143,0.0160295,0.042481,0.026772,0.0439986,0.0527407,0.0341515,0.00946856,0.012482,0.0228293,0.0254061,0.0147188,0.0279146,0.0173931,0.0373282,0,0.020287,0.0664444,0.0418233,0,0,0.0260148,0,0,0.0462027,0.0502808,0.0403296,0.02828,0.0179915,0.051637,0.0397921,0.0337484,0.054434,0.0218101,0.0521809,0.0299094,0.0394482,0.0723579,0.0171711,0.0116402,0.0230963,0.0246289,0.0174519,0.0604841,0,0,0,0
20,0.039515,0,0,0,0,0.0419842,0,0,0,0,0,0,0,0.0164253,0.0678051,0,0,0.0199428,0,0,0.039042,0.0707423,0.0221348,0.0035583,0.0158686,0.0426818,0.026743,0.0439775,0.0526539,0.0340034,0.00951037,0.0125299,0.0228288,0.0253943,0.0146183,0.0276055,0.0173681,0.0376775,0,0.0202881,0.0662829,0.0417717,0,0,0.0260447,0,0,0.0461913,0.0502335,0.0404338,0.0284084,0.0179596,0.0521081,0.0399945,0.0338503,0.0543997,0.0217763,0.0520999,0.0297703,0.0397899,0.0722387,0.0170332,0.0115442,0.0230686,0.0246429,0.0177306,0.0603807,0,0,0,0
21,0.0389313,0,0,0,0,0.0422913,0,0,0,0,0,0,0,0.0160816,0.0684805,0,0,0.0202385,0,0,0.0391056,0.0702518,0.0220891,0.00167222,0.0163469,0.0406836,0.0282699,0.0443663,0.0532616,0.034563,0.00961059,0.0127371,0.0230754,0.0256472,0.013266,0.0271028,0.0177121,0.0376033,0,0.020327,0.0676843,0.0429264,0,0,0.0234737,0,0,0.0458345,0.0500644,0.0405738,0.0280702,0.0179074,0.0496426,0.0428967,0.0340458,0.0544161,0.0215332,0.0520301,0.0294927,0.039305,0.0721282,0.0170338,0.00936667,0.0283083,0.025069,0.0164293,0.0602158,0.0240782,0,0,0
22,0.0393991,0,0,0,0,0.0416598,0,0,0,0,0,0,0,0,0.0704672,0,0,0.0200579,0,0,0.0391724,0.0694375,0.0129298,0.00292239,0.0187049,0.0393375,0.0282585,0,0.0552896,0.0348529,0.00746932,0.00860736,0.0250248,0.0251201,0.0135899,0.0271575,0.0174574,0.030728,0,0,0.0671283,0.0425661,0,0,0.0236588,0,0,0.0444444,0.0514246,0.0378273,0.0289484,0,0.0490797,0.043209,0.0358168,0.0514739,0.0188629,0.0529519,0.0289585,0.0398477,0.0736754,0.0207581,0.0112096,0.0227033,0.0247648,0.0163982,0.0591863,0,0.0315881,0.0122871,0
23,0.0382918,0,0,0,0,0.0418771,0,0,0,0,0,0,0,0.0186964,0.0687516,0,0,0.0201122,0,0,0.0390453,0.0707417,0.0159292,0.00216188,0.016899,0.0393485,0.028928,0.0450075,0.05293,0.0344925,0.00991404,0.0122945,0.0252741,0.0262307,0.0129598,0.0268132,0.0178158,0.0366451,0,0.020845,0.0682279,0.0426124,0,0,0.0244593,0,0,0.0457467,0.0501218,0.0408743,0.028962,0.0183451,0.0493253,0.0436785,0.0342601,0.0542978,0.021273,0.051894,0.0290165,0.0388765,0.0720951,0.0171526,0.00891041,0.0270198,0.0247103,0.016704,0.0606944,0.0239311,0.0266438,0.0188893,0
24,0.0382095,0,0,0,0,0.0417818,0,0,0,0,0,0,0,0.0187156,0.0687273,0,0,0.0200496,0,0,0.0388881,0.070664,0.0159321,0.00213276,0.0170198,0.0395543,0.0292319,0.045208,0.0530592,0.0343477,0.00984886,0.0121411,0.0252902,0.026289,0.0129744,0.0265085,0.0179065,0.0376356,0,0.0204433,0.0682022,0.0425419,0,0,0.0236624,0,0,0.0457045,0.0499002,0.0409342,0.0289769,0.0179605,0.0494143,0.0438237,0.0341434,0.0544321,0.0213915,0.0519017,0.0291858,0.0388847,0.0720621,0.0170377,0.00907908,0.0272574,0.0245527,0.016955,0.0607699,0.0235043,0.0262947,0.019516,0
25,0.0381325,0,0,0,0,0.0417103,0,0,0,0,0,0,0,0.0187274,0.0686433,0,0,0.0199414,0,0,0.0388947,0.0706991,0.0159473,0.0021915,0.0174253,0.0396809,0.0295483,0.0452744,0.0530388,0.034192,0.00978203,0.0120772,0.0253197,0.0263919,0.0129235,0.0263566,0.0179381,0.0378429,0,0.0203806,0.0682752,0.0424667,0,0,0.0236159,0,0,0.0455629,0.0497446,0.0409783,0.0291882,0.0178936,0.0495383,0.0439872,0.0341593,0.054485,0.0213745,0.0518857,0.0291391,0.0388779,0.0720318,0.0170161,0.00924812,0.0268557,0.0244563,0.0171378,0.0607104,0.0233675,0.0259756,0.0200812,0
26,0.0381727,0,0,0,0,0.0416179,0,0,0,0,0,0,0,0.0188359,0.0685041,0,0,0.0198579,0,0,0.0389185,0.0706601,0.0159709,0.00227526,0.017369,0.0397857,0.0298969,0.0454093,0.0530434,0.0340721,0.00963339,0.0120179,0.0253106,0.0263946,0.0128559,0.0261949,0.0179655,0.0379127,0,0.020394,0.0682798,0.0424125,0,0,0.0236356,0,0,0.0454113,0.0496429,0.0410098,0.0293523,0.0178628,0.0496481,0.0441211,0.0341774,0.054559,0.0213458,0.0518331,0.0290903,0.0388675,0.07199,0.0170245,0.00952194,0.0263981,0.0244474,0.0172531,0.0606295,0.0232287,0.0256316,0.0206349,0
27,0.0392174,0,0,0,0,0.0416728,0,0,0,0,0,0,0,0,0.0699092,0,0,0.0197138,0,0,0.0388941,0.0691042,0.012708,0.00248204,0.0189704,0.0401945,0.0296656,0,0.0556781,0.034588,0.00700566,0.00783751,0.025014,0.0251766,0.0130109,0.0260967,0.0178318,0.0310146,0,0,0.0672187,0.0429222,0,0,0.0236042,0,0,0.0451218,0.050999,0.0381294,0.0297399,0,0.0497265,0.0436882,0.0358768,0.0516191,0.018606,0.0527965,0.0287587,0.0397238,0.0735888,0.0206749,0.0100051,0.0259385,0.024711,0.016903,0.0591063,0.0229025,0.0299534,0.0139423,0
28,0.0384811,0,0,0,0,0.0415179,0,0,0,0,0,0,0,0.0191381,0.0682078,0,0,0.0196046,0,0,0.0388893,0.0704769,0.0160476,0.00231332,0.0163678,0.0400396,0.0305304,0.0458199,0.053237,0.0340701,0.00956142,0.0114901,0.0252222,0.0262357,0.0127169,0.0258367,0.0178842,0.0369236,0,0.0208787,0.0685147,0.0424061,0,0,0.0234617,0,0,0.0451707,0.0496272,0.0410147,0.0297095,0.0182821,0.0498256,0.0444103,0.0344113,0.0545814,0.0210483,0.0517321,0.0288727,0.0387643,0.0719989,0.0171003,0.00959281,0.0256077,0.024349,0.0173888,0.0601564,0.0227459,0.0249405,0.0215802,0
29,0.0385737,0,0,0,0,0.0414644,0,0,0,0,0,0,0,0.0191383,0.0683064,0,0,0.0195241,0,0,0.0388295,0.0703447,0.0161863,0.00239906,0.0162723,0.0402853,0.0307928,0.045997,0.0533324,0.0338866,0.00960647,0.011236,0.0252606,0.0262518,0.0126474,0.0256029,0.0178955,0.0376825,0,0.0205134,0.0685589,0.0423893,0,0,0.0234294,0,0,0.045085,0.0493784,0.0410057,0.0296967,0.0178521,0.0499521,0.0446731,0.0344077,0.0547927,0.0211225,0.051701,0.029078,0.0386594,0.0719403,0.0170697,0.00928049,0.0252872,0.0242929,0.0174509,0.0602897,0.0226176,0.0245015,0.0222551,0
30,0.0386515,0,0,0,0,0.0414074,0,0,0,0,0,0,0,0.0192459,0.0683244,0,0,0.0194482,0,0,0.0388062,0.0702673,0.0164,0.00250888,0.0161987,0.0405087,0.0309494,0.0460852,0.0534125,0.0337648,0.00949178,0.0111758,0.0252994,0.0262456,0.0125524,0.0254075,0.0179426,0.0375751,0,0.0204619,0.0685967,0.0423887,0,0,0.0235812,0,0,0.0449847,0.0492748,0.0409536,0.0297914,0.0177798,0.0500626,0.0448927,0.0343529,0.0548699,0.0210432,0.0517726,0.0291356,0.0385832,0.0719171,0.017132,0.00905045,0.0248427,0.0243599,0.0174673,0.0604315,0.0225813,0.0242225,0.0227322,0
31,0.0387639,0,0,0,0,0.0413254,0,0,0,0,0,0,0,0.0193003,0.0683125,0,0,0.0193643,0,0,0.0388355,0.0701815,0.0163195,0.00261767,0.0161126,0.0406883,0.0310541,0.0462118,0.0535251,0.0337137,0.00935698,0.011227,0.0253531,0.0262699,0.0125138,0.0252494,0.01794,0.0373861,0,0.0204469,0.0685661,0.0424116,0,0,0.0236615,0,0,0.0449516,0.0491958,0.0408354,0.0298719,0.0177079,0.0500981,0.0450753,0.0342831,0.0549351,0.020949,0.0518314,0.0291655,0.0385227,0.0719007,0.0171695,0.0093741,0.0246068,0.024556,0.0174083,0.0605344,0.0224895,0.0240003,0.0231285,0
32,0.0388678,0,0,0,0,0.0412412,0,0,0,0,0,0,0,0.01935,0.0683295,0,0,0.0193123,0,0,0.0388632,0.0701644,0.0162764,0.00281078,0.0160401,0.0408668,0.0310905,0.0463397,0.0535798,0.033729,0.00923357,0.0112254,0.0253659,0.0263065,0.0125377,0.0251305,0.0179137,0.0373179,0,0.0204168,0.0685062,0.0424359,0,0,0.0237082,0,0,0.0449328,0.0491328,0.0407104,0.0299619,0.0176637,0.0502126,0.045231,0.0342293,0.0550132,0.0208761,0.0517346,0.0291775,0.0385566,0.071901,0.0171514,0.00965482,0.0243679,0.0245261,0.0173543,0.0606348,0.0223146,0.0238431,0.0234299,0
33,0.038952,0,0,0,0,0.0411413,0,0,0,0,0,0,0,0.0192959,0.0683705,0,0,0.0192642,0,0,0.0388775,0.0701709,0.0162816,0.00292662,0.0160545,0.0409586,0.0311388,0.046486,0.0535766,0.0337598,0.00904988,0.0113838,0.0254087,0.0263416,0.0125575,0.0250263,0.0179013,0.0374372,0,0.0203615,0.0685209,0.0424874,0,0,0.0236665,0,0,0.0449221,0.0490925,0.0405868,0.0299878,0.0176715,0.0502794,0.0453371,0.0342177,0.0550634,0.0208346,0.0516766,0.0291397,0.0385646,0.0719373,0.0170865,0.00963761,0.0241598,0.0243718,0.0172735,0.0606528,0.0220761,0.0237364,0.0235716,0
34,0.0390395,0,0,0,0,0.0410084,0,0,0,0,0,0,0,0.0193084,0.0683857,0,0,0.0192143,0,0,0.0388858,0.0701769,0.01633,0.00301005,0.0160769,0.0410406,0.0311522,0.0466166,0.0535198,0.0338219,0.0089953,0.0115353,0.0254541,0.0263767,0.0125676,0.0249144,0.0178513,0.0377139,0,0.0202992,0.068528,0.0425627,0,0,0.0236194,0,0,0.0449348,0.0490436,0.0405005,0.0299928,0.0176851,0.0503252,0.0453784,0.0341806,0.0550668,0.0208125,0.0516931,0.029105,0.0385824,0.0719916,0.0169938,0.00948703,0.0240519,0.024272,0.0172486,0.0605975,0.0221492,0.0237642,0.0235469,0
35,0.0391291,0,0,0,0,0.0408981,0,0,0,0,0,0,0,0.0193526,0.0683783,0,0,0.0191843,0,0,0.0388787,0.0701927,0.0163406,0.00307191,0.0161024,0.0411467,0.031152,0.0465507,0.0535158,0.0338953,0.00899457,0.0115788,0.025455,0.0263883,0.0125973,0.0248236,0.0177691,0.038112,0,0.0202714,0.0684911,0.0426109,0,0,0.0237123,0,0,0.0449738,0.0489672,0.0404654,0.0300118,0.0176791,0.0503513,0.0454265,0.0341295,0.0550594,0.0208555,0.0517048,0.0290628,0.0386532,0.0720387,0.0168963,0.00979786,0.0239283,0.0242401,0.0172698,0.0605407,0.0222036,0.0238586,0.023421,0
36,0.0391774,0,0,0,0,0.0408624,0,0,0,0,0,0,0,0.0193717,0.0684005,0,0,0.0192019,0,0,0.0389021,0.0702303,0.016308,0.00308802,0.0161439,0.0412645,0.0311546,0.0464547,0.0534944,0.0339894,0.0089406,0.0115738,0.0254273,0.0263911,0.0125915,0.024758,0.0177508,0.0384732,0,0.0202624,0.0684664,0.0426294,0,0,0.0237175,0,0,0.0450213,0.0488983,0.0404482,0.0300045,0.0176953,0.0503861,0.0454546,0.0341963,0.055021,0.0209426,0.0517311,0.0289765,0.0386913,0.0720734,0.0167927,0.0100163,0.0237981,0.0242013,0.0173245,0.0605118,0.0221675,0.0239283,0.0233318,0
37,0.0391837,0,0,0,0,0.0408342,0,0,0,0,0,0,0,0.0193736,0.0683986,0,0,0.0192355,0,0,0.0389075,0.0702774,0.0162666,0.00309709,0.0162742,0.0413803,0.0311908,0.0463703,0.053476,0.0341398,0.00887612,0.0115311,0.0253834,0.026366,0.0125723,0.0247095,0.0177963,0.0388008,0,0.0202757,0.068445,0.0426113,0,0,0.0236058,0,0,0.044957,0.0488551,0.0404682,0.0299995,0.0177235,0.0504264,0.0454564,0.0343656,0.0549557,0.0210032,0.0517585,0.0288863,0.0386697,0.0721041,0.0167064,0.0100038,0.0236692,0.0241323,0.0173867,0.0604466,0.0220527,0.0239291,0.0232795,0
38,0.0391511,0,0,0,0,0.0407614,0,0,0,0,0,0,0,0.0194919,0.0683463,0,0,0.0192261,0,0,0.0389166,0.0703025,0.0162679,0.00308252,0.0163647,0.041479,0.0312435,0.0461889,0.0534313,0.0343021,0.00872021,0.0114538,0.0253028,0.0263179,0.0125417,0.0246763,0.0178246,0.0391118,0,0.0202728,0.0684102,0.0425454,0,0,0.0235307,0,0,0.0448716,0.0487954,0.0405127,0.030003,0.0177465,0.0504819,0.0454646,0.0344468,0.0548475,0.0210431,0.0517798,0.0287883,0.0386152,0.072125,0.0166129,0.00995707,0.0235772,0.0240483,0.0174759,0.0603867,0.0219868,0.0240513,0.0231089,0
39,0.0391007,0,0,0,0,0.0406907,0,0,0,0,0,0,0,0.0195236,0.0683028,0,0,0.0192115,0,0,0.0389601,0.0703307,0.0162334,0.0030578,0.0164097,0.0415633,0.0313076,0.0460945,0.0534267,0.0344456,0.00868017,0.0114204,0.025272,0.0263155,0.0125283,0.0246342,0.0178255,0.0394283,0,0.0202978,0.0683718,0.0424414,0,0,0.0235363,0,0,0.044848,0.0487441,0.0406062,0.0299839,0.0177456,0.0505349,0.0454518,0.0345071,0.0547418,0.0210825,0.0517843,0.028702,0.0385824,0.0721502,0.0165332,0.00995637,0.0234935,0.0239909,0.0176039,0.0603524,0.0219379,0.0241722,0.0228862,0
40,0.0390367,0,0,0,0,0.0406133,0,0,0,0,0,0,0,0.0195268,0.0682584,0,0,0.0192317,0,0,0.0389839,0.0703611,0.0161882,0.00305147,0.0164827,0.0416165,0.0313984,0.0460146,0.0534096,0.0345557,0.00882074,0.0114198,0.025264,0.0263191,0.0125359,0.0245598,0.0178581,0.0397127,0,0.0203335,0.0683492,0.0422911,0,0,0.0235643,0,0,0.0448203,0.0487375,0.0407651,0.0299536,0.0177223,0.0506179,0.0454623,0.0345568,0.0546231,0.0211301,0.0517723,0.0286429,0.0385596,0.0721625,0.0164763,0.00999066,0.0234272,0.0239124,0.0177528,0.0603208,0.0219077,0.0243378,0.0225964,0
41,0.0389831,0,0,0,0,0.0405106,0,0,0,0,0,0,0,0.0195267,0.068248,0,0,0.0192351,0,0,0.0390188,0.0703842,0.0161255,0.00305535,0.0165709,0.0416324,0.0315332,0.0458504,0.0533553,0.0346488,0.00896501,0.0114731,0.0252684,0.0263343,0.0125478,0.0244952,0.0179111,0.0398964,0,0.0203613,0.0682628,0.0421363,0,0,0.0235856,0,0,0.0447616,0.0487829,0.0409348,0.0299311,0.0177007,0.0507388,0.045513,0.0346443,0.0545092,0.0211348,0.0517755,0.028597,0.0385853,0.0721701,0.0164072,0.010067,0.0233377,0.0238151,0.017883,0.0603784,0.0218177,0.0245589,0.0222241,0
42,0.0389351,0,0,0,0,0.0404354,0,0,0,0,0,0,0,0.0194358,0.0682483,0,0,0.0192149,0,0,0.0390276,0.0703955,0.0160752,0.00308033,0.0167233,0.0416673,0.0316857,0.0456876,0.0533067,0.0347511,0.00901296,0.0115124,0.0253004,0.0263616,0.01255,0.0244195,0.0179655,0.040028,0,0.020391,0.0681512,0.0420253,0,0,0.0234752,0,0,0.0446999,0.0488495,0.0410449,0.029949,0.0176739,0.0508829,0.0455619,0.034825,0.0544047,0.0211242,0.0518342,0.0285805,0.0386401,0.072188,0.0163279,0.0101758,0.0232142,0.0237676,0.0179968,0.0604368,0.0215423,0.024696,0.0219924,0
43,0.0389077,0,0,0,0,0.0403959,0,0,0,0,0,0,0,0.0194718,0.0682417,0,0,0.0191972,0,0,0.0389821,0.0703874,0.016097,0.00311385,0.0168094,0.0417089,0.0318239,0.0455873,0.0533209,0.0347693,0.00901117,0.0114103,0.0252859,0.0263219,0.0125385,0.0243424,0.0179687,0.0401667,0,0.0203675,0.0680896,0.0419739,0,0,0.0234253,0,0,0.0447216,0.0488676,0.0410877,0.029959,0.0176441,0.0510304,0.0455667,0.0349028,0.0543445,0.0211124,0.051916,0.0285454,0.0386505,0.0721691,0.0162553,0.0101981,0.02321,0.0237448,0.0180621,0.0604426,0.0215805,0.0248513,0.0217638,0
44,0.0388884,0,0,0,0,0.0404087,0,0,0,0,0,0,0,0.0195144,0.0681658,0,0,0.0191652,0,0,0.0389587,0.0703598,0.0160909,0.00310475,0.016844,0.0417345,0.0320193,0.0455649,0.0533472,0.0347796,0.00900179,0.0113282,0.0252575,0.0263273,0.0125165,0.0242809,0.0179806,0.040327,0,0.0203212,0.0680015,0.0419263,0,0,0.0233748,0,0,0.0447409,0.0488484,0.0410919,0.0299796,0.0176031,0.0511686,0.0455823,0.0348413,0.0543017,0.0211176,0.0519663,0.0284617,0.038646,0.0721395,0.0161948,0.0101558,0.0232154,0.0236705,0.018136,0.0604055,0.021673,0.0249391,0.0216171,0
45,0.0388626,0,0,0,0,0.0404173,0,0,0,0,0,0,0,0.0195515,0.0680124,0,0,0.0191091,0,0,0.0389439,0.0702984,0.0160926,0.00311258,0.0168242,0.0417474,0.0322975,0.0456486,0.0533688,0.034861,0.00900489,0.0112808,0.0252319,0.0263352,0.0124823,0.0242193,0.0180892,0.0404222,0,0.0202997,0.0678448,0.0418475,0,0,0.023371,0,0,0.0447388,0.04883,0.0411846,0.0300128,0.0175768,0.0512912,0.0456239,0.034803,0.0542637,0.0210752,0.0519183,0.0284046,0.0386658,0.072115,0.0162113,0.0100975,0.0231869,0.0235876,0.0182097,0.0603792,0.0217262,0.0249143,0.0216181,0
46,0.0388307,0,0,0,0,0.0404257,0,0,0,0,0,0,0,0.0195318,0.0680171,0,0,0.0191037,0,0,0.0389272,0.0702253,0.016088,0.00323569,0.0168567,0.0418065,0.0326304,0.0457952,0.053389,0.0349045,0.00896259,0.0111252,0.0252306,0.0263324,0.0124775,0.0241848,0.0182406,0.0404735,0,0.0202592,0.0677526,0.0417422,0,0,0.0233937,0,0,0.0447081,0.0488035,0.0412562,0.0300701,0.0175582,0.0514415,0.0456689,0.0348344,0.0542467,0.0209882,0.0519452,0.0283521,0.038674,0.0720823,0.0162153,0.0100774,0.0231259,0.0235205,0.018291,0.0603099,0.021677,0.0247705,0.0217996,0
47,0.0387914,0,0,0,0,0.0404405,0,0,0,0,0,0,0,0.01952,0.0681927,0,0,0.0191622,0,0,0.0389336,0.0701385,0.0160926,0.00338916,0.0169476,0.0419589,0.0329442,0.0457814,0.0534825,0.0348775,0.00894272,0.0109468,0.0252406,0.0263202,0.012501,0.0241772,0.018401,0.0404971,0,0.0202002,0.0677277,0.0416429,0,0,0.0233239,0,0,0.0446613,0.0487677,0.0412925,0.030124,0.0175137,0.0516448,0.0456812,0.0349105,0.0542686,0.0208695,0.051936,0.0283041,0.0386829,0.0720102,0.0161875,0.0100487,0.023024,0.0235131,0.0183515,0.0602662,0.0214158,0.0246368,0.0219806,0
48,0.0398009,0,0,0,0,0.0406145,0,0,0,0,0,0,0,0.0194496,0.0684027,0,0,0.0192999,0,0,0.0388608,0.0702357,0.0161499,0.00365721,0.0173422,0.0414978,0.0316323,0.0457915,0.0538384,0.0356329,0.00907524,0.0108404,0.0253436,0.0264325,0.0127689,0.0242684,0.0183322,0.046414,0,0.0209613,0.0697522,0.0422976,0,0,0.0230541,0,0,0.0446617,0.0443833,0.0445629,0.0341759,0.0143979,0.0530735,0.0454878,0.0375941,0.0564078,0.0200835,0.0487142,0.0273621,0.0353725,0.0688814,0.0192991,0.0101744,0.0231191,0.0240334,0.0176522,0,0.0210362,0.0248393,0.0216886,0
