Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LWRA,
1720,0.034587,0,0,0,0,0.045432,0,0,0,0,0,0,0.0340486,0,0.014499,0.0728164,0,0,0.0122628,0,0,0.0245652,0.0715852,0.0178516,0.0176981,0.0185749,0.0394338,0.0202114,0,0.0291438,0.059572,0.0352798,0.00670442,0.00863595,0.0264566,0.0270835,0.0106832,0.0117147,0.0178536,0.0506746,0,0.0180803,0.0746078,0.0367427,0,0,0.0132153,0,0,0.0485341,0.0479079,0.0416054,0.0502592,0.0139686,0.0623598,0.0332953,0,0.0224104,0.0492857,0.014285,0.0502103,0,0.0361363,0.0692535,0.0197895,0.0192069,0.0312849,0.020245,0.0263236,0.0189689,0,0
1721,0.0349184,0,0,0,0,0.0454231,0,0,0,0,0,0,0.0343862,0,0.0145131,0.0728455,0,0,0.0118769,0,0,0.0244973,0.0719197,0.0178263,0.0184174,0.0185323,0.0391891,0.0195451,0,0.0293116,0.0617938,0.0356705,0.00692317,0.00871388,0.0264814,0.0270881,0.0103174,0.0119452,0.0176708,0.0470119,0,0.0181017,0.0753237,0.0370805,0,0,0.0131463,0,0,0.0485282,0.0465108,0.0429297,0.0520942,0.0126008,0.0632457,0.0334751,0,0.021191,0.0498692,0.0140914,0.0493499,0.0287016,0.0357153,0.0689502,0.0175198,0.0193552,0.0312083,0.0202256,0.0265737,0.0186785,0,0
1722,0.0349671,0,0,0,0,0.0453368,0,0,0,0,0,0,0.0343866,0,0.0144808,0.0728298,0,0,0.0118159,0,0,0.0244835,0.0720012,0.0178824,0.018412,0.0185065,0.0391586,0.0194549,0,0.0292906,0.0615437,0.0356103,0.00704507,0.00876296,0.0265504,0.0271151,0.010251,0.0119402,0.0176186,0.0469395,0,0.0180827,0.0753561,0.0371317,0,0,0.0130953,0,0,0.0483683,0.0464765,0.0428984,0.0521232,0.0126212,0.0632213,0.03353,0,0.0211341,0.0498725,0.0141935,0.0493413,0.0286841,0.0357053,0.069008,0.0176066,0.0193698,0.0310987,0.0203245,0.026528,0.0186812,0,0
1723,0.035025,0,0,0,0,0.0452225,0,0,0,0,0,0,0.0343877,0,0.0145357,0.0728252,0,0,0.0117991,0,0,0.0244573,0.0720939,0.017945,0.0184195,0.0184734,0.039129,0.0193714,0,0.0291185,0.0612168,0.0355953,0.00692782,0.00880804,0.0265944,0.0271401,0.0102467,0.0118816,0.0175901,0.046984,0,0.0180109,0.0753561,0.0372062,0,0,0.0129784,0,0,0.0482466,0.0464683,0.0428941,0.0521056,0.0126519,0.0632132,0.0335263,0,0.021167,0.0498657,0.0142938,0.0493589,0.0286868,0.0356354,0.0690394,0.0176498,0.0190166,0.0310346,0.0203902,0.0264225,0.018705,0,0
1724,0.0346261,0,0,0,0,0.0449792,0,0,0,0,0,0,0.0340394,0,0.0146152,0.0727383,0,0,0.0121009,0,0,0.0245285,0.0720532,0.0179929,0.017823,0.0182048,0.0391624,0.0199558,0,0.0292239,0.0610172,0.0352258,0.00690808,0.00884873,0.0265588,0.0271477,0.0104723,0.0115982,0.0178156,0.0507292,0,0.0178642,0.0746459,0.036928,0,0,0.0128778,0,0,0.0482738,0.0478064,0.0415146,0.0503326,0.0140773,0.0622899,0.0336271,0,0.0224426,0.0492652,0.014671,0.0502667,0,0.0360402,0.0693097,0.020188,0.0184756,0.0309812,0.0204206,0.0260313,0.019077,0,0
1725,0.0346915,0,0,0,0,0.0449099,0,0,0,0,0,0,0.0341144,0,0.0145263,0.0728151,0,0,0.0120677,0,0,0.0245393,0.0720426,0.0180753,0.0176963,0.0182077,0.0392948,0.0199009,0,0.030455,0.0610212,0.0354064,0.00697882,0.0087904,0.0265017,0.0271815,0.0105127,0.0116674,0.0178214,0.0510257,0,0.017721,0.0744652,0.0370168,0,0,0.0127495,0,0,0.0483163,0.0479839,0.0415083,0.0501075,0.0141464,0.0622598,0.0336792,0,0.0224801,0.049272,0.0148428,0.0503542,0,0.0360969,0.0692192,0.0205366,0.0189398,0.0308804,0.0203442,0.0260235,0.0190314,0,0
1726,0.034796,0,0,0,0,0.0448661,0,0,0,0,0,0,0.0344701,0,0.0145059,0.0729192,0,0,0.0120181,0,0,0.0246135,0.0720011,0.0181832,0.0176389,0.0182974,0.0390239,0.0198897,0,0.0317411,0.0608074,0.035724,0.00705286,0.00872034,0.0264492,0.0271665,0.0104824,0.0116977,0.0178078,0.0511035,0,0.0177926,0.0745872,0.0371151,0,0,0.0127428,0,0,0.048337,0.0478104,0.0414931,0.0501144,0.0141205,0.0620054,0.0337389,0,0.0224393,0.0492896,0.0148637,0.0503699,0,0.0361993,0.0691795,0.0207212,0.0189596,0.0307003,0.0203836,0.0259751,0.0188781,0,0
1727,0.0346694,0,0,0,0,0.0447383,0,0,0,0,0,0,0.0333825,0,0.0150537,0.0724671,0,0,0.0120848,0,0,0.0246252,0.0720662,0.0182426,0.0174809,0.0179279,0.0381832,0.0199744,0,0.0243958,0.0599701,0.0354681,0.00750079,0.00938717,0.0265636,0.0272116,0.0112276,0.0116043,0.0178082,0.0508816,0,0.0179837,0.0750868,0.037035,0,0,0.0128095,0,0,0.048419,0.0471301,0.0414728,0.0504135,0.0140297,0.06168,0.0340123,0,0.0223022,0.0493873,0.0147146,0.0502703,0,0.0361874,0.0691826,0.0207365,0.018862,0.0306533,0.0204832,0.0258113,0.0189025,0,0
1728,0.0340257,0,0,0,0,0.0446138,0,0,0,0,0,0,0.0305201,0,0,0.0710255,0,0,0.0121044,0,0,0.0246124,0.0731736,0.0169274,0.0182875,0.0181025,0.0367932,0.0198181,0,0,0.0581057,0.0347803,0.00768812,0.0096764,0.0269733,0.0265405,0.013252,0.0114736,0.0177877,0.0477381,0,0.0177214,0.0762125,0.0367154,0,0,0.0129922,0,0,0.0486547,0.0452723,0.0417383,0.052404,0,0.0624784,0.0347851,0,0.0216748,0.0491949,0.0142092,0.0497567,0.0286543,0.0360669,0.0695374,0.0188612,0.0187587,0.0306301,0.0205192,0.0256307,0.0192346,0,0
1729,0.0335472,0,0,0,0,0.0444171,0,0,0,0,0,0,0.0262147,0,0.0176892,0.0694184,0,0,0.012215,0,0,0.0246392,0.0733986,0.0199037,0.0174376,0.0159493,0.0360807,0.0200192,0,0.0439781,0.0549803,0.0335198,0.0104597,0.0136232,0.0276682,0.0280708,0.0196275,0.0113149,0.0178561,0.0484097,0,0.0177882,0.0769731,0.0364331,0,0,0.013098,0,0,0.0487324,0.0448476,0.0426421,0.0523999,0.0129755,0.0623038,0.0351919,0,0.0215268,0.0504458,0.0148509,0.049353,0.0285251,0.0356676,0.0690153,0.0193758,0.0187404,0.0305861,0.0206344,0.02538,0.019599,0,0
1730,0.0332842,0,0,0,0,0.0442339,0,0,0,0,0,0,0.0252405,0,0.0181196,0.0690445,0,0,0.0123175,0,0,0.024702,0.0736771,0.0204363,0.0174727,0.0158446,0.0353042,0.0202417,0,0.0524221,0.0541343,0.0333205,0.0109173,0.0143207,0.0277986,0.0281666,0.0209995,0.0111951,0.0178932,0.0487838,0,0.0177372,0.0773978,0.0363007,0,0,0.0132773,0,0,0.0487326,0.0445905,0.0425706,0.0524785,0.0129985,0.0619184,0.0356098,0,0.0216112,0.0505568,0.0151283,0.0493408,0.0284651,0.0356414,0.0690615,0.019776,0.0189421,0.0303848,0.0207507,0.0250637,0.0196855,0,0
1731,0.0333774,0,0,0,0,0.044182,0,0,0,0,0,0,0.0253399,0,0.0181799,0.0689776,0,0,0.0122105,0,0,0.0247086,0.073698,0.0205862,0.0175066,0.015924,0.0352847,0.020167,0,0.0510489,0.0542414,0.0332007,0.0109636,0.014306,0.0277267,0.0281319,0.0208689,0.0112103,0.0178923,0.048868,0,0.0176953,0.0773274,0.0364088,0,0,0.013282,0,0,0.0488233,0.0446234,0.0425591,0.0525194,0.0129687,0.0619798,0.0357082,0,0.0215267,0.0505786,0.0150589,0.0493824,0.0284731,0.0356818,0.0691024,0.0199308,0.0191482,0.030284,0.020651,0.0250153,0.0196665,0,0
1732,0.0334859,0,0,0,0,0.044113,0,0,0,0,0,0,0.0254247,0,0.0181569,0.0689193,0,0,0.0121065,0,0,0.0247244,0.0737366,0.0205886,0.0175821,0.0160526,0.0352571,0.0200804,0,0.0496057,0.0543006,0.0332112,0.0109087,0.0143453,0.0276452,0.0281258,0.0207458,0.011223,0.0179205,0.0490023,0,0.0176503,0.0772131,0.0365396,0,0,0.0132752,0,0,0.0488513,0.0446461,0.042581,0.0525417,0.0129406,0.062032,0.0358571,0,0.0214123,0.0505931,0.0149581,0.0494178,0.028471,0.0357172,0.069121,0.0201275,0.0191387,0.0302866,0.0206712,0.0250331,0.0196352,0,0
1733,0.0335628,0,0,0,0,0.0440261,0,0,0,0,0,0,0.0254085,0,0.0181012,0.0690102,0,0,0.0120308,0,0,0.0247004,0.0738166,0.0207513,0.0176972,0.0161871,0.0351979,0.0200196,0,0.0496037,0.0542303,0.0332901,0.0110258,0.0144419,0.0275885,0.0281217,0.0207783,0.0111915,0.0178786,0.0492387,0,0.0176233,0.0771188,0.0366593,0,0,0.0132853,0,0,0.0487951,0.044645,0.0426364,0.052608,0.0129386,0.0620957,0.0360713,0,0.021349,0.0505948,0.0149559,0.0494666,0.0284976,0.0357747,0.0691123,0.0203764,0.0190282,0.0302543,0.0207143,0.0250531,0.0196109,0,0
1734,0.0336243,0,0,0,0,0.0439239,0,0,0,0,0,0,0.0253307,0,0.0180043,0.0693235,0,0,0.0119499,0,0,0.0247218,0.0739252,0.0209135,0.0178939,0.0162656,0.035089,0.0200002,0,0.0499244,0.0540987,0.0335193,0.0112085,0.0145294,0.0276396,0.0281545,0.0208863,0.0112377,0.0178526,0.0493086,0,0.0175882,0.0771091,0.0367913,0,0,0.0133329,0,0,0.0487624,0.0446621,0.0426437,0.0526846,0.0129586,0.062119,0.0362508,0,0.0213289,0.0505493,0.0149638,0.0495616,0.0285356,0.03588,0.0691507,0.0204482,0.0190223,0.0302216,0.0208544,0.0249869,0.0195702,0,0
1735,0.0337024,0,0,0,0,0.0438306,0,0,0,0,0,0,0.0252264,0,0.0179314,0.0694819,0,0,0.011882,0,0,0.0247333,0.0739948,0.0210211,0.0180445,0.0163073,0.0349918,0.0199352,0,0.0499002,0.0539525,0.0337548,0.0110976,0.0145851,0.0276664,0.0281718,0.0209211,0.0113135,0.0178404,0.0494099,0,0.0175669,0.0771077,0.0369373,0,0,0.0133552,0,0,0.0487734,0.0446993,0.0426289,0.052714,0.0129704,0.0621615,0.0363839,0,0.0214399,0.0504963,0.0149771,0.0496235,0.0285216,0.0359533,0.0692512,0.0205407,0.018979,0.0301315,0.0208772,0.0248919,0.0195355,0,0
1736,0.033792,0,0,0,0,0.0438081,0,0,0,0,0,0,0.0250366,0,0.0178573,0.0694931,0,0,0.0117784,0,0,0.0247596,0.0740753,0.0211131,0.0181664,0.0163641,0.0349104,0.019864,0,0.0498125,0.0539795,0.0337996,0.0110017,0.0145995,0.0276342,0.0281502,0.0209412,0.0113094,0.0178126,0.0496746,0,0.0175864,0.0770691,0.0370667,0,0,0.0133968,0,0,0.0487903,0.0446984,0.0426275,0.0526542,0.0129512,0.0622311,0.0364951,0,0.021529,0.0504529,0.0149831,0.0496635,0.0285267,0.036001,0.0693215,0.020781,0.0189134,0.029993,0.0207976,0.0249235,0.0195203,0,0
1737,0.033873,0,0,0,0,0.0437612,0,0,0,0,0,0,0.0249113,0,0.0178052,0.0694904,0,0,0.0116944,0,0,0.0247894,0.0741461,0.0212028,0.018299,0.0164543,0.0348197,0.0197844,0,0.0496412,0.0538888,0.0339117,0.011047,0.0145576,0.0275953,0.0281496,0.0209605,0.0113252,0.0177525,0.0499806,0,0.0175783,0.0770233,0.0371892,0,0,0.0134175,0,0,0.0487389,0.0447322,0.0426333,0.0526705,0.0129324,0.0623023,0.0365912,0,0.0216666,0.0503939,0.015077,0.0497141,0.0285239,0.0360884,0.0693348,0.0210634,0.0189225,0.0298867,0.0208582,0.0249351,0.0194988,0,0
1738,0.0339325,0,0,0,0,0.0437062,0,0,0,0,0,0,0.0249799,0,0.0177622,0.0695371,0,0,0.0116381,0,0,0.0247635,0.0742132,0.0212024,0.0184477,0.0165351,0.034699,0.0197218,0,0.0494415,0.0536385,0.0340842,0.01114,0.0146215,0.0275733,0.028207,0.0208934,0.0113625,0.017668,0.0502609,0,0.0175771,0.0769986,0.037309,0,0,0.0133854,0,0,0.048636,0.0447931,0.0426403,0.0527581,0.0129274,0.0623572,0.0367144,0,0.0217694,0.0503336,0.0152036,0.0497655,0.0285327,0.0362007,0.0693769,0.0212763,0.0189367,0.0297696,0.0209106,0.0248976,0.0194606,0,0
1739,0.0339898,0,0,0,0,0.0436331,0,0,0,0,0,0,0.0250751,0,0.0177303,0.0696164,0,0,0.011576,0,0,0.0248202,0.0743024,0.0211271,0.0186086,0.01659,0.0345637,0.0196811,0,0.0493652,0.053497,0.0341031,0.0112261,0.014681,0.0275633,0.0282341,0.0208322,0.0114536,0.0176853,0.0505315,0,0.0175664,0.076985,0.0374025,0,0,0.0133303,0,0,0.0485418,0.0448348,0.042687,0.0528659,0.0129395,0.0623797,0.0368526,0,0.0218124,0.0502846,0.0153139,0.049821,0.028533,0.036286,0.0694451,0.0214627,0.0190502,0.0296819,0.0209563,0.0248098,0.0194576,0,0
