Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LANK,LWRA,RTHI
215,0,0.0190127,0,0,0,0,0.0459902,0,0,0,0,0,0,0.0312547,0,0.064995,0,0,0.0268201,0,0,0.026791,0.0710865,0.0162704,0.00812296,0.0131643,0.0486627,0.0550035,0.0844981,0.0469416,0.0993949,0.0133419,0.0141535,0.0267485,0.0288066,0.0136762,0.0212794,0.0259114,0.0206995,0,0.0167173,0.0587968,0.0341218,0,0,0.024745,0,0,0.0482545,0.0570115,0.0450514,0.0116565,0.0102788,0.0530754,0.0528882,0.0789299,0.0733662,0.0257729,0.0553972,0.0315309,0.0405835,0.0704278,0.0594906,0.0130812,0.0191277,0.0239695,0.0243268,0.0368959,0.018066,0,0.0450942
216,0,0.018716,0,0,0,0,0.0467955,0,0,0,0,0,0,0.0313287,0,0.0644254,0,0,0.030314,0,0,0.041127,0.0711572,0.0162396,0.00771869,0.0130634,0.0485383,0.0572662,0.08434,0.0468035,0.0991769,0.0134253,0.0140611,0.0267019,0.0288241,0.013776,0.0159576,0.0241791,0.0214753,0,0.0171276,0.0589334,0.0334908,0,0,0.0247374,0,0,0.048358,0.0573967,0.0458688,0.0108637,0.010125,0.0527026,0.0525149,0.0787921,0.0735877,0.0260593,0.055085,0.0314517,0.0403653,0.0701341,0.0626704,0.0135015,0.0189502,0.0237055,0.0249807,0.0371479,0.0182615,0.0247959,0.044722
217,0,0.0185529,0,0,0,0,0.0457972,0,0,0,0,0,0,0.0312713,0,0.0642617,0,0,0.0271007,0,0,0.026869,0.0711105,0.0162972,0.0079123,0.0129828,0.0488694,0.0558113,0.0842866,0.0467027,0.0990535,0.0134263,0.0138819,0.0266546,0.0288026,0.013982,0.0215877,0.0260905,0.0224276,0,0.01767,0.0587616,0.0339406,0,0,0.02456,0,0,0.0482722,0.0575754,0.0467976,0.0108266,0.0099461,0.0532412,0.0530008,0.0789881,0.0739876,0.0265494,0.0546954,0.0311514,0.0400366,0.0697684,0.0656449,0.0132882,0.018821,0.0237526,0.0243191,0.0371564,0.0183777,0,0.0449897
218,0,0.0182951,0,0,0,0,0.0466327,0,0,0,0,0,0,0.0312538,0,0.0641225,0,0,0.03043,0,0,0.0411256,0.0712896,0.0164839,0.00758533,0.0130295,0.0487385,0.0578096,0.0842454,0.0466817,0.0990385,0.0134821,0.0137423,0.0266863,0.0288416,0.0139922,0.0160643,0.024276,0.0235131,0,0.0180664,0.0589241,0.0334259,0,0,0.0246337,0,0,0.0484013,0.057988,0.0474767,0.0101449,0.00987684,0.0529332,0.0527163,0.0788159,0.0742006,0.0268548,0.0546961,0.0310981,0.0400238,0.0697076,0.068426,0.0136343,0.0186964,0.0237439,0.0250494,0.0373986,0.0184921,0.0247292,0.0447516
219,0,0.0180183,0,0,0,0,0.0467097,0,0,0,0,0,0,0.0305936,0,0.064966,0,0,0.0303817,0,0,0.0409109,0.0714094,0.0172286,0.00835651,0.0128149,0.0483296,0.0570153,0.0842376,0.0461809,0.0985981,0.0137341,0.0143082,0.0267106,0.0289007,0.0152369,0.0155395,0.0247894,0.0182486,0,0.0212355,0.0582579,0.0341178,0,0,0.0238852,0,0,0.0485967,0.0569044,0.0484246,0.010966,0.0150089,0.0539563,0.0533666,0.0810927,0.0756278,0.0272812,0.0547771,0.0339401,0.0396036,0.0687248,0.0612145,0.0141908,0.0185001,0.0239932,0.025317,0.0371083,0.0183622,0.0248657,0.0467817
220,0,0.0178834,0,0,0,0,0.0466007,0,0,0,0,0,0,0.0306391,0,0.0651106,0,0,0.0303796,0,0,0.0409114,0.071449,0.0171991,0.00840869,0.012917,0.0483642,0.056887,0.0842994,0.0461595,0.0986028,0.0138095,0.0144508,0.0268635,0.0290445,0.0150342,0.0154442,0.0248631,0.018429,0,0.0220161,0.0580179,0.0342939,0,0,0.0239426,0,0,0.048648,0.0571078,0.049248,0.0109275,0.0151716,0.0541678,0.0535101,0.0812191,0.0760666,0.0277499,0.0548967,0.0340051,0.0397663,0.0688438,0.0635582,0.0145173,0.0184146,0.024152,0.0254518,0.0371526,0.0183602,0.0248689,0.0469085
221,0,0.017795,0,0,0,0,0.0466093,0,0,0,0,0,0,0.0307431,0,0.0652291,0,0,0.030446,0,0,0.0409258,0.0713255,0.0171761,0.00844746,0.0130647,0.0483598,0.0567455,0.0843696,0.0461519,0.0986597,0.0138058,0.0143924,0.0269304,0.0290857,0.0149334,0.0153285,0.0249798,0.0188531,0,0.0227203,0.057838,0.0344648,0,0,0.0239614,0,0,0.0486675,0.0572313,0.0500974,0.0110012,0.0153134,0.0543427,0.0537345,0.0813394,0.0764975,0.0281347,0.0551421,0.034216,0.0400875,0.0691169,0.0658753,0.0147803,0.0182774,0.0241543,0.025644,0.0371205,0.0183184,0.0248543,0.0469165
222,0,0.0177476,0,0,0,0,0.0466546,0,0,0,0,0,0,0.0308029,0,0.0653036,0,0,0.0305776,0,0,0.0409412,0.0712039,0.0171725,0.0084687,0.0131457,0.0484343,0.0565138,0.0844605,0.0460977,0.098711,0.0138147,0.0144441,0.0269683,0.0290823,0.0149035,0.0151774,0.0251274,0.0195518,0,0.0232565,0.0577139,0.0345935,0,0,0.0240122,0,0,0.0486948,0.0573002,0.0507787,0.0111632,0.0155015,0.0545616,0.0538904,0.0814044,0.0768495,0.0284807,0.0554538,0.0344046,0.0404865,0.0694698,0.0677285,0.0149842,0.0182025,0.0241285,0.0258439,0.0370625,0.0182873,0.0248958,0.0467559
223,0,0.0177655,0,0,0,0,0.0454535,0,0,0,0,0,0,0.0305151,0,0.0652608,0,0,0.0276843,0,0,0.0264275,0.0711725,0.0167783,0.00884238,0.0132385,0.0489678,0.0544938,0.0846596,0.0458428,0.0985909,0.0140235,0.0148484,0.0272021,0.0292943,0.0150231,0.0203319,0.0272413,0.0202205,0,0.0240041,0.05758,0.0352073,0,0,0.0241666,0,0,0.0486207,0.0573716,0.0516231,0.011608,0.015617,0.0552312,0.0541805,0.0814598,0.0773874,0.0291107,0.0555528,0.0343598,0.040717,0.0696293,0.0692632,0.0148321,0.0181511,0.0241112,0.025078,0.03703,0.0182668,0,0.0466197
224,0,0.0176705,0,0,0,0,0.0466984,0,0,0,0,0,0,0.0309113,0,0.0653727,0,0,0.0311742,0,0,0.0409274,0.0710199,0.0171943,0.00826305,0.0131772,0.0484757,0.0558953,0.0846099,0.0460652,0.0987615,0.0135892,0.0145027,0.0268357,0.028933,0.0148184,0.0146646,0.0251976,0.021019,0,0.0235844,0.0576509,0.0348087,0,0,0.0240459,0,0,0.0487475,0.0574586,0.0517617,0.0115871,0.0159307,0.0548886,0.0539711,0.0814384,0.0773334,0.0290066,0.0561018,0.0346164,0.0412406,0.0701588,0.0703354,0.0151595,0.018176,0.0241764,0.026318,0.0369651,0.0182701,0.0247405,0.0467501
