Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRB,STRN,T10,RTIBA,RWRA
All Timesteps RMSE,0.0232106,0,0,0,0,0.0485593,0,0,0,0,0,0,0.0342299,0,0.0188252,0.0703434,0,0,0.0246338,0,0,0.0376532,0.0687308,0.0205113,0.00698227,0.0188966,0.0340405,0.0405198,0.0451161,0.0573689,0.0373154,0.0113943,0.0130232,0.0270639,0.0276778,0.0173732,0.0133455,0.0296473,0.0227694,0.0346813,0,0.0154046,0.0643973,0.0311464,0,0,0.0213516,0,0,0.048085,0.0591198,0.0308746,0.021773,0.0116727,0.0477732,0.0430596,0.0455494,0.0784442,0.0738498,0.0294793,0.06162,0.0473743,0.0794064,0.0251405,0.0187199,0.0204047,0.0277175,0.0301878,0.0383562,0.0224777
0,0.0197063,0,0,0,0,0.0475292,0,0,0,0,0,0,0.0357104,0,0.0209385,0.0725983,0,0,0.0126486,0,0,0.0372915,0.0715632,0.0257151,0.0115105,0.0174093,0.0239443,0.0367652,0.0434188,0.0531706,0.0371956,0.0121495,0.0128313,0.0238521,0.0258714,0.0153136,0.0139714,0.00886276,0.0190828,0.0359148,0,0.0205845,0.0658338,0.0305427,0,0,0.0154643,0,0,0.0376591,0.0601527,0.0236502,0.0203974,0.0169776,0.0416657,0.036137,0.0439158,0.0748649,0.0685073,0.0258156,0.0658973,0.0516019,0.0844021,0.0137221,0.0160412,0.0245415,0.0274276,0.0288448,0,0
1,0.019725,0,0,0,0,0.0474131,0,0,0,0,0,0,0.0357263,0,0.0209223,0.0725639,0,0,0.0128043,0,0,0.0371558,0.0715016,0.0256069,0.0114921,0.0173059,0.0241293,0.036755,0.0432103,0.0532375,0.0372484,0.0121395,0.0128137,0.0239519,0.0259763,0.0150461,0.0140029,0.0088493,0.0191075,0.036083,0,0.0205753,0.0658859,0.0305175,0,0,0.0151355,0,0,0.037635,0.0601458,0.0236595,0.0203212,0.0169579,0.0417588,0.036094,0.0438746,0.074817,0.0685599,0.0258995,0.0658491,0.051588,0.0843738,0.0136342,0.0163361,0.0246934,0.0273334,0.0289051,0,0
2,0.0195532,0,0,0,0,0.0473346,0,0,0,0,0,0,0.0356122,0,0.020914,0.0721534,0,0,0.012891,0,0,0.0371571,0.0714596,0.025778,0.0111413,0.0172329,0.0241114,0.0370164,0.0434437,0.0531649,0.0369865,0.0121027,0.0128693,0.0238205,0.0258714,0.0155037,0.0139044,0.0088229,0.0192699,0.0407453,0,0.0192614,0.0656689,0.0303934,0,0,0.0151033,0,0,0.0376719,0.0597105,0.0235014,0.0196471,0.0123887,0.0416422,0.0361962,0.0433677,0.07572,0.0697471,0.026363,0.0656709,0.0513106,0.0836611,0.0120172,0.0163188,0.0248194,0.0272114,0.0291135,0,0
3,0.0195668,0,0,0,0,0.0473338,0,0,0,0,0,0,0.0354791,0,0.0209119,0.0721437,0,0,0.0128654,0,0,0.0371571,0.0713797,0.0256481,0.0110635,0.0172332,0.0240688,0.0370052,0.0436354,0.0531629,0.036858,0.0120808,0.0128725,0.0238053,0.0258797,0.0157273,0.0139113,0.00881246,0.0192429,0.0415218,0,0.0186934,0.0653739,0.0303773,0,0,0.015059,0,0,0.0376731,0.05968,0.0234672,0.0195479,0.0116401,0.0416877,0.0361099,0.0432711,0.0758613,0.0698697,0.0264158,0.0657074,0.0513219,0.0836213,0.0120657,0.0163528,0.024874,0.0272008,0.0291228,0,0
4,0.0195536,0,0,0,0,0.047365,0,0,0,0,0,0,0.0355126,0,0.0208926,0.0722466,0,0,0.0128493,0,0,0.0371595,0.0713323,0.0255408,0.0110638,0.0172261,0.0240717,0.0370003,0.0436563,0.0531685,0.0368193,0.0120754,0.0128477,0.0237694,0.0258559,0.0158027,0.013934,0.0088144,0.0191949,0.0413293,0,0.0185298,0.0653265,0.0303667,0,0,0.0150325,0,0,0.0376891,0.0597339,0.0234577,0.0195201,0.0115849,0.0417319,0.0360957,0.0431639,0.075814,0.0698767,0.0264791,0.0657436,0.0513665,0.0836745,0.0120786,0.0163521,0.0248991,0.027224,0.0291402,0,0
5,0.019514,0,0,0,0,0.0473964,0,0,0,0,0,0,0.035654,0,0.0208523,0.0723468,0,0,0.0128454,0,0,0.0371719,0.07132,0.0258208,0.0111305,0.0172222,0.0240598,0.0370019,0.0436489,0.0531812,0.0367843,0.0120802,0.0128789,0.0237106,0.025799,0.0158169,0.0139354,0.00884427,0.0191445,0.0409264,0,0.0184915,0.0653286,0.0303579,0,0,0.0150535,0,0,0.0377272,0.0598274,0.02343,0.0195354,0.0116736,0.0417638,0.036078,0.0431579,0.0757419,0.0698523,0.0265164,0.0657711,0.0514199,0.0837569,0.0120703,0.0163382,0.0249274,0.0272507,0.0291576,0,0
6,0.0195009,0,0,0,0,0.0474658,0,0,0,0,0,0,0.0357661,0,0.0208172,0.0724029,0,0,0.0128684,0,0,0.0371813,0.0713007,0.0260671,0.0111966,0.0172204,0.0240243,0.0370067,0.0436646,0.0531948,0.03678,0.0120625,0.0129166,0.0236483,0.0257387,0.0158694,0.0139391,0.00885862,0.0190969,0.0406504,0,0.0184746,0.0652953,0.0303914,0,0,0.0150413,0,0,0.0377471,0.0598852,0.0233759,0.0196351,0.0117032,0.0417814,0.0362292,0.0431756,0.0756754,0.0698333,0.0265493,0.0657797,0.051455,0.0838227,0.0120944,0.0163038,0.0249105,0.0272805,0.0291396,0,0
7,0.0195042,0,0,0,0,0.0474904,0,0,0,0,0,0,0.0358627,0,0.0207955,0.0724353,0,0,0.0128639,0,0,0.0371773,0.0712728,0.0261073,0.0112361,0.01723,0.0239941,0.0370094,0.0436783,0.053195,0.0367983,0.0120587,0.0129351,0.0235779,0.0257056,0.0159381,0.0139442,0.00885575,0.0190589,0.0404909,0,0.0184578,0.0652443,0.0303988,0,0,0.0149957,0,0,0.0376398,0.0598786,0.023342,0.0197203,0.0117255,0.0418004,0.0361959,0.0431308,0.0756056,0.0698229,0.0265733,0.0657954,0.0514682,0.0838609,0.0121239,0.0162499,0.0247412,0.0272961,0.0291281,0,0
8,0.0195059,0,0,0,0,0.0475087,0,0,0,0,0,0,0.0359901,0,0.020788,0.0724979,0,0,0.0128483,0,0,0.0371611,0.0712281,0.0259773,0.011249,0.0172151,0.0240289,0.0370172,0.0435588,0.053197,0.0368215,0.0120474,0.012926,0.0235454,0.025702,0.0159127,0.0139617,0.00885452,0.019033,0.0404078,0,0.0184407,0.0652429,0.0304034,0,0,0.0149794,0,0,0.0376974,0.0598941,0.0233329,0.0196876,0.0117566,0.041809,0.03609,0.0430425,0.0755618,0.0698138,0.0265948,0.0658224,0.0515161,0.0838935,0.0121371,0.0162068,0.0247846,0.0272976,0.0291427,0,0
9,0.0195002,0,0,0,0,0.047534,0,0,0,0,0,0,0.0360727,0,0.0207854,0.0725838,0,0,0.0128573,0,0,0.0371578,0.071172,0.0259758,0.011276,0.0171934,0.0240672,0.0370135,0.043316,0.0532249,0.0368349,0.0120266,0.0128982,0.0235664,0.0257227,0.0156952,0.0139636,0.0088528,0.0190315,0.0403599,0,0.0184058,0.0652287,0.030426,0,0,0.0149865,0,0,0.0378313,0.0599711,0.0233154,0.0195951,0.0117859,0.0418122,0.0360203,0.0430163,0.0755639,0.0697941,0.0266202,0.0658637,0.0515613,0.0839397,0.0121345,0.01617,0.024971,0.0273128,0.0291423,0,0
10,0.0194995,0,0,0,0,0.0475617,0,0,0,0,0,0,0.0361605,0,0.0207623,0.0725949,0,0,0.0128745,0,0,0.0371558,0.0711638,0.0261286,0.0113254,0.0172208,0.0240465,0.0370016,0.0432912,0.0532498,0.0368416,0.0120115,0.0129011,0.0234694,0.025635,0.0158449,0.013971,0.00887253,0.0190242,0.0403043,0,0.018386,0.0652135,0.0304396,0,0,0.0150055,0,0,0.037828,0.0600137,0.0233054,0.0196084,0.0118195,0.0418005,0.0359693,0.0430082,0.0755807,0.0697802,0.0266211,0.0658996,0.0516001,0.0839826,0.01212,0.0161535,0.0249667,0.0273179,0.0291215,0,0
11,0.0195193,0,0,0,0,0.0475691,0,0,0,0,0,0,0.0362723,0,0.0207177,0.0725548,0,0,0.0128533,0,0,0.0371851,0.0711835,0.0266388,0.0113805,0.0172936,0.0239547,0.0369858,0.0434235,0.0532634,0.0368352,0.0120061,0.0129133,0.0232798,0.0254769,0.0162373,0.0140003,0.0089348,0.0189538,0.0402809,0,0.0183922,0.0651662,0.0304492,0,0,0.015024,0,0,0.0377511,0.0599775,0.0233136,0.0197147,0.0118067,0.0417673,0.0359259,0.0429861,0.0755376,0.069754,0.02658,0.0659005,0.0516355,0.0840063,0.0121485,0.0161111,0.0248673,0.0273412,0.0290781,0,0
12,0.0195426,0,0,0,0,0.0475598,0,0,0,0,0,0,0.0363779,0,0.0206692,0.0724756,0,0,0.0128171,0,0,0.0372378,0.0712326,0.0271944,0.011397,0.0173892,0.0238295,0.0369521,0.043621,0.0532778,0.0368408,0.0120035,0.0129654,0.0230447,0.0252717,0.0167494,0.014017,0.00903749,0.0188549,0.0402133,0,0.0183982,0.0651271,0.0304721,0,0,0.0150691,0,0,0.037782,0.0599134,0.0233348,0.019837,0.0117535,0.0417305,0.0359109,0.0430081,0.0754753,0.0697283,0.0265177,0.0659282,0.0516488,0.0840196,0.0121694,0.0159795,0.0249512,0.0273551,0.029025,0,0
13,0.0195329,0,0,0,0,0.0475955,0,0,0,0,0,0,0.0365425,0,0.0206469,0.0724948,0,0,0.01283,0,0,0.0372165,0.0713326,0.027532,0.0114298,0.0174337,0.0239642,0.0369518,0.0436203,0.053307,0.0368636,0.0119886,0.0130202,0.0228475,0.0250835,0.0169952,0.0140188,0.00899571,0.0188706,0.0402871,0,0.0183676,0.0651609,0.0304733,0,0,0.0150625,0,0,0.037777,0.0599256,0.0232876,0.0197397,0.0117969,0.0417423,0.0359102,0.0429652,0.0754373,0.0697532,0.0265866,0.0659468,0.0516455,0.0840344,0.012156,0.0157562,0.0249941,0.0273601,0.0290389,0,0
14,0.0205921,0,0,0,0,0.0482282,0,0,0,0,0,0,0.0350166,0,0,0.0743293,0,0,0.0121302,0,0,0.0377948,0.0697618,0.0193368,0.0127312,0.0157334,0.0235678,0.0363548,0,0.0544265,0.0363747,0.0110055,0.0112759,0.0277411,0.0288745,0.00898238,0.0144159,0.00850659,0.01817,0.0374447,0,0.0172341,0.064606,0.0306975,0,0,0.0151292,0,0,0.0378577,0.060367,0.0235743,0.0191242,0.0110437,0.0405531,0.0350619,0.0425791,0.0749224,0.0697311,0.0268148,0.0663698,0.052248,0.0846307,0.0127333,0.0155294,0.0240878,0.0281372,0.0281095,0,0
15,0.0195952,0,0,0,0,0.0477335,0,0,0,0,0,0,0.0364164,0,0.020633,0.0725049,0,0,0.012857,0,0,0.03719,0.0713347,0.0274208,0.01132,0.0174469,0.0241424,0.0369627,0.0437933,0.0533397,0.0368715,0.0119932,0.0130918,0.0228546,0.0250994,0.0170809,0.0140742,0.00899225,0.0189093,0.0404868,0,0.0182965,0.0651275,0.0305658,0,0,0.015017,0,0,0.0377162,0.059929,0.0232484,0.0196302,0.0117522,0.0416753,0.0357421,0.0428984,0.0754418,0.0697715,0.0266097,0.0659744,0.0517277,0.0840408,0.012112,0.0157028,0.0248942,0.0274364,0.0289879,0,0
16,0.019606,0,0,0,0,0.047731,0,0,0,0,0,0,0.0362542,0,0.0206803,0.0725119,0,0,0.0128581,0,0,0.03719,0.0713092,0.0271591,0.0113873,0.0174706,0.0240911,0.0369773,0.0438579,0.0533558,0.0369276,0.0120203,0.0130438,0.023052,0.025252,0.0168295,0.0140969,0.00899555,0.0189202,0.0403435,0,0.0183584,0.0651756,0.0305667,0,0,0.0151133,0,0,0.0377394,0.0599267,0.0232657,0.0197136,0.0118623,0.0415775,0.0356217,0.0429295,0.0754045,0.0697477,0.0265987,0.065961,0.0516886,0.0840436,0.0121312,0.0158258,0.0249222,0.027431,0.0289721,0,0
17,0.0196366,0,0,0,0,0.0477606,0,0,0,0,0,0,0.0360379,0,0.0207338,0.072517,0,0,0.0128322,0,0,0.0371908,0.0712501,0.0268109,0.0113548,0.0174519,0.0240862,0.0369656,0.0439048,0.0534059,0.0369775,0.0120301,0.0130518,0.0232951,0.0254532,0.0165361,0.0141114,0.00898761,0.0189021,0.0403281,0,0.0183778,0.0651801,0.0306048,0,0,0.015125,0,0,0.0377185,0.0599137,0.0232712,0.0197499,0.0118383,0.0415462,0.0355934,0.0429245,0.0753503,0.0697173,0.0265494,0.0659757,0.0517025,0.0840894,0.0121225,0.0158812,0.0248869,0.0274606,0.0289283,0,0
18,0.0196727,0,0,0,0,0.0477828,0,0,0,0,0,0,0.035911,0,0.0207591,0.0726346,0,0,0.0128085,0,0,0.0372144,0.0712109,0.0265392,0.0112585,0.017428,0.0241219,0.0369519,0.0439529,0.053459,0.0370224,0.0120227,0.0131037,0.0234854,0.0256313,0.0162938,0.0141002,0.00898583,0.0188628,0.0402715,0,0.0184162,0.065163,0.0306368,0,0,0.015124,0,0,0.0376878,0.0598943,0.0232869,0.0197654,0.0118227,0.0415188,0.0355683,0.0429179,0.0753948,0.0696799,0.0265026,0.0660101,0.0517477,0.0841247,0.0121246,0.0158847,0.0248375,0.02749,0.0288814,0,0
19,0.0196996,0,0,0,0,0.0478097,0,0,0,0,0,0,0.0358706,0,0.0207701,0.0726854,0,0,0.0128152,0,0,0.0372572,0.0711816,0.0264133,0.0112266,0.0174283,0.0242856,0.0369491,0.044,0.0534789,0.0370549,0.0120339,0.013113,0.0235997,0.0257175,0.0161752,0.0141204,0.00901537,0.0188339,0.0402967,0,0.0184121,0.0652396,0.0306377,0,0,0.0150642,0,0,0.0376633,0.0598892,0.023291,0.0197107,0.0118667,0.0415184,0.0355021,0.0429169,0.0753945,0.0696869,0.0265539,0.0660059,0.0517583,0.0841227,0.0121344,0.0159033,0.0247946,0.0275099,0.0288691,0,0
20,0.0197331,0,0,0,0,0.0478244,0,0,0,0,0,0,0.0357558,0,0.0207757,0.0726722,0,0,0.012839,0,0,0.0372265,0.071149,0.0263047,0.0111931,0.0174408,0.0244069,0.0369225,0.0440596,0.0535087,0.0370542,0.0120432,0.0131081,0.023694,0.0257839,0.0161037,0.0141434,0.00902965,0.0188204,0.0403228,0,0.0184007,0.0653176,0.0306567,0,0,0.0149854,0,0,0.0376661,0.0598895,0.0233,0.0196186,0.0118841,0.041516,0.0354428,0.0429245,0.0753476,0.0696964,0.0265831,0.0659669,0.0517548,0.0841313,0.0121396,0.0159444,0.0247655,0.0275349,0.0288372,0,0
21,0.0197618,0,0,0,0,0.0478133,0,0,0,0,0,0,0.0356167,0,0.0207791,0.0726042,0,0,0.0128611,0,0,0.0371708,0.0711046,0.0262136,0.0111279,0.0174692,0.0244376,0.0368628,0.0441301,0.053551,0.0370486,0.0120381,0.0131232,0.0237725,0.0258461,0.0160891,0.014121,0.0090169,0.0188146,0.0402969,0,0.0184192,0.0652252,0.0306818,0,0,0.0149342,0,0,0.0376165,0.0598486,0.0233144,0.0196074,0.0118499,0.041472,0.0354363,0.0429357,0.0753326,0.0696872,0.0265467,0.0659808,0.0517556,0.0841335,0.0121285,0.0160214,0.0246777,0.0275578,0.0287741,0,0
22,0.0198198,0,0,0,0,0.0477987,0,0,0,0,0,0,0.035515,0,0.0207657,0.0725069,0,0,0.0128493,0,0,0.0372076,0.0710566,0.0261669,0.0110335,0.0175057,0.0243905,0.0368006,0.044187,0.0536154,0.0370402,0.0120191,0.0131475,0.023829,0.0258794,0.0161525,0.0140895,0.00899319,0.0188124,0.040234,0,0.0184137,0.0650914,0.030728,0,0,0.0149016,0,0,0.0375038,0.0597797,0.0233107,0.0196808,0.0117596,0.0414274,0.0355716,0.0429309,0.0753389,0.0696618,0.0264691,0.0660026,0.0517482,0.0841249,0.012111,0.0161128,0.0245217,0.027585,0.0287068,0,0
23,0.0198708,0,0,0,0,0.0477662,0,0,0,0,0,0,0.0354745,0,0.0207524,0.0724848,0,0,0.0128459,0,0,0.0372441,0.0710291,0.0261994,0.0109904,0.0175504,0.0243975,0.0367338,0.0442054,0.0536685,0.0371067,0.0119974,0.0131503,0.0238498,0.0258732,0.0162306,0.0140695,0.00899326,0.018797,0.040176,0,0.0184063,0.0651006,0.0307527,0,0,0.0148604,0,0,0.0374535,0.0597478,0.0233179,0.0197098,0.0117206,0.041425,0.035626,0.0429364,0.075354,0.0696481,0.0264608,0.0660024,0.0517466,0.0841212,0.0121108,0.0162502,0.0244161,0.0275923,0.0286743,0,0
24,0.0198909,0,0,0,0,0.0477699,0,0,0,0,0,0,0.0355217,0,0.0207182,0.072508,0,0,0.0128506,0,0,0.037268,0.0710384,0.0263563,0.0109816,0.0176247,0.0245254,0.0366692,0.0441974,0.0536905,0.0371481,0.0119872,0.0131208,0.0237701,0.025805,0.0163752,0.0140553,0.00900618,0.0187993,0.0401987,0,0.018406,0.065262,0.0307644,0,0,0.0148276,0,0,0.0374407,0.0597603,0.0233177,0.0196061,0.0117301,0.0414531,0.0355916,0.0429889,0.0753642,0.0696641,0.0265195,0.0659889,0.0517243,0.0841162,0.0121182,0.0163563,0.0243947,0.0275917,0.0286682,0,0
25,0.0212072,0,0,0,0,0.046905,0,0,0,0,0,0,0.0349718,0,0,0.0743063,0,0,0.0121297,0,0,0.0377586,0.0694961,0.0191119,0.0123296,0.0162743,0.0242305,0.0354111,0,0.054801,0.0366856,0.0109652,0.0112939,0.0279082,0.0289766,0.00885007,0.0146335,0.00855961,0.0181493,0.0374467,0,0.0172968,0.0647368,0.0296982,0,0,0.0144453,0,0,0.0375259,0.0602951,0.0235759,0.0189311,0.0109249,0.0403411,0.0372047,0.0425742,0.0747958,0.0696175,0.0267357,0.0664625,0.052298,0.0847489,0.0127159,0.0175695,0.023466,0.0273002,0.0285164,0,0
26,0.0200884,0,0,0,0,0.04684,0,0,0,0,0,0,0.0354523,0,0.0207698,0.072535,0,0,0.0128667,0,0,0.0371832,0.0710651,0.0261432,0.0110414,0.0176061,0.0245905,0.0362066,0.0441225,0.0536407,0.0371302,0.0120029,0.0130996,0.0238194,0.0258348,0.0161736,0.0143136,0.00897803,0.0187633,0.0403701,0,0.0183515,0.0653357,0.0296482,0,0,0.01437,0,0,0.037397,0.0598801,0.0233194,0.0194577,0.0116425,0.0414195,0.0371691,0.0429401,0.0752762,0.0696654,0.0265319,0.0660409,0.0517238,0.0841516,0.0121325,0.0171575,0.0243907,0.0268364,0.0292306,0,0
27,0.0200455,0,0,0,0,0.0468817,0,0,0,0,0,0,0.0353693,0,0.0208313,0.0725779,0,0,0.0128367,0,0,0.0371471,0.0710303,0.0259685,0.0111084,0.0175498,0.024504,0.0363356,0.0441224,0.053571,0.0371508,0.0120251,0.0131012,0.0239414,0.0259287,0.0159492,0.014335,0.00900635,0.0187231,0.0403034,0,0.0183831,0.0653446,0.0296434,0,0,0.014572,0,0,0.037492,0.0598877,0.023328,0.0194892,0.0116912,0.0413656,0.0371512,0.0429366,0.075248,0.0696523,0.0265275,0.0660428,0.0517416,0.0841451,0.0121296,0.0169607,0.024549,0.0268775,0.0292185,0,0
28,0.0200068,0,0,0,0,0.046926,0,0,0,0,0,0,0.0353134,0,0.020894,0.0726492,0,0,0.0127892,0,0,0.0370635,0.0710247,0.0257641,0.0111643,0.0174949,0.0244359,0.0363912,0.0441256,0.0534715,0.037131,0.0120387,0.0130978,0.0240598,0.0260239,0.0157159,0.0143474,0.00896637,0.0186504,0.0403315,0,0.0183838,0.0654068,0.0296585,0,0,0.0146355,0,0,0.0375355,0.0598858,0.0232818,0.0194961,0.0116799,0.0413361,0.0372653,0.0429058,0.0752698,0.0696443,0.0265307,0.06605,0.0517535,0.0841295,0.0121091,0.0167991,0.0245992,0.0269239,0.0292006,0,0
29,0.0199631,0,0,0,0,0.0469834,0,0,0,0,0,0,0.035263,0,0.0209361,0.0727166,0,0,0.0127799,0,0,0.0370338,0.0710448,0.0254705,0.0112209,0.017434,0.0243544,0.0364587,0.0440937,0.0534322,0.0371198,0.0120446,0.0130814,0.0241311,0.026084,0.0155427,0.0143533,0.00897062,0.0186255,0.0403531,0,0.0183791,0.0654473,0.0296705,0,0,0.0147097,0,0,0.0376153,0.0598995,0.0232459,0.0194945,0.0116479,0.0413139,0.0372986,0.0429399,0.0753047,0.0696394,0.0265336,0.0660484,0.0517488,0.0841267,0.0120941,0.0166578,0.0247132,0.0269722,0.0291915,0,0
30,0.0199331,0,0,0,0,0.0470547,0,0,0,0,0,0,0.035255,0,0.020968,0.072732,0,0,0.0127686,0,0,0.0370305,0.0710622,0.0251198,0.0112426,0.0174027,0.0242791,0.0364611,0.0440455,0.0534299,0.0371001,0.0120417,0.013099,0.0241512,0.0261109,0.0154911,0.0143546,0.00893835,0.0186287,0.0403741,0,0.0183744,0.0654759,0.0296877,0,0,0.0148238,0,0,0.0375151,0.0599221,0.0232553,0.0194711,0.0116362,0.0413003,0.0372815,0.04293,0.075294,0.0696526,0.0265401,0.066021,0.0517439,0.0841488,0.0120854,0.016537,0.0246266,0.0270051,0.0291896,0,0
31,0.0198891,0,0,0,0,0.0471059,0,0,0,0,0,0,0.0352849,0,0.0209811,0.0727026,0,0,0.0127677,0,0,0.0370413,0.0710547,0.024973,0.011273,0.0174043,0.0242081,0.0364612,0.0440227,0.0533856,0.0370856,0.012034,0.0131013,0.0241478,0.0261166,0.0155156,0.0143401,0.0089497,0.0186248,0.0403725,0,0.0183909,0.0654674,0.0297368,0,0,0.0149544,0,0,0.0374581,0.059935,0.0232864,0.0194569,0.011635,0.0413067,0.0372433,0.0429367,0.0753245,0.0696607,0.0265464,0.0660169,0.0517423,0.0841455,0.0120789,0.0164241,0.0246507,0.0269886,0.0291726,0,0
32,0.0198474,0,0,0,0,0.0471522,0,0,0,0,0,0,0.0352792,0,0.0210008,0.0727325,0,0,0.0127961,0,0,0.037117,0.0710677,0.0248667,0.0113177,0.0173801,0.0241234,0.036471,0.0439879,0.053342,0.0370806,0.012027,0.0130983,0.0241804,0.0261436,0.0153948,0.0143448,0.00900496,0.0186529,0.0403615,0,0.0184164,0.0654512,0.0297802,0,0,0.0149828,0,0,0.0375668,0.0599415,0.0233232,0.019503,0.0116343,0.0413119,0.0371861,0.0429661,0.0753744,0.069649,0.0265469,0.066026,0.0517452,0.084139,0.0120852,0.0163779,0.0247957,0.0268997,0.0291423,0,0
33,0.0198257,0,0,0,0,0.0471814,0,0,0,0,0,0,0.0352964,0,0.0210032,0.0727794,0,0,0.0128193,0,0,0.0372084,0.071091,0.0249062,0.0113599,0.0173669,0.0240483,0.0364913,0.0439687,0.0532847,0.0370435,0.0120305,0.0130888,0.024157,0.0260971,0.0153293,0.0143423,0.00900225,0.0187123,0.0403502,0,0.0184359,0.0654351,0.0298188,0,0,0.0149644,0,0,0.0376287,0.0599252,0.0233693,0.0195319,0.0116077,0.0413348,0.0371645,0.0430157,0.0753638,0.0696463,0.026565,0.066022,0.0517418,0.0841278,0.0120986,0.0163437,0.0248824,0.0268544,0.0291006,0,0
34,0.019798,0,0,0,0,0.0471948,0,0,0,0,0,0,0.0353655,0,0.0209908,0.0728067,0,0,0.0128252,0,0,0.0370796,0.0711272,0.025162,0.0114279,0.0173853,0.0239876,0.0365475,0.0439616,0.0532463,0.0369968,0.0120269,0.0130728,0.0240393,0.0259952,0.0154612,0.0143061,0.00897725,0.0186964,0.0403494,0,0.0185176,0.0654365,0.0298766,0,0,0.0149756,0,0,0.0376148,0.0599114,0.0235173,0.0195647,0.0116303,0.0413556,0.0371838,0.042979,0.0753176,0.0696479,0.02658,0.0660389,0.0517537,0.0841324,0.0121481,0.0163486,0.0248714,0.0269938,0.0290526,0,0
35,0.019752,0,0,0,0,0.0472205,0,0,0,0,0,0,0.0354584,0,0.0209794,0.072804,0,0,0.0128357,0,0,0.0370228,0.0711596,0.0255585,0.0114946,0.0174287,0.0239412,0.0365993,0.0439169,0.0532525,0.0369622,0.0120223,0.0130576,0.023873,0.0258747,0.0156423,0.0142612,0.00896843,0.018698,0.040348,0,0.0185635,0.0654479,0.0299184,0,0,0.0149893,0,0,0.0375601,0.0599282,0.0236126,0.0195749,0.0116395,0.0413742,0.0371854,0.0429888,0.0753066,0.0696338,0.0265852,0.0660301,0.0517442,0.0841325,0.0121798,0.0163642,0.0248036,0.0270016,0.0290437,0,0
36,0.0197216,0,0,0,0,0.0472348,0,0,0,0,0,0,0.0355561,0,0.0209451,0.0728097,0,0,0.0128842,0,0,0.0372239,0.0711763,0.0258169,0.0115316,0.0174683,0.0238941,0.0365913,0.043888,0.05323,0.0369496,0.0120088,0.0130605,0.0236796,0.0257113,0.015911,0.0142393,0.00899247,0.0187869,0.0403544,0,0.0185722,0.0654397,0.0299467,0,0,0.0149739,0,0,0.0374423,0.0599431,0.0236208,0.0196224,0.0116395,0.0413666,0.0370811,0.0430044,0.0753356,0.0696212,0.0266048,0.0660058,0.0517272,0.0841423,0.0121927,0.0163893,0.0246136,0.0268652,0.0290324,0,0
37,0.0196933,0,0,0,0,0.0471935,0,0,0,0,0,0,0.0357584,0,0.020892,0.0728245,0,0,0.0128864,0,0,0.0372585,0.0712099,0.0263638,0.0115715,0.0174936,0.0238239,0.0365196,0.0438681,0.0531838,0.0369266,0.0120297,0.013044,0.0234308,0.0254866,0.0162523,0.0141895,0.00896959,0.0188322,0.040404,0,0.0185514,0.0653954,0.0299802,0,0,0.0149947,0,0,0.0373933,0.0599574,0.0235875,0.0196827,0.0116528,0.0413601,0.0369102,0.0430115,0.0753517,0.0696176,0.0266016,0.0659911,0.051733,0.0841511,0.0121858,0.0163928,0.024541,0.026929,0.0290175,0,0
38,0.0206744,0,0,0,0,0.0477549,0,0,0,0,0,0,0.0350371,0,0,0.0746147,0,0,0.0122118,0,0,0.0376372,0.0696226,0.0191712,0.0127833,0.0159853,0.0232785,0.0359058,0,0.0542822,0.0364271,0.0110784,0.0112051,0.0277177,0.0287757,0.00870964,0.0145173,0.00855255,0.0180755,0.0375116,0,0.0174133,0.0647418,0.0302548,0,0,0.0150617,0,0,0.0374907,0.0604267,0.0238681,0.0191787,0.0108374,0.0402373,0.0361662,0.0426138,0.074846,0.0695737,0.0267792,0.0664365,0.0523324,0.0847762,0.0127091,0.0162923,0.0237189,0.0277553,0.0280853,0,0
39,0.0196407,0,0,0,0,0.0472545,0,0,0,0,0,0,0.0359384,0,0.0208455,0.0728081,0,0,0.0128742,0,0,0.0369509,0.0712173,0.0268812,0.0115574,0.0175513,0.0237391,0.0365057,0.0438825,0.0531528,0.0368949,0.0120211,0.0130444,0.0232786,0.0253264,0.0164535,0.0140598,0.0089159,0.0187601,0.0404426,0,0.0185281,0.0653229,0.0301234,0,0,0.0149509,0,0,0.0373987,0.0599645,0.0235812,0.019739,0.0115886,0.0414233,0.0369976,0.0430257,0.0754229,0.0696206,0.0265852,0.0659925,0.0517393,0.0841397,0.0121798,0.0164894,0.0245354,0.0270288,0.028946,0,0
