Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRB,STRN,T10,RTIBA,RWRA
670,0.0223305,0,0,0,0,0.0488679,0,0,0,0,0,0,0.0344837,0,0.0196578,0.0737856,0,0,0.013553,0,0,0.0349656,0.0726393,0.0204538,0.0116676,0.0167329,0.0230495,0.0377444,0.0388941,0.0520991,0.035292,0.0135035,0.0142402,0.0270516,0.0295029,0.0108589,0.0158901,0.00749298,0.0181649,0.0345396,0,0.0158168,0.0673152,0.0306377,0,0,0.0156599,0,0,0.0443911,0.0598446,0.02528,0.0235392,0.0145699,0.0408479,0.0378424,0.0437169,0.075526,0.0713772,0.0286216,0.0650119,0.0509148,0.0835753,0.0154377,0.0166529,0.0235279,0.0284093,0.0268213,0.0416169,0.00664904
671,0.0223542,0,0,0,0,0.0488251,0,0,0,0,0,0,0.034552,0,0.0197406,0.0739575,0,0,0.0136129,0,0,0.0349545,0.072604,0.0204895,0.0117968,0.0166577,0.02262,0.0376362,0.0389245,0.0521173,0.0352376,0.0134493,0.0141821,0.0271007,0.0295169,0.0107403,0.0158604,0.00755482,0.0181369,0.034443,0,0.0157863,0.067161,0.0307264,0,0,0.0156833,0,0,0.0444251,0.0599016,0.0253011,0.0235033,0.0146909,0.0408413,0.037754,0.043709,0.0756305,0.0713278,0.0286216,0.0650369,0.0510158,0.0836484,0.0155159,0.0167233,0.0235646,0.0283755,0.0268128,0.0415876,0.00657357
672,0.0223128,0,0,0,0,0.0487633,0,0,0,0,0,0,0.0346263,0,0.0197631,0.0739773,0,0,0.0136851,0,0,0.0349607,0.0726221,0.0204851,0.0117324,0.0165772,0.0229515,0.037502,0.0388379,0.0520856,0.0352297,0.0134662,0.0141801,0.0271597,0.0295651,0.0106334,0.0157952,0.00760155,0.0181,0.0342966,0,0.0158387,0.067079,0.030792,0,0,0.0155975,0,0,0.0445007,0.0599777,0.0252626,0.0235982,0.0148458,0.0410321,0.0377952,0.0437044,0.0759943,0.0713117,0.028667,0.0650507,0.0510577,0.0836928,0.0155883,0.0167425,0.0237183,0.0283105,0.0268638,0.0415603,0.00654424
673,0.0220803,0,0,0,0,0.0490493,0,0,0,0,0,0,0.0346515,0,0.0196219,0.0738686,0,0,0.0138323,0,0,0.0351109,0.0727507,0.0205627,0.0116721,0.0166631,0.0232682,0.0374624,0.0386507,0.0519978,0.0352664,0.0136151,0.0143188,0.027011,0.0295246,0.0107619,0.0155243,0.00738936,0.0181845,0.034502,0,0.0158592,0.0671597,0.031223,0,0,0.0132068,0,0,0.0361784,0.0599056,0.0252757,0.0238255,0.0149065,0.041211,0.0355727,0.0437905,0.0761941,0.0713423,0.0287435,0.0649826,0.0509327,0.0835839,0.015462,0.0165754,0.023948,0.0284772,0.0267452,0.0415448,0
674,0.0220739,0,0,0,0,0.0496723,0,0,0,0,0,0,0.0345658,0,0.0195193,0.0738004,0,0,0.0137026,0,0,0.0351942,0.07273,0.0204797,0.0116046,0.0168745,0.0236235,0.0378269,0.0387237,0.0520581,0.0353276,0.0137268,0.0144338,0.026904,0.0295431,0.0108414,0.0157052,0.0074134,0.0181502,0.0344421,0,0.0159286,0.0671883,0.0317833,0,0,0.0168045,0,0,0.0440463,0.0598656,0.0253203,0.0237883,0.0148764,0.0410783,0.0359207,0.0437655,0.0762432,0.0713647,0.0287398,0.0649687,0.050826,0.0835646,0.0154647,0.015611,0.0232507,0.0288698,0.0264937,0.0415419,0.00749164
675,0.022072,0,0,0,0,0.0496327,0,0,0,0,0,0,0.0346596,0,0.0195871,0.0739169,0,0,0.0137546,0,0,0.0352053,0.0726974,0.0205834,0.0116495,0.0167931,0.0236132,0.0376632,0.0387828,0.0520662,0.0352668,0.0136293,0.0143273,0.0268808,0.0294982,0.0107574,0.0155447,0.00742571,0.0181015,0.034439,0,0.0157901,0.0671055,0.0318693,0,0,0.0164843,0,0,0.0440133,0.0598702,0.0253812,0.0239416,0.0149598,0.0410597,0.0358717,0.0438102,0.0761319,0.0713623,0.0287525,0.0649181,0.0507111,0.0835773,0.0154785,0.0156882,0.0234242,0.0288358,0.0265421,0.0414983,0.00697074
676,0.0220022,0,0,0,0,0.0488625,0,0,0,0,0,0,0.0346021,0,0.0196444,0.0738795,0,0,0.0140119,0,0,0.0351192,0.0728173,0.0206015,0.0115875,0.0166511,0.0236301,0.0372358,0.0386151,0.0519899,0.0352599,0.0136448,0.014357,0.0270168,0.0295554,0.0108598,0.015284,0.00734108,0.0182307,0.0345412,0,0.0158128,0.0670267,0.0314021,0,0,0.0133823,0,0,0.0361641,0.0599207,0.0252963,0.0240776,0.0149148,0.0411363,0.0355478,0.0438223,0.0760857,0.0713914,0.0288837,0.0647953,0.0506868,0.0835751,0.0154689,0.0166842,0.0239547,0.028286,0.0269135,0.0414918,0
677,0.0219979,0,0,0,0,0.0494627,0,0,0,0,0,0,0.034516,0,0.0196351,0.0737421,0,0,0.0138697,0,0,0.0352199,0.0727614,0.0205884,0.0114791,0.0167261,0.0238204,0.0375594,0.0387851,0.052105,0.0353,0.0135898,0.0143041,0.0270677,0.029563,0.0109324,0.0153964,0.00741944,0.0181813,0.0344208,0,0.0157965,0.0671061,0.0319669,0,0,0.0168614,0,0,0.0439692,0.0599022,0.0253384,0.0239473,0.0149302,0.0410711,0.0360047,0.0438478,0.076122,0.0713748,0.0288669,0.064769,0.0506667,0.0835745,0.015491,0.0156931,0.0233014,0.0286871,0.0265564,0.0415078,0.00736963
678,0.0219713,0,0,0,0,0.0493321,0,0,0,0,0,0,0.0344171,0,0.0196041,0.0735556,0,0,0.0139404,0,0,0.0352324,0.0727646,0.0206098,0.0113245,0.0167672,0.0237015,0.0374341,0.0388269,0.0521505,0.0353463,0.0135897,0.0143016,0.0271259,0.0295786,0.0110794,0.0153125,0.00739531,0.0182314,0.0343308,0,0.01583,0.06737,0.0319801,0,0,0.0165953,0,0,0.0440476,0.0598402,0.0253095,0.0237306,0.0149117,0.0410918,0.0360973,0.0439056,0.0762502,0.0713599,0.028777,0.064775,0.0505713,0.0835728,0.0155385,0.0157365,0.02339,0.0286135,0.0265809,0.041515,0.00709132
679,0.0219387,0,0,0,0,0.04921,0,0,0,0,0,0,0.0343481,0,0.0196585,0.0735581,0,0,0.0140511,0,0,0.0352303,0.0727252,0.020547,0.0112892,0.0167706,0.0235812,0.0372942,0.038931,0.0521625,0.0353047,0.0135524,0.0142508,0.0271465,0.0295671,0.0110883,0.0151882,0.00743609,0.018298,0.0342485,0,0.015854,0.0674258,0.0320474,0,0,0.016212,0,0,0.0438487,0.0598342,0.0252679,0.0236693,0.0149021,0.0411502,0.0361711,0.0439099,0.076236,0.0713659,0.0287507,0.0647984,0.0507588,0.0835963,0.0155963,0.0158593,0.0234287,0.0285115,0.0266246,0.041483,0.00686028
680,0.0219598,0,0,0,0,0.0491221,0,0,0,0,0,0,0.0343102,0,0.0196522,0.0736049,0,0,0.0141128,0,0,0.0353528,0.0726624,0.0204573,0.0113495,0.0168332,0.0237118,0.0371278,0.0390938,0.0521676,0.0352718,0.0135493,0.0142572,0.0270797,0.0294996,0.0110785,0.0151393,0.00747078,0.0183107,0.0342964,0,0.0159027,0.0674268,0.0320789,0,0,0.0161509,0,0,0.0438777,0.0598109,0.0252776,0.0237126,0.0149086,0.0411468,0.0362237,0.0439098,0.0762985,0.0713608,0.028707,0.0648005,0.0508568,0.0836332,0.0155737,0.0159599,0.0234199,0.0284336,0.0266655,0.0415169,0.00679652
681,0.021974,0,0,0,0,0.0490487,0,0,0,0,0,0,0.0343118,0,0.0196435,0.0736224,0,0,0.0141622,0,0,0.0355983,0.0726057,0.0204507,0.0113676,0.0168419,0.0238732,0.0369097,0.0392231,0.0521852,0.0352486,0.0135022,0.0142162,0.0269958,0.0294307,0.0110768,0.0150901,0.00747782,0.0183421,0.034356,0,0.0158838,0.0674449,0.0321056,0,0,0.0161286,0,0,0.0438577,0.0597715,0.0253333,0.0237664,0.0149816,0.0411088,0.0362945,0.0439245,0.0763131,0.0713332,0.0286793,0.0648077,0.0508683,0.0836227,0.0155187,0.016071,0.0233554,0.0283955,0.0267022,0.0415266,0.00672185
682,0.0219289,0,0,0,0,0.0489404,0,0,0,0,0,0,0.034252,0,0.0196669,0.0736107,0,0,0.0142118,0,0,0.035729,0.0725998,0.0204269,0.0113268,0.0168499,0.023975,0.0367553,0.0392613,0.0522075,0.0352414,0.0134951,0.0142124,0.0270353,0.0294293,0.0111154,0.0150688,0.00752819,0.0183899,0.0344032,0,0.0158738,0.067379,0.0321142,0,0,0.0161353,0,0,0.0438125,0.059786,0.0253031,0.023851,0.0149861,0.041035,0.0363957,0.0438846,0.0762176,0.0713871,0.0287556,0.0648582,0.0508639,0.0835885,0.0154931,0.0161941,0.0233691,0.028323,0.0267639,0.0415535,0.00666286
683,0.0219066,0,0,0,0,0.0488459,0,0,0,0,0,0,0.0341942,0,0.0196691,0.0735927,0,0,0.014219,0,0,0.0357639,0.0725987,0.0204074,0.0112749,0.016877,0.0239567,0.0366285,0.0392899,0.0522265,0.0352349,0.0135032,0.0142212,0.0271126,0.0294424,0.0111726,0.015058,0.00758804,0.0183599,0.0344612,0,0.0158459,0.0673369,0.0320809,0,0,0.016187,0,0,0.0438784,0.0597923,0.0252576,0.0238861,0.0149194,0.0409337,0.0364774,0.0438452,0.0760752,0.0714078,0.0288734,0.0649608,0.0508224,0.0835692,0.0154645,0.0162895,0.0233918,0.0282642,0.0267817,0.0415766,0.00665179
684,0.0219003,0,0,0,0,0.0488128,0,0,0,0,0,0,0.0342624,0,0.0197269,0.0736702,0,0,0.0142319,0,0,0.0358393,0.0725463,0.0204512,0.0113053,0.0168532,0.023868,0.0364547,0.0393746,0.0522538,0.0351851,0.0134135,0.0141146,0.0271276,0.0294309,0.0110943,0.0149794,0.00763447,0.0183368,0.0344076,0,0.0157319,0.0672655,0.0321334,0,0,0.0161292,0,0,0.0439039,0.0598166,0.0252634,0.0239074,0.0149995,0.040986,0.0364806,0.0438296,0.0760473,0.0713438,0.0289112,0.064997,0.0507603,0.0836254,0.0154891,0.0163711,0.023349,0.0282696,0.0267533,0.0415573,0.00656597
685,0.0219227,0,0,0,0,0.0488036,0,0,0,0,0,0,0.034315,0,0.0197217,0.0736886,0,0,0.0141821,0,0,0.0359423,0.072512,0.0205048,0.0113538,0.0168519,0.0239502,0.036291,0.0394043,0.0522556,0.0351824,0.0133751,0.0140741,0.0270971,0.0293848,0.0110812,0.0149506,0.00760105,0.0183292,0.0344331,0,0.0156872,0.0672646,0.0321733,0,0,0.0161844,0,0,0.0439645,0.0598239,0.0252718,0.0239386,0.0151207,0.0409455,0.0364778,0.0438274,0.0761407,0.0712926,0.0288838,0.0649257,0.0507709,0.0836702,0.015472,0.0163858,0.0232632,0.0282623,0.0267363,0.0415518,0.00657211
686,0.0218819,0,0,0,0,0.0486542,0,0,0,0,0,0,0.0341424,0,0.0197093,0.0735611,0,0,0.0141827,0,0,0.0358888,0.0725576,0.0203622,0.0113022,0.0168747,0.0242164,0.0362615,0.0392759,0.0521995,0.0352676,0.013518,0.0142318,0.0272213,0.0295152,0.0112295,0.0149779,0.0076213,0.018447,0.0344182,0,0.0158053,0.0672882,0.0321337,0,0,0.0161654,0,0,0.0438743,0.05987,0.0251318,0.0238808,0.0149928,0.0409506,0.0365236,0.0437243,0.0761449,0.0713985,0.0289564,0.0648742,0.0508626,0.0836481,0.0155219,0.0163751,0.0233346,0.0281156,0.0268178,0.0415716,0.0066799
687,0.0218952,0,0,0,0,0.0486809,0,0,0,0,0,0,0.0342373,0,0.0197545,0.0735946,0,0,0.0140717,0,0,0.0359572,0.0724932,0.0204932,0.0113846,0.0168205,0.0241337,0.0361177,0.0393482,0.0522295,0.035218,0.0134196,0.01416,0.0271418,0.0294712,0.011193,0.0149179,0.00757764,0.0184043,0.0344668,0,0.0156995,0.0673006,0.0322238,0,0,0.0160177,0,0,0.0439728,0.0598555,0.025182,0.0239416,0.01508,0.040987,0.0364156,0.0437488,0.0760695,0.0713582,0.0289392,0.0648577,0.0509296,0.083641,0.0154888,0.0163881,0.0232432,0.028154,0.0267742,0.0415707,0.0066081
