Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LANK,LTHI,RTIB
132,0,0.024055,0,0,0,0,0.0501273,0,0,0,0,0,0,0.0334674,0,0.072064,0,0,0.0212699,0,0,0.0409376,0.0719268,0.0234775,0.00966506,0.0179418,0.0300681,0.0307008,0.0405911,0.050688,0.0335331,0.0113106,0.0130742,0.0270432,0.0282469,0.0149924,0.00869151,0.0316518,0.016154,0.0370697,0,0.0149911,0.067607,0.0312005,0,0,0.0188613,0,0,0.0483576,0.0548813,0.0293981,0.027848,0.0144185,0.0472019,0.0394951,0.035538,0.0637609,0.0610158,0.0229514,0.0368119,0.0451474,0.0783867,0.0150937,0.0213271,0.0301855,0.0174408,0.0297171,0.0253684,0.0201774,0.0325402,0.058942
133,0,0.0240647,0,0,0,0,0.0499654,0,0,0,0,0,0,0.0333827,0,0.0720455,0,0,0.0211178,0,0,0.0410788,0.0719225,0.0233614,0.00965742,0.0179274,0.0300844,0.0304756,0.040596,0.0506754,0.0335547,0.0112912,0.0130923,0.0271137,0.0282723,0.0150242,0.00885563,0.0323604,0.0164417,0.0372238,0,0.014962,0.0676036,0.0312649,0,0,0.0187643,0,0,0.0484888,0.0548548,0.0294169,0.0278811,0.0144176,0.0472362,0.0391333,0.0355542,0.0637795,0.0610219,0.0229696,0.0367523,0.0452292,0.0783564,0.0150342,0.021238,0.0305766,0.0173798,0.0295895,0.0253749,0.0202062,0.0325779,0.0589349
134,0,0.024085,0,0,0,0,0.0497891,0,0,0,0,0,0,0.0333105,0,0.0720124,0,0,0.0209666,0,0,0.041221,0.0719158,0.0232863,0.00963961,0.0179255,0.0300687,0.0302705,0.0406268,0.050665,0.0335683,0.01128,0.0130971,0.0272134,0.0283067,0.0150492,0.00890557,0.0330599,0.0168805,0.0373936,0,0.0149461,0.0675942,0.0313675,0,0,0.0186622,0,0,0.0486297,0.0548136,0.0294192,0.0279256,0.0144186,0.0472586,0.0388194,0.035511,0.0638062,0.0610069,0.0229613,0.0366913,0.0452331,0.0783366,0.0149709,0.0211168,0.0309293,0.0173706,0.0294275,0.0253724,0.0202492,0.032595,0.0589473
135,0,0.0241318,0,0,0,0,0.0495752,0,0,0,0,0,0,0.0331704,0,0.0719819,0,0,0.0208256,0,0,0.0413905,0.0719129,0.0232292,0.00962407,0.0179272,0.0300088,0.0300726,0.0406532,0.0506597,0.0335453,0.0112818,0.0131131,0.0273352,0.0283605,0.0150736,0.00890192,0.0337142,0.0172358,0.0375734,0,0.0149296,0.0675847,0.0314683,0,0,0.018591,0,0,0.0486485,0.0547593,0.0294205,0.0279916,0.0143979,0.047271,0.0385463,0.0354696,0.0638176,0.0609985,0.0229301,0.0366672,0.0452179,0.0783061,0.0149026,0.0209855,0.0310228,0.0174193,0.0292197,0.0253606,0.0203168,0.0326284,0.0589392
136,0,0.024175,0,0,0,0,0.0493462,0,0,0,0,0,0,0.0330057,0,0.0719693,0,0,0.0206842,0,0,0.0415049,0.0719092,0.0230417,0.00960692,0.0179211,0.0300073,0.0298721,0.0406427,0.0506333,0.0335366,0.011266,0.0131212,0.0274294,0.0284256,0.0150926,0.00882424,0.0342506,0.0175771,0.037758,0,0.0148953,0.0676038,0.0315702,0,0,0.0185042,0,0,0.0486784,0.0547195,0.0294441,0.0280287,0.0143806,0.0472774,0.0382395,0.0354664,0.0637875,0.0610021,0.0229397,0.0366517,0.0451739,0.0782731,0.0148415,0.0208869,0.0313059,0.0176515,0.029003,0.0253541,0.0203745,0.0326906,0.0588994
137,0,0.0242164,0,0,0,0,0.0491356,0,0,0,0,0,0,0.0328426,0,0.0719379,0,0,0.0205904,0,0,0.0416746,0.0719194,0.0228957,0.00959571,0.0179061,0.0300351,0.0296678,0.0406598,0.0506185,0.0335292,0.0112578,0.0131339,0.027482,0.0284779,0.0151447,0.00884764,0.0347513,0.017948,0.0379502,0,0.0148502,0.0676053,0.0316633,0,0,0.0183864,0,0,0.0487219,0.0547049,0.0294529,0.0280511,0.0143514,0.0472791,0.0380501,0.0354801,0.0637469,0.0609998,0.022957,0.0365635,0.0451227,0.078271,0.0147776,0.0206254,0.0314384,0.0178172,0.0288043,0.025349,0.0204207,0.0327389,0.0588644
138,0,0.0242651,0,0,0,0,0.0488937,0,0,0,0,0,0,0.0326858,0,0.0718945,0,0,0.0205088,0,0,0.0417983,0.0719392,0.0227223,0.00958555,0.0178805,0.030022,0.0293883,0.0406809,0.0506197,0.0335139,0.0112882,0.0131624,0.027529,0.02854,0.0151599,0.00896195,0.0352379,0.018428,0.0381414,0,0.0148515,0.0675558,0.0317503,0,0,0.0182764,0,0,0.0488461,0.0546925,0.0295013,0.0280699,0.0143126,0.0472535,0.0378916,0.0354905,0.0637007,0.0609911,0.0229465,0.0364899,0.0450949,0.0782531,0.0147318,0.0203256,0.0314236,0.0179126,0.0286338,0.0253607,0.0204988,0.032755,0.0588349
139,0,0.024294,0,0,0,0,0.0486272,0,0,0,0,0,0,0.0324878,0,0.0718469,0,0,0.0204497,0,0,0.0419127,0.0719667,0.0224129,0.00957633,0.0178646,0.029995,0.029151,0.0406938,0.0505896,0.0335061,0.011315,0.0131565,0.0276522,0.0286239,0.0151336,0.0090741,0.0356994,0.0188653,0.0383073,0,0.0148284,0.0674697,0.0318452,0,0,0.0182032,0,0,0.048966,0.0546421,0.0295612,0.0280518,0.0142855,0.0471915,0.0377503,0.0355168,0.063648,0.0609719,0.0229206,0.036421,0.045058,0.078238,0.014708,0.0200799,0.0311661,0.0177722,0.028515,0.0254119,0.0206144,0.0327607,0.0588439
140,0,0.0243113,0,0,0,0,0.0483656,0,0,0,0,0,0,0.0322777,0,0.0718056,0,0,0.0203996,0,0,0.0419812,0.0720115,0.0221161,0.00957541,0.0178516,0.0300355,0.0289269,0.0406922,0.0505556,0.033509,0.011329,0.0131491,0.0278008,0.0287132,0.0150866,0.00914498,0.0360911,0.0192854,0.0385453,0,0.0147487,0.0675495,0.0319308,0,0,0.0181583,0,0,0.0489625,0.0546007,0.0295001,0.0280106,0.0142461,0.0471633,0.0376375,0.0355433,0.0635991,0.0609752,0.0229612,0.0363401,0.0450113,0.0782378,0.0146269,0.019858,0.0307854,0.0176134,0.0283267,0.0254808,0.0207707,0.032741,0.0588414
141,0,0.0243172,0,0,0,0,0.0481488,0,0,0,0,0,0,0.0320426,0,0.0717628,0,0,0.0203646,0,0,0.0419978,0.0720531,0.0218114,0.00955859,0.0178451,0.0300609,0.0287313,0.0407044,0.0505813,0.0335166,0.0112951,0.0131432,0.0279704,0.028828,0.0150407,0.00920918,0.0363564,0.0196419,0.0387746,0,0.0147095,0.0676124,0.0320394,0,0,0.0181251,0,0,0.0489546,0.0545831,0.0294468,0.0279868,0.0142287,0.0471377,0.0375606,0.0355246,0.0635945,0.0609743,0.023014,0.0362776,0.0449907,0.0782367,0.0145449,0.0196599,0.030574,0.017617,0.0280461,0.0255312,0.0208872,0.0327,0.058801
142,0,0.0243296,0,0,0,0,0.0479692,0,0,0,0,0,0,0.0318458,0,0.0717435,0,0,0.0203029,0,0,0.0420275,0.072076,0.0215621,0.00953396,0.0178501,0.0300592,0.0286002,0.0407064,0.0505903,0.0335049,0.011274,0.0131653,0.0281169,0.0289033,0.0149945,0.00924812,0.0364179,0.0197602,0.0389659,0,0.0146694,0.0676393,0.0321555,0,0,0.0180936,0,0,0.0489214,0.054556,0.0294289,0.0279635,0.0142213,0.0471107,0.0374448,0.035506,0.0636151,0.0609778,0.0230273,0.0362167,0.0449832,0.0782364,0.014474,0.019596,0.030355,0.0176583,0.0278048,0.0255461,0.0209758,0.0326879,0.0587736
143,0,0.0243556,0,0,0,0,0.0478037,0,0,0,0,0,0,0.0316941,0,0.0717242,0,0,0.0201917,0,0,0.0421314,0.0721099,0.0213358,0.00950268,0.0178423,0.0300549,0.0285362,0.0406632,0.0505754,0.0334789,0.011277,0.0131866,0.0282111,0.0289482,0.0149754,0.00925857,0.0363836,0.0197132,0.0392764,0,0.0146471,0.0676358,0.0322499,0,0,0.0180525,0,0,0.0489018,0.0545307,0.0294155,0.0279142,0.0142331,0.0470898,0.0372653,0.0355283,0.0636347,0.0609766,0.0230187,0.0360657,0.0449396,0.0782675,0.0143868,0.0195823,0.0300607,0.0176656,0.0276438,0.0255435,0.0210452,0.0326921,0.0587704
144,0,0.0243948,0,0,0,0,0.0476363,0,0,0,0,0,0,0.0315799,0,0.0716888,0,0,0.0200977,0,0,0.0422164,0.0721629,0.0211116,0.00946722,0.0178505,0.030069,0.0284246,0.0405985,0.0505774,0.0334467,0.0112828,0.0131917,0.0282323,0.0289684,0.0149831,0.00930378,0.0364583,0.0198164,0.039534,0,0.0146446,0.0675832,0.0323234,0,0,0.0179698,0,0,0.048799,0.054503,0.0294186,0.0278619,0.0142312,0.0470642,0.0372546,0.0355931,0.0637096,0.0609766,0.0230003,0.0358212,0.0449145,0.0782816,0.0143405,0.0195076,0.0297017,0.0178043,0.027517,0.0255404,0.0210794,0.0326944,0.058754
145,0,0.0244683,0,0,0,0,0.0474657,0,0,0,0,0,0,0.0314322,0,0.071629,0,0,0.0200347,0,0,0.042308,0.0722128,0.020755,0.00940758,0.0178516,0.030079,0.0282788,0.0405683,0.0505937,0.0334131,0.0113015,0.0131697,0.0283378,0.029026,0.0150066,0.00934796,0.0366623,0.019967,0.03967,0,0.0146175,0.0675168,0.0323741,0,0,0.0178689,0,0,0.0486292,0.0544749,0.0294087,0.0278255,0.0141865,0.0470413,0.0372519,0.0356403,0.0637202,0.0609966,0.0230258,0.0357711,0.0448934,0.0781816,0.014342,0.0194274,0.0293389,0.017926,0.0273892,0.0255485,0.0211549,0.0326926,0.0587198
146,0,0.0245288,0,0,0,0,0.0473172,0,0,0,0,0,0,0.0313168,0,0.0715932,0,0,0.0200406,0,0,0.0424677,0.0722504,0.0204889,0.00936228,0.0178411,0.0301202,0.0282261,0.0405379,0.0505647,0.0333538,0.0113019,0.0131047,0.0284547,0.0290471,0.0149849,0.00937361,0.0369156,0.020108,0.0398169,0,0.0145714,0.0676146,0.0324083,0,0,0.017814,0,0,0.0485259,0.0544428,0.0293897,0.0277801,0.0141305,0.0470421,0.0371766,0.0356642,0.0636928,0.0610406,0.0230865,0.0358186,0.0448728,0.0780981,0.014325,0.019375,0.0289575,0.0180097,0.0273432,0.0255544,0.0212398,0.0326821,0.0587012
147,0,0.0245808,0,0,0,0,0.0471844,0,0,0,0,0,0,0.0311486,0,0.0715425,0,0,0.0200213,0,0,0.042554,0.0723068,0.0202951,0.00933483,0.0178203,0.0301511,0.0282873,0.0404891,0.0505661,0.03329,0.0113026,0.0130029,0.0285131,0.0290381,0.0150259,0.0093555,0.0370383,0.0201297,0.0400243,0,0.0145312,0.0677009,0.0324292,0,0,0.0178176,0,0,0.0484916,0.0543952,0.0293762,0.0277385,0.0140759,0.0470475,0.0370754,0.0357044,0.063685,0.0610595,0.0231273,0.0357345,0.044845,0.078061,0.0142755,0.0193557,0.0285034,0.018076,0.0273514,0.0255792,0.0212604,0.0326462,0.0586578
148,0,0.0246267,0,0,0,0,0.0471094,0,0,0,0,0,0,0.0309412,0,0.0715082,0,0,0.0199945,0,0,0.0425776,0.072366,0.0200696,0.0092955,0.0177924,0.0302095,0.028315,0.0404417,0.0505622,0.033257,0.0112722,0.0129434,0.0285944,0.0291006,0.0150333,0.0093349,0.0370359,0.0200936,0.0401478,0,0.0144718,0.0677084,0.032437,0,0,0.017834,0,0,0.0484545,0.0543544,0.0294009,0.0276959,0.0140181,0.0470446,0.0370895,0.0356996,0.0637381,0.0610772,0.0231584,0.0357741,0.0448519,0.0780434,0.0142221,0.0192838,0.0279419,0.0181122,0.0271997,0.0256039,0.0213537,0.032596,0.0586055
149,0,0.0246854,0,0,0,0,0.0470735,0,0,0,0,0,0,0.03067,0,0.0714701,0,0,0.0199759,0,0,0.0426147,0.072409,0.0196265,0.00924207,0.0177461,0.0302536,0.0283977,0.040407,0.0505551,0.0332276,0.0112749,0.0129572,0.0286886,0.0292219,0.0150462,0.00928723,0.0370841,0.0200112,0.0402508,0,0.014437,0.0676935,0.0324347,0,0,0.0178027,0,0,0.0483809,0.0543177,0.0294784,0.0276509,0.0139703,0.0470292,0.0371419,0.0356831,0.0637896,0.061101,0.0231762,0.0357927,0.044848,0.0780296,0.0141956,0.0192032,0.0273151,0.0180899,0.0270834,0.0256205,0.0215215,0.03255,0.0585762
150,0,0.0247478,0,0,0,0,0.0469997,0,0,0,0,0,0,0.0306149,0,0.071417,0,0,0.0199531,0,0,0.0426599,0.0724462,0.0195391,0.00918996,0.0177067,0.0302749,0.0285248,0.040396,0.0505563,0.0332035,0.0112563,0.0128446,0.0286485,0.0291735,0.0150174,0.00924724,0.0372778,0.0200084,0.0403329,0,0.0144664,0.0676738,0.0324246,0,0,0.0177965,0,0,0.0481736,0.0542801,0.0296011,0.0275891,0.0139249,0.0470383,0.0371418,0.0357129,0.0638443,0.0611253,0.0231648,0.0357567,0.04483,0.0780076,0.0142081,0.0190963,0.0268211,0.0180647,0.0269842,0.0256362,0.0215101,0.0324759,0.0585694
151,0,0.0248038,0,0,0,0,0.0469316,0,0,0,0,0,0,0.0305599,0,0.0713508,0,0,0.0198948,0,0,0.0427623,0.0724781,0.0194609,0.00912901,0.0176949,0.0302875,0.0286668,0.0404134,0.0505987,0.0331768,0.0111921,0.0127464,0.0286759,0.0291419,0.0150043,0.0092396,0.0375908,0.0201413,0.0404374,0,0.0144932,0.0676629,0.0324396,0,0,0.0177996,0,0,0.0480662,0.054251,0.0296525,0.0275429,0.0138924,0.047074,0.0371081,0.0357343,0.0638973,0.0611389,0.023136,0.0356621,0.0447847,0.0779805,0.0142076,0.0190212,0.0267944,0.0180096,0.0269273,0.0256504,0.021497,0.0323764,0.0585586
152,0,0.0248448,0,0,0,0,0.0469319,0,0,0,0,0,0,0.030517,0,0.0712822,0,0,0.0198945,0,0,0.0428969,0.0725056,0.019443,0.00908323,0.0176441,0.0303764,0.0288073,0.0404214,0.0506342,0.0331613,0.0111309,0.0126465,0.028678,0.0291211,0.0150015,0.00920927,0.0379639,0.0204302,0.0406106,0,0.0144734,0.0676878,0.0324329,0,0,0.0178133,0,0,0.0481105,0.0542253,0.0296445,0.0275409,0.0138726,0.0471288,0.0370881,0.0357132,0.0639793,0.0611316,0.0231129,0.0355362,0.0447615,0.0779528,0.0141804,0.0189534,0.0272128,0.0179997,0.0269001,0.0256511,0.0214858,0.032313,0.0585342
153,0,0.0248962,0,0,0,0,0.0469197,0,0,0,0,0,0,0.0304783,0,0.0712359,0,0,0.0199076,0,0,0.0431189,0.0725421,0.0194063,0.00904619,0.0175932,0.0304607,0.0290051,0.0404087,0.0506378,0.0331361,0.0110797,0.0126227,0.0286855,0.0291178,0.0150213,0.00919283,0.0386142,0.0207508,0.040825,0,0.0144134,0.0677277,0.0324298,0,0,0.0177938,0,0,0.0482347,0.054184,0.029574,0.027562,0.0138679,0.0471709,0.037027,0.0357184,0.0640464,0.0611314,0.0230963,0.0354208,0.0447401,0.077926,0.0141171,0.0189785,0.0278008,0.0180271,0.0268724,0.0256569,0.0214478,0.0322716,0.0584953
154,0,0.0249564,0,0,0,0,0.0469273,0,0,0,0,0,0,0.0304995,0,0.0711935,0,0,0.0199007,0,0,0.0434,0.0725793,0.0193459,0.00898365,0.0175459,0.0305101,0.0292107,0.0404026,0.0506502,0.0331122,0.0110532,0.0125849,0.0286815,0.0291129,0.0149956,0.00916969,0.0394155,0.0211038,0.0410613,0,0.0143938,0.0677309,0.0324345,0,0,0.0177871,0,0,0.0483632,0.0541062,0.0295415,0.0275775,0.0138713,0.0472053,0.0369422,0.0357431,0.064043,0.0611297,0.0230791,0.0353335,0.0447302,0.0779256,0.0140769,0.0190879,0.0281955,0.0180237,0.026901,0.0256549,0.0214204,0.032308,0.0584652
155,0,0.0250144,0,0,0,0,0.0469825,0,0,0,0,0,0,0.0305063,0,0.0711135,0,0,0.0198397,0,0,0.0435919,0.0726047,0.019333,0.00890339,0.0175189,0.0305326,0.0294262,0.040418,0.0506536,0.0330962,0.0110302,0.0125389,0.0286817,0.0291,0.0149376,0.00917883,0.040068,0.0214186,0.0413167,0,0.0144175,0.0676566,0.0324412,0,0,0.017748,0,0,0.0484307,0.0540388,0.0295489,0.0275912,0.0138787,0.047239,0.036962,0.0357843,0.0640167,0.0611325,0.0230795,0.0352228,0.0447216,0.0779265,0.0140605,0.0191656,0.0282889,0.0179761,0.0269751,0.0256266,0.021434,0.0323964,0.0584485
156,0,0.0250653,0,0,0,0,0.047056,0,0,0,0,0,0,0.0304475,0,0.0710004,0,0,0.0197821,0,0,0.0436921,0.0726542,0.0193978,0.00883955,0.0175051,0.0305875,0.0296214,0.0404023,0.0506339,0.0330912,0.0110199,0.0125382,0.0286814,0.0290852,0.0148925,0.00920836,0.0403495,0.0215751,0.0415981,0,0.0144514,0.067731,0.0324318,0,0,0.0176754,0,0,0.0484123,0.0540063,0.0295767,0.0275866,0.0139121,0.0472796,0.0369995,0.0358136,0.0640307,0.0611354,0.0231225,0.0351163,0.0447256,0.0779382,0.0140607,0.0192455,0.028183,0.0179074,0.0270084,0.025599,0.0214759,0.0323849,0.0584495
157,0,0.0250988,0,0,0,0,0.0471111,0,0,0,0,0,0,0.0304168,0,0.0709196,0,0,0.0197523,0,0,0.0438188,0.0726979,0.0194286,0.00880668,0.0175084,0.0306554,0.0298037,0.040406,0.0506324,0.0331093,0.010999,0.0125328,0.0286895,0.0290811,0.0148491,0.00921811,0.0405139,0.0215629,0.0419192,0,0.0144259,0.0678388,0.0324162,0,0,0.0176327,0,0,0.0483694,0.0539807,0.0295573,0.027597,0.0139327,0.0473188,0.0370078,0.0358358,0.0640492,0.0611149,0.0231825,0.0350398,0.0447397,0.0779736,0.0140401,0.0193732,0.0280504,0.0178583,0.0269946,0.0255776,0.0215083,0.0323266,0.058439
158,0,0.0251338,0,0,0,0,0.0471769,0,0,0,0,0,0,0.0304049,0,0.0708627,0,0,0.0197483,0,0,0.0438796,0.0727418,0.0194386,0.00879673,0.0175447,0.0306979,0.0300677,0.0403707,0.0506253,0.0331274,0.0109484,0.0125264,0.0286931,0.0290772,0.0148489,0.00921468,0.0405806,0.0214923,0.0422099,0,0.0143969,0.0679005,0.0323863,0,0,0.0176285,0,0,0.0483646,0.0539364,0.0295434,0.0276168,0.0139579,0.047362,0.036966,0.0358945,0.0640212,0.0610827,0.023199,0.0349761,0.0447385,0.0780224,0.0140232,0.019532,0.0279956,0.0178325,0.0270358,0.0255626,0.0215333,0.0323155,0.0584388
159,0,0.0251903,0,0,0,0,0.0472485,0,0,0,0,0,0,0.0303558,0,0.0707839,0,0,0.0197366,0,0,0.0439021,0.0727632,0.0194913,0.00875251,0.0175759,0.030738,0.0303732,0.040393,0.0505867,0.0331587,0.0109146,0.0125146,0.028713,0.0290864,0.0148578,0.00918077,0.0406351,0.0214422,0.0424607,0,0.0143891,0.06787,0.032327,0,0,0.0176416,0,0,0.0483938,0.0538981,0.0295282,0.0276218,0.0139935,0.047395,0.0368972,0.0359802,0.0639967,0.0610621,0.0232035,0.0348843,0.0447417,0.0780323,0.0140213,0.0196144,0.0280291,0.0178279,0.0271597,0.0255525,0.0215641,0.0323012,0.0584512
160,0,0.02526,0,0,0,0,0.0472952,0,0,0,0,0,0,0.0302696,0,0.0707045,0,0,0.0197642,0,0,0.043963,0.0727721,0.0195688,0.00869644,0.0176127,0.0307957,0.0306351,0.0404453,0.0505576,0.033194,0.0109104,0.0124774,0.0287473,0.029085,0.0148683,0.00914369,0.0407265,0.0214372,0.0427352,0,0.0143879,0.0677883,0.0322386,0,0,0.0176816,0,0,0.0483801,0.0538775,0.0295108,0.0276446,0.0140255,0.0474347,0.0368486,0.0359901,0.0640289,0.0610672,0.023222,0.034822,0.0447732,0.0779978,0.0140475,0.019581,0.0281016,0.0178145,0.0273244,0.0255413,0.02158,0.0323209,0.0584564
161,0,0.0253297,0,0,0,0,0.0473533,0,0,0,0,0,0,0.0302418,0,0.0706178,0,0,0.019835,0,0,0.0440303,0.0727877,0.0196022,0.00866529,0.0176532,0.0308286,0.0308623,0.0404821,0.0505556,0.0332003,0.0108814,0.0123698,0.0287663,0.0290634,0.0149029,0.00909477,0.0407506,0.0214298,0.0430412,0,0.0143658,0.0677471,0.0321305,0,0,0.0177324,0,0,0.0483612,0.0538427,0.0295092,0.0276812,0.0140535,0.0474837,0.0368141,0.0359913,0.0640484,0.0610644,0.0232427,0.0348208,0.0447853,0.0779721,0.0140881,0.0195073,0.0281924,0.0178266,0.0273445,0.0255144,0.0216463,0.0323819,0.058464
162,0,0.0253961,0,0,0,0,0.0474428,0,0,0,0,0,0,0.0302272,0,0.0705373,0,0,0.0199442,0,0,0.044043,0.0728022,0.0196054,0.00865357,0.0176443,0.0308513,0.0310923,0.0405207,0.0505637,0.0331844,0.0108673,0.012223,0.0287689,0.029076,0.0150072,0.00904975,0.0406975,0.0214024,0.0432759,0,0.0143345,0.0677378,0.0320112,0,0,0.0177945,0,0,0.0483519,0.05382,0.0294949,0.0277141,0.0140983,0.0475378,0.0367728,0.0360448,0.0640825,0.0610444,0.0232395,0.0347826,0.0447495,0.0779923,0.0140848,0.019515,0.0282731,0.0178137,0.0273812,0.0254861,0.0216783,0.0324422,0.058476
163,0,0.0254762,0,0,0,0,0.0475213,0,0,0,0,0,0,0.0301904,0,0.0705527,0,0,0.0200612,0,0,0.0440853,0.0728097,0.0196341,0.00864078,0.0175846,0.0308665,0.0312768,0.0405846,0.0505508,0.0331861,0.010853,0.0121314,0.0287979,0.0290997,0.0151144,0.00898808,0.0408105,0.0214387,0.0435303,0,0.0143114,0.0679277,0.0319143,0,0,0.0178509,0,0,0.0483395,0.0538209,0.0294706,0.0277297,0.0141408,0.047578,0.0367168,0.0361343,0.0640619,0.0610338,0.0232606,0.0347078,0.0447088,0.0780243,0.0141093,0.0195214,0.0283354,0.0177933,0.027457,0.0254638,0.0217029,0.032444,0.0584544
164,0,0.0255547,0,0,0,0,0.0475779,0,0,0,0,0,0,0.0301065,0,0.0705225,0,0,0.0201903,0,0,0.0442062,0.0728123,0.0197195,0.00859876,0.0175335,0.0308807,0.0313996,0.0406514,0.0505603,0.0332285,0.0107779,0.0121161,0.0288204,0.0291231,0.0151817,0.008916,0.0410871,0.0215667,0.0437639,0,0.014288,0.0678754,0.0318298,0,0,0.0178825,0,0,0.0483452,0.053801,0.0294602,0.0277254,0.0142043,0.0475797,0.0365805,0.0361867,0.0640211,0.061016,0.0232431,0.0346001,0.0447071,0.0780637,0.0141478,0.0194784,0.0283567,0.0177929,0.027525,0.0254296,0.0217711,0.0325222,0.0584695
165,0,0.0255988,0,0,0,0,0.0476079,0,0,0,0,0,0,0.0299869,0,0.0705463,0,0,0.0202888,0,0,0.0443173,0.0728184,0.0197898,0.00860323,0.0174481,0.0309198,0.0314574,0.0407,0.0506118,0.0332583,0.0107122,0.01207,0.0287975,0.0291446,0.0152782,0.00886013,0.0413724,0.021679,0.044063,0,0.0142515,0.0681827,0.0317513,0,0,0.0179192,0,0,0.0483396,0.0538109,0.0294008,0.0277182,0.0142754,0.047622,0.0364436,0.036146,0.0639747,0.0610389,0.0232561,0.0345074,0.0446819,0.0780837,0.0142191,0.0194375,0.0283315,0.0178066,0.0275862,0.0254208,0.0218486,0.0326297,0.0584828
166,0,0.0256079,0,0,0,0,0.0476493,0,0,0,0,0,0,0.0298999,0,0.0705171,0,0,0.0203429,0,0,0.0444097,0.0728267,0.0198534,0.00859381,0.0174181,0.0309642,0.0314837,0.0407539,0.0506894,0.0332811,0.0106993,0.0120005,0.0287854,0.0291657,0.0153837,0.00885337,0.0415902,0.021779,0.0443257,0,0.0142242,0.068397,0.0317058,0,0,0.0179619,0,0,0.0483288,0.0538054,0.0293701,0.0277284,0.0143752,0.0476553,0.0365751,0.0361489,0.0639716,0.0610594,0.0232799,0.0344882,0.0447015,0.0781195,0.0142653,0.0194279,0.0283018,0.0178241,0.0275891,0.0254017,0.0219389,0.0326735,0.0584935
167,0,0.025607,0,0,0,0,0.0477512,0,0,0,0,0,0,0.0298602,0,0.0704282,0,0,0.0203911,0,0,0.0444888,0.0728479,0.0199148,0.00858841,0.0174961,0.031,0.0315011,0.0408133,0.0507156,0.0333119,0.0107182,0.0119155,0.0287907,0.0291718,0.0154928,0.00890135,0.0417855,0.0218755,0.0445639,0,0.0142087,0.0684785,0.0316765,0,0,0.0180052,0,0,0.0483016,0.0538022,0.0293387,0.0277564,0.0144662,0.0476787,0.0366927,0.0361747,0.0639955,0.0610463,0.0232993,0.0344256,0.0447493,0.0781719,0.0142962,0.0195013,0.0282536,0.0178263,0.0276073,0.0253619,0.0220252,0.0326348,0.0584831
168,0,0.0256257,0,0,0,0,0.047907,0,0,0,0,0,0,0.0298073,0,0.0703442,0,0,0.020423,0,0,0.0445851,0.0728324,0.0199385,0.00855776,0.0175223,0.0310357,0.0315358,0.0409015,0.050728,0.0333355,0.0106922,0.011802,0.0288347,0.0291967,0.0156187,0.00890825,0.0419777,0.0219474,0.0448143,0,0.0141792,0.0685142,0.0316485,0,0,0.0179977,0,0,0.0482628,0.0537895,0.0292973,0.0277463,0.0145191,0.0477058,0.0367181,0.0362001,0.0639742,0.0610357,0.0232941,0.0342436,0.0447704,0.0782209,0.0143489,0.0196658,0.028201,0.0177589,0.0276863,0.0253029,0.02206,0.0326729,0.0584667
169,0,0.0256589,0,0,0,0,0.047974,0,0,0,0,0,0,0.0297121,0,0.0703069,0,0,0.0204506,0,0,0.0446607,0.0727876,0.0199415,0.00850668,0.0174964,0.0310796,0.0315691,0.0409949,0.0507635,0.0333511,0.0106153,0.0116795,0.0288548,0.0291998,0.0157744,0.00881751,0.0421803,0.0220304,0.0451203,0,0.0141447,0.0685577,0.0316266,0,0,0.0179898,0,0,0.0482788,0.0537625,0.0292609,0.0277218,0.0145661,0.0477095,0.0367234,0.0362394,0.0639486,0.0610509,0.0232362,0.0340893,0.0448293,0.0782378,0.014429,0.0198543,0.0282518,0.0176643,0.0277634,0.0252462,0.0221025,0.0327994,0.0585026
170,0,0.0256945,0,0,0,0,0.0480281,0,0,0,0,0,0,0.0296528,0,0.070281,0,0,0.0205168,0,0,0.0447348,0.072768,0.020052,0.00847612,0.0175145,0.0311475,0.03159,0.0410638,0.0507993,0.0333682,0.0106151,0.0115634,0.0288811,0.0291952,0.0158708,0.00890193,0.042406,0.0221189,0.045286,0,0.014095,0.0685938,0.0315762,0,0,0.0179857,0,0,0.0483573,0.0537273,0.0292584,0.0277216,0.0146067,0.0477124,0.0367613,0.0362567,0.0639341,0.0610578,0.0231955,0.0341167,0.0448996,0.0782524,0.0144648,0.020096,0.0284914,0.0176757,0.0278801,0.0251993,0.0221781,0.0328361,0.0585105
