Timestep,,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LANK,LTHI,RTIB
14,0,0.0248424,0,0,0,0,0.0463524,0,0,0,0,0,0,0.0359875,0,0.0723016,0,0,0.0152583,0,0,0.0361599,0.0745651,0.0252719,0.0136779,0.0155473,0.0241357,0.0328962,0.0362699,0.0475563,0.033632,0.01409,0.0153135,0.0299019,0.0314651,0.0122247,0.0127117,0.00794524,0.0142032,0.0358128,0,0.013593,0.071436,0.0306741,0,0,0.0160882,0,0,0.0367007,0.0548272,0.0285257,0.0269694,0.0147036,0.0413185,0.0383153,0.0360176,0,0.0607484,0.024043,0.0381778,0.0466329,0.0799864,0.0150421,0.0174065,0,0.0221765,0.0277312,0.0237134,0,0,0
15,0,0.0249295,0,0,0,0,0.0464852,0,0,0,0,0,0,0.0362538,0,0.0724866,0,0,0.0150254,0,0,0.0363929,0.0745332,0.0254088,0.0139725,0.0155448,0.0239346,0.0327808,0.0365082,0.0475697,0.0334683,0.0138468,0.0150844,0.0295808,0.0311286,0.0121114,0.0128172,0.00781797,0.0140039,0.0362837,0,0.0131736,0.0715198,0.0306746,0,0,0.0161727,0,0,0.036904,0.0546597,0.0287872,0.0270625,0.0146286,0.0411265,0.0381332,0.0360916,0,0.0606949,0.0238441,0.0382991,0.0465326,0.0798548,0.0147141,0.0172897,0,0.0218329,0.0278501,0.0235619,0,0,0
16,0,0.0249126,0,0,0,0,0.0464943,0,0,0,0,0,0,0.0362337,0,0.0725276,0,0,0.0150044,0,0,0.0364125,0.0745423,0.0253338,0.0140123,0.0155295,0.0239028,0.0327937,0.0364889,0.047548,0.0334202,0.0138155,0.0150492,0.0295447,0.0310949,0.0120704,0.0128496,0.00782675,0.0140084,0.0362618,0,0.013157,0.0715211,0.0306719,0,0,0.016184,0,0,0.0369168,0.0546421,0.0287862,0.0270465,0.0146067,0.0410864,0.0380898,0.0360127,0,0.0606944,0.0238143,0.0383602,0.0465035,0.0798357,0.014736,0.0172963,0,0.02188,0.0278438,0.0235772,0,0,0
17,0,0.0249008,0,0,0,0,0.0465037,0,0,0,0,0,0,0.0361521,0,0.0725444,0,0,0.0150109,0,0,0.0363938,0.0745214,0.0252166,0.013997,0.0155221,0.0239022,0.0327221,0.0364922,0.0475437,0.0334065,0.013768,0.0150061,0.0294852,0.0310517,0.0120445,0.0128501,0.00782764,0.0140129,0.0361695,0,0.0132063,0.0715019,0.0307171,0,0,0.016192,0,0,0.0369929,0.0546493,0.0287846,0.0270028,0.014662,0.0410337,0.0380649,0.0360581,0,0.0606615,0.023759,0.0383966,0.0465239,0.0798496,0.0148067,0.017317,0,0.0220327,0.0278096,0.0235722,0,0,0
18,0,0.0248672,0,0,0,0,0.0464636,0,0,0,0,0,0,0.0360283,0,0.0725519,0,0,0.0150337,0,0,0.0363788,0.0745267,0.0250577,0.0139843,0.0155005,0.0238895,0.0326256,0.0365101,0.0475328,0.0333712,0.0137109,0.0149668,0.0294313,0.0309948,0.0120005,0.0128531,0.00784333,0.0140121,0.0361053,0,0.0132245,0.0714799,0.0307292,0,0,0.0161782,0,0,0.0369898,0.0546487,0.0287732,0.0269683,0.0146671,0.0409596,0.0379984,0.0360255,0,0.0606442,0.0237212,0.0384257,0.0465657,0.0798649,0.0148433,0.0173593,0,0.0220559,0.0277361,0.0235848,0,0,0
19,0,0.024797,0,0,0,0,0.0464325,0,0,0,0,0,0,0.0359295,0,0.0725736,0,0,0.0150444,0,0,0.0363694,0.0745368,0.0248867,0.01399,0.0154666,0.0238704,0.0324937,0.0365342,0.0475105,0.0333025,0.0136595,0.0149124,0.0293582,0.0309505,0.0119803,0.0128925,0.00787658,0.0139769,0.0360418,0,0.0132312,0.0714848,0.0307266,0,0,0.0161764,0,0,0.0369015,0.0546484,0.0287743,0.0269469,0.0146702,0.0408883,0.0380079,0.035961,0,0.0606214,0.0236862,0.0384542,0.0465816,0.0798681,0.0148832,0.0174218,0,0.0219264,0.0276971,0.0236134,0,0,0
20,0,0.0247167,0,0,0,0,0.0464036,0,0,0,0,0,0,0.0358297,0,0.0725823,0,0,0.0150477,0,0,0.0363074,0.0745318,0.0247361,0.0139753,0.0154488,0.023896,0.0323719,0.0365305,0.0475371,0.0332719,0.0136111,0.0148841,0.0292802,0.0309102,0.0119832,0.0129214,0.00787458,0.0139353,0.0360062,0,0.0132282,0.0714995,0.0307153,0,0,0.016226,0,0,0.0368573,0.0546555,0.0287582,0.0269405,0.0146645,0.0408222,0.0380732,0.0358949,0,0.0606081,0.0236587,0.0384967,0.0465584,0.0798646,0.0149171,0.0174468,0,0.0218659,0.027695,0.0236464,0,0,0
21,0,0.0246394,0,0,0,0,0.046359,0,0,0,0,0,0,0.0358002,0,0.0726008,0,0,0.0150468,0,0,0.0361345,0.0745097,0.0246239,0.013951,0.0154143,0.0239132,0.0322516,0.0365452,0.0475781,0.0332222,0.0135411,0.0147907,0.0293056,0.0308672,0.0119508,0.0129037,0.00785741,0.013859,0.0359582,0,0.0132409,0.0714773,0.0307246,0,0,0.0162238,0,0,0.0368679,0.0546611,0.0287545,0.0269461,0.0146633,0.0407942,0.0380727,0.0358724,0,0.0606046,0.0236744,0.0385211,0.0465355,0.0799007,0.0149729,0.0174672,0,0.0218789,0.0276956,0.0236532,0,0,0
22,0,0.0246059,0,0,0,0,0.0462956,0,0,0,0,0,0,0.0357775,0,0.0725915,0,0,0.014998,0,0,0.0360734,0.0745252,0.0245181,0.0139677,0.0154081,0.0239328,0.0320856,0.0365545,0.0476079,0.0332175,0.0134929,0.0147341,0.0292813,0.030829,0.0119795,0.012894,0.00788619,0.013714,0.0359972,0,0.0132611,0.071498,0.0307244,0,0,0.0162625,0,0,0.0368671,0.0546066,0.0287556,0.0269452,0.0146476,0.040742,0.0379985,0.0356594,0,0.0606262,0.0236279,0.0385233,0.0465367,0.0799229,0.0149803,0.0174596,0,0.0218955,0.0276526,0.0236532,0,0,0
23,0,0.0245798,0,0,0,0,0.0462078,0,0,0,0,0,0,0.0357371,0,0.0725311,0,0,0.0149546,0,0,0.0361378,0.0745447,0.0244404,0.0139881,0.0154138,0.0239658,0.0319022,0.0365608,0.0476263,0.0332508,0.0134376,0.0147277,0.0293143,0.0308188,0.0119901,0.012893,0.0080703,0.0134427,0.0360354,0,0.0132889,0.0715318,0.0307046,0,0,0.0163317,0,0,0.0368329,0.0545588,0.0287687,0.0269432,0.0146285,0.0406891,0.0379389,0.0352954,0,0.0606323,0.0235686,0.038528,0.0465384,0.0798561,0.0149848,0.0174371,0,0.0219257,0.0275709,0.0236749,0,0,0
