Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,STRN,T10,LANK,LTHI
9,0.0261451,0,0,0,0,0.0448504,0,0,0,0,0,0,0.0340021,0,0.0711986,0,0,0.015909,0,0,0.0348857,0.0753248,0.0233496,0.0133806,0.0157997,0.0281575,0.0306167,0.0367297,0.0471484,0.0330132,0.0142133,0.0156505,0.0295029,0.0307677,0.0134667,0.0156283,0.00854106,0.0135377,0.0403833,0,0.0111473,0.0689739,0.0323017,0,0,0.0271102,0,0,0.0246524,0.0516903,0.0330897,0.0293905,0.010223,0.0453935,0.0308581,0.0362825,0.0640928,0.0247193,0.0658705,0.0377396,0.0438461,0.106693,0.014813,0.0361295,0.0248484,0.0267347,0.0234321,0,0
10,0.0260861,0,0,0,0,0.0448275,0,0,0,0,0,0,0.0339444,0,0.071186,0,0,0.0159369,0,0,0.0349508,0.0752813,0.0232847,0.0133685,0.0158117,0.0281858,0.0304741,0.0367577,0.0471961,0.0329996,0.0141426,0.0156373,0.0295392,0.0307441,0.0134187,0.0156363,0.00870649,0.0133684,0.0403395,0,0.0111615,0.0689613,0.0322774,0,0,0.0270098,0,0,0.0246417,0.0517039,0.0330805,0.0293524,0.0102401,0.045348,0.0309421,0.0364626,0.0640825,0.0246857,0.065799,0.0377612,0.0439144,0.106722,0.0148176,0.0361211,0.0249494,0.0267085,0.0234437,0,0
11,0.0260251,0,0,0,0,0.044804,0,0,0,0,0,0,0.0338362,0,0.0711661,0,0,0.0160434,0,0,0.0350513,0.0752269,0.0231607,0.0133532,0.0158416,0.0282223,0.0303808,0.0367785,0.0472115,0.0329482,0.014122,0.0156636,0.0294364,0.0307282,0.0134103,0.0156438,0.00877994,0.0133536,0.0402521,0,0.0111533,0.0689372,0.0322552,0,0,0.0269053,0,0,0.0246194,0.0517203,0.0330335,0.0293189,0.0102788,0.0452921,0.0310534,0.0366512,0.0640688,0.0246901,0.0657702,0.0378142,0.0439453,0.10678,0.0148188,0.0361737,0.0250394,0.0267224,0.0234423,0,0
12,0.025981,0,0,0,0,0.0448106,0,0,0,0,0,0,0.0337618,0,0.0711439,0,0,0.0162006,0,0,0.0351699,0.075207,0.0230911,0.0133388,0.015879,0.028257,0.0303042,0.0368166,0.047204,0.0329479,0.0141032,0.015626,0.0293603,0.0306904,0.0134377,0.0156611,0.00875451,0.0134591,0.0402203,0,0.0111365,0.0689456,0.0322304,0,0,0.0268342,0,0,0.0246259,0.0517297,0.0329772,0.0292907,0.0103108,0.0452404,0.0311376,0.0367466,0.0640566,0.024713,0.0657679,0.0378422,0.0439204,0.106815,0.0148147,0.0362046,0.0251191,0.0267535,0.0234172,0,0
13,0.0259438,0,0,0,0,0.0448153,0,0,0,0,0,0,0.0337124,0,0.0711304,0,0,0.0163152,0,0,0.0350384,0.0752022,0.0230468,0.0133286,0.0158823,0.0282702,0.0302306,0.0368842,0.0472156,0.0329999,0.0140945,0.0155406,0.029305,0.0306474,0.0134755,0.0156729,0.00860657,0.0136287,0.0402545,0,0.0111126,0.068971,0.0322078,0,0,0.0268066,0,0,0.024668,0.0517394,0.0329483,0.0292763,0.0103371,0.0452084,0.0311733,0.0366997,0.0640736,0.0247184,0.0657865,0.0378396,0.0439288,0.106817,0.0148143,0.0362759,0.02519,0.0267983,0.0234071,0,0
14,0.0259172,0,0,0,0,0.0447856,0,0,0,0,0,0,0.0336683,0,0.0711227,0,0,0.0162975,0,0,0.0348711,0.0751833,0.0229952,0.0133001,0.0158834,0.028268,0.0301546,0.0369541,0.0472649,0.0330414,0.014061,0.0154551,0.0293468,0.030619,0.0134802,0.015734,0.00849395,0.0136906,0.0402929,0,0.0110958,0.068995,0.0321643,0,0,0.0267815,0,0,0.024711,0.0517543,0.0329503,0.0292271,0.0103472,0.0451839,0.0311799,0.0366727,0.0640997,0.0246816,0.0658239,0.0378078,0.0439701,0.106796,0.0148397,0.0363298,0.0252334,0.0268568,0.0234053,0,0
15,0.0258864,0,0,0,0,0.0447535,0,0,0,0,0,0,0.033595,0,0.0711148,0,0,0.0162767,0,0,0.0349512,0.0751688,0.0229623,0.0133016,0.0158984,0.0282537,0.0300509,0.0370044,0.0472945,0.033056,0.0140212,0.0154124,0.0293205,0.0306016,0.0134891,0.015773,0.0084662,0.0137276,0.0402964,0,0.0111018,0.0690103,0.0321272,0,0,0.0267126,0,0,0.0246814,0.0517517,0.0329604,0.0291828,0.010378,0.0451553,0.0312258,0.0366318,0.0641022,0.0246498,0.0658035,0.037832,0.0439912,0.106775,0.014864,0.0363065,0.0252838,0.0268742,0.0233719,0,0
16,0.0255098,0,0,0,0,0.0447163,0,0,0,0,0,0,0.0330062,0,0.0722336,0,0,0.0164317,0,0,0.0349438,0.0741445,0.0219436,0.012077,0.0164933,0.0277954,0.0296393,0.0368803,0.0476075,0.0332452,0.0149764,0.0164859,0.0287214,0.0305003,0.0146337,0.0158075,0.00849953,0.0136842,0.0419355,0,0.0107057,0.0677884,0.0320242,0,0,0.0267171,0,0,0.0247716,0.0529108,0.0325352,0.0281201,0.0102419,0.0459832,0.0317754,0.0361158,0.0640568,0.0258848,0.0661594,0.0382354,0.0442788,0.106949,0.014878,0.0363054,0.0262649,0.0268979,0.0234891,0.0208803,0.0305703
17,0.0255092,0,0,0,0,0.0447008,0,0,0,0,0,0,0.033007,0,0.0722719,0,0,0.0164484,0,0,0.0349421,0.0741141,0.0219524,0.012061,0.0164938,0.0277682,0.0295858,0.0368772,0.0476188,0.0332585,0.0149469,0.0164696,0.0287445,0.0304657,0.014645,0.015745,0.00846138,0.0137084,0.0419272,0,0.0106732,0.0678148,0.0319949,0,0,0.0266717,0,0,0.0247418,0.0529029,0.0325522,0.028124,0.0102548,0.0459259,0.0317569,0.0360179,0.0640531,0.0258677,0.0661409,0.0382543,0.0442928,0.106945,0.01489,0.036322,0.0262807,0.026873,0.0234778,0.0208785,0.0305715
18,0.0254888,0,0,0,0,0.0447173,0,0,0,0,0,0,0.0329901,0,0.0722979,0,0,0.0164542,0,0,0.034926,0.0740901,0.0219409,0.0120532,0.0164921,0.0277826,0.0295802,0.0368989,0.047657,0.033258,0.0149267,0.0164284,0.0287423,0.0304521,0.0146795,0.0157319,0.00842991,0.013724,0.0419434,0,0.0106593,0.0678039,0.0319737,0,0,0.0265953,0,0,0.0247539,0.0528806,0.0325353,0.0281203,0.0102823,0.0458942,0.0317963,0.0359855,0.0640635,0.0258242,0.0661127,0.0382577,0.0442814,0.106928,0.0148886,0.0363255,0.0262991,0.0268574,0.0234623,0.020835,0.0305843
