Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LWRA
99,0.0306619,0,0,0,0,0.0386623,0,0,0,0,0,0,0.021973,0,0.0233287,0.0671424,0,0,0.0225526,0,0,0.0385051,0.073257,0.0180374,0.0103933,0.0119838,0.0413909,0.0530864,0.032772,0.0422544,0.0502649,0.0351114,0.00979831,0.0107018,0.0258356,0.0273286,0.029791,0.0117898,0.0182654,0.0499979,0,0.0172845,0.0676156,0.0384997,0,0,0.0211074,0,0,0.0457178,0.0543118,0.0372793,0.0219136,0.0147061,0.0480901,0.052592,0.0341491,0.0606389,0.0558397,0.0243894,0.0570114,0.0319063,0.0429881,0.0755169,0.0159026,0.0148981,0.0172528,0.0206554,0.0227144,0.0270117,0.0209877
100,0.0312877,0,0,0,0,0.0386445,0,0,0,0,0,0,0.0223937,0,0.0230555,0.0664105,0,0,0.02228,0,0,0.0385394,0.0733169,0.01702,0.00885996,0.013344,0.041551,0.0530646,0,0.0441736,0.0513185,0.0360781,0.00931834,0.0100725,0.0249341,0.0261599,0.0281981,0.0119427,0.0181991,0.0486126,0,0.0173988,0.0683804,0.0387806,0,0,0.0210739,0,0,0.0455901,0.0533751,0.0375792,0.0226015,0.0147071,0.0473095,0.0519099,0.0344226,0.0609794,0.0557244,0.0233185,0.0569026,0.0317471,0.0429301,0.0754013,0.0150856,0.014939,0.017222,0.0206231,0.0227422,0.0266364,0.0212285
101,0.0313341,0,0,0,0,0.0386323,0,0,0,0,0,0,0.0224148,0,0.0230835,0.0664358,0,0,0.0222432,0,0,0.0385191,0.0733559,0.0170254,0.00886686,0.0134042,0.0415941,0.0529843,0,0.0440961,0.0513513,0.0361855,0.00929883,0.0100657,0.0249303,0.0261602,0.0281801,0.0118848,0.0181921,0.0486856,0,0.0173836,0.0683223,0.0388595,0,0,0.0210864,0,0,0.045567,0.0533657,0.0375665,0.0225833,0.014704,0.0473307,0.0519753,0.0343666,0.0609799,0.0557407,0.0233111,0.056925,0.0317647,0.0429541,0.0754278,0.0151178,0.0150079,0.0171684,0.0206833,0.0227035,0.0266172,0.0212642
102,0.0314001,0,0,0,0,0.0385575,0,0,0,0,0,0,0.0224006,0,0.0231228,0.0664743,0,0,0.0221772,0,0,0.0385142,0.073353,0.0170643,0.00889531,0.0134674,0.0416304,0.0529313,0,0.0441506,0.0513236,0.0363703,0.00928584,0.0100702,0.0249483,0.0261643,0.0281585,0.011852,0.0180717,0.0487768,0,0.017405,0.0682951,0.0389388,0,0,0.0211869,0,0,0.0455743,0.0533648,0.0375589,0.0225549,0.014703,0.0473669,0.0520192,0.0343328,0.0609633,0.0557667,0.0232709,0.0569643,0.0317722,0.0429915,0.075466,0.0151626,0.015095,0.0171083,0.0207787,0.0226953,0.026588,0.0212152
103,0.0319901,0,0,0,0,0.03799,0,0,0,0,0,0,0.0223071,0,0.0231371,0.0664794,0,0,0.0147834,0,0,0.0248738,0.0732525,0.0170965,0.00901394,0.0135501,0.0418681,0.0496524,0,0.0442478,0.0513627,0.0364811,0.00922854,0.0100749,0.0249675,0.026179,0.0282285,0.0160416,0.0211531,0.0488055,0,0.017556,0.068124,0.038522,0,0,0.0213511,0,0,0.0455037,0.0532839,0.0376642,0.0227885,0.0146197,0.0477939,0.052792,0.0343987,0.061059,0.0558308,0.0232132,0.0568884,0.0316391,0.042919,0.0754281,0.0151346,0.0143982,0.0169476,0.0208798,0.0220804,0.0268054,0
104,0.0320521,0,0,0,0,0.0378804,0,0,0,0,0,0,0.0223361,0,0.0230879,0.0665042,0,0,0.0147233,0,0,0.0248617,0.073264,0.0171315,0.00899127,0.0135875,0.0418219,0.0496264,0,0.0442121,0.0513695,0.0365209,0.00939282,0.010102,0.0249891,0.0261948,0.0281479,0.0160227,0.0210176,0.0489215,0,0.0176413,0.0680364,0.0385114,0,0,0.0214044,0,0,0.0454705,0.0533165,0.0376233,0.0227528,0.0146047,0.0478304,0.0528831,0.0342937,0.0610814,0.055849,0.0231878,0.056903,0.0315988,0.0429182,0.0754624,0.015186,0.0144042,0.0168256,0.0206384,0.0220025,0.0269044,0
105,0.0315007,0,0,0,0,0.038261,0,0,0,0,0,0,0.0224142,0,0.0230778,0.0665062,0,0,0.0225709,0,0,0.0382307,0.0733889,0.0171989,0.00881047,0.0135822,0.041535,0.0531018,0,0.044117,0.0513096,0.0365924,0.00952475,0.0101083,0.0249922,0.0261874,0.0278585,0.0117041,0.0180443,0.0490923,0,0.0175954,0.0681084,0.039041,0,0,0.0212584,0,0,0.0454435,0.0534852,0.0374547,0.0224082,0.0146783,0.0473964,0.0521896,0.0340203,0.0609744,0.055796,0.0231783,0.0571377,0.0317153,0.0429701,0.0755926,0.0152654,0.0150952,0.0168219,0.0201855,0.0225531,0.0268297,0.0205104
106,0.0315365,0,0,0,0,0.0382139,0,0,0,0,0,0,0.0224021,0,0.0230366,0.0665406,0,0,0.0220452,0,0,0.0383496,0.0733919,0.0172586,0.0088566,0.0135754,0.0415689,0.0528044,0,0.0441432,0.0513129,0.0366336,0.0094863,0.0101263,0.0250029,0.0261926,0.0277694,0.0118894,0.017928,0.0492002,0,0.0177083,0.068051,0.0390587,0,0,0.0212458,0,0,0.0454223,0.0535003,0.0374923,0.0224085,0.0146541,0.0475209,0.0523441,0.0339669,0.0610054,0.05577,0.0231229,0.0573041,0.0317271,0.0429163,0.075574,0.0152786,0.015026,0.0168598,0.0203375,0.022623,0.0268179,0.0210474
107,0.0309632,0,0,0,0,0.0382222,0,0,0,0,0,0,0.0219353,0,0.0233141,0.0673884,0,0,0.0219612,0,0,0.0384422,0.0733635,0.0183674,0.0103897,0.0122286,0.0414615,0.0525364,0.0329806,0.042161,0.0502035,0.0357267,0.00977839,0.010715,0.0259292,0.0273909,0.0294057,0.0117759,0.0178421,0.0506865,0,0.0176916,0.067173,0.0388796,0,0,0.0212623,0,0,0.0454882,0.0545145,0.037212,0.021679,0.0145929,0.0483808,0.053302,0.03374,0.0606629,0.055886,0.0242184,0.057292,0.0319429,0.0429344,0.0756897,0.0161766,0.0150254,0.016846,0.0205435,0.0226533,0.0271956,0.0210656
108,0.0309862,0,0,0,0,0.0382259,0,0,0,0,0,0,0.0219266,0,0.0232897,0.0674711,0,0,0.021856,0,0,0.0384881,0.0733746,0.0183871,0.0104448,0.0122389,0.041473,0.0524731,0.0329412,0.0421376,0.05018,0.0358076,0.00967853,0.0106418,0.0259369,0.0274044,0.0293742,0.0117842,0.0177219,0.050819,0,0.0177219,0.0671468,0.0389151,0,0,0.0213869,0,0,0.0454893,0.0545797,0.0372175,0.0215743,0.0145133,0.0483891,0.0534855,0.0338554,0.0606332,0.0558654,0.0242988,0.0572146,0.0319758,0.0429153,0.0756822,0.0162552,0.0149792,0.0168363,0.0206069,0.0227618,0.0271977,0.0210163
109,0.0316513,0,0,0,0,0.0381811,0,0,0,0,0,0,0.0223297,0,0.0230153,0.0666185,0,0,0.0218168,0,0,0.038406,0.0734548,0.0173902,0.00895527,0.0135857,0.0416805,0.0525429,0,0.044224,0.0512649,0.0368653,0.0092875,0.0100292,0.0250425,0.0262643,0.0278382,0.0118779,0.0177378,0.049345,0,0.0178595,0.0678985,0.0392117,0,0,0.0213856,0,0,0.0454749,0.0536426,0.0375402,0.0222328,0.0144672,0.0476436,0.0528356,0.0342632,0.0609607,0.0556771,0.0232825,0.0571408,0.0318259,0.0428944,0.0755557,0.0152518,0.0149314,0.0169248,0.020498,0.0229327,0.0267668,0.0209436
110,0.0317281,0,0,0,0,0.0381069,0,0,0,0,0,0,0.0223399,0,0.0230092,0.066623,0,0,0.0218106,0,0,0.0383512,0.0734651,0.0174422,0.0089472,0.0136264,0.0417018,0.0525135,0,0.0443051,0.0512983,0.0370241,0.00922424,0.0100697,0.025091,0.026294,0.0278135,0.0118682,0.01773,0.0493457,0,0.0178634,0.0679651,0.0392376,0,0,0.0214396,0,0,0.0454899,0.0536839,0.0375469,0.0221927,0.0144196,0.0476543,0.053022,0.0343133,0.0609632,0.0556354,0.0233888,0.0571789,0.0318647,0.0429291,0.0755613,0.0152231,0.0149276,0.0168636,0.0204508,0.0229991,0.0267376,0.020885
111,0.0317873,0,0,0,0,0.0380307,0,0,0,0,0,0,0.022394,0,0.0229994,0.0667027,0,0,0.0217616,0,0,0.038349,0.0734612,0.0174694,0.00894377,0.0136685,0.0417256,0.0524797,0,0.0443353,0.0513455,0.0371443,0.00929306,0.0101352,0.0251612,0.0263526,0.0277151,0.0118565,0.0176226,0.04937,0,0.0178498,0.06826,0.0392352,0,0,0.0215257,0,0,0.0455069,0.0537416,0.0375582,0.0221686,0.0144175,0.0476929,0.053119,0.0343209,0.0609826,0.0555983,0.0235204,0.0572353,0.0319215,0.0429592,0.075594,0.0152195,0.0149198,0.0168862,0.0204459,0.0230901,0.0267235,0.0208435
112,0.0318289,0,0,0,0,0.0379685,0,0,0,0,0,0,0.0224998,0,0.0229906,0.0667701,0,0,0.0216908,0,0,0.0383614,0.0734456,0.0174666,0.00894792,0.0137105,0.0417239,0.0524638,0,0.044229,0.0513799,0.0372416,0.00939727,0.0101914,0.025203,0.0263928,0.027545,0.0118413,0.0174488,0.0493695,0,0.0178331,0.0683744,0.0392316,0,0,0.0216123,0,0,0.0455347,0.0538051,0.0375542,0.0221752,0.0144516,0.0477346,0.0531216,0.0343935,0.061025,0.0555828,0.0237334,0.0572718,0.0319658,0.0429922,0.0756298,0.0151971,0.014935,0.0169738,0.0204801,0.0231218,0.0267228,0.0208061
113,0.0318646,0,0,0,0,0.0379228,0,0,0,0,0,0,0.0226109,0,0.0229767,0.066799,0,0,0.0215912,0,0,0.0383771,0.0734486,0.0174683,0.00895495,0.0137893,0.0417166,0.0524651,0,0.0441164,0.0514289,0.0373527,0.00936631,0.0102484,0.0252049,0.0263921,0.0273545,0.0118502,0.01726,0.0494246,0,0.017842,0.0683725,0.0392215,0,0,0.0216752,0,0,0.0455573,0.0538577,0.0375277,0.0222297,0.0144922,0.047762,0.0530907,0.0343753,0.0610603,0.0555652,0.0240672,0.0572867,0.0319893,0.0430018,0.0756603,0.0151827,0.0149767,0.0171066,0.0205478,0.0231423,0.0267148,0.0207723
114,0.0319164,0,0,0,0,0.037895,0,0,0,0,0,0,0.0227088,0,0.0229625,0.0668019,0,0,0.021542,0,0,0.0383712,0.0734572,0.0174552,0.00897574,0.0138688,0.0417277,0.0525084,0,0.0440306,0.0515284,0.0374524,0.00929969,0.0102414,0.0251746,0.0263594,0.0271949,0.0118615,0.0172193,0.0495565,0,0.0178423,0.0683008,0.0392233,0,0,0.0217079,0,0,0.0455608,0.0538765,0.0374911,0.0222778,0.0145006,0.0477933,0.0530073,0.0342317,0.0610644,0.0555727,0.0242332,0.0572753,0.0319952,0.0430011,0.0756928,0.0151943,0.0150101,0.0171403,0.0205896,0.0232347,0.0267087,0.0207421
115,0.0314132,0,0,0,0,0.037864,0,0,0,0,0,0,0.0223294,0,0.0232347,0.0676259,0,0,0.0216074,0,0,0.0383344,0.0733674,0.0185133,0.0105768,0.0125992,0.0416075,0.0524387,0.0332728,0.0419952,0.0504999,0.0365337,0.00971379,0.0107104,0.0260639,0.0274964,0.0286444,0.0117504,0.0172833,0.0512615,0,0.0177082,0.0672795,0.0390136,0,0,0.0217603,0,0,0.045639,0.0548484,0.0371076,0.0216225,0.0144844,0.0486565,0.0536787,0.0337621,0.0607003,0.0557394,0.0253919,0.0573523,0.0321749,0.0430518,0.0758347,0.0161703,0.0150734,0.0170134,0.0205946,0.0232955,0.0270671,0.0206769
116,0.0314398,0,0,0,0,0.0378405,0,0,0,0,0,0,0.0223896,0,0.0232129,0.0676536,0,0,0.0215932,0,0,0.0383506,0.0733783,0.0185076,0.0106607,0.0126012,0.041586,0.0525927,0.0333171,0.0419557,0.0504823,0.0365575,0.00971557,0.0105987,0.026039,0.0274705,0.0285113,0.0118002,0.0172232,0.0514761,0,0.0177029,0.0672646,0.0389601,0,0,0.0218298,0,0,0.0455764,0.0548851,0.0370963,0.0216399,0.0145179,0.0486306,0.053665,0.0337427,0.0606232,0.0557652,0.0253416,0.0573012,0.0321289,0.0430645,0.0758401,0.016395,0.0151174,0.0168043,0.0203932,0.0234196,0.0270174,0.0206645
117,0.0321023,0,0,0,0,0.0378337,0,0,0,0,0,0,0.0228346,0,0.02293,0.0667517,0,0,0.0215406,0,0,0.0383376,0.0734876,0.0174732,0.00924421,0.0139119,0.041833,0.0528544,0,0.0439401,0.0514621,0.0374971,0.00937233,0.0100018,0.0251381,0.0263018,0.0269734,0.0120028,0.017129,0.0500137,0,0.0178154,0.0681957,0.0391294,0,0,0.0217577,0,0,0.045447,0.0539302,0.0374618,0.0224343,0.0145638,0.0479027,0.0527934,0.0340272,0.0609513,0.0556287,0.024017,0.0571698,0.0318903,0.0430275,0.0757314,0.0155012,0.0151692,0.0166988,0.0199174,0.023505,0.0265953,0.0205481
118,0.0326663,0,0,0,0,0.0375171,0,0,0,0,0,0,0.022705,0,0.0228861,0.0666367,0,0,0.0144116,0,0,0.0247829,0.0734043,0.0174111,0.00941524,0.0139045,0.0422023,0.049704,0,0.0440264,0.0514844,0.0374149,0.00925494,0.0100102,0.0251574,0.0263354,0.0271698,0.016036,0.0207558,0.0498989,0,0.0178381,0.0683281,0.0385713,0,0,0.0219116,0,0,0.0453417,0.0538782,0.037555,0.0226795,0.014499,0.0483219,0.0534545,0.0341623,0.0610177,0.0557013,0.0239539,0.0571156,0.0317798,0.0429351,0.0756667,0.0155275,0.0145249,0.0164882,0.0198878,0.0229802,0.0267465,0
119,0.0322358,0,0,0,0,0.0380464,0,0,0,0,0,0,0.0226737,0,0.0229105,0.066587,0,0,0.0219716,0,0,0.0382009,0.0734471,0.0174002,0.0091729,0.0137638,0.0420713,0.0532627,0,0.0439646,0.0514324,0.0373348,0.009142,0.0100839,0.0251732,0.0263729,0.0272334,0.0119905,0.0176607,0.0500979,0,0.017728,0.0685947,0.039128,0,0,0.0217296,0,0,0.0453695,0.05398,0.0374065,0.0225315,0.0145699,0.0480224,0.052686,0.0341643,0.0608439,0.0556945,0.0239732,0.0571721,0.0318357,0.0430052,0.0757125,0.0156484,0.0150095,0.0165012,0.0197776,0.0235456,0.0266829,0.0200357
120,0.0322716,0,0,0,0,0.0379068,0,0,0,0,0,0,0.0226105,0,0.0229204,0.0665374,0,0,0.0218614,0,0,0.0382993,0.0734135,0.0174264,0.00919211,0.0136568,0.0421647,0.05333,0,0.0440222,0.051435,0.037228,0.00911779,0.0101641,0.0251811,0.0263904,0.0273969,0.0120111,0.0176566,0.0501651,0,0.0176993,0.068657,0.039104,0,0,0.0217068,0,0,0.0453337,0.0539507,0.0373921,0.0226296,0.0145488,0.0480945,0.0527296,0.0342687,0.060793,0.0557411,0.0239261,0.0571075,0.0318245,0.0430189,0.075651,0.0156871,0.0148745,0.0164154,0.0198039,0.0235687,0.0267961,0.020344
121,0.032267,0,0,0,0,0.0378244,0,0,0,0,0,0,0.0225574,0,0.0229573,0.066514,0,0,0.0219291,0,0,0.0383091,0.0733643,0.0174646,0.00929044,0.0135644,0.0422345,0.0534296,0,0.0441304,0.051458,0.037084,0.00911804,0.0102224,0.0251894,0.0263837,0.0275601,0.0119256,0.0175644,0.0501152,0,0.0176925,0.0686719,0.0391412,0,0,0.0216716,0,0,0.0453337,0.0539496,0.0374047,0.0226738,0.0145429,0.0481091,0.052831,0.0342505,0.0607864,0.0557748,0.0238904,0.0570867,0.0318234,0.043035,0.0756326,0.0156987,0.0148459,0.0164103,0.0199059,0.0235847,0.0269176,0.020358
122,0.032271,0,0,0,0,0.0378786,0,0,0,0,0,0,0.0224551,0,0.0229807,0.0664997,0,0,0.0219621,0,0,0.0382949,0.073321,0.0174478,0.00940118,0.0135235,0.0423081,0.0534626,0,0.0442905,0.0515047,0.0369271,0.00920071,0.0102962,0.0252194,0.026382,0.0277345,0.0118139,0.0174734,0.0500191,0,0.0177166,0.068663,0.0392344,0,0,0.0216431,0,0,0.0453461,0.0539861,0.0374386,0.0226581,0.0145676,0.0481254,0.0529954,0.0343378,0.0608159,0.055793,0.0239327,0.0571234,0.0318239,0.043038,0.0756539,0.0156438,0.0147735,0.0164241,0.020238,0.0235832,0.0269852,0.0203407
123,0.032287,0,0,0,0,0.0376109,0,0,0,0,0,0,0.021881,0,0.0232022,0.0672876,0,0,0.0147288,0,0,0.02491,0.0731345,0.0184634,0.0111485,0.0122377,0.0424943,0.0499935,0.0330699,0.0424606,0.0504927,0.0358867,0.00959755,0.0109589,0.0261363,0.0275589,0.0295559,0.0156744,0.0206252,0.0514155,0,0.0176845,0.0676897,0.0385289,0,0,0.0218911,0,0,0.0453475,0.0548847,0.0372187,0.0221469,0.0144997,0.0493162,0.0547436,0.0342693,0.0606263,0.0560028,0.0252097,0.0571377,0.0319299,0.0429606,0.0756768,0.0165193,0.014196,0.0162016,0.0205506,0.0230047,0.0275315,0
124,0.0317496,0,0,0,0,0.0380655,0,0,0,0,0,0,0.0219389,0,0.0232134,0.067239,0,0,0.0228508,0,0,0.0381585,0.0732327,0.0185079,0.0108985,0.0121978,0.0422531,0.0535578,0.0330745,0.0424634,0.0504223,0.0358933,0.00976618,0.0110369,0.0261186,0.0275525,0.0294868,0.011197,0.0174494,0.0514034,0,0.0175608,0.0677525,0.0392257,0,0,0.0217297,0,0,0.0453343,0.0550327,0.0370167,0.0218016,0.0145612,0.0488847,0.0541928,0.0340631,0.0605404,0.0559803,0.0252398,0.0572444,0.0320371,0.0430158,0.0757609,0.0165433,0.0147616,0.0161987,0.0204406,0.0236231,0.0273818,0.0193489
125,0.0324514,0,0,0,0,0.0379152,0,0,0,0,0,0,0.0223801,0,0.0229299,0.0664195,0,0,0.0220329,0,0,0.0384045,0.0732928,0.0175318,0.00934698,0.013516,0.042405,0.0532259,0,0.0445327,0.0515018,0.0368068,0.00947597,0.0105318,0.0252588,0.0264094,0.0279481,0.0116022,0.0174043,0.0497623,0,0.0176789,0.068501,0.0394968,0,0,0.0216567,0,0,0.0452361,0.0540362,0.0372981,0.0225403,0.0144897,0.0482565,0.0537017,0.0342889,0.0609463,0.0558626,0.0239715,0.0570634,0.0318176,0.0429044,0.075602,0.0154808,0.0146608,0.0161765,0.0203454,0.0235834,0.026954,0.0203595
126,0.032519,0,0,0,0,0.0378063,0,0,0,0,0,0,0.0224415,0,0.0229288,0.0664602,0,0,0.0219607,0,0,0.0384444,0.0733117,0.0175936,0.00932587,0.0135265,0.0423756,0.0530584,0,0.0445756,0.0514934,0.036851,0.00964021,0.0105804,0.0252973,0.0264491,0.0278834,0.0116241,0.0172622,0.0496788,0,0.0176551,0.0684398,0.0395427,0,0,0.021608,0,0,0.0452159,0.05403,0.0372518,0.0224693,0.0144293,0.048304,0.0538745,0.0342392,0.0609429,0.0558721,0.0236845,0.0570499,0.0318731,0.0429001,0.0756127,0.0154153,0.0146907,0.0161189,0.0204051,0.023541,0.0269554,0.0203
127,0.0325947,0,0,0,0,0.0376973,0,0,0,0,0,0,0.0225293,0,0.0229197,0.0665357,0,0,0.021877,0,0,0.0382794,0.0733428,0.0176281,0.00928327,0.0135725,0.0423477,0.0528907,0,0.044618,0.051459,0.0369603,0.00963602,0.0106141,0.0253446,0.0265146,0.0278386,0.011649,0.0172128,0.0496639,0,0.017623,0.0683645,0.0396018,0,0,0.0216058,0,0,0.0451895,0.0540158,0.0372341,0.0224236,0.0143904,0.0483375,0.053994,0.0342346,0.0609677,0.0558556,0.023588,0.0570872,0.0319506,0.0429374,0.0756306,0.0153932,0.0147349,0.0160239,0.0204728,0.023482,0.0269704,0.0199837
128,0.0326852,0,0,0,0,0.0375514,0,0,0,0,0,0,0.0225999,0,0.0229189,0.0666365,0,0,0.0217483,0,0,0.037883,0.0733612,0.0176388,0.00923139,0.0136288,0.0423321,0.0527282,0,0.0446406,0.0514187,0.0371201,0.0096583,0.0105788,0.0253462,0.0265437,0.0277638,0.0116829,0.0174082,0.0497126,0,0.0175826,0.0682837,0.0397107,0,0,0.0216417,0,0,0.0451849,0.0539838,0.0372016,0.022405,0.0143878,0.0483616,0.0540867,0.0342088,0.0609823,0.0558304,0.0235918,0.0571404,0.031997,0.0430101,0.0756586,0.0153672,0.0147599,0.015934,0.0204619,0.0233931,0.0269981,0.0194762
129,0.0327595,0,0,0,0,0.0374278,0,0,0,0,0,0,0.0226926,0,0.0229479,0.0667777,0,0,0.0215957,0,0,0.0379046,0.0733658,0.0176388,0.00922542,0.0136811,0.0423042,0.0526439,0,0.0445628,0.0513865,0.0373295,0.00964957,0.0105257,0.0253544,0.0265414,0.0276133,0.0117013,0.0173342,0.0497661,0,0.0175508,0.0682176,0.0397906,0,0,0.021708,0,0,0.0451605,0.0539235,0.0371781,0.0224246,0.0144092,0.0483728,0.0542462,0.0341475,0.0609726,0.0557921,0.0235958,0.0571754,0.0320142,0.0430381,0.0756784,0.0153977,0.0147194,0.0158718,0.0204524,0.023303,0.0269997,0.0195333
130,0.0328509,0,0,0,0,0.037323,0,0,0,0,0,0,0.022814,0,0.0229628,0.0668778,0,0,0.0215605,0,0,0.0381308,0.073387,0.0176165,0.00926979,0.0137227,0.0422687,0.0526856,0,0.0444302,0.0513852,0.0375708,0.00959935,0.0105208,0.0253699,0.0265335,0.0274391,0.0116708,0.0170642,0.0498634,0,0.017559,0.0681802,0.0398699,0,0,0.0217644,0,0,0.045091,0.0538519,0.037153,0.0223856,0.0144574,0.0483634,0.0543986,0.0341178,0.06094,0.0557742,0.0235807,0.0571931,0.0320037,0.0430661,0.0757176,0.015431,0.0146795,0.015873,0.0204595,0.0232202,0.0269881,0.0197441
131,0.0329511,0,0,0,0,0.0372053,0,0,0,0,0,0,0.0229443,0,0.0229392,0.0669163,0,0,0.0214558,0,0,0.038036,0.073418,0.0176116,0.0093423,0.0137735,0.0422251,0.0526752,0,0.0443023,0.0514362,0.0376939,0.00964137,0.0105179,0.0253766,0.0265304,0.0272219,0.011739,0.0170396,0.0499766,0,0.0175903,0.0681631,0.0399532,0,0,0.0218895,0,0,0.0450662,0.0538188,0.0371159,0.0223236,0.0144847,0.0483677,0.0545585,0.0340786,0.0609178,0.055782,0.0235535,0.0571975,0.0319812,0.0430609,0.0757659,0.0154797,0.0145953,0.0158151,0.0202985,0.0230626,0.026963,0.0196109
132,0.0330188,0,0,0,0,0.037175,0,0,0,0,0,0,0.0230547,0,0.0229068,0.0669229,0,0,0.0213931,0,0,0.0382025,0.0734761,0.0176183,0.00935607,0.0137945,0.0421975,0.0527462,0,0.0442167,0.0514998,0.037708,0.00972335,0.0105013,0.0253902,0.0265192,0.0270318,0.0118298,0.0166769,0.0501019,0,0.0176225,0.0681836,0.0399637,0,0,0.0220352,0,0,0.0450676,0.0538313,0.0370734,0.0223696,0.0144982,0.0483984,0.0546839,0.0340972,0.0609119,0.0558348,0.0235426,0.0572226,0.0319627,0.0430745,0.075801,0.0155334,0.0145871,0.0157196,0.0200243,0.0229301,0.0269276,0.0198441
133,0.0330481,0,0,0,0,0.0371923,0,0,0,0,0,0,0.0231385,0,0.0228717,0.0668678,0,0,0.0213,0,0,0.038246,0.0735086,0.0176071,0.00934023,0.0137943,0.0421721,0.0528221,0,0.0441607,0.0514421,0.0376714,0.00982679,0.010453,0.025404,0.0265042,0.0268808,0.0119421,0.0163968,0.0502308,0,0.0176636,0.0682154,0.0399692,0,0,0.022151,0,0,0.045097,0.0538337,0.0370859,0.0223938,0.0145019,0.0484033,0.0547527,0.0341248,0.0609629,0.0558994,0.0235466,0.0572336,0.03196,0.0431296,0.0758233,0.0155966,0.0145257,0.0157666,0.0201984,0.02278,0.0268598,0.0199612
134,0.0330984,0,0,0,0,0.0371331,0,0,0,0,0,0,0.0231854,0,0.0228601,0.0668106,0,0,0.0211431,0,0,0.0382325,0.0735341,0.0175899,0.00933824,0.0137909,0.0421398,0.0529171,0,0.0441559,0.0513697,0.0376003,0.00973938,0.0105472,0.0254251,0.0265233,0.0267661,0.012078,0.0162797,0.0503464,0,0.0176916,0.0682295,0.0399706,0,0,0.0222443,0,0,0.0450966,0.053823,0.0371168,0.0223884,0.0144964,0.0483936,0.0547934,0.0340643,0.060996,0.0559228,0.0235615,0.0572279,0.0319704,0.0430991,0.0758235,0.015664,0.0145595,0.0157125,0.0201616,0.0225903,0.0268398,0.0199147
135,0.0331696,0,0,0,0,0.0370322,0,0,0,0,0,0,0.0232279,0,0.0228794,0.0667486,0,0,0.0209905,0,0,0.03823,0.0735757,0.0175796,0.00928192,0.0137829,0.0421204,0.0530586,0,0.0441631,0.0513027,0.0375194,0.0096689,0.0105976,0.0254293,0.0265427,0.0266934,0.0122486,0.0162542,0.0504265,0,0.0177245,0.0682639,0.0399591,0,0,0.0223142,0,0,0.0450599,0.0538202,0.0371417,0.0223783,0.0144722,0.0484004,0.0548015,0.0340116,0.0610193,0.0558967,0.0236065,0.0571934,0.0319692,0.0430684,0.0758199,0.0156993,0.0146617,0.0155314,0.0197809,0.0223896,0.0268774,0.0198298
136,0.0332036,0,0,0,0,0.0369701,0,0,0,0,0,0,0.0232557,0,0.022897,0.066712,0,0,0.0208688,0,0,0.0382203,0.0736069,0.0175952,0.00927411,0.0137931,0.0421083,0.0532525,0,0.0441725,0.0512847,0.0374315,0.00962913,0.0105917,0.0254088,0.0265251,0.0266718,0.0123935,0.0162309,0.050501,0,0.0177497,0.0682926,0.0399512,0,0,0.0223843,0,0,0.0450373,0.0538267,0.0371468,0.0224108,0.0144327,0.0484172,0.0547351,0.0340504,0.060995,0.0558545,0.0236643,0.0571657,0.031954,0.0430392,0.0758137,0.015723,0.0146266,0.0154693,0.0197783,0.0221689,0.0269177,0.0197619
137,0.0332169,0,0,0,0,0.0369515,0,0,0,0,0,0,0.0232,0,0.0228954,0.0667306,0,0,0.0207466,0,0,0.0381354,0.073588,0.0176335,0.00935894,0.0138052,0.0421109,0.0534781,0,0.0442312,0.0512834,0.037384,0.00963656,0.0105434,0.0253773,0.0264941,0.0267407,0.0124764,0.0161969,0.0506147,0,0.0177273,0.0682677,0.0399512,0,0,0.0224317,0,0,0.0450188,0.0538425,0.0371394,0.0225497,0.0144027,0.0484375,0.0546522,0.0341562,0.0609264,0.0558462,0.0237722,0.0571726,0.0319625,0.0430451,0.0757872,0.0157765,0.0145041,0.0154883,0.0201519,0.0219874,0.0269216,0.0196878
138,0.0337295,0,0,0,0,0.0365485,0,0,0,0,0,0,0.0230184,0,0.0228806,0.066673,0,0,0.0135873,0,0,0.0245921,0.0735225,0.0176034,0.00957355,0.0138341,0.0423829,0.0504322,0,0.0443337,0.051344,0.0374232,0.00964005,0.0104959,0.0253456,0.0264581,0.0269489,0.0162526,0.0199973,0.0505322,0,0.0177515,0.0682164,0.039343,0,0,0.0226577,0,0,0.0448857,0.0537333,0.0372749,0.0226897,0.0143265,0.0487797,0.0553679,0.0342999,0.0609829,0.0558801,0.0238016,0.0571236,0.0318932,0.0430023,0.0757037,0.0157027,0.0138727,0.0152881,0.0203271,0.0212943,0.0270671,0
