Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LWRA
13,0.0295311,0,0,0,0,0.0402299,0,0,0,0,0,0,0.0196939,0,0.0228612,0.0689073,0,0,0.0139486,0,0,0.0243974,0.0732894,0.0188447,0.0098325,0.0137773,0.0360554,0.0441605,0.0337635,0.0433465,0.0499519,0.0356865,0.0102318,0.0110846,0.0248735,0.0264869,0.0312418,0.0160885,0.0217974,0.0483137,0,0.0164512,0.0664893,0.0366964,0,0,0.0223397,0,0,0.0468916,0.0557502,0.0369874,0.0237782,0.0147755,0.0485139,0.0466802,0.0329929,0.0598435,0.0564383,0.0246306,0.0571429,0.0324023,0.0430578,0.0755688,0.0170934,0.012384,0.0231303,0.0224259,0.0213301,0.0253671,0
14,0.0294965,0,0,0,0,0.040168,0,0,0,0,0,0,0.0194253,0,0.0229375,0.0686411,0,0,0.0139321,0,0,0.0244132,0.0734639,0.0188577,0.00993581,0.0138008,0.0361706,0.0443317,0.0333365,0.0429014,0.0498409,0.0357794,0.0104244,0.0110032,0.0248869,0.026464,0.0317486,0.0161755,0.0218097,0.0482128,0,0.0165562,0.0667585,0.0366684,0,0,0.0222116,0,0,0.0468856,0.0556242,0.0371318,0.0237796,0.0147626,0.0484076,0.0466984,0.0330428,0.0597729,0.0564214,0.0245323,0.0570887,0.03233,0.0429878,0.0755292,0.01703,0.0126427,0.0230355,0.0221765,0.0211802,0.0254756,0
15,0.0295089,0,0,0,0,0.0400714,0,0,0,0,0,0,0.0193445,0,0.022989,0.0685264,0,0,0.0138908,0,0,0.0243843,0.0735444,0.0188201,0.00998398,0.0137661,0.036244,0.0444429,0.0333012,0.0426719,0.0498032,0.0356688,0.0103293,0.0109971,0.0248795,0.0264537,0.0319088,0.0162042,0.0217633,0.0481132,0,0.0165946,0.0669128,0.0366397,0,0,0.0220226,0,0,0.0468746,0.0555447,0.037203,0.0237208,0.0147497,0.0483112,0.0467449,0.0330711,0.0597842,0.0563802,0.0244573,0.057076,0.0323271,0.0429556,0.0754864,0.0169143,0.0128316,0.0228443,0.0215885,0.0210506,0.0255756,0
16,0.0301688,0,0,0,0,0.0400369,0,0,0,0,0,0,0.0201599,0,0.0225876,0.0677043,0,0,0.0137759,0,0,0.0244046,0.0737937,0.0173862,0.00874113,0.0151094,0.0364383,0.0445686,0,0.0445724,0.0507159,0.036398,0.00992339,0.0104168,0.0239622,0.0253485,0.0296786,0.0162288,0.021713,0.0465755,0,0.0167904,0.0677822,0.0368993,0,0,0.0217303,0,0,0.0467529,0.0545667,0.0375766,0.0242781,0.0147554,0.0473953,0.0460269,0.0334061,0.0602041,0.0562011,0.0234018,0.0569656,0.03209,0.0428587,0.0753151,0.0159048,0.0130872,0.0229162,0.0213072,0.0211882,0.0252504,0
17,0.0295307,0,0,0,0,0.0400679,0,0,0,0,0,0,0.0194805,0,0.0229782,0.0684182,0,0,0.0137955,0,0,0.0244611,0.0736051,0.0185744,0.0100088,0.0136843,0.0365047,0.0444747,0.0334096,0.0425697,0.0497997,0.0353077,0.00979156,0.0108848,0.0248973,0.0264939,0.0317859,0.0161192,0.0217569,0.0480746,0,0.0166726,0.0668539,0.0366911,0,0,0.0216648,0,0,0.0468117,0.0554781,0.0372183,0.0236202,0.0147167,0.0482568,0.0468139,0.0331751,0.0598624,0.0562627,0.0245654,0.0570464,0.0322941,0.0429193,0.0754233,0.0165399,0.013023,0.0230259,0.0217477,0.0212617,0.0257,0
18,0.0294912,0,0,0,0,0.0401065,0,0,0,0,0,0,0.0196118,0,0.0229707,0.0684263,0,0,0.0137889,0,0,0.024527,0.0736067,0.0184124,0.00996671,0.013725,0.0365752,0.0445922,0.0331732,0.0424768,0.0497974,0.0352223,0.00953988,0.0108326,0.0249015,0.026523,0.031603,0.0161495,0.0218738,0.0480815,0,0.0167199,0.0668769,0.0367288,0,0,0.021656,0,0,0.0467875,0.0554894,0.0372555,0.0235236,0.0146981,0.0481585,0.0468552,0.0331706,0.0598594,0.0562217,0.0247209,0.0569846,0.0322688,0.0429166,0.0753832,0.0164845,0.0129512,0.0229593,0.0219739,0.0212606,0.0257475,0
19,0.0294946,0,0,0,0,0.0401687,0,0,0,0,0,0,0.0197952,0,0.0229851,0.0684052,0,0,0.0138238,0,0,0.024574,0.0735765,0.0182997,0.00991428,0.0137227,0.0366741,0.044687,0.0328973,0.0423883,0.0497964,0.0351438,0.00972951,0.0108298,0.0248652,0.0265183,0.0313165,0.0161487,0.0219605,0.0479688,0,0.0167545,0.066863,0.0367181,0,0,0.0215862,0,0,0.0467747,0.0555013,0.0372892,0.0234321,0.0146686,0.0481236,0.0469083,0.0331151,0.0598538,0.0561851,0.0246182,0.0569426,0.0322548,0.0429064,0.0753383,0.0163526,0.0130955,0.0228019,0.0219245,0.0212843,0.0257742,0
20,0.0294971,0,0,0,0,0.0402847,0,0,0,0,0,0,0.0200166,0,0.0229984,0.0684351,0,0,0.013915,0,0,0.0245939,0.0735207,0.0181783,0.00988763,0.0137112,0.0367882,0.0447682,0.032877,0.0422619,0.0497919,0.0351119,0.00977711,0.0109075,0.024822,0.0264797,0.0310799,0.0161106,0.0220198,0.0479116,0,0.016793,0.0668041,0.0367067,0,0,0.0214888,0,0,0.0467985,0.0554856,0.0373604,0.0233092,0.0146257,0.0481078,0.0469974,0.0330731,0.0598438,0.0561202,0.0245377,0.0569471,0.032266,0.0429087,0.0752994,0.0162164,0.0132272,0.0226539,0.0218827,0.0213426,0.0257741,0
21,0.0294528,0,0,0,0,0.0403948,0,0,0,0,0,0,0.0201619,0,0.0230347,0.0684607,0,0,0.0140541,0,0,0.0246141,0.0734628,0.0180981,0.00988175,0.0137349,0.0368942,0.0448426,0.0326898,0.0422032,0.0497823,0.0351092,0.00983208,0.0109197,0.0248035,0.0264377,0.03086,0.0160349,0.0220914,0.0477947,0,0.0168331,0.0667574,0.0367148,0,0,0.0214028,0,0,0.0468203,0.0554764,0.0374777,0.023231,0.0146008,0.0481068,0.0470774,0.0331223,0.0598757,0.056059,0.0245179,0.0569875,0.032289,0.0428999,0.0753122,0.0161131,0.0132832,0.0225286,0.0218741,0.0214238,0.0257612,0
22,0.0293903,0,0,0,0,0.040532,0,0,0,0,0,0,0.0202779,0,0.023114,0.0684916,0,0,0.0142106,0,0,0.0246334,0.0733979,0.0180502,0.0098648,0.0137408,0.0369821,0.0449297,0.0326513,0.0421521,0.049727,0.0350883,0.00985483,0.010804,0.0247853,0.0264226,0.0306256,0.01592,0.0221054,0.0476114,0,0.0168338,0.0667425,0.0367137,0,0,0.0213463,0,0,0.0468097,0.0554839,0.0374996,0.0231638,0.0145926,0.0481036,0.047177,0.0331318,0.0600174,0.0560216,0.0244928,0.0570255,0.0323178,0.0428926,0.075325,0.0159531,0.0133529,0.0223415,0.0217257,0.0214757,0.0257097,0
