Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10
46,0.0230182,0,0,0,0,0.0465763,0,0,0,0,0,0,0.0297325,0,0.0225666,0.0689676,0,0,0.017631,0,0,0.033361,0.073931,0.0181923,0.00725976,0.0177272,0.0313421,0.0360008,0.0421153,0.0493526,0.0311074,0.0126137,0.0141217,0.0266228,0.0270679,0.0158297,0.0140194,0.00832736,0.0170516,0.0366878,0,0.0153841,0.0654324,0.0330625,0,0,0.0110077,0,0,0.0340449,0.0585054,0.0230472,0.020938,0.0127355,0.0449211,0.0339294,0.0360308,0.119624,0.0440818,0.0224696,0.0646702,0.0430165,0,0.0835358,0.0146733,0.0224339,0,0.0247617,0.0264627,0.0276239
47,0.022982,0,0,0,0,0.0465998,0,0,0,0,0,0,0.0297216,0,0.0225904,0.0689158,0,0,0.0176485,0,0,0.0333481,0.0739467,0.0182779,0.0073294,0.017777,0.0313486,0.0359953,0.0420275,0.0494066,0.0311422,0.0125922,0.0141953,0.0266605,0.0270536,0.0158218,0.0140449,0.00831261,0.0170326,0.0367077,0,0.0153781,0.0654614,0.0330859,0,0,0.0109987,0,0,0.034057,0.0584919,0.0230319,0.0209347,0.0127616,0.0449574,0.0339524,0.0359492,0.119612,0.044061,0.0224438,0.0646706,0.0429973,0,0.0835433,0.0147071,0.0224621,0,0.0247651,0.026517,0.0276578
48,0.0229538,0,0,0,0,0.0466357,0,0,0,0,0,0,0.0296845,0,0.0225832,0.0688278,0,0,0.017639,0,0,0.0333382,0.0739445,0.0182675,0.0074437,0.0178518,0.031381,0.0359429,0.0419373,0.0494213,0.0311535,0.0125841,0.0142251,0.0266479,0.0270143,0.015867,0.0140618,0.00828504,0.017038,0.0366931,0,0.0153447,0.0654906,0.0331037,0,0,0.0109742,0,0,0.0340782,0.0584625,0.0230183,0.0209579,0.0127678,0.0450276,0.03393,0.0358843,0.119597,0.0440499,0.022427,0.0646784,0.0430087,0,0.0835553,0.0146749,0.0224851,0,0.024785,0.0262732,0.0276766
49,0.0229451,0,0,0,0,0.0466398,0,0,0,0,0,0,0.0296642,0,0.0225532,0.0688333,0,0,0.0176187,0,0,0.0333273,0.0739282,0.0182513,0.0074415,0.0178487,0.0313784,0.0359478,0.04197,0.0493858,0.0311358,0.0125941,0.0142092,0.0266809,0.0270178,0.0158873,0.0140937,0.00829405,0.017025,0.0366782,0,0.0153493,0.0655219,0.0331238,0,0,0.0109441,0,0,0.0340328,0.0584646,0.0230217,0.0209665,0.0127675,0.0450059,0.034025,0.0358476,0.119607,0.0440986,0.0224237,0.0647038,0.0430472,0,0.0835613,0.0146814,0.0224731,0,0.0247347,0.0263197,0.0276526
50,0.0229298,0,0,0,0,0.0466439,0,0,0,0,0,0,0.0296808,0,0.0225511,0.0688165,0,0,0.0176183,0,0,0.0333216,0.0739292,0.0182627,0.00745459,0.0178333,0.0313982,0.0359589,0.0420045,0.0493955,0.0311281,0.0126192,0.0141344,0.0266584,0.0270259,0.0158787,0.0141053,0.00830471,0.0170154,0.0366899,0,0.0153391,0.0655662,0.0331327,0,0,0.0109371,0,0,0.0339775,0.0584723,0.023004,0.0209401,0.0127729,0.0450098,0.0341049,0.0358567,0.11962,0.0441474,0.0224306,0.064708,0.0430644,0,0.0835581,0.0147071,0.0224863,0,0.02468,0.0263939,0.0276693
51,0.0235935,0,0,0,0,0.0469766,0,0,0,0,0,0,0.0299557,0,0.0224678,0.0694092,0,0,0.0175565,0,0,0.0333333,0.0739647,0.0183108,0.00863805,0.0181048,0.0307321,0.0348245,0.0419074,0.0496042,0.0316273,0.0126967,0.0139237,0.0267429,0.0271016,0.0155211,0.0145267,0.00833794,0.0163357,0.0390825,0,0.0141498,0.0662783,0.0337202,0,0,0.0108901,0,0,0.0338871,0.0561502,0.0263589,0.023745,0.0102757,0.0459086,0.0339419,0.0372601,0.122161,0.0445256,0.0233305,0.0620638,0.0417039,0.0478211,0.0804968,0.0141692,0.0227491,0,0.0245705,0.0269191,0.0268382
52,0.0235691,0,0,0,0,0.0469647,0,0,0,0,0,0,0.0299711,0,0.0224712,0.0694597,0,0,0.0175577,0,0,0.033332,0.0739588,0.0183267,0.00875534,0.01811,0.0306294,0.0348112,0.0418691,0.0496111,0.0316242,0.0126934,0.0138361,0.0267989,0.0270864,0.0155044,0.0145397,0.0083213,0.0164007,0.0392123,0,0.01404,0.0663038,0.0336945,0,0,0.0108847,0,0,0.0338557,0.0561049,0.0264665,0.0238174,0.0102122,0.045883,0.0339978,0.03729,0.122206,0.0444534,0.023349,0.0620009,0.0416638,0.0477444,0.0804433,0.0141369,0.022724,0,0.0245661,0.0267533,0.026863
53,0.0242315,0,0,0,0,0.0471886,0,0,0,0,0,0,0.0303499,0,0.0227129,0.0689237,0,0,0.0174427,0,0,0.0334285,0.0744586,0.0185216,0.00977579,0.0184222,0.0301828,0.0340598,0.0417091,0.049618,0.0323711,0.0128873,0.0139025,0.0268372,0.0271437,0.0150273,0.0150006,0.0083688,0.0160313,0.0395818,0,0.0155001,0.0681845,0.0341786,0,0,0.0109087,0,0,0.0337572,0.0539964,0.0249764,0.0267676,0.0160993,0.046282,0.0336701,0.0412675,0.119156,0,0.0198319,0.0614813,0.0409606,0.0474421,0.0810752,0.0151066,0.0229078,0,0.0243821,0.0273058,0.0261268
54,0.0242116,0,0,0,0,0.0471936,0,0,0,0,0,0,0.0303522,0,0.0227538,0.0689186,0,0,0.0174342,0,0,0.0334502,0.0744515,0.0185346,0.00979962,0.0184144,0.030185,0.0340922,0.0417551,0.0495891,0.0323977,0.0128772,0.013918,0.0267708,0.02715,0.0150183,0.0150211,0.00839303,0.016032,0.0396,0,0.0154672,0.0681698,0.0341778,0,0,0.0109043,0,0,0.0338,0.0540157,0.0249579,0.0267511,0.0161009,0.0462802,0.0336597,0.0412411,0.119154,0,0.0198352,0.0614722,0.0409551,0.047411,0.0810825,0.0151192,0.0229384,0,0.0244284,0.0273551,0.0261594
55,0.0241894,0,0,0,0,0.047198,0,0,0,0,0,0,0.0303448,0,0.0227521,0.0689109,0,0,0.0174148,0,0,0.0334766,0.0744632,0.0185409,0.00982237,0.0183642,0.03017,0.0340984,0.0417895,0.0495861,0.0324444,0.0128815,0.0139262,0.0267121,0.0271566,0.0150285,0.0150503,0.00841099,0.0160318,0.0395891,0,0.0154441,0.0681501,0.034157,0,0,0.0109353,0,0,0.0338715,0.0540379,0.0249737,0.026754,0.0161008,0.0462887,0.0336644,0.0412154,0.119154,0,0.0198157,0.0614468,0.0409347,0.0473689,0.0811357,0.0151346,0.0229747,0,0.0244706,0.0272532,0.0261772
