Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10
All Timesteps RMSE,0.0239895,0,0,0,0,0.0468091,0,0,0,0,0,0,0.0298543,0,0.0223521,0.0689579,0,0,0.0175539,0,0,0.033209,0.0741559,0.0189603,0.00867058,0.0180966,0.0309631,0.0353568,0.0419905,0.0495239,0.0316294,0.0125733,0.013585,0.0263369,0.0267396,0.0161113,0.0143076,0.00839355,0.0166252,0.0392055,0,0.014633,0.0667581,0.0338052,0,0,0.0123096,0,0,0.0356397,0.0564056,0.0251585,0.0245928,0.0129092,0.0461974,0.034262,0.0380906,0.120918,0.0472757,0.0224284,0.0625463,0.0414016,0.0477743,0.0814066,0.0145575,0.0218418,0.00716127,0.0248784,0.0269864,0.0263646
0,0.0249392,0,0,0,0,0.0477738,0,0,0,0,0,0,0.0268633,0,0.0229414,0.0677739,0,0,0.0177034,0,0,0.0331377,0.074042,0.0187412,0.00746676,0.0178006,0.0318335,0.0375504,0.0426464,0.049883,0.0325485,0.0116321,0.0125299,0.0263989,0.0264353,0.0192016,0.0134955,0.0083437,0.0172148,0.0417988,0,0.01341,0.0666561,0.0334944,0,0,0.0164539,0,0,0.0421062,0.0569716,0.0256572,0.0249331,0.00926886,0.0470536,0.0376274,0.0370247,0.123414,0.0497093,0.0244144,0.0619871,0.0404566,0.0478114,0.0802704,0.0138261,0.0196929,0.00716244,0.0252814,0.0282535,0.024484
1,0.0248406,0,0,0,0,0.047559,0,0,0,0,0,0,0.027004,0,0.0231097,0.0679271,0,0,0.0175397,0,0,0.0333233,0.0739691,0.0186613,0.00754843,0.017578,0.0317331,0.037374,0.0426693,0.0497108,0.032318,0.0116633,0.0126975,0.0262747,0.0264063,0.0191518,0.0136971,0.00850371,0.0170545,0.041576,0,0.0133379,0.0666532,0.0334519,0,0,0.0164836,0,0,0.0420554,0.0570668,0.0256797,0.0249296,0.00930483,0.0471524,0.0370646,0.0368581,0.123447,0.0496281,0.0244456,0.0619935,0.0405713,0.0478802,0.0803188,0.0138055,0.0196632,0.00705927,0.0250363,0.0280246,0.0246012
2,0.0247281,0,0,0,0,0.0473375,0,0,0,0,0,0,0.0270474,0,0.0230822,0.0680627,0,0,0.0173355,0,0,0.0334397,0.0740435,0.0185912,0.00773827,0.0174384,0.0315247,0.0372016,0.0425924,0.0495955,0.0319905,0.0117581,0.0127442,0.0261725,0.0263733,0.0191379,0.0138185,0.00873459,0.0168426,0.0413479,0,0.0132761,0.066639,0.0333713,0,0,0.0164949,0,0,0.0419412,0.0571867,0.0257739,0.0249173,0.00935896,0.0471499,0.0363006,0.0367495,0.123451,0.0495385,0.0244874,0.0620534,0.0406272,0.0479324,0.0803239,0.013821,0.0196728,0.00697328,0.0248446,0.0278059,0.0247951
3,0.0246098,0,0,0,0,0.0471584,0,0,0,0,0,0,0.0270246,0,0.0229313,0.0681635,0,0,0.0171972,0,0,0.0333874,0.0741599,0.0185588,0.00796589,0.0174472,0.031255,0.0370802,0.0424582,0.0494328,0.0316883,0.0119047,0.0126697,0.0261843,0.0263621,0.0191329,0.0139554,0.00880502,0.0168026,0.0410714,0,0.0132212,0.0666033,0.0333191,0,0,0.0165081,0,0,0.0416804,0.0572947,0.0259143,0.0248576,0.00945401,0.047073,0.0356636,0.036655,0.123415,0.0495258,0.0244851,0.0620952,0.0406261,0.0479552,0.0803162,0.0138493,0.0196399,0.0069283,0.0246793,0.0276366,0.0250142
4,0.0244929,0,0,0,0,0.0470745,0,0,0,0,0,0,0.0271745,0,0.0227981,0.0682505,0,0,0.0172123,0,0,0.0332633,0.074204,0.0186162,0.00816228,0.0174661,0.0309966,0.036963,0.0424648,0.0493386,0.0314908,0.012041,0.0127498,0.0262946,0.0264489,0.0189733,0.0140689,0.00867048,0.0169134,0.0407838,0,0.0132076,0.0665329,0.0333258,0,0,0.0165414,0,0,0.0416335,0.0573655,0.0260437,0.0247836,0.00955926,0.0469588,0.0353878,0.0366622,0.123352,0.0496246,0.0245705,0.0621239,0.0406353,0.0479388,0.0803241,0.0138876,0.0195341,0.0069487,0.0246805,0.0275242,0.0252237
5,0.0243897,0,0,0,0,0.0470706,0,0,0,0,0,0,0.0273673,0,0.0226796,0.0683943,0,0,0.0172801,0,0,0.0332407,0.0741802,0.0186749,0.00830545,0.0175251,0.0308659,0.0369483,0.0425551,0.0493778,0.0314136,0.0121657,0.0130411,0.0263751,0.0265828,0.0187515,0.0140479,0.00859366,0.0169683,0.0405284,0,0.0132296,0.0664847,0.0333951,0,0,0.0165877,0,0,0.0416963,0.0573655,0.0261077,0.0246923,0.00967536,0.0468833,0.0353246,0.0367592,0.123294,0.0496999,0.0246451,0.0620969,0.0406653,0.047923,0.0803307,0.0139347,0.0194094,0.00702131,0.0245451,0.0274486,0.0254314
6,0.0244218,0,0,0,0,0.0465881,0,0,0,0,0,0,0.0275666,0,0.0225278,0.0686119,0,0,0.0178566,0,0,0.0330363,0.0740764,0.0187305,0.00835967,0.0177068,0.0310103,0.0364163,0.0426751,0.0495402,0.0314654,0.0123209,0.0133996,0.0264719,0.0267014,0.0185024,0.0134689,0.00864192,0.0168508,0.0402889,0,0.0132913,0.0664537,0.0333134,0,0,0.010726,0,0,0.0341755,0.0572913,0.0261643,0.0246282,0.00980205,0.0469654,0.0343392,0.0368149,0.123252,0.0497814,0.0246733,0.0620278,0.0406542,0.0479167,0.080369,0.0139945,0.0211442,0,0.0244709,0.0271396,0.0259588
7,0.0243702,0,0,0,0,0.0465551,0,0,0,0,0,0,0.0277285,0,0.0224017,0.0687374,0,0,0.0178825,0,0,0.0329806,0.0739739,0.0187737,0.00835313,0.0178557,0.0311428,0.0363532,0.0427468,0.0496306,0.0315105,0.0124712,0.0136562,0.0266093,0.0268837,0.0183167,0.0134253,0.00847271,0.0170807,0.0400784,0,0.0133267,0.0664229,0.0334454,0,0,0.0108522,0,0,0.0344544,0.0571819,0.0262308,0.0246723,0.00985375,0.0470576,0.0343734,0.0367748,0.123189,0.0498722,0.0245464,0.0620555,0.0407094,0.0479,0.0804228,0.0140365,0.0210029,0,0.0247076,0.0270553,0.0261378
8,0.0243412,0,0,0,0,0.0465243,0,0,0,0,0,0,0.0278987,0,0.022327,0.0687689,0,0,0.017868,0,0,0.0329082,0.0738492,0.0187838,0.00826253,0.0180199,0.031314,0.036272,0.0428317,0.0497498,0.031565,0.0125015,0.0137429,0.0266778,0.0269871,0.0180967,0.0133461,0.00840024,0.0172565,0.0398722,0,0.0132994,0.0663159,0.0336199,0,0,0.010927,0,0,0.0345935,0.0570299,0.0262587,0.0247742,0.00985458,0.0471992,0.0346026,0.0365483,0.123118,0.0500672,0.0243517,0.0621285,0.0407619,0.0478695,0.0804654,0.0140416,0.020885,0,0.0250162,0.0270362,0.026232
9,0.0243144,0,0,0,0,0.0465184,0,0,0,0,0,0,0.0280501,0,0.0223091,0.068788,0,0,0.0178828,0,0,0.0328047,0.0737438,0.0187551,0.00815844,0.0181154,0.031464,0.0361669,0.0428747,0.0498562,0.0315957,0.0124842,0.013778,0.0267213,0.0270153,0.0178808,0.0132615,0.0083262,0.0173027,0.039739,0,0.0133717,0.0662037,0.0338331,0,0,0.0109988,0,0,0.0346495,0.0568445,0.0262754,0.0248701,0.00985768,0.0473255,0.0350066,0.0363639,0.123054,0.050188,0.0241748,0.0621921,0.0408268,0.0479695,0.0804876,0.0140509,0.0208452,0,0.0252406,0.0270207,0.0262424
10,0.0242742,0,0,0,0,0.0464829,0,0,0,0,0,0,0.0282559,0,0.0223288,0.068861,0,0,0.0178706,0,0,0.0327071,0.07361,0.0187044,0.00807622,0.0181358,0.0317045,0.0360654,0.0428209,0.0498658,0.0316125,0.0124542,0.0138611,0.0267323,0.0270189,0.0176077,0.0132389,0.00827931,0.0172912,0.0396742,0,0.0134477,0.066202,0.0339738,0,0,0.0111155,0,0,0.034755,0.0567356,0.0262664,0.0248948,0.00990297,0.0474545,0.0351418,0.0366109,0.123017,0.0501032,0.0241297,0.0622805,0.0408764,0.0480114,0.080549,0.014054,0.0209162,0,0.025428,0.0269748,0.0262969
11,0.0242476,0,0,0,0,0.0463936,0,0,0,0,0,0,0.0284351,0,0.0223234,0.0689721,0,0,0.0178393,0,0,0.0326526,0.0735969,0.0186322,0.00806611,0.0181176,0.0318972,0.0359326,0.0427661,0.0498611,0.031592,0.0124232,0.0138888,0.0267288,0.027022,0.017365,0.0132679,0.00823101,0.0173039,0.0396612,0,0.0134535,0.0661803,0.0340498,0,0,0.0112556,0,0,0.0349049,0.0566967,0.0262327,0.025086,0.00998463,0.0475001,0.0349782,0.0366558,0.122945,0.0500143,0.0240832,0.0623206,0.0409213,0.0479101,0.0806418,0.0140471,0.0210151,0,0.025609,0.0269269,0.026349
12,0.0242297,0,0,0,0,0.0463651,0,0,0,0,0,0,0.0285744,0,0.0223108,0.0690536,0,0,0.017856,0,0,0.0326897,0.0736316,0.0185591,0.00808547,0.0181101,0.0319935,0.0357982,0.0426968,0.0498678,0.0315588,0.0124223,0.0139075,0.0266981,0.0270127,0.0171678,0.0133281,0.00820436,0.0172911,0.0397204,0,0.0134903,0.0660873,0.0341175,0,0,0.0113539,0,0,0.0349543,0.0566727,0.0261932,0.025325,0.0100672,0.0474236,0.0349952,0.0365887,0.122876,0.0500511,0.0240356,0.0623642,0.040957,0.0479361,0.0807112,0.0140206,0.0210874,0,0.0256909,0.0269126,0.026354
13,0.0242357,0,0,0,0,0.0463965,0,0,0,0,0,0,0.0287016,0,0.0222851,0.0690329,0,0,0.017909,0,0,0.0328211,0.0736804,0.0184982,0.0081102,0.0181377,0.0318983,0.035672,0.0426101,0.0498797,0.0314915,0.0124507,0.0138626,0.0266716,0.0269774,0.0170071,0.0133839,0.0082457,0.0172114,0.0397306,0,0.0135762,0.0661775,0.0341814,0,0,0.0113837,0,0,0.0349176,0.0565688,0.0261552,0.0250345,0.010077,0.0472769,0.0350993,0.0366376,0.122809,0.0501653,0.0240106,0.0623791,0.0409714,0.0481205,0.0807124,0.0140055,0.0211145,0,0.0256411,0.0269125,0.0262959
14,0.0242258,0,0,0,0,0.0464243,0,0,0,0,0,0,0.0288262,0,0.0222554,0.0690276,0,0,0.0179145,0,0,0.032792,0.0737526,0.0184311,0.00816758,0.0181803,0.0317571,0.0355338,0.0424678,0.0498318,0.031371,0.0124691,0.0137177,0.0266286,0.0269058,0.0168445,0.0134729,0.00826192,0.01704,0.0397144,0,0.0136537,0.0662972,0.0342107,0,0,0.0113669,0,0,0.0348656,0.0565616,0.0261451,0.0247887,0.0100596,0.0470974,0.0350637,0.0367224,0.122746,0.0502537,0.0240671,0.0623777,0.0409592,0.0482491,0.0807066,0.0140121,0.021161,0,0.0254999,0.0269028,0.0262375
15,0.0242122,0,0,0,0,0.0464478,0,0,0,0,0,0,0.0291301,0,0.0221043,0.0690326,0,0,0.0178889,0,0,0.0327314,0.0738402,0.0186502,0.00825789,0.0182788,0.0316302,0.0354416,0.0422154,0.0496961,0.0312453,0.0124988,0.0135502,0.0264087,0.0267147,0.0166588,0.0135861,0.00825854,0.0168805,0.039718,0,0.013701,0.0663267,0.0342312,0,0,0.0113664,0,0,0.0348292,0.0566647,0.0261766,0.0246467,0.0100078,0.0468873,0.0349725,0.0367797,0.122693,0.0502863,0.0239275,0.0623502,0.0409612,0.0482658,0.080729,0.013981,0.0212554,0,0.0254401,0.0268862,0.0261873
16,0.0241948,0,0,0,0,0.0464853,0,0,0,0,0,0,0.0296712,0,0.0218689,0.0690599,0,0,0.0178529,0,0,0.0327349,0.0739175,0.0191247,0.00835546,0.0182969,0.0315034,0.0353535,0.0420517,0.0495585,0.0311492,0.0124747,0.0134536,0.0260832,0.0264941,0.0163638,0.0137269,0.0082558,0.0167482,0.0397336,0,0.0137135,0.0663216,0.0342516,0,0,0.0113942,0,0,0.0347837,0.0567798,0.0262312,0.0245224,0.00994867,0.0466799,0.0349072,0.036853,0.122641,0.0502725,0.0238411,0.0623237,0.0409992,0.0482133,0.0807749,0.0139406,0.0213756,0,0.0254378,0.0268998,0.0261409
17,0.0242042,0,0,0,0,0.0465262,0,0,0,0,0,0,0.0301855,0,0.0217297,0.0690974,0,0,0.0178314,0,0,0.032833,0.0739789,0.0194612,0.00842749,0.0182439,0.0313914,0.0352929,0.0419963,0.0494929,0.0310904,0.012429,0.013443,0.0258728,0.0263625,0.0160406,0.013807,0.00826305,0.0166932,0.039764,0,0.0137157,0.0662995,0.0342544,0,0,0.0114243,0,0,0.0347162,0.0568435,0.0262664,0.0244191,0.00988566,0.0465194,0.0347182,0.0368741,0.122594,0.0502496,0.0238734,0.0622946,0.0410587,0.0481761,0.0808001,0.0139111,0.0214814,0,0.0253842,0.0269188,0.0261156
18,0.0242152,0,0,0,0,0.0465484,0,0,0,0,0,0,0.0306951,0,0.0216048,0.0691759,0,0,0.0178339,0,0,0.0330113,0.0740609,0.0198712,0.00851919,0.0182271,0.0312922,0.0352306,0.0418634,0.0494648,0.031018,0.0124147,0.0134197,0.0256086,0.0261735,0.0157627,0.0138802,0.00829763,0.0167087,0.0396747,0,0.0137605,0.0662708,0.0342336,0,0,0.0114429,0,0,0.0346205,0.0568999,0.0262728,0.0243674,0.0099033,0.04642,0.0344064,0.0367697,0.122521,0.0502635,0.0239005,0.0622935,0.0411205,0.0481861,0.0807682,0.0139326,0.0215591,0,0.0252968,0.0269117,0.0261083
19,0.0242318,0,0,0,0,0.0465507,0,0,0,0,0,0,0.0311794,0,0.0213707,0.0692738,0,0,0.0178054,0,0,0.033103,0.0741262,0.020496,0.00862498,0.018287,0.0312045,0.0352072,0.0416669,0.0493836,0.0309238,0.0124068,0.0133651,0.0252244,0.0258683,0.0156671,0.0139466,0.00831201,0.0167387,0.039513,0,0.0137987,0.0662252,0.0341893,0,0,0.0113508,0,0,0.0344618,0.0569668,0.026213,0.0243045,0.0100038,0.046352,0.0341277,0.036528,0.122397,0.0505954,0.023867,0.0623736,0.0411804,0.0482294,0.0808063,0.0139865,0.0216186,0,0.0250936,0.0268857,0.0261105
20,0.0250542,0,0,0,0,0.0468096,0,0,0,0,0,0,0.0313736,0,0.0218879,0.0685299,0,0,0.0175832,0,0,0.0332005,0.0748247,0.0202567,0.00970327,0.0187069,0.0306945,0.0343523,0.0413898,0.0493855,0.031739,0.0126634,0.013531,0.0254611,0.026053,0.0149916,0.0144611,0.00834724,0.0163136,0.0404177,0,0.0152006,0.0684378,0.0347127,0,0,0.0110828,0,0,0.0344016,0.0544077,0.0248744,0.0277199,0.016373,0.0467762,0.0335788,0.0406332,0.119239,0,0.0199782,0.0616058,0.0404071,0.0476082,0.0811462,0.0151614,0.0220107,0,0.0249394,0.0273742,0.0252261
21,0.0242596,0,0,0,0,0.0464988,0,0,0,0,0,0,0.0321624,0,0.0210444,0.0694025,0,0,0.01767,0,0,0.0331584,0.0742483,0.0213543,0.0088971,0.018351,0.0309563,0.0351927,0.041442,0.0493579,0.0310624,0.0124012,0.013317,0.0247441,0.0255677,0.0152179,0.0140689,0.00823049,0.0169023,0.0386418,0,0.0142911,0.0663894,0.0340937,0,0,0.0110481,0,0,0.0346541,0.0569208,0.0260905,0.0245133,0.0104608,0.0462269,0.0340328,0.0369208,0.122173,0.049824,0.0237153,0.062331,0.040979,0.0481769,0.0808312,0.0141066,0.0218315,0,0.0252715,0.0268165,0.0260641
22,0.0243272,0,0,0,0,0.0465157,0,0,0,0,0,0,0.03228,0,0.0209932,0.0693529,0,0,0.0176633,0,0,0.0331286,0.0742097,0.0215809,0.00879359,0.0183182,0.0310018,0.0351626,0.0415057,0.0493777,0.0310094,0.0123913,0.0132997,0.0246569,0.0255113,0.0153046,0.014085,0.00819781,0.016879,0.0395441,0,0.0139306,0.0664131,0.0341013,0,0,0.0110791,0,0,0.034509,0.0567479,0.0263691,0.0245208,0.0101394,0.0463248,0.0339515,0.0372593,0.122297,0.046621,0.0236609,0.0622059,0.0411842,0.0479708,0.0806278,0.0140229,0.0218113,0,0.0250783,0.0268445,0.0260111
23,0.0243543,0,0,0,0,0.0465254,0,0,0,0,0,0,0.0322726,0,0.0210199,0.0693812,0,0,0.0176801,0,0,0.0330793,0.0742079,0.0215235,0.00879071,0.0183371,0.0310596,0.0351425,0.0414694,0.0493673,0.0310158,0.0124178,0.0132807,0.0246819,0.0255481,0.0152807,0.0141197,0.0081745,0.016896,0.0398023,0,0.0138088,0.0664119,0.0340965,0,0,0.0111001,0,0,0.034363,0.0566087,0.0264672,0.024587,0.0100472,0.0463878,0.0339411,0.037315,0.122314,0.0453613,0.0235612,0.0621313,0.0412391,0.0478951,0.0805428,0.0140156,0.0217875,0,0.0249366,0.0268438,0.0259908
24,0.0250515,0,0,0,0,0.0467913,0,0,0,0,0,0,0.0319641,0,0.0216308,0.0688362,0,0,0.0175914,0,0,0.0331798,0.0747088,0.0207584,0.00970684,0.0186698,0.0307146,0.0343623,0.0413662,0.0494235,0.0317662,0.0126434,0.0134182,0.0251844,0.0259389,0.0147672,0.0145373,0.00828602,0.0164598,0.0401417,0,0.0152423,0.068233,0.0346259,0,0,0.0110442,0,0,0.0342751,0.0544285,0.0249181,0.027676,0.0162362,0.0468927,0.0336345,0.0412262,0.119202,0,0.0199575,0.061566,0.0404962,0.047554,0.0811567,0.015069,0.0220678,0,0.0248847,0.0273213,0.0251914
25,0.0243101,0,0,0,0,0.0464985,0,0,0,0,0,0,0.0322789,0,0.0211661,0.0694546,0,0,0.0177299,0,0,0.0333279,0.0742409,0.0212299,0.00899328,0.0183879,0.0310385,0.0351648,0.0414159,0.0493734,0.0313094,0.0124191,0.0132712,0.0248238,0.0256859,0.0149772,0.0141653,0.00828272,0.0170511,0.0388982,0,0.014346,0.0665109,0.0340675,0,0,0.011016,0,0,0.0344468,0.0564796,0.0262071,0.0248848,0.0105285,0.0463233,0.0340324,0.0373497,0.122123,0.0458299,0.0234001,0.0620754,0.0410185,0.0479393,0.080669,0.0140776,0.0219126,0,0.0252228,0.0268006,0.0259876
26,0.0250249,0,0,0,0,0.0467699,0,0,0,0,0,0,0.0316632,0,0.0218483,0.0688439,0,0,0.0176567,0,0,0.0334235,0.0746579,0.0203664,0.0097507,0.0186429,0.0307255,0.034326,0.0413785,0.0494585,0.0318732,0.0125901,0.0134089,0.0254398,0.0260937,0.0147261,0.0145327,0.00839156,0.0164496,0.0401637,0,0.0152697,0.0682409,0.0345734,0,0,0.0110199,0,0,0.0342856,0.0543437,0.0248689,0.0277137,0.0163218,0.0469273,0.03356,0.0411936,0.11917,0,0.019922,0.0615914,0.0405063,0.0475887,0.0811886,0.0150863,0.0221905,0,0.0249574,0.0273021,0.0252182
27,0.0242791,0,0,0,0,0.0465123,0,0,0,0,0,0,0.0319137,0,0.0213068,0.0694725,0,0,0.0176897,0,0,0.0333272,0.0742025,0.020896,0.00901979,0.0183667,0.031063,0.0351246,0.0413515,0.0494119,0.0313788,0.0124002,0.0132115,0.0250759,0.0257808,0.0150295,0.0141114,0.00828545,0.0169621,0.0387868,0,0.0143243,0.0665741,0.0340243,0,0,0.0110028,0,0,0.0343663,0.0564245,0.0261657,0.0248943,0.0106072,0.0463373,0.0340774,0.0373519,0.122074,0.0459011,0.0233522,0.0621084,0.0410324,0.0479399,0.0807112,0.0140919,0.0220017,0,0.0251728,0.0268078,0.0260179
28,0.0242854,0,0,0,0,0.0465375,0,0,0,0,0,0,0.0309324,0,0.0219564,0.0682366,0,0,0.0176457,0,0,0.0331314,0.0744936,0.0199338,0.00844327,0.0182991,0.0315994,0.0354371,0.041499,0.0492497,0.0312965,0.0125354,0.0133511,0.0256532,0.0261307,0.0154174,0.014015,0.00823633,0.0169951,0.0376323,0,0.0162835,0.0673178,0.0338946,0,0,0.0110769,0,0,0.0342893,0.0569056,0.0213849,0.0245713,0.0192719,0.0460795,0.0337097,0.0399093,0.116154,0,0.018425,0.0645565,0.0420291,0,0.084518,0.0149909,0.0221089,0,0.0250403,0.0267461,0.0261931
29,0.0242574,0,0,0,0,0.0465374,0,0,0,0,0,0,0.0314633,0,0.0214299,0.0694819,0,0,0.0176171,0,0,0.0331184,0.0741532,0.020368,0.00894914,0.0182956,0.0312017,0.0350673,0.0414878,0.0493876,0.0313732,0.0124524,0.0131597,0.0252999,0.0260165,0.0152518,0.0140539,0.00819852,0.0168859,0.0385154,0,0.014523,0.0665372,0.0339629,0,0,0.0110723,0,0,0.034531,0.056435,0.0261038,0.0248622,0.0107752,0.0463617,0.0337798,0.0372781,0.122017,0.0458574,0.0232408,0.0621722,0.0410639,0.0480384,0.0807839,0.0141585,0.0222104,0,0.0253531,0.0268153,0.0261071
30,0.0249189,0,0,0,0,0.0467426,0,0,0,0,0,0,0.0309741,0,0.0221118,0.068987,0,0,0.0175241,0,0,0.0332134,0.0746053,0.0195565,0.00981908,0.0185248,0.0306624,0.0341987,0.0414972,0.0494819,0.0318724,0.0126753,0.0133268,0.025859,0.0264485,0.015011,0.0145134,0.00823605,0.0164508,0.0400427,0,0.0153773,0.0683028,0.0344172,0,0,0.0111486,0,0,0.0343993,0.0542894,0.0248706,0.027701,0.0165652,0.0468265,0.0332583,0.0411885,0.119163,0,0.0198297,0.0616363,0.0405343,0.0477001,0.081231,0.0151131,0.0224208,0,0.0250496,0.0272744,0.0253978
31,0.0241994,0,0,0,0,0.0464466,0,0,0,0,0,0,0.0307524,0,0.0220895,0.0686602,0,0,0.0175787,0,0,0.0330565,0.0744468,0.0195065,0.00874559,0.0181966,0.0310859,0.0351375,0.0416026,0.0493861,0.0312327,0.0125909,0.0133375,0.0258651,0.0264024,0.0153544,0.0141465,0.008245,0.0167363,0.0460159,0,0.0162647,0.0673499,0.0338176,0,0,0.0111425,0,0,0.0344282,0.0556334,0.0230592,0.0248726,0.0170876,0.0460676,0.0334015,0.0405241,0.117968,0,0.0186578,0.0631838,0,0.0489643,0.0819826,0.0163316,0.0222425,0,0.0250811,0.0267426,0.0262612
32,0.0241545,0,0,0,0,0.0465087,0,0,0,0,0,0,0.0305374,0,0.0220788,0.0687381,0,0,0.0175627,0,0,0.0329923,0.0743601,0.0193583,0.0085878,0.0181402,0.0311903,0.0351407,0.0417308,0.0494208,0.0310878,0.012561,0.0133951,0.0260601,0.0264899,0.0155353,0.0141496,0.00822337,0.0166587,0.0467726,0,0.0159368,0.067181,0.0338125,0,0,0.0111225,0,0,0.0343958,0.0556799,0.0231459,0.0245822,0.0166362,0.0460678,0.03344,0.0405532,0.118088,0,0.0187471,0.0632129,0,0.0489983,0.0819165,0.0168124,0.0222748,0,0.0250524,0.0267941,0.0262953
33,0.0247761,0,0,0,0,0.0467871,0,0,0,0,0,0,0.0307489,0,0.0221857,0.0691285,0,0,0.0174656,0,0,0.0330045,0.0746016,0.0192344,0.0097765,0.0184657,0.0305502,0.0340801,0.0416278,0.049533,0.0318213,0.0127003,0.0133968,0.0261645,0.0266567,0.0150809,0.0146244,0.00823334,0.016138,0.0399976,0,0.0154315,0.0682713,0.0343561,0,0,0.0110469,0,0,0.0343614,0.0542491,0.0248985,0.0274997,0.0164706,0.0466782,0.0331822,0.0414091,0.119222,0,0.0198524,0.0616504,0.0405787,0.0477491,0.081197,0.0151325,0.022559,0,0.0250007,0.0273083,0.0255213
34,0.0247236,0,0,0,0,0.0467954,0,0,0,0,0,0,0.0306245,0,0.022292,0.0691392,0,0,0.017449,0,0,0.0329334,0.0745978,0.0189844,0.00976045,0.0184518,0.0304876,0.0340288,0.0416652,0.0495239,0.0318761,0.0127383,0.013421,0.0262211,0.0267211,0.0151405,0.0146381,0.00818699,0.0161354,0.0399383,0,0.0154011,0.0682245,0.0343203,0,0,0.0110445,0,0,0.0343453,0.0542093,0.024879,0.0274191,0.0164504,0.0466382,0.033142,0.0414076,0.119228,0,0.0198403,0.061658,0.0404864,0.0476427,0.0812141,0.0151413,0.0225806,0,0.0249995,0.0272701,0.0255958
35,0.0246693,0,0,0,0,0.0468086,0,0,0,0,0,0,0.0304868,0,0.022425,0.0691205,0,0,0.0174532,0,0,0.0329265,0.0745809,0.0186122,0.00971627,0.0184198,0.0304537,0.0340327,0.0416724,0.0495491,0.0319239,0.0127425,0.0135529,0.0263374,0.0267985,0.0151633,0.0146447,0.00818514,0.0161075,0.0399654,0,0.0153183,0.0681593,0.0342833,0,0,0.0110247,0,0,0.0343127,0.0541149,0.0248527,0.0273635,0.0164112,0.0465894,0.0331241,0.0412904,0.119221,0,0.0198331,0.061638,0.0403132,0.0474312,0.0812313,0.0151247,0.0226327,0,0.0249714,0.0272514,0.0256635
