Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHIA,LTHI,
All Timesteps RMSE,0.0291609,0,0,0,0,0.0477735,0,0,0,0,0,0,0.0341924,0,0.0181774,0.0702757,0,0,0.0206417,0,0,0.0372877,0.0705382,0.0207472,0.00873045,0.0172431,0.0331636,0.0331343,0.0411472,0.0525118,0.0345388,0.0117703,0.0132089,0.0275909,0.0292236,0.0159508,0.0102849,0.0292253,0.0215319,0.0348135,0,0.0165014,0.0687727,0.0367681,0,0,0.0174108,0,0,0.0469373,0.0539814,0.0384129,0.029356,0.0155108,0.0492287,0.0372611,0.0320035,0.0592077,0.0227581,0.0549592,0.0340814,0.0404088,0.0726366,0.0301066,0.0201615,0.0280445,0.0213215,0.0279222,0.0227614,0.0608843,0.0315298,0
0,0.028162,0,0,0,0,0.0489045,0,0,0,0,0,0,0.0408864,0,0.0188654,0.0718813,0,0,0.0166399,0,0,0.0351419,0.0732236,0.0267868,0.0130414,0.0208557,0.025012,0.0322972,0.0403021,0.0505448,0.0357157,0.0141456,0.0138602,0.0245135,0.0272481,0.00936777,0.0124135,0.00777137,0.0155245,0.0438684,0,0.0155202,0.074352,0.0356516,0,0,0.0163613,0,0,0.0429399,0.0482464,0.0379283,0.0359692,0.0147556,0.045973,0.038603,0.0329257,0.059256,0.0216795,0.0525712,0.0344324,0.0385074,0.0719256,0.0174023,0.0215774,0.0070069,0.0229671,0.0305384,0.0203767,0,0,0
1,0.0282945,0,0,0,0,0.0489858,0,0,0,0,0,0,0.035042,0,0.0193249,0.0722209,0,0,0.0168788,0,0,0.0351537,0.0732911,0.020237,0.013517,0.0200903,0.0248222,0.0320322,0.0392391,0.050156,0.0359663,0.0159968,0.0159863,0.0289635,0.0311301,0.00981003,0.0125816,0.00729903,0.0154815,0.0393856,0,0.014277,0.0743894,0.035592,0,0,0.0165163,0,0,0.0428465,0.0489705,0.0386758,0.0356335,0.0142008,0.0452609,0.0383958,0.0321134,0.0595014,0.022637,0.0530039,0.0330364,0.0393793,0.0728563,0.0161365,0.021682,0.00693994,0.0228273,0.0306405,0.0202195,0,0,0
2,0.0284106,0,0,0,0,0.0489473,0,0,0,0,0,0,0.0351145,0,0.0193821,0.0722367,0,0,0.016935,0,0,0.034945,0.0733207,0.0203825,0.013547,0.0200035,0.0248004,0.0318854,0.039132,0.0500955,0.0360273,0.0160056,0.0159356,0.028986,0.0311652,0.00982458,0.0124772,0.00719485,0.0153213,0.0393177,0,0.0142568,0.0744832,0.0357158,0,0,0.0165403,0,0,0.0428706,0.0490167,0.0386539,0.0354978,0.0142426,0.0451144,0.0382247,0.0320956,0.0594778,0.0226002,0.0530214,0.0331068,0.0393811,0.0729053,0.0161391,0.0217073,0.00692173,0.0228145,0.0306824,0.0200596,0,0,0
3,0.0285451,0,0,0,0,0.0489168,0,0,0,0,0,0,0.0351452,0,0.0193842,0.0722168,0,0,0.0169757,0,0,0.0347628,0.0733427,0.0204692,0.0135402,0.0199686,0.0247697,0.031742,0.0390284,0.0500514,0.0360688,0.0160284,0.0159011,0.0289997,0.0311787,0.0098493,0.0123927,0.00717616,0.0150863,0.0392646,0,0.014322,0.0745978,0.0358456,0,0,0.016572,0,0,0.0429452,0.0490011,0.0386362,0.0353064,0.0142644,0.0449842,0.0382171,0.0320458,0.0594658,0.0225454,0.0530337,0.0331596,0.0393327,0.0729349,0.0161423,0.0217267,0.00691851,0.0226705,0.0306933,0.0198856,0,0,0
4,0.0286438,0,0,0,0,0.0488981,0,0,0,0,0,0,0.0351432,0,0.0193669,0.0722268,0,0,0.0170001,0,0,0.034701,0.073382,0.0204727,0.0135578,0.0199328,0.024837,0.031622,0.0389401,0.0499815,0.0360788,0.0160115,0.0158971,0.029005,0.0311886,0.00983342,0.0123444,0.00715414,0.015052,0.0392349,0,0.0143804,0.0746111,0.0359506,0,0,0.0166202,0,0,0.0430291,0.0489688,0.0386209,0.035256,0.0142701,0.044873,0.0382344,0.0318603,0.0594433,0.0225374,0.0530396,0.0332201,0.039327,0.0729559,0.0161452,0.0217611,0.00692901,0.0225161,0.0307013,0.0197625,0,0,0
5,0.0287272,0,0,0,0,0.0488749,0,0,0,0,0,0,0.0351938,0,0.0194171,0.072221,0,0,0.0170804,0,0,0.0347975,0.073428,0.0204569,0.0135723,0.019881,0.0249794,0.0315683,0.0389099,0.0499435,0.0360738,0.0159477,0.0159429,0.0289602,0.0311467,0.00974381,0.012277,0.0071067,0.0152033,0.0392532,0,0.0143604,0.0745886,0.036041,0,0,0.016597,0,0,0.042925,0.04894,0.0386127,0.0352678,0.0142719,0.0447928,0.0382202,0.0316434,0.0594179,0.0225377,0.0530461,0.0332497,0.0393201,0.0729702,0.0161289,0.0217081,0.00683467,0.022705,0.0307157,0.0196728,0,0,0
6,0.0287907,0,0,0,0,0.0488287,0,0,0,0,0,0,0.0352062,0,0.0194345,0.0722114,0,0,0.0171513,0,0,0.0346853,0.0734874,0.020401,0.0135908,0.0198641,0.025133,0.0315089,0.0388876,0.0499369,0.0360352,0.0159105,0.0158525,0.0288821,0.0310976,0.00970844,0.0121888,0.00708909,0.0151806,0.0392886,0,0.0142944,0.0745738,0.0361257,0,0,0.0166137,0,0,0.0429558,0.0489339,0.0385863,0.0352483,0.0142644,0.0447209,0.0382101,0.0315389,0.0593962,0.0225852,0.0530755,0.0332659,0.0392768,0.0730231,0.0161161,0.0216365,0.00682912,0.0227444,0.0306762,0.0195869,0,0,0
7,0.0288394,0,0,0,0,0.0487851,0,0,0,0,0,0,0.0352482,0,0.019387,0.0722288,0,0,0.017217,0,0,0.0345406,0.0735097,0.0203229,0.0135739,0.0198477,0.025108,0.0314444,0.0388592,0.0499367,0.035953,0.0158887,0.015798,0.0288957,0.0310708,0.00963299,0.012112,0.00715151,0.0149991,0.0392505,0,0.0143031,0.0744982,0.0361759,0,0,0.0167144,0,0,0.0431088,0.0490055,0.0385379,0.035177,0.0142601,0.0446678,0.0381708,0.0319579,0.0593722,0.0227032,0.0531073,0.0332943,0.0392119,0.0730685,0.0160992,0.0216325,0.00685915,0.0226826,0.0306283,0.0195141,0,0,0
8,0.028893,0,0,0,0,0.0487415,0,0,0,0,0,0,0.0353245,0,0.0193089,0.0722154,0,0,0.0172655,0,0,0.0344804,0.0735306,0.020234,0.0135533,0.019846,0.0248801,0.0314701,0.0388288,0.0499073,0.0358336,0.01587,0.0158121,0.0289651,0.0310556,0.00951444,0.0120479,0.00719617,0.0149166,0.0392656,0,0.0143281,0.0744515,0.0362072,0,0,0.0167476,0,0,0.0430178,0.0490662,0.0384983,0.0351171,0.0142358,0.0446327,0.0380877,0.0321861,0.0593628,0.0227205,0.0531461,0.0333585,0.0393333,0.0730681,0.0160623,0.0216343,0.00677235,0.0227509,0.0305749,0.0194594,0,0,0
9,0.028959,0,0,0,0,0.0487064,0,0,0,0,0,0,0.0353729,0,0.0192981,0.0722417,0,0,0.0173124,0,0,0.0344739,0.0735301,0.0201137,0.0135569,0.0198654,0.0250154,0.0315126,0.0388974,0.0498638,0.0356727,0.0158175,0.0158994,0.0289784,0.0310265,0.00941042,0.0119942,0.00721332,0.0149176,0.0393161,0,0.0143813,0.0744464,0.0362546,0,0,0.016747,0,0,0.042992,0.0490926,0.0384709,0.0350682,0.0142255,0.0446146,0.0381429,0.0321406,0.0593172,0.0226902,0.0531756,0.0333885,0.0393421,0.0730981,0.0160249,0.0216161,0.00679566,0.0227785,0.0305613,0.0193837,0,0,0
10,0.0290253,0,0,0,0,0.0486658,0,0,0,0,0,0,0.0354118,0,0.0193247,0.0723143,0,0,0.0173478,0,0,0.0344889,0.073517,0.0199954,0.0135946,0.0198894,0.0252721,0.0315262,0.0390354,0.0498658,0.0355209,0.0157644,0.0159205,0.0289374,0.0309257,0.0093458,0.0119682,0.00720192,0.014925,0.0393725,0,0.0143885,0.0744547,0.0363003,0,0,0.0167672,0,0,0.0429589,0.0490844,0.0384682,0.0350304,0.0142315,0.0445693,0.0381573,0.0320064,0.0592344,0.0226524,0.0532027,0.0334056,0.0392206,0.073133,0.0159853,0.0215501,0.00684436,0.0227668,0.0305435,0.0193023,0,0,0
11,0.0290802,0,0,0,0,0.0486095,0,0,0,0,0,0,0.035409,0,0.0193771,0.0723664,0,0,0.0173798,0,0,0.0344945,0.0735087,0.0198633,0.0136621,0.0198581,0.0255024,0.0315652,0.0391002,0.0498865,0.0353412,0.0157205,0.0158803,0.0289001,0.0308178,0.00931188,0.0119683,0.00718471,0.0150105,0.0394302,0,0.0143799,0.0744326,0.036346,0,0,0.0167941,0,0,0.0428979,0.0490533,0.0384694,0.0350065,0.0142242,0.0445242,0.038111,0.0317476,0.059178,0.0226142,0.0532084,0.0333978,0.0391755,0.0731439,0.0159616,0.0215586,0.00688157,0.0226861,0.0304846,0.0192269,0,0,0
12,0.0290913,0,0,0,0,0.0485607,0,0,0,0,0,0,0.0354013,0,0.0194284,0.0723536,0,0,0.0174076,0,0,0.0344839,0.0735655,0.0197864,0.0137371,0.019849,0.0252997,0.0315956,0.0390571,0.0498718,0.0352103,0.0156635,0.0158677,0.0288522,0.030711,0.00927948,0.0119528,0.00723472,0.0148912,0.0395498,0,0.0143648,0.0744401,0.0363768,0,0,0.0168337,0,0,0.0429577,0.0490432,0.0384712,0.0349771,0.0142214,0.0444415,0.0380204,0.0313043,0.0591366,0.022589,0.0532126,0.0334097,0.0391643,0.0731542,0.0159437,0.0216305,0.00691033,0.0226135,0.0303894,0.0192028,0,0,0
13,0.0290983,0,0,0,0,0.048494,0,0,0,0,0,0,0.0353335,0,0.0194225,0.0724421,0,0,0.0174352,0,0,0.0344769,0.0736093,0.0197006,0.0138516,0.0198219,0.025122,0.0316524,0.039022,0.0498233,0.0350638,0.0156038,0.0158631,0.028806,0.0306317,0.00932251,0.0119137,0.00728785,0.014787,0.0395968,0,0.014392,0.0743756,0.0364042,0,0,0.0168559,0,0,0.0430286,0.0490866,0.0384414,0.03491,0.0142108,0.0443545,0.0379158,0.0313509,0.0591352,0.0225244,0.0532248,0.0334432,0.0392524,0.0731669,0.0159292,0.0216952,0.00694205,0.0225599,0.0302848,0.0191979,0,0,0
14,0.028309,0,0,0,0,0.0479855,0,0,0,0,0,0,0.0410026,0,0.0187692,0.0721417,0,0,0.0180537,0,0,0.0340065,0.0732867,0.0266294,0.0122883,0.0200267,0.0261382,0.0328951,0.0400022,0.0498831,0.0340665,0.013601,0.0137237,0.0241527,0.0266093,0.00928609,0.0114223,0.00756441,0.0156278,0.0389258,0,0.0161382,0.0721954,0.0360224,0,0,0.0168118,0,0,0.0428337,0.0521213,0.0339519,0.0314783,0.0179382,0.0440307,0.0377282,0.0306348,0.0564262,0.0216695,0.0558924,0.0358377,0.0418355,0.0753208,0.0156162,0.0215865,0.0069443,0.0227024,0.0294297,0.0201947,0.0544207,0,0
15,0.0290976,0,0,0,0,0.0481851,0,0,0,0,0,0,0.0407926,0,0.0189482,0.0724416,0,0,0.0179557,0,0,0.0340987,0.0735348,0.0260936,0.0135686,0.0203254,0.0253082,0.0319294,0.0400517,0.0500684,0.0345731,0.0137436,0.0138367,0.0245386,0.0269041,0.00871609,0.0118843,0.00774393,0.0148568,0.0432658,0,0.015965,0.0741066,0.0367376,0,0,0.016753,0,0,0.0427133,0.0486646,0.0374387,0.0349801,0.0149874,0.0448265,0.0375319,0.0330244,0.0586152,0.0213087,0.0530012,0.0349503,0.0388977,0.072415,0.0168172,0.0217878,0.00696879,0.0225299,0.029985,0.0192175,0,0,0
16,0.0290934,0,0,0,0,0.0480796,0,0,0,0,0,0,0.0405579,0,0.0190229,0.0726998,0,0,0.0180044,0,0,0.0341039,0.0735453,0.0258575,0.0138897,0.0202161,0.0252236,0.0320252,0.0401173,0.0499952,0.0343665,0.0137353,0.0138689,0.0246491,0.0269398,0.00874139,0.0119123,0.0077506,0.0147766,0.0437012,0,0.0157591,0.0739579,0.0367783,0,0,0.0167228,0,0,0.0426842,0.0485998,0.0375533,0.0349642,0.0148624,0.0447549,0.0374719,0.0330358,0.058707,0.0213937,0.0529718,0.0350023,0.0387532,0.0723566,0.0169419,0.0217666,0.00700498,0.0224769,0.0299142,0.0192297,0,0,0
17,0.0283819,0,0,0,0,0.0477136,0,0,0,0,0,0,0.0403546,0,0.0189483,0.072617,0,0,0.0180403,0,0,0.0341075,0.0733134,0.0260368,0.0129786,0.0197771,0.0259645,0.0331129,0.0402099,0.0496969,0.0335861,0.0135822,0.013859,0.0244523,0.0267135,0.00934698,0.0115069,0.00764742,0.0153872,0.039468,0,0.0160297,0.0718924,0.0362278,0,0,0.0167963,0,0,0.0427478,0.0519427,0.0339029,0.0315313,0.0179365,0.0439367,0.0373021,0.0310607,0.0562596,0.0213895,0.0559511,0.0359647,0.0418035,0.0753159,0.0155629,0.021626,0.00698113,0.0224713,0.029215,0.0201655,0.0524476,0,0
18,0.0291605,0,0,0,0,0.0478518,0,0,0,0,0,0,0.0402069,0,0.0191269,0.0730622,0,0,0.0179097,0,0,0.0341912,0.0735252,0.0257391,0.0143272,0.020067,0.0250308,0.0322481,0.0402535,0.0498497,0.0341051,0.0137283,0.0139831,0.0247087,0.0269416,0.00900756,0.0119511,0.00782456,0.0146413,0.0436658,0,0.0159266,0.0735834,0.0369454,0,0,0.0167244,0,0,0.0427064,0.0486717,0.0374633,0.0349451,0.0150583,0.0447215,0.0371626,0.0328396,0.058526,0.0209722,0.0531347,0.0350597,0.0395082,0.0723863,0.0167967,0.0218862,0.00702741,0.0224778,0.0296719,0.0191815,0,0,0
19,0.0292102,0,0,0,0,0.047718,0,0,0,0,0,0,0.0400179,0,0.0192324,0.0734336,0,0,0.0178967,0,0,0.0342125,0.0735617,0.0257081,0.0147685,0.0199829,0.0247975,0.0324148,0.0402905,0.0497297,0.0339534,0.0137103,0.0139717,0.0247073,0.0269362,0.0091883,0.0120814,0.00782122,0.0145879,0.0443655,0,0.0158058,0.0733768,0.0370217,0,0,0.0167321,0,0,0.0426895,0.0485056,0.0377094,0.0350646,0.0150069,0.0446738,0.0371219,0.0329343,0.0585823,0.0208779,0.0530348,0.0352282,0.0408611,0.0721782,0.0169408,0.0218594,0.00703418,0.0223698,0.0295543,0.0191197,0,0,0
20,0.0288036,0,0,0,0,0.0474027,0,0,0,0,0,0,0.0394866,0,0.0194396,0.0729983,0,0,0.0178273,0,0,0.0342659,0.0735594,0.0255766,0.0141025,0.0195512,0.0253724,0.0333068,0.0404093,0.0493494,0.0332084,0.0135978,0.0139474,0.0246529,0.026765,0.00979489,0.0119486,0.00776219,0.0150513,0.0416227,0,0.0150178,0.0719872,0.0366883,0,0,0.0168045,0,0,0.0425217,0.0505598,0.0347195,0.0325558,0.0169719,0.0440882,0.0368889,0.0319457,0.0565002,0.02083,0.0554427,0.0359907,0,0.0749708,0.0164098,0.0216623,0.00693287,0.022332,0.0290082,0.0197162,0,0,0
21,0.0288763,0,0,0,0,0.0472365,0,0,0,0,0,0,0.0393517,0,0.0196415,0.073185,0,0,0.0177654,0,0,0.0342662,0.073684,0.0255377,0.0145333,0.019495,0.0253255,0.0334589,0.0404526,0.0492024,0.0330616,0.0136423,0.0139824,0.0246474,0.0267176,0.00996744,0.0120591,0.00779386,0.0149806,0.0415257,0,0.0149912,0.071856,0.0368032,0,0,0.0167995,0,0,0.0424715,0.0505246,0.0347318,0.0326245,0.0169953,0.0440181,0.0367768,0.0319474,0.0564281,0.0207328,0.0554673,0.0360298,0,0.07498,0.0163563,0.0215577,0.00691174,0.0223391,0.0288716,0.0196438,0,0,0
22,0.0289734,0,0,0,0,0.0468827,0,0,0,0,0,0,0.0392354,0,0.0199259,0.0730763,0,0,0.0203035,0,0,0.0317033,0.0739675,0.0253813,0.0148232,0.0194156,0.0254246,0.0332045,0.04038,0.0489691,0.0329565,0.0137164,0.0140453,0.0246793,0.0266903,0.00993961,0.0136316,0.00807223,0.0164413,0.0413684,0,0.0150625,0.0717705,0.0370547,0,0,0.0168459,0,0,0.0424969,0.0502962,0.0349239,0.0330325,0.0169152,0.0443209,0.036647,0.0319006,0.0564114,0.0205435,0.0553504,0.0359091,0,0.0748421,0.0163441,0.0214286,0.00690549,0.0223865,0.0285569,0.0195729,0,0,0
23,0.0288646,0,0,0,0,0.047308,0,0,0,0,0,0,0.0396848,0,0.0198851,0.0730467,0,0,0.0176566,0,0,0.0341445,0.0740148,0.0258086,0.0147915,0.0194538,0.0251967,0.0332095,0.0402826,0.0489668,0.0331018,0.0137617,0.0140686,0.0245116,0.0265881,0.00992364,0.0121621,0.00754978,0.0149825,0.041578,0,0.0149772,0.0719262,0.0367127,0,0,0.0168862,0,0,0.0425108,0.0504232,0.0348139,0.0327839,0.0170062,0.0439592,0.03674,0.031309,0.0563852,0.0205662,0.0554371,0.0360129,0,0.0749044,0.0163875,0.0215698,0.00692601,0.0224049,0.0289333,0.0196556,0,0,0
24,0.028809,0,0,0,0,0.04748,0,0,0,0,0,0,0.0403123,0,0.019709,0.0730425,0,0,0.0175861,0,0,0.0342719,0.073937,0.0265235,0.0145232,0.0195164,0.0248596,0.033114,0.0402127,0.0490504,0.033271,0.0137706,0.0140173,0.0241943,0.0264283,0.0100896,0.0120231,0.00773935,0.0150503,0.0416838,0,0.0149353,0.0720165,0.0365945,0,0,0.0168929,0,0,0.0425223,0.0505527,0.0347783,0.0326148,0.0170042,0.0438553,0.0367297,0.0312719,0.0564078,0.0206687,0.0554426,0.0360278,0,0.074923,0.0164442,0.0216658,0.00701662,0.0224028,0.0290742,0.0196943,0,0,0
25,0.0292774,0,0,0,0,0.0480571,0,0,0,0,0,0,0.0351593,0,0.0200564,0.0739368,0,0,0.0169728,0,0,0.0347378,0.0739316,0.0200538,0.0156928,0.0191723,0.0239053,0.0319937,0.0390959,0.048994,0.0340999,0.0157986,0.0161454,0.0287594,0.0305455,0.00971525,0.0123242,0.00751088,0.0143557,0.0396618,0,0.0143086,0.0732047,0.0366293,0,0,0.016965,0,0,0.0426346,0.0493636,0.0383424,0.0345843,0.0143813,0.0438362,0.0369603,0.0317706,0.0588207,0.0218595,0.0535783,0.0337815,0.0399491,0.0732835,0.0157899,0.0217865,0.00701729,0.0219827,0.0298402,0.019085,0,0,0
26,0.0292446,0,0,0,0,0.0481958,0,0,0,0,0,0,0.0353526,0,0.0199021,0.0740169,0,0,0.0169753,0,0,0.0346268,0.073879,0.0202,0.0156345,0.0192131,0.0237689,0.0318409,0.0389327,0.0490304,0.0342431,0.0158903,0.0162354,0.0287997,0.0306914,0.00955354,0.0123502,0.00741586,0.0143567,0.0397175,0,0.0143535,0.0734051,0.0364567,0,0,0.0169586,0,0,0.0426264,0.0493987,0.038427,0.0345132,0.0143471,0.0436703,0.0371221,0.0320153,0.0589374,0.0218063,0.053497,0.0336969,0.0398146,0.0732661,0.0158021,0.0217968,0.00700786,0.021893,0.0299893,0.0191031,0,0,0
27,0.0292619,0,0,0,0,0.0483306,0,0,0,0,0,0,0.0355106,0,0.0198502,0.0739555,0,0,0.0169975,0,0,0.0345552,0.0738304,0.0203012,0.0155488,0.0192667,0.0239207,0.0317002,0.0387846,0.0490771,0.0343304,0.0159493,0.0163029,0.0288828,0.0307876,0.00939131,0.0123807,0.00738194,0.0143101,0.0397399,0,0.0143745,0.073555,0.0363178,0,0,0.0169313,0,0,0.0426149,0.0494154,0.0384324,0.0344813,0.0143286,0.0436507,0.0371928,0.0320073,0.0589923,0.0217701,0.0534797,0.033687,0.0398236,0.073251,0.0158197,0.0218322,0.0070025,0.02187,0.0301343,0.0191223,0,0,0
28,0.0292899,0,0,0,0,0.0484755,0,0,0,0,0,0,0.0355982,0,0.0197489,0.0739054,0,0,0.0170135,0,0,0.0345541,0.0737862,0.0203431,0.0154587,0.0193358,0.0241706,0.0315854,0.0387047,0.0491456,0.0343887,0.0160099,0.0163387,0.028926,0.0308778,0.00929929,0.0124158,0.00736252,0.0143161,0.0397278,0,0.0143836,0.0736659,0.0362008,0,0,0.0169167,0,0,0.0426096,0.049403,0.038463,0.0344887,0.0143041,0.0436576,0.0372334,0.0319803,0.0590158,0.0217276,0.0534702,0.0336656,0.0397869,0.073211,0.0158421,0.0218371,0.00697083,0.0219073,0.0302557,0.0191284,0,0,0
29,0.0292769,0,0,0,0,0.0485943,0,0,0,0,0,0,0.0357057,0,0.0196406,0.0737889,0,0,0.0170233,0,0,0.0345817,0.0737752,0.0204071,0.0153069,0.0193995,0.023898,0.0314644,0.0385915,0.0491717,0.0344783,0.0160691,0.0163474,0.0289424,0.0309486,0.00916514,0.0124411,0.00731547,0.0143913,0.0397009,0,0.0143662,0.0737461,0.0360753,0,0,0.0169109,0,0,0.0425922,0.0494052,0.0384896,0.0344539,0.0142924,0.0436966,0.0372579,0.031954,0.0590262,0.0217493,0.0534614,0.0336144,0.0396207,0.0732211,0.015861,0.0218071,0.0069585,0.0220768,0.0303611,0.019164,0,0,0
30,0.0292895,0,0,0,0,0.0486883,0,0,0,0,0,0,0.0358312,0,0.0195667,0.0736923,0,0,0.0170305,0,0,0.0345668,0.073775,0.0204596,0.0151801,0.0194517,0.0237077,0.0313548,0.0385256,0.0491626,0.0345656,0.0161196,0.0163669,0.0289622,0.0309975,0.00902598,0.0124647,0.00729111,0.014404,0.0396704,0,0.0143097,0.0738548,0.0359902,0,0,0.0169082,0,0,0.0426034,0.0494224,0.0385243,0.034415,0.0142865,0.0437458,0.0373117,0.031941,0.0590116,0.021766,0.053449,0.0335354,0.0393318,0.0732587,0.0158741,0.021769,0.0069747,0.0221958,0.030482,0.0191927,0,0,0
31,0.0293125,0,0,0,0,0.04877,0,0,0,0,0,0,0.0359305,0,0.019548,0.0736395,0,0,0.017025,0,0,0.0345236,0.0737765,0.0204997,0.0150806,0.0194726,0.0236914,0.0312665,0.038495,0.0492027,0.0346055,0.0161322,0.0164026,0.0289749,0.031042,0.00893968,0.0125071,0.00729484,0.01436,0.0396628,0,0.0142611,0.073964,0.0359264,0,0,0.0168704,0,0,0.0426111,0.0494279,0.0385423,0.0344073,0.0142778,0.0437879,0.0372741,0.031948,0.0590017,0.0218236,0.053428,0.0334967,0.0392111,0.073263,0.0158867,0.0217834,0.00699101,0.0221813,0.0305811,0.019245,0,0,0
32,0.0293521,0,0,0,0,0.0488713,0,0,0,0,0,0,0.0359746,0,0.0195286,0.0736197,0,0,0.0170013,0,0,0.034485,0.0737602,0.0205117,0.0150383,0.019464,0.0237224,0.0311594,0.0384873,0.0492616,0.0346269,0.0161338,0.0164311,0.0289669,0.0310661,0.00890773,0.0126076,0.00732118,0.0142814,0.0396462,0,0.0142328,0.0740378,0.0358421,0,0,0.0168319,0,0,0.0426118,0.049396,0.0385717,0.0344422,0.014249,0.0438422,0.0372633,0.031994,0.0590052,0.021855,0.0533932,0.0334757,0.0391655,0.073247,0.0158966,0.0218439,0.00697456,0.0220928,0.0306716,0.0192794,0,0,0
33,0.0293788,0,0,0,0,0.048952,0,0,0,0,0,0,0.0359474,0,0.0194716,0.0736153,0,0,0.0169672,0,0,0.0344587,0.0737272,0.0204887,0.0150226,0.0194635,0.0237295,0.0310697,0.0384994,0.0492826,0.0346291,0.016128,0.0164462,0.0290017,0.0310672,0.00891286,0.0126755,0.00729694,0.0143266,0.0396298,0,0.0142509,0.0740431,0.0357725,0,0,0.0167811,0,0,0.0426137,0.0493724,0.0385936,0.034454,0.0142219,0.0439234,0.0372574,0.03204,0.0590074,0.021791,0.0533699,0.0334404,0.0391598,0.0732028,0.0159022,0.0218803,0.00696951,0.0221256,0.0307254,0.0192858,0,0,0
34,0.0294241,0,0,0,0,0.0490059,0,0,0,0,0,0,0.0359217,0,0.0194615,0.0735949,0,0,0.0169337,0,0,0.0344196,0.0736867,0.0204899,0.0150104,0.0194896,0.0237235,0.0309658,0.0385427,0.0492906,0.0346325,0.0160939,0.0164045,0.0290203,0.0310461,0.00895994,0.0127431,0.00729919,0.0143,0.0395917,0,0.0142337,0.0740251,0.0357362,0,0,0.0167627,0,0,0.0426734,0.0493608,0.0386014,0.0344704,0.01419,0.0440114,0.0372214,0.0321069,0.0590102,0.0217518,0.0533474,0.0334193,0.0391148,0.0731622,0.0159117,0.0219228,0.00701758,0.0221959,0.0307364,0.019276,0,0,0
35,0.0294378,0,0,0,0,0.04904,0,0,0,0,0,0,0.0359768,0,0.0194766,0.0734907,0,0,0.0169208,0,0,0.0343805,0.0736573,0.020512,0.0148755,0.0194824,0.0237723,0.0309437,0.0385464,0.0493292,0.0347293,0.0160552,0.0163255,0.0290712,0.0310363,0.00893114,0.0127888,0.00734107,0.0141929,0.0395501,0,0.0142638,0.0740715,0.0356912,0,0,0.0167677,0,0,0.0427794,0.0493322,0.0386573,0.0344866,0.0141747,0.0440824,0.0372759,0.0321337,0.0590309,0.0217846,0.0533101,0.0334072,0.0391114,0.0731337,0.0159381,0.0219367,0.00705659,0.0220889,0.0307531,0.0192892,0,0,0
36,0.0294565,0,0,0,0,0.0490395,0,0,0,0,0,0,0.0359413,0,0.0194522,0.0734294,0,0,0.0168848,0,0,0.034395,0.073636,0.0204974,0.014773,0.0194639,0.0238213,0.0309326,0.0385639,0.0493651,0.0347597,0.0160112,0.0163057,0.0290897,0.0310166,0.00893946,0.0128655,0.00737571,0.0141567,0.039529,0,0.0143583,0.0740888,0.0356489,0,0,0.0167655,0,0,0.0428239,0.0492981,0.0387054,0.0345183,0.0141593,0.0441363,0.0372477,0.0321767,0.059034,0.0218795,0.0532954,0.033422,0.0391634,0.0730846,0.0159569,0.0219399,0.00703396,0.0219721,0.0307652,0.0193078,0,0,0
37,0.029462,0,0,0,0,0.0490258,0,0,0,0,0,0,0.0358659,0,0.0193988,0.073411,0,0,0.0168317,0,0,0.0344058,0.073615,0.0204473,0.0147008,0.019486,0.0238482,0.0309282,0.0385713,0.04939,0.0347526,0.0160064,0.0163355,0.0290539,0.0310176,0.00900248,0.0129489,0.0073996,0.0141588,0.0395293,0,0.0143921,0.0740976,0.035607,0,0,0.016741,0,0,0.0428393,0.0492743,0.0387294,0.0345478,0.0141425,0.044196,0.0371692,0.0322201,0.0590552,0.0219052,0.0532469,0.0334186,0.0392373,0.0730271,0.0159712,0.0219179,0.00698883,0.0219349,0.0307619,0.0193486,0,0,0
38,0.0294518,0,0,0,0,0.0490124,0,0,0,0,0,0,0.0357956,0,0.0193627,0.0734372,0,0,0.0167911,0,0,0.0344124,0.0735912,0.0204177,0.014643,0.0194542,0.0238581,0.0309212,0.0386021,0.0493975,0.0347519,0.0160194,0.016293,0.0290305,0.0310226,0.00909042,0.0129956,0.00739834,0.014188,0.0394992,0,0.0144115,0.0740882,0.035583,0,0,0.0167207,0,0,0.042862,0.0492673,0.0387571,0.0345513,0.014133,0.0442479,0.0370937,0.0322359,0.0590547,0.0218421,0.0532352,0.0333927,0.0391031,0.0730097,0.0159821,0.021894,0.00695125,0.022035,0.0307459,0.0193908,0,0,0
