Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,RTHIA,LTHI,
1233,0.0268981,0,0,0,0,0.0466482,0,0,0,0,0,0,0.0347684,0,0.0197756,0.0681787,0,0,0.0217415,0,0,0.0406166,0.0721734,0.0173707,0.00321676,0.0143284,0.0355808,0.0355394,0.0394759,0.0504772,0.0311565,0.00714348,0.00851368,0.0261069,0.0274376,0.0104458,0.00905468,0.0293526,0.0231434,0.0371185,0,0.0111789,0.0663709,0.0374414,0,0,0.0166053,0,0,0.0478876,0.050153,0.0407488,0.0218911,0.0124758,0.0484991,0.0345075,0.0330027,0.0639418,0.0244827,0.0552122,0.0333188,0.0403227,0.0713151,0.0169303,0.0173356,0.0271859,0.0201294,0.0264701,0.0248983,0.0640583,0.0287939,0
1234,0.0266791,0,0,0,0,0.046637,0,0,0,0,0,0,0.0343132,0,0.0197866,0.0681659,0,0,0.0219219,0,0,0.0406918,0.0721244,0.0172594,0.00333982,0.0144376,0.0357331,0.0354653,0.0395301,0.0505014,0.031211,0.00707041,0.00852601,0.0260985,0.0273936,0.0106841,0.00898203,0.0294245,0.0231585,0.0356435,0,0.0114587,0.0661627,0.0374031,0,0,0.0165566,0,0,0.0479025,0.0503821,0.0415491,0.0216312,0.0130464,0.0486039,0.0346853,0.0327553,0.0641421,0.0246334,0.0551549,0.0333257,0.0402232,0.0713317,0.018186,0.0174441,0.0271491,0.0201895,0.0263915,0.0250381,0.0638207,0.0290128,0
1235,0.026458,0,0,0,0,0.0466162,0,0,0,0,0,0,0.0338228,0,0.0197618,0.0682048,0,0,0.0220678,0,0,0.0407503,0.0719929,0.0171632,0.00349248,0.0145088,0.0359161,0.0353283,0.0395683,0.0504647,0.0312539,0.00698548,0.00848029,0.0260144,0.0273364,0.0111036,0.00887156,0.029599,0.0231731,0.03394,0,0.011933,0.0659585,0.0373626,0,0,0.0165653,0,0,0.0479536,0.0506945,0.042498,0.021373,0.013614,0.0486927,0.0348263,0.0325403,0.0641439,0.0246032,0.0552203,0.033341,0.0403173,0.0713615,0.0198672,0.0175272,0.0271572,0.0202314,0.0263266,0.0251907,0.0635758,0.0290759,0
1236,0.0262364,0,0,0,0,0.0466033,0,0,0,0,0,0,0.0332866,0,0.0197139,0.0683285,0,0,0.0221017,0,0,0.0407668,0.0718216,0.0170664,0.00366918,0.0145793,0.036069,0.035158,0.0396197,0.0503099,0.0312673,0.00692965,0.00845699,0.0258011,0.0272779,0.0117478,0.00874324,0.0297751,0.0232175,0.0318564,0,0.0123549,0.065706,0.0373381,0,0,0.016588,0,0,0.0480124,0.0509961,0.0434297,0.0211297,0.0140749,0.048759,0.034957,0.0325204,0.0640071,0.0243358,0.0553969,0.0333824,0.0404025,0.0713647,0.0221869,0.0175167,0.0272089,0.0202572,0.0262685,0.0253364,0.0633762,0.0290217,0
1237,0.0260547,0,0,0,0,0.0465815,0,0,0,0,0,0,0.0327602,0,0.0196418,0.0685568,0,0,0.0220889,0,0,0.0407523,0.0717727,0.0169563,0.00388367,0.0146411,0.0362008,0.0350096,0.0396743,0.0502701,0.0312149,0.00688714,0.00849507,0.0255852,0.0272807,0.0123275,0.00868508,0.0298384,0.0232254,0.0295462,0,0.0129476,0.0653329,0.0373131,0,0,0.0166388,0,0,0.0480053,0.0513273,0.0443454,0.0208055,0.0144788,0.0488032,0.0351491,0.0324849,0.0638371,0.0238693,0.0556231,0.0334435,0.0403985,0.0713942,0.025171,0.0174866,0.0271585,0.0203405,0.0262113,0.0254682,0.0632431,0.0288482,0
1238,0.025931,0,0,0,0,0.0465606,0,0,0,0,0,0,0.0324,0,0.0195565,0.0688776,0,0,0.0220442,0,0,0.0407163,0.0716585,0.0168824,0.00419775,0.0147247,0.0363026,0.0349172,0.039777,0.0503379,0.0310913,0.0067909,0.00848675,0.0257653,0.0272668,0.0127105,0.00869756,0.0297813,0.023203,0.0268734,0,0.0136572,0.0648647,0.0373037,0,0,0.0167393,0,0,0.0480024,0.0516896,0.0450454,0.0203974,0.0149605,0.0488667,0.0354223,0.0323905,0.0636702,0.0233444,0.0557516,0.0334857,0.0404072,0.0713855,0.0289303,0.0174967,0.0271471,0.0203974,0.026153,0.0255603,0.063569,0.0284886,0
1239,0.0258311,0,0,0,0,0.0465515,0,0,0,0,0,0,0.0320571,0,0.0194757,0.0692416,0,0,0.0220482,0,0,0.0407023,0.0715035,0.0168079,0.0045435,0.0147793,0.0363385,0.0348911,0.039815,0.0503886,0.0309323,0.00674042,0.00853612,0.0258856,0.0272008,0.0130342,0.00874931,0.0297006,0.023175,0.0239806,0,0.0144593,0.0643479,0.037304,0,0,0.0168493,0,0,0.0480656,0.0519823,0.045538,0.0200092,0.0156656,0.0489448,0.0356598,0.0323887,0.0636656,0.0230065,0.0557415,0.0334589,0.0403699,0.0712778,0.0333667,0.0175199,0.0271708,0.0203583,0.0261228,0.0256316,0.0637487,0.0281482,0
1240,0.025716,0,0,0,0,0.046568,0,0,0,0,0,0,0.0316765,0,0.0193923,0.0696159,0,0,0.0220958,0,0,0.0407047,0.0713638,0.016711,0.004886,0.0148432,0.0363187,0.0349254,0.0397644,0.0504226,0.0307409,0.00672891,0.00862057,0.0259055,0.0271526,0.0132868,0.00879113,0.0297075,0.0231479,0.0221214,0,0.0152907,0.0638153,0.0372945,0,0,0.0169251,0,0,0.0481319,0.0522195,0.0459841,0.0196018,0.016549,0.0489675,0.0358385,0.0325008,0.0637656,0.0226854,0.0557217,0.0333635,0.0403131,0.0711708,0.0382604,0.0175763,0.0272789,0.0203692,0.0261236,0.0257017,0.0638846,0.0279202,0
1241,0.0256014,0,0,0,0,0.0466179,0,0,0,0,0,0,0.0314267,0,0.019306,0.0699474,0,0,0.0221537,0,0,0.0407066,0.0712596,0.0166337,0.00521079,0.0148883,0.0362749,0.0350357,0.0397063,0.0504324,0.0305752,0.00672731,0.00871717,0.0258912,0.0271155,0.0134801,0.00880821,0.0297738,0.0230855,0.0208611,0,0.0161154,0.0633384,0.0372755,0,0,0.0169662,0,0,0.0482117,0.0523774,0.0465215,0.019174,0.0171907,0.048952,0.0359536,0.0326818,0.0636971,0.0223818,0.0556022,0.0332352,0.0402097,0.0709745,0.0430192,0.0176397,0.0273903,0.0204357,0.0261286,0.0257856,0.0641393,0.0277258,0
1242,0.0255189,0,0,0,0,0.0466646,0,0,0,0,0,0,0.0313534,0,0.0192087,0.0702095,0,0,0.0221796,0,0,0.0406826,0.0712002,0.0165262,0.00551771,0.0149255,0.0362617,0.0352164,0.03963,0.0504029,0.0304232,0.00671048,0.00880546,0.025939,0.0271069,0.0136091,0.00888638,0.0298144,0.0230185,0.0200295,0,0.0168325,0.0629183,0.0372549,0,0,0.0169973,0,0,0.0482964,0.0525553,0.0471946,0.018776,0.0176088,0.0489386,0.0360265,0.0327324,0.0636222,0.0221597,0.0554728,0.0330354,0.040136,0.0707387,0.0476611,0.0177122,0.0274975,0.0204724,0.0261224,0.0258302,0.0642684,0.0275294,0
