Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,LTHIA,RWRB,RTIBA,LWRA,
13,0.031398,0,0,0,0,0.0429119,0,0,0,0,0,0,0.031055,0,0.0129207,0.0724575,0,0,0.01867,0,0,0.0261913,0.0694342,0.0166324,0.0117576,0.0219693,0.0322427,0.0345347,0.0580292,0.0394716,0.011047,0.0125988,0.0244003,0.0260549,0.0136511,0.0144355,0.0208259,0.0542782,0,0.0183381,0.0740033,0.0324147,0,0,0.0243799,0,0,0.0496039,0.0461507,0.0371961,0.0324549,0.0168842,0.0423798,0.0412288,0.0351246,0.059158,0.0519592,0.0220321,0.0644689,0.0385523,0.101983,0.021851,0.023778,0.0287412,0.0231354,0.0211004,0,0,0,0,0
14,0.0303947,0,0,0,0,0.0427715,0,0,0,0,0,0,0.0261418,0,0.0144269,0.0707764,0,0,0.0191968,0,0,0.026356,0.0712818,0.0179583,0.0103319,0.0207217,0.0317231,0.0349972,0.0556129,0.0386692,0.0117713,0.0147322,0.0253324,0.0268276,0.0192302,0.014334,0.0209418,0.0546247,0,0.0182143,0.074619,0.0318213,0,0,0.0249661,0,0,0.0497021,0.0461317,0.0370794,0.0326143,0.017012,0.0426035,0.0420067,0.0348294,0.0591679,0.0521143,0.0219606,0.0643403,0.03854,0.102056,0.0222619,0.0239043,0.0288044,0.0225827,0.0218976,0.0443521,0,0,0,0
15,0.0304537,0,0,0,0,0.0428036,0,0,0,0,0,0,0.0261371,0,0.0145422,0.0707787,0,0,0.0191425,0,0,0.026321,0.0713083,0.0177833,0.010281,0.020821,0.0317639,0.0350297,0.0556745,0.0387387,0.0118721,0.014764,0.0252948,0.0267706,0.0191811,0.0142927,0.0209226,0.0548867,0,0.0181791,0.0745862,0.0319235,0,0,0.0250675,0,0,0.0496327,0.0461272,0.0370249,0.0326143,0.017005,0.0425723,0.0420677,0.0348713,0.0592034,0.052069,0.021973,0.0645147,0.0386276,0.102061,0.0223961,0.0239358,0.0287418,0.0225312,0.0218498,0.0444036,0,0,0,0
16,0.0305011,0,0,0,0,0.0428666,0,0,0,0,0,0,0.0260875,0,0.014542,0.0706903,0,0,0.0190735,0,0,0.0262989,0.0713276,0.017681,0.0102178,0.0209115,0.0317994,0.0350408,0.0557093,0.0388225,0.0118982,0.0147965,0.0252694,0.0267301,0.0191911,0.0142522,0.0209001,0.0552369,0,0.0180955,0.0745141,0.0320403,0,0,0.0251427,0,0,0.0495669,0.0461594,0.0370092,0.0326091,0.0169781,0.0425375,0.0421151,0.0347624,0.0592107,0.0520036,0.0219214,0.0646564,0.038734,0.102089,0.0225428,0.0241005,0.0286906,0.0225583,0.0217995,0.044472,0,0,0,0
17,0.0305568,0,0,0,0,0.0428978,0,0,0,0,0,0,0.0260551,0,0.0145584,0.0705637,0,0,0.019017,0,0,0.0262981,0.0713323,0.0177122,0.0102096,0.0209845,0.0318256,0.0350589,0.0557231,0.038936,0.011895,0.0148126,0.0252378,0.026681,0.0192058,0.0141926,0.0208937,0.0556655,0,0.0179842,0.0745121,0.0321577,0,0,0.0251734,0,0,0.0495706,0.0461791,0.0369455,0.0326281,0.0169477,0.0425041,0.0421725,0.0346164,0.0591827,0.0519538,0.0217631,0.0647795,0.0388009,0.102091,0.0227176,0.0241841,0.0286841,0.0226639,0.0217733,0.0445198,0,0,0,0
18,0.031681,0,0,0,0,0.0431295,0,0,0,0,0,0,0.0310281,0,0.0133682,0.0722476,0,0,0.0183877,0,0,0.0261391,0.0695567,0.016526,0.0116132,0.0224208,0.0324566,0.0345694,0.0580938,0.0398396,0.011352,0.0128003,0.0242708,0.0258155,0.0135129,0.0142396,0.0207346,0.0560145,0,0.0180162,0.0738926,0.0329715,0,0,0.0246512,0,0,0.0494997,0.0461787,0.03682,0.0324688,0.0168906,0.0422848,0.0414544,0.0350967,0.0591837,0.0517303,0.0217923,0.0651221,0.0389312,0.101978,0.0226891,0.0244535,0.02862,0.0232057,0.0209366,0,0,0,0,0
19,0.0306565,0,0,0,0,0.0430089,0,0,0,0,0,0,0.0262482,0,0.0146997,0.0705528,0,0,0.0189438,0,0,0.0263352,0.0714212,0.0177393,0.0102727,0.02109,0.031914,0.034986,0.0556479,0.039015,0.0119889,0.0148455,0.0252064,0.0266212,0.0190055,0.0143206,0.02086,0.056621,0,0.0178863,0.0746561,0.0323597,0,0,0.0250366,0,0,0.049656,0.0460968,0.0367924,0.0326703,0.0171578,0.0424657,0.0421398,0.0348762,0.0592346,0.0518337,0.0216998,0.0648287,0.0388624,0.102037,0.0232075,0.0250062,0.0287333,0.022727,0.0217509,0.0445234,0,0,0,0
20,0.0316824,0,0,0,0,0.0432105,0,0,0,0,0,0,0.0315162,0,0.0134782,0.0720885,0,0,0.0184688,0,0,0.0262716,0.0697412,0.0164472,0.0115882,0.0224428,0.0327112,0.0346617,0.0579352,0.0398932,0.0113861,0.0127807,0.0242286,0.0257845,0.0131137,0.0143736,0.0207625,0.054504,0,0.0180801,0.0738869,0.0330419,0,0,0.0244824,0,0,0.0495925,0.046937,0.0350291,0.0320349,0,0.042007,0.0414698,0.036085,0.0579622,0.0494377,0.0210138,0.0638878,0.0401227,0.104402,0.0208843,0.0249212,0.0286404,0.0231597,0.0210841,0,0,0,0,0
21,0.0307465,0,0,0,0,0.0430146,0,0,0,0,0,0,0.0266847,0,0.0147342,0.0705496,0,0,0.0188603,0,0,0.0264391,0.0714928,0.0177069,0.0102631,0.0212442,0.0319796,0.0349961,0.0556006,0.0391764,0.0120433,0.0149029,0.0252235,0.0266296,0.0184701,0.0143158,0.0209231,0.0565499,0,0.0181033,0.0747467,0.0324696,0,0,0.0250132,0,0,0.049721,0.0462002,0.0367774,0.0327208,0.017213,0.0424849,0.0422711,0.0349074,0.059046,0.0516574,0.0217847,0.0650798,0.0390531,0.102138,0.0228507,0.0252451,0.0287192,0.0227995,0.0217555,0.0444485,0,0,0,0
22,0.0307543,0,0,0,0,0.0429669,0,0,0,0,0,0,0.0268034,0,0.01473,0.0705978,0,0,0.0188538,0,0,0.0264222,0.0715006,0.0177027,0.0103052,0.0213121,0.0319858,0.0350076,0.0555712,0.0391596,0.012108,0.0149755,0.0252588,0.0266229,0.0183008,0.0143003,0.0209064,0.0572716,0,0.0179909,0.0746206,0.0324576,0,0,0.0250427,0,0,0.0497208,0.0462121,0.036894,0.0326472,0.0169812,0.0424342,0.0422779,0.0349343,0.0590972,0.0516876,0.0219545,0.0653163,0.0391104,0.102025,0.0234442,0.0253896,0.0287374,0.0228539,0.0218028,0.0443951,0,0,0,0
