Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,RILC,LASI
9,0,0,0,0,0,0,0.0316654,0.0663879,0,0,0,0.166301,0.0146177,0.0218176,0,0,0.0174123,0,0.0342367,0.00659498,0.0215877,0.20839,0.0268777,0.00808718,0.176455,0.0376617,0.0277918,0.026849,0.0267151,0.022151,0.0086599,0.0107354,0.0091527,0.0183541,0.130767,0.0256045,0.0206495,0.00455116,0.0176571,0.0079867,0.0284783,0,0.0452556,0,0,0.0342769,0,0.00836665,0.0170632,0.0642021,0.0445398,0.0169207,0.177255,0.0264037,0.0288554,0.0394355,0.0232651,0.0317249,0.0193624,0.00376347,0.0213358,0.0227925,0.0166316,0.0336038,0.0115936,0.0125071,0.0884433,0.0537586,0,0,0,0,0
10,0,0,0,0,0,0,0.0312207,0.0666587,0,0,0,0.165813,0.0146817,0.0212051,0,0,0.0176901,0,0.0341769,0.00660026,0.0214086,0.209113,0.0275415,0.00827078,0.176467,0.0381654,0.0278519,0.0266489,0.0268577,0.0219499,0.00847312,0.010102,0.0090239,0.0180245,0.129291,0.0259142,0.0206451,0.00468611,0.0163808,0.00796276,0.0280443,0,0.0449223,0,0,0.0344751,0,0.00834584,0.0172025,0.0640374,0.04403,0.0167371,0.176548,0.0264708,0.0292518,0.0396474,0.0231762,0.0323939,0.0194955,0.00423777,0.0213247,0.0229254,0.0179068,0.0336441,0.0115688,0.0125115,0.0888635,0.0531512,0,0,0,0,0
11,0,0,0,0,0,0,0.0308647,0.0664516,0,0,0,0.165736,0.0147502,0.0210611,0,0,0.0177271,0,0.0340813,0.00643962,0.0210435,0.209568,0.0280516,0.00828179,0.176478,0.0383036,0.0279735,0.0266737,0.026988,0.0216874,0.00827138,0.00981162,0.00897042,0.0176889,0.128497,0.0258956,0.0206183,0.004218,0.0129832,0.00802345,0.0372579,0,0.0446569,0,0,0.0344453,0,0.00837423,0.0172287,0.0640331,0.0524808,0.0163234,0.175208,0.0263542,0.0273346,0.0386052,0.0201779,0.0297268,0.0240291,0,0.0269174,0.0280998,0.0210892,0.0334409,0.0115698,0.0124987,0.0884908,0.052723,0,0,0,0,0
12,0,0,0,0,0,0,0.0304961,0.0667768,0,0,0,0.165537,0.0147496,0.0206829,0,0,0.018044,0,0.0341248,0.00648148,0.020856,0.210413,0.0284308,0.00791153,0.176425,0.0388708,0.0280606,0.0267828,0.0270514,0.021398,0.00802175,0.00946704,0.00885711,0.0173041,0.127574,0.026173,0.0206381,0.00424373,0.0134027,0.00802367,0.0275006,0,0.0444133,0,0,0.0346861,0,0.00839674,0.0174259,0.0637314,0.0426037,0.0157206,0.174814,0.0265385,0.0296454,0.039829,0.0223931,0.0328856,0.0202896,0.00544314,0.0216506,0.0232405,0.0205932,0.0335736,0.0117138,0.0125306,0.0882329,0.0524566,0,0,0,0,0
13,0,0,0,0,0,0,0.0305222,0.0659313,0,0,0,0.166055,0.0149419,0.0210927,0,0,0.0177457,0,0.0339591,0.00616274,0.0208414,0.210443,0.0284606,0.00734601,0.176865,0.0385835,0.0280834,0.0268043,0.0271088,0.021215,0.00772258,0.00957257,0.00885673,0.017175,0.127856,0.0259236,0.0205492,0.00445775,0.0123635,0.00804716,0.0391671,0,0.0447973,0,0,0.0338999,0,0.00832679,0.0170704,0.0640034,0.0533296,0.0167587,0.174223,0.0260999,0.0271693,0.0381812,0.0184552,0.0290693,0.026429,0,0.0293507,0.0301038,0.0248201,0.0329436,0.011611,0.0123135,0.0871074,0.0527869,0,0,0,0,0
14,0,0,0,0,0,0,0.0307778,0.0658662,0,0,0,0.166372,0.0151392,0.0211912,0,0,0.0177173,0,0.0338135,0.00607118,0.0210235,0.210316,0.0284231,0.00688367,0.177233,0.0388645,0.0280697,0.0266777,0.0269637,0.0209717,0.00739441,0.00954188,0.0087638,0.0169833,0.127845,0.0261376,0.0204849,0.00408319,0.0124781,0.00826819,0.0274148,0,0.0452501,0,0,0.0336775,0,0.00811875,0.0171561,0.063865,0.0417459,0.0151678,0.175185,0.0261903,0.0301022,0.0398515,0.0210932,0.0327191,0.0218201,0.00710781,0.0229938,0.0245186,0.024141,0.0329018,0.0118768,0,0.0868878,0.0533564,0,0,0,0,0
15,0,0,0,0,0,0,0.0309353,0.0652815,0,0,0,0.166772,0.0153728,0.0215788,0,0,0.0175478,0,0.0336319,0.00599815,0.0210883,0.209929,0.0283129,0.00671474,0.177509,0.0387111,0.0280718,0.0264728,0.0269627,0.0208753,0.0071972,0.00959822,0.00877052,0.016857,0.12824,0.0262078,0.0204143,0.00403495,0.0132688,0.00818501,0.0274076,0,0.0456733,0,0,0.0326361,0,0.00826381,0.0163583,0.0639828,0.0418009,0.0150263,0.175369,0.0257677,0.0302452,0.0397308,0.0201947,0.0323708,0.0226156,0.00802426,0.0235785,0.0252061,0.0259456,0.0321581,0.0113062,0.0120829,0.0864347,0.0540157,0,0,0,0,0
16,0,0,0,0,0,0,0.0313915,0.0647922,0,0,0,0.167149,0.0154033,0.0219341,0,0,0.0170911,0,0.0332707,0.00567856,0.0211931,0.209333,0.0281947,0.00670071,0.177714,0.0384466,0.0279684,0.0263708,0.0270752,0.0207685,0.00702177,0.00960687,0.00862891,0.016681,0.128734,0.0258821,0.0202192,0.00380912,0.0142302,0.0085026,0.0274411,0,0.0461317,0,0,0.0320204,0,0.00813602,0.0162777,0.0641792,0.0423174,0.015223,0.175576,0.0256835,0.0302498,0.0394789,0.0192394,0.0317997,0.023252,0.00899725,0.0240664,0.0258921,0.0276204,0.0317853,0.011474,0,0.0860101,0.0548076,0,0,0,0,0
17,0,0,0,0,0,0,0.0314753,0.0641723,0,0,0,0.167641,0.0154659,0.0223239,0,0,0.0167621,0,0.0329838,0.00553002,0.0213001,0.20866,0.0281687,0.00646355,0.17784,0.0382036,0.027952,0.0263865,0.0272592,0.0206424,0.00693227,0.00958675,0.00847724,0.0165608,0.129145,0.0256234,0.0201005,0.00338863,0.0157039,0.00851742,0.0278691,0,0.0464447,0,0,0.0309285,0,0.00832512,0.0157271,0.0644534,0.0431544,0.0156601,0.175742,0.0253351,0.0300362,0.0390352,0.0180639,0.0309514,0.0237042,0.00992351,0.0249285,0.0266736,0.0295513,0.0310025,0.0110252,0.0120411,0.0854302,0.0554553,0,0,0,0,0
18,0,0,0,0,0,0,0.0320948,0,0,0,0,0.167789,0.0155746,0.0222638,0,0,0.0157734,0,0.0325407,0.00453279,0.0214726,0.208551,0.0282052,0.00614531,0.177993,0.037973,0.0278901,0.0262426,0.02719,0.0203449,0.00652012,0.00943266,0.00830318,0.0162607,0.128678,0.025099,0.0198186,0,0.0171919,0.00843928,0.02863,0,0.0466256,0,0,0.0310382,0,0.00832135,0.015982,0.0647207,0.0440604,0.0159701,0.176209,0.0266778,0.0294676,0.038432,0.016745,0.0297098,0.0239573,0.0105933,0.0251843,0.0272818,0.0314556,0.0316319,0.0112345,0.0121499,0.0858673,0.0559919,0,0,0,0,0
19,0,0,0,0,0,0,0.0315185,0.0632047,0,0,0,0.168131,0.0155856,0.0223146,0,0,0.0164653,0,0.0326735,0.00503188,0.0215595,0.208316,0.0281742,0.00616171,0.177949,0.0379067,0.0282625,0.0263923,0.027484,0.0206025,0.0063646,0.00942501,0.00823558,0.0161949,0.128227,0.0253077,0.0199198,0.00342339,0.0188094,0.00865714,0.0297039,0,0.0467336,0,0,0.0298399,0,0.00829534,0.01514,0.0650633,0.0457146,0.0169711,0.176073,0.0248874,0.0290226,0.0378663,0.0154936,0.0283591,0.0242665,0.0113338,0.0251106,0.0280125,0.0344966,0.0301083,0.0106731,0.0117081,0.0845217,0.0563326,0,0,0,0,0
20,0,0,0,0,0,0,0.0295368,0.064209,0,0,0,0.166854,0.0153199,0.0210827,0,0,0.0177909,0,0.0331323,0.0060892,0.0201196,0.209689,0.0288976,0.00692174,0.173198,0.0401541,0.0293836,0.0269724,0.0281451,0.02086,0.00634132,0.00807779,0.00821845,0.015677,0.125125,0.0266474,0.0201415,0.00392159,0.0212238,0.00844176,0.029656,0.125923,0.0440822,0,0,0.0313325,0,0.00838156,0.0160293,0.0643932,0.0459229,0.0160954,0.171361,0.0258102,0.0272778,0.0369231,0.0139274,0.0261559,0.0236593,0.0118143,0.0238954,0.0275851,0.0371186,0.0313083,0.0110219,0.0117562,0.0846029,0.0539434,0,0,0,0,0
21,0,0,0,0,0,0,0.0291816,0.0641227,0,0,0,0.166415,0.0153598,0.0206101,0,0,0.0177403,0,0.0331264,0.00615521,0.0199385,0.210153,0.0291347,0.00707485,0.172366,0.0406533,0.0296161,0.0270149,0.0282203,0.0208498,0.00610763,0.00741204,0.00801001,0.0153235,0.123685,0.026702,0.0201404,0.00420955,0.0234981,0.00842238,0.0304895,0.125375,0.043684,0,0,0.0313823,0,0.00844315,0.0160397,0.064541,0.0467773,0.0169744,0.170343,0.0258349,0.0262043,0.0360661,0.0125071,0.0242187,0.0234771,0.0129102,0.0228378,0.0276233,0.0406037,0.0312673,0.0108722,0.0117542,0.084343,0.0537255,0,0,0,0,0
22,0,0,0,0,0,0,0.0291097,0.0640926,0,0,0,0.16608,0.0153634,0.0201344,0,0,0.017456,0,0.033152,0.00617179,0.0199117,0.21046,0.0293812,0.00725647,0.172001,0.0409955,0.0298217,0.0271005,0.0282904,0.0208726,0.00583781,0.00675274,0.00790005,0.0149676,0.122562,0.0266926,0.0201157,0.00399498,0.0256606,0.00873911,0.0313254,0.124549,0.0434699,0,0,0.0313889,0,0.00828153,0.0161606,0.0646051,0.0472436,0.0180871,0.169701,0.0259761,0.0249053,0.034993,0.0108864,0.0220093,0.0228494,0.014254,0.0214623,0.0272982,0.0438609,0.0312982,0.01119,0,0.0841771,0.053564,0,0,0,0,0
23,0,0,0,0,0,0,0.0309252,0.06288,0,0,0,0.168318,0.0154974,0.0215491,0,0,0.0163957,0,0.0327202,0.00546834,0.0226842,0.20792,0.0282458,0.00674934,0.175108,0.0400296,0.0289942,0.0270782,0.0282294,0.021776,0.00590118,0.00808799,0.00737986,0.0156446,0.125946,0.0259497,0.0198633,0.00426727,0.0278713,0.00867957,0.0327148,0.130271,0.0461122,0,0,0.028817,0,0.00840599,0.0146375,0.0649057,0.0481667,0.0194429,0.175781,0.0253776,0.02384,0.033838,0.00861187,0.0196498,0.022439,0.0159107,0.0202128,0.0270834,0.0471599,0.0298003,0.0102185,0.0114739,0.083532,0.0557518,0,0,0,0,0
24,0,0,0,0,0,0,0.0311837,0.0627514,0,0,0,0.168369,0.0154719,0.0215115,0,0,0.0161333,0,0.0324573,0.00534087,0.0230037,0.207794,0.0283097,0.00661925,0.175831,0.0401107,0.0290862,0.0272948,0.0283415,0.0219453,0.00571488,0.00809608,0.00712241,0.0155204,0.125648,0.0259353,0.0197517,0.00472233,0.0297702,0.0087008,0.0334615,0.130177,0.0464142,0,0,0.0283469,0,0.00837703,0.0143521,0.0649377,0.0473707,0.0201307,0.176459,0.0253636,0.0221924,0.0321777,0.00613627,0.0171469,0.0210928,0.0183694,0.0181781,0.0253583,0.0500211,0.0298057,0.0100261,0.0113431,0.083501,0.055815,0,0,0,0,0
25,0,0,0,0,0,0,0.0313257,0.0628067,0,0,0,0.16835,0.0154502,0.0213016,0,0,0.0160937,0,0.0324026,0.00527969,0.0233202,0.207738,0.0284141,0.00648875,0.176596,0.0402513,0.0291694,0.027557,0.0284199,0.022092,0.00538064,0.0080994,0.00681065,0.0153709,0.125236,0.0260325,0.0197077,0.00468752,0.0307446,0.00875699,0.0336042,0.129776,0.0466758,0,0,0.0280025,0,0.00839233,0.0141246,0.0649564,0.0459804,0.0197431,0.17714,0.0253928,0.0204429,0.030268,0.00386058,0.0148111,0.0193588,0.0214372,0.016199,0.0228214,0.0518017,0.0294907,0.00999204,0.0112154,0.0835917,0.0558102,0,0,0,0,0
26,0,0,0,0,0,0,0.031389,0.0631612,0,0,0,0.16835,0.0154899,0.0208637,0,0,0.0161731,0,0.0324064,0.00532447,0.0236617,0.20769,0.0284096,0.00624112,0.177186,0.0407718,0.0291858,0.0278258,0.028429,0.0221852,0.00504753,0.00808801,0.00658581,0.0151895,0.124804,0.0262897,0.0197005,0.00441545,0.030245,0.00907904,0.0330393,0.12916,0.0469011,0,0,0.0278005,0,0.00825688,0.0140808,0.065026,0.0437108,0.0181169,0.17783,0.0255554,0.0187321,0.0282802,0.00315575,0.0129631,0.0173803,0.0249109,0.0150338,0.0199701,0.0521585,0.0296507,0.0103992,0,0.0838677,0.0557751,0,0,0,0,0
27,0,0,0,0,0,0,0.031264,0.0635119,0,0,0,0.168131,0.0155058,0.020278,0,0,0.0163758,0,0.0323868,0.00552765,0.0240646,0.207739,0.0283065,0.00588433,0.17762,0.0414068,0.0291648,0.0280357,0.0284371,0.022229,0.00511133,0.00808183,0.00641839,0.0149738,0.124432,0.0266194,0.0197207,0.00396314,0.0279983,0.00888154,0.0318802,0.128488,0.0471018,0,0,0.0274373,0,0.00847982,0.0136866,0.0651288,0.0406944,0.015164,0.178688,0.0255324,0.0175868,0.0264045,0.00472936,0.0120207,0.0161266,0.0285227,0.0155347,0.0179364,0.0510744,0.0294445,0.00998314,0.0111604,0.0841606,0.0556952,0,0,0,0,0
28,0,0,0,0,0,0,0.0313375,0.0638376,0,0,0,0.167388,0.0155137,0.0192262,0,0,0.0164975,0,0.0322207,0.00563487,0.0242467,0.208225,0.0283683,0.00558792,0.178251,0.0416749,0.0292069,0.0281998,0.0284369,0.0222573,0.00509216,0.00767908,0.00623556,0.014619,0.123441,0.0268089,0.0196876,0.0035759,0.0236201,0.00891456,0.0299499,0.1274,0.0472932,0,0,0.0273572,0,0.00849032,0.0135704,0.0649676,0.0376584,0.0115064,0.179341,0.0255891,0.0171851,0.0249886,0.00685433,0.0122363,0.0169172,0.0319672,0.0178867,0.0184054,0.0483438,0.0293108,0.00989255,0.0109926,0.0845645,0.055641,0,0,0,0,0
29,0,0,0,0,0,0,0.0313682,0.0640534,0,0,0,0.166335,0.0155586,0.0179545,0,0,0.0167815,0,0.0320128,0.00566686,0.0239968,0.209071,0.0286612,0.00556251,0.178888,0.0417516,0.0294407,0.0283541,0.028536,0.0222311,0.00433699,0.0067792,0.00612342,0.0141369,0.121814,0.0269846,0.0196359,0.00382444,0.0181184,0.00892318,0.0280635,0.125963,0.047351,0,0,0.0273658,0,0.0085258,0.0134156,0.0644716,0.0358244,0.0107841,0.179141,0.0255454,0.0174605,0.0240358,0.00899391,0.0133737,0.0195299,0.0346267,0.0209795,0.0213298,0.0447586,0.0291599,0.00984112,0.0109235,0.0849935,0.0555931,0,0,0,0,0
30,0,0,0,0,0,0,0.031276,0.0642348,0,0,0,0.165512,0.0155549,0.0170186,0,0,0.0168485,0,0.0319371,0.00559126,0.0237741,0.209716,0.0287978,0.00553521,0.178962,0.0418808,0.0296377,0.0284739,0.0285847,0.0220812,0.00349417,0.0061464,0.00601705,0.0137743,0.12041,0.0271881,0.0196065,0.00391657,0.0131822,0.00892241,0.027119,0.124766,0.0473105,0,0,0.0274539,0,0.00853335,0.0132989,0.0639416,0.0352795,0.0139891,0.178618,0.025499,0.0183707,0.0231625,0.0109317,0.0151923,0.0222139,0.0363531,0.0235665,0.0244831,0.0420018,0.0290449,0.00977935,0.0108413,0.0851065,0.0555714,0,0,0,0,0
31,0,0,0,0,0,0,0.0309391,0.0643357,0,0,0,0.164632,0.0155227,0.0161295,0,0,0.0170476,0,0.0319049,0.00557361,0.0231361,0.210432,0.0292468,0.00558125,0.177898,0.042238,0.0301302,0.0287971,0.0288142,0.0219529,0.00303565,0.00553569,0.00595067,0.0133909,0.118898,0.0275307,0.0195974,0.0036017,0.0107563,0.00886928,0.0270545,0.122884,0.0469462,0,0,0.0276393,0,0.00849452,0.0133962,0.0633182,0.0350726,0.0165489,0.177089,0.0255184,0.0193121,0.0222875,0.012301,0.0168443,0.0236509,0.0373092,0.0249111,0.0260662,0.0412424,0.0290894,0.00978738,0.010845,0.0850004,0.0552113,0,0,0,0,0
32,0,0,0,0,0,0,0.0305634,0.064316,0,0,0,0.163847,0.0154949,0.0154952,0,0,0.0173307,0,0.0318866,0.00562899,0.0225743,0.21097,0.0297807,0.00540317,0.176507,0.0426937,0.030552,0.0291783,0.0289084,0.0217556,0.00262672,0.00539418,0.00595107,0.0130416,0.117611,0.0278856,0.0195898,0.00339353,0.0110359,0.00878326,0.02718,0.121396,0.0465316,0,0,0.027875,0,0.00842401,0.0135543,0.0629102,0.0343361,0.0160025,0.175672,0.0255975,0.0200221,0.0216082,0.0128697,0.0177841,0.0233071,0.037539,0.0248674,0.0254724,0.0422978,0.029299,0.00980119,0.0108495,0.0848193,0.054789,0,0,0,0,0
33,0,0,0,0,0,0,0.022961,0.0590958,0,0,0,0.159428,0.0155489,0.011454,0,0,0.0174301,0,0.0317255,0.00596865,0.019925,0.215108,0.0291093,0.00686644,0.159154,0.0408935,0.0313497,0.029865,0.0285537,0.0202186,0.00360991,0.00264301,0.00602725,0.0110027,0.11104,0.0272095,0.019487,0.00350429,0.019027,0.00821494,0.0318484,0.111954,0.0342176,0,0,0.0339751,0,0.00856307,0.0165622,0.060202,0.0392301,0.0125221,0.139509,0.0248681,0.0190586,0.0208498,0.0147706,0.0174,0.0245339,0.0400657,0.0258312,0.0262967,0.0472483,0.0320676,0.0109429,0.0117443,0.0759006,0.0438075,0,0,0,0.0402911,0
34,0,0,0,0,0,0,0.0228994,0.0589866,0,0,0,0.158743,0.0156194,0.0110392,0,0,0.0174641,0,0.0315607,0.00601695,0.0198439,0.215281,0.0291269,0.00660907,0.158793,0.0408989,0.0315091,0.0301493,0.0285291,0.0200156,0.00382216,0.00290749,0.00604068,0.0107604,0.109954,0.0273834,0.0194461,0.003538,0.0227739,0.00834487,0.032096,0.111281,0.0343668,0,0,0.0340442,0,0.00857385,0.0163661,0.0600505,0.0386003,0.0137277,0.139201,0.0245703,0.0186861,0.0207956,0.0147227,0.0176142,0.0223413,0.0381393,0.0233147,0.0232338,0.0499256,0.0320105,0.010638,0.0115275,0.0756355,0.0437542,0,0,0,0.0401657,0
35,0,0,0,0,0,0,0.0230563,0.0588365,0,0,0,0.157804,0.0156817,0.0107226,0,0,0.017599,0,0.0312957,0.00603592,0.0196189,0.215743,0.0290724,0.00647319,0.158668,0.0408599,0.0317349,0.0305161,0.0285562,0.0198308,0.00419411,0.0033813,0.00613963,0.0104533,0.10857,0.0275428,0.0193488,0.00348144,0.0275138,0.00841994,0.0328804,0.111103,0.0346402,0,0,0.033775,0,0.0085593,0.0161031,0.0597695,0.0399953,0.016997,0.139075,0.0243039,0.0184881,0.0212522,0.0142277,0.0175755,0.0204978,0.0354239,0.0204115,0.0207912,0.0528709,0.0318316,0.0104481,0.0114107,0.0753846,0.043753,0,0,0,0.0399993,0
36,0,0,0,0,0,0,0.0228965,0.0586253,0,0,0,0.156419,0.0156548,0.0103281,0,0,0.0177899,0,0.0312051,0.00600707,0.0194162,0.216629,0.0290419,0.0063799,0.157104,0.0409137,0.0317344,0.030669,0.0282804,0.0193769,0.00476106,0.00404319,0.00635699,0.00998157,0.10666,0.0276128,0.0192817,0.00340422,0.0328245,0.00841981,0.0344612,0.110079,0.0343238,0,0,0.0338063,0,0.00854618,0.0160714,0.0590138,0.0434099,0.0203217,0.137624,0.0243213,0.0186598,0.0223771,0.0131599,0.0172827,0.0200218,0.0328183,0.0180254,0.0201314,0.0563091,0.0318692,0.0103617,0.0113285,0.0750293,0.0431217,0,0,0,0.0394459,0.0756334
