Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,L5FT,RILC,LILC,LWRB,RASI
26,0,0,0,0,0,0,0.0112268,0.0268663,0,0,0,0.0194229,0.0142652,0,0,0.00961464,0,0.0255499,0.00383835,0.0430999,0.0646966,0.0162236,0.0323303,0.0216634,0.0137355,0.0140237,0.0104136,0.0207082,0.007701,0.0081053,0.00722111,0.0136881,0.116727,0.0139062,0.01681,0.0147681,0.0147652,0.0122515,0.0141119,0,0,0.0242822,0,0.0105356,0.0157587,0.0429229,0.0210634,0.0287266,0.0337812,0.0310249,0.0125912,0.0263874,0.0167953,0.0127051,0.0134491,0.0139024,0.00622841,0.0110291,0.0283224,0.00734837,0.0153681,0.00992498,0.0298446,0.0125686,0,0,0,0.107715,0.0433717,0.042714,0,0
27,0,0,0,0,0,0,0.0105519,0.0265902,0,0,0,0.0194701,0.0134334,0,0,0.00878819,0,0.0254934,0.00345822,0.0420191,0.0643851,0.0164387,0.031461,0.0218368,0.0166002,0.0173461,0.0117812,0.021181,0.00715704,0.00678921,0.00634521,0.0130712,0.116847,0.0134985,0.0167752,0.0141993,0.0147814,0.01202,0.0135731,0,0,0.0236906,0,0.0106067,0.0154017,0.0431962,0.0193155,0.0288357,0.0339624,0.0307039,0.0130537,0.0266078,0.0170932,0.0129177,0.0132023,0.0132569,0.00615925,0.0107117,0.0313771,0.00740672,0.0150402,0.00974945,0.0297495,0.0118886,0,0,0,0.107841,0.0434518,0.0423453,0,0
28,0,0,0,0,0,0,0.00989588,0.0264308,0,0,0,0.0194577,0.0130832,0,0,0.00813206,0,0.0255458,0.00324498,0.0408946,0.0641428,0.0169588,0.0308036,0.0219555,0.0191574,0.0202634,0.0129354,0.021639,0.00687753,0.00591808,0.00550755,0.0126016,0.116778,0.013213,0.0167736,0.0142103,0.0147989,0.0117265,0.0130904,0,0,0.0231928,0,0.0106538,0.0150706,0.0437015,0.0174134,0.0290003,0.0343642,0.0304311,0.0133539,0.0267601,0.0173618,0.0130982,0.0132953,0.0126533,0.0061416,0.0105367,0.0342125,0.00716328,0.0147753,0.00959734,0.0298668,0.0112846,0,0,0,0.107909,0.0437433,0.0420898,0,0
29,0,0,0,0,0,0,0.00929807,0.0263749,0,0,0,0.0194413,0.0129834,0,0,0.00758745,0,0.025593,0.00311231,0.0396438,0.0640677,0.0176254,0.0302216,0.0220467,0.0215664,0.0227206,0.0141101,0.0219913,0.00655323,0.0053688,0.00475863,0.0122671,0.116533,0.012835,0.0167476,0.0148247,0.0147999,0.0115276,0.0126684,0,0,0.0227059,0,0.0107001,0.0148551,0.0442884,0.015706,0.029196,0.0348835,0.0301628,0.0135981,0.0268133,0.0176139,0.0133178,0.0134763,0.0120492,0.00616601,0.0105038,0.0369643,0.00716335,0.0145496,0.00945437,0.0297255,0.0107563,0,0,0,0.107623,0.0442231,0.0418766,0.00123805,0
30,0,0,0,0,0,0,0.0087154,0.0262586,0,0,0,0.0193903,0.0132777,0,0,0.00729412,0,0.0255634,0.00304766,0.0382582,0.0638494,0.0183487,0.0296273,0.0218865,0.0241312,0.0252603,0.015284,0.0222628,0.00633132,0.00503966,0.00436115,0.0120328,0.116554,0.0124723,0.0167237,0.0157382,0.0148,0.0112968,0.0123045,0,0,0.0221994,0,0.0107439,0.0147095,0.0448141,0.014258,0.0292841,0.0354343,0.0299325,0.0137735,0.026926,0.0177161,0.013497,0.0136763,0.0115488,0.00625453,0.0106519,0.0395004,0.00721886,0.0143665,0.00933167,0.0297289,0.0102293,0,0,0,0.106937,0.0448124,0.0417511,0.00191655,0
31,0,0,0,0,0,0,0.00823689,0.0260282,0,0,0,0.0193689,0.0139046,0,0,0.00703935,0,0.0255269,0.00301539,0.0368784,0.0633931,0.0191429,0.0291221,0.0218853,0.0267815,0.0279039,0.0163838,0.0225232,0.00616381,0.00482654,0.00435756,0.0119246,0.116576,0.0121907,0.016702,0.0165914,0.0148061,0.0109228,0.0120378,0,0,0.0217442,0,0.0107736,0.0145304,0.0451726,0.0131504,0.0294124,0.0360722,0.0297938,0.0137853,0.0270199,0.0175695,0.0135198,0.0138215,0.0111703,0.00634645,0.010884,0.041751,0.00713109,0.0141392,0.00920951,0.0295941,0.00978155,0,0,0,0.106108,0.0454813,0.0416809,0.00195124,0
32,0,0,0,0,0,0,0.00795944,0.0257965,0,0,0,0.0193474,0.0148967,0,0,0.00677726,0,0.0255227,0.00298686,0.0356258,0.0625105,0.0200921,0.0287517,0.022212,0.0288915,0.030661,0.0175581,0.0227204,0.00628217,0.00514518,0.0044698,0.0119165,0.116417,0.0120262,0.0166969,0.0173892,0.0148206,0.0104966,0.0119382,0,0,0.021384,0,0.0108002,0.0143313,0.0454057,0.011977,0.0293662,0.0368026,0.0297789,0.0136192,0.0270166,0.0174353,0.0134202,0.0138874,0.0108634,0.00643108,0.0111398,0.043818,0.00694841,0.0138556,0.009084,0.0293399,0.00951281,0,0,0,0.105074,0.0461912,0.0415739,0.0013663,0
33,0,0,0,0,0,0,0.00771089,0.0258573,0,0,0,0.0193379,0.0160585,0,0,0.00660325,0,0.0255243,0.00297645,0.0345947,0.0612002,0.0212548,0.0284156,0.0226129,0.0306404,0.0334488,0.0187892,0.0228671,0.00699517,0.00582136,0.00454654,0.0120167,0.115876,0.0119466,0.0166716,0.0179602,0.0148534,0.0101038,0.0118969,0,0,0.0208921,0,0.010867,0.0140908,0.0455801,0.0108984,0.0290947,0.0374379,0.0298065,0.0133092,0.0269187,0.0173008,0.0132107,0.0139787,0.0105924,0.00656792,0.0113767,0.0456319,0.00685144,0.0136388,0.00899943,0.0292451,0.00925392,0,0,0,0.104401,0.0467932,0.0413415,0.00115764,0
34,0,0,0,0,0,0,0.00751327,0.0261586,0,0,0,0.0193501,0.0171918,0,0,0.00661217,0,0.025587,0.0029735,0.0338148,0.0595547,0.0225062,0.0281948,0.0227504,0.032393,0.0360409,0.0199425,0.0230015,0.00799939,0.00681161,0.00490848,0.0121533,0.115117,0.0120061,0.0166694,0.0184349,0.0148538,0.00976458,0.0119289,0,0,0.0205511,0,0.0109104,0.0139075,0.0455846,0.00993133,0.0287158,0.0379825,0.0298885,0.0129552,0.0268968,0.0170981,0.0129334,0.0139629,0.0103411,0.0067622,0.0115121,0.0470432,0.00675387,0.0134432,0.00886886,0.029113,0.00907521,0,0,0,0.104082,0.0472253,0.0411489,0.00142068,0
35,0,0,0,0,0,0,0.00742661,0.0264645,0,0,0,0.0193703,0.0177402,0,0,0.00662706,0,0.0256044,0.00302127,0.0332841,0.0577541,0.0236307,0.0281233,0.0226797,0.03388,0.0383546,0.0209965,0.0231339,0.00907949,0.00810989,0.00542684,0.012283,0.114239,0.0120756,0.0166649,0.0188214,0.0148902,0.00960138,0.011994,0,0,0.0202565,0,0.0109569,0.0137608,0.0455517,0.00927296,0.0283447,0.0384737,0.029938,0.01261,0.0268974,0.0168287,0.0126118,0.0140931,0.0100788,0.00691442,0.0114945,0.0481041,0.00673074,0.0133814,0.00874414,0.0292303,0.00902663,0,0,0,0.103725,0.0475223,0.0409859,0.00199812,0
36,0,0,0,0,0,0,0.0074316,0.0268386,0,0,0,0.0194247,0.0176413,0,0,0.00658336,0,0.0255831,0.00309458,0.0330467,0.056176,0.0244751,0.0280862,0.0228564,0.0349494,0.0401281,0.0218798,0.0232938,0.0101494,0.00946277,0.00605973,0.0124495,0.113864,0.012164,0.0166428,0.0190154,0.0149329,0.00949748,0.0120393,0,0,0.0200931,0,0.0110138,0.0136458,0.0456287,0.00893496,0.0281599,0.0388843,0.0300308,0.0123192,0.0269965,0.0165756,0.0123251,0.014187,0.00987934,0.00706036,0.0114895,0.0487624,0.00677285,0.0133192,0.00862883,0.0292899,0.00906768,0,0,0,0.103051,0.0476314,0.0406364,0,0
37,0,0,0,0,0,0,0.00748273,0.0270881,0,0,0,0.0194766,0.0171321,0,0,0.00649636,0,0.0255697,0.00311622,0.0330938,0.0550528,0.0249878,0.0280993,0.0229721,0.0356755,0.0413282,0.0226292,0.0234298,0.011283,0.010799,0.00660637,0.012658,0.114239,0.0123048,0.0165995,0.0189213,0.0150019,0.00946565,0.0120647,0,0,0.0200237,0,0.0110795,0.0135806,0.0457105,0.00886492,0.0280658,0.0392052,0.0301376,0.0120815,0.0271254,0.0163256,0.0120716,0.0137792,0.00967599,0.00718885,0.0114197,0.0490288,0.00679434,0.0133605,0.00863809,0.0295065,0.00916072,0,0,0,0.102301,0.0475886,0.0402003,0.00140755,0
38,0,0,0,0,0,0,0.00765634,0.0273099,0,0,0,0.0195504,0.0162818,0,0,0.00641179,0,0.025474,0.00314651,0.0332873,0.0544363,0.0253,0.0282621,0.0230345,0.0359179,0.0421979,0.023244,0.0234637,0.0120853,0.0120041,0.00697227,0.0128959,0.115103,0.0124132,0.0165408,0.0186876,0.0150049,0.00936402,0.012169,0,0,0.0201536,0,0.0111119,0.0135435,0.0457149,0.00898788,0.027976,0.0395155,0.0303692,0.0118804,0.0270858,0.0160741,0.0119376,0.013704,0.00938606,0.00749155,0.0114709,0.0490688,0.006808,0.0132137,0.00859685,0.029714,0.00937764,0,0,0,0.101724,0.0474835,0.0397775,0.00164317,0
39,0,0,0,0,0,0,0.0175192,0.0401974,0,0,0,0.0200489,0.0145317,0,0,0.012875,0,0.0238354,0.00587752,0.0369092,0.0623848,0.0202802,0.0448126,0.0291274,0.0297876,0.0307337,0.0183572,0.0255097,0.0104437,0.00789799,0.00926477,0.0169229,0.12401,0.0183435,0.0158647,0.0214877,0.0150816,0.0110828,0.0178821,0,0,0.025946,0,0.0107128,0.0158817,0.050043,0.0112721,0.0315076,0.0417798,0.0340451,0.015629,0.0283271,0.0184234,0.0161775,0.016505,0.00662956,0.0100046,0.014086,0.0531476,0.00850917,0.0149929,0.009382,0.0422779,0.0192524,0,0,0,0.0994827,0.0378881,0,0.00300216,0
