Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,L5FT,RILC,LILC,LWRB,RASI
50,0,0,0,0,0,0,0.0144936,0.0369738,0,0,0,0.0207196,0.0202438,0,0,0.012296,0,0.0238046,0.00537199,0.0406129,0.0700538,0.00974585,0.041978,0.0261883,0.0094288,0.0112403,0.00696919,0.0264958,0.0143914,0.0152164,0.0126318,0.0242153,0.139155,0.0174925,0.0157016,0.0269804,0.0154964,0.0166167,0.0154469,0,0,0.0275723,0,0.0112147,0.0165315,0.0483449,0.0229167,0.0272276,0.0365455,0.0330393,0.0138476,0.0259633,0.0151918,0.0132025,0.0157985,0.00594248,0.0122126,0.0138837,0.0611672,0.0072025,0.0146269,0.00944264,0.0421203,0.017005,0,0,0,0.0919447,0.0366448,0,0.00208955,0.0311883
51,0,0,0,0,0,0,0.0143648,0.0367153,0,0,0,0.020737,0.0208845,0,0,0.01239,0,0.0238129,0.00541919,0.0410388,0.0680558,0.0102674,0.0419407,0.025959,0.00904972,0.01264,0.00926811,0.0273063,0.0162725,0.0173164,0.0145805,0.0253225,0.138612,0.0175364,0.0156961,0.0284843,0.0155442,0.017696,0.0154023,0,0,0.0277842,0,0.0112435,0.0165619,0.0483002,0.0262897,0.0259854,0.0360061,0.0329686,0.0139453,0.0249785,0.014618,0.0129127,0.0148449,0.0075374,0.0122867,0.0132695,0.0620971,0.00718493,0.014662,0.00952006,0.041962,0.0169959,0,0,0,0.09249,0.0365986,0,0.00213798,0.03035
52,0,0,0,0,0,0,0.0142526,0.0365179,0,0,0,0.0208043,0.020883,0,0,0.0124434,0,0.0238383,0.0054233,0.0415567,0.0664839,0.0104296,0.0419599,0.0258684,0.00878105,0.0140024,0.011628,0.0279456,0.017805,0.0189894,0.0162461,0.0263772,0.138119,0.0175563,0.0156945,0.0306939,0.0155807,0.0197565,0.0152438,0,0,0.0280206,0,0.0112818,0.0165954,0.0482252,0.0299767,0.0248101,0.035454,0.0329124,0.0142268,0.0239008,0.0141773,0.0128569,0.0141373,0.00986413,0.0131056,0.0130058,0.0633133,0.00720597,0.0147027,0.00958042,0.0416166,0.0170078,0,0,0,0.0933492,0.0365801,0,0.00209265,0.0296832
53,0,0,0,0,0,0,0.0141291,0.0363668,0,0,0,0.0208957,0.0206252,0,0,0.0124843,0,0.0238694,0.00544005,0.0421005,0.0654258,0.0102497,0.0418893,0.0257383,0.00852692,0.0148796,0.0133025,0.0284544,0.0188248,0.0200424,0.0174539,0.0272665,0.138251,0.0175611,0.0156865,0.0333708,0.0156157,0.0225335,0.0149648,0,0,0.0281197,0,0.0113172,0.0166193,0.0480434,0.0338048,0.0237676,0.0349453,0.0328396,0.0145939,0.0227543,0.0138811,0.0129706,0.013925,0.0126222,0.0146398,0.0133416,0.0646936,0.00722327,0.0147631,0.00958501,0.0413896,0.0169859,0,0,0,0.0945911,0.0365732,0,0.00201984,0.0290332
54,0,0,0,0,0,0,0.0139381,0.0362778,0,0,0,0.0209289,0.0201142,0,0,0.0125139,0,0.023842,0.00543407,0.0425554,0.0650069,0.00991059,0.0416678,0.0255338,0.00816292,0.015095,0.0139962,0.028911,0.0192719,0.0204179,0.0180807,0.0280015,0.139379,0.0175487,0.0156763,0.0365587,0.0156696,0.0260053,0.014652,0,0,0.0281052,0,0.011347,0.0165876,0.0478595,0.0379682,0.0230146,0.0345022,0.0327086,0.0151483,0.0216008,0.0138269,0.0132724,0.0144385,0.0158379,0.0168622,0.0144557,0.0662836,0.00716621,0.0148903,0.0096146,0.0412679,0.0169199,0,0,0,0.0954851,0.0365723,0,0.00199646,0.0284851
55,0,0,0,0,0,0,0.0136703,0.0361613,0,0,0,0.0209591,0.019595,0,0,0.0125292,0,0.0238074,0.00541431,0.0428289,0.06587,0.00982739,0.0412455,0.0253267,0.00756938,0.0145696,0.0134911,0.0294045,0.0192152,0.0201598,0.0181325,0.028517,0.141532,0.0174835,0.0156576,0.0405787,0.0157256,0.0302872,0.0143406,0,0,0.0279924,0,0.0113655,0.0165679,0.0477492,0.0425707,0.0226686,0.0341904,0.0324859,0.0159112,0.0203525,0.0141113,0.0139148,0.0158161,0.0194582,0.0198481,0.0163937,0.0683343,0.00706148,0.0150556,0.00967673,0.0411291,0.0167616,0,0,0,0.0956572,0.0366298,0,0.00198902,0.0281529
56,0,0,0,0,0,0,0.0133655,0.0358857,0,0,0,0.0210039,0.0193529,0,0,0.0125103,0,0.0238073,0.00536888,0.0429116,0.0680543,0.00988554,0.0405721,0.0250699,0.00659419,0.0132663,0.0119671,0.0297912,0.0186813,0.0194141,0.0176168,0.0286195,0.144315,0.0173621,0.015638,0.0453414,0.0157018,0.0352553,0.0140187,0,0,0.0280074,0,0.0113764,0.0165597,0.0476633,0.0476609,0.0228006,0.0340146,0.0321936,0.0168674,0.0190566,0.0148071,0.0149105,0.0179768,0.0234011,0.0234071,0.0189899,0.070928,0.00693299,0.0148538,0.00965883,0.040926,0.0165295,0,0,0,0.0949482,0.036803,0,0.00205748,0.0279782
57,0,0,0,0,0,0,0.0130603,0.035522,0,0,0,0.0210149,0.0192227,0,0,0.0124478,0,0.0238606,0.00534329,0.0428707,0.0711252,0.00993638,0.0397534,0.0247269,0.00541067,0.0114171,0.0100437,0.0297679,0.0176711,0.0182516,0.0166417,0.0284433,0.146874,0.0172642,0.015628,0.0510016,0.0156917,0.0408593,0.01363,0,0,0.0279416,0,0.0113891,0.0165158,0.0475663,0.0534601,0.0235314,0.0340212,0.0318005,0.0180795,0.017785,0.0158952,0.0162877,0.0209082,0.0278064,0.0276069,0.0222881,0.0741542,0.00675063,0.0146407,0.00961606,0.0406241,0.0163025,0,0,0,0.0935639,0.037123,0,0.00205283,0.0276116
58,0,0,0,0,0,0,0.00608773,0.0312379,0,0,0,0.0223796,0.0177328,0,0,0.0132951,0,0.0202433,0.0070121,0.044376,0.076448,0.0108021,0.0346222,0.0178852,0.00331238,0.00756076,0.00650585,0.0292514,0.0154601,0.0156023,0.014667,0.0284628,0.148821,0.0141486,0.0185995,0.0283168,0.016312,0.0184425,0.00837184,0,0,0.0275288,0,0.00930497,0.0150431,0.0439461,0.0342748,0.0228296,0.0304431,0.0305049,0.0108091,0.0257345,0.0125025,0.0108114,0.0180948,0.00598495,0.0157247,0.0175187,0.0645956,0.00835658,0.0142638,0.00785557,0.0369444,0.0102292,0,0,0,0.0928877,0.0396179,0,0.00401067,0.0236608
59,0,0,0,0,0,0,0.00491603,0.0298242,0,0,0,0.0223548,0.0170717,0,0,0.0130581,0,0.0202407,0.00695203,0.0443093,0.0824469,0.0121617,0.0326574,0.0170333,0.00341167,0.00430882,0.00407537,0.0286802,0.0140298,0.0140796,0.0134057,0.0287278,0.150393,0.0136533,0.0186707,0.0285588,0.0162905,0.0190372,0.0072899,0,0,0.0275622,0,0.00924626,0.0152481,0.0436215,0.0352948,0.0223628,0.0299319,0.0297871,0.0106256,0.0257591,0.0122809,0.0108561,0.0185491,0.00621782,0.0163086,0.0179126,0.0647868,0.00804229,0.0143683,0.00790488,0.0354588,0.00935651,0,0,0,0.0902305,0.0400515,0,0.00406985,0.0224027
60,0,0,0,0,0,0,0.00373548,0.0285414,0,0,0,0.0224257,0.0175385,0,0,0.0130469,0,0.0201233,0.00720511,0.0444469,0.0886537,0.0135461,0.0310218,0.0159974,0.0051797,0.0034181,0.00370825,0.0283021,0.0126627,0.0133288,0.0120911,0.0287241,0.153032,0.0132185,0.018876,0.0289227,0.0164906,0.0196901,0.00632543,0,0,0.0275084,0,0.00901666,0.0154563,0.0432739,0.0367577,0.0217605,0.0298422,0.0291948,0.0103454,0.0259439,0.0120595,0.0109435,0.0190517,0.00663254,0.0169682,0.0184925,0.0650856,0.00796149,0.0146336,0.00793374,0.0340097,0.0084607,0,0,0,0.0863023,0.0408378,0,0.00420556,0.0212619
61,0,0,0,0,0,0,0.00269623,0.0273281,0,0,0,0.0224584,0.0201973,0,0,0.013058,0,0.0200087,0.0074316,0.0446891,0.0930635,0.0137772,0.0295493,0.0150658,0.00737137,0.00600286,0.00589584,0.0280839,0.0118887,0.0137634,0.0112558,0.0286191,0.156021,0.0129024,0.0191074,0.0294167,0.0167156,0.0204028,0.00559269,0,0,0.0275323,0,0.00880741,0.0156118,0.0429868,0.0383082,0.0211348,0.0297449,0.0287602,0.010112,0.0262329,0.0118891,0.0110436,0.0195845,0.00709033,0.0176401,0.0191694,0.0655262,0.00796356,0.0149677,0.00803273,0.0326206,0.00753429,0,0,0,0.0824273,0.0416934,0,0.00429835,0.0202082
62,0,0,0,0,0,0,0.00556873,0.0234897,0,0,0,0.0205492,0.023077,0,0,0.00606169,0,0.0251515,0.00287136,0.0381323,0.0711017,0.0116372,0.0249067,0.0201283,0.0119727,0.0154384,0.00942963,0.0297911,0.0141594,0.0151467,0.0133152,0.025953,0.14585,0.0121557,0.0161764,0.0385985,0.0157233,0.0264979,0.009718,0,0,0.0235718,0,0.0116343,0.0147877,0.0435246,0.0385651,0.0198201,0.0363656,0.0293342,0.0116851,0.0213574,0.00968758,0.0117713,0.0170283,0.0133802,0.0181419,0.0155496,0.0702087,0.00488571,0.0134607,0.00914978,0.0279944,0.00823299,0,0,0,0.0888112,0.0493328,0.0421,0.00164616,0.0145463
63,0,0,0,0,0,0,0.00561136,0.0232421,0,0,0,0.0204902,0.0250421,0,0,0.00582988,0,0.0251788,0.00278869,0.0380472,0.0698993,0.00799626,0.0250606,0.020161,0.012139,0.015484,0.0104195,0.0290509,0.014629,0.0162652,0.0132068,0.0255887,0.144315,0.0121006,0.0161727,0.0441985,0.0157071,0.0312425,0.0096195,0,0,0.0238342,0,0.011585,0.0147567,0.0440095,0.0429306,0.019646,0.0364312,0.0293293,0.0129708,0.0201676,0.00984537,0.0129258,0.0181966,0.0173182,0.0209776,0.0169437,0.0734095,0.0047166,0.0136209,0.00922538,0.0278538,0.00823096,0,0,0,0.0890598,0.049674,0.0409517,0.00167038,0.0142177
64,0,0,0,0,0,0,0.00561534,0.0231176,0,0,0,0.0204394,0.0251447,0,0,0.00569792,0,0.0251727,0.00277589,0.0376471,0.0671225,0.00578119,0.024793,0.0201819,0.0116499,0.0143586,0.0100467,0.0287348,0.014696,0.0167383,0.0133476,0.0253019,0.139617,0.0121871,0.0161842,0.0482323,0.0156462,0.0347696,0.00957162,0,0,0.0240428,0,0.0115501,0.0150293,0.044509,0.0462225,0.0197236,0.0364152,0.029469,0.0138889,0.0194405,0.0101662,0.0137902,0.0195607,0.0198588,0.0232483,0.0184146,0.0761101,0.00477712,0.0135842,0.00926685,0.0280292,0.00821849,0,0,0,0.0906823,0.0500631,0.0399361,0.00180761,0.0137131
65,0,0,0,0,0,0,0.0056682,0.0228742,0,0,0,0.020376,0.0243883,0,0,0.00563645,0,0.0252828,0.00275635,0.037122,0.0631724,0.00612473,0.0244269,0.0200553,0.0109077,0.0124821,0.009413,0.0293826,0.0146046,0.016594,0.0138746,0.0254438,0.134619,0.0122456,0.0162414,0.0485143,0.0156351,0.0352088,0.00976182,0,0,0.023745,0,0.0115529,0.0150533,0.0446691,0.046021,0.0192943,0.0362849,0.0295448,0.0139436,0.0196071,0.0102134,0.013904,0.0200523,0.0194403,0.0235229,0.0186506,0.0765897,0.00492556,0.0135633,0.00930705,0.0280734,0.00822352,0,0,0,0.0933025,0.0505786,0.0403176,0.00199805,0.0133698
66,0,0,0,0,0,0,0.00582102,0.0227811,0,0,0,0.0203079,0.0234376,0,0,0.00564059,0,0.0254297,0.00281547,0.0367294,0.0601544,0.00660631,0.0231384,0.0200874,0.00953337,0.0102781,0.00957552,0.030497,0.0144429,0.0162173,0.0143236,0.0255793,0.132898,0.0122995,0.0162986,0.0468976,0.0156497,0.033994,0.00988811,0,0,0.0232629,0,0.0115516,0.0149051,0.0449019,0.0437511,0.0184986,0.0357561,0.0294315,0.0136688,0.0202411,0.0103669,0.0137037,0.0203041,0.0174028,0.0228495,0.0184341,0.0759404,0.00506297,0.0136774,0.00937043,0.0281404,0.00829953,0,0,0,0.0958711,0.0508884,0.0395377,0.00221165,0.0125374
67,0,0,0,0,0,0,0.00615388,0.022723,0,0,0,0.0202172,0.0227636,0,0,0.00566495,0,0.0255483,0.00286096,0.0366542,0.0576992,0.00775006,0.0218851,0.0199301,0.00804206,0.00951365,0.0103805,0.0314715,0.0148608,0.0167471,0.0150761,0.0256343,0.132297,0.0123617,0.0163514,0.0412876,0.0155991,0.0295013,0.0102624,0,0,0.0229735,0,0.0115345,0.0146862,0.0449819,0.0382402,0.0172924,0.0351448,0.0293516,0.0126602,0.0217559,0.0107665,0.013208,0.0203818,0.0125278,0.0206779,0.0177075,0.0728473,0.00531103,0.0135172,0.00933443,0.028124,0.00853278,0,0,0,0.0984698,0.0511665,0.0392807,0.0015532,0.0113019
68,0,0,0,0,0,0,0.00658948,0.0227368,0,0,0,0.0201133,0.0221368,0,0,0.00570672,0,0.0256329,0.00287914,0.0370771,0.05586,0.0101065,0.0207594,0.0197515,0.00710871,0.00984519,0.010511,0.0314718,0.0154933,0.0177997,0.015783,0.0254395,0.131568,0.012418,0.0164171,0.0331672,0.0155858,0.0239947,0.0109154,0,0,0.0226161,0,0.0114906,0.0143962,0.0449264,0.0315193,0.0167299,0.034616,0.0292537,0.0113754,0.0241061,0.012159,0.0132332,0.0214671,0.00690569,0.0191535,0.0182031,0.0684922,0.00555144,0.0135233,0.00931416,0.0280146,0.00887699,0,0,0,0.101051,0.051331,0.0390835,0.0015131,0
69,0,0,0,0,0,0,0.00624148,0.0278249,0,0,0,0.0219491,0.0205938,0,0,0.00832941,0,0.0209592,0.00525006,0.0451099,0.0698671,0.0109051,0.0260626,0.0209004,0.00347498,0.00391534,0.00824219,0.0276545,0.0137774,0.0149658,0.0138852,0.0261478,0.139433,0.0128026,0.0189981,0.0322337,0.0162093,0.0245547,0.00834995,0,0,0.0239205,0,0.009411,0.0135768,0.0447147,0.0314745,0.0157112,0.0304251,0.0295428,0.0117021,0.026867,0.0140621,0.0144637,0.0231015,0.00714429,0.0207078,0.0200081,0.0645036,0.00708682,0.0131211,0.00786191,0.0343578,0.00981552,0,0,0,0.0976096,0.0461117,0,0.00507953,0
70,0,0,0,0,0,0,0.00760261,0.0290011,0,0,0,0.0216499,0.0211139,0,0,0.00947876,0,0.0209749,0.00544178,0.0446426,0.0727647,0.0102219,0.0295752,0.0208019,0.00468478,0.00479809,0.0085411,0.0259243,0.0135832,0.0149531,0.0135161,0.0259368,0.14313,0.013385,0.018996,0.0330064,0.0159146,0.0247789,0.00927643,0,0,0.0244076,0,0.00963006,0.0137065,0.0458916,0.0284191,0.0151211,0.0306196,0.0293504,0.0126292,0.0275682,0.0152871,0.0156952,0.0232448,0.00710558,0.020875,0.0198307,0.062936,0.00740479,0.0135626,0.00792883,0.035127,0.0109183,0,0,0,0.097607,0.0441261,0,0.00492581,0
71,0,0,0,0,0,0,0.0136135,0.0327919,0,0,0,0.0202652,0.0211086,0,0,0.0106758,0,0.0247169,0.00511156,0.0425872,0.0714841,0.00827842,0.0353105,0.026284,0.00652405,0.00589026,0.00939751,0.025317,0.0132157,0.0146898,0.0122265,0.0243647,0.144264,0.0172651,0.01604,0.057232,0.0155838,0.0410062,0.0128558,0,0,0.0252008,0,0.0113126,0.0155136,0.0488835,0.0410171,0.0153163,0.0342219,0.0294503,0.0173431,0.0215812,0.0149878,0.0171425,0.0242474,0.0205483,0.027665,0.0213165,0.0741645,0.00622261,0.01438,0.00968567,0.0378048,0.0163195,0,0,0,0.0979824,0.0418286,0,0.00226531,0
72,0,0,0,0,0,0,0.0142043,0.0336671,0,0,0,0.0201843,0.0203604,0,0,0.0115644,0,0.0246106,0.00541432,0.0416155,0.0691615,0.00752215,0.0373269,0.0263827,0.00750311,0.00612946,0.00953364,0.0251373,0.0124127,0.013711,0.0110286,0.0234747,0.144793,0.0174589,0.0160509,0.0464783,0.0156497,0.0335068,0.013601,0,0,0.0252269,0,0.0112547,0.0153537,0.0493519,0.0304515,0.0125267,0.0350438,0.0295817,0.0161052,0.0244786,0.0158834,0.0174156,0.021815,0.0140264,0.0232031,0.0182986,0.0656352,0.00655005,0.0147464,0.00975741,0.0378668,0.0170043,0,0,0,0.0992189,0.0413055,0,0.00249822,0.0214421
73,0,0,0,0,0,0,0.0147717,0.0345442,0,0,0,0.0200373,0.0199045,0,0,0.0127515,0,0.0244401,0.00584218,0.0412726,0.066236,0.00819691,0.0393684,0.0263948,0.00769199,0.00598254,0.00996421,0.0253295,0.0116246,0.0127938,0.00971769,0.0222969,0.144694,0.0178391,0.0160042,0.0278349,0.0157087,0.0262786,0.0144237,0,0,0.0252675,0,0.0112108,0.015204,0.0497638,0.0203813,0.0122382,0.0357524,0.0298647,0.0154292,0.0279373,0.0178748,0.0187738,0.0203213,0.00741371,0.0196265,0.0168395,0.0545869,0.00681201,0.0150201,0.00974919,0.0379813,0.01763,0,0,0,0.0998426,0.0409015,0,0.00218657,0.0234865
74,0,0,0,0,0,0,0.0153077,0.035147,0,0,0,0.0198681,0.0190651,0,0,0.013524,0,0.024324,0.00613887,0.0413623,0.0639118,0.00913984,0.0411104,0.0264985,0.00735775,0.00589977,0.0106457,0.0255779,0.0110428,0.0121311,0.0087524,0.0213599,0.143863,0.0180259,0.015942,0.0154621,0.0156265,0.0226921,0.0151844,0,0,0.0257639,0,0.0111379,0.0155349,0.0502268,0.0155895,0.0125763,0.0359941,0.0302036,0.0156315,0.0300179,0.0192646,0.0200683,0.0196601,0.00506819,0.0181899,0.0167829,0.0477207,0.00686608,0.0149865,0.00980138,0.0379695,0.0181662,0,0,0,0.10042,0.0404698,0,0.00198846,0.0249241
75,0,0,0,0,0,0,0.0158077,0.0355475,0,0,0,0.0197772,0.0178726,0,0,0.0137291,0,0.0242436,0.0061928,0.0415204,0.0622622,0.00950741,0.0421083,0.0269283,0.00682805,0.00606806,0.0112514,0.0256184,0.0105848,0.0116286,0.00805668,0.0206969,0.142523,0.0181436,0.0159401,0.0124047,0.0155263,0.0216534,0.0158196,0,0,0.0261452,0,0.0110974,0.0158813,0.0507686,0.0123079,0.0107621,0.0359267,0.0305547,0.0159989,0.0301892,0.0191343,0.0202703,0.0188148,0.00481572,0.0175533,0.0164803,0.0400883,0.0067707,0.0146928,0.00971609,0.0379975,0.018569,0,0,0,0.100856,0.0400012,0,0.00191081,0.0257901
76,0,0,0,0,0,0,0.016313,0.0358928,0,0,0,0.0197183,0.0169476,0,0,0.0138006,0,0.0242174,0.00619551,0.0416006,0.0611978,0.00932765,0.0427588,0.0273183,0.00633798,0.00590391,0.0113716,0.0254183,0.0103123,0.0112008,0.00755745,0.0202498,0.141379,0.0182767,0.0159697,0.0112987,0.0155282,0.0211102,0.016491,0,0,0.026406,0,0.0110761,0.016168,0.051347,0.00964497,0.00892554,0.0358129,0.0308517,0.0162461,0.0301244,0.0187995,0.0202626,0.0181855,0.00457159,0.0169791,0.016033,0.0311049,0.00667501,0.0146877,0.00966615,0.0382272,0.0189232,0,0,0,0.100885,0.0394864,0,0.00192023,0.0263662
77,0,0,0,0,0,0,0.0167958,0.0362259,0,0,0,0.0196666,0.0168048,0,0,0.0138699,0,0.0242381,0.0062888,0.0416178,0.060634,0.00926444,0.0432052,0.0275071,0.00607636,0.00551323,0.0110521,0.0249237,0.0102435,0.0107754,0.00719922,0.0199558,0.141176,0.0184648,0.0160407,0.0154171,0.0156069,0.0215136,0.0171345,0,0,0.0265365,0,0.011067,0.0162164,0.0519169,0.0104141,0.00764542,0.0354992,0.0310593,0.0163086,0.0299414,0.0183926,0.0200284,0.0180269,0.00431428,0.0166309,0.0155925,0.0219243,0.00663955,0.0149323,0.00972307,0.0386951,0.0191754,0,0,0,0.100197,0.0389406,0,0.0019561,0.026786
78,0,0,0,0,0,0,0.017298,0.0365535,0,0,0,0.0196095,0.0165863,0,0,0.0138919,0,0.0243122,0.00641257,0.0414665,0.0600439,0.00929435,0.0433907,0.0277866,0.00623226,0.00528928,0.0106452,0.0243871,0.00994798,0.0102524,0.00654711,0.0195782,0.141016,0.0187358,0.01613,0.0200893,0.0156472,0.0228236,0.0177628,0,0,0.026804,0,0.0110884,0.0165465,0.0524623,0.0142602,0.00719478,0.035203,0.0313416,0.0161934,0.0297872,0.0180378,0.0196852,0.0182784,0.00408445,0.0164176,0.0151237,0.0145126,0.00666589,0.0149102,0.00973971,0.0392513,0.0194609,0,0,0,0.0995044,0.038342,0,0.00192298,0.0273564
79,0,0,0,0,0,0,0.0184868,0.0374578,0,0,0,0.0196173,0.0164724,0,0,0.0142186,0,0.0243403,0.00662875,0.0410185,0.0587395,0.00903811,0.0446905,0.0285672,0.00659723,0.00534012,0.0102522,0.0239319,0.0093948,0.00978928,0.00592739,0.0190967,0.140503,0.0194464,0.0162075,0.0244293,0.0156547,0.0251883,0.0190209,0,0,0.0273402,0,0.0111356,0.016756,0.0531768,0.0181706,0.00777775,0.0356131,0.0319933,0.0163367,0.0297824,0.0180603,0.0197928,0.0188001,0.00405408,0.0162956,0.0147049,0.00648987,0.00715685,0.0145546,0.00967177,0.0404473,0.0204778,0,0,0,0.0989901,0.0374396,0,0.00187457,0
80,0,0,0,0,0,0,0.0189823,0.0378484,0,0,0,0.019636,0.0164626,0,0,0.0143646,0,0.024368,0.00667978,0.0405459,0.0576795,0.00876762,0.0452659,0.0289281,0.00695975,0.00545144,0.0101176,0.0233497,0.00887985,0.00938188,0.00561613,0.0186418,0.139841,0.0199444,0.0162874,0.0284335,0.0156435,0.0272282,0.0195959,0,0,0.0277269,0,0.011156,0.0166893,0.05342,0.0216384,0.00794736,0.0350686,0.0323429,0.0160113,0.0298915,0.0179009,0.0194074,0.0190251,0.00385915,0.0162138,0.0144578,0.0079799,0.00761604,0.0143586,0.00965716,0.0412819,0.0208727,0,0,0,0.0987354,0.0364922,0,0.00183343,0
81,0,0,0,0,0,0,0.0194297,0.038117,0,0,0,0.0196851,0.0161749,0,0,0.0145041,0,0.0244057,0.00671869,0.0399235,0.0562814,0.00870124,0.0459301,0.029152,0.00728122,0.00572462,0.0101697,0.0228131,0.00847579,0.00919058,0.0056711,0.0180668,0.138532,0.0203736,0.0163394,0.0320416,0.015671,0.0271876,0.0200813,0,0,0.0280172,0,0.0111469,0.0168019,0.0534617,0.0240538,0.00772217,0.0343231,0.0325792,0.0154993,0.0300336,0.0175013,0.0187707,0.0191617,0.00382098,0.0164216,0.0146786,0.0108654,0.00795237,0.0144562,0.00972276,0.0420204,0.0213003,0,0,0,0.0992242,0.0354565,0,0.00182914,0
82,0,0,0,0,0,0,0.0198714,0.0383862,0,0,0,0.0197003,0.0155207,0,0,0.0147003,0,0.02441,0.00679817,0.0391815,0.054823,0.00874873,0.0467325,0.0292203,0.00753273,0.00607274,0.0103248,0.0223386,0.00817998,0.00915437,0.00587173,0.0174704,0.136831,0.0208411,0.0163717,0.0342749,0.0157473,0.0265082,0.0205568,0,0,0.028161,0,0.0111553,0.0167351,0.0534535,0.0258814,0.00736259,0.0336169,0.0328106,0.0149524,0.030264,0.0170048,0.0181449,0.0189889,0.0037764,0.0166916,0.0150169,0.013692,0.00821478,0.0147784,0.00986768,0.0427591,0.0217467,0,0,0,0.0999364,0.0343864,0,0.00184586,0
83,0,0,0,0,0,0,0.0123529,0.0259286,0,0,0,0.0189986,0.0152141,0,0,0.00865214,0,0.0258719,0.0037639,0.0353171,0.0401203,0.00762344,0.0291543,0.0205886,0.010151,0.012133,0.00909429,0.0252818,0.00841952,0.0138555,0.00639967,0.0137344,0.12822,0.0150293,0.0169283,0.0333888,0.0154012,0.0244331,0.0172373,0,0,0.0253385,0,0.01116,0.0160347,0.049482,0.0287295,0.00795153,0.0300245,0.0310451,0.0107137,0.029805,0.0134954,0.0135137,0.0176944,0.00239955,0.0168395,0.0159607,0.0169776,0.00565545,0.0141306,0.00959314,0.0296296,0.0145064,0,0,0,0.107129,0.0426371,0.0406282,0.00226387,0
84,0,0,0,0,0,0,0.0123739,0.0259862,0,0,0,0.0191351,0.0150726,0,0,0.00786747,0,0.0259606,0.00345012,0.0352972,0.0397948,0.00745485,0.029316,0.0212342,0.0100682,0.0119888,0.00888682,0.025084,0.00811142,0.0137296,0.0058691,0.0130442,0.126793,0.0150238,0.0169568,0.0338891,0.0154042,0.024524,0.017194,0,0,0.0248439,0,0.0112669,0.0158128,0.0490629,0.031075,0.00882656,0.0294169,0.0312318,0.010651,0.0302619,0.0130747,0.0132583,0.0176621,0.00241074,0.0172046,0.0168992,0.0189279,0.00601002,0.0134929,0.0093445,0.0299263,0.0145818,0,0,0,0.107089,0.0419857,0.041076,0.00199126,0
85,0,0,0,0,0,0,0.0122538,0.0261005,0,0,0,0.0192339,0.0151633,0,0,0.00737207,0,0.0259775,0.00337324,0.0353957,0.0394785,0.00677852,0.0293638,0.0216177,0.00956046,0.0112627,0.00828945,0.0249702,0.00764859,0.0130442,0.00561731,0.0126487,0.125563,0.014886,0.0169967,0.0339627,0.0154374,0.0243433,0.0170489,0,0,0.0243564,0,0.0113645,0.0155385,0.048561,0.0332995,0.0096018,0.0288969,0.0312769,0.0108014,0.030753,0.0128441,0.0133356,0.017793,0.00238704,0.0176667,0.0180477,0.0196975,0.00637264,0.0131235,0.00919257,0.0300298,0.0145142,0,0,0,0.107254,0.0414842,0.0417871,0.00158587,0
86,0,0,0,0,0,0,0.0120578,0.0262318,0,0,0,0.019284,0.0149885,0,0,0.00710396,0,0.0259449,0.00343162,0.0356606,0.0391707,0.00632217,0.0293852,0.0217618,0.00887743,0.010445,0.00754676,0.0250177,0.00685336,0.0123115,0.00552794,0.0123074,0.124486,0.0146513,0.0170194,0.0338934,0.0155059,0.0241902,0.0168622,0,0,0.0238269,0,0.0114144,0.0152166,0.0479848,0.0355439,0.0102901,0.0284276,0.0311813,0.0110447,0.0313176,0.0127986,0.0136601,0.0179304,0.00232227,0.0181441,0.0192433,0.0208674,0.0066687,0.0131455,0.00915732,0.0298569,0.0143597,0,0,0,0.107415,0.0410977,0.0429354,0.00166296,0
87,0,0,0,0,0,0,0.0118033,0.0263687,0,0,0,0.0193453,0.014772,0,0,0.00690258,0,0.0259265,0.00348008,0.0359393,0.0389214,0.00615462,0.0293724,0.0218253,0.00817326,0.00981272,0.00676119,0.0250929,0.00610779,0.0116382,0.00545924,0.0120148,0.123589,0.0142716,0.0170333,0.0338098,0.0155131,0.0240074,0.0166343,0,0,0.0234186,0,0.0114374,0.0148655,0.0475013,0.0376975,0.0109099,0.0280915,0.0311451,0.0113241,0.0318932,0.0126755,0.01416,0.0181229,0.00228192,0.0186507,0.0204828,0.022194,0.00689933,0.0130498,0.00908713,0.0296071,0.014137,0,0,0,0.107607,0.0408011,0.0443114,0.00177555,0
