Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LWRB,LILC
55,0,0,0,0,0,0,0.0100149,0.0128132,0,0,0,0.107631,0.0171274,0.00732431,0,0,0.0105447,0,0.0299372,0.00316796,0.0461285,0.0409231,0.0102495,0.0150324,0.0102221,0.00384415,0.00432936,0.00712897,0.0209,0.00758592,0.0107491,0.00634551,0.0111495,0.112045,0.0130742,0.0191634,0.0369491,0.0117319,0.0261133,0.0152643,0,0,0.0151511,0,0.0103307,0.0118134,0.0420259,0.0518955,0.00997149,0.0137144,0.0157442,0.0293759,0.0118588,0.0326628,0.0140717,0.0163157,0.0173655,0.00292324,0.0189808,0.0253589,0.0321339,0.0153275,0.0110891,0.00938017,0.0113522,0.00982646,0,0,0,0.00228469,0
56,0,0,0,0,0,0,0.0101263,0.0128193,0,0,0,0.10749,0.0170982,0.00750041,0,0,0.0105846,0,0.0299187,0.00314122,0.0460395,0.0412796,0.0104002,0.0149275,0.0102848,0.00395035,0.00458892,0.00743895,0.0205425,0.00769693,0.0106558,0.00643689,0.0111074,0.112235,0.0130603,0.0191562,0.036339,0.0117146,0.0250891,0.0151686,0,0,0.0151156,0,0.0102852,0.0119555,0.0421697,0.0501281,0.0101773,0.0128152,0.0156468,0.0292843,0.0121546,0.0329745,0.013525,0.0163366,0.0176159,0.0029205,0.019122,0.0250397,0.0317991,0.0151722,0.0112068,0.00943496,0.0114097,0.0098935,0,0,0,0.00238241,0
57,0,0,0,0,0,0,0.0101965,0.0127958,0,0,0,0.107405,0.0170621,0.00778855,0,0,0.0105221,0,0.0298934,0.00309477,0.0458236,0.0416545,0.0104425,0.0149191,0.0103135,0.00412316,0.00487132,0.00775403,0.0202498,0.00777318,0.010497,0.00653186,0.011091,0.112511,0.0130025,0.019138,0.0357325,0.0116915,0.0239755,0.0150395,0,0,0.0150312,0,0.0102353,0.0120655,0.0422463,0.0481277,0.010292,0.0118939,0.0156998,0.0291617,0.0123578,0.0331988,0.0129103,0.0162201,0.0178398,0.00300231,0.0190476,0.0246025,0.031397,0.0149986,0.0114361,0.0095011,0.0114283,0.00991946,0,0,0,0.0024317,0
58,0,0,0,0,0,0,0.0101243,0.0127217,0,0,0,0.107523,0.017053,0.00776421,0,0,0.0105323,0,0.0299021,0.00315866,0.0455476,0.0417412,0.0104101,0.0150146,0.0102909,0.00432219,0.00509717,0.00788754,0.0200813,0.00771966,0.0102223,0.00651802,0.0110763,0.112296,0.0129954,0.019116,0.0349331,0.0116631,0.0229207,0.0148619,0,0,0.0148471,0,0.0101665,0.0120314,0.0421483,0.0460325,0.0102918,0.011035,0.0158446,0.0289826,0.0125081,0.0334021,0.0122892,0.0159767,0.0179983,0.0031198,0.0188005,0.0240529,0.0309492,0.014774,0.0116634,0.00956684,0.0114127,0.0098997,0,0,0,0.00247708,0
59,0,0,0,0,0,0,0.00992186,0.0125732,0,0,0,0.107586,0.0170446,0.00773144,0,0,0.0106541,0,0.0298725,0.00327003,0.0452739,0.0416779,0.010355,0.0152655,0.0102169,0.00448821,0.0053501,0.00766756,0.0200191,0.00763345,0.00996544,0.00652753,0.0111035,0.112016,0.0130343,0.0190746,0.0341527,0.0116221,0.0217493,0.014602,0,0,0.0146255,0,0.0101366,0.0118762,0.0418656,0.0438038,0.0102105,0.0102893,0.015978,0.0288417,0.0125475,0.0334515,0.0116522,0.0155549,0.0181295,0.00350535,0.0186116,0.0235124,0.0306685,0.0145164,0.0116699,0.00953769,0.0114122,0.00989787,0,0,0,0.00247734,0
60,0,0,0,0,0,0,0.00964865,0.0123941,0,0,0,0.107453,0.0170268,0.00788835,0,0,0.0108895,0,0.0297998,0.00340342,0.0450947,0.0417486,0.0103741,0.0155932,0.0100632,0.00461359,0.00580264,0.00772918,0.0200384,0.00752157,0.00978096,0.0066319,0.0111483,0.111966,0.0132042,0.0190314,0.0333558,0.0115991,0.0206463,0.0142551,0,0,0.0144086,0,0.0101051,0.01169,0.0414144,0.0420149,0.010143,0.00973166,0.016067,0.0286949,0.0124676,0.0333706,0.0109834,0.0149203,0.0182679,0.00413115,0.018581,0.0231559,0.0306342,0.0142803,0.0117074,0.00948942,0.0114153,0.00982916,0,0,0,0.00248092,0
61,0,0,0,0,0,0,0.00941916,0.0122677,0,0,0,0.107486,0.0170109,0.00804632,0,0,0.011158,0,0.0297466,0.00357719,0.0449675,0.0418092,0.0103757,0.0160157,0.00990357,0.00474115,0.0060673,0.00788633,0.0200734,0.00742746,0.00956571,0.00676295,0.0112033,0.111886,0.0134283,0.0189963,0.0325761,0.0115913,0.0197111,0.0139252,0,0,0.0141618,0,0.0100766,0.0116809,0.0409131,0.0407413,0.0101029,0.0093102,0.0161692,0.0285138,0.0122639,0.0332178,0.0103319,0.0141992,0.018386,0.00489461,0.0185574,0.0228286,0.0308175,0.0140525,0.0118179,0.00953338,0.0114656,0.00939821,0,0,0,0.0025282,0
62,0,0,0,0,0,0,0.00923878,0.0121758,0,0,0,0.107718,0.0170135,0.00816316,0,0,0.0114022,0,0.0297043,0.00369714,0.0449102,0.0418017,0.0103662,0.0164833,0.00976328,0.00483557,0.00621175,0.00797352,0.0200418,0.00747667,0.0093307,0.00693915,0.0112435,0.111586,0.0136327,0.018962,0.031752,0.0115834,0.0190476,0.0136603,0,0,0.0138929,0,0.0100171,0.0115089,0.04047,0.03999,0.0101674,0.00911137,0.0162768,0.0283146,0.0118935,0.0330138,0.00973904,0.0133868,0.0183524,0.00571676,0.0183604,0.0225815,0.0312322,0.0138247,0.0120673,0.00959907,0.0115091,0.00913051,0,0,0,0.00260766,0
63,0,0,0,0,0,0,0.00931045,0.0121249,0,0,0,0.108093,0.0170139,0.00831708,0,0,0.0115702,0,0.0296976,0.00376173,0.0448835,0.0416683,0.0103694,0.0168396,0.00968337,0.00491053,0.00633501,0.00797787,0.0199387,0.00758652,0.00914627,0.00713443,0.0112288,0.111119,0.0137887,0.0189305,0.031093,0.0116017,0.0187371,0.0134873,0,0,0.013669,0,0.00995696,0.0114179,0.0401674,0.0395424,0.0103693,0.00908617,0.016303,0.0281389,0.011415,0.0328203,0.0093251,0.0124321,0.0180305,0.0066881,0.017988,0.0223246,0.0322162,0.0136328,0.0123615,0.0096659,0.0115619,0.00881182,0,0,0,0.00274969,0
64,0,0,0,0,0,0,0.00958093,0.012158,0,0,0,0.10842,0.0170082,0.00858491,0,0,0.0116803,0,0.0296776,0.00376604,0.0448496,0.0413548,0.0103209,0.0171154,0.00968419,0.00494274,0.00645404,0.00793721,0.0197879,0.00779057,0.00914549,0.00736311,0.0111482,0.110809,0.0139601,0.0189071,0.0307661,0.0115692,0.0186927,0.0133593,0,0,0.0136549,0,0.00992837,0.0115917,0.0399781,0.0391041,0.0106522,0.00935458,0.0163012,0.0280812,0.0108303,0.0327138,0.00913379,0.0113127,0.0175896,0.00788861,0.017627,0.022059,0.0338261,0.0135502,0.0123559,0.00965399,0.011617,0.00855082,0,0,0,0.0026247,0
