Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LBHD,RILC,LILC
27,0,0,0,0,0,0,0.00409431,0.0058651,0,0,0,0.112864,0.0191621,0.00296777,0,0.0106074,0,0.0253404,0.0044313,0.0453701,0.0406703,0.00535057,0.0160201,0.00989616,0.00741714,0.00652022,0.00907228,0.0284521,0.00487527,0.00863637,0.00354156,0.0139935,0.110962,0.0106299,0.0174742,0.00328854,0.0289887,0.0153644,0.0200173,0.00660934,0,0,0.00486903,0,0.0130621,0.00211764,0.0429744,0.0169977,0.00874901,0.0130558,0.00948989,0.0024342,0.027699,0.012647,0.00701264,0.0146621,0.00366365,0.0137906,0.0118098,0.0321308,0.00812627,0.00747611,0.00383098,0.00803115,0.00679677,0,0,0,0,0.0225925,0
28,0,0,0,0,0,0,0.00427398,0.00585721,0,0,0,0.112525,0.019075,0.00263685,0,0.0106629,0,0.0253758,0.00429368,0.0457123,0.0407557,0.00573656,0.0155371,0.0101139,0.00717511,0.00641483,0.00876981,0.0280244,0.00443,0.00810064,0.00332322,0.0139009,0.110939,0.0109459,0.0174596,0.00280164,0.0288102,0.0153929,0.0193325,0.00616775,0,0,0.00536025,0,0.0130455,0.00215786,0.043802,0.0148044,0.00853851,0.0128393,0.00904916,0.00271733,0.0281475,0.0130994,0.0076898,0.0134615,0.00399188,0.0125887,0.0115456,0.0281275,0.00817377,0.0073233,0.00378323,0.00803429,0.00674727,0,0,0,0,0.0218205,0
29,0,0,0,0,0,0,0.00452138,0.00595794,0,0,0,0.112174,0.0190112,0.0023812,0,0.0108447,0,0.0253132,0.00427497,0.0461746,0.0406068,0.00593667,0.0151412,0.0104914,0.00694785,0.00624512,0.00822559,0.0272664,0.00402034,0.00769896,0.00315407,0.0137189,0.110972,0.0114137,0.0174424,0.00276397,0.0291719,0.0154189,0.0192515,0.00578777,0,0,0.00581166,0,0.0130271,0.00212753,0.0444695,0.0139821,0.00842704,0.0125458,0.00869769,0.00295631,0.0285471,0.0134676,0.00818563,0.0124082,0.00443723,0.011427,0.0114692,0.0228594,0.00822189,0.00720417,0.00377132,0.00810385,0.00669318,0,0,0,0,0.0208908,0
30,0,0,0,0,0,0,0.00478931,0.00610029,0,0,0,0.112033,0.0190159,0.00247399,0,0.0111245,0,0.0252642,0.00430325,0.0465315,0.0400574,0.00597817,0.0148288,0.0108806,0.00672806,0.00606075,0.0077469,0.0263259,0.00377912,0.00765768,0.00309298,0.0133815,0.110885,0.0118518,0.0174361,0.00277469,0.0299595,0.0154501,0.020149,0.00554808,0,0,0.00605388,0,0.0130264,0.00217737,0.0450536,0.0158203,0.00847972,0.0123294,0.00849415,0.00314866,0.029134,0.0139544,0.00857872,0.0116694,0.00489953,0.0105541,0.0114805,0.0162485,0.00820433,0.00722858,0.00372052,0.00821282,0.00669626,0,0,0,0,0.0198777,0
31,0,0,0,0,0,0,0.00500746,0.00617938,0,0,0,0.112512,0.0190611,0.00323589,0,0.0114138,0,0.0252186,0.00432426,0.0466929,0.0390507,0.00625753,0.0146642,0.0112515,0.00662208,0.00609515,0.00752221,0.0255532,0.00375823,0.00804307,0.00304145,0.0129015,0.110396,0.012205,0.0174372,0.00279301,0.0320432,0.0155171,0.022272,0.00553597,0,0,0.00601104,0,0.0130834,0.00218574,0.0454818,0.0207221,0.00887991,0.0122063,0.00845087,0.00330396,0.029696,0.0145205,0.00889989,0.0112575,0.00498345,0.010028,0.0110204,0.00894057,0.00810205,0.00740467,0.00365059,0.00835471,0.0067917,0,0,0,0,0.0188161,0
32,0,0,0,0,0,0,0.00530577,0.00646562,0,0,0,0.113597,0.0191296,0.00455716,0,0.0114775,0,0.0251747,0.00428862,0.0465867,0.0374364,0.00662539,0.0145182,0.0115489,0.00671927,0.0062238,0.00762761,0.0252358,0.00406359,0.00893197,0.00295657,0.0122582,0.109488,0.0124147,0.0174533,0.00290242,0.0348599,0.0154299,0.024756,0.00553929,0,0,0.00702726,0,0.012972,0.00229653,0.0457433,0.0252836,0.00988345,0.0121493,0.00832525,0.00356107,0.0303569,0.0152223,0.00927092,0.0114454,0.00494304,0.00981206,0.0103201,0.00741963,0.00856316,0.00679069,0.00357787,0.00891599,0.00690209,0,0,0,0,0.0177853,0
33,0,0,0,0,0,0,0.00545372,0.00656695,0,0,0,0.114782,0.0191785,0.00602145,0,0.0116289,0,0.0251714,0.00434056,0.0462824,0.0360035,0.00710134,0.0143876,0.01181,0.00693453,0.00642712,0.00793283,0.0250697,0.00448538,0.00990227,0.00295879,0.0116516,0.108455,0.0126251,0.0174519,0.00331297,0.0384962,0.0154827,0.0272632,0.00569889,0,0,0.00718731,0,0.0130339,0.00222712,0.0459146,0.0292673,0.0109832,0.0121839,0.00830932,0.00425637,0.0309965,0.0160921,0.00994912,0.0122023,0.00487489,0.00951939,0.00962633,0.0106865,0.0086285,0.00665461,0.0035308,0.00931235,0.00704779,0,0,0,0,0.0167895,0
34,0,0,0,0,0,0,0.00554845,0.00661663,0,0,0,0.115341,0.0192794,0.00706331,0,0.0117904,0,0.025197,0.00443015,0.0460222,0.0351755,0.00741324,0.0140586,0.0119744,0.00716932,0.00660245,0.00820939,0.0250006,0.00488427,0.0106729,0.00306632,0.0112139,0.107956,0.012779,0.0174642,0.00388829,0.0416262,0.0154371,0.0287558,0.00588798,0,0,0.00776667,0,0.0130234,0.00244134,0.0460092,0.0327624,0.0121143,0.0120499,0.00822936,0.00532525,0.0315857,0.0169494,0.0107365,0.0126281,0.00477851,0.00946505,0.0091555,0.0139021,0.00879412,0.00633142,0.00349122,0.00944784,0.00720663,0,0,0,0,0.0159997,0
35,0,0,0,0,0,0,0.00713998,0.00925201,0,0,0,0.117349,0.019446,0.0095537,0,0.0126938,0,0.0250156,0.00497935,0.0459173,0.0317492,0.00821613,0.00681883,0.0130108,0.00654687,0.00626734,0.00680853,0.0254895,0.00554404,0.011957,0.0036489,0.0100001,0.106115,0.0132245,0.0173695,0.00357387,0.0394185,0.0157772,0.0281864,0.00615815,0,0,0.0100565,0,0.0130494,0.00294385,0.0421091,0.0373947,0.0129051,0.011854,0.00780905,0.00898257,0.033296,0.0183147,0.0116634,0.012273,0.00421348,0.0111874,0.0103531,0.0146543,0.00978162,0.00614966,0.0030443,0.0132408,0.00811839,0,0,0,0,0,0
36,0,0,0,0,0,0,0.00547779,0.00670221,0,0,0,0.114885,0.0193992,0.00771093,0,0.0117414,0,0.0252304,0.00452363,0.0458052,0.0348249,0.00773569,0.0137935,0.0120839,0.00708106,0.00650298,0.00790352,0.0249158,0.00516812,0.0107713,0.0037736,0.0110142,0.108465,0.0127072,0.01753,0.0033574,0.0441444,0.0153812,0.0293546,0.00596627,0,0,0.0078125,0,0.0130199,0.00226754,0.046589,0.036962,0.0141572,0.0116631,0.00800921,0.00823197,0.032417,0.0179868,0.0130499,0.0120157,0.00511519,0.00931578,0.00863752,0.0184888,0.00860682,0.00650261,0.00341351,0.00993361,0.00727985,0,0,0,0,0.0147803,0
