Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_M,IMU_R,L5FT,LBHD,LEAR,LELB,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,x70,x71,x72,IMU_L,STRN,LTIBP,LANK,LFHD,RHEE,L5HD,LTIBI,RILC,LWRB,LILC
9,0,0,0,0,0,0,0.00518132,0.00992869,0,0,0.119578,0,0,0.0236793,0.00917046,0.0219228,0.0427343,0.0799053,0.00628545,0.0258813,0.0143805,0.0100551,0.0131945,0.00743308,0.0223736,0.00199364,0.00201441,0.18984,0.0207958,0.00819558,0.0293453,0.0154075,0.0145949,0.00610142,0,0,0.0129734,0,0.0122823,0.00760553,0.0422725,0.0100194,0.0110104,0.0109703,0.00877804,0.0283664,0.00813423,0.0107462,0.0105378,0.00946571,0.0100606,0.0140507,0.0201554,0.0115409,0.00502421,0.00374996,0.00663646,0,0,0,0,0.0140755,0.0141684,0.00367754,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0.00476568,0.010379,0,0,0.121474,0,0,0.0239803,0.00947842,0.0221662,0.0425569,0.081524,0.00633994,0.0274278,0.0152522,0.00989101,0.0128464,0.00750304,0.0221078,0.00197342,0.00215648,0.195143,0.021422,0.00856852,0.0304619,0.0154713,0.0131838,0.0059344,0,0,0.0136884,0,0.0123077,0.00773132,0.0426103,0.00855952,0.0111393,0.0113305,0.00824236,0.0278962,0.00707311,0.00957333,0.0103161,0.0104488,0.00958751,0.0140867,0.0229441,0.0121889,0.00529069,0.00392035,0.00683798,0,0,0,0,0,0.0139594,0.00301088,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0.00567983,0.00977023,0,0,0.121357,0,0,0.0215278,0.00891148,0.0194902,0.042524,0.0814609,0.00654335,0.0249905,0.0132082,0.00954088,0.012338,0.00739258,0.02197,0.00188392,0.00223193,0.194224,0.018946,0.00751392,0.0317033,0.015521,0.0114844,0.00638662,0,0,0.0132342,0,0.0124891,0.00727836,0.0427886,0.00795437,0.0118182,0.0111177,0.00745428,0.0274669,0.00584221,0.00802692,0.00994348,0.0118724,0.00868188,0.0140497,0.0257833,0.0118932,0.00489114,0.00396008,0.00671703,0,0,0,0,0.0148748,0.0139697,0.00337352,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0.00580278,0.0094616,0,0,0.121056,0,0,0.0225085,0.00871641,0.0210561,0.0423841,0.0811227,0.00670008,0.0248323,0.0133786,0.00925463,0.0119379,0.00727797,0.0217463,0.00182554,0.00238688,0.193682,0.0196881,0.00763454,0.033093,0.0155312,0.00945366,0.00655624,0,0,0.01392,0,0.0125459,0.00746316,0.0431202,0.00671764,0.0121469,0.0113045,0.00697713,0.0271785,0.00498434,0.00698555,0.00941292,0.0133765,0.0075382,0.013711,0.02795,0.0121247,0.00502604,0.00390348,0.00700025,0,0,0,0,0.0138579,0.0140194,0.00363266,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0.00523391,0.00929342,0,0,0.12087,0,0,0.0242774,0.00990556,0.0225265,0.0421418,0.0805859,0.00692009,0.0261246,0.014655,0.00911514,0.0116857,0.00716381,0.0215084,0.00196204,0.00281345,0.194284,0.0214161,0.00899323,0.0364917,0.0155001,0.00446902,0.00628233,0,0,0.0138652,0,0.0125243,0.00742355,0.0430052,0.00474179,0.0123274,0.0111634,0.00776519,0.0281316,0.00587007,0.00781097,0.0072338,0.0164048,0.00486154,0.0106385,0.0263851,0.0121988,0.00504367,0.0039553,0.00725687,0,0,0,0,0.0118776,0.0139687,0.00377545,0,0.0218055,0,0,0,0,0
14,0,0,0,0,0,0,0.00485926,0.0101036,0,0,0.120788,0,0,0.0226645,0.00891527,0.0209091,0.0419865,0.0804342,0.00693059,0.0275491,0.0144206,0.0090234,0.0114118,0.00706527,0.0213017,0.00203131,0.00306233,0.194744,0.0201132,0.00786406,0.0368278,0.015548,0.00268519,0.00597797,0,0,0.0143794,0,0.0125113,0.00763419,0.0430046,0.00329364,0.0123935,0.0114521,0.00757996,0.0277312,0.00574353,0.00718758,0.00747999,0.0183178,0.00487027,0.0105805,0.0277632,0.0127209,0.00523395,0.0041988,0.00761814,0,0,0,0,0,0.0139434,0.0038681,0,0.0193778,0,0,0,0,0
15,0,0,0,0,0,0,0.00507475,0.00903007,0,0,0.120445,0,0,0.0215243,0.00834108,0.0201088,0.0419204,0.0803116,0.00708242,0.0259303,0.013029,0.00915921,0.0113388,0.00692699,0.0211656,0.0021806,0.00331606,0.195086,0.018659,0.00712993,0.0366119,0.0155018,0.00241202,0.00622822,0,0,0.0143532,0,0.0124615,0.00742673,0.0427948,0.00305522,0.0128564,0.0111154,0.00727903,0.0273045,0.00581472,0.00686579,0.00808869,0.0205093,0.00523595,0.0104773,0.0285164,0.0125248,0.005242,0.00411105,0.00771074,0,0,0,0,0.011205,0.0139221,0.00410444,0,0.0168044,0,0,0,0,0
16,0,0,0,0,0,0,0.00530138,0.00882978,0,0,0.119883,0,0,0.0213402,0.00840853,0.0202185,0.041819,0.0800326,0.00713921,0.0256849,0.012759,0.00922099,0.011282,0.006781,0.0210269,0.00240822,0.00362042,0.195551,0.0184908,0.00717555,0.0361448,0.0155908,0.00445204,0.00639999,0,0,0.0150208,0,0.0125583,0.00766087,0.0425492,0.00349127,0.0130637,0.011473,0.00715608,0.0269385,0.00614909,0.00683569,0.00884588,0.0230508,0.00627273,0.0107099,0.0287287,0.0128303,0.0052555,0.0041024,0.00778609,0,0,0,0,0.011271,0.0138658,0.00436772,0,0.0144334,0,0,0,0,0
17,0,0,0,0,0,0,0.00485138,0.00861112,0,0,0.119597,0,0,0.0216632,0.00860751,0.0206935,0.0417261,0.0797441,0.00736499,0.025953,0.0128278,0.0092614,0.0112289,0.00664311,0.0208654,0.0026261,0.00391905,0.196128,0.01882,0.00742228,0.0358746,0.0156249,0.0072017,0.00590029,0,0,0.0146626,0,0.0126374,0.00748972,0.0424285,0.00413447,0.0131916,0.0108338,0.00733635,0.0267737,0.00716026,0.00688062,0.0103638,0.0260073,0.00842472,0.0114175,0.0287035,0.0121798,0.00500347,0.0040077,0.00802151,0,0,0,0,0.011523,0.0138052,0.00467814,0,0.0117306,0,0,0,0,0
18,0,0,0,0,0,0,0.00447454,0.00829288,0,0,0.119693,0,0,0.0217914,0.00904234,0.0201669,0.0416863,0.0796065,0.00773128,0.0265828,0.0129994,0.00938352,0.0112674,0.00651337,0.0206735,0.00276241,0.00422594,0.19665,0.0189821,0.00771979,0.0357309,0.0156861,0.0105133,0.00563419,0,0,0.0143731,0,0.0126632,0.00713068,0.0422532,0.00517474,0.0132911,0.0103621,0.0078776,0.026889,0.00846092,0.00723579,0.0127264,0.0292336,0.0117595,0.0131233,0.0277639,0.0116128,0.0048325,0.00408388,0.00822772,0,0,0,0,0.011506,0.0137618,0.00499811,0,0.00882118,0,0,0,0,0
