Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,RASI,LILC,RILC
116,0,0,0,0,0,0,0.00616935,0.00986911,0,0,0,0.1098,0.0181201,0.0144265,0,0,0.0032456,0,0.0296377,0.00246655,0.0441073,0.0579985,0.0142905,0.00930061,0.0135452,0.0124556,0.0177779,0.0106044,0.0288892,0.0138372,0.016213,0.00682939,0.00909794,0.198534,0.0116003,0.0177715,0.00347175,0.0992865,0.0125581,0.0291256,0.00660149,0,0,0.0181006,0,0.0094792,0.00653952,0.0287751,0.0385271,0.0304697,0.0170587,0.00797905,0.00980512,0.0317242,0.0328269,0.0185732,0.0201855,0.0355233,0.0133972,0.0134691,0.0698658,0.0121093,0.00706167,0.00321985,0.0107777,0.0065603,0,0,0,0,0.0471049,0.0253591
117,0,0,0,0,0,0,0.00588746,0.0101225,0,0,0,0.111826,0.0180871,0.0125334,0,0,0.00318165,0,0.0296819,0.00249081,0.0447772,0.0528288,0.014219,0.00969292,0.0133049,0.0123868,0.0181417,0.0112336,0.02936,0.0133775,0.0166781,0.00621953,0.00989571,0.195983,0.0114932,0.0178019,0.003198,0.0984826,0.0126168,0.0274795,0.00708868,0,0,0.0180953,0,0.0095146,0.00649796,0.0281807,0.0375398,0.0288331,0.0169662,0.00864412,0.0111134,0.0315188,0.0320033,0.0186668,0.019285,0.0342283,0.0124018,0.012886,0.0702123,0.0120866,0.00712832,0.0033245,0.0112084,0.00609806,0,0,0,0,0.0470633,0.0257258
118,0,0,0,0,0,0,0.00590585,0.010576,0,0,0,0.114155,0.0179344,0.0108851,0,0,0.00365015,0,0.0298041,0.00230902,0.0455304,0.04746,0.0140618,0.0101344,0.0132835,0.0122727,0.0183728,0.0118722,0.0299263,0.0127871,0.0172137,0.00572371,0.0108943,0.193983,0.0117102,0.0178619,0,0.0993323,0.0126626,0.0262498,0.00772697,0,0,0.0180472,0,0.00956103,0.00650276,0.0274749,0.0352611,0.0295175,0.0167494,0.00952778,0.0118846,0.0310347,0.030141,0.0183102,0.0182192,0.0323106,0.0104005,0.0121095,0.0693177,0.0120644,0.00737663,0.00341459,0.0117206,0.00588707,0,0,0,0,0.0470927,0.026257
119,0,0,0,0,0,0,0.0052514,0.01047,0,0,0,0.117562,0.0179866,0.0108727,0,0,0.00287976,0,0.0297656,0.00269512,0.0461821,0.0461678,0.0136226,0.0104802,0.0127684,0.0119236,0.0180875,0.0124291,0.0303947,0.0120601,0.0176066,0.00545371,0.0119499,0.19163,0.0112417,0.0178587,0.0033858,0.0998009,0.0126181,0.0246588,0.00682585,0,0,0.0173119,0,0.00949157,0.00604183,0.0273188,0.0320247,0.0303871,0.0162094,0.00878271,0.0120316,0.0306009,0.0280285,0.0177891,0.016929,0.0300688,0.00824379,0.0114485,0.0685213,0.0119326,0.00750851,0.00351267,0.0116186,0.00551449,0,0,0,0,0.0471587,0.0266631
120,0,0,0,0,0,0,0.00491751,0.0102775,0,0,0,0.11988,0.0179278,0.0120273,0,0,0.00287422,0,0.0297781,0.00274912,0.0466335,0.046434,0.0131499,0.0107907,0.0124044,0.0115968,0.0176074,0.0128809,0.0307838,0.0114512,0.0179598,0.00540593,0.0130204,0.190655,0.0111884,0.0178662,0.00371897,0.0988988,0.0126182,0.0224907,0.0063799,0,0,0.0169303,0,0.00947519,0.00592906,0.0277089,0.0284529,0.0300999,0.0154698,0.00864916,0.0115636,0.0301786,0.0265697,0.0173261,0.0153912,0.0279272,0.00667433,0.0107638,0.0684701,0.0120166,0.00745045,0.00352201,0.011622,0.00529749,0,0,0,0,0.0470561,0.0266253
121,0,0,0,0,0,0,0.0046156,0.0098077,0,0,0,0.120859,0.0178815,0.0132737,0,0,0.00286297,0,0.0297532,0.00272051,0.0469048,0.0502002,0.0125069,0.0111031,0.01192,0.0112562,0.0168787,0.0132119,0.0311232,0.0110153,0.0180594,0.00560274,0.0140115,0.190278,0.0110531,0.0178564,0.00353779,0.0972443,0.0126494,0.0200924,0.00604385,0,0,0.0164945,0,0.00947752,0.00594309,0.0283654,0.0252648,0.0288863,0.0146121,0.00865306,0.0106569,0.0295657,0.0259668,0.0170416,0.0138072,0.0262077,0.00562994,0.00982858,0.0684698,0.0122343,0.00737562,0.00347317,0.0115749,0.00503608,0,0,0,0,0.0467353,0.0261478
122,0,0,0,0,0,0,0.00434163,0.0091509,0,0,0,0.120524,0.0178294,0.0141203,0,0,0.00284204,0,0.0296867,0.00267699,0.0471832,0.0585009,0.0118327,0.0114438,0.0113507,0.0109523,0.0159569,0.0133721,0.0314076,0.0106406,0.0177404,0.00583419,0.0148085,0.190084,0.0108175,0.0178127,0.00342899,0.0962202,0.0126411,0.0183797,0.00583234,0,0,0.016318,0,0.00945335,0.00593309,0.0288886,0.0232412,0.0275257,0.0137203,0.00878716,0.00969446,0.0288743,0.0256117,0.016834,0.0125014,0.0249606,0.00475327,0.0089347,0.0677178,0.0123477,0.00734814,0.00347953,0.0114924,0.00469831,0,0,0,0,0.046226,0.0254688
123,0,0,0,0,0,0,0.00406189,0.00845041,0,0,0,0.119421,0.0177932,0.0145422,0,0,0.00277948,0,0.0295664,0.00262156,0.0474602,0.0706194,0.0117439,0.0118611,0.0107416,0.0107231,0.0151582,0.0134506,0.0316112,0.0102513,0.0170142,0.00579812,0.0155487,0.189973,0.0105209,0.0177462,0.00356886,0.096469,0.0126451,0.0175529,0.00573947,0,0,0.0163075,0,0.00942429,0.00605567,0.0291996,0.0224268,0.0264811,0.0127521,0.00909226,0.00888556,0.0281083,0.0248435,0.0164247,0.0114392,0.0241639,0.00408196,0.00850673,0.0660146,0.0125419,0.00732067,0.0034491,0.011359,0.00425548,0,0,0,0,0.0454069,0.0246047
124,0,0,0,0,0,0,0.00377357,0.00772524,0,0,0,0.118951,0.0177946,0.0150649,0,0,0.00273726,0,0.0294196,0.00248046,0.0476248,0.0809604,0.0120222,0.0123186,0.0101699,0.0103973,0.0144577,0.0133077,0.0316055,0.00982335,0.0159738,0.00565385,0.0161064,0.189833,0.0102382,0.0176894,0.00389551,0.0975088,0.0126684,0.0173832,0.00565947,0,0,0.0162299,0,0.00942018,0.00613646,0.0292302,0.0223616,0.0257041,0.0117521,0.00943091,0.00824049,0.027469,0.023851,0.0157851,0.0107342,0.0236724,0.00348569,0.00841962,0.0638878,0.0127344,0.00720641,0.00350198,0.0111456,0.00383722,0,0,0,0,0.0442227,0.0237157
125,0,0,0,0,0,0,0.00363809,0.00709013,0,0,0,0.119411,0.0177943,0.0158919,0,0,0.00266421,0,0.0292938,0.00236045,0.0476585,0.0841261,0.0125028,0.0127566,0.00955913,0.00985245,0.0137387,0.0129355,0.0313311,0.00939406,0.0149132,0.00558552,0.0163477,0.190009,0.00994019,0.0176607,0.00376951,0.0987094,0.0126362,0.0173283,0.00546813,0,0,0.0163252,0,0.00938762,0.00620129,0.0290066,0.0225434,0.025132,0.010751,0.00966171,0.00781682,0.0269543,0.0230411,0.0151869,0.0101882,0.0233499,0.00290009,0.00839588,0.0618769,0.012906,0.00705652,0.0034729,0.0107967,0.00350001,0,0,0,0,0.042754,0.0230142
126,0,0,0,0,0,0,0.00352798,0.0067247,0,0,0,0.120578,0.0178141,0.0168205,0,0,0.002682,0,0.0292205,0.00224445,0.0476795,0.0838022,0.0129277,0.0130327,0.00904319,0.00926087,0.0129201,0.012469,0.0309186,0.00886997,0.0140308,0.00546058,0.0164182,0.19051,0.00965062,0.0176531,0.00326551,0.0995814,0.0126261,0.0171362,0.00536888,0,0,0.0164682,0,0.00938741,0.0063455,0.0287536,0.0227577,0.0245207,0.00970908,0.00991278,0.00780571,0.0265779,0.0223759,0.0147931,0.00947941,0.0230588,0.00218663,0.00824642,0.0602766,0.0131494,0.00686359,0.00343882,0.0103121,0.00331429,0,0,0,0,0.0412364,0.0225637
127,0,0,0,0,0,0,0.00299598,0.00637807,0,0,0,0.121922,0.0178495,0.0172424,0,0,0.00268115,0,0.0291882,0.00216538,0.0478191,0.0829189,0.0131013,0.0131212,0.00862794,0.00892563,0.0122502,0.0120957,0.0305972,0.00822674,0.013258,0.00512991,0.0164063,0.191232,0.00941324,0.0176572,0.00299946,0.0996604,0.0126165,0.0166376,0.0048689,0,0,0.01638,0,0.0093927,0.00619976,0.0288529,0.0228449,0.0236843,0.00879286,0.00964881,0.00831272,0.026268,0.0217003,0.0146613,0.00861958,0.0227121,0.00157913,0.00822547,0.059443,0.0131693,0.00672058,0.00347466,0.00941601,0.00305371,0,0,0,0,0.0398677,0.0226336
128,0,0,0,0,0,0,0.00275945,0.00630643,0,0,0,0.122785,0.0178503,0.0173457,0,0,0.0026973,0,0.0291712,0.00210608,0.0479091,0.0817873,0.013176,0.0130456,0.0082974,0.00884322,0.0116774,0.0117752,0.0303592,0.00764594,0.0124891,0.00501106,0.0163134,0.192327,0.00921153,0.017668,0.00291893,0.0994833,0.0125611,0.016078,0.00451921,0,0,0.0164178,0,0.00937976,0.00594682,0.0293943,0.0229481,0.0225097,0.00812536,0.0093948,0.00898735,0.0259946,0.0209746,0.0146183,0.00753015,0.0222769,0.00142786,0.00856141,0.0590964,0.013049,0.00656995,0.00344605,0.00850284,0.00296969,0,0,0,0,0.0387612,0.0229842
129,0,0,0,0,0,0,0.00258952,0.0063568,0,0,0,0.123215,0.0178603,0.0172703,0,0,0.00267177,0,0.0291847,0.00205079,0.0478108,0.0797744,0.0136939,0.0128925,0.00800547,0.00890776,0.0110855,0.0113861,0.0299947,0.00722405,0.0119661,0.0051544,0.0160877,0.193643,0.00899257,0.0176833,0.0029628,0.099803,0.0124843,0.0157251,0.0042636,0,0,0.0163878,0,0.00935964,0.00576957,0.0300618,0.0230027,0.0213719,0.00769467,0.00922807,0.00901657,0.0257375,0.0202127,0.0143553,0.00654419,0.0219053,0.00165159,0.00907788,0.0584982,0.0129514,0.00635959,0.00334191,0.00763296,0.00292661,0,0,0,0,0.0378758,0.0231847
130,0,0,0,0,0,0,0.00243322,0.00638275,0,0,0,0.123419,0.0178614,0.0165309,0,0,0.00263136,0,0.0292053,0.0020516,0.0476305,0.0768503,0.0142604,0.0127518,0.00777816,0.00908759,0.0105057,0.0109709,0.0295776,0.0067695,0.0112665,0.0054308,0.0157196,0.194816,0.00875679,0.0177112,0.00310201,0.10097,0.0123971,0.0156149,0.00407505,0,0,0.0162648,0,0.00932768,0.00570846,0.0305018,0.0227831,0.0202532,0.00757054,0.0091258,0.00854139,0.0254506,0.019363,0.0137665,0.00622001,0.0216454,0.00190292,0.00945038,0.0571585,0.0128773,0.00617875,0.00321615,0.00689968,0.00284603,0,0,0,0,0.0371497,0.0231983
131,0,0,0,0,0,0,0.00231824,0.00631244,0,0,0,0.123637,0.0178315,0.0157698,0,0,0.00257672,0,0.0292283,0.00214672,0.0474408,0.0742613,0.0148457,0.0126679,0.0076238,0.00956694,0.0102024,0.0106462,0.0292609,0.0061885,0.0100616,0.0054131,0.0152319,0.195656,0.0086096,0.0177394,0.00328761,0.102736,0.0123185,0.0158295,0.00391724,0,0,0.0160095,0,0.00930756,0.00560814,0.0306196,0.0225704,0.019398,0.00772555,0.00900981,0.00794679,0.0250713,0.018506,0.0130214,0.00645173,0.0213842,0.00210267,0.00974203,0.055229,0.0127698,0.00607696,0.00308666,0.00640037,0.00275498,0,0,0,0,0.0365585,0.0231198
132,0,0,0,0,0,0,0.00229788,0.00618112,0,0,0,0.123575,0.0178325,0.0154998,0,0,0.00242069,0,0.0292488,0.00224667,0.0472672,0.0730804,0.0151827,0.0128355,0.0075467,0.0104056,0.0104672,0.010424,0.0291638,0.00524749,0.00853181,0.00464764,0.0146531,0.196633,0.00846586,0.0177548,0.00327023,0.104831,0.012279,0.0161549,0.00377167,0,0,0.015834,0,0.00932785,0.00556999,0.0304465,0.0224587,0.0188536,0.00798222,0.00881101,0.0074256,0.0245732,0.0177147,0.0123209,0.00686872,0.0211843,0.00228086,0.0100107,0.0529343,0.0127467,0.00595804,0.00305797,0.00620042,0.00268808,0,0,0,0,0.0361798,0.0230315
133,0,0,0,0,0,0,0.00263652,0.00632368,0,0,0,0.12276,0.017823,0.015274,0,0,0.00232449,0,0.0292405,0.00236341,0.0469969,0.0727505,0.0154047,0.0134008,0.00762601,0.0115369,0.01127,0.0103825,0.0291725,0.00439837,0.00683628,0.00378889,0.0140377,0.198091,0.00837202,0.0177718,0.00335823,0.106934,0.0122951,0.0165252,0.00400488,0,0,0.0166554,0,0.00939961,0.00590944,0.030054,0.0227353,0.0185086,0.00836288,0.00883487,0.00709494,0.0239386,0.0171303,0.011866,0.00714288,0.0210515,0.00248324,0.0102572,0.0506565,0.01301,0.00549048,0.00294526,0.00651614,0.00276984,0,0,0,0,0.0360689,0.0229934
134,0,0,0,0,0,0,0.00278306,0.00625218,0,0,0,0.122117,0.0177738,0.0152851,0,0,0.00220816,0,0.0292381,0.00248836,0.0464448,0.0723138,0.0156174,0.0139585,0.00780769,0.012844,0.0125032,0.0104273,0.0291644,0.00365,0.00522794,0.00321296,0.0134214,0.199273,0.00832342,0.0177593,0.00326071,0.109069,0.0121602,0.0169455,0.00383315,0,0,0.0166291,0,0.00933568,0.00568459,0.029599,0.0234574,0.0183251,0.00867868,0.00837264,0.00702233,0.0232436,0.0165106,0.0117303,0.00716873,0.0208933,0.00273598,0.0106411,0.0483828,0.0127728,0.00533201,0.00290053,0.00660625,0.00295635,0,0,0,0,0.0359309,0.0231214
135,0,0,0,0,0,0,0.00315502,0.00635797,0,0,0,0.121832,0.0177392,0.015025,0,0,0.00208563,0,0.0292458,0.00254571,0.0456857,0.0720098,0.0159374,0.0144927,0.00798215,0.0142654,0.0144538,0.0105744,0.0290886,0.00337652,0.0040233,0.00266442,0.0127974,0.199986,0.00836682,0.0177526,0.00324717,0.110929,0.0120397,0.0172075,0.00377586,0,0,0.0166563,0,0.00927103,0.00560829,0.029373,0.0246623,0.0177448,0.008966,0.00804523,0.00709895,0.0225696,0.0159177,0.0116683,0.00698283,0.0207516,0.00308376,0.0111084,0.0464471,0.0126441,0.0050306,0.002853,0.00675369,0.00327101,0,0,0,0,0.0357486,0.0233395
136,0,0,0,0,0,0,0.00359067,0.00663215,0,0,0,0.121369,0.0177094,0.0153282,0,0,0.00201224,0,0.0292608,0.00259057,0.0448699,0.0717867,0.0165024,0.015049,0.00820952,0.0158793,0.0167457,0.0108252,0.0290008,0.0035282,0.00372121,0.00240609,0.0122547,0.200853,0.00848477,0.0177526,0.00341136,0.112437,0.0119814,0.0173508,0.00378152,0,0,0.016729,0,0.00925406,0.00557331,0.0295746,0.0261434,0.0171517,0.00914302,0.00775976,0.00708582,0.0220681,0.0155135,0.0113675,0.0067955,0.0205658,0.00353498,0.0116688,0.0449062,0.0125626,0.00501386,0.00290715,0.00689579,0.00371533,0,0,0,0,0.0356157,0.0238044
137,0,0,0,0,0,0,0.00402724,0.00699969,0,0,0,0.121112,0.0176743,0.0159482,0,0,0.0020633,0,0.0292719,0.00258868,0.0440824,0.0716352,0.0173544,0.0156229,0.00847863,0.0180444,0.0197616,0.0115932,0.0287663,0.00410925,0.0043851,0.00262671,0.0117973,0.201721,0.00861851,0.0177549,0.00364432,0.113682,0.0119291,0.0174285,0.00387193,0,0,0.0168181,0,0.00922016,0.00558977,0.0302322,0.0277208,0.0166253,0.00951101,0.00754094,0.0072509,0.0218159,0.0151954,0.0110255,0.00669804,0.0203651,0.00405033,0.0123808,0.0436543,0.0124766,0.00513056,0.0029179,0.00709706,0.00421137,0,0,0,0,0.035504,0.0244437
138,0,0,0,0,0,0,0.00413184,0.00720549,0,0,0,0.121269,0.0176717,0.0176646,0,0,0.0021017,0,0.0292776,0.00258078,0.0432971,0.0710633,0.0195654,0.0163416,0.00856846,0.0225342,0.0257178,0.0143211,0.0278395,0.00669996,0.00743729,0.00391586,0.0114576,0.203299,0.00861959,0.0177588,0.00362455,0.11458,0.0119167,0.0171686,0.00384019,0,0,0.0170292,0,0.0092009,0.00575281,0.0310862,0.0289905,0.0159669,0.0101077,0.00747957,0.0075819,0.0218007,0.0145572,0.0107066,0.00660843,0.0201742,0.00447252,0.0129474,0.0427979,0.0125012,0.00515732,0.00285677,0.00735375,0.00462677,0,0,0,0,0.0350248,0.0251768
139,0,0,0,0,0,0,0.00324935,0.00692437,0,0,0,0.121479,0.0177133,0.0251027,0,0,0.00222553,0,0.0291776,0.00243392,0.0436666,0.0689869,0.0342414,0.0182189,0.00820133,0.0399681,0.0486199,0.0295885,0.0259131,0.0196064,0.0215011,0.00883358,0.0127174,0.210608,0.00844543,0.0177137,0.00361525,0.115282,0.0120431,0.0167493,0.00405641,0,0,0.0171238,0,0.0092409,0.00610267,0.0317442,0.0304734,0.0152374,0.01201,0.00867986,0.00805446,0.0222205,0.0141137,0.0103896,0.0065431,0.0200184,0.00491533,0.0135651,0.0422727,0.0129437,0.00524046,0.00285925,0.00759706,0.00468213,0,0,0,0,0.0324259,0.0261005
140,0,0,0,0,0,0,0.00352727,0.00721058,0,0,0,0.122259,0.0176943,0.0245264,0,0,0.00238866,0,0.0291863,0.00243997,0.0430102,0.0702895,0.0349656,0.0184771,0.00826591,0.0411127,0.050312,0.0300742,0.0259736,0.0200813,0.0222553,0.00958089,0.0130475,0.210034,0.00855953,0.0176997,0.00339174,0.116151,0.011972,0.0168234,0.00421511,0,0,0.0172885,0,0.00921738,0.00623065,0.0325276,0.0314794,0.0151809,0.0120951,0.00861882,0.0079794,0.0224765,0.013824,0.010076,0.00675791,0.0197401,0.00527084,0.0139568,0.0416365,0.0128943,0.00530285,0.00282369,0.0082233,0.00525175,0,0,0,0,0.0324602,0.0269263
141,0,0,0,0,0,0,0.00355454,0.00722971,0,0,0,0.12366,0.0177086,0.0240296,0,0,0.00228003,0,0.0292305,0.00254227,0.0424158,0.0724827,0.0356624,0.0186994,0.00830014,0.0421746,0.0519553,0.0303971,0.0260964,0.0205551,0.0228634,0.0102719,0.0135956,0.20892,0.0084369,0.01771,0.00319423,0.116727,0.0119537,0.0170422,0.00388148,0,0,0.0174201,0,0.00917743,0.0062473,0.0331652,0.03249,0.0150904,0.0124306,0.00814886,0.00813244,0.0227727,0.0135675,0.00972831,0.00696186,0.0195289,0.00573436,0.0143647,0.0413005,0.0129225,0.00532062,0.00277986,0.0083348,0.00547306,0,0,0,0,0.03244,0.0275571
142,0,0,0,0,0,0,0.00380272,0.00734219,0,0,0,0.124876,0.0177327,0.0235526,0,0,0.00236199,0,0.0292414,0.00258356,0.0419466,0.0744021,0.0362249,0.018942,0.00831265,0.0430506,0.0533469,0.0304635,0.0261586,0.0208921,0.0231723,0.0107909,0.0141786,0.207744,0.00836528,0.0177104,0.00325555,0.116949,0.0119359,0.0170176,0.00384368,0,0,0.0174131,0,0.00915017,0.0061436,0.0335784,0.0333691,0.014899,0.0127282,0.00788961,0.00819707,0.0230195,0.0132827,0.00946204,0.00710135,0.0193232,0.0062173,0.0146919,0.0411622,0.0129392,0.00556039,0.00290634,0.00843031,0.0056821,0,0,0,0,0.032386,0.0280799
143,0,0,0,0,0,0,0.00398486,0.0074208,0,0,0,0.12565,0.017751,0.0231135,0,0,0.0024659,0,0.029214,0.00256638,0.0415882,0.0758881,0.0367209,0.0192023,0.00834948,0.0437706,0.0545479,0.0306825,0.0259416,0.0212615,0.0234394,0.0113312,0.0146499,0.206422,0.00834708,0.0177109,0.00329442,0.116999,0.01192,0.0167379,0.00391251,0,0,0.0175023,0,0.00911793,0.0061308,0.0337023,0.034316,0.0146806,0.0128657,0.0078081,0.00815421,0.0232013,0.0130209,0.00949983,0.00719739,0.0191545,0.00651887,0.0149666,0.0411696,0.0128804,0.00552209,0.0029934,0.0085323,0.00584797,0,0,0,0,0.0323179,0.0284043
144,0,0,0,0,0,0,0.00422577,0.00754475,0,0,0,0.126058,0.017787,0.0217576,0,0,0.00254469,0,0.0291808,0.00250151,0.0413599,0.0774061,0.0369064,0.0194338,0.00836921,0.0441376,0.0554203,0.0313624,0.0257228,0.0215354,0.0235557,0.0117181,0.0151654,0.205216,0.00823864,0.0177044,0.00340118,0.117192,0.0118953,0.0164882,0.00412067,0,0,0.0173318,0,0.00909321,0.00616431,0.033567,0.0348669,0.0145776,0.0129175,0.00794463,0.0084498,0.0232656,0.0128398,0.00967235,0.0072442,0.0190367,0.00658116,0.0151048,0.0411695,0.0128462,0.00578064,0.0030319,0.00866541,0.00604817,0,0,0,0,0.0322828,0.0285784
145,0,0,0,0,0,0,0.00435263,0.00771329,0,0,0,0.127095,0.017823,0.0197871,0,0,0.00271453,0,0.0291374,0.00246021,0.041344,0.0796786,0.0370704,0.0195269,0.00843229,0.0443746,0.0561655,0.032066,0.0255982,0.0218228,0.0238478,0.012027,0.0157382,0.203403,0.00810255,0.0176624,0.00359778,0.117178,0.0119345,0.0163913,0.00426299,0,0,0.0173152,0,0.00910967,0.00629567,0.0332761,0.0353826,0.0145025,0.0130876,0.00817057,0.00865421,0.0232996,0.0126468,0.00982125,0.00739729,0.0188905,0.00674174,0.0152807,0.0413683,0.0129124,0.00604693,0.00299111,0.00872561,0.00618745,0,0,0,0,0.0322684,0.0285926
146,0,0,0,0,0,0,0.00449265,0.00781268,0,0,0,0.127962,0.0178369,0.0177281,0,0,0.00283828,0,0.0291008,0.00242822,0.0413812,0.0818241,0.0369667,0.0195579,0.00854591,0.0443986,0.0564608,0.0321428,0.0254646,0.022003,0.0244405,0.0122756,0.0162702,0.201754,0.00807433,0.0176209,0.00342312,0.117163,0.0119917,0.0162807,0.00450549,0,0,0.0173802,0,0.00913798,0.00647422,0.0332332,0.0357305,0.0144622,0.013199,0.00856385,0.0087188,0.0232446,0.0124362,0.00989129,0.00760971,0.0186685,0.00687557,0.0155315,0.041527,0.0129825,0.00607017,0.00294115,0.00882364,0.00631511,0,0,0,0,0.0322385,0.0284595
147,0,0,0,0,0,0,0.00474577,0.00780387,0,0,0,0.128563,0.0178478,0.0156226,0,0,0.00300701,0,0.0290471,0.00233859,0.0416036,0.0839322,0.0367078,0.019634,0.00876353,0.0442081,0.0564444,0.0318249,0.0252122,0.0221764,0.0250658,0.0125282,0.0167145,0.199886,0.00821925,0.0175794,0.00338721,0.117074,0.0120368,0.0160707,0.00492326,0,0,0.0173359,0,0.00915589,0.00656132,0.0334307,0.0359884,0.0144015,0.0133165,0.00911527,0.00896507,0.0231497,0.0121662,0.0100598,0.00770194,0.0184314,0.00702822,0.0156003,0.0417288,0.012999,0.00621605,0.00301722,0.00900704,0.00649026,0,0,0,0,0.0321551,0.0281515
148,0,0,0,0,0,0,0.00469272,0.00744343,0,0,0,0.129292,0.0178949,0.0131189,0,0,0.00285869,0,0.0289975,0.00230092,0.0420205,0.0864336,0.0359757,0.0196586,0.00900545,0.0435666,0.0562298,0.0311832,0.0249296,0.0221774,0.0253859,0.01275,0.0171693,0.197397,0.00816115,0.0175278,0.00350803,0.116909,0.0043519,0.0157189,0.0045184,0,0,0.0242018,0,0,0.0151308,0.0336399,0.0361062,0.0142823,0.0133073,0.00985344,0.00907655,0.0229751,0.0117827,0.0102449,0.00767139,0.0181997,0.00716928,0.0155064,0.0420794,0.0159293,0.0111799,0.00858341,0.0088104,0.00648716,0,0,0,0,0.0322055,0.0277723
149,0,0,0,0,0,0,0.00537331,0.00764313,0,0,0,0.130004,0.0179204,0.0104433,0,0,0.00297739,0,0.0289273,0.00225767,0.0425594,0.0888554,0.0348979,0.0197505,0.0092871,0.0425796,0.0558722,0.0302478,0.0247035,0.0217598,0.0253652,0.012986,0.0175913,0.194596,0.00836247,0.0175168,0.00353256,0.116706,0.0121308,0.0153733,0.00563929,0,0,0.0178328,0,0.0091681,0.00698473,0.0336072,0.0362908,0.0141441,0.0132043,0.00997436,0.00926814,0.0227233,0.0114417,0.0105482,0.00763927,0.0180194,0.00723869,0.0153891,0.0425088,0.013193,0.00607196,0.0028913,0.00930893,0.00674324,0,0,0,0,0.0323255,0.0273988
150,0,0,0,0,0,0,0.00545734,0.00746352,0,0,0,0.130788,0.0179618,0.00826436,0,0,0.00290717,0,0.0288532,0.00222994,0.0430661,0.0912751,0.0335534,0.0197758,0.00956689,0.0413643,0.0545941,0.0289819,0.0245051,0.0212962,0.0248873,0.0129137,0.0179774,0.191715,0.00851555,0.017475,0.00345948,0.116566,0.00440136,0.015046,0.00554353,0,0,0.0244662,0,0,0.0154537,0.0334259,0.0363878,0.0141386,0.0130062,0.0106983,0.00927719,0.0224162,0.0111651,0.0108682,0.00761524,0.017918,0.00717807,0.0152631,0.0428891,0.0158287,0.0115455,0.00883415,0.00929555,0.00678439,0,0,0,0,0.0325564,0.0269701
151,0,0,0,0,0,0,0.00600673,0.00774255,0,0,0,0.13122,0.0180127,0.00754527,0,0,0.00291365,0,0.0288141,0.00228906,0.0435322,0.0932794,0.0319712,0.019731,0.00987941,0.0396976,0.0525091,0.0271926,0.0244392,0.0206067,0.0240882,0.0124483,0.0183321,0.189703,0.00878845,0.0174737,0.00312403,0.116521,0.0122385,0.0149622,0.00646389,0,0,0.0168303,0,0.00919216,0.00684126,0.0332416,0.0364993,0.0140696,0.0126669,0.010716,0.00931169,0.0221023,0.0107604,0.0109882,0.00758091,0.0177512,0.00720103,0.0151834,0.0431277,0.0126426,0.00668384,0.00289003,0.00987456,0.00704035,0,0,0,0,0.0328861,0.0266589
152,0,0,0,0,0,0,0.00654092,0.00810842,0,0,0,0.133019,0.0180509,0.00889474,0,0,0.00295888,0,0.0287833,0.00230408,0.0441371,0.0966429,0.0307797,0.0197208,0.0102751,0.0380481,0.0506058,0.0252192,0.024582,0.0201435,0.0237287,0.0117876,0.0187814,0.18669,0.00902763,0.0174332,0.00285935,0.116431,0.012384,0.014439,0.00714452,0,0,0.0171214,0,0.00928917,0.0071536,0.0332151,0.0363786,0.0136844,0.0123349,0.0112607,0.00939171,0.0218823,0.0102431,0.0110111,0.00748968,0.0176015,0.00716194,0.0149579,0.0435362,0.0126787,0.0066677,0.00283246,0.0104837,0.00739981,0,0,0,0,0.0332923,0.0265185
153,0,0,0,0,0,0,0.00706966,0.00854312,0,0,0,0.135334,0.0180873,0.012472,0,0,0.00304634,0,0.0287518,0.00229947,0.0446279,0.100647,0.0296382,0.019829,0.0106461,0.0360642,0.0484756,0.0230458,0.0249123,0.0200178,0.0237519,0.0111972,0.0192566,0.183498,0.00922645,0.0174043,0.00270409,0.116586,0.0124309,0.0142402,0.00782082,0,0,0.0166304,0,0.00931527,0.00697177,0.0332617,0.0368048,0.0135836,0.0120194,0.0117847,0.00932143,0.0217016,0.00995378,0.0111882,0.0075733,0.0173509,0.00724145,0.0149581,0.0436883,0.0123596,0.00709782,0.00290372,0.0111349,0.00779092,0,0,0,0,0.0338185,0.0264441
