Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,RASI,LILC,RILC
96,0,0,0,0,0,0,0.00489926,0.00672588,0,0,0,0.118289,0.0180778,0.0133733,0,0,0.00216438,0,0.0288467,0.00278737,0.0411807,0.0879858,0.00924845,0.0121301,0.00770712,0.004749,0.00486528,0.00422232,0.0264854,0.00641572,0.0069624,0.00717432,0.0146498,0.198473,0.00631789,0.017795,0.00332322,0.0931821,0.0116683,0.0243558,0.00264088,0,0,0.0170614,0,0.00924498,0.00548609,0.0337761,0.037851,0.0314496,0.0132704,0.00565184,0.0126875,0.0391953,0.0234725,0.00945548,0.0246512,0.0240594,0.0134636,0.0256988,0.0798604,0.0128012,0.00426032,0.00131062,0.0076729,0.00681548,0,0,0,0,0.0420281,0.0242744
97,0,0,0,0,0,0,0.00552692,0.00728674,0,0,0,0.117704,0.0180734,0.0136205,0,0,0.0024169,0,0.0289024,0.0028081,0.041132,0.0874483,0.00950547,0.0121986,0.00829353,0.00488886,0.00506541,0.00420421,0.0265973,0.00670981,0.00731089,0.00735219,0.0145364,0.199183,0.00693747,0.0177758,0.00342346,0.0955856,0.0117506,0.0260347,0.00311661,0,0,0.0176033,0,0.00932589,0.0058867,0.0336754,0.0385709,0.0319575,0.0138346,0.00573105,0.0117764,0.038744,0.0245478,0.00894472,0.024994,0.0273961,0.0128372,0.0250918,0.0789234,0.0128303,0.00417867,0.00106992,0.0081535,0.00703999,0,0,0,0,0.0422109,0.0247401
98,0,0,0,0,0,0,0.00590142,0.00768405,0,0,0,0.117273,0.0180992,0.0138985,0,0,0.00246255,0,0.0289907,0.00288906,0.0411059,0.0872098,0.00979214,0.0123025,0.00883383,0.00518875,0.00542274,0.00424881,0.0267042,0.0070153,0.00767789,0.00762248,0.0144009,0.199568,0.0072966,0.0178031,0.00327482,0.0978293,0.0116688,0.0277587,0.00289994,0,0,0.0175327,0,0.00922106,0.00581043,0.0335702,0.0392686,0.0320718,0.0144203,0.00524328,0.0110394,0.0384531,0.0259006,0.00869763,0.0251159,0.0309517,0.0129416,0.0237918,0.0777667,0.0126473,0.00400154,0.0011108,0.00835816,0.00721381,0,0,0,0,0.0424505,0.0251604
99,0,0,0,0,0,0,0.00638353,0.00806786,0,0,0,0.116619,0.018096,0.0142951,0,0,0.00252861,0,0.0291037,0.00295599,0.0411881,0.0868604,0.0101174,0.0123283,0.00944231,0.00569656,0.00595156,0.00436871,0.0268441,0.00737547,0.00811378,0.00788769,0.0142007,0.200208,0.0078145,0.0178149,0.00288652,0.0992147,0.0116952,0.0290848,0.00304394,0,0,0.0177558,0,0.00923491,0.00579329,0.0335318,0.0389507,0.0311111,0.014998,0.00494656,0.0103564,0.0380777,0.0269195,0.00850225,0.025296,0.0348294,0.0146297,0.0225239,0.0763966,0.0126272,0.00402454,0.00168053,0.00863705,0.00751852,0,0,0,0,0.0427479,0.025585
100,0,0,0,0,0,0,0.00692443,0.00840199,0,0,0,0.115838,0.0180757,0.0148978,0,0,0.00266664,0,0.0292306,0.00298653,0.0413265,0.0864453,0.0105792,0.0122784,0.0101872,0.00632217,0.00654222,0.00449881,0.0269797,0.00776207,0.00861385,0.0081208,0.0139373,0.20102,0.00834951,0.017836,0.00274787,0.099966,0.0117645,0.0302499,0.00348162,0,0,0.0179452,0,0.00930229,0.00560607,0.0335416,0.0376832,0.0294956,0.0155899,0.00471473,0.00967659,0.037719,0.0277946,0.00832144,0.0260078,0.0388275,0.017632,0.0220205,0.0744456,0.0126692,0.0043108,0.00221107,0.00889816,0.00789801,0,0,0,0,0.0430529,0.0259176
101,0,0,0,0,0,0,0.00830953,0.00824229,0,0,0,0.114345,0.0180729,0.0170124,0,0,0.00278374,0,0.0293508,0.00306778,0.0436487,0.0863592,0.0123197,0.0109762,0.011208,0.00870995,0.00856209,0.00565688,0.0288809,0.00911936,0.0101033,0.00917279,0.0136967,0.202388,0.00883263,0.0178754,0.00279535,0.0577847,0.0118255,0.0307667,0.0044693,0,0,0.0182433,0,0.00934985,0.0057702,0.0387694,0.0496247,0.0361903,0.0168725,0.0045047,0.00847516,0.0337959,0.0117276,0.00994999,0.0388622,0.0425806,0.0348816,0.0465413,0.101306,0.0127863,0.00442709,0.00232932,0.00844029,0.00902262,0,0,0,0,0.0447933,0.0265653
102,0,0,0,0,0,0,0.00845461,0.00828629,0,0,0,0.113689,0.0181068,0.0174229,0,0,0.00283021,0,0.0294134,0.00299085,0.0437147,0.0861757,0.0128285,0.0108752,0.0119307,0.0091081,0.00877064,0.00577778,0.0290105,0.00950551,0.0105465,0.00931371,0.0133815,0.203058,0.0092375,0.0178688,0.00288104,0.0503289,0.0118575,0.0349059,0.00475304,0,0,0.0182852,0,0.00936039,0.00596898,0.0399937,0.0503502,0.0448787,0.0170036,0.00446333,0.00777444,0.0336391,0.0127537,0.0106178,0.0432508,0.0431315,0.0371076,0.0513229,0.107553,0.0127239,0.00464946,0.00231247,0.00845812,0.00900179,0,0,0,0,0.0450504,0.0263013
103,0,0,0,0,0,0,0.009122,0.0088784,0,0,0,0.112825,0.0180531,0.0175435,0,0,0.00335614,0,0.029452,0.00288303,0.0437863,0.0851915,0.0129526,0.0109215,0.0129324,0.00936255,0.00895909,0.00575966,0.0289667,0.00978425,0.0108295,0.00937391,0.0131526,0.204054,0.010076,0.0178402,0.00300598,0.060127,0.0119263,0.0310135,0.00621387,0,0,0.0189045,0,0.00952402,0.00646362,0.039376,0.0454395,0.0442971,0.0173522,0.00599592,0.00625986,0.0316718,0.0101892,0.00847204,0.0440549,0.0448745,0.0376043,0.0504942,0.0989532,0.0127156,0.00520083,0.00218849,0.00920265,0.00907029,0,0,0,0,0.0450577,0.0263338
104,0,0,0,0,0,0,0.0097711,0.00951369,0,0,0,0.111923,0.0179934,0.0175952,0,0,0.00389124,0,0.0294437,0.0028748,0.0438391,0.0840845,0.0132394,0.0110006,0.0138629,0.00969047,0.00944903,0.00578285,0.0289749,0.0100226,0.0110728,0.00934526,0.0130521,0.204865,0.0108519,0.0178353,0.00307896,0.068765,0.0119302,0.0288857,0.00749825,0,0,0.0190547,0,0.00960434,0.00678397,0.0388382,0.041567,0.044045,0.017776,0.0074477,0.00517069,0.0302144,0.00873192,0.00715121,0.0443633,0.0461152,0.0380383,0.0494702,0.0919379,0.0125961,0.00583776,0.00229031,0.0100428,0.00936033,0,0,0,0,0.0450937,0.0264021
105,0,0,0,0,0,0,0.0089286,0.00864569,0,0,0,0.112817,0.018077,0.0178845,0,0,0.0029859,0,0.0295076,0.00288126,0.0441156,0.0859787,0.0133329,0.0107251,0.0139761,0.00972664,0.00942298,0.00604704,0.0291173,0.0105882,0.0116147,0.00972135,0.0127688,0.20366,0.0104365,0.0178703,0.00293232,0.0733629,0.0118654,0.0282733,0.00516146,0,0,0.0183619,0,0.00930489,0.00627117,0.0384505,0.0391669,0.0432506,0.0174331,0.00471289,0.00431452,0.0291886,0.00823999,0.00668629,0.0439894,0.0464288,0.0380597,0.0485227,0.0881981,0.012739,0.00495994,0.00230405,0.00901146,0.00918013,0,0,0,0,0.0455798,0.0266891
