Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LWRB,LILC
29,0,0,0,0,0,0,0.00163623,0.00412994,0,0,0,0.0202854,0.0392336,0,0,0.00538147,0,0.0244516,0.00198665,0.049056,0.158053,0.00405634,0.0156728,0.00283239,0.00436325,0.00173684,0.00329154,0.0313027,0.011752,0.0143329,0.00526435,0.0183202,0.170896,0.00330609,0.0154847,0.0124981,0.0156215,0.0199143,0.00571812,0,0,0.00465229,0,0.0127387,0.0035471,0.036195,0.0534651,0.0266004,0.0136962,0.0169011,0.00553169,0.0122146,0.0216608,0.00941211,0.0135005,0.0171961,0.00697403,0.0176068,0.023136,0.0447598,0.0055921,0.00510727,0.00371224,0.00372407,0.00507703,0,0,0,0,0.00112005,0
30,0,0,0,0,0,0,0.00159493,0.00366875,0,0,0,0.0203903,0.0395788,0,0,0.005273,0,0.0245144,0.00189665,0.0489226,0.161855,0.00741722,0.0150883,0.00282411,0.0049399,0.00177817,0.00383228,0.0306774,0.0125567,0.0156001,0.00595665,0.0182421,0.170467,0.00316474,0.0155237,0.0136489,0.0155314,0.0204271,0.00574437,0,0,0.00492135,0,0.0126539,0.00361742,0.0361113,0.053706,0.0273101,0.0134175,0.0168955,0.00573163,0.0123265,0.0220976,0.00944485,0.0138201,0.0176365,0.00669828,0.0179844,0.0232127,0.045479,0.00589396,0.00507344,0.00367112,0.00345966,0.00489581,0,0,0,0,0.00153619,0
31,0,0,0,0,0,0,0.00147577,0.00326223,0,0,0,0.0203862,0.0374949,0,0,0.00519695,0,0.0245365,0.00194004,0.0487933,0.166728,0.0104933,0.0149371,0.00275743,0.00503201,0.00362098,0.00576062,0.0305724,0.0121339,0.0158294,0.0068549,0.0183226,0.169437,0.00295191,0.0155178,0.0149095,0.0154588,0.020789,0.00582823,0,0,0.00516675,0,0.0125991,0.00366015,0.0359369,0.0534199,0.0278106,0.0129412,0.0169443,0.00594533,0.0124743,0.0223499,0.00923769,0.0142296,0.0180351,0.00642254,0.0182707,0.0231035,0.0458679,0.00611595,0.00495994,0.00349677,0.00327905,0.00477954,0,0,0,0,0.00126303,0
32,0,0,0,0,0,0,0.00134337,0.00294013,0,0,0,0.0203212,0.0350815,0,0,0.00508986,0,0.0245124,0.00204822,0.0487498,0.170705,0.0115562,0.0152884,0.0026703,0.00549195,0.0070568,0.00896027,0.0314614,0.0109923,0.0152935,0.00744602,0.0188017,0.167454,0.00276918,0.0154954,0.0162871,0.0154179,0.0209483,0.00585686,0,0,0.00526474,0,0.0125757,0.00365442,0.0357173,0.052458,0.0281537,0.012241,0.0171844,0.00605213,0.0126237,0.0224781,0.00879151,0.0145684,0.0184157,0.00613978,0.0184933,0.0228264,0.0461363,0.00615543,0.00488797,0.00329055,0.00316127,0.00465072,0,0,0,0,0.00114946,0
33,0,0,0,0,0,0,0.00118663,0.00273607,0,0,0,0.0203012,0.0341653,0,0,0.0051187,0,0.0244827,0.00209393,0.0486786,0.173077,0.00992082,0.0159752,0.00263539,0.00693574,0.0109026,0.0128887,0.0331448,0.0101295,0.0149832,0.00803398,0.0195703,0.163951,0.00269155,0.0155033,0.0175331,0.0154316,0.0208424,0.00568359,0,0,0.00504254,0,0.0125973,0.00357688,0.0356502,0.0508126,0.0282387,0.0113483,0.0174439,0.00588734,0.012569,0.022545,0.00805801,0.0145855,0.0187658,0.00584315,0.018592,0.0224343,0.0463724,0.00593852,0.00488736,0.00334894,0.00310892,0.00453547,0,0,0,0,0.00114456,0
34,0,0,0,0,0,0,0.000995229,0.00274422,0,0,0,0.0203223,0.0343672,0,0,0.00518429,0,0.0244343,0.00201974,0.0489083,0.174877,0.0066634,0.0169066,0.0026044,0.00907308,0.0137447,0.0156376,0.0347797,0.0100987,0.0153414,0.00882751,0.0201657,0.160164,0.00266219,0.0155345,0.0185695,0.0155206,0.0203701,0.0053662,0,0,0.00442552,0,0.0127055,0.00342071,0.0355557,0.0482581,0.0281926,0.0101346,0.0174561,0.00541157,0.0122886,0.0226012,0.0069924,0.0143333,0.018912,0.00544807,0.0184141,0.0217049,0.0461378,0.00540503,0.00468131,0.0034084,0.00310916,0.00441336,0,0,0,0,0.0012335,0
35,0,0,0,0,0,0,0.000755492,0.003009,0,0,0,0.0203174,0.0342209,0,0,0.00517144,0,0.0245112,0.00184806,0.0493361,0.176908,0.00408471,0.0178723,0.00252054,0.0108319,0.0145523,0.0159085,0.0352104,0.0104073,0.0156308,0.00972994,0.0201367,0.157918,0.00257231,0.0155603,0.0201531,0.0154408,0.0197419,0.00503067,0,0,0.00432912,0,0.012603,0.00348078,0.0358956,0.0446897,0.0278657,0.00858782,0.0172511,0.00526322,0.0117217,0.0225884,0.00571094,0.0137813,0.0189114,0.00481833,0.0180303,0.0206944,0.0454294,0.00527483,0.00485224,0.00346244,0.00327268,0.00428515,0,0,0,0,0.00144767,0
36,0,0,0,0,0,0,0.000714596,0.00335443,0,0,0,0.0203493,0.0326421,0,0,0.00529073,0,0.024591,0.00166785,0.0500267,0.179668,0.00381644,0.0191204,0.00256968,0.0117859,0.0140666,0.0147781,0.0344832,0.0102992,0.0150786,0.0100843,0.0193275,0.156667,0.00257003,0.0156295,0.0244108,0.0154102,0.0179274,0.00506554,0,0,0.00420861,0,0.0125814,0.00337774,0.0371531,0.0362476,0.027075,0.00726939,0.0168817,0.00522615,0.0103542,0.0220546,0.00469077,0.0121496,0.0179326,0.00286684,0.0161336,0.0178743,0.0431604,0.00513465,0.00468888,0.00337241,0.00347595,0.00430489,0,0,0,0,0.00226018,0
37,0,0,0,0,0,0,0.00064669,0.00346709,0,0,0,0.0202134,0.0307673,0,0,0.00561342,0,0.0247582,0.00134727,0.0501005,0.182358,0.00398186,0.0202649,0.0027193,0.0118257,0.0134891,0.0136795,0.0331708,0.00987617,0.0140905,0.00993789,0.0181192,0.155097,0.00280903,0.0156799,0.027776,0.0152829,0.0170193,0.00527717,0,0,0.00448478,0,0.0124886,0.00335786,0.0379906,0.0293329,0.0269744,0.00750555,0.0167512,0.00564228,0.00966227,0.0227179,0.00714928,0.0116848,0.0173898,0.00223025,0.0150218,0.0157998,0.0420615,0.00529723,0.00455139,0.00327364,0.00349862,0.00441743,0,0,0,0,0,0
38,0,0,0,0,0,0,0.000579288,0.00349696,0,0,0,0.0201709,0.0289367,0,0,0.00542506,0,0.0246661,0.00180218,0.0492446,0.184436,0.00495642,0.0211615,0.00252865,0.0114363,0.013321,0.0131463,0.0321326,0.00921141,0.0130006,0.0094388,0.0169318,0.153554,0.00239411,0.0156128,0.0298955,0.0151699,0.0168716,0.00551448,0,0,0.00477482,0,0.0124255,0.00333864,0.0388584,0.024172,0.0269487,0.00797698,0.0167171,0.00606962,0.0093778,0.0236997,0.00941472,0.0119325,0.0166811,0.002427,0.014217,0.0138602,0.041159,0.00545251,0.004324,0.00321633,0.00354247,0.00468007,0,0,0,0,0.00154155,0
39,0,0,0,0,0,0,0.000532104,0.00344872,0,0,0,0.0200829,0.0274483,0,0,0.00534885,0,0.0247227,0.00189708,0.0483533,0.186128,0.00663937,0.0218505,0.00246552,0.0111191,0.0135079,0.0132359,0.0319893,0.0083953,0.0120052,0.00889644,0.0160654,0.152395,0.00235968,0.0156026,0.0318525,0.0150847,0.0168407,0.00567484,0,0,0.00505972,0,0.0123801,0.0033905,0.0397555,0.0200021,0.0270254,0.00848821,0.0167161,0.00641003,0.00941147,0.0247376,0.011392,0.0126151,0.0157391,0.00288349,0.0134037,0.0120788,0.0392744,0.00563282,0.0041531,0.00323513,0.00367986,0.00500297,0,0,0,0,0.00111094,0
40,0,0,0,0,0,0,0.000486605,0.00342461,0,0,0,0.0200739,0.0261798,0,0,0.0054028,0,0.0247806,0.00189519,0.047686,0.187681,0.00757856,0.0222673,0.0024397,0.0110273,0.0137607,0.0137788,0.0323248,0.00753572,0.0111863,0.00838632,0.015439,0.151547,0.00238009,0.0156456,0.0332177,0.0150501,0.0170539,0.00558037,0,0,0.00510046,0,0.0123595,0.00334732,0.0408119,0.0174494,0.026974,0.00903054,0.0167347,0.00639415,0.00966237,0.0258196,0.0130837,0.0135348,0.0146892,0.00344894,0.0123419,0.0107286,0.0357913,0.00562338,0.00405442,0.00321416,0.00387595,0.00527557,0,0,0,0,0.00119708,0
41,0,0,0,0,0,0,0.000526486,0.00351239,0,0,0,0.0200494,0.0249495,0,0,0.00547793,0,0.0248865,0.00177294,0.0473123,0.189073,0.00757075,0.0225646,0.00246763,0.0111968,0.0140039,0.0144745,0.0328687,0.00654371,0.0101313,0.00781472,0.0149445,0.150881,0.00237701,0.0156901,0.0345529,0.0151279,0.017907,0.00538174,0,0,0.00503118,0,0.0124442,0.00330874,0.0417499,0.017017,0.026801,0.00965122,0.0168298,0.00599657,0.0101344,0.0268602,0.0144649,0.0145161,0.0135331,0.00412572,0.0110623,0.00989897,0.0307156,0.0052577,0.00379185,0.00309849,0.00406118,0.00547957,0,0,0,0,0.00113756,0
42,0,0,0,0,0,0,0.000495995,0.00379585,0,0,0,0.0200585,0.0241076,0,0,0.00549178,0,0.0250377,0.00175681,0.0468298,0.189771,0.00707211,0.0226444,0.00254126,0.0111209,0.0141602,0.0146686,0.0331663,0.00559351,0.00907834,0.00721313,0.0145349,0.150659,0.00231872,0.0157259,0.0367875,0.0149078,0.0196607,0.0048409,0,0,0.00468053,0,0.0121907,0.00327564,0.0429299,0.0186648,0.0262635,0.0103942,0.0168966,0.00572349,0.0106559,0.0277973,0.0155287,0.0153461,0.0124113,0.0048612,0.00980938,0.00950852,0.0249853,0.00537151,0.00444352,0.00320149,0.00429661,0.00551439,0,0,0,0,0.00143319,0
43,0,0,0,0,0,0,0.000842275,0.00418787,0,0,0,0.0199654,0.0238702,0,0,0.00530593,0,0.0249649,0.00176119,0.0464591,0.189674,0.00627879,0.0225333,0.00279616,0.0108792,0.0139147,0.0142937,0.0328574,0.0050061,0.00825557,0.0067133,0.0142776,0.151046,0.00228143,0.0157058,0.0397425,0.0149112,0.0215252,0.00417367,0,0,0.00412152,0,0.0121622,0.00316835,0.0443135,0.0219877,0.0253377,0.0112029,0.0168093,0.00497357,0.0110168,0.0285026,0.0162554,0.0158193,0.0116644,0.00561592,0.00890389,0.00963612,0.0177989,0.00482942,0.00453277,0.00324732,0.00437828,0.005442,0,0,0,0,0.00129427,0
44,0,0,0,0,0,0,0.00129957,0.00460989,0,0,0,0.0199462,0.0241348,0,0,0.00511254,0,0.0249207,0.00148382,0.0467564,0.188973,0.00581499,0.0224669,0.00318692,0.0104581,0.0131749,0.0134626,0.0322917,0.00480206,0.00780653,0.00630516,0.0141058,0.152273,0.00236175,0.0157073,0.0431206,0.0149289,0.0238076,0.00365711,0,0,0.00359817,0,0.0121611,0.0030759,0.0453405,0.0267071,0.0241994,0.0121176,0.0167068,0.0043405,0.0110878,0.0290811,0.0166587,0.0159284,0.0111537,0.00631954,0.00823838,0.00985117,0.0140407,0.00430635,0.00453452,0.00329452,0.00459537,0.00546991,0,0,0,0,0.000956332,0
45,0,0,0,0,0,0,0.00176966,0.00506072,0,0,0,0.0200597,0.0246048,0,0,0.00507654,0,0.0249323,0.00108075,0.0474234,0.188056,0.00592488,0.022567,0.00365936,0.00989205,0.0122394,0.0124397,0.0315641,0.00484878,0.00757078,0.00590017,0.0139465,0.153678,0.00259976,0.0157614,0.0465046,0.014931,0.0260346,0.00337498,0,0,0.00321224,0,0.0121183,0.00307386,0.0459868,0.0313929,0.0229155,0.0132462,0.0167035,0.00396575,0.0108396,0.029623,0.0168576,0.0156874,0.0109577,0.00687877,0.00778277,0.00998455,0.0166017,0.00392482,0.00468122,0.00336105,0.00496792,0.00559058,0,0,0,0,0.00107693,0
46,0,0,0,0,0,0,0.00222014,0.00560286,0,0,0,0.0201486,0.024692,0,0,0.00506266,0,0.0249196,0.00105089,0.047759,0.187776,0.00621315,0.0227566,0.0041547,0.0091845,0.0113294,0.0115363,0.0307699,0.00485853,0.00733591,0.00556435,0.0136707,0.15441,0.00291229,0.015796,0.0499062,0.0149754,0.0279637,0.0032169,0,0,0.00284635,0,0.0121049,0.00309803,0.0466096,0.0346105,0.0214,0.0145697,0.0167114,0.00380746,0.0104376,0.0301774,0.0170991,0.0153072,0.0109739,0.00719716,0.00737655,0.00994195,0.0209804,0.00367003,0.00482069,0.00337018,0.00541225,0.00575193,0,0,0,0,0.00126506,0
47,0,0,0,0,0,0,0.00262607,0.00616779,0,0,0,0.0201073,0.0241225,0,0,0.00488162,0,0.0248232,0.00106183,0.0477164,0.188181,0.00656486,0.0230533,0.00461216,0.00860185,0.0109378,0.0110502,0.0299812,0.004602,0.00688538,0.00539835,0.0131718,0.154238,0.00328555,0.0157649,0.0518723,0.0150607,0.0291191,0.00316667,0,0,0.00257321,0,0.0121404,0.00310138,0.0470541,0.0364379,0.0196904,0.0161292,0.0167332,0.00380211,0.00999675,0.0307079,0.0173061,0.0148487,0.0108857,0.00737333,0.00704213,0.00995768,0.0241073,0.00362324,0.0048639,0.00337714,0.00591844,0.00593331,0,0,0,0,0.0011874,0
48,0,0,0,0,0,0,0.00295837,0.00675358,0,0,0,0.0201769,0.0232178,0,0,0.004819,0,0.0247497,0.00105471,0.0472636,0.189075,0.00697691,0.0234629,0.00493729,0.00827774,0.0107868,0.0110119,0.0292078,0.00404763,0.00626768,0.0054155,0.0125252,0.15348,0.00357827,0.0157726,0.0521334,0.0151726,0.0294381,0.00312973,0,0,0.00231029,0,0.0122187,0.00309956,0.0473026,0.0369179,0.0178765,0.0175143,0.0167719,0.00371838,0.009645,0.0312541,0.0174336,0.0145201,0.0104308,0.00753486,0.00666961,0.0100255,0.0247338,0.00369005,0.00479564,0.00343904,0.0064887,0.00610109,0,0,0,0,0.00131674,0
49,0,0,0,0,0,0,0.00303465,0.00562628,0,0,0,0.0195647,0.0235785,0,0,0.00738145,0,0.0258763,0.00256034,0.0426364,0.195313,0.00836719,0.0101828,0.00487053,0.00687624,0.00920401,0.0115099,0.0311501,0.00406991,0.00939919,0.00710217,0.00977739,0.147822,0.00213983,0.0163123,0.0480048,0.0149906,0.0267907,0.00355483,0,0,0.00438495,0,0.012177,0.00337952,0.0447769,0.0356728,0.0249142,0.0196285,0.00449248,0.00665477,0.00658671,0.0313219,0.0156471,0.0112507,0.00862661,0.00808489,0.00696992,0.010521,0.0212627,0.00525241,0.00407436,0.00334265,0.00858125,0.00241844,0,0,0,0,0.00087777,0.0383326
50,0,0,0,0,0,0,0.00291374,0.00564345,0,0,0,0.0195524,0.0231852,0,0,0.00740056,0,0.0259233,0.00264364,0.0423375,0.195296,0.00910181,0.0108853,0.00470785,0.00666328,0.00939818,0.0115844,0.0311559,0.00378288,0.00952334,0.00690677,0.00914945,0.148136,0.00159257,0.0163576,0.0443467,0.0149535,0.0256078,0.00350502,0,0,0.00386661,0,0.0121881,0.00336409,0.0444886,0.0359291,0.0238437,0.0209158,0.00447833,0.00651571,0.00681315,0.0318819,0.0158494,0.0114075,0.00838319,0.00833686,0.00710376,0.0113394,0.0165365,0.00455531,0.00454493,0.00341712,0.00814379,0.00265862,0,0,0,0,0.000871932,0.0385005
51,0,0,0,0,0,0,0.00302665,0.0054495,0,0,0,0.0195413,0.0229315,0,0,0.00745805,0,0.0259547,0.00272414,0.0423187,0.19553,0.00899773,0.01153,0.00462608,0.00633503,0.00916192,0.0113049,0.0314053,0.00336511,0.00917127,0.00659851,0.00888465,0.147948,0.00146904,0.0163593,0.0410973,0.0149991,0.0251015,0.00361453,0,0,0.0035963,0,0.0122058,0.00335922,0.0441325,0.0357971,0.0230276,0.0219831,0.00455616,0.00645537,0.00720683,0.0324048,0.0160539,0.0118114,0.00795285,0.00861458,0.00705608,0.0117887,0.0126951,0.00413744,0.00462999,0.00340387,0.00748056,0.00280604,0,0,0,0,0.00038767,0.0388139
52,0,0,0,0,0,0,0.00312185,0.00537286,0,0,0,0.0195768,0.0234052,0,0,0.00755842,0,0.0260031,0.00278619,0.0425661,0.195134,0.0089195,0.0121324,0.00465005,0.00588557,0.00869692,0.0108333,0.0315152,0.0030245,0.00869597,0.00641337,0.00871348,0.148328,0.00139216,0.016375,0.0377909,0.0150399,0.024401,0.00373153,0,0,0.00336529,0,0.0122332,0.00333627,0.0439156,0.0357709,0.0224807,0.0229088,0.00458825,0.00638883,0.00778648,0.0327566,0.0162234,0.0123932,0.00752939,0.00890175,0.00698364,0.0118692,0.00892653,0.00376203,0.00465449,0.00344392,0.00693532,0.0028902,0,0,0,0,0.00080479,0.0390556
53,0,0,0,0,0,0,0.00315623,0.0054405,0,0,0,0.0195036,0.0239307,0,0,0.00771896,0,0.0260517,0.00286307,0.042968,0.194642,0.00894551,0.0124828,0.00470345,0.00547117,0.00811598,0.0102225,0.031774,0.00282035,0.0081282,0.00635183,0.0087167,0.148655,0.00136815,0.016382,0.0349612,0.0150914,0.0237587,0.00380131,0,0,0.00318879,0,0.0122886,0.00334341,0.0437886,0.0359342,0.0221763,0.0237274,0.00448585,0.00634986,0.00841256,0.0329606,0.0164001,0.0131233,0.0071441,0.00920295,0.00700733,0.0116996,0.00595582,0.00354923,0.00467042,0.00352841,0.00666951,0.00288258,0,0,0,0,0.000693664,0.0392778
54,0,0,0,0,0,0,0.00315006,0.00559075,0,0,0,0.0194306,0.0242561,0,0,0.00791185,0,0.0261424,0.00295509,0.0434657,0.194218,0.00931084,0.0125304,0.00484172,0.00522371,0.00756669,0.00960707,0.031904,0.00274203,0.00752611,0.0064254,0.0087635,0.148694,0.00147014,0.0164041,0.0327735,0.0151197,0.0232819,0.00382701,0,0,0.00311022,0,0.0123452,0.00328778,0.0435658,0.0363745,0.0220292,0.0244146,0.00427917,0.00637679,0.00911053,0.0331061,0.0166552,0.0139393,0.00688616,0.00943798,0.00718088,0.01148,0.0040858,0.00354863,0.00466876,0.00353191,0.00657786,0.00279636,0,0,0,0,0.000538852,0.0395157
55,0,0,0,0,0,0,0.0031312,0.00586605,0,0,0,0.0193838,0.024469,0,0,0.00816191,0,0.0262138,0.0030957,0.0440114,0.194038,0.00997396,0.0122934,0.0050549,0.00519721,0.00712691,0.00905616,0.0318396,0.00283493,0.00701471,0.00660516,0.0087507,0.148289,0.00168173,0.0164206,0.0314707,0.0151297,0.0231509,0.00385404,0,0,0.00311613,0,0.0123952,0.00328097,0.0431997,0.0370069,0.0220127,0.0248775,0.0040863,0.00649768,0.00987909,0.0331608,0.0170003,0.0148634,0.00680352,0.00958032,0.00733859,0.0112264,0.00420938,0.00370437,0.00460454,0.00349176,0.00662014,0.00262846,0,0,0,0,0.00106491,0.0398541
56,0,0,0,0,0,0,0.00320512,0.00604781,0,0,0,0.0193453,0.0241883,0,0,0.00845591,0,0.0262659,0.0032232,0.044639,0.193899,0.0106179,0.0118991,0.00522904,0.0052401,0.00684626,0.00864389,0.0317898,0.0031782,0.00676168,0.0067995,0.00872276,0.148015,0.00189674,0.0164363,0.0310576,0.0150125,0.0230036,0.0039673,0,0,0.0035017,0,0.0122973,0.00340833,0.0428177,0.0376581,0.0221638,0.0250275,0.0039875,0.0069725,0.0106565,0.0332302,0.0171745,0.0158359,0.00697116,0.00954054,0.00755289,0.0108974,0.0040242,0.00409489,0.00485064,0.00354289,0.00669554,0.00251909,0,0,0,0,0.00110475,0.0403315
57,0,0,0,0,0,0,0.00331804,0.00633866,0,0,0,0.0193163,0.0237382,0,0,0.00871265,0,0.0262974,0.00333115,0.0452903,0.194182,0.0108846,0.0114105,0.00546279,0.00545393,0.00670799,0.0083598,0.0316473,0.00353679,0.00664976,0.00702585,0.00863095,0.147363,0.00213171,0.0164465,0.0312388,0.0149764,0.0229916,0.00413355,0,0,0.00366084,0,0.0122921,0.00350156,0.0424121,0.0382766,0.0224109,0.0248668,0.00408079,0.00728014,0.0114303,0.0333294,0.0172237,0.0166767,0.00730586,0.00942193,0.00790615,0.0107224,0.00478705,0.00447211,0.00491364,0.00358123,0.00705527,0.00247047,0,0,0,0,0.00115016,0.0409668
58,0,0,0,0,0,0,0.00346302,0.00662074,0,0,0,0.0193242,0.0232292,0,0,0.00898927,0,0.0263216,0.00340154,0.0458303,0.194571,0.0108525,0.0108873,0.00570527,0.0056341,0.00662553,0.00808012,0.0315664,0.00388332,0.0067381,0.00731494,0.00855419,0.146735,0.00235499,0.0164683,0.0315504,0.0149794,0.0227987,0.00438425,0,0,0.00387504,0,0.0123193,0.00352821,0.0419572,0.0388666,0.0227849,0.0244312,0.0044058,0.00756178,0.012106,0.0333277,0.0170687,0.0172886,0.00762447,0.00933108,0.00832565,0.010798,0.00611752,0.00484857,0.00496838,0.00359466,0.00754782,0.00248573,0,0,0,0,0.00121307,0.0417102
59,0,0,0,0,0,0,0.0036373,0.00691269,0,0,0,0.0193556,0.022734,0,0,0.00923537,0,0.0263453,0.00348147,0.0461142,0.194898,0.0104794,0.0104448,0.00595622,0.005576,0.00649328,0.00771238,0.0315811,0.00425583,0.00696259,0.00759808,0.00851319,0.146165,0.00254786,0.0164942,0.0321666,0.0149739,0.0224285,0.00470464,0,0,0.00403825,0,0.0123357,0.00355182,0.0414958,0.0390785,0.0232432,0.0237776,0.00494659,0.00779364,0.012516,0.033155,0.016605,0.0176364,0.00783993,0.009243,0.00869326,0.0109983,0.00787555,0.00514605,0.00495804,0.00364855,0.00815648,0.00257558,0,0,0,0,0.00107928,0.0425487
60,0,0,0,0,0,0,0.00382212,0.00721561,0,0,0,0.0193089,0.0223346,0,0,0.00949083,0,0.0263138,0.00363577,0.0461688,0.194946,0.00996291,0.0101897,0.00617612,0.00533987,0.00624165,0.00734969,0.0313302,0.00459841,0.007041,0.00777658,0.00846166,0.145756,0.00264168,0.0164862,0.0325176,0.0149667,0.0218253,0.00500738,0,0,0.0041512,0,0.012334,0.00361241,0.0411079,0.0388386,0.0237537,0.022888,0.00562818,0.0079743,0.0128013,0.0328839,0.0158879,0.0176859,0.00800574,0.00927959,0.00894993,0.0114083,0.00965648,0.0052506,0.00488389,0.00366103,0.00885457,0.00273926,0,0,0,0,0.000692481,0.0433695
61,0,0,0,0,0,0,0.00396003,0.00750791,0,0,0,0.0193007,0.0222748,0,0,0.00969938,0,0.0262408,0.00376891,0.0459702,0.194905,0.0094318,0.0100823,0.0063892,0.00498022,0.00583835,0.0069289,0.0308713,0.00484907,0.0069296,0.0079744,0.00836669,0.14533,0.00271814,0.0164771,0.032687,0.0150066,0.0210659,0.00524172,0,0,0.00417724,0,0.0123762,0.00365065,0.0408093,0.0382585,0.0242791,0.021992,0.00623303,0.00804151,0.0129569,0.032547,0.0152419,0.017485,0.00813225,0.00944426,0.00954116,0.0117935,0.011573,0.00518873,0.00485623,0.00366386,0.00960257,0.00290183,0,0,0,0,0.000320674,0.0440862
62,0,0,0,0,0,0,0.0040692,0.00765539,0,0,0,0.0193415,0.0223515,0,0,0.00978917,0,0.0261549,0.00383866,0.0456931,0.194472,0.00913707,0.0100771,0.00649947,0.00436797,0.00530858,0.0063803,0.0306859,0.00515533,0.00691356,0.00814308,0.00837712,0.145694,0.00272366,0.016481,0.0324893,0.0150906,0.0199631,0.00541046,0,0,0.00423488,0,0.0124496,0.00364805,0.0404426,0.0374064,0.0246693,0.0209927,0.00675207,0.00796486,0.0129595,0.0321433,0.0145849,0.017126,0.00831325,0.00965357,0.00977489,0.0121225,0.0129177,0.00514603,0.00467646,0.00362016,0.0101509,0.00297804,0,0,0,0,0.000740115,0.0445803
63,0,0,0,0,0,0,0.00410451,0.00753154,0,0,0,0.0193346,0.0223281,0,0,0.0096506,0,0.0261653,0.00384526,0.0454559,0.194162,0.0092092,0.0102213,0.00642445,0.00376651,0.00489401,0.00588194,0.0306127,0.00542314,0.00686816,0.00826367,0.00845526,0.145976,0.00260948,0.0164567,0.0322402,0.0150564,0.0187025,0.00546627,0,0,0.00438847,0,0.0123834,0.00363853,0.0399986,0.036455,0.0248792,0.0198347,0.00719056,0.00811477,0.0128901,0.0317708,0.013829,0.0165527,0.00860795,0.00997415,0.00971863,0.0125723,0.0141705,0.00514193,0.00490655,0.00361704,0.0102847,0.0030049,0,0,0,0,0.00111762,0.0448571
64,0,0,0,0,0,0,0.00410927,0.00751161,0,0,0,0.0193987,0.0220164,0,0,0.00942168,0,0.0261641,0.00376537,0.0452102,0.193957,0.00940664,0.0104282,0.00633456,0.0033109,0.00455867,0.00549348,0.0304607,0.00561365,0.00677277,0.00825334,0.00852757,0.146016,0.00246554,0.016461,0.0318966,0.0151034,0.017437,0.00544202,0,0,0.00436868,0,0.012408,0.0036516,0.0396877,0.035637,0.0249567,0.0186996,0.00744579,0.0080529,0.0127083,0.031479,0.0129807,0.0157673,0.00900969,0.010481,0.00953467,0.0131014,0.0157661,0.00503321,0.00488242,0.00361813,0.0103165,0.00316211,0,0,0,0,0.00106047,0.0448797
65,0,0,0,0,0,0,0.0040558,0.00740189,0,0,0,0.0194919,0.0216726,0,0,0.00916972,0,0.0261141,0.00368586,0.0449881,0.193766,0.00968757,0.0106618,0.00620956,0.00298137,0.00430939,0.00521884,0.0301392,0.00578325,0.00676967,0.00841901,0.00853293,0.146023,0.00234073,0.0164525,0.0313464,0.015134,0.0161839,0.00536954,0,0,0.00427679,0,0.0124106,0.0036545,0.0395717,0.0352926,0.0249424,0.0176495,0.00754457,0.00792953,0.0123596,0.0313659,0.0120457,0.0147641,0.00953966,0.0111854,0.0095708,0.0137392,0.018024,0.00487206,0.00493513,0.00364105,0.0101379,0.00328549,0,0,0,0,0.000936167,0.0446451
66,0,0,0,0,0,0,0.00398528,0.00728599,0,0,0,0.0194764,0.0214935,0,0,0.0089615,0,0.0260157,0.00364314,0.0448358,0.193541,0.00979266,0.0108656,0.00598142,0.00293281,0.0040643,0.00503221,0.0297282,0.00590112,0.00676597,0.00860062,0.00850686,0.146087,0.00215532,0.016395,0.0312537,0.0151737,0.0150281,0.00526579,0,0,0.00415432,0,0.012431,0.00364575,0.0395321,0.0350365,0.0248448,0.0166384,0.00775389,0.00776487,0.0120048,0.0311654,0.0111362,0.0137623,0.00995856,0.0119604,0.00923489,0.0141951,0.0204084,0.00470529,0.00496669,0.00364879,0.00977453,0.00327698,0,0,0,0,0.00102878,0.0441998
67,0,0,0,0,0,0,0.00393654,0.00718353,0,0,0,0.0194594,0.0213799,0,0,0.00869022,0,0.0259483,0.00355994,0.0447013,0.19332,0.00961734,0.011007,0.0058383,0.00292819,0.0038429,0.00484007,0.0295288,0.00598659,0.00676015,0.00886056,0.00854504,0.146236,0.00205899,0.0163457,0.0314478,0.0151802,0.0139967,0.00516201,0,0,0.00410808,0,0.0124236,0.00359505,0.0396128,0.0348767,0.0247677,0.0156221,0.00795181,0.00765097,0.0116019,0.030879,0.0102168,0.0127311,0.0102347,0.0128936,0.00884261,0.014584,0.0227957,0.00452685,0.00505528,0.00364961,0.00922388,0.00324172,0,0,0,0,0.00113987,0.0436135
