Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LWRB,LILC
9,0,0,0,0,0,0,0.00291362,0.00757147,0,0,0,0.0195556,0.0179396,0,0,0.00763515,0,0.02513,0.00195194,0.0472232,0.176833,0.0102592,0.0160699,0.00400376,0.0121458,0.0121894,0.00824033,0.0331832,0.00652351,0.00720082,0.00636226,0.0148095,0.169825,0.00750021,0.0156503,0.0132337,0.0151479,0.00592501,0.00561503,0,0,0.0038394,0,0.0121875,0.00390519,0.0385832,0.0268357,0.0212361,0.0127435,0.0169686,0.00668301,0.00701725,0.0223864,0.00382928,0.00723226,0.00812077,0.0127823,0.00686378,0.0130414,0.0269617,0.00430465,0.00623105,0.0039535,0.00686086,0.00567191,0,0,0,0,0,0
10,0,0,0,0,0,0,0.00282144,0.00755454,0,0,0,0.0195983,0.0196981,0,0,0.00750969,0,0.0250281,0.00186718,0.0473422,0.174467,0.0092877,0.0161858,0.00388999,0.0112458,0.0112661,0.00724035,0.0329588,0.00694846,0.00792262,0.00546402,0.0152814,0.172117,0.00690428,0.0156086,0.0125146,0.0151781,0.00592246,0.00565013,0,0,0.00389094,0,0.0122081,0.00388985,0.0382762,0.0272232,0.0211554,0.0126663,0.016948,0.00656532,0.00732783,0.0220845,0.00378552,0.00755279,0.00802984,0.0126791,0.00698013,0.012988,0.0276794,0.00433351,0.00623761,0.00405287,0.00676359,0.00572143,0,0,0,0,0,0
11,0,0,0,0,0,0,0.00271344,0.0075602,0,0,0,0.0196002,0.0217454,0,0,0.00733169,0,0.0249957,0.0017898,0.0474525,0.172214,0.00857945,0.0163118,0.00373989,0.0102208,0.0102706,0.00597478,0.0326714,0.0073603,0.00858956,0.00446986,0.0156126,0.173748,0.00588478,0.0155666,0.0120631,0.0151991,0.00602775,0.00568731,0,0,0.00392724,0,0.0122363,0.0038497,0.0381069,0.0277524,0.0210848,0.0126177,0.0168547,0.00645468,0.00752543,0.0218612,0.00370942,0.00782293,0.00798262,0.0125634,0.00713973,0.0130501,0.028364,0.00436249,0.0062424,0.00401242,0.00668044,0.00575545,0,0,0,0,0,0
12,0,0,0,0,0,0,0.00258966,0.00744425,0,0,0,0.0198197,0.0236236,0,0,0.00668247,0,0.0248419,0.0016885,0.0475587,0.170567,0.00814972,0.0165492,0.00360862,0.00892883,0.00890262,0.00432005,0.0323422,0.00773066,0.00920635,0.00343749,0.0158279,0.174775,0.00554105,0.0155532,0.0112163,0.0153598,0.00627508,0.00566216,0,0,0.00343691,0,0.0124265,0.00362318,0.0380845,0.0285579,0.0210226,0.0125467,0.016758,0.0061523,0.00764226,0.0217449,0.00361648,0.00800557,0.00810955,0.0123852,0.00743363,0.0132961,0.0291257,0.00446626,0.00592453,0.00394672,0.00658508,0.00578356,0,0,0,0,0.000786443,0
13,0,0,0,0,0,0,0.00255904,0.00730335,0,0,0,0.0198127,0.0250163,0,0,0.00681751,0,0.0249276,0.00162171,0.0476918,0.169015,0.00818031,0.0169413,0.00360529,0.00761056,0.00780832,0.0021972,0.0320154,0.00812549,0.00964732,0.00262099,0.0159487,0.175833,0.0051078,0.015695,0.0108615,0.015377,0.00671718,0.00573551,0,0,0.00366845,0,0.012452,0.00365417,0.0380917,0.0296994,0.0210136,0.0123384,0.0167412,0.00618149,0.00772085,0.0216857,0.00351246,0.00800427,0.00833679,0.0121248,0.00788796,0.013686,0.0297462,0.00447521,0.00604229,0.00394767,0.00649469,0.00587245,0,0,0,0,0,0
14,0,0,0,0,0,0,0.00249398,0.00714342,0,0,0,0.0199515,0.0262676,0,0,0.00611824,0,0.0246879,0.00171639,0.0477697,0.168098,0.00798182,0.0174522,0.00349122,0.00628659,0.00718755,0.000680388,0.0318722,0.00856405,0.0100941,0.00255605,0.0161673,0.17664,0.0048276,0.0156352,0.0104416,0.015373,0.00722782,0.00579274,0,0,0.00388639,0,0.0124285,0.00371666,0.0381126,0.0309684,0.0209694,0.012113,0.0166583,0.00615324,0.0077666,0.0216273,0.00343665,0.00791372,0.00873438,0.0118437,0.00845734,0.0141111,0.0305991,0.0045649,0.00615601,0.00397716,0.00637129,0.00595659,0,0,0,0,0.000937559,0
15,0,0,0,0,0,0,0.00246564,0.00700979,0,0,0,0.0199206,0.0278026,0,0,0.00575883,0,0.0246969,0.00178624,0.0478149,0.16746,0.00774175,0.0180251,0.00332406,0.00533909,0.00765472,0.00317674,0.0319378,0.00911874,0.0110221,0.00361834,0.0165743,0.177407,0.00691264,0.0155718,0.0100854,0.0153841,0.00790811,0.00588537,0,0,0.00404142,0,0.0124083,0.00381624,0.0381204,0.0325313,0.0209112,0.0119299,0.0164998,0.00611427,0.00779272,0.0215154,0.00345969,0.0079643,0.00915971,0.0115913,0.00889851,0.0146835,0.0315448,0.00474986,0.00623059,0.00403109,0.00625321,0.00602757,0,0,0,0,0.00102388,0
16,0,0,0,0,0,0,0.0024186,0.00695582,0,0,0,0.0199383,0.0295962,0,0,0.00568531,0,0.0247519,0.00184386,0.0478955,0.167249,0.00764976,0.0186099,0.0032497,0.00515998,0.00932679,0.00621979,0.0322853,0.00988553,0.0121757,0.00532322,0.0172005,0.177874,0.00814832,0.0155619,0.00965007,0.0154539,0.00868839,0.00594574,0,0,0.00418106,0,0.0124678,0.00383007,0.0381185,0.0342893,0.0208882,0.0117993,0.016331,0.00608406,0.00784153,0.0213564,0.00352488,0.00836167,0.00958564,0.0113738,0.00935929,0.0153475,0.0325623,0.00491093,0.00622969,0.00403535,0.00616613,0.00606283,0,0,0,0,0.00110138,0
17,0,0,0,0,0,0,0.00234598,0.00687528,0,0,0,0.0199412,0.0311553,0,0,0.00580021,0,0.0247161,0.00192831,0.0480291,0.167789,0.00755876,0.0192564,0.00313665,0.00595607,0.011775,0.00941576,0.0329654,0.010956,0.0135062,0.00740155,0.0180015,0.177556,0.00723083,0.0155367,0.00919132,0.0154758,0.00938996,0.00604084,0,0,0.00430006,0,0.0124975,0.00379399,0.0381606,0.0359123,0.0209051,0.0116844,0.0162093,0.0060603,0.0080081,0.0211804,0.00361372,0.00879093,0.00999149,0.0112112,0.00987609,0.0159314,0.0337152,0.00501614,0.00619964,0.00398584,0.0060814,0.00608837,0,0,0,0,0.00105622,0
18,0,0,0,0,0,0,0.0022725,0.00684259,0,0,0,0.019996,0.0321891,0,0,0.00590935,0,0.0246354,0.00194539,0.0482576,0.168892,0.0073771,0.0199866,0.00313036,0.00743979,0.0145776,0.012621,0.0335389,0.0121947,0.0149956,0.00955219,0.0188705,0.176134,0.00536259,0.0155173,0.00886553,0.0154893,0.0101846,0.0061896,0,0,0.00431988,0,0.0125345,0.00377725,0.0381736,0.0376297,0.020916,0.0115655,0.0161733,0.00602511,0.00826115,0.0209561,0.00377691,0.0091168,0.0104351,0.0109437,0.0104702,0.0165374,0.0346835,0.00505557,0.0061075,0.00392009,0.00601632,0.00611618,0,0,0,0,0.00111916,0
