Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LANK,x73,LILC
18,0,0,0,0,0,0,0.00242387,0.00807061,0,0,0,0.110709,0.0188632,0,0,0.00428461,0,0.0249334,0.00186426,0.0492062,0.0817362,0.0119918,0.0169223,0.00479021,0.0142251,0.0145765,0.0134363,0.0295223,0.00407639,0.00748954,0.0030202,0.0146544,0.119882,0.00378849,0.0167112,0.0155713,0.015137,0.00658223,0.00391432,0,0,0.00434017,0,0.0126214,0.0029192,0.0400075,0.0256768,0.0172004,0.0127311,0.0128572,0.00608125,0.0046345,0.021346,0.00422619,0.00469744,0.0087891,0.0175414,0.00559181,0.0141757,0.0240702,0.00382195,0.00291526,0.00242657,0.00852363,0.00489224,0,0,0,0.0182031,0,0
19,0,0,0,0,0,0,0.0021781,0.00762036,0,0,0,0.110053,0.0189061,0,0,0.00422361,0,0.0249454,0.00187172,0.0491171,0.0810297,0.0123699,0.0162826,0.00487845,0.0151855,0.0158738,0.0139756,0.0298926,0.00396085,0.00750354,0.00364223,0.0147292,0.118979,0.00371473,0.0167319,0.0151742,0.0151388,0.00644782,0.00371908,0,0,0.00453853,0,0.0126536,0.00292236,0.0399622,0.0260692,0.0178983,0.0131527,0.013155,0.00608032,0.00470087,0.0214777,0.00394994,0.00465761,0.00874373,0.0172413,0.00577038,0.0144413,0.0248635,0.0040544,0.00281997,0.00233273,0.00838009,0.00485457,0,0,0,0.0182166,0,0
20,0,0,0,0,0,0,0.00199501,0.00724174,0,0,0,0.109755,0.018885,0,0,0.00408875,0,0.0249495,0.00183088,0.0488169,0.0804096,0.0125641,0.0157796,0.00504844,0.0162676,0.0172893,0.0143733,0.0301333,0.00405938,0.00749447,0.0042568,0.0147952,0.118485,0.00362268,0.0167294,0.0147306,0.0151482,0.00633194,0.00357169,0,0,0.00461809,0,0.0126692,0.00296216,0.0397756,0.0263518,0.0184987,0.0132419,0.0134724,0.00606272,0.00470514,0.0216099,0.00368639,0.0045291,0.00870701,0.0171235,0.00601942,0.0145809,0.0256601,0.00424734,0.00272506,0.00224557,0.0083753,0.00477343,0,0,0,0.0188622,0,0
21,0,0,0,0,0,0,0.00171462,0.00689868,0,0,0,0.10941,0.0188231,0,0,0.00394717,0,0.0248859,0.00172777,0.0484839,0.0799427,0.0125721,0.0153153,0.00510077,0.0174449,0.0188257,0.0148201,0.0303842,0.00439643,0.00736388,0.00489104,0.0148963,0.118599,0.00351138,0.0166872,0.0139522,0.0152888,0.00671019,0.00329022,0,0,0.00439489,0,0.0128169,0.00259718,0.0397926,0.0268551,0.0189734,0.0133068,0.0136765,0.00573368,0.00453964,0.0217272,0.00344915,0.00430032,0.00871181,0.0171594,0.00643744,0.0146937,0.0262333,0.00424732,0.00215409,0.00205366,0.00840793,0.00455591,0,0,0,0.0193463,0,0
22,0,0,0,0,0,0,0.00165307,0.00669921,0,0,0,0.108853,0.0188264,0,0,0.00385983,0,0.0248023,0.00164647,0.0482244,0.079713,0.0125847,0.0148722,0.00505868,0.0185386,0.0202402,0.0152539,0.0306638,0.00496794,0.00719021,0.00559551,0.0150837,0.118987,0.00327238,0.0166593,0.013125,0.015193,0.00708506,0.0033697,0,0,0.00471949,0,0.0127387,0.00286328,0.0399224,0.0271316,0.0193796,0.0135755,0.0138579,0.00588776,0.00424603,0.0219617,0.00311403,0.00405789,0.00862526,0.0171254,0.00657359,0.0146493,0.0265194,0.00433531,0.00238529,0.00219576,0.00858528,0.00435778,0,0,0,0.0195228,0,0
23,0,0,0,0,0,0,0.00165062,0.00659531,0,0,0,0.108371,0.0188978,0,0,0.00391707,0,0.0247043,0.00176194,0.0480218,0.0795744,0.0125703,0.0145056,0.00500162,0.0193737,0.0213732,0.0155731,0.0310156,0.00569334,0.00709591,0.00627452,0.0152947,0.119398,0.00415122,0.0166671,0.0126348,0.0152038,0.00718865,0.00340288,0,0,0.00471974,0,0.0127561,0.00285698,0.0400436,0.0270609,0.0196611,0.0136518,0.0140693,0.00586079,0.00411344,0.0222884,0.00281187,0.00391724,0.00837656,0.0171416,0.00581517,0.0143333,0.0267176,0.00430305,0.00213884,0.00211392,0.00863002,0.00411402,0,0,0,0.0192135,0,0
24,0,0,0,0,0,0,0.0017224,0.00646834,0,0,0,0.107867,0.0189456,0,0,0.00393495,0,0.0245872,0.00175115,0.0478253,0.0796785,0.0126269,0.0142187,0.00504031,0.0199732,0.0222435,0.01578,0.0314842,0.00642993,0.00708801,0.0068855,0.0155467,0.120188,0.00492114,0.0166422,0.0120554,0.0152376,0.00709762,0.00348017,0,0,0.00456678,0,0.012776,0.00277686,0.0400831,0.0268276,0.0198438,0.0136725,0.0143219,0.0058002,0.00413227,0.0225646,0.00266402,0.00392813,0.00800615,0.0171035,0.00595612,0.0140006,0.0270926,0.00423765,0.00209181,0.00200173,0.00848141,0.00389117,0,0,0,0.0184506,0,0
25,0,0,0,0,0,0,0.00173105,0.00633642,0,0,0,0.10728,0.0189207,0,0,0.00386699,0,0.0245112,0.00169747,0.0476398,0.0800942,0.0126477,0.0138979,0.00502617,0.0203459,0.0227917,0.0158455,0.0320255,0.0070893,0.00714967,0.00743183,0.0158858,0.121504,0.00514127,0.0165979,0.0115451,0.0152746,0.00722943,0.0035243,0,0,0.00440409,0,0.0128094,0.00268583,0.039998,0.0268493,0.0199627,0.0137779,0.0145066,0.0056693,0.00423714,0.0227594,0.00272092,0.00407943,0.00773295,0.017028,0.00626832,0.0141016,0.0272069,0.00410907,0.00204798,0.00198729,0.0084173,0.00364338,0,0,0,0.0174317,0,0
26,0,0,0,0,0,0,0.00172619,0.00641908,0,0,0,0.106739,0.0188845,0,0,0.00377002,0,0.0244637,0.00165914,0.047464,0.0804075,0.0125143,0.0135446,0.00479055,0.0204759,0.0229493,0.0158248,0.0325639,0.00765947,0.00716378,0.00781759,0.0162523,0.123006,0.00505159,0.0165675,0.0115522,0.0152772,0.00726846,0.00355818,0,0,0.0043867,0,0.0128147,0.00277838,0.0397733,0.0269613,0.0200318,0.0140337,0.0145744,0.00559531,0.00445902,0.0228241,0.00291394,0.00439669,0.00750441,0.0169991,0.0063224,0.0141354,0.0273755,0.00399911,0.00210408,0.00203345,0.00831948,0.00338548,0,0,0,0.0162885,0,0
27,0,0,0,0,0,0,0.00171408,0.00667109,0,0,0,0.105973,0.018868,0,0,0.00352691,0,0.024426,0.00155547,0.0473312,0.0807129,0.0121032,0.0132237,0.00444628,0.0203265,0.0228157,0.015667,0.0329686,0.00811895,0.00706624,0.00794024,0.0166594,0.12457,0.00388533,0.0165438,0.0107587,0.0152939,0.00737741,0.00358885,0,0,0.00435822,0,0.0128319,0.00286055,0.0395392,0.0267386,0.0200609,0.0140116,0.0145354,0.00552125,0.00479701,0.0228484,0.00307467,0.00494377,0.00743054,0.0170244,0.00637444,0.0139346,0.0279542,0.00392578,0.00200332,0.00196774,0.00814859,0.00314888,0,0,0,0.0149291,0,0
