Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LANK,x73,LILC
38,0,0,0,0,0,0,0.00189032,0.00649781,0,0,0,0.101557,0.0188542,0,0,0.00133138,0,0.0235525,0.000591622,0.0489768,0.0636806,0.00281269,0.0180537,0.00261374,0.00284155,0.00619912,0.00638959,0.0334425,0.0106418,0.0106549,0.00912403,0.02196,0.126584,0.00288182,0.0165287,0.00451307,0.015672,0.0101871,0.00446002,0,0,0.00474424,0,0.0134435,0.00204649,0.0390147,0.0323111,0.0203792,0.0140501,0.0140047,0.00496743,0.00643082,0.0210997,0.00277709,0.00708118,0.00949178,0.0138575,0.0094927,0.0159755,0.0365413,0.00425935,0.000546711,0.000868496,0.00721952,0.00497731,0,0,0,0.00857968,0,0
39,0,0,0,0,0,0,0.00193253,0.00641659,0,0,0,0.102457,0.0189057,0,0,0.00136218,0,0.0234824,0.000634603,0.0492395,0.0609114,0.00368918,0.018788,0.00245479,0.00240851,0.00774529,0.00931253,0.0342246,0.0117007,0.0117716,0.0107462,0.0230824,0.1249,0.00272757,0.0165211,0.00482922,0.0157511,0.0109001,0.00465379,0,0,0.00480619,0,0.0135366,0.00210675,0.039176,0.0342098,0.020405,0.0138867,0.0140069,0.00496481,0.0063922,0.0206711,0.00277139,0.00704845,0.0100747,0.0133371,0.0101138,0.0166967,0.037522,0.00438721,0.000558146,0.000836706,0.00719107,0.00499181,0,0,0,0.00880065,0,0
40,0,0,0,0,0,0,0.00194292,0.00639878,0,0,0,0.104235,0.0189374,0,0,0.00133649,0,0.0233976,0.000687854,0.0494491,0.0585721,0.00601343,0.0194617,0.00218701,0.00405468,0.0093193,0.0114253,0.0347919,0.0124266,0.0123094,0.0121391,0.0241187,0.1232,0.00252051,0.0165083,0.00491316,0.0157833,0.0117173,0.0047658,0,0,0.00477785,0,0.0135525,0.00207024,0.0392234,0.0359315,0.0203714,0.0139937,0.0139476,0.00491078,0.00651257,0.0203858,0.00289471,0.00724514,0.0105551,0.0129583,0.0106765,0.017203,0.0384659,0.00452582,0.000539129,0.000844731,0.00744498,0.00492985,0,0,0,0.00805951,0,0
41,0,0,0,0,0,0,0.00193329,0.00658362,0,0,0,0.106296,0.0190108,0,0,0.00140258,0,0.0233265,0.000744055,0.0496775,0.0568857,0.00805051,0.0200203,0.00206625,0.00581703,0.0106322,0.0129036,0.0352057,0.0127943,0.0124771,0.0129976,0.0248171,0.12254,0.00201918,0.0165137,0.0050557,0.0157678,0.0125196,0.00478474,0,0,0.00475881,0,0.0135348,0.0019883,0.0391791,0.0375553,0.0203097,0.0140285,0.0138872,0.00480311,0.00677862,0.0201673,0.00310884,0.00756914,0.0109405,0.0126475,0.0112262,0.0175974,0.0392112,0.00455525,0.000489422,0.000803092,0.00754393,0.00485151,0,0,0,0.00693453,0,0
42,0,0,0,0,0,0,0.00191054,0.00657867,0,0,0,0.108158,0.0190767,0,0,0.00158488,0,0.0232166,0.000849214,0.0498847,0.0560638,0.00931748,0.0204373,0.00203621,0.00694262,0.0112849,0.0137188,0.0355886,0.0128302,0.0123504,0.0133596,0.0252639,0.123163,0.00379674,0.0165003,0.0054057,0.0157644,0.0134101,0.0048213,0,0,0.00471791,0,0.0135097,0.00200318,0.0390881,0.0393193,0.0203913,0.0141414,0.0139371,0.0048372,0.00715423,0.01996,0.00349778,0.00801259,0.0113725,0.0122811,0.0117944,0.0180975,0.0400197,0.00462378,0.000510473,0.000805855,0.00754706,0.00480932,0,0,0,0.00564029,0,0
43,0,0,0,0,0,0,0.00190661,0.00636939,0,0,0,0.109301,0.0190757,0,0,0.00166614,0,0.0231086,0.000867798,0.0499655,0.0560861,0.0102778,0.0206261,0.00200332,0.00737563,0.0110449,0.0136025,0.0358979,0.0125654,0.0118362,0.0133643,0.0255525,0.124577,0.00499576,0.0164687,0.0060299,0.0158507,0.0145036,0.00484993,0,0,0.0043982,0,0.0136109,0.00171182,0.0389817,0.0411121,0.0206554,0.0144482,0.0140658,0.00485221,0.00758922,0.019705,0.00403035,0.00851706,0.012013,0.0117866,0.012359,0.0187382,0.0409159,0.00457884,0.000859945,0.000700717,0.00746022,0.00477999,0,0,0,0.00446484,0,0
44,0,0,0,0,0,0,0.00189688,0.00611554,0,0,0,0.108821,0.0190605,0,0,0.00161182,0,0.0230284,0.000842226,0.0499204,0.0564393,0.0100391,0.0204718,0.0020562,0.00700758,0.00997006,0.012823,0.0360184,0.0121375,0.0110972,0.0129764,0.0254458,0.126825,0.00503137,0.0164441,0.00669747,0.0158235,0.0154778,0.00493651,0,0,0.00479369,0,0.0135748,0.00187967,0.0388376,0.0428282,0.0211501,0.0148263,0.0142622,0.0051259,0.00800419,0.0195293,0.00451647,0.00891707,0.012716,0.0112425,0.0130296,0.0193426,0.0416867,0.00498263,0.000824374,0.000785444,0.00734082,0.0047455,0,0,0,0.00369808,0,0
45,0,0,0,0,0,0,0.00192235,0.00572721,0,0,0,0.106642,0.0191262,0,0,0.00162625,0,0.0230323,0.000772411,0.0497956,0.0575898,0.00897568,0.0199314,0.00208527,0.00581104,0.00807822,0.0112452,0.035777,0.0113168,0.0103589,0.0122041,0.0250304,0.129234,0.00493641,0.016481,0.00733139,0.0158341,0.0166394,0.00499975,0,0,0.00506318,0,0.0135785,0.00196547,0.0385221,0.044742,0.0219023,0.015265,0.0144494,0.00546075,0.00845936,0.0194122,0.00516464,0.00929813,0.0135957,0.010613,0.0138787,0.0201349,0.0422534,0.00536714,0.000864983,0.000889425,0.007058,0.00468947,0,0,0,0.00347293,0,0
46,0,0,0,0,0,0,0.00189498,0.00530751,0,0,0,0.102584,0.0192504,0,0,0.00157303,0,0.0230241,0.00077215,0.0496134,0.0602641,0.00775813,0.0190777,0.00202215,0.00432444,0.0055549,0.00885597,0.035139,0.0103253,0.00966881,0.0113154,0.0245379,0.131191,0.00499041,0.0165223,0.00807675,0.0158745,0.0181091,0.0049646,0,0,0.00527933,0,0.0136207,0.0020755,0.0378782,0.0471569,0.0229316,0.0158021,0.0147227,0.00580803,0.00889595,0.0195146,0.00622108,0.00980182,0.0146917,0.00989937,0.0149882,0.0212321,0.043017,0.00568097,0.000956689,0.000879796,0.00662438,0.00454061,0,0,0,0.00444109,0,0
47,0,0,0,0,0,0,0.00182063,0.00487894,0,0,0,0.0970916,0.0192924,0,0,0.00150237,0,0.0230636,0.000857208,0.0494034,0.0640648,0.00692594,0.0180147,0.00190891,0.00360405,0.00264155,0.00608139,0.0342131,0.00972457,0.00928458,0.0106913,0.0241118,0.133033,0.00505223,0.0165119,0.0089302,0.0159214,0.0195975,0.00480863,0,0,0.00542584,0,0.0136728,0.00222773,0.0372728,0.0494777,0.0240811,0.0162528,0.0150493,0.00610315,0.00943158,0.0198917,0.00730649,0.0104913,0.0157924,0.00929695,0.0161995,0.0223281,0.0438183,0.00593599,0.00108641,0.000837806,0.00616681,0.00434772,0,0,0,0.00634097,0,0
48,0,0,0,0,0,0,0.00175813,0.00439686,0,0,0,0.0921364,0.0193265,0,0,0.00146081,0,0.0231222,0.000871469,0.0491356,0.0677527,0.00606449,0.0169074,0.00185555,0.00465008,0.00238257,0.00436383,0.0331769,0.0101962,0.00988602,0.0104822,0.0238556,0.134956,0.00502427,0.0165355,0.00998481,0.015906,0.0207957,0.00464723,0,0,0.00542353,0,0.0136412,0.00233513,0.0368329,0.0511201,0.0252589,0.0164735,0.0154025,0.00638781,0.00998731,0.0205796,0.00811522,0.0111701,0.0167587,0.00890482,0.0172284,0.0231032,0.0447889,0.00615224,0.00106507,0.000863752,0.00580687,0.00420116,0,0,0,0.00951541,0,0
49,0,0,0,0,0,0,0.00177158,0.00399611,0,0,0,0.0897962,0.0193654,0,0,0.00139249,0,0.0231533,0.000849521,0.0488486,0.069278,0.00385144,0.0159916,0.0018734,0.00618573,0.00478735,0.00491661,0.0321527,0.0116835,0.0113374,0.0102207,0.0236825,0.137145,0.00490413,0.016538,0.0108992,0.0159143,0.0218318,0.00459384,0,0,0.00559005,0,0.0136593,0.00243524,0.0365281,0.052523,0.0263557,0.0165092,0.01569,0.0067598,0.0103402,0.0213483,0.00859325,0.0116727,0.0176737,0.00858829,0.0181198,0.0237406,0.0453057,0.00643335,0.00112459,0.000943571,0.00547707,0.00415643,0,0,0,0.0129384,0,0
50,0,0,0,0,0,0,0.00192748,0.00350146,0,0,0,0.0905788,0.0194349,0,0,0.00151491,0,0.0231321,0.000787229,0.0486284,0.0679203,0.00163587,0.0155139,0.00176868,0.00675812,0.00568612,0.00552882,0.0312327,0.0128468,0.0125401,0.00971657,0.0232967,0.137748,0.00477627,0.0165363,0.0115331,0.0160557,0.0223765,0.00481665,0,0,0.00519137,0,0.013884,0.00205827,0.0362819,0.0532399,0.0272278,0.0162103,0.0157576,0.00709993,0.0104832,0.0220785,0.0086872,0.0119322,0.0182506,0.00831873,0.0187313,0.0239285,0.0454555,0.00621885,0.00176961,0.000901932,0.00500945,0.00429324,0,0,0,0.0146829,0,0
51,0,0,0,0,0,0,0.00199615,0.00337615,0,0,0,0.0933547,0.0194862,0,0,0.0014933,0,0.0231187,0.00074587,0.0484173,0.0650872,0.00392543,0.01552,0.00166422,0.00632618,0.00494805,0.00545833,0.0307283,0.0126499,0.0125778,0.00922823,0.022769,0.134921,0.00461432,0.0165115,0.0128814,0.0159711,0.022704,0.00530112,0,0,0.00580769,0,0.0138365,0.00227545,0.0360887,0.0531473,0.0278387,0.015685,0.0157535,0.00782387,0.0106031,0.0226233,0.00862238,0.0123207,0.0187097,0.00801889,0.0191809,0.0238362,0.0456723,0.00668966,0.00175326,0.0010171,0.00492548,0.00447244,0,0,0,0.0137789,0,0
52,0,0,0,0,0,0,0.00193932,0.00331021,0,0,0,0.0967875,0.0194766,0,0,0.0013841,0,0.0230907,0.000786194,0.0481671,0.0622674,0.0045781,0.0159586,0.0016584,0.00556867,0.00386966,0.00642085,0.031218,0.0112093,0.0112886,0.00882305,0.022345,0.129834,0.00441302,0.016475,0.0143786,0.015869,0.022748,0.00575722,0,0,0.00611104,0,0.0137599,0.00226289,0.0360249,0.0521871,0.0281246,0.0148373,0.0156314,0.00844363,0.0106969,0.0230138,0.00827521,0.0125639,0.0190796,0.00767162,0.0194343,0.0234615,0.0456927,0.00699263,0.00175013,0.00109735,0.00491823,0.00460795,0,0,0,0.0116287,0,0
53,0,0,0,0,0,0,0.0017446,0.00327988,0,0,0,0.100226,0.0194772,0,0,0.00141666,0,0.0230983,0.000827871,0.0479016,0.0600369,0.00229938,0.016633,0.00164522,0.00527464,0.00501525,0.00925006,0.0326353,0.00955548,0.00958462,0.0087935,0.0222077,0.125235,0.00406744,0.0164621,0.0160287,0.0158337,0.0226247,0.0059869,0,0,0.00620805,0,0.0137521,0.00229151,0.0360605,0.050535,0.0281826,0.0137295,0.0154752,0.00883846,0.0107515,0.0233585,0.0076816,0.0127163,0.0194131,0.00731834,0.0196078,0.0229418,0.0453716,0.00712506,0.00178006,0.00114882,0.00500658,0.00467864,0,0,0,0.00987175,0,0
54,0,0,0,0,0,0,0.00141823,0.00329973,0,0,0,0.103679,0.0195642,0,0,0.00165778,0,0.0231696,0.000896497,0.0478028,0.0579949,0.00248041,0.0173145,0.00167374,0.00565061,0.0069642,0.011258,0.0338827,0.00878688,0.00884059,0.00910173,0.0221471,0.123024,0.00375948,0.0165062,0.0177857,0.015823,0.0221799,0.00593227,0,0,0.00617921,0,0.0137644,0.00232568,0.0361744,0.047865,0.0280462,0.0122768,0.0153061,0.00902207,0.0106768,0.0237017,0.00693838,0.0127474,0.0195541,0.00685381,0.0195276,0.0220972,0.0445922,0.00714716,0.0017921,0.00117364,0.00520203,0.00466905,0,0,0,0.00890724,0,0
55,0,0,0,0,0,0,0.00105946,0.00326608,0,0,0,0.106584,0.0194982,0,0,0.00156445,0,0.0231908,0.000981134,0.0480159,0.0559097,0.0060212,0.0179466,0.00178832,0.00630236,0.00747089,0.0110062,0.033787,0.00893562,0.00918178,0.00922808,0.021716,0.122333,0.0036714,0.0165022,0.0195153,0.0158054,0.0215799,0.00571273,0,0,0.00609975,0,0.0137701,0.00242915,0.0364076,0.0444228,0.0278334,0.0106393,0.0152025,0.00911682,0.0104504,0.0241401,0.00645933,0.0126983,0.0194939,0.00631202,0.0192077,0.020958,0.0432403,0.00716034,0.00187035,0.00117702,0.0053716,0.00465627,0,0,0,0.00841148,0,0
56,0,0,0,0,0,0,0.000820522,0.00322155,0,0,0,0.10843,0.0193796,0,0,0.00137965,0,0.0231988,0.000988906,0.0483427,0.053959,0.00673026,0.0185721,0.0019313,0.00665207,0.00686419,0.00968824,0.0325984,0.00920211,0.00978141,0.00891038,0.0208046,0.121968,0.00358625,0.0164909,0.0218447,0.015771,0.0208925,0.00552582,0,0,0.00608365,0,0.0137747,0.00252058,0.0368852,0.0399117,0.0276985,0.00880421,0.015304,0.00925901,0.00997043,0.0245507,0.00640884,0.0124376,0.0192291,0.00554541,0.0186957,0.0195446,0.0413836,0.00727894,0.00196907,0.00120198,0.0054442,0.00466669,0,0,0,0.00799422,0,0
57,0,0,0,0,0,0,0.000764526,0.00324376,0,0,0,0.109595,0.0193438,0,0,0.00123445,0,0.0232602,0.0010065,0.0485399,0.0520439,0.00455335,0.0190297,0.00191011,0.00654409,0.00626927,0.00871476,0.0316505,0.0087323,0.00968854,0.00798703,0.0195538,0.121892,0.00352623,0.0165191,0.0267013,0.0158073,0.0187038,0.00564212,0,0,0.00570143,0,0.0138614,0.00242816,0.0387014,0.0299826,0.0267083,0.00792177,0.0152703,0.00922097,0.00804872,0.0241045,0.0073215,0.010633,0.0171588,0.00319368,0.015918,0.0154323,0.0376253,0.00697861,0.00257942,0.0011941,0.005403,0.00473807,0,0,0,0.00709012,0,0
58,0,0,0,0,0,0,0.00068556,0.00346869,0,0,0,0.110226,0.0193721,0,0,0.00112529,0,0.0233118,0.00106995,0.0478486,0.0503452,0.00204697,0.0194316,0.00205748,0.00652902,0.00628421,0.00863738,0.0313516,0.008129,0.00924668,0.00710919,0.0186464,0.122526,0.00354135,0.0165696,0.0296008,0.0156648,0.0183094,0.00550285,0,0,0.00607356,0,0.0137493,0.0024604,0.0399132,0.0240791,0.026368,0.00884248,0.0155441,0.00927288,0.0073569,0.0252409,0.0103428,0.0108137,0.0158712,0.00298705,0.0143778,0.012882,0.0361221,0.00742585,0.00240391,0.00133544,0.00536084,0.00486634,0,0,0,0.00619876,0,0
59,0,0,0,0,0,0,0.000669996,0.00375124,0,0,0,0.110793,0.0193118,0,0,0.00104025,0,0.0233027,0.00102205,0.0468676,0.0487471,0.00132271,0.0196123,0.00227978,0.00680314,0.00659663,0.00910392,0.0316153,0.00736187,0.00847716,0.00630369,0.0180084,0.122952,0.00364726,0.0165782,0.0318282,0.0155913,0.0183957,0.00525913,0,0,0.00612817,0,0.013695,0.00247095,0.0410343,0.0201223,0.0261046,0.00953966,0.01582,0.00903231,0.00723589,0.0264799,0.0126006,0.011689,0.0146543,0.00331211,0.0132257,0.0111195,0.0340451,0.00745241,0.00252136,0.00143687,0.00519649,0.00505148,0,0,0,0.00532107,0,0
60,0,0,0,0,0,0,0.000738948,0.00410432,0,0,0,0.111546,0.0192598,0,0,0.00100015,0,0.0232537,0.00102065,0.0461034,0.0472601,0.000923632,0.0195941,0.00252623,0.00713285,0.00702035,0.00979027,0.0320043,0.00638833,0.00746965,0.00562096,0.0174794,0.122671,0.00382029,0.0165844,0.033495,0.0155384,0.0184481,0.00483899,0,0,0.00604995,0,0.0136482,0.0024153,0.0421217,0.0178001,0.0256915,0.0101229,0.0159702,0.00849125,0.0074663,0.0276613,0.0143979,0.0126374,0.0133851,0.00390794,0.0120869,0.0102058,0.0306952,0.00725394,0.00257683,0.00153559,0.00515004,0.00524134,0,0,0,0.00467962,0,0
61,0,0,0,0,0,0,0.000873211,0.0044436,0,0,0,0.112398,0.0192585,0,0,0.00103473,0,0.0232092,0.00118541,0.0457935,0.0459063,0.000347646,0.0194909,0.00285443,0.00730559,0.0074544,0.0103278,0.032278,0.00531558,0.00644641,0.00500521,0.016981,0.121983,0.00404667,0.0166032,0.0348978,0.0154892,0.0184921,0.00428002,0,0,0.00582948,0,0.0135945,0.00238043,0.0434773,0.0176242,0.0250116,0.0105189,0.0159637,0.00769852,0.00783176,0.0287842,0.0157187,0.0134722,0.0121104,0.00473401,0.0108086,0.010401,0.025887,0.00680864,0.00258774,0.00159552,0.00525571,0.00537774,0,0,0,0.00454444,0,0
62,0,0,0,0,0,0,0.00108187,0.00480237,0,0,0,0.11299,0.0192307,0,0,0.00115328,0,0.023255,0.00147127,0.0459489,0.0448182,0.0012919,0.0193863,0.00332726,0.00731031,0.00778641,0.0103292,0.0322471,0.00434166,0.00563697,0.00455267,0.0165375,0.121318,0.0044267,0.0165875,0.0365011,0.0154649,0.0188049,0.00361154,0,0,0.00546238,0,0.0135487,0.00224277,0.0449395,0.0198044,0.0240546,0.0106729,0.015928,0.00672967,0.00826699,0.0297701,0.0165473,0.0140768,0.0110408,0.00570067,0.00965732,0.0115965,0.0201519,0.00616475,0.0025779,0.00161047,0.0053727,0.00542017,0,0,0,0.00467447,0,0
63,0,0,0,0,0,0,0.0014181,0.00520063,0,0,0,0.112924,0.0192663,0,0,0.0013202,0,0.0232757,0.00172919,0.0464598,0.0442761,0.0020631,0.0191978,0.0038554,0.00709904,0.00773334,0.00973565,0.0318456,0.00368373,0.00514037,0.00430608,0.0162291,0.120965,0.00487074,0.016591,0.0388848,0.0154683,0.019812,0.00294582,0,0,0.00495633,0,0.0135077,0.00196881,0.0461782,0.0245264,0.0228769,0.0108071,0.0157988,0.00567429,0.00868983,0.0305195,0.0169742,0.0144413,0.0102993,0.00661406,0.00881975,0.0130658,0.0157336,0.0053209,0.00256904,0.00156808,0.00555271,0.00539868,0,0,0,0.00452925,0,0
64,0,0,0,0,0,0,0.00181719,0.00559054,0,0,0,0.11229,0.0193141,0,0,0.00153325,0,0.0231502,0.00192293,0.0471685,0.0442885,0.00210415,0.018956,0.00439826,0.00669759,0.00733255,0.00864071,0.0311025,0.0033586,0.00484572,0.00413037,0.0160315,0.120723,0.00543143,0.0165989,0.0422995,0.0155451,0.0217502,0.00249788,0,0,0.0042995,0,0.0135339,0.00172527,0.0470118,0.0311903,0.0215833,0.0110781,0.0155797,0.00467075,0.00892265,0.0310607,0.0172362,0.0146004,0.00985516,0.00726393,0.00831035,0.0141919,0.0170487,0.00435413,0.00269768,0.00148256,0.00584111,0.00539027,0,0,0,0.00409585,0,0
65,0,0,0,0,0,0,0.00228213,0.00610101,0,0,0,0.111486,0.0193023,0,0,0.00173918,0,0.0231283,0.0020597,0.047946,0.0439411,0.00144333,0.0187647,0.00494039,0.00602255,0.0064904,0.00760415,0.0304132,0.00333498,0.00486357,0.00388581,0.0157024,0.120506,0.00601907,0.0165872,0.0460636,0.015421,0.0240005,0.00238396,0,0,0.00491861,0,0.0133588,0.0019992,0.0473618,0.0373348,0.0202865,0.011673,0.015269,0.00418841,0.00901772,0.0315261,0.0174454,0.0146496,0.00971984,0.00759055,0.00811588,0.0148003,0.0220821,0.00443793,0.00223369,0.00154963,0.00635782,0.00543631,0,0,0,0.00365924,0,0
66,0,0,0,0,0,0,0.00258393,0.00657956,0,0,0,0.11144,0.0192665,0,0,0.00199134,0,0.0230851,0.00209632,0.0485007,0.0432654,0.00123843,0.0188716,0.00544409,0.0054727,0.00574986,0.0068885,0.0300228,0.00319106,0.00499345,0.00372272,0.0153366,0.119702,0.00657192,0.0165568,0.0491634,0.0154496,0.0261517,0.00245604,0,0,0.00470215,0,0.0133404,0.00196289,0.0473492,0.0408905,0.0189534,0.0125866,0.0151906,0.00385816,0.00908854,0.0320075,0.017768,0.0147919,0.00966853,0.00776089,0.00802162,0.0150305,0.0267062,0.00409237,0.00224005,0.00149475,0.00700789,0.00548517,0,0,0,0.00371829,0,0
67,0,0,0,0,0,0,0.00283301,0.00701957,0,0,0,0.111951,0.019288,0,0,0.00218549,0,0.0230527,0.00209953,0.0484149,0.0420735,0.00158545,0.0190237,0.0057842,0.0048938,0.00504318,0.00653132,0.0296453,0.00290894,0.00533373,0.00349862,0.0147447,0.118531,0.00696288,0.0165496,0.0500885,0.0154825,0.0268587,0.00257446,0,0,0.00462182,0,0.0133427,0.00190527,0.04723,0.0421015,0.01753,0.0137235,0.0151767,0.00371512,0.00901136,0.03225,0.0181148,0.0149292,0.00947167,0.00785277,0.00785388,0.0150649,0.028148,0.0039583,0.00224576,0.00146438,0.00775844,0.00550352,0,0,0,0.0041213,0,0
68,0,0,0,0,0,0,0.00308248,0.00747341,0,0,0,0.112834,0.0193316,0,0,0.0023397,0,0.0230278,0.00215962,0.0478367,0.0407951,0.0021017,0.0193215,0.00590484,0.00446741,0.00452445,0.00646914,0.0292844,0.00268065,0.00583306,0.00335137,0.0140578,0.116883,0.00720568,0.0165445,0.0484886,0.0155266,0.025842,0.00269892,0,0,0.00448402,0,0.0133771,0.00183325,0.0469746,0.0417649,0.0160626,0.0148481,0.0151386,0.00359229,0.00895705,0.0322894,0.0184418,0.0150973,0.00922819,0.00803068,0.00775753,0.0153336,0.0260258,0.00386451,0.00225845,0.00144181,0.00845662,0.00554656,0,0,0,0.00481242,0,0
69,0,0,0,0,0,0,0.0033165,0.00785226,0,0,0,0.113707,0.0194063,0,0,0.00244115,0,0.0230461,0.00223531,0.0473356,0.0396566,0.00266289,0.0198206,0.00597629,0.00420551,0.0040716,0.0063863,0.0290202,0.0026833,0.00647696,0.00329065,0.0134294,0.115339,0.00730692,0.0165507,0.044921,0.0155612,0.0245492,0.00277745,0,0,0.00429881,0,0.0134281,0.00172242,0.0465872,0.0405864,0.0148934,0.0157679,0.0151751,0.00340644,0.00907328,0.0323648,0.0187116,0.01525,0.00901097,0.00831081,0.00771358,0.0158399,0.0220615,0.00382809,0.0022462,0.00140597,0.00914698,0.00563124,0,0,0,0.00579473,0,0
70,0,0,0,0,0,0,0.00252159,0.00269562,0,0,0,0.116524,0.018913,0,0,0.0033606,0,0.0241038,0.00135273,0.0432755,0.0309621,0.00516494,0.0100768,0.00337104,0.0076573,0.0101217,0.00803619,0.0306044,0.00585546,0.013679,0.00330763,0.0114594,0.112821,0.00563724,0.0171158,0.0385394,0.0154278,0.0219828,0.00284538,0,0,0.00495903,0,0.01345,0.00272342,0.0438477,0.0392052,0.0225375,0.0175048,0.00355965,0.00570972,0.00813642,0.0323517,0.0174781,0.0134363,0.00864395,0.00891074,0.00833998,0.0168174,0.0169599,0.00421894,0.00302643,0.00170102,0.00343463,0.00313976,0,0,0,0.0104691,0,0.0368322
71,0,0,0,0,0,0,0.00234254,0.00283816,0,0,0,0.117017,0.0189496,0,0,0.00349638,0,0.0239994,0.00126259,0.0431695,0.0304984,0.00552673,0.0104317,0.00315006,0.00750203,0.0101722,0.00766272,0.0304583,0.00596562,0.0140434,0.00312464,0.010858,0.111968,0.00552807,0.0171072,0.0343568,0.0155076,0.0214594,0.00298668,0,0,0.00407198,0,0.0135932,0.00229164,0.0435735,0.0387671,0.0221194,0.0183407,0.00372921,0.00547218,0.0088207,0.0327516,0.0175555,0.0140444,0.00828022,0.00913674,0.00834025,0.0165303,0.0118215,0.00371139,0.00311584,0.00159498,0.00319938,0.00321919,0,0,0,0.0110724,0,0.0370984
72,0,0,0,0,0,0,0.00238683,0.00281585,0,0,0,0.117384,0.0189359,0,0,0.00360837,0,0.0239491,0.0012784,0.0433053,0.0303299,0.00578745,0.0106581,0.00298998,0.00709436,0.00990639,0.00720774,0.0304148,0.00591204,0.0140964,0.00313152,0.0104393,0.111309,0.00523285,0.0170795,0.0312327,0.015492,0.021081,0.00304133,0,0,0.00441008,0,0.0135901,0.002322,0.0432224,0.0382465,0.021862,0.0188904,0.00390948,0.00562401,0.00978543,0.0330997,0.0175444,0.0149806,0.00774056,0.00920941,0.00814672,0.015404,0.00788804,0.00401443,0.0029132,0.00161058,0.00294628,0.00303042,0,0,0,0.0114907,0,0.0373334
73,0,0,0,0,0,0,0.00234246,0.00280868,0,0,0,0.11755,0.0189501,0,0,0.0036956,0,0.0239491,0.00128959,0.0436142,0.030404,0.00590548,0.0107978,0.00291429,0.00656361,0.00944643,0.00678573,0.0301119,0.00571496,0.0138995,0.00325745,0.0101175,0.110863,0.00486342,0.0170727,0.0287827,0.0155403,0.021129,0.0030342,0,0,0.0045625,0,0.0136497,0.00232862,0.0428641,0.0376639,0.0217361,0.0192558,0.00392388,0.00572664,0.0109646,0.0334902,0.017914,0.0161486,0.00720889,0.00926138,0.00814202,0.013877,0.00928444,0.00421363,0.00293188,0.00156579,0.00292875,0.0026826,0,0,0,0.0117343,0,0.037476
74,0,0,0,0,0,0,0.0022804,0.00285502,0,0,0,0.117629,0.0190074,0,0,0.00383005,0,0.023974,0.00131492,0.0439198,0.0304346,0.00585672,0.0108287,0.0029486,0.00606038,0.00878776,0.00636625,0.0297859,0.0055608,0.0136548,0.00343287,0.00987797,0.110553,0.00453151,0.0170891,0.0276539,0.015527,0.0210098,0.00297899,0,0,0.00478308,0,0.0136502,0.00234649,0.0426346,0.0375964,0.0217188,0.019663,0.00389013,0.00593196,0.0122537,0.0339635,0.0183117,0.0174162,0.00719171,0.00912549,0.00844518,0.0123572,0.00905489,0.00450249,0.00289061,0.00156563,0.00315494,0.00228998,0,0,0,0.0119385,0,0.0375507
75,0,0,0,0,0,0,0.0022444,0.0029589,0,0,0,0.1178,0.0189695,0,0,0.00406127,0,0.0239896,0.00132155,0.0442076,0.0302904,0.00592243,0.0106417,0.00309765,0.00551929,0.00811826,0.00586989,0.0297096,0.00561485,0.0135734,0.00371055,0.00967734,0.110264,0.00425074,0.0170805,0.0277627,0.015518,0.0210046,0.00293391,0,0,0.00503238,0,0.0136818,0.00243873,0.0425751,0.0381194,0.0218339,0.0200342,0.0040215,0.00625624,0.0135757,0.0344522,0.0184088,0.0188603,0.00782851,0.00891718,0.00900491,0.0111617,0.00873631,0.00488623,0.00290726,0.0015828,0.00365494,0.00192675,0,0,0,0.0122267,0,0.037733
76,0,0,0,0,0,0,0.00228755,0.00307449,0,0,0,0.118109,0.0188498,0,0,0.00435959,0,0.0239836,0.00131827,0.04468,0.0300782,0.00601064,0.010289,0.00325848,0.00496357,0.00741523,0.00542419,0.0296704,0.00574253,0.0135691,0.00405629,0.00947187,0.109921,0.00409885,0.0170538,0.029077,0.0154921,0.0212588,0.00294788,0,0,0.00527857,0,0.0136925,0.00257475,0.0425149,0.0393015,0.0222618,0.0201326,0.00407549,0.00666919,0.0148728,0.0348704,0.0185267,0.0202851,0.00865715,0.00862014,0.00948416,0.0104301,0.0090861,0.00531755,0.00292862,0.00162536,0.00432492,0.00164747,0,0,0,0.0125776,0,0.0380118
