Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,LTHIA,RTHI,IMUR_M,RTHIA,RTHII
174,0.00874536,0.013255,0,0,0,0,0,0.038451,0.0388331,0.0314182,0.0130319,0,0,0.0134336,0,0.0142069,0.00429527,0.0353876,0.0305273,0.00728891,0.0115974,0.0190568,0.0204085,0.00936214,0.00906972,0.0430613,0.0179907,0.0240931,0.0199807,0.0277099,0.0391406,0.0115104,0.0131029,0.00598511,0.0212039,0.0212841,0.0270457,0.012292,0.0086681,0,0,0.0295485,0,0.0141965,0.011044,0.0330382,0.0304114,0.0163355,0.0233845,0.0146622,0.0118668,0.0154247,0.0115903,0.0145613,0.0157455,0.010597,0.018293,0.0153899,0.00507977,0.00539417,0.0127489,0.00615506,0,0,0,0,0,0,0,0,0,0.0159916,0.0171439,0,0,0
175,0.00883599,0.0133294,0,0,0,0,0,0.0407593,0.0388056,0.0319775,0.0128422,0,0,0.0132465,0,0.0141986,0.00426604,0.0355767,0.0307127,0.00708975,0.0123423,0.0189415,0.0202364,0.00991444,0.00969003,0.0431369,0.0177777,0.024495,0.0197317,0.027032,0.0412826,0.0114066,0.0130572,0.00597771,0.0211289,0.0213619,0.0276075,0.0121495,0.00885586,0,0,0.0298381,0,0.0142073,0.0110657,0.0333233,0.0322572,0.0161964,0.0229648,0.0143689,0.0118669,0.0156396,0.0116473,0.015168,0.0158167,0.0110091,0.0184998,0.0153209,0.00498093,0.00525722,0.0128049,0.00611855,0,0,0,0,0,0,0,0,0,0,0.0178903,0,0,0
176,0.0088093,0.0133025,0,0,0,0,0,0.0395391,0.0387897,0.0318062,0.0126076,0,0,0.012812,0,0.0141386,0.00416901,0.0354546,0.0324735,0.0069359,0.0103293,0.0184738,0.0199308,0.0088473,0.00781758,0.0430825,0.0174287,0.0237738,0.0199746,0.0276517,0.0403476,0.0111425,0.0130009,0.00588689,0.0207412,0.0213817,0.0277441,0.0120389,0.00885299,0,0,0.0302567,0,0.0142182,0.0111118,0.033653,0.0333436,0.0162426,0.0223724,0.0137389,0.0118293,0.0158541,0.0116904,0.0157701,0.0157514,0.0115014,0.0185301,0.0155612,0.00504084,0.00515561,0.0127659,0.00592382,0,0,0,0,0,0,0,0,0,0.0147812,0.0185605,0,0,0
177,0.00894315,0.013456,0,0,0,0,0,0.0415089,0.0387525,0.0322607,0.0123258,0,0,0.0126643,0,0.0141512,0.00416133,0.0357155,0.0351754,0.00683982,0.0106518,0.0181812,0.0197876,0.00949494,0.0081083,0.0431957,0.017267,0.0238026,0.0198082,0.0272104,0.0422533,0.0110265,0.0129592,0.00590248,0.0204601,0.0214096,0.027631,0.0118343,0.00895971,0,0,0.0306713,0,0.0142058,0.0112742,0.0340095,0.0337415,0.0163852,0.0218823,0.0131379,0.0117724,0.015947,0.0116926,0.0163481,0.0155842,0.0118684,0.0183426,0.0158269,0.00513749,0.00513009,0.0128805,0.0059329,0,0,0,0,0,0,0,0,0,0,0.0189082,0,0,0
178,0.00975133,0.0141498,0,0,0,0,0,0.0425987,0.0392521,0.033096,0.0133122,0,0,0.0143635,0,0.014537,0.00508169,0.0351571,0.035774,0.00707025,0.0100167,0.0186489,0.0202775,0.00927866,0.00715147,0.0427923,0.0177006,0.0241253,0.0204055,0.0281273,0.0432651,0.0111014,0.0131787,0.00640779,0.0131361,0.0215591,0.0202257,0.0137286,0.00972864,0,0,0.031942,0,0.0142142,0.0121914,0.0344221,0.0210388,0.0123314,0.0247689,0.0134262,0.0120454,0.00997276,0.013684,0.0157323,0.0162935,0.0136616,0.0125216,0.0165139,0.00541645,0.00515996,0.0136176,0.00734128,0,0,0,0,0,0,0,0,0,0.013926,0.0112092,0,0.0277176,0
179,0.0101079,0.0145394,0,0,0,0,0,0.0423478,0.039197,0.0329631,0.0128905,0,0,0.0148483,0,0.0146983,0.00517203,0.0353838,0.0361715,0.00682691,0.00886941,0.0183434,0.0208698,0.00855698,0.00622782,0.0431076,0.017404,0.0236382,0.0202731,0.0282513,0.043089,0.0113365,0.0133098,0.00644077,0.0117134,0.021628,0.0193208,0.0133461,0.00981224,0,0,0.0322973,0,0.0142437,0.0124591,0.0344982,0.0202064,0.0127752,0.0241383,0.0130103,0.0118166,0.00975801,0.0141783,0.0161443,0.0164473,0.0142977,0.0103625,0.0163772,0.00539262,0.00521269,0.0139871,0.00732629,0,0,0,0,0,0,0,0,0,0.0121376,0.010977,0,0.0270054,0
180,0.0101275,0.0146008,0,0,0,0,0,0.0425592,0.0392299,0.032955,0.0127076,0,0,0.0150328,0,0.0147201,0.00526773,0.0354822,0.0376445,0.00671387,0.00824477,0.0179382,0.0208071,0.00825415,0.0057773,0.0432913,0.0172022,0.0234311,0.0201637,0.0283958,0.0433401,0.0113469,0.0133274,0.00651244,0.0112598,0.0216319,0.018115,0.0132945,0.00980472,0,0,0.0327952,0,0.0142209,0.0125549,0.0347925,0.0189634,0.0130076,0.0236175,0.0123911,0.0115875,0.0105032,0.0141877,0.0166758,0.0160502,0.0144241,0.00929911,0.0164411,0.00536448,0.00532702,0.0140441,0.00723542,0,0,0,0,0,0,0,0,0,0.0113085,0.0110625,0,0.0269938,0
181,0.0100174,0.014535,0,0,0,0,0,0.0431941,0.0392565,0.0331011,0.0125642,0,0,0.0151062,0,0.0147326,0.0053238,0.035333,0.0380787,0.00658631,0.00783754,0.0175138,0.0205205,0.00810729,0.00553594,0.0433759,0.0170182,0.0233723,0.0200833,0.0285053,0.0439934,0.0112895,0.013341,0.00651351,0.010923,0.0216351,0.0168706,0.0132813,0.00968878,0,0,0.0332749,0,0.0142119,0.0126586,0.0351143,0.017805,0.0133279,0.0230428,0.0116744,0.0114281,0.011573,0.0141948,0.0171392,0.0156231,0.0145011,0.00842677,0.0165324,0.0053272,0.00531524,0.0139911,0.0069992,0,0,0,0,0,0,0,0,0,0.0107357,0.0111431,0,0.0269019,0
182,0.00980901,0.0143595,0,0,0,0,0,0.0437995,0.0392565,0.033379,0.0124166,0,0,0.0150846,0,0.0147408,0.00527299,0.035229,0.0374023,0.00640872,0.00746975,0.0170746,0.0201214,0.00795976,0.00538718,0.0435022,0.016949,0.0233578,0.0201936,0.0285568,0.0448024,0.0111972,0.0133231,0.00644676,0.0105912,0.0216301,0.0158513,0.0131553,0.00946564,0,0,0.0336676,0,0.0142063,0.0127089,0.0353538,0.0168443,0.0138366,0.0223036,0.010971,0.0113076,0.0107403,0.0141409,0.0175614,0.0151598,0.0144477,0.00799146,0.0165658,0.00542009,0.00528155,0.0137908,0.00657833,0,0,0,0,0,0,0,0,0,0.0102167,0.0111592,0,0.0267994,0
183,0.00947621,0.0140241,0,0,0,0,0,0.0443423,0.0392517,0.0335796,0.0122905,0,0,0.0149161,0,0.0147106,0.00517457,0.0350476,0.0367303,0.0061517,0.00710522,0.0166365,0.0196395,0.00788072,0.00518893,0.0435637,0.0169287,0.0233456,0.0203055,0.0286293,0.0454786,0.0110487,0.0132945,0.00644511,0.0104631,0.0216292,0.0149474,0.0130681,0.00919929,0,0,0.0340332,0,0.0142029,0.0126359,0.0355632,0.0163211,0.0143673,0.0215841,0.0104097,0.0112287,0.0100623,0.0141393,0.0180066,0.0146033,0.0144775,0.00812283,0.0166476,0.00556603,0.00524881,0.0134022,0.00629384,0,0,0,0,0,0,0,0,0,0.00968033,0.0111026,0,0.0266665,0
