Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,LTHIA,RTHI,IMUR_M,RTHIA,RTHII
194,0.00549847,0.00847854,0,0,0,0,0,0.0514649,0.0375481,0.0351646,0.0124072,0,0,0.00868289,0,0.012954,0.00350475,0.0337471,0.0301303,0.00479404,0.00694496,0.0131153,0.0126661,0.00676651,0.00457711,0.0426147,0.0164736,0.0235425,0.0198848,0.0277723,0.052996,0.00835808,0.0115823,0.00473275,0.0158962,0.0208568,0.0134518,0.0146408,0.00489789,0,0,0.0322923,0,0.0138571,0.0103096,0.0363124,0.0212945,0.0228827,0.00510655,0.0105538,0.0102803,0.00659759,0.0179241,0.0390531,0.0158232,0.0203573,0.022382,0.0155205,0.00646031,0.00619209,0.00743527,0.00294537,0,0,0,0,0,0,0,0,0,0.00820109,0.00465879,0,0.0266098,0
195,0.00557933,0.00810936,0,0,0,0,0,0.051949,0.03741,0.0352133,0.0121941,0,0,0.00843493,0,0.0128306,0.00363727,0.033597,0.0301704,0.00476218,0.00676289,0.0128513,0.0123216,0.00678615,0.00458869,0.0426368,0.0164291,0.023488,0.0197659,0.0276793,0.0535875,0.00844042,0.0114577,0.00461442,0.0192904,0.0208324,0.0168341,0.0145008,0.00495319,0,0,0.0321007,0,0.0138738,0.0102407,0.0363414,0.0202908,0.0239451,0.00798339,0.0107889,0.0101088,0.00685636,0.0210297,0.0411938,0.0189222,0.0236935,0.021849,0.015414,0.00658571,0.00639579,0.00704428,0.00317105,0,0,0,0,0,0,0,0,0,0.00814756,0.00571073,0,0.0269767,0
196,0.00566742,0.00792452,0,0,0,0,0,0.0523697,0.0373194,0.0348411,0.0118474,0,0,0.00819291,0,0.0127601,0.00372415,0.0335659,0.0298247,0.00461502,0.00654951,0.0125753,0.0120725,0.00677397,0.00456393,0.042782,0.0164102,0.0235215,0.0196923,0.027492,0.0540757,0.00855826,0.0113592,0.00450787,0.0223963,0.0208147,0.0215098,0.0141012,0.00497676,0,0,0.0320392,0,0.0139081,0.0102342,0.0364704,0.0229707,0.024981,0.0133471,0.010829,0.0101211,0.00664921,0.0246043,0.0428551,0.0217066,0.0274746,0.0217583,0.0151245,0.0068216,0.00652035,0.00684015,0.00351662,0,0,0,0,0,0,0,0,0,0.00802901,0.00658737,0,0.0272934,0
197,0.00574517,0.00778464,0,0,0,0,0,0.0525115,0.0372177,0.0338584,0.0115785,0,0,0.00798016,0,0.0127413,0.00373182,0.0336291,0.0291115,0.00440869,0.00640468,0.0124086,0.0119198,0.00674015,0.00458117,0.0429842,0.0163662,0.0235669,0.0195491,0.0272414,0.0542843,0.00863023,0.0112928,0.00445258,0.024652,0.0207759,0.0255148,0.013692,0.00506312,0,0,0.0319505,0,0.0139209,0.0102748,0.0367392,0.0267363,0.0257619,0.0184283,0.0107318,0.00999658,0.00703425,0.0276094,0.0440077,0.0238687,0.0305912,0.021808,0.0150512,0.00687524,0.00661129,0.00669338,0.00376867,0,0,0,0,0,0,0,0,0,0.0078983,0.00700075,0,0.027321,0
198,0.00589087,0.00779482,0,0,0,0,0,0.0524126,0.0371692,0.0332666,0.0113796,0,0,0.0078127,0,0.0127531,0.00369951,0.0337081,0.0283211,0.00416878,0.00634559,0.0124628,0.0118853,0.0067386,0.00455942,0.0431679,0.0163029,0.0235209,0.019388,0.0270253,0.0542958,0.00859264,0.0112668,0.00443415,0.0261787,0.0207132,0.0280512,0.0132819,0.00505053,0,0,0.0317756,0,0.0139027,0.0102866,0.0368634,0.0290504,0.0263302,0.0222906,0.0104878,0.00987353,0.00755829,0.0296075,0.0445323,0.0251493,0.0327169,0.022383,0.0152264,0.00685881,0.00658742,0.00672237,0.00375928,0,0,0,0,0,0,0,0,0,0.00776272,0.00711806,0,0.0270099,0
199,0.00610717,0.00788594,0,0,0,0,0,0.0520567,0.0371539,0.0328403,0.0113238,0,0,0.00771188,0,0.0127514,0.00363163,0.0337913,0.0280773,0.00406084,0.0064123,0.0126588,0.011943,0.00676535,0.004495,0.0432705,0.0162314,0.0233621,0.0191979,0.0268977,0.0540528,0.00849851,0.0112709,0.00437589,0.0263482,0.0206612,0.0283864,0.0130378,0.00497045,0,0,0.0315637,0,0.0138844,0.0103532,0.0366446,0.0291655,0.0266326,0.0239565,0.010317,0.00986547,0.00791311,0.0304132,0.0447383,0.0255735,0.0336612,0.0227643,0.0152482,0.00695699,0.00653024,0.006837,0.00357755,0,0,0,0,0,0,0,0,0,0.00761123,0.00701353,0,0.0266637,0
200,0.00617267,0.00805398,0,0,0,0,0,0.0514705,0.0371494,0.0321901,0.0113353,0,0,0.00766987,0,0.0127212,0.00353393,0.0338689,0.0277414,0.00405772,0.00646765,0.0129801,0.0120573,0.00678219,0.00437382,0.0433411,0.0162023,0.0231386,0.0189804,0.0267652,0.0535643,0.00839683,0.0112714,0.00435141,0.0257744,0.0206491,0.0274703,0.0128884,0.00488135,0,0,0.0314075,0,0.0138812,0.0102987,0.0361727,0.0284145,0.026784,0.0236142,0.0101769,0.0099396,0.00790788,0.0303013,0.0448856,0.0254228,0.0338702,0.023262,0.0151355,0.00721331,0.00646986,0.00700459,0.00337353,0,0,0,0,0,0,0,0,0,0.00743518,0.00670442,0,0.0264674,0
201,0.00626019,0.00829356,0,0,0,0,0,0.0507234,0.0371299,0.0314126,0.011314,0,0,0.00769368,0,0.0126814,0.00343702,0.0339618,0.0272318,0.00407426,0.00655547,0.0132699,0.0121885,0.0068545,0.00433436,0.0433851,0.0161717,0.0229315,0.0187524,0.0265737,0.0528843,0.00827706,0.0112746,0.00434748,0.0250166,0.0206281,0.0260024,0.0127387,0.00480736,0,0,0.0313216,0,0.01387,0.0103264,0.0355034,0.0276564,0.0269272,0.0219043,0.00995255,0.00996699,0.00737174,0.0296548,0.0448019,0.0250495,0.0336505,0.0239604,0.015169,0.00763223,0.00653196,0.00719472,0.0033256,0,0,0,0,0,0,0,0,0,0.00741012,0.00617283,0,0.0264208,0
202,0.00644914,0.00859815,0,0,0,0,0,0.0499227,0.0371285,0.0306257,0.0113438,0,0,0.00786418,0,0.0126373,0.00339059,0.0340775,0.0268816,0.00410402,0.00691345,0.0135648,0.0124568,0.00698343,0.004465,0.0434023,0.0160944,0.0227689,0.0184978,0.0264024,0.0521267,0.00821098,0.0112988,0.00438558,0.0234566,0.0206216,0.0236096,0.0127115,0.00483352,0,0,0.0312794,0,0.0138782,0.0105008,0.0348375,0.0265667,0.0270845,0.0190214,0.00981626,0.00996301,0.00642239,0.028487,0.0445571,0.0242577,0.0329563,0.023948,0.0152706,0.00788127,0.00663635,0.00741149,0.00337395,0,0,0,0,0,0,0,0,0,0.00757343,0.00550108,0,0.0264537,0
203,0.00669026,0.00881711,0,0,0,0,0,0.0491825,0.0371524,0.0299641,0.0115142,0,0,0.0080516,0,0.0125915,0.00338182,0.0341907,0.026249,0.00417535,0.00734278,0.0138397,0.0127353,0.00716354,0.00459438,0.0434057,0.0161044,0.0226879,0.0182865,0.0262652,0.051439,0.00827033,0.0113551,0.00442758,0.0213449,0.0206085,0.0209672,0.0129601,0.00486128,0,0,0.0310703,0,0.0139045,0.0105712,0.0345134,0.0254317,0.0270932,0.0154901,0.00979719,0.00999698,0.00570753,0.027041,0.044014,0.0230027,0.0319083,0.0230652,0.0151748,0.00793068,0.00667246,0.00757223,0.00339622,0,0,0,0,0,0,0,0,0,0.00781431,0.00466531,0,0.0265835,0
204,0.00680728,0.00888143,0,0,0,0,0,0.0482591,0.0371601,0.0293255,0.0117551,0,0,0.00812319,0,0.0125517,0.00341702,0.0342941,0.0257696,0.0042024,0.00766555,0.0140371,0.012909,0.00740251,0.00470416,0.0434075,0.0161017,0.0225058,0.0180644,0.0261623,0.0506452,0.00844094,0.0113957,0.00443159,0.0196658,0.0205963,0.01904,0.0133615,0.00485289,0,0,0.0307414,0,0.0139277,0.010483,0.0346382,0.0249353,0.0269775,0.0122758,0.00968049,0.0100928,0.0059525,0.0254609,0.0429885,0.0215179,0.0305488,0.0229685,0.0150647,0.00800201,0.00665109,0.00762223,0.00331461,0,0,0,0,0,0,0,0,0,0.00812311,0.0037604,0,0.0265224,0
205,0.00697243,0.00878174,0,0,0,0,0,0.0473351,0.0370986,0.0287764,0.0120465,0,0,0.00811995,0,0.0124753,0.00345399,0.0344147,0.0255055,0.00417815,0.00796948,0.0140369,0.0130765,0.0076311,0.0048632,0.0433702,0.0160842,0.0222938,0.0178674,0.0259918,0.0498569,0.00861673,0.01141,0.00436127,0.0187677,0.0205701,0.0178065,0.013838,0.00481803,0,0,0.0303335,0,0.0139404,0.0103864,0.0349498,0.0244922,0.0268574,0.00980087,0.00947807,0.0101526,0.00701549,0.0239102,0.0416475,0.020034,0.0290058,0.0242243,0.0148909,0.00805011,0.00670615,0.00754352,0.00325514,0,0,0,0,0,0,0,0,0,0.00846675,0.00289791,0,0.0260718,0
206,0.00711615,0.00870291,0,0,0,0,0,0.0462917,0.0370644,0.028224,0.012263,0,0,0.00810699,0,0.0123949,0.00351208,0.034574,0.0252201,0.00417778,0.0081481,0.0141773,0.01321,0.00779901,0.00505047,0.0434699,0.0160134,0.0219637,0.0176646,0.0257927,0.0488365,0.00881884,0.0114133,0.00428639,0.0194999,0.0205808,0.0173195,0.0140826,0.00475053,0,0,0.0302024,0,0.013958,0.0104458,0.0351563,0.024583,0.0269641,0.00848754,0.00936071,0.010247,0.00723822,0.0229566,0.040585,0.0190646,0.0278558,0.0269782,0.0148005,0.00809302,0.00686207,0.00749928,0.00331587,0,0,0,0,0,0,0,0,0,0.00861076,0.00257634,0,0.0256991,0
207,0.00737096,0.00861644,0,0,0,0,0,0.0451428,0.0368863,0.0279329,0.0125236,0,0,0.00797582,0,0.0122152,0.0035725,0.0348051,0.0250175,0.00423679,0.00842011,0.0145581,0.0133982,0.0080129,0.00537311,0.0436193,0.015894,0.0215531,0.01738,0.0255504,0.0475709,0.00910974,0.0113394,0.00414174,0.0200921,0.0205844,0.0170544,0.0141433,0.0048795,0,0,0.0299305,0,0.0139896,0.0103511,0.0350532,0.0264125,0.0273097,0.00782581,0.00933181,0.0104178,0.00892719,0.0228656,0.0408171,0.0187481,0.0273595,0.0285411,0.014672,0.00806695,0.00689702,0.00746518,0.00367064,0,0,0,0,0,0,0,0,0,0.00865728,0.0028548,0,0.025505,0
208,0.00761677,0.00861353,0,0,0,0,0,0.0435706,0.036647,0.0274025,0.0127804,0,0,0.00771307,0,0.0120436,0.00360998,0.0350375,0.0245568,0.00439654,0.00869758,0.0149269,0.0136159,0.00813646,0.00579581,0.0437483,0.0156364,0.0209734,0.0169389,0.025229,0.0458727,0.00944724,0.0112184,0.00396038,0.0209143,0.0205446,0.0169942,0.0142325,0.00513916,0,0,0.0295417,0,0.0140022,0.0102251,0.0348364,0.028665,0.0277924,0.00781119,0.00954285,0.0106731,0.0108576,0.0229449,0.0417983,0.0188595,0.0270076,0.0280724,0.0144884,0.0078793,0.00695236,0.00755678,0.00403542,0,0,0,0,0,0,0,0,0,0.00864037,0.00379433,0,0.0254137,0
209,0.00787605,0.00864848,0,0,0,0,0,0.0419363,0.0364331,0.0266855,0.0131128,0,0,0.0073875,0,0.0119948,0.00367101,0.0352689,0.0242445,0.00461729,0.00897572,0.015118,0.0138578,0.00822134,0.00628645,0.0438053,0.0153915,0.0204626,0.0165355,0.0248444,0.0442558,0.00971694,0.0110697,0.0037645,0.0226679,0.0205179,0.0174612,0.0143782,0.00538392,0,0,0.0289016,0,0.0140159,0.0102554,0.0345553,0.0302853,0.028192,0.008566,0.00972424,0.010985,0.0122001,0.0225003,0.042129,0.0189616,0.0263528,0.027294,0.0143428,0.00733821,0.00695092,0.00764951,0.00421461,0,0,0,0,0,0,0,0,0,0.0087454,0.00515462,0,0.0251498,0
210,0.00812701,0.00856073,0,0,0,0,0,0.0402573,0.0362574,0.0260303,0.0134772,0,0,0.00714881,0,0.0120106,0.00380315,0.0354363,0.0240838,0.00484571,0.00919322,0.014885,0.0141747,0.0082316,0.00674302,0.0437317,0.0151175,0.0199397,0.0161547,0.0244801,0.042525,0.0101009,0.0109451,0.00358186,0.0240394,0.0204995,0.0186285,0.0145617,0.00559637,0,0,0.028196,0,0.0140652,0.0100158,0.0341535,0.0317535,0.0284255,0.0100994,0.00969114,0.0113456,0.0126882,0.0220873,0.0416701,0.0189661,0.0260318,0.0269357,0.0143087,0.00691069,0.00695268,0.00753311,0.00426952,0,0,0,0,0,0,0,0,0,0.00886653,0.00667379,0,0.0246705,0
211,0.00838025,0.00822756,0,0,0,0,0,0.0385909,0.0360133,0.0256269,0.0137559,0,0,0.00694851,0,0.0119573,0.0039709,0.0354759,0.0240022,0.00510329,0.00943934,0.0144462,0.0143699,0.00819072,0.00718699,0.043442,0.0146993,0.0192558,0.0157265,0.024009,0.0405154,0.0105055,0.0108039,0.00338383,0.0252035,0.020461,0.0197214,0.0146382,0.00578474,0,0,0.0273899,0,0.0141197,0.00970986,0.0334662,0.0331755,0.0287018,0.0114703,0.00939812,0.0115781,0.0123292,0.022216,0.041304,0.0190913,0.0261476,0.0274173,0.0142373,0.00712207,0.00694982,0.00715823,0.00459461,0,0,0,0,0,0,0,0,0,0.00901032,0.00781146,0,0.0241548,0
212,0.008707,0.00780581,0,0,0,0,0,0.0367888,0.0357675,0.0255352,0.0138802,0,0,0.00674145,0,0.0118777,0.00400389,0.0354184,0.0240651,0.00522038,0.00972429,0.0138877,0.0144642,0.00806389,0.00770292,0.0429388,0.0140932,0.0182907,0.0152141,0.023364,0.0379685,0.0107524,0.0106614,0.00312319,0.0264961,0.0203921,0.0203601,0.0144481,0.0060323,0,0,0.0264335,0,0.0141429,0.00951903,0.0326458,0.0343753,0.0291995,0.0116047,0.00892977,0.0118018,0.0117842,0.022476,0.0415703,0.019359,0.0259561,0.0295546,0.0140813,0.00722645,0.00685552,0.00676969,0.00517064,0,0,0,0,0,0,0,0,0,0.00913982,0.00845264,0,0.0236309,0
213,0.0090875,0.00791584,0,0,0,0,0,0.0349168,0.0356555,0.0256235,0.0141093,0,0,0.00659667,0,0.0117992,0.00388291,0.0353235,0.0241545,0.00543272,0.00973717,0.0139361,0.0146104,0.00773406,0.00817475,0.0426077,0.013167,0.0170178,0.0146738,0.0226269,0.0348235,0.0108268,0.0106119,0.0029556,0.0270914,0.0203963,0.0200203,0.0145859,0.00631759,0,0,0.0261621,0,0.0141458,0.00945851,0.0318895,0.0350472,0.0293562,0.0104279,0.00923199,0.0121171,0.0118948,0.0221235,0.0418679,0.0193133,0.0251089,0.032092,0.0139782,0.007154,0.00684388,0.00697881,0.00546286,0,0,0,0,0,0,0,0,0,0.00905061,0.0088256,0,0.0231069,0
214,0.00958545,0.00791642,0,0,0,0,0,0.0328782,0.0354272,0.0261458,0.0144466,0,0,0.0064765,0,0.0118132,0.00390098,0.0354552,0.0249287,0.00565376,0.00946815,0.0133202,0.0146165,0.0072772,0.00855872,0.0422604,0.0118696,0.0155079,0.014136,0.0217085,0.0316038,0.0109609,0.0104393,0.00276799,0.0259762,0.0203887,0.0192048,0.0143167,0.00679806,0,0,0.0254129,0,0.0141856,0.0092203,0.0313702,0.0352934,0.0302214,0.00902032,0.00860432,0.0124184,0.0122947,0.0212366,0.0419044,0.0189331,0.0240347,0.0321149,0.0137924,0.00687073,0.00680495,0.0069405,0.00585577,0,0,0,0,0,0,0,0,0,0.00881956,0.009064,0,0.0221199,0
215,0.0098842,0.00833895,0,0,0,0,0,0.0310158,0.0353986,0.0269357,0.0147497,0,0,0.00640878,0,0.0118753,0.00386118,0.0357324,0.0255897,0.00611659,0.00851285,0.0134713,0.0147613,0.00647754,0.00853055,0.042083,0.0101736,0.0137647,0.0137207,0.0207067,0.0278247,0.011058,0.0103757,0.00276652,0.0242947,0.0204483,0.0185934,0.0142932,0.00712127,0,0,0.0254324,0,0.0141807,0.009221,0.0313113,0.0350499,0.0305343,0.0080766,0.0084902,0.0126583,0.0125773,0.0198966,0.0412642,0.0180011,0.0229178,0.0303432,0.0136986,0.00673304,0.00676355,0.00738845,0.00636415,0,0,0,0,0,0,0,0,0,0.00795146,0.00909384,0,0.021205,0
216,0.0102559,0.00927461,0,0,0,0,0,0.0292609,0.0355324,0.0279874,0.0149963,0,0,0.00613915,0,0.0120652,0.0036742,0.0360644,0.0266853,0.00679491,0.0071167,0.0143554,0.0150984,0.00548086,0.00816568,0.0419794,0.00828027,0.0119866,0.0133893,0.0196331,0.0237838,0.0109553,0.0104073,0.00286274,0.0227359,0.0205795,0.0182265,0.0147679,0.00750893,0,0,0.0260975,0,0.0141281,0.009428,0.0315839,0.0345176,0.0299555,0.00748013,0.00927814,0.0127613,0.0127027,0.0186325,0.0403038,0.0168162,0.0218994,0.0285674,0.0135575,0.00663073,0.00672734,0.00841205,0.00695115,0,0,0,0,0,0,0,0,0,0.0068424,0.00892528,0,0.0207529,0
217,0.0106426,0.0102023,0,0,0,0,0,0.0282139,0.035616,0.029035,0.0149674,0,0,0.0059002,0,0.0121968,0.00353319,0.0365009,0.0281814,0.00741271,0.00550733,0.0149267,0.0155145,0.00410009,0.00766042,0.041873,0.00640192,0.0106486,0.0130782,0.0186183,0.0196983,0.0108008,0.0104511,0.00295189,0.0215113,0.0207444,0.0181916,0.0147433,0.00800529,0,0,0.0269055,0,0.0141242,0.00971522,0.0319271,0.0337181,0.0295398,0.00724845,0.00952714,0.0131121,0.0129787,0.018037,0.0396572,0.0160454,0.0214077,0.0265643,0.0135458,0.00665647,0.00673105,0.00936284,0.00758492,0,0,0,0,0,0,0,0,0,0.00596211,0.00878558,0,0.0205389,0
218,0.0109851,0.0109827,0,0,0,0,0,0.0279009,0.0357446,0.0300285,0.014778,0,0,0.00578465,0,0.0122781,0.00347305,0.0370867,0.029828,0.00791726,0.00411638,0.0152328,0.0159668,0.0024682,0.00759464,0.0418547,0.00485182,0.0101587,0.0128727,0.0177609,0.0159338,0.0106287,0.0105119,0.00307003,0.0205053,0.0209019,0.0182124,0.0142621,0.00849751,0,0,0.0276157,0,0.0141225,0.0101213,0.0324398,0.0326527,0.0292597,0.00733265,0.00926127,0.0135463,0.0130619,0.018028,0.0393255,0.0156223,0.0214041,0.0244121,0.0135871,0.00674619,0.00660953,0.010147,0.00822983,0,0,0,0,0,0,0,0,0,0.00599896,0.00877309,0,0.0207152,0
219,0.0115907,0.0119939,0,0,0,0,0,0.0273136,0.0359214,0.0311849,0.0145751,0,0,0.00570993,0,0.0124909,0.00344857,0.0378267,0.0318152,0.00845078,0.00344425,0.015573,0.0165964,0.00210794,0.00807549,0.0419079,0.00394512,0.0104056,0.0129698,0.0168416,0.0129789,0.0102719,0.0106328,0.00322801,0.0195549,0.0210395,0.0181045,0.0135998,0.00942287,0,0,0.0287241,0,0.0141879,0.0107491,0.0330243,0.0313802,0.0289694,0.00749743,0.00909167,0.0140901,0.0131994,0.0180817,0.0391657,0.0153837,0.0214112,0.0223457,0.0137765,0.00691541,0.00657683,0.0112315,0.00883429,0,0,0,0,0,0,0,0,0,0.00722036,0.00883495,0,0.0213331,0
220,0.0122426,0.0129141,0,0,0,0,0,0.0269254,0.0361944,0.0318738,0.0143824,0,0,0.00589343,0,0.0126556,0.00361748,0.0388172,0.0327945,0.00886905,0.0038306,0.0158939,0.0172678,0.00386408,0.00903982,0.0421849,0.00369524,0.0111525,0.0132072,0.0161549,0.0119139,0.0100198,0.0107467,0.00348894,0.0185408,0.0211866,0.0180188,0.0129811,0.0103929,0,0,0.0297379,0,0.0141717,0.01116,0.0336178,0.0300544,0.028751,0.00747022,0.0091414,0.0143016,0.0136262,0.0180409,0.0389899,0.015601,0.0212646,0.02036,0.0138799,0.00703901,0.00661829,0.0123047,0.00950279,0,0,0,0,0,0,0,0,0,0.0092843,0.00904027,0,0.0216847,0
221,0.0130134,0.0139139,0,0,0,0,0,0.0260131,0.0364284,0.032186,0.0142164,0,0,0.00629848,0,0.012855,0.00385074,0.0399601,0.0331332,0.00940365,0.00474539,0.0162874,0.0179878,0.00623892,0.0102028,0.0426755,0.00388385,0.0119765,0.0135975,0.0154636,0.0132227,0.00977642,0.0109264,0.00370924,0.0172327,0.0212633,0.0183968,0.0123008,0.0113964,0,0,0.0307137,0,0.0141615,0.0116057,0.033907,0.0291632,0.028796,0.00738798,0.00959343,0.0145075,0.0143908,0.018035,0.039305,0.0158441,0.0211472,0.0178126,0.0140626,0.00711761,0.006629,0.0134992,0.0106256,0,0,0,0,0,0,0,0,0,0.0115036,0.00952824,0,0.0217866,0
222,0.0138266,0.0147783,0,0,0,0,0,0.0252789,0.0365739,0.031867,0.0141009,0,0,0.00681342,0,0.0129975,0.00412489,0.0412335,0.03333,0.00996252,0.00605921,0.0165515,0.0186428,0.00847564,0.0115501,0.0434734,0.00428223,0.0126607,0.0140147,0.0149638,0.017195,0.00963224,0.0110802,0.00387485,0.016355,0.0213687,0.0186268,0.0115984,0.0123112,0,0,0.0314772,0,0.0141803,0.0119822,0.0338514,0.0283031,0.0290434,0.00740552,0.0102163,0.0147292,0.0149313,0.0179096,0.0396938,0.0160027,0.0207687,0.0155262,0.0143251,0.00721271,0.00664348,0.0146032,0.01155,0,0,0,0,0,0,0,0,0,0.0140445,0.00993819,0,0.0214839,0
223,0.0146307,0.0155061,0,0,0,0,0,0.0254218,0.0367325,0.0310192,0.0140359,0,0,0.00723402,0,0.0131781,0.00432486,0.0425308,0.0341942,0.0105069,0.00758443,0.0167549,0.0191601,0.0104116,0.0128375,0.0444879,0.00460835,0.0128673,0.0141471,0.0147972,0.0233974,0.00947015,0.0112507,0.00398408,0.0159295,0.021458,0.0185819,0.010977,0.013099,0,0,0.0322384,0,0.0142108,0.012377,0.0336827,0.0275428,0.0293702,0.00755883,0.0109697,0.0150785,0.0149852,0.0175871,0.0398278,0.0160935,0.0201051,0.0137608,0.0144735,0.00733349,0.00667551,0.0155531,0.0124749,0,0,0,0,0,0,0,0,0,0.0165323,0.0100348,0,0.0209607,0
224,0.0152143,0.0160476,0,0,0,0,0,0.0264068,0.0369045,0.0302919,0.0139816,0,0,0.00772688,0,0.0133833,0.00458765,0.0435726,0.0363447,0.0109613,0.00921241,0.0169951,0.0196065,0.0120716,0.0138738,0.0453582,0.00476655,0.0128275,0.0139223,0.0150018,0.0305154,0.00930881,0.0114098,0.00406708,0.0158742,0.0215383,0.0185173,0.0104835,0.0137183,0,0,0.0328287,0,0.0142469,0.012734,0.0335507,0.027029,0.0296379,0.0078297,0.0117108,0.0153469,0.0145692,0.0172546,0.0397558,0.0162569,0.0194581,0.0125022,0.0144995,0.00741913,0.00667012,0.0162172,0.0132465,0,0,0,0,0,0,0,0,0,0.0184572,0.00988139,0,0.0205639,0
225,0.0155829,0.016421,0,0,0,0,0,0.0267073,0.0370882,0.0302272,0.0138875,0,0,0.00826761,0,0.0136344,0.0049208,0.0442563,0.0397353,0.0113088,0.0109036,0.0172882,0.0199903,0.0133788,0.014523,0.0458382,0.00491985,0.0128786,0.013583,0.0153266,0.0352691,0.00918536,0.0115359,0.00420739,0.0160731,0.0216154,0.018999,0.0100655,0.0143648,0,0,0.0333737,0,0.0142731,0.013104,0.0333523,0.0271085,0.0297483,0.0081425,0.0126285,0.0154573,0.0141468,0.017019,0.0399589,0.0160815,0.0191307,0.0113737,0.0146235,0.00750347,0.00661229,0.01658,0.0136636,0,0,0,0,0,0,0,0,0,0.0202581,0.00972494,0,0.0205394,0
226,0.0157931,0.0166792,0,0,0,0,0,0.0264406,0.0372373,0.0307671,0.0139525,0,0,0.00888302,0,0.0138684,0.00528239,0.0443142,0.0420333,0.0115478,0.0123807,0.0176651,0.0202745,0.0143431,0.0147448,0.0459259,0.00496235,0.0130251,0.0133532,0.0156201,0.0368579,0.00911201,0.0116458,0.00441691,0.0163621,0.0216903,0.019506,0.00981005,0.0147445,0,0,0.0337655,0,0.0143241,0.0134168,0.0329906,0.027148,0.0295456,0.00842044,0.0136954,0.015493,0.0133121,0.0168336,0.0398897,0.0156045,0.0189118,0.0106776,0.0148006,0.00760382,0.00657284,0.0167153,0.0138174,0,0,0,0,0,0,0,0,0,0.0219375,0.00951566,0,0.0206126,0
227,0.0158478,0.0168677,0,0,0,0,0,0.0260352,0.0374323,0.0308902,0.0143393,0,0,0.00960427,0,0.0140774,0.00569211,0.0435934,0.042644,0.0116712,0.0136532,0.0181698,0.0204761,0.0151781,0.0148074,0.0456795,0.00503472,0.0132043,0.0131679,0.0158543,0.0373881,0.00909835,0.0117961,0.00463523,0.0164284,0.0217756,0.0194441,0.00983754,0.014734,0,0,0.034037,0,0.0144084,0.0136947,0.0325936,0.0268045,0.0290895,0.00866283,0.0147788,0.0154785,0.0126623,0.0166597,0.039187,0.0153746,0.0188216,0.0103253,0.0149436,0.00766925,0.00660514,0.0167609,0.0138941,0,0,0,0,0,0,0,0,0,0.0234663,0,0,0.020374,0
228,0.0157731,0.0170309,0,0,0,0,0,0.0264702,0.0376337,0.0305872,0.0148122,0,0,0.0102833,0,0.0142897,0.00610314,0.0422096,0.0429822,0.0117566,0.0148655,0.0188069,0.0207287,0.0156685,0.0149299,0.0452116,0.00528687,0.0133514,0.012968,0.0160817,0.0384206,0.00920462,0.0119692,0.00482138,0.0162441,0.0218111,0.0191285,0.00988508,0.0145188,0,0,0.0342086,0,0.0144353,0.0138137,0.0322738,0.0258488,0.0285744,0.0087308,0.0159433,0.0153322,0.0118861,0.0164104,0.0377782,0.0153408,0.0187099,0.0102826,0.0150065,0.00782099,0.00665791,0.0168011,0.0138041,0,0,0,0,0,0,0,0,0,0.0243765,0.00898366,0,0.0203145,0
229,0.0156288,0.0171961,0,0,0,0,0,0.0272612,0.0378834,0.0308728,0.0153757,0,0,0.0108975,0,0.0144974,0.00641892,0.0405939,0.0437574,0.0118712,0.0159227,0.0194448,0.0209397,0.0159444,0.0151656,0.0446695,0.00562202,0.0133526,0.012816,0.0161979,0.0396594,0.00928857,0.0121579,0.00497115,0.0158956,0.0218149,0.0188465,0.01002,0.0141644,0,0,0.0343122,0,0.0144275,0.0138771,0.0319342,0.0251565,0.0281585,0.00899988,0.0170239,0.0151068,0.0117825,0.0162449,0.0370684,0.0150883,0.018769,0.00989376,0.014985,0.00800248,0.00662682,0.0169011,0.0135981,0,0,0,0,0,0,0,0,0,0.0244133,0.00904291,0,0.020601,0
230,0.0155724,0.0174375,0,0,0,0,0,0.0279814,0.0380758,0.0315885,0.0159093,0,0,0.0114944,0,0.0146482,0.00671782,0.0390591,0.0445694,0.0121312,0.0165171,0.0201329,0.0210321,0.0160008,0.0153484,0.0441136,0.00578534,0.0131302,0.0128081,0.0161802,0.0407376,0.00934319,0.0122891,0.00509389,0.0157578,0.0218272,0.0187062,0.0101677,0.0139307,0,0,0.0344718,0,0.014398,0.0140572,0.0316627,0.0247403,0.0278038,0.00968466,0.0181592,0.0149439,0.0119615,0.0161772,0.0367991,0.0147313,0.0188036,0.00967174,0.0149859,0.00810987,0.00676543,0.0171273,0.0133446,0,0,0,0,0,0,0,0,0,0.0244955,0.00922119,0,0.0210076,0
