Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTHII,x75
31,0.00623709,0.00686357,0,0,0,0,0,0,0.0230676,0.0323879,0.0195522,0.00831344,0,0,0.00894928,0,0.00953915,0.00676128,0.0319993,0.0204893,0.00605943,0.0019718,0.0180943,0.012925,0.00847375,0.00469274,0.00344752,0.0465229,0.0108664,0.0125831,0.0137991,0.0286265,0.018348,0.0103028,0.0100765,0.00346164,0.0182689,0.0212656,0.0185447,0.00654279,0.00755011,0,0,0.0344968,0,0.0136465,0.0137554,0.0358864,0.0337092,0.0247181,0.00786953,0.00863165,0.0111182,0.00328206,0.0261463,0.00557394,0.0199799,0.0407637,0.0175618,0.0235749,0.0190251,0.0145805,0.0136154,0.00834538,0.00643016,0.00506375,0,0,0,0,0,0,0,0,0,0
32,0.00573144,0.00662181,0,0,0,0,0,0,0.0228902,0.0320638,0.0202421,0.00852519,0,0,0.00898823,0,0.00952901,0.00698637,0.0321436,0.0212237,0.00616922,0.0018313,0.0176183,0.0131434,0.00815104,0.00442613,0.00323706,0.0462396,0.0101705,0.0124685,0.013469,0.0282607,0.0168892,0.0105603,0.00994759,0.00339971,0.0190321,0.0211877,0.0188441,0.00678905,0.0072415,0,0,0.033318,0,0.0136784,0.0132209,0.0351181,0.0349027,0.0244592,0.00844238,0.0082861,0.0108299,0.00367744,0.0255594,0.00567827,0.0203729,0.0408352,0.0177623,0.0238367,0.0202113,0.013869,0.0137317,0.00844358,0.00635668,0.00474307,0,0,0,0,0,0,0,0,0,0
33,0.00524252,0.00639144,0,0,0,0,0,0,0.0226513,0.0317546,0.0211638,0.00871531,0,0,0.00912535,0,0.00956886,0.00717569,0.0321327,0.0222632,0.00625237,0.00193513,0.0171084,0.0131846,0.00759994,0.00415997,0.00306344,0.0457588,0.00949082,0.0123106,0.0131826,0.0274182,0.0152781,0.0107771,0.00980543,0.00346315,0.0188934,0.0211574,0.0185666,0.00699737,0.00693064,0,0,0.0323486,0,0.0137189,0.012755,0.0343749,0.0354081,0.0242764,0.00732142,0.00797668,0.0105524,0.00405748,0.0248456,0.00586044,0.0200761,0.0409504,0.0176045,0.0232288,0.0218133,0.0132797,0.013534,0.00835487,0.00619862,0.00451854,0,0,0,0,0,0,0,0,0,0
34,0.00491793,0.00626524,0,0,0,0,0,0,0.0224019,0.0315605,0.0224418,0.0089448,0,0,0.00919146,0,0.00962,0.00717665,0.032057,0.023751,0.00622984,0.00228242,0.0166922,0.013015,0.00683868,0.00397235,0.00266422,0.0451524,0.00875526,0.0122723,0.0129083,0.0262319,0.013754,0.0108762,0.00970257,0.00351666,0.0177306,0.0211614,0.0177666,0.0072781,0.00681187,0,0,0.0318474,0,0.0137275,0.0125018,0.0338551,0.0351338,0.0241374,0.00576075,0.00781513,0.0103326,0.00435045,0.0240372,0.00629721,0.0189773,0.0406609,0.01692,0.0218357,0.0227133,0.0129849,0.0132285,0.00819384,0.00602987,0.00442496,0,0,0,0,0,0,0,0,0,0
35,0.00492725,0.00631183,0,0,0,0,0,0,0.0224832,0.0315162,0.0239048,0.00916193,0,0,0.00919487,0,0.00968626,0.00704888,0.0321101,0.0256726,0.0060974,0.00293185,0.016589,0.0129623,0.00585243,0.00408477,0.00222756,0.0446056,0.00803027,0.0125861,0.0125087,0.0249083,0.0127081,0.0108455,0.00968006,0.00365959,0.0163691,0.021178,0.0169156,0.00755439,0.00697284,0,0,0.0319526,0,0.0137201,0.0125806,0.0336786,0.0341915,0.0239862,0.0053499,0.00793122,0.010319,0.00484182,0.0231556,0.00690234,0.0177146,0.0400083,0.0159108,0.0201393,0.0224408,0.0126505,0.0130589,0.00815117,0.00594877,0.00463211,0,0,0,0,0,0,0,0,0,0
36,0.00325741,0.00443751,0,0,0,0,0,0,0.0230046,0.0308928,0.0255229,0.00978782,0,0,0.0105732,0,0.00980163,0.007845,0.0330365,0.0285389,0.00684807,0.00416155,0.0159035,0.0111748,0.00483521,0.0057638,0.00295441,0.0443182,0.00743551,0.0133629,0.0118218,0.0228707,0.0124358,0.011363,0.00927471,0.00403457,0.00895726,0.0210433,0.0084077,0.00841755,0.00656058,0,0,0.0312977,0,0.0137213,0.0119343,0.0330001,0.0234033,0.0283608,0.0113054,0.00819927,0.00952847,0.00625767,0,0.0102471,0.0130386,0.0335326,0.00859655,0.012152,0.0211229,0.0113896,0.0129179,0.00829512,0.00362299,0.00419001,0,0,0,0,0,0,0,0,0,0
37,0.00563232,0.00662184,0,0,0,0,0,0,0.0248611,0.0314325,0.0277944,0.00907864,0,0,0.00836483,0,0.00985672,0.00641604,0.0325692,0.0311847,0.00543159,0.00514837,0.0165354,0.0118624,0.00447542,0.00617835,0.00289907,0.0433548,0.00744509,0.0143355,0.0115719,0.0218952,0.012699,0.00998317,0.00941608,0.00382696,0.0136878,0.0212447,0.014674,0.00789626,0.0082919,0,0,0.0332591,0,0.0137095,0.0135131,0.0346313,0.0302099,0.0235785,0.0060396,0.00805258,0.011054,0.00605801,0.0219174,0.00849399,0.0154263,0.0387609,0.0138707,0.0164951,0.0214944,0.0129109,0.0137817,0.00836312,0.00601343,0.00571849,0,0,0,0,0,0,0,0,0,0
38,0.00637162,0.00733695,0,0,0,0,0,0,0.0270048,0.0315846,0.0296413,0.00860217,0,0,0.0079096,0,0.00990187,0.00592568,0.0330192,0.0336737,0.00541064,0.00656526,0.0172448,0.012625,0.00407667,0.00821571,0.00405279,0.0428489,0.00777008,0.0153503,0.0111981,0.0204265,0.0132518,0.00992414,0.00950198,0.00369745,0.0146611,0.0214063,0.0150472,0.00752568,0.00933273,0,0,0.0337343,0,0.0136835,0.0139878,0.0353096,0.0293631,0.0236116,0.0054666,0.00855993,0.0115311,0.00637437,0.0213568,0.00864193,0.0154803,0.0388629,0.0140151,0.0166334,0.020148,0.0130201,0.0142429,0.0083495,0.00676705,0.0067559,0,0,0,0,0,0,0,0,0,0
39,0.00742776,0.00840925,0,0,0,0,0,0,0.0286033,0.0316891,0.0315497,0.00806096,0,0,0.00728413,0,0.01005,0.00526936,0.033539,0.0364599,0.00564445,0.00817735,0.0181213,0.0134864,0.00433245,0.0102738,0.00553039,0.0423404,0.00827052,0.016366,0.0110294,0.018978,0.0145494,0.00985718,0.00963343,0.00354118,0.0148601,0.0214817,0.0153404,0.00712279,0.010609,0,0,0.0348536,0,0.0137295,0.014889,0.0360159,0.0284477,0.0234502,0.00544816,0.00934836,0.0124006,0.00681204,0.0212697,0.00914097,0.0155495,0.0390587,0.0141635,0.0166908,0.0184925,0.0135038,0.0147769,0.00838297,0.0078048,0.00833224,0,0,0,0,0,0,0,0,0,0
40,0.00855349,0.00946894,0,0,0,0,0,0,0.030064,0.0317991,0.03299,0.00759396,0,0,0.00683438,0,0.0101412,0.00468061,0.0342491,0.0385163,0.006002,0.00962957,0.0190042,0.0142761,0.00531511,0.0123105,0.00709288,0.0420548,0.00876668,0.0172948,0.0110354,0.0176891,0.0159044,0.00969188,0.00967779,0.0034823,0.014753,0.0215791,0.0156699,0.00671301,0.0119486,0,0,0.0359913,0,0.0136825,0.0157633,0.0367267,0.0277535,0.0231527,0.00565623,0.0103373,0.013297,0.00691507,0.0212139,0.00980555,0.0156549,0.039345,0.0143963,0.0167627,0.0168159,0.014045,0.015231,0.00842674,0.0088368,0.00996373,0,0,0,0,0,0,0,0,0,0
41,0.00976179,0.0108543,0,0,0,0,0,0,0.0303361,0.0319012,0.0340679,0.00742125,0,0,0.00645286,0,0.0102928,0.00398904,0.0351756,0.0398966,0.00673622,0.0105289,0.0198683,0.0153495,0.00660044,0.0137271,0.00831065,0.0420217,0.00910879,0.017407,0.0113897,0.0164295,0.0176055,0.00948039,0.00983391,0.00343575,0.0143279,0.0216003,0.0161128,0.00637192,0.0131589,0,0,0.0374876,0,0.0137219,0.0167634,0.0372469,0.027469,0.0229605,0.00587059,0.0114636,0.0143846,0.00651701,0.0209076,0.0105165,0.015913,0.0397675,0.0147767,0.0169664,0.0151393,0.014808,0.015601,0.00849731,0.0102655,0.011337,0,0,0,0,0,0,0,0,0,0
42,0.0108175,0.0119997,0,0,0,0,0,0,0.0300073,0.0321024,0.0342804,0.00779625,0,0,0.00631033,0,0.0104381,0.00365663,0.0362633,0.0398035,0.00770196,0.0109093,0.0203063,0.0162921,0.00767346,0.0147209,0.00936543,0.0423934,0.00946045,0.0173034,0.0119648,0.0152902,0.019974,0.00937231,0.0099819,0.00341555,0.0140518,0.0216681,0.0164715,0.00615906,0.0142438,0,0,0.0387034,0,0.0137364,0.017498,0.0374516,0.0270531,0.0229611,0.0060651,0.0124011,0.0152245,0.00757462,0.0202254,0.0110978,0.0162111,0.0402395,0.0151869,0.0171032,0.0137622,0.0154029,0.0158683,0.00855319,0.0114523,0.0126307,0,0,0,0,0,0,0,0,0,0
43,0.0117331,0.0130017,0,0,0,0,0,0,0.0297747,0.032308,0.0335183,0.00828343,0,0,0.00628915,0,0.0105197,0.00341446,0.0372987,0.03891,0.00843219,0.0111407,0.0207477,0.016862,0.00848328,0.0155275,0.0100884,0.042944,0.00984498,0.0168558,0.012677,0.0142355,0.0238231,0.00925465,0.0100671,0.0034918,0.0140899,0.021778,0.0167146,0.00581178,0.0151714,0,0,0.0397715,0,0.0137024,0.0180956,0.0374175,0.0265342,0.0231302,0.00624947,0.0133558,0.0158986,0.0081407,0.0193304,0.0111785,0.0163884,0.0407233,0.0155316,0.0170865,0.0122375,0.0159547,0.0159933,0.0086254,0.0125826,0.0136114,0,0,0,0,0,0,0,0,0,0
44,0.0126344,0.0140245,0,0,0,0,0,0,0.030201,0.0324227,0.0318816,0.00885048,0,0,0.00645815,0,0.0105486,0.00304874,0.0381469,0.0381501,0.00916473,0.0107568,0.0212799,0.0173221,0.00926267,0.0159615,0.0105815,0.0435822,0.0100249,0.0157183,0.0132858,0.0134138,0.0295649,0.0090419,0.0101859,0.00343844,0.014369,0.0218643,0.0170109,0.00541351,0.0160066,0,0,0.040868,0,0.0137088,0.018752,0.0373375,0.0262895,0.0233811,0.00638789,0.0143849,0.0164814,0.00935815,0.01854,0.0108263,0.0165219,0.0411221,0.0158225,0.0170717,0.0112915,0.01656,0.0158066,0.00878948,0.0137463,0.0146065,0,0,0,0,0,0,0,0,0,0
45,0.013157,0.0149804,0,0,0,0,0,0,0.0300964,0.0323052,0.0294182,0.00817129,0,0,0.0063926,0,0.0107126,0.00270674,0.0393462,0.0378579,0.0103862,0.0109216,0.022549,0.0173626,0.0103445,0.0164822,0.011231,0.0449397,0.0101441,0.0142249,0.0136945,0.0129485,0.0353414,0.00859397,0.0102999,0.00334929,0.00839858,0.0218224,0.0070916,0.00335678,0.0165394,0,0,0.0423009,0,0.0137578,0.0194633,0.0349862,0.00986931,0.0263672,0.0137048,0.0153869,0.0170518,0.0116212,0,0.0150404,0.0109811,0.0356922,0.0078906,0.00787276,0.0100594,0.0171171,0.0157787,0.00902552,0.0149793,0.0151095,0,0,0,0,0,0,0,0,0,0
46,0.0149901,0.0168326,0,0,0,0,0,0,0.0313233,0.0327668,0.029009,0.00981054,0,0,0.0072806,0,0.0109518,0.00277135,0.0389895,0.0394127,0.0106182,0.0106507,0.0233237,0.0191931,0.0100809,0.0162026,0.0106268,0.044672,0.00977975,0.0126991,0.0137457,0.0130366,0.0402249,0.00831284,0.0106413,0.00355333,0.0144676,0.0219208,0.0174037,0.00398411,0.0176548,0,0,0.0437647,0,0.0137428,0.0204337,0.0370269,0.0263875,0.0234208,0.00624338,0.017521,0.0176955,0.00914835,0.0178899,0.00942939,0.016391,0.0413559,0.0158941,0.0169175,0.0104474,0.0182474,0.0160273,0.00916234,0.0167869,0.0166126,0,0,0,0,0,0,0,0,0,0
47,0.0155108,0.0175094,0,0,0,0,0,0,0.0312912,0.0331654,0.0290666,0.0100131,0,0,0.00777793,0,0.0110279,0.00301038,0.0387353,0.0404872,0.0113129,0.0105189,0.0239973,0.0195007,0.0100612,0.0162845,0.0102269,0.0446696,0.00956839,0.0116575,0.0140993,0.0129589,0.0415336,0.00816753,0.010766,0.00369355,0.0153806,0.0220256,0.017427,0.00320462,0.0180276,0,0,0.044692,0,0.0136791,0.0210301,0.0366441,0.026184,0.0233483,0.00608487,0.018934,0.0181546,0.00840712,0.0179183,0.00855529,0.0162179,0.0410457,0.0156708,0.0168075,0.0104786,0.0189284,0.016164,0.00920508,0.0175006,0.0168506,0,0,0,0,0,0,0,0,0,0
48,0.0161438,0.0182932,0,0,0,0,0,0,0.0305512,0.0333828,0.0289424,0.0105562,0,0,0.00852468,0,0.011168,0.00329296,0.0377325,0.0405121,0.0117781,0.00973876,0.0249498,0.0202798,0.00978266,0.0158038,0.00942032,0.0443249,0.00927674,0.0107921,0.014414,0.0128252,0.0414912,0.00815598,0.0108835,0.00364862,0.0166294,0.0220768,0.0180452,0.00298902,0.0183588,0,0,0.0454297,0,0.0136858,0.0215649,0.0361433,0.0267632,0.0231693,0.00677241,0.0206241,0.0185243,0.00838359,0.0183446,0.00756448,0.0164161,0.040765,0.0156443,0.0172505,0.0113114,0.0194379,0.0164343,0.009221,0.0182825,0.0173417,0,0,0,0,0,0,0,0,0,0
49,0.0167976,0.0190553,0,0,0,0,0,0,0.0301724,0.0335323,0.028245,0.0115152,0,0,0.0094347,0,0.011472,0.00356397,0.0362725,0.0403073,0.0120673,0.00894935,0.0259939,0.0213462,0.00918465,0.0148237,0.00832533,0.0437153,0.00902315,0.0100101,0.0147053,0.0126618,0.0416372,0.00829555,0.010962,0.00360684,0.017992,0.0220935,0.0191079,0.00319676,0.0186007,0,0,0.0458277,0,0.0136937,0.0218263,0.0355414,0.0277464,0.0228798,0.00813196,0.0223024,0.0186386,0.00823497,0.0187558,0.00659206,0.0167791,0.0405756,0.0156865,0.0179856,0.0119622,0.0197208,0.0166665,0.00921926,0.0190536,0.0178051,0,0,0,0,0,0,0,0,0,0
50,0.0173275,0.0196332,0,0,0,0,0,0,0.0305162,0.0336481,0.0279031,0.0125143,0,0,0.0101903,0,0.011541,0.00386036,0.0348266,0.0402162,0.0123662,0.00838194,0.0270625,0.0222173,0.00829812,0.013689,0.00729317,0.0429504,0.00902097,0.00934899,0.0149787,0.0125661,0.0422437,0.00856899,0.011122,0.00375363,0.0193488,0.0221166,0.0199423,0.00375413,0.0187612,0,0,0.0459697,0,0.0136904,0.0219059,0.0350902,0.028402,0.0226105,0.00952481,0.0237768,0.0184894,0.00799855,0.0189044,0.00596067,0.0170314,0.0402508,0.0156068,0.0185917,0.0127611,0.0198173,0.0167633,0.00921853,0.0196644,0.0182143,0,0,0,0,0,0,0,0,0,0
51,0.0176862,0.0200539,0,0,0,0,0,0,0.0312072,0.0337213,0.0281775,0.0134831,0,0,0.0106606,0,0.0115102,0.00410899,0.0337192,0.0402105,0.0127307,0.00799506,0.0281486,0.0227316,0.00737836,0.0126261,0.00663186,0.0421495,0.00927975,0.0089344,0.0152599,0.0125119,0.0432887,0.00869522,0.01127,0.00389255,0.020842,0.0221339,0.0207993,0.00467108,0.0188973,0,0,0.0461182,0,0.0136567,0.021909,0.034868,0.0291255,0.0224718,0.011218,0.025069,0.0182265,0.00780715,0.0187534,0.00566658,0.0173019,0.0398142,0.0154482,0.0190696,0.0140159,0.0197806,0.0167718,0.0092562,0.0201414,0.0185761,0,0,0,0,0,0,0,0,0,0
52,0.0179136,0.0203748,0,0,0,0,0,0,0.0318572,0.0338431,0.0283189,0.0144435,0,0,0.0108868,0,0.0115968,0.00421533,0.0329958,0.0403273,0.0130595,0.00787276,0.0291078,0.0230964,0.00663291,0.0117893,0.00632903,0.0413795,0.00965872,0.00874713,0.0155213,0.0124778,0.0444927,0.00866365,0.0113402,0.00391914,0.0220886,0.0221426,0.021397,0.00519198,0.0189707,0,0,0.0463336,0,0.0136227,0.0219704,0.0349264,0.0295305,0.0222336,0.0125198,0.0261677,0.0179215,0.00793377,0.0191091,0.00582427,0.0174955,0.0393991,0.0152591,0.0193213,0.0151902,0.0198458,0.0169001,0.00935032,0.020538,0.0187984,0,0,0,0,0,0,0,0,0,0
53,0.017679,0.0203777,0,0,0,0,0,0,0.0322615,0.0339044,0.0283535,0.0149094,0,0,0.0109499,0,0.0117686,0.00421514,0.032808,0.0407121,0.01282,0.00792163,0.0293803,0.0231281,0.00636829,0,0.00651942,0.0408675,0.00989817,0.00882132,0.0158458,0.01241,0.0456142,0.0084759,0.0113102,0.00385999,0.0226953,0.0221465,0.0217388,0.00511307,0.0186152,0,0,0.0462837,0,0.0135937,0.0218313,0.0349857,0.0296638,0.0219624,0.0134975,0.0267629,0.0173962,0.00780513,0.0192878,0.0057365,0.0173862,0.0388881,0.0148351,0.0193679,0.0153245,0.0197838,0.0168609,0.00933908,0.0206116,0.0186453,0,0,0,0,0,0,0,0,0,0
54,0.0176956,0.0205453,0,0,0,0,0,0,0.0325931,0.034005,0.0283132,0.0160343,0,0,0.0113166,0,0.0118127,0.00436925,0.0324525,0.0410217,0.0135676,0.00804587,0.0303659,0.0231875,0.00595696,0.0113025,0.00639429,0.0402084,0.0099457,0.00861037,0.0160236,0.0124458,0.0468258,0.00833132,0.011314,0.00395706,0.0226516,0.0221938,0.0219845,0.0052153,0.0186616,0,0,0.0466265,0,0.0135674,0.0219648,0.0345476,0.029791,0.0215794,0.0141587,0.0279374,0.0173006,0.00757346,0.0192986,0.00533351,0.0171796,0.0384458,0.0143516,0.0192541,0.0150782,0.0200755,0.0167671,0.00935181,0.0207888,0.0187625,0,0,0,0,0,0,0,0,0,0
55,0.0175142,0.0205856,0,0,0,0,0,0,0.0329956,0.0341117,0.0284616,0.0164736,0,0,0.0114826,0,0.0117643,0.00446907,0.0323984,0.0416623,0.0135209,0.00818669,0.0308267,0.0232513,0.00591009,0.0100619,0.00656997,0.0396999,0.00994085,0.00863071,0.0160977,0.0124903,0.0480759,0.00828072,0.0114377,0.00399981,0.0233644,0.0221779,0.0227976,0.00548549,0.0184128,0,0,0.0467378,0,0.0135243,0.0218971,0.034187,0.0307218,0.020919,0.0153101,0.0288164,0.0170838,0.00697013,0.0197112,0.00502452,0.0174357,0.0380517,0.0141973,0.0196137,0.0158725,0.0200494,0.0166974,0.00939821,0.020877,0.0187903,0,0,0,0,0,0,0,0,0.00576934,0
56,0.0168818,0.0202575,0,0,0,0,0,0,0.0334553,0.0341642,0.0284508,0.0162399,0,0,0.0111274,0,0.0117125,0.00430631,0.0327088,0.0425716,0.0127294,0.00806638,0.0302645,0.0229797,0.0059995,0,0.0068257,0.0393681,0.00994874,0.00897583,0.0161675,0.0125613,0.0488638,0.00811129,0.0115516,0.00399535,0.0235782,0.0221416,0.0227938,0.00516785,0.017728,0,0,0.0463827,0,0.0135021,0.0214986,0.0340465,0.0309923,0.0202811,0.0157405,0.0289377,0.0165542,0.00637269,0.0204598,0.00480499,0.0173262,0.0377007,0.0138952,0.0195654,0.0160166,0.0196738,0.0169021,0.00943914,0.0206589,0.0182235,0,0,0,0,0,0,0,0,0,0
57,0.0164129,0.0200468,0,0,0,0,0,0,0.0341679,0.0341479,0.0285595,0.0162266,0,0,0.0109635,0,0.011875,0.00412683,0.0328435,0.0431772,0.0124202,0.00810671,0.0298853,0.022777,0.00592162,0,0.0069033,0.03896,0.00996393,0.00920845,0.0160293,0.0127699,0.0494028,0.00794882,0.0114751,0.00393163,0.02408,0.0221166,0.0227354,0.00492964,0.0172406,0,0,0.0461335,0,0.0134726,0.0211173,0.0342557,0.0315338,0.0197848,0.0168605,0.0292357,0.016213,0.00578375,0.0204829,0.00472577,0.0175174,0.0372922,0.013644,0.0198031,0.0166006,0.0194397,0.017157,0.00948408,0.0205686,0.017703,0,0,0,0,0,0,0,0,0.00653457,0
58,0.0159748,0.019885,0,0,0,0,0,0,0.0349923,0.0341939,0.0288999,0.0161375,0,0,0.0107239,0,0.0120126,0.00389648,0.0330257,0.043618,0.0120668,0.00846088,0.0293258,0.0226907,0.00597037,0,0.00734038,0.0384973,0.00988632,0.00945459,0.0157115,0.0131074,0.0503468,0.00788357,0.0114586,0.00395315,0.0243207,0.0220973,0.0227145,0.00516199,0.0167893,0,0,0.0459308,0,0.0134506,0.0208072,0.0347289,0.0315132,0.0193219,0.0175527,0.0293795,0.0159371,0.00535156,0.0207883,0.00480744,0.0174855,0.0369224,0.0133329,0.019745,0.0168591,0.0193177,0.0170512,0.00947064,0.0205777,0.0172106,0,0,0,0,0,0,0,0,0.00700053,0
59,0.0155758,0.0196773,0,0,0,0,0,0,0.0360912,0.0342347,0.0295064,0.0161459,0,0,0.0105592,0,0.0120036,0.00371172,0.0332899,0.0443258,0.0117495,0.00889134,0.0285081,0.0225945,0.00626685,0,0.00836705,0.0381124,0.00983503,0.00984066,0.0152002,0.0135145,0.0513937,0.0078588,0.011498,0.00396114,0.0243775,0.0220352,0.0228061,0.00521049,0.0164001,0,0,0.0456797,0,0.0134032,0.0205491,0.0353565,0.0314828,0.0188897,0.018056,0.029286,0.015664,0.00505031,0.0212706,0.00490011,0.0174436,0.0366377,0.0130652,0.019786,0.0170331,0.0191964,0.0168826,0.0094088,0.0205845,0.0167974,0,0,0,0,0,0,0,0,0.00727646,0
60,0.0151799,0.0194256,0,0,0,0,0,0,0.0373172,0.0341996,0.0302233,0.0161319,0,0,0.0104974,0,0.0119524,0.00362342,0.033642,0.0452651,0.0114414,0.0088033,0.0274767,0.0224483,0.0066504,0,0.00878779,0.037847,0.00977999,0.0102701,0.0145131,0.0139553,0.0523194,0.00778297,0.0114883,0.00389619,0.0242999,0.0219771,0.0228372,0.00512775,0.0160314,0,0,0.0453617,0,0.013378,0.0201977,0.0360589,0.0314647,0.0184727,0.0184103,0.0289279,0.0153533,0.00487014,0.0218148,0.00500071,0.0173721,0.0363423,0.0128156,0.019709,0.0171375,0.0188723,0.0165965,0.00936043,0.0204754,0.0164107,0,0,0,0,0,0,0,0,0.00744625,0
61,0.0148096,0.0192418,0,0,0,0,0,0,0.0384664,0.0341478,0.0309354,0.0160215,0,0,0.0104075,0,0.0119478,0.00353701,0.0340217,0.0464297,0.0112386,0.0084924,0.0264285,0.022254,0.00710068,0,0.00867659,0.0378887,0.00994178,0.0107938,0.013945,0.0143721,0.0534161,0.00780131,0.0114578,0.00386787,0.0241234,0.0219333,0.0228244,0.00502901,0.0157368,0,0,0.0451187,0,0.0133695,0.0199214,0.0365792,0.0316165,0.0181764,0.0188925,0.0284202,0.0151347,0.0045535,0.0219009,0.00518606,0.0173276,0.0360214,0.0124801,0.0197988,0.0172138,0.0186684,0.0161999,0.00936612,0.0203163,0.0160636,0,0,0,0,0,0,0,0,0.00777279,0
62,0.0144746,0.0190745,0,0,0,0,0,0,0.0397184,0.0341765,0.0314528,0.0158546,0,0,0.0102994,0,0.0120776,0.00336285,0.034408,0.0473743,0.0110725,0.00883461,0.0254369,0.0220572,0.00747825,0,0.00847978,0.038122,0.0103209,0.0113682,0.0135121,0.014673,0.0548232,0.00789873,0.0114588,0.00381008,0.0240077,0.0219307,0.022832,0.0048124,0.0155583,0,0,0.045148,0,0.0133545,0.0197647,0.0370201,0.031696,0.0178905,0.0192826,0.0278173,0.0150261,0.00429863,0.0218728,0.00547611,0.0172017,0.0356974,0.0121526,0.0196955,0.0173781,0.0186229,0.0159797,0.00937752,0.0201949,0.0157598,0,0,0,0,0,0,0,0,0.00812598,0
63,0.0141786,0.0189912,0,0,0,0,0,0,0.0407808,0.0343193,0.0313797,0.0153092,0,0,0.0103497,0,0.0121427,0.00329005,0.034883,0.0475903,0.0109698,0.00900207,0.0244136,0.0219162,0.00760901,0,0.00861507,0.0379508,0.0103018,0.0116332,0.0130392,0.0148921,0.0560011,0.00804961,0.0115499,0.00381058,0.0239504,0.0219194,0.0227403,0.00425519,0.0154821,0,0,0.0455365,0,0.0133029,0.0197999,0.037564,0.0309973,0.0175186,0.0191189,0.027202,0.0150507,0.00426116,0.0223275,0.0055506,0.0168146,0.0354458,0.0119098,0.0191487,0.0174326,0.0187705,0.0159594,0.00936701,0.0202386,0.0154249,0,0,0,0,0,0,0,0,0.00828039,0
64,0.0101821,0.0173417,0,0,0,0,0,0,0.0375478,0.0339905,0.0287661,0.013726,0,0,0.00801151,0,0.0119606,0.00264636,0.0377349,0.0460905,0.0109214,0.00492815,0.0193351,0.0196127,0.0068241,0,0.0107375,0,0.00996397,0.0117991,0.0148617,0.0135828,0.0531919,0.0071096,0.0112435,0.00368366,0.0240629,0.021646,0.021688,0.00685927,0.0115791,0,0,0.0420442,0,0.0132964,0.0172627,0.0369052,0.028959,0.0166102,0.0201416,0.0247646,0.0135138,0.00615359,0.0248656,0.00777416,0.0147566,0.0330025,0.00991942,0.0168089,0.0178852,0.0169788,0.0153596,0.00926264,0.0194701,0.0107023,0,0,0,0,0,0,0,0,0.0104503,0
65,0.00966943,0.0169373,0,0,0,0,0,0,0.0373755,0.0339724,0.0281725,0.013489,0,0,0.00777649,0,0.0119482,0.00267499,0.0375442,0.0470196,0.0108999,0.00488592,0.0178734,0.0194278,0.00719123,0,0.0109298,0,0.00958404,0.0113796,0.0146055,0.0136937,0.0539196,0.00715809,0.01122,0.00364592,0.0242285,0.0216138,0.0214198,0.00666173,0.0113534,0,0,0.0416491,0,0.0132726,0.0168101,0.0371094,0.0284111,0.0164868,0.0199744,0.023646,0.0133223,0.00634038,0.0251476,0.00804743,0.0145196,0.0328309,0.00981619,0.016684,0.0177778,0.0166794,0.0151776,0.0092918,0.0192013,0.0101097,0,0,0,0,0,0,0,0,0.0105406,0
66,0.012443,0.0176366,0,0,0,0,0,0,0.0403578,0.0343747,0.0298368,0.0144326,0,0,0.00952648,0,0.0121386,0.0028901,0.03419,0.0491133,0.00966047,0.00770081,0.0203595,0.0211244,0.00811315,0,0.00922029,0.0361935,0.00888313,0.0108554,0.0123016,0.0153669,0.0577894,0.0080548,0.0114919,0.00373428,0.0237811,0.0217826,0.0217203,0.00354672,0.0144659,0,0,0.0450713,0,0.0132044,0.0189006,0.0382865,0.0293548,0.0169609,0.0187332,0.0242605,0.014363,0.00473874,0.0234506,0.00634323,0.0159358,0.0347379,0.0113026,0.0182721,0.0168998,0.0182382,0.015917,0.00949446,0.0191964,0.0134181,0,0,0,0,0,0,0,0,0.00869845,0
67,0.0119843,0.0173881,0,0,0,0,0,0,0.0404344,0.0343375,0.0298289,0.0141828,0,0,0.00933416,0,0.0121179,0.0027819,0.033448,0.04991,0.00939804,0.00747664,0.0194275,0.0208867,0.00820832,0,0.00896481,0.0363557,0.00883863,0.0114591,0.0120782,0.01559,0.0588858,0.00796504,0.0114725,0.00371262,0.023884,0.0216903,0.0213601,0.00333063,0.0141123,0,0,0.044982,0,0.0131488,0.0186557,0.0383009,0.0289739,0.0168361,0.0189398,0.0235898,0.0142977,0.00489268,0.0238144,0.00669348,0.0157548,0.0345015,0.0111106,0.0180695,0.0168898,0.0181708,0.0160401,0.00945811,0.0189526,0.0128546,0,0,0,0,0,0,0,0,0.00893695,0
