Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTHII,x75
9,0.0105451,0.00715192,0,0,0,0,0,0,0.0309364,0.0341603,0.0211997,0.00767039,0,0,0.0117949,0,0.00999649,0.00883181,0.0324123,0.0184517,0.00596321,0.00855983,0.0162186,0.0139245,0.0071342,0.00673428,0.00661359,0.0449167,0.0169298,0.0178582,0.0170606,0.0327883,0.0309442,0.0109856,0.0107402,0.00419505,0.0129778,0.021877,0.0060571,0.00882257,0.00923774,0,0,0.0363256,0,0.013641,0.0139336,0.0358579,0.0169487,0.0166516,0.0131258,0.00911278,0.0123387,0.000681175,0.0241542,0.00338151,0.00911491,0.02612,0.00553744,0.00904886,0.0194252,0.0163692,0.0108827,0.00707628,0.00584626,0.00911001,0,0,0,0,0,0,0,0,0,0
10,0.0103627,0.00696386,0,0,0,0,0,0,0.0308983,0.0340746,0.0213121,0.00776888,0,0,0.0115446,0,0.0100277,0.00872197,0.0323515,0.0185119,0.00587906,0.00844141,0.0159975,0.0137878,0.00703614,0.0071116,0.00678075,0.0449103,0.0167858,0.0179122,0.0169114,0.0325933,0.0309267,0.0108398,0.0106478,0.00408014,0.0112774,0.0217993,0.00585752,0.00868947,0.00908336,0,0,0.0361664,0,0.0136458,0.0136575,0.0359952,0.0156885,0.0171102,0.0111901,0.00895206,0.0122104,0.00149819,0.0250517,0.00317355,0.00930635,0.0289955,0.00659037,0.00919143,0.017461,0.0163612,0.0111043,0.00714342,0.00570452,0.00873599,0,0,0,0,0,0,0,0,0,0
11,0.0103017,0.00687989,0,0,0,0,0,0,0.0309692,0.0339892,0.0214982,0.00796379,0,0,0.0110946,0,0.0100037,0.00851098,0.0322191,0.0185322,0.00571084,0.00826783,0.0159192,0.0135707,0.00715529,0.00746908,0.00693989,0.0449964,0.0166027,0.0176131,0.0167884,0.0324128,0.0310225,0.0106428,0.010587,0.00397689,0.00899667,0.0217203,0.0064285,0.00864376,0.00904588,0,0,0.03619,0,0.0136313,0.0135673,0.0360226,0.0140959,0.017461,0.00880264,0.00884568,0.0122388,0.00197969,0.0265686,0.00395146,0.0104251,0.0319301,0.00861758,0.0102659,0.0143298,0.0163374,0.0114062,0.00720655,0.00569247,0.00850313,0,0,0,0,0,0,0,0,0,0
12,0.0101646,0.00680602,0,0,0,0,0,0,0.0309549,0.0339742,0.0216741,0.00812493,0,0,0.0107252,0,0.00998228,0.0084427,0.0322151,0.0185354,0.00561562,0.00803173,0.0156699,0.0133442,0.00729579,0.0077489,0.00700864,0.0450646,0.0164196,0.0174032,0.0167056,0.0322503,0.0310777,0.0104882,0.0105854,0.00391543,0.00693051,0.0216571,0.00798211,0.00855919,0.00896068,0,0,0.0362137,0,0.0136278,0.0135539,0.0361443,0.0134282,0.0178735,0.00596853,0.00861422,0.0122137,0.00253329,0.027584,0.00475258,0.0121632,0.0347615,0.011051,0.0122624,0.0107291,0.0162667,0.0113969,0.00731115,0.00568656,0.00818349,0,0,0,0,0,0,0,0,0,0
13,0.00899801,0.00498375,0,0,0,0,0,0,0.0296382,0.0330556,0.0215568,0.00807892,0,0,0.0121846,0,0.009809,0.0102814,0.0331165,0.0191,0.00637702,0.00767454,0.0133761,0.0109394,0.00730629,0.00888073,0.00732021,0.0453091,0.0156466,0.0169147,0.0160806,0.0314147,0.0298385,0.0115911,0.00990225,0.00370046,0.00767371,0.0213812,0.00373842,0.00787485,0.00772861,0,0,0.0344865,0,0.0136598,0.0119766,0.0358713,0.00905359,0.023819,0.00998117,0.00765759,0.0109442,0.00865731,0,0.0114322,0.0111925,0.0301151,0.00742831,0.00952647,0.00974722,0.0147078,0.0104793,0.00749668,0.00286631,0.00703755,0,0,0,0,0,0,0,0,0,0
14,0.0100381,0.00609095,0,0,0,0,0,0,0.0306364,0.0337132,0.0217863,0.00828603,0,0,0.0100685,0,0.00994442,0.00863214,0.0324658,0.0189251,0.00579042,0.0075272,0.0143225,0.0115349,0.00739293,0.00794133,0.00690815,0.0450687,0.0160388,0.0171985,0.0165904,0.0319177,0.0308707,0.00972165,0.010175,0.00375965,0.00828367,0.0215377,0.014746,0.00845597,0.00883717,0,0,0.036295,0,0.0135964,0.0133014,0.0367114,0.0189455,0.0193733,0.00707324,0.00743376,0.0121639,0.00371763,0.0278719,0.00477676,0.0180291,0.0398748,0.016734,0.0201494,0.00509749,0.016344,0.0108623,0.00750703,0.00489799,0.00814362,0,0,0,0,0,0,0,0,0,0
15,0.00845302,0.00469537,0,0,0,0,0,0,0.0295043,0.0329994,0.0213944,0.0084242,0,0,0.0119464,0,0.00987331,0.0101579,0.0334023,0.0190952,0.00624612,0.00727636,0.0130154,0.0102154,0.00746264,0.00869407,0.00726364,0.0454441,0.0152727,0.0165372,0.0158819,0.0310101,0.0297904,0.0112916,0.00982231,0.00359225,0.00898868,0.0213241,0.00597834,0.00842834,0.0074809,0,0,0.0347403,0,0.013635,0.0119209,0.0360976,0.00845314,0.0253783,0.0107178,0.00781413,0.0107059,0.0113877,0,0.014836,0.0128922,0.0344521,0.00991947,0.0109299,0.0104042,0.0146515,0.0105833,0.00750665,0.0029104,0.00646331,0,0,0,0,0,0,0,0,0,0
16,0.00958974,0.00605794,0,0,0,0,0,0,0.0308201,0.0337712,0.0215077,0.00849251,0,0,0.00961212,0,0.00999744,0.00840084,0.0328477,0.0184611,0.00533232,0.00712505,0.0140989,0.0108625,0.00757272,0.00743569,0.00683204,0.0452681,0.0156623,0.0167286,0.0163105,0.031471,0.0310301,0.00936937,0.0101888,0.00376327,0.0102309,0.0214725,0.0185956,0.00811758,0.00866953,0,0,0.0364462,0,0.0135625,0.0134792,0.0367093,0.0229207,0.020577,0.0108359,0.0068383,0.0119968,0.00580408,0.0282211,0.0060581,0.0228982,0.0433468,0.0204987,0.0257114,0.00553086,0.0162583,0.0114965,0.00759855,0.00551499,0.00726351,0,0,0,0,0,0,0,0,0,0
17,0.00919552,0.00618983,0,0,0,0,0,0,0.0310229,0.03385,0.0211497,0.00853055,0,0,0.00949204,0,0.0100445,0.00813958,0.0329822,0.0182118,0.00498562,0.00690049,0.0142983,0.0112504,0.00725082,0.00705145,0.0067486,0.0454332,0.0154073,0.0164559,0.0160476,0.0312088,0.0309992,0.00929703,0.0102883,0.00378757,0.0127666,0.021479,0.0208052,0.00784561,0.00846683,0,0,0.0365092,0,0.0135582,0.0135972,0.0367363,0.025225,0.0211503,0.0134987,0.00675032,0.0118688,0.00652409,0.0281549,0.00647213,0.0250904,0.0445109,0.0220184,0.0284374,0.00780551,0.0164042,0.0111917,0.00764668,0.00604799,0.00695193,0,0,0,0,0,0,0,0,0,0
18,0.00904601,0.0062614,0,0,0,0,0,0,0.0310327,0.0338715,0.0208024,0.00862733,0,0,0.00932288,0,0.00997579,0.00799033,0.0329908,0.0181541,0.0047023,0.00662023,0.0144712,0.0114188,0.00703166,0.00667993,0.00657941,0.0455607,0.0151494,0.0161851,0.0157807,0.0309831,0.0308835,0.00920658,0.0103841,0.00384924,0.0156994,0.0215078,0.02269,0.007682,0.0084032,0,0,0.0367125,0,0.0135604,0.0136857,0.0367429,0.0275014,0.0215952,0.0161809,0.00666722,0.0117496,0.00679833,0.0279355,0.00718694,0.0266508,0.0449466,0.0228403,0.0305151,0.010414,0.0167272,0.0111174,0.00770659,0.00631521,0.00706955,0,0,0,0,0,0,0,0,0,0
19,0.00901805,0.00627996,0,0,0,0,0,0,0.0308251,0.0338297,0.0205692,0.00868127,0,0,0.00917693,0,0.00991699,0.00783318,0.0330305,0.0181002,0.00448848,0.00630699,0.0145417,0.0113924,0.00719925,0.00644901,0.00641414,0.0456539,0.0148912,0.0158871,0.0155465,0.0307982,0.0306511,0.00912187,0.0104181,0.00378562,0.018062,0.0215217,0.0239778,0.00758752,0.00841543,0,0,0.0368865,0,0.0135697,0.0137506,0.0365233,0.0293606,0.0220353,0.0182017,0.00649999,0.0117024,0.00676886,0.0275923,0.00786287,0.0275805,0.0448831,0.0231466,0.0318831,0.0128785,0.0167647,0.0113388,0.00774256,0.00645842,0.00709518,0,0,0,0,0,0,0,0,0,0
20,0.00902162,0.00629275,0,0,0,0,0,0,0.0303717,0.0338083,0.0201985,0.00867706,0,0,0.00913045,0,0.00988867,0.00773406,0.0330355,0.01792,0.00434656,0.0059821,0.0145451,0.0113313,0.00765655,0.00635886,0.00627742,0.0457802,0.0146322,0.0156349,0.0153133,0.0306416,0.0302143,0.00905679,0.0104075,0.00378245,0.0194099,0.0215191,0.0244745,0.00748592,0.00849482,0,0,0.0368891,0,0.0135944,0.0138119,0.0361041,0.0306536,0.0224778,0.0190804,0.00625155,0.0116709,0.00658455,0.0273259,0.00808897,0.0279199,0.0445315,0.0231203,0.0327945,0.0150397,0.0166898,0.0119875,0.00780385,0.00647858,0.00726189,0,0,0,0,0,0,0,0,0,0
