Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x76,,x78,x82,x83,x84
93,0.00288487,0.00296216,0,0,0,0,0,0,0.0112313,0.0301386,0.00605297,0.00538224,0,0,0.00571612,0,0.0117818,0.002616,0.0437927,0.00546156,0.0154175,0.00374835,0.00423811,0.00438985,0.00444792,0,0.00959435,0.0382031,0.011938,0.0115251,0.0130479,0.0393612,0.0146281,0.00375234,0.0122153,0.00241703,0.00832273,0.0231058,0.00601721,0.0045151,0.00141171,0,0,0.000869603,0,0.0163113,0.00107367,0.0396559,0.0088469,0.0210118,0.0110474,0.00273634,0.00244306,0.00524409,0.0210739,0.00608182,0.00622669,0.00538749,0.0326981,0.0039121,0.00574758,0.00946953,0.00173373,0.000584141,0.00112392,0.00288453,0.00235079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0.00315088,0.00187942,0,0,0,0,0,0,0.0149868,0.0294136,0.012194,0.00484361,0,0,0.00354552,0,0.0133751,0.00250922,0.0436552,0.0151656,0.0157824,0.00331288,0.00467215,0.005679,0.00510376,0,0.00663779,0.0381799,0.0128603,0.0117877,0.0148603,0.0406349,0.0190462,0.00538313,0.0114519,0.00195001,0.00819359,0.0230911,0.00638019,0.00449679,0.00340512,0,0,0.00132402,0,0.0161731,0.00087758,0.0395244,0.0100063,0.0209369,0.0112626,0.00257412,0.00262116,0.00508367,0.0212282,0.00603694,0.00605708,0.00540906,0.0321494,0.00353862,0.00588831,0.00913895,0.00289946,0.000501473,0.00135949,0.00222924,0.00392987,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0.00319796,0.00180317,0,0,0,0,0,0,0.00858161,0.0293171,0.00887482,0.0049584,0,0,0.00340545,0,0.0133551,0.00238914,0.04338,0.0113487,0.0163327,0.00478537,0.0050893,0.00564647,0.006081,0,0.00850487,0.0383962,0.0127798,0.0116534,0.0143356,0.0402165,0.011617,0.00527348,0.0114506,0.00196661,0.00855045,0.0229918,0.00696053,0.00479902,0.00339752,0,0,0.00114321,0,0.0161415,0.000730289,0.0400292,0.0109955,0.0206862,0.0113638,0.00252923,0.00272154,0.00509639,0.0211194,0.00610917,0.00631885,0.00575404,0.0318394,0.00325548,0.00620666,0.00922107,0.00300045,0.000407951,0.00127713,0.00205412,0.00403193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0.00314148,0.00179563,0,0,0,0,0,0,0.0075021,0.0292578,0.00903839,0.00501377,0,0,0.0033333,0,0.0133364,0.00232563,0.0430686,0.0137494,0.0166037,0.00530177,0.00539111,0.0055701,0.00581377,0,0.00844428,0.0382742,0.0125891,0.0116035,0.0140266,0.0400401,0.00996087,0.00514028,0.0114393,0.00201483,0.0084124,0.0229072,0.00733174,0.00496166,0.00330111,0,0,0.00115997,0,0.0161256,0.000625708,0.0401225,0.0119869,0.0204814,0.0114654,0.00258064,0.00286177,0.00508246,0.0210752,0.00607717,0.00637012,0.00596326,0.0313385,0.00299268,0.00642942,0.00876504,0.00309284,0.000365388,0.0011609,0.00203929,0.00388189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0.00302347,0.00182707,0,0,0,0,0,0,0.00656387,0.0292313,0.00801837,0.00506607,0,0,0.00335334,0,0.0132526,0.00234289,0.0425622,0.0142634,0.0168164,0.00500365,0.00552336,0.00558399,0.00535232,0,0.0084705,0.0380204,0.0121719,0.0114054,0.0134214,0.0397474,0.00881825,0.00510603,0.0114607,0.00203389,0.00848701,0.0228452,0.00804191,0.00533311,0.00305603,0,0,0.00126046,0,0.01612,0.000579826,0.0401305,0.013359,0.0202406,0.0116612,0.00279652,0.00299632,0.00516847,0.0210712,0.00614544,0.00658238,0.00626751,0.03076,0.00288342,0.00688466,0.00839991,0.00304981,0.000391169,0.00106785,0.00197944,0.00343243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0.00271675,0.00174594,0,0,0,0,0,0,0.00620366,0.0292229,0.00629598,0.00507938,0,0,0.00337186,0,0.0131284,0.00234868,0.0420287,0.0121717,0.0169504,0.00463351,0.00551168,0.00569507,0.00477038,0,0.00844276,0.0375334,0.0115413,0.0110188,0.0126339,0.0392645,0.0085776,0.00509661,0.0115129,0.00199731,0.00858068,0.0228407,0.00889416,0.005813,0.00267028,0,0,0.00131465,0,0.0161656,0.000630464,0.0401318,0.0149394,0.0199392,0.0119121,0.0030628,0.00302305,0.00530421,0.0209834,0.00622069,0.00683443,0.00670321,0.0300948,0.00298148,0.00770889,0.00787595,0.0028271,0.000438471,0.00102354,0.00175968,0.00305338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0.00224898,0.00148086,0,0,0,0,0,0,0.00536989,0.0293114,0.00529996,0.00496059,0,0,0.00300015,0,0.0129772,0.00201598,0.0414703,0.0091718,0.0172219,0.00466182,0.00545146,0.00552054,0.00462026,0,0.007434,0.03668,0.0107302,0.0102059,0.0119663,0.0388429,0.00836747,0.00470109,0.0116132,0.00211272,0.00856789,0.022852,0.00970454,0.00570926,0.00220708,0,0,0.00149381,0,0.016237,0.000869403,0.0401651,0.016481,0.0195544,0.0121289,0.00323804,0.00291924,0.00545741,0.0207894,0.00616491,0.0070296,0.0073474,0.029299,0.00331165,0.00869823,0.00706093,0.00250254,0.000418022,0.00108044,0.00135432,0.00265783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.00230063,0.000796948,0,0,0,0,0,0,0.0182294,0.0292116,0.0157525,0.00395169,0,0,0.00223831,0,0.0129417,0.001482,0.0389526,0.0188076,0.0187006,0.0219965,0.00596414,0.00511857,0.0161336,0,0.014161,0.0356472,0.0176891,0.0152582,0.0138979,0.0413457,0.0166162,0.00407979,0.011604,0.00225515,0.00817142,0.0226306,0.00996051,0.00582696,0.00247905,0,0,0.00179876,0,0.016175,0.00182548,0.0403571,0.0171914,0.0189814,0.0120655,0.00334054,0.00253857,0.00525494,0.0205733,0.00557958,0.00663098,0.0076909,0.0283548,0.00352451,0.00927821,0.00586001,0.00232693,0.000833996,0.0015585,0.00106518,0.00278874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0.00253099,0.00102658,0,0,0,0,0,0,0.0191936,0.0291487,0.0163079,0.00344451,0,0,0.00245496,0,0.0130231,0.00165184,0.0386496,0.018446,0.0189669,0.0221859,0.00588577,0.00483403,0.0176182,0,0.0166998,0.0351679,0.0171076,0.015398,0.0137549,0.0414404,0.0183421,0.00441712,0.0115569,0.0023931,0.00794169,0.0224898,0.0104168,0.00568965,0.00266921,0,0,0.00212647,0,0.0161515,0.00230648,0.0403526,0.0179323,0.0186209,0.0118937,0.00342212,0.00273805,0.00522499,0.0202287,0.00507336,0.00628709,0.00790742,0.0275213,0.00396353,0.00969761,0.0045941,0.00232662,0.000740223,0.00160951,0.00139808,0.00321623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0.0027943,0.00143853,0,0,0,0,0,0,0.0205893,0.029002,0.0152525,0.00318181,0,0,0.00267141,0,0.0131001,0.00172767,0.0384795,0.0199633,0.0189755,0.0211198,0.00583288,0.00411755,0.0178474,0,0.0175672,0.0346767,0.0168334,0.0158493,0.0139408,0.0411773,0.0195605,0.00442027,0.0114725,0.00237299,0.00790876,0.0222634,0.0112169,0.00554202,0.00292334,0,0,0.00257182,0,0.0160697,0.00242058,0.0402937,0.0189416,0.0183131,0.0117812,0.00352372,0.00299627,0.00527941,0.0197979,0.00478001,0.00610064,0.00814519,0.0266736,0.00450079,0.0101617,0.00383514,0.00248045,0.000920852,0.00164536,0.00194414,0.00333627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
