Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHIA,RTHII,,x75,L5FT,LTHIP,LTHII
9,0.00813848,0.0117998,0,0,0,0,0,0,0.029031,0.0297259,0.00517347,0,0,0.0152917,0,0.0116373,0.00975509,0.0463394,0.0416137,0.0155936,0.0114423,0.00165753,0.00839091,0.0200163,0.0180002,0.0235851,0.0158689,0.00626164,0.0139828,0.0121829,0.00642374,0.0277995,0.024207,0.0117298,0.0044878,0.00558869,0,0,0.00888571,0,0.0170256,0.0070416,0.0355219,0.0123753,0.0226077,0.0133179,0.00724528,0.00674627,0.0085727,0.0228891,0.0136494,0.00820448,0.0306856,0.000761929,0.0106363,0.0295391,0.00513433,0.00658963,0.00430533,0.0141562,0.00758802,0,0,0,0,0,0,0,0,0,0.0141928,0,0,0.0147468,0,0
10,0.00895369,0.0071504,0,0,0,0,0,0,0.0299713,0.0199785,0.00859917,0,0,0.0108918,0,0.0123139,0.00487254,0.0443483,0.027908,0.00831128,0.0157354,0.00577756,0.00696583,0.0239669,0.0225248,0.0242547,0.017923,0.00426359,0.0112686,0.0122544,0.00492865,0.0290519,0.0244057,0.0121677,0.00230152,0.00940015,0,0,0.0137994,0,0.016447,0.0119372,0.0350291,0.01364,0.0230599,0.0131275,0.0105073,0.00791722,0.0102611,0.0222755,0.0150257,0.00817344,0.0322023,0.0014402,0.0109305,0.0309754,0.00728658,0.0106276,0.00639645,0.00840241,0.00852019,0,0,0,0,0,0,0,0,0.0722216,0.015265,0,0,0.0078213,0.0350691,0
11,0.00673741,0.00813221,0,0,0,0,0,0,0.0294107,0.0222453,0.00728151,0,0,0.0109532,0,0.0124886,0.00644029,0.0482481,0.029583,0.0148847,0,0.00126813,0.0070244,0.0300968,0.0292355,0.0274012,0.0176534,0.00660091,0.0114599,0.0120656,0.00496223,0.0276629,0.0239439,0.0114363,0.00533531,0.00414385,0,0,0.00759366,0,0.0164316,0.00818304,0.0361933,0.0131362,0.022319,0.0131233,0.00835795,0.00430935,0.00866487,0.0231744,0.0132153,0.00826633,0.0304952,0.00123236,0.0112583,0.029873,0.00289934,0.00958588,0.00600535,0.00896074,0.00555074,0,0,0,0,0,0,0,0,0,0.0140129,0,0,0.0103423,0,0
12,0.00568826,0.00830499,0,0,0,0,0,0,0.0289774,0.0334781,0.0056824,0,0,0.0108897,0,0.0127267,0.0068861,0.0443759,0.0492593,0.0177691,0,0.0058288,0.00796434,0.0166024,0,0.0209954,0.0160755,0.0144492,0.0112585,0.0118968,0.00484361,0.0281922,0.023665,0.0118756,0.00496968,0.00209087,0,0,0.00526369,0,0.0163662,0.00660766,0.0382615,0.0132276,0.0218747,0.0137292,0.00584409,0.00303158,0.00843707,0.023094,0.0136567,0.00871366,0.0305243,0.00117533,0.0116763,0.0305567,0.00146613,0.00915935,0.00605024,0.00902929,0.00432116,0,0,0,0,0,0,0,0,0,0.0141812,0,0,0.0201182,0,0
13,0.00548808,0.00829273,0,0,0,0,0,0,0.0288997,0.0320688,0.00583032,0,0,0.0102534,0,0.0128119,0.00643679,0.0435039,0.0473298,0.0180988,0,0.00653092,0.0080045,0.0166531,0,0.0203715,0.0158953,0.013907,0.0103775,0.0118239,0.00468271,0.0274439,0.0236244,0.0117035,0.00548574,0.0019827,0,0,0.00536017,0,0.0163364,0.00660105,0.0386352,0.0135842,0.0216608,0.013752,0.00555379,0.00294856,0.00851988,0.0233173,0.013768,0.00878989,0.03048,0.00134326,0.0120154,0.0298533,0.00119488,0.00893263,0.00602772,0.00868382,0.00401559,0,0,0,0,0,0,0,0,0,0.0142681,0,0,0.0202148,0,0
14,0.00516217,0.00801678,0,0,0,0,0,0,0.0290553,0.0231069,0.00616023,0,0,0.0094902,0,0.0128573,0.00596541,0.0420238,0.0379072,0.0181645,0,0.00606359,0.00847146,0,0,0.0159407,0.0134078,0.01785,0.0101869,0.0118494,0.00450384,0.0264219,0.0237007,0.0114588,0.00622035,0.00248877,0,0,0.00651279,0,0.0162784,0.00684452,0.038822,0.0138446,0.0216638,0.0137472,0.00545575,0.00314388,0.00866306,0.0234843,0.0138614,0.00879158,0.0304716,0.00148584,0.0121659,0.0285739,0.00134491,0.00909741,0.00601083,0.00776645,0.00350975,0,0,0,0,0,0,0,0,0,0.0143394,0,0,0.0169004,0,0
15,0.00479561,0.00763016,0,0,0,0,0,0,0.0291298,0.0159851,0.00650442,0,0,0.00882351,0,0.0129908,0.00558394,0.04132,0.0281945,0.0183773,0,0.00638268,0.00856754,0,0,0.0145723,0.0139914,0.0142425,0.00990647,0.0118401,0.00429498,0.0251283,0.0236248,0.0110805,0.00640479,0.00233074,0,0,0.00652116,0,0.0162556,0.00658011,0.0386652,0.014749,0.0213785,0.0135923,0.00556205,0.00328665,0.00873653,0.0237096,0.01375,0.00889999,0.0303795,0.00187375,0.0127373,0.0274142,0.00125784,0.00914956,0.00597159,0.00720767,0.00301403,0,0,0,0,0,0,0,0,0,0.014368,0,0,0.013208,0,0
16,0.00438607,0.00743917,0,0,0,0,0,0,0.0291475,0.0145631,0.00671521,0,0,0.00829018,0,0.0131459,0.00524408,0.0405824,0.0262589,0.019201,0,0.00733993,0.00844324,0,0,0.0133281,0.0157581,0.0136728,0.00966899,0.0118225,0.00419134,0.0236982,0.0235674,0.0108502,0.00703883,0.00220944,0,0,0.00632649,0,0.0162311,0.00645676,0.0389099,0.0152789,0.0211951,0.0136194,0.00541845,0.00337206,0.00868933,0.0239255,0.0136585,0.00900278,0.0302333,0.00208254,0.0129538,0.0261536,0.00101516,0.00930052,0.00601196,0.0068489,0.00271622,0,0,0,0,0,0,0,0,0.0190222,0.0143584,0,0,0.0124606,0,0
17,0.00411837,0.00724981,0,0,0,0,0,0,0.0291393,0.013801,0.00704056,0,0,0.0078309,0,0.0132718,0.00505552,0.0401323,0.023653,0.019399,0,0.00787569,0.00855381,0,0,0.0133754,0.016388,0.0118709,0.00912651,0.0117992,0.00411087,0.0220819,0.0234724,0.010412,0.0069326,0.00218267,0,0,0.00578649,0,0.0161987,0.00630056,0.0387129,0.0160916,0.0208466,0.0133748,0.00574984,0.00352823,0.00859092,0.0239896,0.0132094,0.00909499,0.0300212,0.00253779,0.0133578,0.0248503,0.000604517,0.00988268,0.00615512,0.00669106,0.00243103,0,0,0,0,0,0,0,0,0.0175771,0.0139515,0,0,0.0126535,0,0
18,0.00391745,0.00705156,0,0,0,0,0,0,0.0291796,0.0135294,0.007563,0,0,0.00747526,0,0.0133283,0.00489374,0.039842,0.0220114,0.0195755,0,0.00815618,0.00897548,0,0,0.0134717,0.0170772,0.0103779,0.0088539,0.0118255,0.00398572,0.0207282,0.0233896,0.0101672,0.00713141,0.00244685,0,0,0.00549727,0,0.0161562,0.00594946,0.0386222,0.0166558,0.0204299,0.0133195,0.00612531,0.00378495,0.00836418,0.0239798,0.0126855,0.00923289,0.0296771,0.00291257,0.0136583,0.0237906,0.000907722,0.0107887,0.00618849,0.00660965,0.0021909,0,0,0,0,0,0,0,0,0.0152783,0.0134331,0,0,0.012549,0,0
19,0.0072192,0.0117534,0,0,0,0,0,0,0.0292986,0.0135807,0.00801802,0,0,0.0142304,0,0.0120333,0.010198,0.0399616,0.0210351,0.0199844,0,0.00800631,0.00879509,0,0,0.0136647,0.0177542,0.0092803,0.0136837,0.0122902,0.00596109,0.0193883,0.0238897,0.0100706,0.00704713,0.00476712,0,0,0.00898013,0,0.0169481,0.00487763,0.0384406,0.0169414,0.0200545,0.0132963,0.00647839,0.00375377,0.0081149,0.0238469,0.012174,0.0092516,0.0293673,0.00317402,0.0137434,0.0224668,0.00397079,0.00688275,0.00395836,0.0124638,0.00783369,0,0,0,0,0,0,0,0,0.0130744,0.0129057,0,0,0.0119944,0,0
20,0.00588491,0.0085822,0,0,0,0,0,0,0.0294541,0.0139779,0.00832964,0,0,0.0114601,0,0.0125157,0.00769891,0.0402279,0.0207251,0.0199586,0,0.00730398,0.00761559,0,0,0.0139676,0.018259,0.00901154,0.0121287,0.0122519,0.00496559,0.0180532,0.0233563,0.0100883,0.0066262,0.00273938,0,0,0.00654171,0,0.0160887,0.00601058,0.0385268,0.0173813,0.0198679,0.013355,0.00680959,0.0038791,0.00791259,0.0237081,0.0117781,0.00935763,0.0290391,0.00346528,0.0139477,0.0211107,0.00136829,0.0112917,0.00648236,0.00813725,0.00459581,0,0,0,0,0,0,0,0,0.0120605,0.0123774,0,0,0.0113546,0,0
21,0.00629143,0.0084208,0,0,0,0,0,0,0.0296645,0.0159493,0.00868208,0,0,0.0114279,0,0.012485,0.00769754,0.0407147,0.0216021,0.0196237,0,0.00631504,0.00741779,0.015252,0,0.0153136,0.0185852,0.00578759,0.0120195,0.0123251,0.00495872,0.0164404,0.0235233,0.0101875,0.00686198,0.00286002,0,0,0.00716147,0,0.0161635,0.0064789,0.0386017,0.0181399,0.0197615,0.0133044,0.00719881,0.00390189,0.00771682,0.0235261,0.0114496,0.00951801,0.0287947,0.00368667,0.0142116,0.0195957,0.00149761,0.0112519,0.00651426,0.00817862,0.00518697,0,0,0,0,0,0,0,0,0.0128572,0.0119078,0,0,0.0108231,0,0
22,0.00657225,0.00835125,0,0,0,0,0,0,0.0298651,0.0164814,0.00909721,0,0,0.0115263,0,0.0124262,0.007787,0.0412528,0.0209372,0.0195989,0,0.00551535,0.00735646,0.0146716,0,0.0153419,0.0193083,0.00624335,0.0118643,0.0124394,0.00502997,0.0147494,0.0235907,0.0104767,0.0073192,0.00307789,0,0,0.00773356,0,0.0161361,0.00682378,0.038902,0.0192421,0.0196557,0.0132203,0.00751692,0.0038736,0.00748492,0.0233988,0.0112528,0.00974388,0.028632,0.00395183,0.0146291,0.018126,0.00182835,0.011401,0.00642931,0.00813358,0.00554196,0,0,0,0,0,0,0,0,0.0139728,0.0115877,0,0,0.0110924,0,0
23,0.00677276,0.00845493,0,0,0,0,0,0,0.0297854,0.0170654,0.00945653,0,0,0.0115716,0,0.0123335,0.00770523,0.0420119,0.0206709,0.0196131,0,0.00519406,0.00720741,0.0146199,0,0.0152215,0.0201177,0.00732814,0.0119618,0.0124452,0.00501722,0.0133096,0.0235651,0.0106587,0.00748012,0.0030333,0,0,0.00736975,0,0.0161596,0.0069046,0.0390723,0.0204731,0.0193794,0.0130482,0.00780095,0.0038354,0.00742909,0.0233102,0.0110443,0.00995707,0.0285166,0.00424851,0.0151463,0.0168534,0.00190695,0.0112938,0.00634779,0.0082655,0.00581577,0,0,0,0,0,0,0,0,0.0136231,0.011207,0,0,0.0119176,0,0
24,0.00720305,0.00844807,0,0,0,0,0,0,0.0298884,0.0173827,0.00977303,0,0,0.0115373,0,0.0122434,0.00740241,0.0426122,0.0207437,0.0202958,0,0.00421309,0.00676825,0.0145101,0,0.0149139,0.0210698,0.00870198,0.011882,0.0125146,0.00505761,0.0120437,0.0236632,0.0106793,0.00837194,0.00335994,0,0,0.00756932,0,0.0162197,0.00738596,0.0391702,0.0209979,0.019417,0.0128824,0.00853751,0.00389388,0.00735207,0.0231934,0.0107452,0.00981614,0.0284888,0.00429404,0.0150192,0.0152185,0.00231788,0.0114093,0.00633069,0.00839511,0.00636255,0,0,0,0,0,0,0,0,0.0129997,0.0108801,0,0,0.0128331,0,0
25,0.00764719,0.00854091,0,0,0,0,0,0,0.0301061,0.0176606,0.00977568,0,0,0.0115158,0,0.0122366,0.00751453,0.0431947,0.0207532,0.0210411,0,0.00354169,0.006581,0.0145173,0,0.0147967,0.0221615,0.010097,0.0121645,0.0125983,0.00508586,0.0112081,0.0237479,0.0106661,0.00927487,0.00378229,0,0,0.00812786,0,0.0162194,0.00775557,0.039253,0.0214686,0.0195701,0.0127683,0.00921508,0.00396875,0.00724408,0.0231039,0.010387,0.0096687,0.0284613,0.00434352,0.0148663,0.0139591,0.00270163,0.0116365,0.00631241,0.00856182,0.00687245,0,0,0,0,0,0,0,0,0.0122916,0.0105578,0,0,0.0137452,0,0
26,0.00778825,0.0086569,0,0,0,0,0,0,0.0301926,0.0178316,0.00978608,0,0,0.011558,0,0.0123268,0.00782017,0.0435157,0.0205632,0.0210475,0,0.00342086,0.00658381,0.0146004,0,0.014745,0.0232775,0.0100863,0.0123375,0.0125988,0.00518434,0.010266,0.0237322,0.0106621,0.00917019,0.00385238,0,0,0.00789874,0,0.0162146,0.00766695,0.039251,0.0219317,0.0194405,0.0126562,0.00928056,0.00379972,0.00718693,0.0229601,0.0100491,0.00957815,0.0285056,0.00440353,0.0147694,0.0130419,0.0024572,0.0114408,0.00619974,0.00871305,0.00706067,0,0,0,0,0,0,0,0,0.0114641,0.0102223,0,0,0.0139843,0,0
27,0.00799211,0.00892359,0,0,0,0,0,0,0.0301251,0.0176482,0.00937092,0,0,0.0114744,0,0.0123088,0.00798335,0.0437865,0.0201924,0.0210179,0,0.00335467,0.00644561,0.0146417,0,0.0146046,0.0244394,0.00913028,0.0121715,0.012568,0.00511729,0.00956721,0.0237227,0.0106702,0.00869565,0.00384753,0,0,0.00728271,0,0.0162199,0.00736934,0.0392223,0.0225557,0.0191634,0.0126537,0.00901155,0.0036867,0.00721742,0.0228046,0.00980308,0.00973854,0.0285091,0.00455841,0.0149766,0.0126003,0.00216574,0.00980392,0.00609465,0.00903587,0.0072607,0,0,0,0,0,0,0,0,0.0105,0.0098922,0,0,0.0136612,0,0
28,0.00793006,0.00929465,0,0,0,0,0,0,0.0299004,0.0172045,0.00892056,0,0,0.0114986,0,0.0122524,0.00815334,0.043731,0.0196959,0.0204011,0,0.0036327,0.00609813,0.0144266,0,0.0142696,0.0254995,0.00758021,0.0116444,0.012536,0.00501904,0.00909783,0.023646,0.0107248,0.00823856,0.00357169,0,0,0.00615009,0,0.0162548,0.00669323,0.0391393,0.0232104,0.0187283,0.0127007,0.0084899,0.00362876,0.00736895,0.0226045,0.00972854,0.0100253,0.0285241,0.00473997,0.0153437,0.0123664,0.00152795,0.00782225,0.00602312,0.00951735,0.00725731,0,0,0,0,0,0,0,0,0.00961232,0.00958182,0,0,0.0131291,0,0
29,0.00730061,0.00874757,0,0,0,0,0,0,0.029921,0.0165591,0.00816227,0,0,0.010508,0,0.0123297,0.0073245,0.0436235,0.0188491,0.0203317,0,0.00324154,0.00629709,0.0140223,0,0.013788,0.0263638,0.00617912,0.0108043,0.0125419,0.00471541,0.0086471,0.023665,0.0106633,0.00834105,0.00322793,0,0,0.0068122,0,0.0162299,0.00701563,0.0391209,0.0233205,0.0187879,0.0126787,0.00866594,0.00363816,0.00751147,0.0223199,0.00976944,0.0100514,0.0285892,0.00473912,0.0152834,0.0116999,0.00213654,0.00911558,0.00598358,0.00886191,0.00654632,0,0,0,0,0,0,0,0,0.00847006,0.00940004,0,0,0.0127183,0,0
30,0.00914577,0.0114,0,0,0,0,0,0,0.0297664,0.0159733,0.00732939,0,0,0.0125581,0,0.0117812,0.00906854,0.0437131,0.0180142,0.0205427,0,0.00287655,0.00715886,0.0135658,0,0.0132652,0.0272019,0.00564656,0.0121082,0.0125356,0.00542222,0.00823891,0.0240399,0.0107785,0.00822939,0.00553239,0,0,0.00729723,0,0.0168705,0.00648665,0.0391634,0.0238502,0.0189381,0.0127227,0.0089944,0.00477936,0.00765804,0.02201,0.009859,0.0103591,0.0286393,0.00488724,0.0156175,0.011532,0.00293929,0.00649982,0.00452826,0.0128965,0.00955813,0,0,0,0,0,0,0,0,0.00633348,0.00912663,0,0,0.0123668,0,0
31,0.0056969,0.00640814,0,0,0,0,0,0,0.0297367,0.0171681,0.00707693,0,0,0.00708843,0,0.0128189,0.00405825,0.0437649,0.0189255,0.0201533,0,0.00244398,0.0066334,0.0132232,0.0122121,0.0127585,0.0276024,0.00624666,0.00922345,0.0121729,0.00349435,0.007876,0.0234971,0.0108659,0.00811499,0.00476793,0,0,0.011007,0,0.0158411,0.00828736,0.039223,0.0240766,0.019285,0.0126783,0.00931698,0.0046236,0.00778001,0.0216515,0.0100292,0.0104692,0.028768,0.0049401,0.0156205,0.0111608,0.00479912,0.00948295,0.00706183,0.00583511,0.00423275,0,0,0,0,0,0,0,0,0.00549409,0.00885745,0,0,0.0132083,0,0
32,0.00530459,0.00662205,0,0,0,0,0,0,0.0296156,0.0166865,0.00721539,0,0,0.00735593,0,0.012843,0.00438975,0.0438549,0.0180784,0.0193434,0,0.00293878,0.00676645,0.0128754,0.0104932,0.0120776,0.028419,0.00674188,0.00947631,0.0121064,0.00354641,0.00765553,0.0233912,0.0111111,0.00748957,0.00416566,0,0,0.00998005,0,0.0159046,0.0075604,0.0390766,0.0247335,0.0191769,0.0127063,0.0086851,0.00422573,0.00789283,0.0213076,0.0101673,0.010764,0.0288404,0.00519074,0.0159337,0.0110623,0.00413694,0.00984745,0.00698791,0.00632138,0.00376276,0,0,0,0,0,0,0,0,0.00658468,0.00852527,0,0,0.013606,0,0
33,0.00529547,0.00685248,0,0,0,0,0,0,0.0295364,0.0161362,0.00577323,0,0,0.0074591,0,0.0128287,0.00448206,0.0441659,0.0173929,0.0191496,0,0.00311849,0.00590333,0.012781,0.0101363,0.0113453,0.0293354,0.00753247,0.00971542,0.0121142,0.00359428,0.00727274,0.0233721,0.011367,0.00724891,0.00392674,0,0,0.00967174,0,0.015942,0.00728981,0.0388669,0.0252069,0.0190913,0.0127672,0.00852943,0.00412434,0.00782518,0.0210128,0.00996542,0.0108754,0.0287834,0.00539027,0.0159604,0.0105253,0.00385284,0.00841503,0.00701896,0.00671482,0.00377666,0,0,0,0,0,0,0,0,0.0105359,0.00819181,0,0,0.0140821,0,0
