Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LHEE,IMUR_M,RTHII,,RTHIA,LTHIA
261,0.00980427,0.00430333,0,0,0,0,0,0.0190016,0.0335038,0.0154381,0.00737609,0,0,0.00134409,0,0.0133451,0.00128435,0.0418631,0.0157623,0.0188892,0.0061171,0.00656461,0.0136068,0.0164126,0.0385528,0.0103635,0.0110382,0.0107933,0.0366084,0.0225938,0.00286124,0.0128921,0.00336131,0.00610767,0.0253694,0.00493536,0.00309828,0.0114648,0,0,0.00210036,0,0.0180672,0.0036645,0.0378886,0.00878623,0.0219068,0.00808069,0.00255348,0.00879757,0,0.00553857,0.00662284,0.034948,0.00661957,0.00736989,0.00759176,0.00257277,0.00455819,0.00532723,0.00615448,0.00931766,0,0,0,0,0,0,0,0,0.0267903,0,0.00773309,0,0.0234688,0.0177498
262,0.00378413,0.00348774,0,0,0,0,0,0.0183456,0.0328142,0.0171341,0.00730104,0,0,0.00757179,0,0.0148474,0.00587446,0.0423225,0.0158825,0.0209663,0.00629333,0.00493012,0.0139534,0.0167724,0.0391427,0.0128893,0.0125684,0.0123724,0.0379254,0.0206839,0.00830599,0.0120483,0.00420428,0.00640859,0.0250743,0.00474234,0.00319443,0.0028526,0,0,0.0109665,0,0.0169711,0.00614413,0.0379267,0.00840924,0.022247,0.00801046,0.00197562,0.00444531,0,0.00550054,0.00662228,0.0349782,0.00654498,0.00699516,0.00813361,0.00662943,0.00583247,0.00297285,0.00333721,0.00192809,0,0,0,0,0,0,0,0,0.029141,0,0.00732121,0,0.0232349,0.0198504
263,0.0033813,0.00421283,0,0,0,0,0,0.0256604,0.0332025,0.0144458,0.00931953,0,0,0.00859961,0,0.0149193,0.00692715,0.0487967,0.0138048,0.0154432,0.0055005,0.00484947,0.0120336,0.0133736,0.038609,0.0180903,0.0215638,0.0121769,0.0300911,0.0311934,0.00921277,0.0123021,0.00448565,0.00686667,0.0254042,0.00474482,0.00339744,0.00271405,0,0,0.0119429,0,0.0172503,0.00741801,0.0376629,0.00918548,0.022403,0.00810815,0.00391635,0.00455285,0,0.00529492,0.00719133,0.0352714,0.00700009,0.00776422,0.00905135,0.00674664,0.0060761,0.00361399,0.00384299,0.00149449,0,0,0,0,0,0,0,0,0.0117264,0,0.00680301,0,0.0228318,0.0232258
264,0.00457158,0.00284575,0,0,0,0,0,0.0149747,0.0328381,0.0187005,0.0071052,0,0,0.00764602,0,0.01476,0.00586173,0.0433132,0.0156397,0.0223796,0.00596618,0.00568147,0.0138088,0.0154443,0.040814,0.0177296,0.0144373,0.015128,0.0397552,0.0142219,0.00867536,0.0120542,0.00405805,0.00678727,0.0251561,0.00418906,0.00312528,0.0038619,0,0,0.00805686,0,0.017249,0.00547436,0.0380772,0.00801709,0.0225174,0.00822681,0.00162328,0.00431886,0,0.00521027,0.00670515,0.0351061,0.00668584,0.00709774,0.00915373,0.00532515,0.00532853,0.00341853,0.0025572,0.00289436,0,0,0,0,0,0,0,0,0.029652,0,0.00658213,0,0.0227704,0.0198093
265,0.00495606,0.00255823,0,0,0,0,0,0.012784,0.0328479,0.0197006,0.00706705,0,0,0.007504,0,0.014671,0.00565328,0.0436287,0.0154775,0.0226589,0.00592035,0.00616385,0.0132097,0.0131719,0.0416023,0.0202072,0.0155284,0.0166507,0.0404897,0.00876399,0.00874808,0.0120538,0.00387788,0.00712078,0.0251338,0.00409221,0.00294357,0.00417948,0,0,0.00732426,0,0.0172638,0.00528898,0.0380435,0.00806121,0.0226068,0.00823328,0.00145284,0.00454331,0,0.00544129,0.00661046,0.0351236,0.00650258,0.00704881,0.00982434,0.0050202,0.00520614,0.00350353,0.00230593,0.00319104,0,0,0,0,0,0,0,0,0.0289515,0,0.00668496,0,0.0225216,0.0178163
266,0.00465898,0.00248455,0,0,0,0,0,0.00969938,0.0328764,0.0209123,0.00705718,0,0,0.00627614,0,0.0144033,0.00489516,0.0438081,0.015158,0.0223643,0.00587306,0.00489068,0.0125326,0.0105297,0.0422184,0.0225507,0.017728,0.0183114,0.0404053,0.00402225,0.00742067,0.0122404,0.00372248,0.00730096,0.025076,0.00395572,0.00274256,0.00373343,0,0,0.00839617,0,0.0171761,0.00549106,0.0380274,0.0080864,0.0226532,0.00801244,0.00135153,0.00467889,0,0.00556887,0.00662873,0.03508,0.00655411,0.00703264,0.00988343,0.0053458,0.00534239,0.00321459,0.00220101,0.00282259,0,0,0,0,0,0,0,0,0.0277746,0,0.00660638,0,0.0221767,0.01475
267,0.00528672,0.00227452,0,0,0,0,0,0.00999809,0.0327138,0.0229478,0.00735094,0,0,0.00666682,0,0.0142576,0.00504881,0.0440354,0.0149159,0.021102,0.00634626,0.00572162,0.0110921,0.00766788,0.0427217,0.0244921,0.0211703,0.0205314,0.0390799,0.0117619,0.00787792,0.0120515,0.00370631,0.0076355,0.0251546,0.00439581,0.00245756,0.00465686,0,0,0.0061113,0,0.0173754,0.00494224,0.0381227,0.00834209,0.0226992,0.00766878,0.00141919,0.00503973,0,0.00605248,0.00655424,0.0349755,0.00655727,0.0067662,0.0103984,0.00444795,0.00459571,0.0036633,0.00255863,0.00380276,0,0,0,0,0,0,0,0,0.0274093,0,0.00681015,0,0.0219731,0.0112864
268,0.00424005,0.00287443,0,0,0,0,0,0.0132532,0.032469,0.0252637,0.00737452,0,0,0.00716376,0,0.0143865,0.00550864,0.0438163,0.0148112,0.020997,0.00650274,0.0041718,0.0100282,0.00662191,0.043164,0.0255227,0.0230659,0.0218775,0.0381585,0.0168516,0.00793268,0.0119563,0.00404401,0.00731731,0.0248794,0.00400853,0.00254426,0.00232592,0,0,0.00961902,0,0.0169407,0.00554415,0.0383663,0.00817853,0.0228024,0.0075595,0.00187356,0.00451405,0,0.0057299,0.00651413,0.0348184,0.00648507,0.00669324,0.0100873,0.00590573,0.00506128,0.00285017,0.00292068,0.00225897,0,0,0,0,0,0,0,0,0.030175,0,0.00649073,0,0.0216587,0.00961835
269,0.00420246,0.00298237,0,0,0,0,0,0.0125482,0.0323532,0.0253643,0.00741385,0,0,0.00698773,0,0.0143658,0.00537256,0.043062,0.0150132,0.021297,0.0068724,0.00365141,0.00964085,0.00675698,0.0432486,0.025254,0.0226863,0.0214674,0.0378837,0.0166031,0.00769105,0.0119368,0.00403458,0.00700319,0.0247852,0.00373981,0.00269726,0.0019658,0,0,0.0102918,0,0.016816,0.00569616,0.0386305,0.00819903,0.0227324,0.00742508,0.00245558,0.0043011,0,0.0053992,0.00628583,0.0345275,0.00627237,0.00664153,0.00985954,0.00618264,0.00506061,0.00271108,0.00310588,0.00244556,0,0,0,0,0,0,0,0,0.0319869,0,0.00632241,0,0.0215042,0.00888491
270,0.00427926,0.00297823,0,0,0,0,0,0.0103489,0.0323112,0.0238037,0.00733707,0,0,0.00687633,0,0.0143449,0.0052455,0.0417637,0.0154554,0.0219369,0.00718548,0.00347143,0.00966434,0.00793827,0.0428235,0.0240923,0.0205802,0.0198721,0.0383459,0.0123545,0.00745068,0.0119492,0.00400694,0.00642384,0.0247656,0.00342238,0.00293927,0.0016479,0,0,0.0105631,0,0.0167621,0.00583707,0.0388521,0.00870462,0.0223928,0.00736449,0.00258534,0.00406538,0,0.00508158,0.0060972,0.034005,0.0059094,0.00646033,0.00925787,0.00633384,0.00516043,0.00255712,0.00308354,0.0024128,0,0,0,0,0,0,0,0,0.0318236,0,0.00592337,0,0.0213633,0.00939478
