Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LHEE,,x75,RTHII
11,0.014678,0.0155581,0,0,0,0,0,0,0.0636528,0.0367021,0.0457274,0.0101885,0,0,0.00780937,0,0.0144306,0.00481134,0.0275387,0.0165512,0.0391687,0.0145279,0.00873311,0.030671,0.0428636,0.0339618,0.0475437,0.0214319,0.0267332,0.0162047,0.0169861,0.0581193,0.0076493,0.00809465,0.00445106,0.0233168,0.0237806,0.0358877,0.0148332,0.0168053,0,0,0.0314237,0,0.0144623,0.0193445,0.0590852,0.0593013,0.0243586,0.016523,0.0124182,0.0237659,0.100581,0.0613304,0.0281869,0.0249978,0.0387251,0.0185499,0.0405011,0.0401881,0.0183471,0.0137968,0.00890116,0.0167581,0.0101959,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0184852,0.0132824,0,0,0,0,0,0,0.0634247,0.036084,0.0457707,0.0104569,0,0,0.0133667,0,0.0132284,0.00737878,0.026889,0.0171435,0.0388903,0.0142192,0.0168944,0.0305972,0.0422139,0.0338033,0.0472999,0.021177,0.0263615,0.0162696,0.0172067,0.0578199,0.0090982,0.00728154,0.00513203,0.0315142,0.0238298,0.0363459,0.0144729,0.0232587,0,0,0.0277961,0,0.0147954,0.0186144,0.0605743,0.061697,0.0256527,0.0187977,0.0124013,0.0279916,0.0993817,0.0625863,0.0319331,0.0275311,0.0400381,0.0194322,0.0440738,0.0510211,0.0186226,0.0130427,0.00798747,0.0178564,0.0153045,0,0,0,0,0,0,0,0,0,0,0,0
13,0.0373558,0.0216036,0,0,0,0,0,0,0.062732,0.0287293,0.0458165,0.0104445,0,0,0.0590334,0,0.0139147,0.034024,0.0266782,0.0174169,0.0384908,0.0137985,0.0523325,0.0301086,0.0411106,0.0335619,0.0470063,0.0208189,0.025756,0.0162234,0.0171872,0.0569208,0.0277342,0.00553541,0.011923,0.040192,0.023132,0.0366476,0.0137923,0.0399143,0,0,0.0178264,0,0.015302,0.0146263,0.0620937,0.0630554,0.0255089,0.0219466,0.0115563,0.0371571,0.0974648,0.0638398,0.0349623,0.0294016,0.0417404,0.0201704,0.0465786,0.061073,0.0186592,0.0103661,0.00688401,0.0337001,0.0372784,0,0,0,0,0,0,0,0,0,0,0,0
14,0.0380683,0.0236843,0,0,0,0,0,0,0.0619524,0.0341186,0.0456542,0.0102762,0,0,0.0616376,0,0.0121562,0.0390243,0.0263367,0.0174053,0.0381101,0.013858,0.0549932,0.0297519,0.040507,0.0332806,0.0467821,0.0205839,0.0254239,0.016145,0.0172896,0.0562284,0.028462,0.01087,0.0196236,0.0478758,0.0228912,0.0363084,0.0132606,0.0399843,0,0,0.0169968,0,0.0152579,0.0141936,0.0635026,0.0621865,0.0251562,0.0249134,0.0111762,0.0374618,0.095525,0.0652549,0.0368542,0.0306881,0.0434794,0.0206559,0.0478903,0.0687612,0.0186345,0.0101361,0.00695738,0.0354398,0.038421,0,0,0,0,0,0,0,0,0,0,0,0
15,0.0387686,0.0248099,0,0,0,0,0,0,0.0606259,0.034815,0.0454541,0.0103353,0,0,0.0612552,0,0.012579,0.0391651,0.0259769,0.0174575,0.0380019,0.0137485,0.0567061,0.0293988,0.0397918,0.0329281,0.0466744,0.0203356,0.0250725,0.0160949,0.0173971,0.0551042,0.0280156,0.0115332,0.0203769,0.0537372,0.0227559,0.0338641,0.0130347,0.040556,0,0,0.0165218,0,0.0152217,0.0140531,0.0641282,0.0573858,0.0252141,0.0267003,0.0108364,0.0383812,0.0939456,0.0669225,0.0369484,0.0305534,0.0445184,0.019982,0.0468429,0.0738439,0.0191327,0.0100124,0.00707639,0.036513,0.0393528,0,0,0,0,0,0,0,0,0,0,0,0
16,0.0391227,0.0253989,0,0,0,0,0,0,0.0590367,0.0350302,0.0451623,0.0104851,0,0,0.0611581,0,0.0127197,0.0393447,0.0256555,0.0176417,0.0377521,0.0136626,0.0574586,0.0290291,0.0390799,0.0324704,0.0465574,0.0199946,0.0245339,0.0159967,0.0176196,0.0534696,0.0278766,0.0116322,0.0207559,0.0563722,0.0226466,0.0314051,0.0129732,0.040905,0,0,0.0160498,0,0.0152099,0.013963,0.0641995,0.0523481,0.0254468,0.0273891,0.0106929,0.0389903,0.093195,0.0678495,0.036399,0.0300142,0.0447349,0.0193124,0.0451997,0.0754812,0.019467,0.00999562,0.00733624,0.0370671,0.0398457,0,0,0,0,0,0,0,0,0,0,0,0
17,0.0402273,0.0253013,0,0,0,0,0,0,0.053258,0.0353132,0.0374773,0.0101781,0,0,0.0611397,0,0.0129837,0.0395749,0.025876,0.0174883,0.0357999,0.0127207,0.0586385,0.0276507,0.0370209,0.0306269,0.0459742,0.0203642,0.0251163,0.0128615,0.018649,0.0508139,0.0279742,0.0117378,0.0210826,0.0560586,0.0225111,0.0298949,0.0127383,0.0420292,0,0,0.016,0,0.0151824,0.0141426,0.0634219,0.0492307,0.0248109,0.0272498,0.00959484,0.0394222,0.0930153,0.0680951,0.0355654,0.0291837,0.0449787,0.0190148,0.0434107,0.0744899,0.0199626,0.0101755,0.00749226,0.0367529,0.0412145,0,0,0,0,0,0,0,0,0.0660137,0,0,0
18,0.0397496,0.0261928,0,0,0,0,0,0,0.0554102,0.0351807,0.0438411,0.0106706,0,0,0.0610129,0,0.0127195,0.0396622,0.0251443,0.0181499,0.0364288,0.0139526,0.0584996,0.0281859,0.0380817,0.0312314,0.046892,0.0187432,0.0231317,0.0159656,0.0178513,0.0493519,0.0277854,0.0116596,0.0210259,0.0542299,0.0224933,0.0291727,0.0128395,0.0417,0,0,0.0149685,0,0.015102,0.0136558,0.0629259,0.0486875,0.0262523,0.0259622,0.0108533,0.0398342,0.0941693,0.0671532,0.0350983,0.0282072,0.0439165,0.0182625,0.042156,0.0724373,0.0198919,0.0101659,0.0072481,0.0379312,0.0406869,0,0,0,0,0,0,0,0,0,0,0,0
19,0.041024,0.0259541,0,0,0,0,0,0,0.0498113,0.0354092,0.0365668,0.0106286,0,0,0.060987,0,0.0128182,0.0398111,0.0255738,0.0180385,0.0348299,0.0133579,0.0595285,0.0272641,0.0366279,0.0297421,0.0464519,0.0195173,0.0242384,0.0128422,0.0185201,0.0471652,0.0280567,0.0117732,0.0211703,0.0510867,0.0224592,0.029992,0.0128167,0.0431297,0,0,0.0152086,0,0.0151233,0.0139748,0.062056,0.0508636,0.0258086,0.0249573,0.00994032,0.0404266,0.0957249,0.0658375,0.0342617,0.0273263,0.0432519,0.0182838,0.0410528,0.0690112,0.0204258,0.0102082,0.00742464,0.0375934,0.0423377,0,0,0,0,0,0,0,0,0.0675869,0,0,0
20,0.0417732,0.026154,0,0,0,0,0,0,0.0477145,0.0355217,0.0360521,0.0112175,0,0,0.0610262,0,0.0127514,0.0399106,0.025287,0.0184828,0.0340367,0.0138125,0.0600142,0.0270265,0.0356169,0.0291612,0.0465976,0.0189749,0.0231327,0.0126682,0.0185551,0.0452483,0.0282662,0.011799,0.0213022,0.0487732,0.0225369,0.0310619,0.0133611,0.0440961,0,0,0.0149282,0,0.0151733,0.0139307,0.0616547,0.0537189,0.0263362,0.0237566,0.0099898,0.0411829,0.0975791,0.0642074,0.0332333,0.0263266,0.0417889,0.017901,0.0401244,0.0656399,0.0207535,0.0103628,0.00739347,0.0379693,0.0432595,0,0,0,0,0,0,0,0,0.0675001,0,0,0
21,0.0425026,0.0261327,0,0,0,0,0,0,0.0463355,0.0354957,0.036219,0.0117456,0,0,0.0611458,0,0.0126692,0.0400051,0.0251139,0.0188618,0.0336714,0.014424,0.0602767,0.0269736,0.0350199,0.0289109,0.0467452,0.0184535,0.0221525,0.0127185,0.0184817,0.0434786,0.0285486,0.0117978,0.0213558,0.0469681,0.0225802,0.0322144,0.0137997,0.0451855,0,0,0.0145613,0,0.0152862,0.0138828,0.061559,0.0561332,0.0268298,0.0230634,0.0101069,0.0421144,0.0978106,0.0625257,0.031982,0.0255774,0.0405701,0.0178138,0.0395374,0.0623728,0.021063,0.0105375,0.00724682,0.0383093,0.0440216,0,0,0,0,0,0,0,0,0.0683131,0,0,0
22,0.0427213,0.0261486,0,0,0,0,0,0,0.0492734,0.0351883,0.0445076,0.0124851,0,0,0.0613708,0,0.0125022,0.0399954,0.0252978,0.0196128,0.0353461,0.0151935,0.0600078,0.027942,0.0363388,0.0303718,0.0472004,0.0171372,0.0196463,0.0161896,0.0176951,0.0414544,0.0288877,0.0116025,0.0212299,0.0482027,0.0226082,0.0317965,0.0140859,0.0460468,0,0,0.012919,0,0.0154717,0.0133434,0.0622094,0.0562232,0.0271253,0.0238946,0.0104177,0.043097,0,0.0613236,0.0294554,0.0233647,0.039761,0.0154404,0.0374916,0.0624916,0.0210673,0.0102384,0.00682462,0.0389924,0.0441724,0,0,0,0,0,0,0,0,0,0,0,0
23,0.042759,0.0257989,0,0,0,0,0,0,0.0430968,0.0348274,0.0367963,0.0126654,0,0,0.0616657,0,0.0123596,0.0399985,0.0250912,0.0197819,0.0325706,0.0157229,0.059558,0.0267295,0.03364,0.0283936,0.0471727,0.0170434,0.0195956,0.0126718,0.0184202,0.0383622,0.0291916,0.0113515,0.0210035,0.0460784,0.0226642,0.0332506,0.0139965,0.0464183,0,0,0.0114086,0,0.0155692,0.0126483,0.0621242,0.0584052,0.0275012,0.0249195,0.0104866,0.0432545,0,0.0613698,0.0282915,0.0232416,0.0397442,0.0151763,0.0377235,0.0609759,0.020848,0.00980571,0.00636657,0.0389973,0.0441145,0,0,0,0,0,0,0,0,0.0698016,0,0,0
24,0.0426626,0.0253672,0,0,0,0,0,0,0.0412555,0.0343793,0.0368931,0.0129591,0,0,0.0619204,0,0.0122718,0.0400013,0.025186,0.0200669,0.0319049,0.0161956,0.058928,0.0264867,0.032824,0.0281592,0.0473874,0.016422,0.0184244,0.0126517,0.0183397,0.0356323,0.0294743,0.0110897,0.0206306,0.043285,0.0227039,0.0345463,0.0141065,0.0466444,0,0,0.0102801,0,0.0156247,0.012092,0.0620418,0.0608714,0.0279185,0.025074,0.0105035,0.0433904,0,0.0621986,0.0278415,0.0233987,0.0397287,0.0149639,0.0386957,0.0597047,0.0206756,0.00946734,0.00603221,0.0389481,0.043831,0,0,0,0,0,0,0,0,0.0712647,0,0,0
25,0.0424451,0.0248505,0,0,0,0,0,0,0.0393159,0.0338044,0.0368452,0.0131181,0,0,0.0621376,0,0.0120751,0.0399432,0.0251996,0.0204115,0.0310769,0.0165132,0.0581025,0.026143,0.0317907,0.027782,0.0475196,0.0157484,0.0172222,0.0127263,0.0181716,0.0325574,0.0297536,0.0108664,0.0201732,0.0404318,0.0227326,0.0357631,0.0142562,0.0467635,0,0,0.00962363,0,0.0156579,0.0118706,0.0618588,0.0637441,0.0282429,0.0235824,0.0104536,0.0434296,0,0.0632566,0.0281574,0.0237244,0.0394447,0.0150933,0.0402694,0.0585431,0.0206421,0.00909182,0.00583693,0.0387711,0.0434484,0,0,0,0,0,0,0,0,0.0734061,0,0,0
26,0.0421878,0.0241867,0,0,0,0,0,0,0.0373626,0.0332982,0.0368304,0.0132205,0,0,0.0623516,0,0.0119092,0.0398857,0.0250753,0.0207549,0.0300951,0.0167175,0.0571742,0.0256624,0.0305073,0.0272668,0.0475254,0.0150142,0.0158913,0.0128658,0.0179625,0.0291237,0.0300384,0.0106244,0.0199181,0.0380452,0.0228157,0.036816,0.0144432,0.0469405,0,0,0.00910003,0,0.0157412,0.011601,0.0614906,0.065924,0.0284854,0.0215216,0.0103765,0.0435003,0,0.0642257,0.0286513,0.0240203,0.0392157,0.0154053,0.042047,0.0569587,0.0206991,0.00870567,0.00562877,0.0384569,0.0431139,0,0,0,0,0,0,0,0,0.075738,0,0,0
