Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHII,LTHIP,,x76,x77
216,0.00554772,0.00539091,0,0,0,0,0,0,0.0302484,0.0325152,0.0183322,0.0114171,0,0,0.00425327,0,0.0153781,0.00437363,0.0478449,0.0249853,0.00844056,0.0133022,0.0106352,0.00252949,0.0113557,0.0139373,0.0191863,0.0181022,0.0177306,0.0187915,0.0360732,0.00419635,0.0125309,0.00419132,0.0151338,0.0239572,0.00671688,0.00181269,0.00596242,0,0,0.00911244,0,0.0160245,0.00523279,0.0356951,0.00504673,0.0229428,0.00844588,0.0120102,0.00412378,0.00777516,0.0243197,0.0117743,0.00990344,0.0057998,0.0340099,0.00529495,0.00469488,0.0158559,0.00419025,0.00460338,0.00226101,0.00537996,0.00579999,0,0,0,0,0,0,0,0,0.0132844,0.0387761,0,0,0
217,0.0056696,0.00552766,0,0,0,0,0,0,0.029668,0.0324736,0.0182797,0.0115302,0,0,0.00475508,0,0.0155703,0.00461328,0.0474226,0.0252846,0.00866218,0.0128111,0.0100968,0.00245025,0.0112725,0.0137773,0.0188973,0.0175783,0.017454,0.0189401,0.0351721,0.00452936,0.012492,0.00424753,0.0151155,0.0239595,0.00664606,0.00175391,0.00601209,0,0,0.00929771,0,0.0160129,0.00524535,0.0360164,0.00508288,0.022677,0.00852189,0.0115335,0.00403603,0.0072202,0.0242792,0.0113897,0.00940153,0.00562655,0.033933,0.00530917,0.00485659,0.0156462,0.00429945,0.00465661,0.00224057,0.00558192,0.00584895,0,0,0,0,0,0,0,0,0.012704,0.0380715,0,0,0
218,0.00587272,0.00568749,0,0,0,0,0,0,0.0296885,0.0324311,0.0181769,0.0114213,0,0,0.00525854,0,0.01584,0.00481541,0.0468789,0.0253128,0.00886228,0.0119671,0.0094633,0.00255207,0.011096,0.0138948,0.0184397,0.0167957,0.017106,0.0192447,0.0354872,0.00478675,0.0123886,0.00427569,0.0150416,0.0239182,0.00681144,0.0018255,0.00627197,0,0,0.00979668,0,0.0159488,0.00534194,0.0363246,0.00487788,0.0224856,0.00860024,0.0109211,0.00411741,0.00718213,0.0241233,0.0109445,0.00892608,0.00576055,0.0338161,0.00521763,0.00488092,0.0154891,0.0045632,0.00481911,0.00222336,0.00590336,0.00611438,0,0,0,0,0,0,0,0,0.0119742,0.0374096,0,0,0
219,0.00583723,0.00566315,0,0,0,0,0,0,0.0302804,0.0324327,0.0179698,0.011188,0,0,0.0054333,0,0.0160736,0.00478914,0.046273,0.0254497,0.00909806,0.0108781,0.00871595,0.00257319,0.0110184,0.01454,0.0180255,0.0160746,0.0168247,0.0197743,0.0365579,0.00483948,0.0123383,0.00423861,0.0150672,0.0238674,0.00685547,0.00200649,0.00634282,0,0,0.0100009,0,0.0159053,0.00539552,0.0366669,0.00450232,0.0223121,0.00872241,0.0101199,0.00421411,0.00696164,0.0239574,0.0104898,0.00841152,0.00583646,0.0336771,0.00510382,0.00475834,0.0154928,0.00476996,0.0048606,0.00226868,0.00600182,0.00606201,0,0,0,0,0,0,0,0,0.011014,0.0367921,0,0,0
220,0.00626568,0.00412074,0,0,0,0,0,0,0.0312941,0.0332817,0.0176846,0.0108105,0,0,0.00668254,0,0.0137908,0.00265711,0.0456231,0.0247043,0.00924884,0.00983779,0.00792414,0.00195656,0.0111943,0.0145077,0.0176299,0.0154377,0.0165055,0.0202881,0.0384652,0.00506208,0.0133996,0.00371649,0.0150017,0.0243318,0.00672185,0.00222326,0.00631343,0,0,0.00378283,0,0.0168214,0.00369341,0.036972,0.00407359,0.0220435,0.00883055,0.00945433,0.00599186,0.00657425,0.0237343,0.00996754,0.00783832,0.00581558,0.0335622,0.00509491,0.00461665,0.0155684,0.00418428,0.00258476,0.00231709,0.00537696,0.00705296,0,0,0,0,0,0,0,0,0.00996483,0.0362715,0,0,0
221,0.00471434,0.00333406,0,0,0,0,0,0,0.0322726,0.0330936,0.0172185,0.0105682,0,0,0.00413248,0,0.0143088,0.00143147,0.0448771,0.0240102,0.00948071,0.00940217,0.00721147,0.00199947,0.0113975,0.0143571,0.0173402,0.014962,0.0162086,0.0207994,0.0403413,0.00368984,0.0131389,0.00367467,0.0147977,0.0241268,0.00655924,0.00244725,0.00434544,0,0,0.00448882,0,0.0164272,0.00440737,0.0373187,0.00356783,0.0219924,0.00898695,0.00872228,0.00456844,0.00612422,0.0235188,0.00937988,0.00722632,0.00562967,0.0334161,0.00504047,0.00446688,0.0157342,0.0033447,0.00363355,0.00186672,0.00345256,0.00508901,0,0,0,0,0,0,0,0,0.00924177,0.0357241,0,0,0
222,0.00481584,0.00324191,0,0,0,0,0,0,0.0333432,0.0331387,0.0167216,0.010322,0,0,0.00425492,0,0.01429,0.00155606,0.0440135,0.0234955,0.00967672,0.00899263,0.00663785,0.0017676,0.0118074,0.0143809,0.0171481,0.014646,0.0159526,0.0212575,0.0420452,0.00364713,0.0131661,0.00365966,0.0146813,0.0241424,0.00654086,0.00266035,0.00441148,0,0,0.00406319,0,0.0164575,0.00430297,0.0375287,0.00313662,0.021901,0.0089829,0.00809803,0.00464529,0.00580085,0.0233637,0.00888965,0.00677654,0.00540242,0.0332766,0.00502331,0.00430179,0.015685,0.00333359,0.00357479,0.00185626,0.0034974,0.00530074,0,0,0,0,0,0,0,0,0.00870302,0.0352535,0,0,0
223,0.0049259,0.00314511,0,0,0,0,0,0,0.0345105,0.0331879,0.0163542,0.0100742,0,0,0.00438215,0,0.0142279,0.00166712,0.0430378,0.0227753,0.00983158,0.00877086,0.00612721,0.00151019,0.0124428,0.0147211,0.0169801,0.0144045,0.0157545,0.0215972,0.0436374,0.00375593,0.0131857,0.00373573,0.0144376,0.0241495,0.00664578,0.00282049,0.00449563,0,0,0.00357581,0,0.0164849,0.00417643,0.0375998,0.00273262,0.0218149,0.00894896,0.00756423,0.0046861,0.00559386,0.0232093,0.00842422,0.00640824,0.00551623,0.033101,0.00503811,0.00419362,0.0154904,0.00332395,0.0034559,0.00184789,0.00355693,0.0055655,0,0,0,0,0,0,0,0,0.00827302,0.0347891,0,0,0
224,0.00481907,0.00303033,0,0,0,0,0,0,0.0354221,0.0331915,0.0161397,0.00987702,0,0,0.00423009,0,0.0142269,0.00164628,0.0420274,0.0218916,0.00994417,0.00885466,0.00572322,0.00133805,0.0130393,0.0151786,0.0167596,0.0140682,0.0154724,0.0221346,0.0448664,0.00375172,0.0131875,0.00371842,0.0144198,0.0241591,0.00700167,0.00290613,0.00436732,0,0,0.00331037,0,0.0165142,0.00405066,0.0375933,0.00271514,0.0217014,0.00908072,0.00718368,0.00457585,0.00551823,0.0231117,0.00794699,0.00597653,0.00560047,0.0329331,0.00498508,0.00407047,0.0155052,0.00336484,0.00329301,0.00183518,0.00341797,0.00541367,0,0,0,0,0,0,0,0,0.00788142,0.0343965,0,0,0
225,0.00450408,0.00280385,0,0,0,0,0,0,0.035914,0.0331387,0.0160972,0.00967105,0,0,0.00376432,0,0.0142928,0.00150803,0.0412334,0.0209954,0.0101183,0.00924703,0.00549715,0.00108711,0.0133791,0.0155661,0.0166061,0.0138153,0.0150479,0.0228315,0.0449501,0.00347581,0.0131399,0.00359767,0.0142165,0.0241114,0.00712345,0.00301553,0.00394933,0,0,0.0036013,0,0.0164457,0.00400887,0.0376041,0.00259065,0.0215715,0.00925303,0.00701071,0.00418167,0.00541446,0.0229784,0.00740166,0.00550101,0.00558672,0.0328115,0.00491242,0.00400023,0.0153614,0.0032538,0.00329753,0.00178636,0.00303216,0.0050078,0,0,0,0,0,0,0,0,0.00739155,0.0340856,0,0,0
