Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_T,RTHII,RTHIP,IMUL_R,IMUR_M,RTHIA,LTHIA,RTHI
All Timesteps RMSE,0.00937129,0.0133573,0,0,0,0.0380006,0.0347461,0.0306704,0.0107107,0,0,0.0113158,0,0.0124454,0.00667215,0.0365539,0.0323224,0.0102506,0.013947,0.0154674,0.0191031,0.0139849,0.0140675,0.0346319,0.0162101,0.0200865,0.0177344,0.0242569,0.0405118,0.0102414,0.0106093,0.00430467,0.0278385,0.0228103,0.0248171,0.00879883,0.0100429,0,0,0.0419491,0,0.0144765,0.0180435,0.0367862,0.0314369,0.0247308,0.0265657,0.0150226,0.0117537,0.019054,0.0325269,0.0126608,0.0208425,0.0283163,0.0201634,0.00763232,0.00855414,0.0139014,0.00931042,0,0,0,0,0,0,0,0,0,0.0769341,0.0919556,0,0,0.0792249,0.017148,0.0942303
0,0.00954569,0.0174531,0,0,0,0.0244763,0.0345824,0.0310837,0.0136256,0,0,0.0168245,0,0.0107254,0.0112231,0.0406581,0.0476255,0.00710852,0.0266731,0.0285405,0.0186387,0.02137,0.0223433,0.0419013,0.0135111,0.0208515,0.0133654,0.018937,0.0439793,0.0144683,0.0102709,0.00639469,0.0342444,0.0234495,0.033441,0.0322367,0.0115107,0,0,0.039722,0,0.0147681,0.0195369,0.0345027,0.0359028,0.0470697,0.112591,0.0213881,0.0206119,0.0169302,0.0209311,0.0112984,0.0101349,0.0328024,0.020389,0.00899737,0.0090634,0.0199593,0.00724751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0101758,0.0174625,0,0,0,0.0286932,0.0345918,0.0324419,0.00951299,0,0,0.0179384,0,0.0110304,0.00920409,0.0381319,0.0467522,0.00711791,0.0221068,0.0260293,0.0230228,0.0196808,0.0199595,0.036374,0.0102966,0,0.0137468,0.017862,0.0472517,0.0148992,0.0108583,0.00671384,0.0304668,0.0232276,0.0279764,0.0200657,0.0118603,0,0,0.0420499,0,0.0146782,0.0202762,0.0316561,0.035185,0.0358971,0,0.022154,0.0197285,0.0154084,0.0258894,0.0022698,0.0150651,0.0286929,0.0211217,0.0106376,0.00952037,0.0185167,0.00808337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0103334,0.0167518,0,0,0,0.036126,0.0347555,0.0379296,0.00964682,0,0,0.0175939,0,0.01127,0.00846626,0.036633,0.051848,0.00832882,0.0222996,0.0221193,0.0243847,0.0209712,0.0206411,0.0325773,0.0106527,0.0199005,0.0155404,0.0159884,0,0.0147703,0.0110207,0.00650293,0.0268881,0.0230383,0.0249992,0.0109573,0.0119311,0,0,0.0426683,0,0.0144829,0.0203152,0.0333937,0.0339255,0.0282601,0.0205705,0.0209179,0.0188314,0.016052,0.0314607,0,0.017706,0.0238977,0.0210681,0.0109337,0.00982885,0.0171599,0.00872667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0104719,0.0168121,0,0,0,0.0321915,0.0347703,0.0343101,0.0106302,0,0,0.0176921,0,0.0113655,0.00797744,0.0366658,0.0484378,0.00900055,0.0200501,0.0215246,0.024634,0.0198456,0.0190754,0.031872,0.00854641,0.0168164,0.0140402,0.0171745,0.0501847,0.0145643,0.0110595,0.00656388,0.0266509,0.0230077,0.0254192,0.00884764,0.0119699,0,0,0.0431815,0,0.0144914,0.0205364,0.0342002,0.0352493,0.0259209,0.0270518,0.0213889,0.0187028,0.0174449,0.032944,0.0075107,0.0194719,0.0245865,0.0212208,0.0110746,0.00992148,0.0173184,0.00883332,0,0,0,0,0,0,0,0,0,0.0816174,0,0,0,0,0,0
4,0.0102186,0.01668,0,0,0,0.0328167,0.0349617,0.0334643,0.0112051,0,0,0.0175144,0,0.0115069,0.00823697,0.0370383,0.0463416,0.00944271,0.0175349,0.0214258,0.0243131,0.0187161,0.017805,0.0315476,0.00695492,0.0152755,0.0140159,0.0168434,0.0496002,0.0145583,0.0111761,0.00646781,0.0257525,0.0230151,0.0250464,0.00878218,0.0116897,0,0,0.0434063,0,0.0144264,0.0204686,0.0345441,0.0348866,0.0255662,0.0249298,0.0216684,0.0184084,0.017204,0.0326993,0.00734768,0.0194144,0.0247735,0.0211817,0.0111435,0.00988949,0.0173016,0.00867344,0,0,0,0,0,0,0,0,0,0.0817345,0,0,0,0,0,0
5,0.0100518,0.0167796,0,0,0,0.0333498,0.0351248,0.0325135,0.0118494,0,0,0.017334,0,0.0115906,0.00863534,0.0375008,0.0437749,0.00972914,0.0144362,0.0213664,0.0241058,0.0173686,0.0164401,0.0309252,0.00517138,0.0135149,0.0139553,0.0165668,0.048937,0.0143913,0.0112711,0.00643281,0.0255701,0.0230886,0.0251835,0.00919064,0.0114807,0,0,0.043683,0,0.0144608,0.020596,0.0347986,0.035321,0.0254383,0.0234289,0.0218624,0.0182374,0.0171392,0.03249,0,0.0195307,0.0251819,0.0212769,0.0110736,0.00984842,0.0174861,0.00871669,0,0,0,0,0,0,0,0,0,0.0815673,0,0,0,0,0,0
6,0.00994688,0.0169422,0,0,0,0.0339448,0.0352701,0.0308678,0.0125567,0,0,0.0172036,0,0.0116606,0.00869889,0.0378927,0.0410364,0.0100431,0.0109239,0.0213044,0.0240364,0.0160685,0.0151207,0.0298809,0.00332187,0.0115315,0.0140853,0.0162843,0.0481351,0.0141874,0.0113349,0.00635709,0.0252283,0.0230404,0.0251942,0.00947056,0.0113298,0,0,0.0439027,0,0.014426,0.0206499,0.0348865,0.0358093,0.0252243,0.0235159,0.0219513,0.0181089,0.0172515,0.0326377,0,0.0197457,0.0254234,0.0213673,0.011061,0.00991718,0.0177213,0.00864532,0,0,0,0,0,0,0,0,0,0.0816797,0,0,0,0,0,0
7,0.0100557,0.01729,0,0,0,0.0347006,0.0353808,0.0292584,0.0130828,0,0,0.0172132,0,0.011775,0.00850316,0.0382614,0.0382348,0.0107256,0.0076493,0.0213913,0.0242129,0.0141563,0.0140177,0.0291083,0.00350885,0.00929955,0.0151722,0.0157859,0.0469882,0.0139519,0.0113606,0.0063516,0.0253527,0.0229386,0.025343,0.00956758,0.0114423,0,0,0.0444019,0,0.014307,0.020881,0.0348108,0.0366635,0.0248843,0.0240725,0.0221382,0.0181794,0.0175142,0.0323252,0,0.0201487,0.0261766,0.0216484,0.0111153,0.00996567,0.0181622,0.0086493,0,0,0,0,0,0,0,0,0,0.0820139,0,0,0,0,0,0
8,0.0105058,0.0177637,0,0,0,0.0348793,0.03531,0.0274274,0.0143296,0,0,0.0174447,0,0.0118262,0.0077968,0.0387559,0.0351669,0.0117901,0.0103405,0.0222772,0.0247064,0.0131425,0.0150261,0.0286945,0.00828523,0.00811436,0.0166464,0.0149633,0.0444986,0.0137574,0.0114044,0.00649945,0.0253153,0.0230797,0.0254255,0.00979947,0.0118635,0,0,0.0450437,0,0.0143799,0.0213537,0.0344835,0.0373619,0.0244131,0.0243882,0.0228685,0.0184343,0.0176683,0.0320376,0.0077237,0.0204798,0.0268147,0.0220879,0.0113014,0.00998791,0.0187233,0.00919887,0,0,0,0,0,0,0,0,0,0.0812336,0,0,0,0,0,0
9,0.0109076,0.0181482,0,0,0,0.0343679,0.0353131,0.0265512,0.0159592,0,0,0.0175722,0,0.0118278,0.00713855,0.0390137,0.0342832,0.0125305,0.0167842,0.023107,0.0251042,0.0149843,0.018181,0.0286158,0.0130108,0.0102637,0.0172058,0.0143025,0.0424366,0.0137176,0.0115649,0.0066625,0.025219,0.0232141,0.0255725,0.0100059,0.0122122,0,0,0.045562,0,0.0144764,0.0217673,0.034346,0.0380516,0.0239035,0.0244709,0.0235896,0.0186309,0.0177759,0.0317604,0.0076371,0.0207463,0.0271663,0.0224465,0.0114366,0.0099614,0.0191418,0.00988837,0,0,0,0,0,0,0,0,0,0.0806815,0,0,0,0,0,0
10,0.0110284,0.0183908,0,0,0,0.0339025,0.035644,0.0262772,0.0165295,0,0,0.017164,0,0.0120048,0.00729184,0.038931,0.0341403,0.0130131,0.0218126,0.0236268,0.0253207,0.0174366,0.0207351,0.0286921,0.0163215,0.013171,0.0171941,0.0137264,0.0402744,0.0135531,0.0119832,0.00649736,0.0245774,0.0232509,0.0245626,0.0108029,0.0123325,0,0,0.0461151,0,0.0144705,0.0220529,0.0346166,0.0363245,0.0239123,0.0239458,0.0240977,0.0188341,0.0164038,0.0310305,0.00675784,0.0191242,0.0259056,0.022771,0.0115425,0.0100373,0.0194134,0.0101154,0,0,0,0,0,0,0,0,0,0.0809832,0.0852032,0,0,0,0,0
11,0.0111786,0.0185796,0,0,0,0.0328716,0.0354505,0.0256454,0.0159993,0,0,0.0173832,0,0.0120134,0.00697612,0.0384424,0.033798,0.0133211,0.0260681,0.023824,0.0253536,0.0200106,0.0227704,0.0283786,0.0187332,0.0160318,0.0177497,0.0131417,0.0382246,0.0133228,0.0117745,0.00649619,0.024847,0.0232062,0.0245413,0.0109598,0.0124154,0,0,0.0464756,0,0.0144505,0.0221806,0.0347272,0.0364553,0.0234609,0.0240931,0.0244741,0.0188996,0.0163397,0.0308492,0.0066657,0.0190592,0.0260798,0.0227297,0.011616,0.0100845,0.0195865,0.0103161,0,0,0,0,0,0,0,0,0,0.0807892,0.0847345,0,0,0,0,0
12,0.0112552,0.0186425,0,0,0,0.0313982,0.0353134,0.0249047,0.0160187,0,0,0.0176033,0,0.0119726,0.00633802,0.037713,0.0330596,0.0134391,0.0290317,0.0240012,0.0254216,0.0223736,0.0238992,0.0281034,0.020587,0.0183565,0.0184607,0.0125673,0.0362585,0.0133059,0.0116754,0.00662972,0.0254814,0.0231648,0.0245324,0.0109089,0.0124068,0,0,0.0466368,0,0.0144124,0.0222231,0.0347644,0.036588,0.023076,0.0242961,0.0247984,0.018741,0.0164128,0.0306573,0.00655966,0.0191521,0.0263035,0.0227362,0.01162,0.010046,0.0194681,0.010353,0,0,0,0,0,0,0,0,0,0.0806763,0.0844158,0,0,0,0,0
13,0.0111475,0.018592,0,0,0,0.0306518,0.0355854,0.0249055,0.0161479,0,0,0.0172223,0,0.0120917,0.00635822,0.0370526,0.0321185,0.0135557,0.0309899,0.0239848,0.0256156,0.0243863,0.0241293,0.0277909,0.0221569,0.0199527,0.0186294,0.0122152,0.0341235,0.0132262,0.011942,0.00646813,0.0252882,0.0232224,0.0246317,0.0111303,0.0122448,0,0,0.0469412,0,0.0144135,0.0223564,0.0348127,0.0369391,0.0227788,0.0247155,0.0249648,0.0185288,0.0165531,0.0304558,0.0064092,0.0193308,0.0267442,0.022924,0.0118411,0.0100869,0.0191455,0.0101114,0,0,0,0,0,0,0,0,0,0.0807091,0.0842237,0,0,0,0,0
14,0.010943,0.0183543,0,0,0,0.0308275,0.0356727,0.0258437,0.0165865,0,0,0.0170584,0,0.0121448,0.00628878,0.0365995,0.0320027,0.0135554,0.032124,0.023934,0.0254985,0.0257581,0.024244,0.0273767,0.0233117,0.0208181,0.0186513,0.0121987,0.0326336,0.0130864,0.0118968,0.00636033,0.0255507,0.0232498,0.024547,0.0116183,0.0120395,0,0,0.0470557,0,0.0144219,0.0223371,0.0348503,0.0370337,0.0225725,0.0251496,0.0251537,0.0181567,0.0166488,0.0302699,0.00625971,0.019409,0.0273295,0.0228255,0.0122776,0.0101752,0.0186987,0.0100914,0,0,0,0,0,0,0,0,0,0.0809012,0.0841176,0,0,0,0,0
15,0.0107757,0.018206,0,0,0,0.0314157,0.0356915,0.027129,0.0167161,0,0,0.0170239,0,0.012187,0.00648118,0.0365611,0.0329524,0.0137199,0.0333733,0.0241233,0.025292,0.0269502,0,0.0271115,0.0245242,0.0218339,0.0187745,0.0124519,0.0315926,0.0129923,0.0118811,0.00634247,0.0254115,0.0233142,0.0243499,0.0118583,0.0119408,0,0,0.0473605,0,0.0144206,0.0224746,0.0348509,0.0368127,0.022044,0.025414,0.0254853,0.0178599,0.0165068,0.0299899,0.00632677,0.0191769,0.027826,0.0227932,0.0121644,0.0103208,0.0184333,0.0101187,0,0,0,0,0,0,0,0,0,0.0803289,0.0839793,0,0,0,0,0
16,0.0104922,0.0179461,0,0,0,0.0325406,0.0357985,0.0284056,0.0166219,0,0,0.0168684,0,0.0121382,0.00662226,0.0368224,0.0333533,0.0136248,0.0333128,0.024059,0.0251572,0.0269924,0,0.0269701,0.0247182,0.0219889,0.0183506,0.01281,0.031485,0.0128532,0.0119488,0.00627767,0.0250462,0.0233913,0.0241293,0.0119096,0.0117313,0,0,0.0476761,0,0.0144261,0.0226305,0.034867,0.0364579,0.021587,0.0255421,0.0254799,0.0175287,0.0162524,0.0297402,0.00653549,0.0188153,0.0280663,0.0228261,0.0119821,0.0103913,0.0181182,0.00993714,0,0,0,0,0,0,0,0,0,0.0798818,0.0838563,0,0,0,0,0
17,0.0102368,0.0176561,0,0,0,0.0340146,0.0357831,0.0294955,0.0163623,0,0,0.0166128,0,0.0120977,0.00689874,0.0373775,0.0331121,0.0134236,0.0324641,0.02375,0.0248876,0.026261,0,0.0268512,0.0244304,0.0220522,0.0176965,0.013245,0.0317011,0.0126879,0.0120089,0.00617343,0.0246525,0.0234022,0.0238474,0.0116347,0.011505,0,0,0.0479418,0,0.0144093,0.0225855,0.0349417,0.0360297,0.0213508,0.0256459,0.0252339,0.0172395,0.0160366,0.0295116,0.00589431,0.0185207,0.0281734,0.0228504,0.0119054,0.0104761,0.0178658,0.00973454,0,0,0,0,0,0,0,0,0,0.0797104,0.0838323,0,0,0,0,0
18,0.0100026,0.0174136,0,0,0,0.0358807,0.0356596,0.0302653,0.0158263,0,0,0.0165084,0,0.0120428,0.00704831,0.0381441,0.0330761,0.0130947,0.030848,0.0232678,0.0243929,0.0247143,0,0.0269833,0.0237931,0.0223182,0.0171268,0.0138925,0.0327013,0.0126403,0.0119516,0.00611802,0.024394,0.0232735,0.0235143,0.0114201,0.0112999,0,0,0.0479665,0,0.014332,0.0223287,0.0350768,0.0353878,0.0212401,0.0256652,0.0247585,0.0169584,0.0158095,0.0295627,0.00542883,0.0182243,0.0282053,0.022707,0.0120375,0.0106053,0.0177512,0.00954752,0,0,0,0,0,0,0,0,0,0.0795712,0.0838602,0,0,0,0,0
19,0.00956666,0.0171385,0,0,0,0.0379613,0.0356943,0.0306708,0.0149111,0,0,0.0162848,0,0.0119399,0.00692285,0.0389315,0.0333427,0.012515,0.027579,0.0220815,0.0238982,0.0218383,0.0221288,0.0276164,0.0221269,0.0221219,0.0167183,0.0151268,0.0347979,0.0126013,0.0118891,0.00605668,0.0240928,0.02311,0.0232094,0.0111144,0.0109672,0,0,0.0478332,0,0.0141983,0.0220343,0.0353306,0.0346235,0.021202,0.0256059,0.0238007,0.0165629,0.0154923,0.029648,0.00531755,0.0178269,0.0280245,0.0224138,0.0119279,0.0106802,0.0176121,0.00915951,0,0,0,0,0,0,0,0,0,0.0795746,0.0839909,0,0,0,0,0
20,0.0105196,0.0172547,0,0,0,0.0413885,0.0359054,0.0325714,0.0144486,0,0,0.0163033,0,0.0120546,0.00622261,0.0388209,0.0346634,0.0121807,0.0245533,0.0192284,0.0253823,0.0196265,0.0211008,0.0271014,0.0207202,0.0218012,0.016778,0.0174434,0.0384011,0.0126069,0.0120634,0.00619249,0.0328467,0.023088,0.014969,0.00509417,0.0113935,0,0,0.0478108,0,0.0141628,0.0220616,0.0348893,0.0145051,0.0159713,0.0278653,0.0224471,0.0165615,0.0221771,0,0.018154,0.0188115,0.0412443,0.0227012,0.0120059,0.0106174,0.017659,0.010236,0,0,0,0,0,0,0,0,0,0.0764678,0.0897049,0,0,0,0,0
21,0.00650617,0.0146531,0,0,0,0.0332199,0.0351452,0.0303376,0.010373,0,0,0.0141338,0,0.0116633,0.0078696,0.0386416,0.0352927,0.00985364,0.0061644,0.0148657,0.0215757,0.00880514,0.00894215,0.0312552,0.0116046,0.0154982,0.0160119,0.0250546,0.0349778,0.0121387,0.0114024,0.00592194,0.0229548,0.0228946,0.0217896,0.00950092,0.00841113,0,0,0.0445707,0,0.0140906,0.0195681,0.0364445,0.0317436,0.0219474,0.0248158,0.0176379,0.0141788,0.0140745,0.0299874,0.0051788,0.0160124,0.0255647,0.0201849,0.0107452,0.0104286,0.0153082,0.00632213,0,0,0,0,0,0,0,0,0,0.0799701,0.0846731,0,0,0,0,0
22,0.00815256,0.0150986,0,0,0,0.0365608,0.0353141,0.0323579,0.0107037,0,0,0.0142488,0,0.0118343,0.00733499,0.0384224,0.0368939,0.00988812,0.00693422,0.0130146,0.0230577,0.00896654,0.0098587,0.0315083,0.0136483,0.0176934,0.0170376,0.0270702,0.0369902,0.0119992,0.0115731,0.00622575,0.0335263,0.022973,0.0175137,0.00280911,0.00914634,0,0,0.0450727,0,0.0141602,0.0200426,0.0361403,0.0148184,0.0166229,0.0266033,0.0168968,0.0146761,0.0208154,0,0.0185608,0.0175154,0.0409388,0.0207809,0.0110001,0.0104188,0.0155106,0.0078514,0,0,0,0,0,0,0,0,0,0.0772552,0.0902291,0,0,0,0,0
23,0.00661457,0.0142743,0,0,0,0.0394037,0.0350565,0.0321903,0.00947404,0,0,0.0134801,0,0.0116622,0.0079846,0.0400907,0.0348712,0.00943603,0.00731725,0.0143434,0.0214006,0.00736296,0.00835333,0.0347706,0.0153774,0.0194943,0.0179089,0.0281227,0.0378863,0.0119283,0.0113768,0.00617206,0.0217082,0.0228726,0.0205544,0.00915937,0.00858452,0,0,0.0445034,0,0.0140654,0.019378,0.0367842,0.0300548,0.021936,0.024344,0.0166421,0.0138218,0.0133813,0.0302104,0.00504471,0.0150749,0.0258264,0.0199379,0.0108821,0.010393,0.0147477,0.00645065,0,0,0,0,0,0,0,0,0,0.0801378,0.0849855,0,0,0,0,0
24,0.00660731,0.0140042,0,0,0,0.0429754,0.0349957,0.0334116,0.00894,0,0,0.0130774,0,0.0116132,0.00799716,0.0406689,0.0345421,0.00932305,0.00873437,0.0139534,0.0211572,0.007465,0.0095225,0.0360824,0.0175546,0.0216053,0.0190502,0.0298281,0.0406865,0.0117177,0.0113911,0.00591534,0.0218039,0.0227805,0.0202901,0.00907019,0.0085387,0,0,0.0444952,0,0.0140687,0.0192867,0.0369343,0.0295278,0.0219058,0.0243189,0.0162351,0.0137759,0.0130597,0.0301763,0.00513099,0.0146421,0.0259922,0.0199454,0.0115371,0.0104384,0.0144102,0.00638664,0,0,0,0,0,0,0,0,0,0.0800661,0.0850798,0,0,0,0,0
25,0.00639548,0.0135645,0,0,0,0.0459888,0.0348273,0.034894,0.00850219,0,0,0.012947,0,0.0115862,0.0079359,0.0412389,0.0342878,0.00926478,0.0101477,0.0132829,0.0209206,0.00753247,0.0114003,0.0371684,0.0197145,0.0237502,0.0203379,0.0315454,0.0434654,0.0115202,0.0112146,0.0054688,0.021797,0.0226873,0.0200919,0.00887773,0.00841593,0,0,0.0442011,0,0.0140354,0.0190517,0.0370216,0.0286514,0.0218314,0.0243793,0.0156848,0.0134484,0.0127077,0.0301828,0.00513502,0.0141939,0.0261133,0.0196569,0.0113469,0.0104949,0.0139668,0.00631125,0,0,0,0,0,0,0,0,0,0.0798995,0.0851705,0,0,0,0,0
26,0.00602722,0.0132441,0,0,0,0.0478083,0.0347281,0.0361018,0.00767591,0,0,0.0127648,0,0.0115142,0.00795853,0.0417022,0.0335291,0.0091152,0.0108161,0.0122541,0.0205757,0.00740088,0.0131637,0.0380367,0.021407,0.0256146,0.0216998,0.033163,0.0452964,0.0113236,0.0111183,0.00514692,0.0219715,0.0227385,0.020041,0.00874577,0.00824113,0,0,0.0440544,0,0.014089,0.0189118,0.0371648,0.0280396,0.0217409,0.0244349,0.0150279,0.0131128,0.0123123,0.0301133,0.00512969,0.0137431,0.0265037,0.019435,0.0111385,0.0105696,0.0136251,0.00619674,0,0,0,0,0,0,0,0,0,0.0796822,0.0852446,0,0,0,0,0
27,0.00575707,0.012873,0,0,0,0.0480193,0.0346731,0.0363174,0.00715599,0,0,0.0124401,0,0.0114494,0.0079398,0.0418479,0.0323552,0.0088837,0.0107553,0.0111802,0.0201173,0.00780488,0.0139235,0.0385571,0.0225159,0.0271309,0.02293,0.0342973,0.0460584,0.0111587,0.0110743,0.00486606,0.0222433,0.0226909,0.0200748,0.00854787,0.0081003,0,0,0.0439552,0,0.0140476,0.0187962,0.0372966,0.0277723,0.0217113,0.0244493,0.0142775,0.0128474,0.0119975,0.0300394,0.00511152,0.0133039,0.0268643,0.0192998,0.0110624,0.0106189,0.0131547,0.00605894,0,0,0,0,0,0,0,0,0,0.0792946,0.0853861,0,0,0,0,0
28,0.00567616,0.0124115,0,0,0,0.0476772,0.0345649,0.0361712,0.00698855,0,0,0.012264,0,0.0114181,0.00784101,0.0416692,0.031896,0.00883589,0.0106141,0.0104287,0.0198092,0.00824617,0.0141314,0.0387052,0.0230014,0.0282361,0.0237543,0.0346929,0.046345,0.0111226,0.0110021,0.00477023,0.0220017,0.0225944,0.0199015,0.00829252,0.00807113,0,0,0.0437659,0,0.0139804,0.0187095,0.0373697,0.0278939,0.0216587,0.0243674,0.0135547,0.0125492,0.0119929,0.0300725,0.00495378,0.0132616,0.0263085,0.0191581,0.0110429,0.0106275,0.0125678,0.00586162,0,0,0,0,0,0,0,0,0,0.0790134,0.0857272,0,0,0,0,0
29,0.0057282,0.0120155,0,0,0,0.0465827,0.0345693,0.0358446,0.00710578,0,0,0.0121531,0,0.0113444,0.0078657,0.041094,0.0332051,0.00888497,0.0104938,0.0100587,0.0196237,0.00844864,0.0138197,0.0385557,0.02294,0.0285276,0.0239082,0.0346247,0.0456976,0.0111486,0.0110076,0.00479177,0.0220831,0.0226338,0.0198428,0.00809845,0.00820648,0,0,0.0436445,0,0.0140333,0.0186933,0.037417,0.0283576,0.0216845,0.0243642,0.0130072,0.012284,0.0119207,0.0300736,0.00480504,0.0131635,0.026701,0.0191462,0.0110121,0.0106157,0.0120489,0.00596901,0,0,0,0,0,0,0,0,0,0.0785367,0.0860487,0,0,0,0,0
30,0.00579962,0.011754,0,0,0,0.0452133,0.0345535,0.0354279,0.00723391,0,0,0.0120756,0,0.0112525,0.0080343,0.0401785,0.0351697,0.00901841,0.0102042,0.00988986,0.0196262,0.00829145,0.0130676,0.038199,0.0224207,0.0278359,0.0234824,0.0343382,0.0444389,0.0111307,0.0110563,0.00479721,0.0226502,0.022588,0.0200351,0.00808086,0.00844092,0,0,0.0436396,0,0.0140188,0.0186712,0.037454,0.0290082,0.0217809,0.0244061,0.0127431,0.0121065,0.0117398,0.0300659,0.00481963,0.012949,0.0280672,0.0191618,0.0111745,0.0106807,0.0116328,0.00627355,0,0,0,0,0,0,0,0,0,0.0779943,0.0862896,0,0,0,0,0
31,0.00587609,0.0116844,0,0,0,0.0447108,0.0344425,0.0353355,0.00729001,0,0,0.0120295,0,0.0112023,0.00783198,0.0392714,0.0361953,0.00924353,0.00970717,0.00994739,0.0195771,0.00776209,0.0117219,0.0375756,0.0215691,0.026488,0.0226797,0.0339742,0.0436863,0.0110695,0.0109939,0.00474209,0.0229444,0.0224766,0.0201087,0.00794911,0.00871478,0,0,0.04377,0,0.0139393,0.0186789,0.0373264,0.0289101,0.021579,0.0244443,0.012745,0.0120099,0.011596,0.0299833,0.00463707,0.0127868,0.0288419,0.0192737,0.0116606,0.0107556,0.0114457,0.00638904,0,0,0,0,0,0,0,0,0,0.0775485,0.0865341,0,0,0,0,0
32,0.00603692,0.0116159,0,0,0,0.0451078,0.0345016,0.0356822,0.00727159,0,0,0.011999,0,0.0112285,0.0075382,0.0385714,0.0370424,0.00949562,0.00910065,0.0100705,0.0197266,0.00705512,0.0104462,0.0366833,0.0205689,0.0248456,0.0215919,0.0335977,0.043501,0.0110199,0.0109251,0.00471022,0.0229604,0.022506,0.020093,0.00799155,0.00886686,0,0,0.04387,0,0.0139645,0.018757,0.0372448,0.0289828,0.0212497,0.0244707,0.0127551,0.0119452,0.011542,0.0298119,0.00428828,0.012691,0.0293561,0.0195895,0.0119186,0.0107226,0.0113336,0.00657509,0,0,0,0,0,0,0,0,0,0.0771571,0.0867183,0,0,0,0,0
33,0.00627357,0.0116473,0,0,0,0.0456819,0.0345575,0.0364035,0.00707846,0,0,0.0118334,0,0.0112288,0.00728212,0.0382088,0.038779,0.00961958,0.00856437,0.010291,0.0199384,0.00669841,0.00963565,0.0356506,0.0195035,0.0232741,0.0204483,0.0332161,0.0438134,0.0109075,0.010898,0.00465343,0.0230133,0.0225203,0.0200555,0.00811876,0.00900101,0,0,0.0439453,0,0.0140066,0.0188304,0.0372258,0.0292621,0.0208485,0.02445,0.0129227,0.0120103,0.0115101,0.0295804,0.00398395,0.0125839,0.0299523,0.019774,0.0123223,0.0106778,0.0113335,0.00680222,0,0,0,0,0,0,0,0,0,0.0768306,0.0867543,0,0,0,0,0
34,0.00655543,0.011767,0,0,0,0.0458933,0.0344174,0.0374948,0.00698708,0,0,0.0116708,0,0.0112162,0.00699728,0.0382332,0.0405891,0.00979365,0.00854055,0.0109389,0.0202052,0.00695783,0.00948093,0.0346675,0.018701,0.0223845,0.0196865,0.0328124,0.044017,0.0106457,0.0107793,0.0045605,0.0231278,0.0224348,0.0199851,0.00818486,0.00913466,0,0,0.0438831,0,0.013987,0.0188362,0.0371946,0.0297584,0.0204479,0.0244044,0.0133487,0.0120695,0.0114435,0.0293453,0.00371217,0.0124732,0.0306705,0.019644,0.011509,0.010721,0.0114984,0.00703406,0,0,0,0,0,0,0,0,0,0.0766646,0.0866432,0,0,0,0,0
35,0.00674526,0.0119128,0,0,0,0.0448328,0.0342646,0.0383813,0.0069629,0,0,0.0115037,0,0.0113005,0.00675309,0.0385865,0.0407907,0.010064,0.00916304,0.011054,0.0204595,0.00730065,0.00991924,0.0337174,0.0186628,0.0226333,0.0198613,0.0324055,0.0432176,0.0105523,0.0106612,0.00441984,0.0231569,0.0222773,0.0198748,0.00817363,0.00905515,0,0,0.0436067,0,0.0139485,0.0186466,0.0372946,0.0301037,0.0199756,0.0244609,0.0137548,0.0120483,0.0112647,0.0291012,0.00335289,0.0122847,0.0313813,0.0195008,0.0110237,0.0106982,0.0117617,0.00712845,0,0,0,0,0,0,0,0,0,0.076533,0.0864668,0,0,0,0,0
36,0.0067823,0.0120296,0,0,0,0.0430097,0.0341254,0.0381003,0.00707568,0,0,0.0113077,0,0.0113578,0.00631159,0.0390423,0.0401128,0.01022,0.00988337,0.0108311,0.0208967,0.00782377,0.0110463,0.0331491,0.019278,0.0235436,0.0206457,0.0325005,0.0414147,0.0106551,0.0105868,0.00431258,0.0230795,0.0222069,0.0198354,0.00814737,0.0088512,0,0,0.0431144,0,0.0139861,0.0183674,0.0372461,0.0300325,0.0194261,0.0244698,0.0139879,0.0118233,0.0110396,0.0287955,0.00290838,0.0120196,0.0318171,0.0194872,0.0108996,0.0106275,0.0120121,0.00723568,0,0,0,0,0,0,0,0,0,0.0762621,0.0863225,0,0,0,0,0
