Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_T,RTHII,RTHIP,IMUL_R,IMUR_M,RTHIA,LTHIA,RTHI
241,0.00920711,0.0117386,0,0,0,0.024818,0.0347256,0.0296464,0.0024234,0,0,0.00893407,0,0.0125612,0.00608034,0.0410475,0.0299786,0.00947843,0.0122687,0.014249,0.0177392,0.0118814,0.0142653,0.0387127,0.00851775,0.0163157,0.0138395,0.014581,0.018889,0.0117983,0.0103783,0.0032767,0.0289385,0.0231609,0.0253868,0.00626595,0.0111436,0,0,0.0423884,0,0.0146314,0.0174237,0.0361221,0.0326433,0.033816,0.019034,0.00676361,0.0119721,0.016654,0.0360335,0.0135476,0.0195486,0.0209227,0.0186751,0.00580191,0.00788729,0.0122923,0.00968016,0,0,0,0,0,0,0,0,0,0.0846552,0.08835,0,0,0,0.0211877,0.085726
242,0.0103804,0.0129184,0,0,0,0.0257915,0.0349698,0.0290111,0.00355379,0,0,0.00834257,0,0.0127882,0.00547832,0.0419277,0.0313227,0.00939927,0.0133487,0.0151191,0.0185,0.0125859,0.0149791,0.0395816,0.00848471,0.0161725,0.013542,0.0148925,0.0248261,0.0113274,0.0105461,0.00341581,0.0293592,0.0232393,0.0260533,0.00699425,0.0121234,0,0,0.0435802,0,0.0146523,0.018143,0.0362894,0.0333672,0.0335347,0.0195433,0.0086302,0.012678,0.0169483,0.0360439,0.0132938,0.0197011,0.0212016,0.0194629,0.00629451,0.00803137,0.0135257,0.0106183,0,0,0,0,0,0,0,0,0,0.0846958,0.0885943,0,0,0,0.0223823,0.085891
243,0.0108839,0.0134837,0,0,0,0.02677,0.0350899,0.0294423,0.00467216,0,0,0.00791706,0,0.0130794,0.00511144,0.0423886,0.0359725,0.00911608,0.0161983,0.0152204,0.0191185,0.0147623,0.0165902,0.0400847,0.00919732,0.0170607,0.0128525,0.0159709,0.0310713,0.0110922,0.0106733,0.0033859,0.0294925,0.023207,0.0265669,0.00790359,0.0124953,0,0,0.0441106,0,0.0147259,0.0186283,0.0362846,0.0338252,0.0332608,0.0202791,0.00982877,0.0130819,0.0171096,0.0359614,0.0130411,0.0197119,0.021327,0.0199688,0.00655664,0.00821162,0.0139555,0.0110224,0,0,0,0,0,0,0,0,0,0.0845502,0.08892,0,0,0,0,0.0860305
244,0.0113637,0.0142516,0,0,0,0.026779,0.0353091,0.0292183,0.00579876,0,0,0.00754452,0,0.0132634,0.00463873,0.0424717,0.0371287,0.00894011,0.0153434,0.0161664,0.0198605,0.0142066,0.0153742,0.0402408,0.00818881,0.016012,0.0128531,0.0159514,0.0330134,0.0108521,0.0107858,0.00353264,0.0297546,0.0232864,0.0278322,0.00895155,0.0131293,0,0,0.0447522,0,0.0147298,0.01922,0.0354764,0.0354648,0.0330113,0.0227103,0.0117264,0.0134697,0.0178355,0.0358323,0.0125702,0.0201813,0.0220457,0.0204324,0.00676483,0.00822297,0.014632,0.0116431,0,0,0,0,0,0,0,0,0,0.0826688,0.0900089,0,0,0,0.0235286,0
245,0.0124018,0.0155093,0,0,0,0.0261371,0.0356018,0.029735,0.00636027,0,0,0.00733707,0,0.0135059,0.00399305,0.041803,0.0385158,0.00890807,0.016206,0.0175951,0.0207625,0.0149287,0.0154299,0.0399774,0.00801881,0.0161158,0.012591,0.0163435,0.0340247,0.0104921,0.0109856,0.00379433,0.0291875,0.0233973,0.0269008,0.00957374,0.0137429,0,0,0.0458825,0,0.0147674,0.0199428,0.0355135,0.0336268,0.0321528,0.0215711,0.013986,0.0140956,0.016713,0.0351617,0.0120717,0.0191921,0.0211689,0.0211221,0.00714185,0.00836804,0.0160057,0.012183,0,0,0,0,0,0,0,0,0,0.0831674,0.0890012,0,0,0,0.0231569,0.087137
246,0.0132378,0.0164567,0,0,0,0.0257494,0.0358079,0.0295557,0.00685405,0,0,0.00737081,0,0.0137207,0.00348146,0.0408202,0.0390687,0.00883652,0.016959,0.0187406,0.021633,0.0155495,0.0156411,0.039519,0.00783968,0.0161367,0.012366,0.0166135,0.0350019,0.010293,0.0111858,0.00391404,0.0287789,0.0233969,0.0265906,0.0100821,0.0140852,0,0,0.046502,0,0.0148164,0.0201554,0.0351398,0.0331828,0.0314852,0.02183,0.0157995,0.0145782,0.0163746,0.0346464,0.0117293,0.0188664,0.0209166,0.021555,0.00751376,0.00841956,0.0170413,0.0125197,0,0,0,0,0,0,0,0,0,0.0825193,0.088312,0,0,0,0.0234061,0.0875594
247,0.0136857,0.0171262,0,0,0,0.0260112,0.0359345,0.029402,0.00726082,0,0,0.00740075,0,0.0138496,0.00318603,0.0396646,0.0399415,0.00870194,0.017591,0.0197154,0.0222676,0.0160984,0.0159211,0.0388787,0.00778096,0.0159737,0.0123225,0.0167607,0.0364088,0.0101611,0.0113165,0.00398335,0.0284926,0.0233417,0.0265635,0.0103773,0.0141977,0,0,0.0467172,0,0.0148265,0.0201337,0.0347694,0.0330136,0.0309006,0.022341,0.0173076,0.014834,0.0162542,0.0343361,0.011196,0.0186852,0.0208833,0.0217213,0.00778876,0.00825144,0.0177113,0.0127422,0,0,0,0,0,0,0,0,0,0.0819326,0.0873874,0,0,0,0.0240263,0.0881087
248,0.014137,0.0177211,0,0,0,0.0270463,0.0360412,0.0300488,0.00767205,0,0,0.00763012,0,0.0140215,0.00296585,0.0383927,0.0409149,0.00856352,0.0178825,0.0203964,0.0229841,0.0165367,0.0161548,0.0380136,0.0076204,0.0156835,0.0124091,0.0168005,0.0379666,0.010044,0.0114413,0.00408748,0.02943,0.0233496,0.0280234,0.00989507,0.0142978,0,0,0.0468847,0,0.0148259,0.0202654,0.0342877,0.0349099,0.0298812,0.0247176,0.0187625,0.0148556,0.0174471,0.0346153,0.0112225,0.0196695,0.0225365,0.0217641,0.0080861,0.00827473,0.0182572,0.0131259,0,0,0,0,0,0,0,0,0,0.0807413,0,0,0,0,0.0245722,0.0895689
249,0.0143141,0.0181055,0,0,0,0.0278029,0.0361613,0.0305061,0.00826905,0,0,0.00792391,0,0.0142281,0.00293905,0.0374539,0.041476,0.00855484,0.0179953,0.0212164,0.023421,0.0166323,0.0163318,0.0374568,0.0073765,0.0154072,0.0124045,0.016815,0.0393002,0.0100076,0.0115173,0.00421437,0.0303843,0.0233693,0.0289598,0.0100318,0.0142884,0,0,0.0471315,0,0.0147661,0.0203996,0.0340697,0.0357032,0.0294234,0.0267412,0.0200459,0.0146428,0.0175894,0.0345067,0.0109073,0.0197125,0.0237527,0.0217779,0.00821984,0.00833229,0.0186053,0.0133025,0,0,0,0,0,0,0,0,0,0.0797052,0,0,0,0,0.0243728,0.090327
250,0.0129976,0.0175605,0,0,0,0.0273859,0.036106,0.0296173,0.0087653,0,0,0.00778337,0,0.0141277,0.00329877,0.0381003,0.0408186,0.00870903,0.0182751,0.0228491,0.0218052,0.0161988,0.0163923,0.0387782,0.00764093,0.0155414,0.0124161,0.0166163,0.0394355,0.00973254,0.0113829,0.00421656,0.0549854,0.0233553,0.0434965,0.0151397,0.0135467,0,0,0.0479234,0,0.0146514,0.0204905,0.0342623,0.0612115,0.0338477,0.0533877,0.0203682,0.0141927,0.0327801,0.036677,0.00607982,0.0331837,0.0705758,0.0216443,0.00828225,0.00855628,0.0181734,0.0120512,0,0,0,0,0,0,0,0,0,0.0593292,0,0,0,0.0481339,0.0240584,0.115911
