Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTHII,x75,x76
176,0.0099029,0.00304795,0,0,0,0,0,0,0.0299667,0.0331487,0.0191245,0.01348,0,0,0.0128966,0,0.0143305,0.00257775,0.0463645,0.0253004,0.00765144,0.0118981,0.0106014,0.0158871,0.0129908,0.0184824,0.0141953,0.0440308,0.020549,0.0203737,0.0191111,0.0184871,0.0366746,0.0110172,0.0137661,0.00421169,0.0144035,0.0222727,0.00841035,0.00343101,0.0106369,0,0,0.00414997,0,0.0156549,0.00295617,0.0347676,0.0116412,0.0228631,0.00980007,0.0117052,0.00976977,0.00969952,0.0290419,0.0125059,0.00564269,0.0332587,0.00357706,0.00856742,0.0164811,0.00636189,0.00174547,0.00140185,0.00376379,0.0115055,0,0,0,0,0,0,0,0,0.0174409,0,0
177,0.00965914,0.00319601,0,0,0,0,0,0,0.029452,0.0332176,0.0188441,0.0134399,0,0,0.0124871,0,0.0145058,0.00236158,0.0461654,0.0256579,0.00814838,0.0115837,0.010599,0.0157564,0.0125226,0.0184813,0.0139177,0.0433092,0.0203412,0.0200285,0.0190023,0.0184687,0.0367858,0.0107374,0.0138246,0.00402385,0.0144277,0.0222479,0.00791269,0.00294771,0.0103152,0,0,0.00408586,0,0.0156434,0.00288183,0.0350169,0.0115591,0.0224474,0.00942207,0.012001,0.00979032,0.00945761,0.0289025,0.0120398,0.00566857,0.0331828,0.00373612,0.00842331,0.0167107,0.00608274,0.00179631,0.00120284,0.00396399,0.0112308,0,0,0,0,0,0,0,0,0.016864,0,0
178,0.00849509,0.00268213,0,0,0,0,0,0,0.0290077,0.0330482,0.0141352,0.0115797,0,0,0.0112284,0,0.0146628,0.00241375,0.0433567,0.0224569,0.00813028,0.00701691,0.00795387,0.0146997,0.0076476,0.0136094,0.00748679,0.0414953,0.0193175,0.0193694,0.0173807,0.0211772,0.0399076,0.0101079,0.0137245,0.00368527,0.014955,0.0220897,0.00750056,0.00186487,0.00888053,0,0,0.00277345,0,0.0155516,0.00193226,0.0361473,0.0110964,0.0219272,0.00952567,0.0103476,0.00917394,0.00888265,0.0287543,0.0114496,0.00576831,0.0330595,0.00370576,0.00827034,0.0174863,0.0052911,0.00174366,0.000751462,0.0034728,0.00978606,0,0,0,0,0,0,0,0,0.0163317,0,0
179,0.00841906,0.00280952,0,0,0,0,0,0,0.029417,0.0331286,0.0148217,0.0115609,0,0,0.0110025,0,0.0148345,0.00224904,0.0441677,0.0229562,0.00838072,0.00450341,0.00776205,0.0146927,0.00830928,0,0.00728497,0.0412961,0.0186312,0.0184921,0.0174006,0.02077,0.0401175,0.00992899,0.0137284,0.00362493,0.015287,0.0220942,0.00750897,0.00148989,0.00884111,0,0,0.00305736,0,0.0155058,0.00216096,0.0363256,0.0113879,0.0217061,0.00946572,0.0101334,0.00942287,0.00870054,0.0286922,0.011024,0.00599077,0.0331035,0.00397645,0.00838549,0.0179036,0.00524349,0.00197454,0.000778568,0.00360011,0.00974839,0,0,0,0,0,0,0,0,0.0159624,0,0
180,0.00866953,0.0029959,0,0,0,0,0,0,0.0297869,0.033247,0.0160651,0.0121698,0,0,0.0112196,0,0.0149784,0.00201116,0.0444725,0.0240101,0.00896554,0.0043238,0.00873849,0.0147153,0.00996348,0.0139092,0.00790094,0.040971,0.0184864,0.0177603,0.0176795,0.0203355,0.0396208,0.00985198,0.0137478,0.00363882,0.0155825,0.0221664,0.00742412,0.00103958,0.00926389,0,0,0.00375364,0,0.0154949,0.00271079,0.0362505,0.0118198,0.0214186,0.00924048,0.0106839,0.00987335,0.0084185,0.0286399,0.0105,0.00622259,0.0331133,0.00429054,0.00882828,0.0180359,0.00546401,0.00210334,0.000889439,0.00377434,0.0101507,0,0,0,0,0,0,0,0,0.0155435,0,0
181,0.0090371,0.000942859,0,0,0,0,0,0,0.0307524,0.0333713,0.0145731,0.0115417,0,0,0.0138931,0,0.0142567,0.00396422,0.0437999,0.0233261,0.00924544,0.00362071,0.00797029,0.0137818,0.00908852,0.0125761,0.00734427,0.0407236,0.0181704,0.0174858,0.0166819,0.0214124,0.0417704,0.0117278,0.0139502,0.00457904,0.0159096,0.0223447,0.00685671,0.000485678,0.00952822,0,0,0.00516404,0,0.0159416,0.00285403,0.0367883,0.0111183,0.0211374,0.00917296,0.00990846,0.00899324,0.00788874,0.0283521,0.00981359,0.00623225,0.0331514,0.00442184,0.00867135,0.017978,0.00688723,0.0019025,0.00197239,0.00203948,0.00984532,0,0,0,0,0,0,0,0,0.0148085,0,0
182,0.00988707,0.00174143,0,0,0,0,0,0,0.0316079,0.0334306,0.0147607,0.0115171,0,0,0.0152739,0,0.0139488,0.00500554,0.0438436,0.0234953,0.0095027,0.00305265,0.00783905,0.0144856,0.00890216,0.0117679,0.007373,0.0406489,0.0179731,0.0169222,0.0165241,0.0216572,0.042924,0.0129267,0.0141055,0.00491416,0.0160065,0.022158,0.00626131,0.000320863,0.0100844,0,0,0.00301774,0,0.0157005,0.00249403,0.0370545,0.0105016,0.0210286,0.00902401,0.00970068,0.00907505,0.00764451,0.0280617,0.00919684,0.00626352,0.0332503,0.00463476,0.00843806,0.0180846,0.00611591,0.00176269,0.00105936,0.00218625,0.0103264,0,0,0,0,0,0,0,0,0.0141154,0,0
183,0.00996436,0.00185614,0,0,0,0,0,0,0.0325335,0.0335234,0.0148784,0.0113912,0,0,0.014955,0,0.0140275,0.00501334,0.0439067,0.023507,0.00981961,0.00312583,0.00764154,0.0141759,0.00930086,0.0118298,0.0075092,0.040391,0.0177965,0.0163654,0.0162947,0.0220067,0.0439088,0.0126405,0.0141369,0.00478744,0.0161694,0.0221779,0.00593307,0.000581997,0.0102211,0,0,0.00335072,0,0.0157261,0.00272637,0.0372423,0.0100937,0.0209156,0.00888679,0.00934424,0.00913028,0.00742523,0.027855,0.00867118,0.00637593,0.0332978,0.004853,0.00830715,0.0186581,0.00631374,0.00178042,0.00126248,0.00228689,0.0103538,0,0,0,0,0,0,0,0,0.0135936,0,0
184,0.00999427,0.0019887,0,0,0,0,0,0,0.0334142,0.03361,0.0148147,0.0110845,0,0,0.0146186,0,0.0140887,0.00502491,0.0438465,0.0232805,0.0101298,0.00366198,0.00745212,0.0136681,0.0101304,0.0121885,0.00773404,0.0399516,0.0175562,0.0157452,0.0160073,0.0223498,0.0451639,0.0123349,0.0141652,0.00478258,0.0163218,0.022175,0.00561995,0.000866756,0.0102941,0,0,0.00364456,0,0.0157472,0.00270304,0.0372936,0.00961843,0.020784,0.00875026,0.00895761,0.00911339,0.00717785,0.0276377,0.00816708,0.00643465,0.0332945,0.00508151,0.00814961,0.018998,0.00639988,0.00174219,0.00141325,0.00243207,0.0103414,0,0,0,0,0,0,0,0,0.0131463,0,0
185,0.00996507,0.0021114,0,0,0,0,0,0,0.0341544,0.0336683,0.0146554,0.010708,0,0,0.0143585,0,0.0141577,0.00500153,0.0435076,0.0225363,0.010377,0.00425421,0.00731034,0.0131524,0.0109388,0.0131004,0.00777018,0.0394557,0.0171971,0.0151536,0.0156255,0.0227005,0.0463113,0.0119963,0.0141677,0.00483774,0.0163949,0.0221788,0.00534855,0.00110113,0.0103893,0,0,0.00384087,0,0.0157414,0.00264695,0.0372509,0.00896813,0.0206767,0.00863494,0.00858424,0.00904269,0.00691807,0.0274034,0.00769705,0.00642624,0.0333154,0.00521943,0.00784353,0.0191393,0.006393,0.00165866,0.00128794,0.00253473,0.0103525,0,0,0,0,0,0,0,0,0.0124821,0,0
