Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTIBA,IMUR_M,RTHII,LTHIA,RTHIA
202,0.0136764,0.00935085,0,0,0,0,0,0.0309988,0.0341458,0.0219072,0.00886742,0,0,0.0063838,0,0.0109849,0.00469872,0.0359223,0.0166479,0.00775773,0.00560578,0.0173352,0.0126633,0.00861358,0.00498994,0.0385761,0.0156997,0.0192054,0.016703,0.0251841,0.0334542,0.00495995,0.010273,0.00315844,0.0260703,0.0206876,0.0248252,0.00843814,0.0131976,0,0,0.030431,0,0.0140938,0.00890504,0.034828,0.0311949,0.0317657,0.0186971,0.00469424,0.00302028,0.00156645,0.00816221,0.0233494,0.0195272,0.0273968,0.0239611,0.0104482,0.00687585,0.00889912,0.0111027,0.0134494,0,0,0,0,0,0,0,0,0.0399996,0,0,0.00735505,0.0179188
203,0.0138027,0.0092561,0,0,0,0,0,0.0300942,0.033965,0.0215099,0.00881149,0,0,0.0061429,0,0.0109242,0.00462136,0.0360831,0.0169033,0.00788356,0.00608765,0.0175743,0.012886,0.00875996,0.0054335,0.0383946,0.0155445,0.0190139,0.0164822,0.0248656,0.0325171,0.0047477,0.0101882,0.0030684,0.026248,0.020703,0.0254669,0.00830563,0.0131109,0,0,0.0299584,0,0.014121,0.0086812,0.0344377,0.032809,0.0316285,0.0206347,0.00485648,0.00323024,0.00226787,0.00741004,0.0235501,0.0195329,0.0275439,0.0233936,0.0104734,0.0068121,0.00885064,0.0109224,0.0136012,0,0,0,0,0,0,0,0,0.0397831,0,0,0.00770916,0.0175685
204,0.0139506,0.00892928,0,0,0,0,0,0.0292905,0.0337672,0.0211826,0.00861324,0,0,0.00563315,0,0.0108767,0.00436138,0.0362144,0.0173135,0.00809673,0.00670869,0.0175893,0.0131399,0.00894303,0.00601059,0.0380916,0.015372,0.0187467,0.0162374,0.0244526,0.0313889,0.00438244,0.0101155,0.00293106,0.027558,0.0206636,0.0263665,0.008139,0.0130535,0,0,0.0290376,0,0.0141741,0.0081082,0.0338618,0.0344562,0.0315554,0.022107,0.00471395,0.00354755,0.00271715,0.00697399,0.0241475,0.0200033,0.0279641,0.0242605,0.0104835,0.00676939,0.00877536,0.0106186,0.0136735,0,0,0,0,0,0,0,0,0.0399099,0,0,0.00801815,0.0171993
205,0.014138,0.00848245,0,0,0,0,0,0.0283636,0.0335894,0.0211949,0.00818088,0,0,0.00499122,0,0.0108231,0.00396564,0.0363189,0.0178926,0.00840215,0.00730734,0.0174174,0.0133333,0.00897498,0.00670847,0.037744,0.0151455,0.0183447,0.0159708,0.0239347,0.0300782,0.00397749,0.0100679,0.00273789,0.0300972,0.0206004,0.0277525,0.00799608,0.0130658,0,0,0.0280772,0,0.0142325,0.00787105,0.0332282,0.0359694,0.031663,0.0227193,0.00434809,0.00398123,0.00294549,0.0059601,0.0246914,0.0204667,0.0282563,0.02701,0.0102139,0.00664732,0.00878989,0.010298,0.0137195,0,0,0,0,0,0,0,0,0.04033,0,0,0.00820444,0.0167743
206,0.0144066,0.0084907,0,0,0,0,0,0.0273041,0.0335813,0.0214594,0.0082144,0,0,0.00493783,0,0.0108144,0.00387077,0.0364233,0.0185595,0.00867052,0.00776543,0.0178054,0.0136538,0.00870751,0.00734436,0.0374815,0.0146754,0.0177172,0.0156463,0.0232713,0.0283401,0.00398336,0.0100784,0.00273353,0.0328295,0.0206342,0.0285294,0.00817853,0.013214,0,0,0.0279655,0,0.014251,0.00806984,0.0327455,0.0365852,0.0315943,0.0223934,0.00452966,0.0040048,0.00316754,0.00600504,0.0246327,0.0205244,0.0280264,0.0303307,0.00997334,0.00649848,0.00873281,0.0103601,0.013896,0,0,0,0,0,0,0,0,0.0405571,0,0,0.0084176,0.0164859
207,0.0147693,0.00853473,0,0,0,0,0,0.0262582,0.0335142,0.0220783,0.00811966,0,0,0.00485861,0,0.0108415,0.00379032,0.0365607,0.019504,0.00901469,0.00802548,0.01804,0.0139261,0.00826288,0.00797781,0.0372062,0.0139446,0.0169025,0.0153329,0.0224898,0.0261902,0.00404246,0.0100809,0.00271486,0.0349547,0.0206588,0.0285803,0.00829822,0.0133889,0,0,0.0279322,0,0.0142729,0.00801313,0.0324963,0.0366971,0.0317854,0.0218204,0.0045651,0.0040131,0.00401045,0.00670652,0.0241454,0.020166,0.0274652,0.0323813,0.0097725,0.00638214,0.00869878,0.0103826,0.0141674,0,0,0,0,0,0,0,0,0.0404692,0,0,0.00878005,0.0158753
208,0.0150765,0.00863021,0,0,0,0,0,0.0255182,0.033441,0.0229994,0.00791525,0,0,0.0048344,0,0.0109208,0.00370315,0.0367255,0.0207618,0.00937816,0.00816458,0.0181718,0.0142129,0.00777229,0.00856163,0.0369877,0.0129704,0.0159349,0.015078,0.0215279,0.0240563,0.00416685,0.0100698,0.00267119,0.036277,0.0206761,0.0280563,0.0083126,0.0136337,0,0,0.0276461,0,0.0142888,0.0078659,0.0323281,0.0363119,0.0321367,0.0210252,0.00457011,0.00391085,0.00542184,0.0077598,0.023281,0.0194148,0.0265377,0.0329317,0.00947281,0.00639473,0.00864874,0.0103825,0.0144541,0,0,0,0,0,0,0,0,0.0400592,0,0,0.00912669,0.0150807
209,0.0151135,0.00882525,0,0,0,0,0,0.0250755,0.0334204,0.024106,0.00758564,0,0,0.00497536,0,0.0109607,0.00372344,0.0368653,0.0221986,0.00968184,0.0082015,0.0182678,0.0146747,0.00735588,0.00916499,0.0367001,0.0117333,0.0148582,0.0148364,0.0204656,0.0220831,0.00439944,0.0101023,0.00265327,0.0369267,0.0207076,0.0271647,0.00813382,0.0139446,0,0,0.0275342,0,0.0142843,0.00782885,0.0321127,0.0354074,0.0322742,0.0198859,0.00479638,0.00376827,0.00678675,0.0089341,0.0222348,0.0186365,0.0254037,0.0333772,0.00920331,0.00638683,0.00866481,0.0104316,0.0148987,0,0,0,0,0,0,0,0,0.0394897,0,0,0.00945778,0.0143692
210,0.015015,0.00920619,0,0,0,0,0,0.024879,0.0334812,0.0254833,0.00706182,0,0,0.00523031,0,0.0110085,0.0037959,0.0369638,0.0238831,0.00984553,0.00789648,0.0183812,0.0152828,0.00706466,0.00971354,0.036406,0.0103302,0.0137292,0.0146121,0.0194159,0.0199145,0.00470373,0.0101826,0.00273051,0.0367756,0.0207349,0.0261312,0.0077426,0.0142353,0,0,0.0275695,0,0.0142723,0.00783692,0.0318762,0.0342091,0.0322023,0.0188403,0.00521731,0.00371824,0.00766607,0.00966093,0.0212453,0.018066,0.0243381,0.033831,0.00899989,0.00645114,0.0084884,0.0106212,0.0153426,0,0,0,0,0,0,0,0,0.0389768,0,0,0.00973433,0.0138944
211,0.0153636,0.0096814,0,0,0,0,0,0.0248227,0.0335498,0.0269673,0.00641312,0,0,0.00566308,0,0.0111133,0.00394847,0.0371049,0.0257166,0.00989591,0.00732931,0.0185529,0.015857,0.00668622,0.0101222,0.0361363,0.00894668,0.0126537,0.0143884,0.018442,0.0175261,0.00507478,0.010251,0.00279132,0.0356948,0.0207761,0.0252342,0.00720885,0.0145825,0,0,0.0278133,0,0.0142377,0.0076627,0.0317788,0.0331718,0.0321101,0.0179617,0.00548579,0.00374976,0.0079756,0.010153,0.0203287,0.0175485,0.0234839,0.033273,0.00872589,0.00639261,0.00836859,0.0108935,0.0156053,0,0,0,0,0,0,0,0,0.038816,0,0,0.00989787,0.0136415
212,0.0158878,0.0103216,0,0,0,0,0,0.0246274,0.0336258,0.0281657,0.00577401,0,0,0.00627141,0,0.0112532,0.0042037,0.0374412,0.0273127,0.00985256,0.00672295,0.0187231,0.0165137,0.00636522,0.0104133,0.0359024,0.00768606,0.0119354,0.0142031,0.0174867,0.0146749,0.00551201,0.0102906,0.00285405,0.0341933,0.0208894,0.0245277,0.00665975,0.0150499,0,0,0.0284661,0,0.0142177,0.0077928,0.0318766,0.0322096,0.0320263,0.0171021,0.00580705,0.00392786,0.00789965,0.0105878,0.0196859,0.0170639,0.0227103,0.032163,0.00842597,0.00626023,0.00823087,0.0112935,0.0161331,0,0,0,0,0,0,0,0,0.0387686,0,0,0.00994881,0.0134318
213,0.0164589,0.0110867,0,0,0,0,0,0.0244984,0.0337115,0.0291217,0.00531695,0,0,0.00704508,0,0.0113458,0.00457444,0.0379487,0.0286028,0.00980226,0.00622212,0.0188695,0.0172659,0.00630815,0.0106478,0.0358891,0.0068182,0.0116934,0.0142963,0.0165492,0.0116854,0.00600537,0.0103753,0.00294592,0.0327886,0.0210089,0.0239452,0.00606916,0.015573,0,0,0.029387,0,0.0142,0.00812641,0.0322136,0.0314348,0.0319663,0.0162943,0.00627727,0.00425649,0.00799682,0.0110335,0.0192371,0.0165304,0.0219527,0.0308744,0.00828219,0.00630971,0.00809012,0.01184,0.0169343,0,0,0,0,0,0,0,0,0.038773,0,0,0.0101875,0.0132161
214,0.017093,0.0120002,0,0,0,0,0,0.0242634,0.0338526,0.0296262,0.00526622,0,0,0.00795984,0,0.0114356,0.0050352,0.0386073,0.0292181,0.00978,0.00583457,0.0192126,0.018088,0.00625927,0.0108381,0.0361258,0.00632656,0.0116903,0.0145586,0.0156727,0.00951489,0.00657181,0.0104979,0.00313559,0.0317866,0.0211198,0.0236691,0.00549952,0.0162504,0,0,0.0306952,0,0.0141605,0.00873055,0.032657,0.0310472,0.0318904,0.0157958,0.00699163,0.00480268,0.00837039,0.0112603,0.0189562,0.0160272,0.0215462,0.0293838,0.00846035,0.00652102,0.00811549,0.0125495,0.0179077,0,0,0,0,0,0,0,0,0.0386628,0,0,0.0104783,0.0129994
215,0.017853,0.0128768,0,0,0,0,0,0.0238898,0.0341059,0.0295313,0.00564252,0,0,0.00895886,0,0.0115226,0.00552977,0.0394416,0.0286655,0.00977218,0.00556214,0.0195476,0.0189059,0.00621396,0.0109339,0.0366037,0.00625552,0.0117559,0.0148782,0.014849,0.00950302,0.00718016,0.0106228,0.00335445,0.0314616,0.0212943,0.0240618,0.00507904,0.0168828,0,0,0.0319783,0,0.014081,0.00935301,0.0330522,0.0310715,0.0319021,0.0157698,0.00786933,0.00539057,0.00882801,0.0108239,0.018888,0.016126,0.021448,0.0282403,0.00864116,0.00679045,0.00814801,0.0133319,0.0188254,0,0,0,0,0,0,0,0,0.0383492,0,0,0.0106142,0.0125587
216,0.0187751,0.0137993,0,0,0,0,0,0.0230492,0.0343323,0.0289235,0.00643349,0,0,0.00998546,0,0.0116982,0.00605436,0.0405759,0.027477,0.0099466,0.00525769,0.0198819,0.0197828,0.00630555,0.0107966,0.0371781,0.00644699,0.0117028,0.0153948,0.0139761,0.0122967,0.00782983,0.0107784,0.00350162,0.0315334,0.0214568,0.025063,0.00490982,0.0174044,0,0,0.033363,0,0.0140833,0.0100789,0.0332726,0.0316206,0.0319722,0.0163797,0.00890183,0.00616188,0.00884644,0.0097655,0.0191146,0.0162108,0.0215041,0.0275267,0.00888832,0.00696819,0.00818314,0.0142252,0.0196604,0,0,0,0,0,0,0,0,0.0382329,0,0,0.0104344,0.0121075
217,0.0197653,0.0145987,0,0,0,0,0,0.0231245,0.0345124,0.0277078,0.00736745,0,0,0.0109295,0,0.0118368,0.0065255,0.0417931,0.0260867,0.0102316,0.00495578,0.0201117,0.0205287,0.0064568,0.0103309,0.0380132,0.00667681,0.0113795,0.0157696,0.0132606,0.0178524,0.0084536,0.010906,0.00365493,0.0319043,0.0216022,0.0263024,0.00505995,0.0183189,0,0,0.0346059,0,0.0140598,0.0107719,0.0334718,0.0329817,0.0320155,0.0177808,0.0100115,0.00694388,0.00853262,0.00926522,0.019696,0.0167395,0.0218564,0.0270902,0.00933352,0.00715205,0.0082359,0.0150253,0.0205566,0,0,0,0,0,0,0,0,0.0385286,0,0,0.00992444,0.011911
218,0.020744,0.015436,0,0,0,0,0,0.0239828,0.0346932,0.0264191,0.00821874,0,0,0.0120216,0,0.0120277,0.00704435,0.0428346,0.0256143,0.0106805,0.00460722,0.0205714,0.0212585,0.00607925,0.00980833,0.0389117,0.00691796,0.0108747,0.0158769,0.0129042,0.025066,0.00918131,0.0110303,0.0038421,0.0322482,0.0216971,0.0273592,0.00551824,0.0193088,0,0,0.0359461,0,0.0140349,0.0116364,0.0336399,0.0341741,0.0320269,0.0192475,0.0114711,0.00783817,0.00802651,0.0092008,0.0201263,0.0168441,0.022218,0.0268378,0.0101371,0.00758312,0.00835882,0.0159187,0.0214471,0,0,0,0,0,0,0,0,0.0389262,0,0,0.00953436,0.0117942
219,0.0213971,0.0163874,0,0,0,0,0,0.0249969,0.0349869,0.0256822,0.00894307,0,0,0.0133765,0,0.0123002,0.00770551,0.0434468,0.0266456,0.0112168,0.00437243,0.0214936,0.0220589,0.00550583,0.009202,0.0395746,0.00721201,0.010455,0.0158465,0.0129229,0.0309254,0.0100804,0.0111962,0.00407698,0.0325199,0.0218056,0.027682,0.00607229,0.0202392,0,0,0.0374331,0,0.0140033,0.012724,0.0336727,0.0345657,0.0318476,0.0200978,0.0133801,0.00882949,0.00793053,0.00891334,0.0202727,0.0164356,0.0223668,0.0268985,0.0109646,0.0079702,0.00854462,0.0169809,0.0222843,0,0,0,0,0,0,0,0,0.0388554,0,0,0.00974216,0.0116671
220,0.0219133,0.0171344,0,0,0,0,0,0.0253547,0.0352188,0.025719,0.0098333,0,0,0.0146324,0,0.012569,0.00832419,0.0435309,0.0278551,0.0116801,0.00444338,0.0224997,0.0228056,0.00505332,0.00860705,0.0397021,0.0075364,0.0101864,0.0157503,0.0131337,0.0336199,0.0109407,0.0113669,0.00435595,0.0325954,0.0218329,0.027718,0.00684551,0.0208904,0,0,0.038537,0,0.014002,0.0136072,0.033479,0.0344609,0.031539,0.0198518,0.0152762,0.00957441,0.0080201,0.00846298,0.0202833,0.015784,0.0223488,0.0271315,0.0115576,0.00835348,0.00872575,0.0178259,0.022977,0,0,0,0,0,0,0,0,0.0383656,0,0,0.00961672,0.0115933
221,0.0223052,0.017664,0,0,0,0,0,0.0253621,0.0353752,0.0256207,0.0108129,0,0,0.0156925,0,0.0128064,0.00880329,0.0430417,0.0278329,0.0120668,0.00481196,0.0234514,0.0234041,0.00491245,0.00821714,0.039297,0.00783172,0.00997907,0.0156157,0.0133475,0.0344513,0.0116564,0.0115193,0.00458441,0.0325692,0.0218083,0.0275859,0.00759646,0.0212899,0,0,0.0391481,0,0.0140287,0.0139241,0.0331917,0.0342636,0.0310342,0.0197353,0.0170849,0.0100237,0,0.00827789,0.0201175,0.0157785,0.022197,0.02722,0.0120228,0.00863189,0.00880015,0.0184212,0.0231964,0,0,0,0,0,0,0,0,0.0379645,0,0,0.00916222,0.0116107
222,0.0225353,0.0179952,0,0,0,0,0,0.0254853,0.0355066,0.0247305,0.0116556,0,0,0.0165394,0,0.0129866,0.0091933,0.0420366,0.0274742,0.0125134,0.00542814,0.0243921,0.0237051,0.0049893,0.00828987,0.0386782,0.00799868,0.00986714,0.0155039,0.0135011,0.0351608,0.0122253,0.011631,0.00467648,0.0326543,0.0217989,0.0275215,0.00833712,0.0215497,0,0,0.0394405,0,0.0140515,0.0140656,0.0329018,0.0343482,0.0306669,0.020185,0.0187899,0.0103242,0.0080733,0.00806191,0.0198698,0.0162558,0.0220085,0.0270792,0.0122835,0.00878694,0.00875854,0.0187893,0.0232584,0,0,0,0,0,0,0,0,0.0374817,0,0,0.0089298,0.0119447
223,0.0227345,0.0183521,0,0,0,0,0,0.0262314,0.0356709,0.0242643,0.0125885,0,0,0.017278,0,0.0131415,0.00956311,0.0408492,0.0278097,0.0130273,0.00632914,0.0253549,0.0239189,0.00535217,0.00892795,0.0378222,0.00817595,0.0096975,0.0153928,0.0136906,0.0360564,0.0126925,0.0117459,0.00481643,0.0323832,0.0217926,0.0277863,0.00884608,0.0216299,0,0,0.0396825,0,0.0140596,0.0142312,0.0326531,0.0346481,0.0301715,0.0207526,0.0203515,0.0104508,0.00803754,0.00793577,0.0198051,0.0163329,0.0218787,0.0269263,0.012507,0.0090518,0.00876309,0.0191755,0.023284,0,0,0,0,0,0,0,0,0.0371529,0,0,0,0.0122675
224,0.0228972,0.0187264,0,0,0,0,0,0.0273129,0.0358038,0.0248496,0.0134924,0,0,0.0178813,0,0.0133067,0.0099275,0.0395775,0.028434,0.0134861,0.00712654,0.0264691,0.0240459,0.00572515,0.00964054,0.0369766,0.00848064,0.00950146,0.0154466,0.013633,0.0375153,0.0131277,0.0118873,0.00490581,0.032595,0.0217697,0.0285819,0.00927157,0.0215966,0,0,0.0398829,0,0.0140412,0.0143461,0.0324462,0.0353137,0.0296433,0.0215299,0.0219085,0.0104043,0.00801981,0.00784572,0.0198083,0.015885,0.0219075,0.026839,0.0126309,0.00928632,0.00880149,0.0195366,0.0232513,0,0,0,0,0,0,0,0,0.0369415,0,0,0.00991223,0.0126619
225,0.0227125,0.0189775,0,0,0,0,0,0.0287865,0.0359727,0.0254702,0.0144426,0,0,0.0181718,0,0.0133771,0.0101798,0.0383697,0.029192,0.0139039,0.00790171,0.0275456,0.0239879,0.0064042,0.0104576,0.0360526,0.00857951,0.00923549,0.0154778,0.0137513,0.0393944,0.0134169,0.0120138,0.00493966,0.0332474,0.0217655,0.0292261,0.00956515,0.021473,0,0,0.0399839,0,0.014019,0.0144192,0.0323323,0.0359108,0.0290924,0.0224361,0.0232444,0.0102502,0.00805813,0.00793579,0.0198195,0.0153738,0.0219353,0.0267754,0.0127029,0.00944023,0.00880278,0.0197697,0.0231996,0,0,0,0,0,0,0,0,0.0368731,0,0,0.0108199,0.0130583
226,0.022392,0.0191249,0,0,0,0,0,0.0301757,0.0361121,0.0257242,0.0154061,0,0,0.0184965,0,0.0134311,0.0104075,0.0375168,0.0299617,0.0142605,0.00851036,0.028462,0.0238167,0.00762686,0.0112424,0.035149,0.00858847,0.00901715,0.0154835,0.0138906,0.0413683,0.013602,0.0121059,0.00505036,0.0334229,0.0218039,0.0299457,0.00973077,0.0212049,0,0,0.0401299,0,0.0140254,0.0144416,0.0323812,0.0366991,0.0284093,0.0236418,0.0244961,0.0101107,0.00791214,0.00775177,0.0201207,0.0151834,0.0222209,0.0272798,0.012715,0.00952999,0.00873028,0.0199202,0.0230726,0,0,0,0,0,0,0,0,0.0364587,0,0,0.0115388,0.0132708
227,0.0220522,0.0190916,0,0,0,0,0,0.0311223,0.0362854,0.0259578,0.0163351,0,0,0.0188064,0,0.0135527,0.0105942,0.0370755,0.0307198,0.0145476,0.00900948,0.0291183,0.0236361,0.00888615,0.0120778,0.03427,0.00871943,0.00890125,0.015472,0.0139973,0.0430457,0.0137839,0.0121676,0.00519525,0.0334502,0.0218452,0.0304307,0.00978613,0.020871,0,0,0.0404822,0,0.0140215,0.0145914,0.0325532,0.0375431,0.0275656,0.024689,0.0255689,0.009786,0,0.00755059,0.0204675,0.01516,0.0226045,0.0276448,0.0128326,0.00960518,0.0088344,0.0199773,0.0228463,0,0,0,0,0,0,0,0,0.0359368,0,0,0.0117474,0.0133371
228,0.0216697,0.018933,0,0,0,0,0,0.0316711,0.0364965,0.0260544,0.0169544,0,0,0.0189802,0,0.0136366,0.0107259,0.0368556,0.0315057,0.0147008,0.00937096,0.0296906,0.0233665,0.00969032,0.0128055,0.0335022,0.00877502,0.00878761,0.0153782,0.0141399,0.0444122,0.0139464,0.0122379,0.00529935,0.032978,0.0218914,0.0302073,0.00996512,0.0206026,0,0,0.0409726,0,0.0140073,0.0148575,0.0328247,0.0375601,0.0269244,0.0249852,0.0266704,0.009344,0.00729316,0.0071201,0.0201534,0.0146366,0.0222801,0.0272615,0.0130467,0.00971359,0.00908476,0.0199671,0.0223608,0,0,0,0,0,0,0,0,0.0353383,0,0.00851072,0.0115139,0.0136809
229,0.0212772,0.0188727,0,0,0,0,0,0.0324102,0.036681,0.0260833,0.0174345,0,0,0.0191288,0,0.0137235,0.0108792,0.036893,0.0323969,0.0147143,0.00964313,0.0300722,0.0231167,0.0102703,0.0134729,0.0328844,0.00868524,0.00866254,0.0152683,0.0143098,0.0456306,0.0141427,0.0122945,0.00537721,0.0326027,0.0219111,0.029809,0.0100668,0.0202748,0,0,0.0412786,0,0.0139872,0.0150217,0.0331762,0.0373981,0.0261518,0.0250826,0.0276593,0.00902974,0.00707261,0.00691959,0.0197369,0.0139669,0.0217991,0.0267951,0.0132581,0.00981996,0.00921982,0.0200172,0.0217535,0,0,0,0,0,0,0,0,0.0351258,0,0.00965687,0.0113624,0.0141079
230,0.0209117,0.0188705,0,0,0,0,0,0.0333586,0.0368142,0.0263244,0.0178687,0,0,0.0193417,0,0.0138327,0.0110367,0.0371369,0.0333246,0.0147713,0.00999442,0.03026,0.0229738,0.01117,0.0139236,0.0321889,0.0085858,0.0084641,0.0151132,0.0146169,0.0466488,0.0143936,0.0123415,0.00547153,0.0322298,0.021937,0.0294556,0.00999231,0.0199883,0,0,0.0413855,0,0.0139653,0.0150117,0.033576,0.0373706,0.025271,0.0251815,0.0284698,0.00887526,0,0.00677539,0.0195278,0.0136475,0.0215642,0.026489,0.0134383,0.00996648,0.00926069,0.0201303,0.0213341,0,0,0,0,0,0,0,0,0.0348813,0,0.00969156,0,0.0144727
231,0.020458,0.0187652,0,0,0,0,0,0.0341712,0.0368873,0.0267448,0.0179677,0,0,0.0193267,0,0.0140633,0.0109872,0.0372827,0.0345063,0.0145736,0.00997141,0.0300165,0.0227237,0.0121167,0.0141135,0.0316299,0.00823254,0.00826861,0.0149278,0.0148803,0.0475731,0.0144523,0.0123669,0.00547705,0.0319738,0.0219622,0.0291012,0.00988002,0.0196177,0,0,0.0415016,0,0.0139609,0.0149059,0.0339968,0.0376084,0.0245693,0.0253785,0.0287242,0.00865644,0,0.00682574,0.0192555,0.0131563,0.0213205,0.0261896,0.0134582,0.0099293,0.00934119,0.0201348,0.0209144,0,0,0,0,0,0,0,0,0.0347642,0,0.00967377,0,0.0149307
232,0.0199383,0.0185776,0,0,0,0,0,0.0348037,0.0369516,0.0272702,0.0178189,0,0,0.0192513,0,0.0142216,0.0108543,0.037262,0.035922,0.0141328,0.00961619,0.0293261,0.0223814,0.0121424,0.0140834,0.0313847,0.00783553,0.00801728,0.0145747,0.0151293,0.048537,0.0144018,0.0124177,0.00544537,0.0316176,0.0219806,0.0288874,0.00981825,0.019221,0,0,0.0414772,0,0.0139739,0.0146927,0.0344491,0.0378289,0.0239923,0.025586,0.0284354,0.00834802,0.00613761,0.00670659,0.0190891,0.0127078,0.0211411,0.0259546,0.0132731,0.00976837,0.00922115,0.0200851,0.0204264,0,0,0,0,0,0,0,0,0.0344839,0,0.0098681,0.0147949,0.0153726
233,0.0195842,0.0184118,0,0,0,0,0,0.0363077,0.0369775,0.0280686,0.01777,0,0,0.0192379,0,0.0143103,0.0107661,0.0372276,0.0373747,0.013812,0.00965945,0.0284233,0.0221516,0.012638,0.0142083,0.0311076,0.00738402,0.00756988,0.0139817,0.0155907,0.0495254,0.0144817,0.0124585,0.00543758,0.0312004,0.0219877,0.0286791,0.0096397,0.018895,0,0,0.0412208,0,0.0139873,0.0144437,0.0348246,0.0379613,0.0234712,0.0256226,0.0279364,0.00807095,0.00599024,0.00658038,0.0190076,0.0125315,0.0210132,0.025749,0.0131949,0.00954175,0.00914294,0.0200283,0.0200519,0,0,0,0,0,0,0,0,0.0342655,0,0.00993869,0.01485,0.0156505
234,0.019342,0.0182196,0,0,0,0,0,0.0378528,0.0369774,0.0291041,0.0176853,0,0,0.0191628,0,0.0143645,0.0106845,0.0371345,0.0389155,0.0134299,0.0101886,0.027269,0.0219344,0.0132904,0.0143534,0.0306512,0.00696817,0.0071131,0.0133777,0.0160367,0.0505454,0.0145336,0.0124688,0.00544866,0.0308551,0.0219503,0.0285726,0.00950057,0.0185364,0,0,0.0408688,0,0.0139758,0.0141622,0.0351238,0.0381559,0.0230556,0.025834,0.0272887,0.00785051,0.00516636,0.00655056,0.0190249,0.0123799,0.020957,0.0257051,0.0130233,0.00958919,0.00902296,0.0199149,0.0196915,0,0,0,0,0,0,0,0,0.0340713,0,0.00991735,0.0148071,0.0159167
235,0.0191404,0.0179955,0,0,0,0,0,0.039182,0.037015,0.030083,0.0175221,0,0,0.0190972,0,0.0144472,0.0105627,0.0369659,0.039953,0.0129655,0.0105014,0.0259478,0.0217137,0.0131385,0.0145169,0.0298967,0.00665719,0.00702076,0.0128895,0.0163653,0.0514163,0.0145355,0.0124944,0.0054428,0.0307725,0.0219322,0.0287194,0.00938123,0.0182197,0,0,0.0406187,0,0.0139732,0.0139701,0.0353533,0.0385862,0.0226963,0.0262989,0.0264922,0.00766007,0.0047519,0.00657519,0.0191856,0.0120601,0.0211304,0.0259033,0.0128539,0.0100056,0.00893821,0.0197573,0.0192419,0,0,0,0,0,0,0,0,0.0338949,0,0.0100468,0.015287,0.016137
236,0.0188319,0.0177788,0,0,0,0,0,0.0397315,0.0370547,0.0306123,0.0171932,0,0,0.0190734,0,0.0145528,0.0104994,0.0366721,0.0403355,0.0124701,0.0105715,0.0246184,0.0215363,0.0134178,0.0146406,0.0292407,0.00630255,0.0069691,0.0125376,0.0165731,0.0517722,0.0145754,0.0125203,0.00548171,0.0305551,0.0219489,0.0286456,0.00926557,0.0179813,0,0,0.0404305,0,0.0139972,0.0137983,0.0355794,0.0386075,0.0224272,0.0265205,0.0256826,0.00751091,0.00475061,0.00659599,0.0192158,0.0115258,0.0211043,0.0258849,0.0127534,0.0101338,0.00886846,0.0196357,0.0188656,0,0,0,0,0,0,0,0,0.0338116,0,0.00991923,0.0156517,0.0162982
237,0.0184501,0.0175557,0,0,0,0,0,0.0394068,0.0370464,0.0305636,0.0168285,0,0,0.0190554,0,0.0146432,0.0104506,0.0362461,0.0407252,0.0119452,0.0103639,0.0233561,0.0213185,0.0138674,0.014521,0.0288258,0.00580428,0.00689396,0.0123964,0.0166458,0.0512143,0.014591,0.0125298,0.00550545,0.0300244,0.0219744,0.0281638,0.00920396,0.0177639,0,0,0.0403586,0,0.0140115,0.0136853,0.0357738,0.038089,0.0222484,0.0268436,0.0248989,0.00738842,0.00505155,0.00691393,0.019229,0.0108555,0.0207846,0.0255966,0.0126458,0.0100564,0.00888728,0.0194773,0.018578,0,0,0,0,0,0,0,0,0.0341327,0,0.00995718,0.0158085,0.0165509
238,0.0180258,0.0173247,0,0,0,0,0,0.0381978,0.037085,0.029832,0.0164447,0,0,0.0189987,0,0.0146379,0.0103007,0.0358008,0.0414114,0.0114514,0.00979146,0.0223068,0.021139,0.0142909,0.0142641,0.02857,0.00532099,0.00694329,0.0124032,0.0166787,0.0498419,0.0145709,0.0125506,0.00558415,0.0291535,0.021971,0.027325,0.00921534,0.0176271,0,0,0.0403955,0,0.0139665,0.0135374,0.0359505,0.0373204,0.0220313,0.0272164,0.0242819,0.00728107,0.00508075,0.00752685,0.019048,0.0101393,0.0205169,0.0249917,0.0125699,0.0100262,0.00892631,0.0193342,0.0183157,0,0,0,0,0,0,0,0,0.0345019,0,0.0103097,0.0159293,0.0168333
