Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTIBA,IMUR_M,RTHII,LTHIA,RTHIA
184,0.0126513,0.0102143,0,0,0,0,0,0.0366431,0.0351686,0.0280638,0.00747806,0,0,0.00953181,0,0.0120743,0.00708001,0.0332811,0.0215225,0.00506324,0.00516046,0.0157693,0.013429,0.00797292,0.00680348,0.0368824,0.0159945,0.0192395,0.0181048,0.0276327,0.0378866,0.00768645,0.0106581,0.00436066,0.0178635,0.0211672,0.0110376,0.00782305,0.0139399,0,0,0.0339095,0,0.0140078,0.00863428,0.0348732,0.0224559,0.0257677,0.00562685,0.00581718,0.00297979,0.00304689,0.00429795,0.0109548,0.00827523,0.0145723,0.0245543,0.0111814,0.00615169,0.0082431,0.0122759,0.0130944,0,0,0,0,0,0,0,0,0.0306866,0,0,0.00657228,0.0170497
185,0.0124921,0.00987552,0,0,0,0,0,0.0367118,0.0350689,0.0277142,0.00737123,0,0,0.00886635,0,0.0119589,0.00688329,0.0332751,0.0217583,0.00539313,0.00500396,0.0152337,0.0130906,0.00799873,0.00677818,0.0369227,0.0158273,0.0191888,0.0180105,0.0274105,0.0379659,0.00724889,0.0105673,0.00427761,0.0198264,0.0211177,0.0123619,0.0074646,0.0138704,0,0,0.0336068,0,0.0140185,0.00831354,0.035244,0.0211761,0.0264567,0.0058066,0.00539902,0.00311739,0.00230113,0.00360655,0.0127175,0.0109018,0.0162145,0.0250924,0.0110412,0.00622901,0.00832372,0.0119448,0.0130666,0,0,0,0,0,0,0,0,0.0331754,0,0,0.00707714,0.0175265
186,0.0123408,0.00956952,0,0,0,0,0,0.037034,0.0349717,0.0278627,0.00736536,0,0,0.00828061,0,0.0118474,0.00664621,0.03337,0.0212393,0.0057397,0.00489738,0.0148408,0.0127356,0.00815512,0.00664903,0.0371372,0.015777,0.0192813,0.0180076,0.0272472,0.0381989,0.00684686,0.0104744,0.00418289,0.0219943,0.0210371,0.014665,0.00726219,0.0138304,0,0,0.0333045,0,0.0140028,0.00801108,0.0355831,0.0201595,0.027149,0.009008,0.00516839,0.00326733,0.00179454,0.0035666,0.0155815,0.0140424,0.0188997,0.0249382,0.0110374,0.00628821,0.00846475,0.0116085,0.0130324,0,0,0,0,0,0,0,0,0.0356541,0,0,0.00729451,0.0180596
187,0.0122558,0.00926501,0,0,0,0,0,0.0374516,0.0349006,0.0281267,0.00743537,0,0,0.00768614,0,0.0117112,0.0063004,0.0335605,0.0203974,0.00624013,0.00491709,0.0146361,0.0124316,0.00864467,0.00643966,0.0373956,0.0158033,0.019435,0.0180575,0.0271083,0.0386976,0.00640981,0.0104175,0.00399151,0.0243626,0.0209346,0.0180384,0.00724196,0.0138465,0,0,0.0329458,0,0.0139861,0.00791754,0.0357115,0.0203417,0.0277778,0.0137061,0.00504973,0.00333029,0.00136718,0.00419844,0.0191022,0.0170919,0.0223465,0.0245692,0.0112718,0.00638997,0.00839397,0.0112806,0.0130121,0,0,0,0,0,0,0,0,0.0377665,0,0,0.00724812,0.0184931
188,0.0121316,0.00902838,0,0,0,0,0,0.037537,0.0348498,0.0282102,0.00750367,0,0,0.00732225,0,0.0116056,0.00596854,0.033817,0.0199547,0.00663691,0.00483794,0.0146259,0.0121628,0.00910201,0.00619608,0.0376921,0.0158256,0.0194325,0.0180493,0.0269932,0.0392417,0.0060823,0.0103799,0.003841,0.0267207,0.0208663,0.0225681,0.00731436,0.0137839,0,0,0.0327022,0,0.0139734,0.00778232,0.0356671,0.0232533,0.0282633,0.0187787,0.00503481,0.00338436,0.0015205,0.00513812,0.0228562,0.019648,0.0261428,0.0246459,0.0112969,0.00653986,0.00840183,0.0110485,0.0129375,0,0,0,0,0,0,0,0,0.0393072,0,0,0.0071711,0.0188678
189,0.0119903,0.00890992,0,0,0,0,0,0.0377326,0.0348233,0.0279882,0.00762314,0,0,0.00728768,0,0.0115533,0.00585894,0.0341095,0.0197303,0.00679082,0.00437548,0.0147954,0.0119813,0.00925332,0.00594488,0.0379348,0.0158344,0.0194749,0.0180355,0.0268313,0.039671,0.00602545,0.0103615,0.00381339,0.0284766,0.0208433,0.0269471,0.00741821,0.0137033,0,0,0.0326132,0,0.0139721,0.00753871,0.0356908,0.0279896,0.0286427,0.0236773,0.00507893,0.00342083,0.00227339,0.00609027,0.0264563,0.0216331,0.029681,0.0251293,0.0114502,0.00661961,0.00854288,0.0109573,0.0128814,0,0,0,0,0,0,0,0,0.0403636,0,0,0.00723432,0.0192572
190,0.0118529,0.00891061,0,0,0,0,0,0.0380678,0.0348717,0.0277342,0.00784263,0,0,0.00749282,0,0.0115169,0.00589449,0.0343983,0.0203157,0.00673866,0.00402879,0.0152271,0.0118697,0.00924034,0.00570706,0.0382031,0.0158758,0.0196076,0.0180541,0.0266274,0.0400125,0.00627381,0.0103895,0.00383618,0.0300634,0.0208393,0.030391,0.00763781,0.0136042,0,0,0.0327083,0,0.013968,0.00758704,0.0359169,0.0324376,0.0289379,0.0282141,0.0053901,0.00337384,0.00319307,0.00699604,0.0293785,0.0229688,0.0325233,0.0261762,0.0114336,0.00666396,0.00871267,0.011015,0.0127336,0,0,0,0,0,0,0,0,0.0409518,0,0,0.00740171,0.019638
191,0.0117641,0.00889275,0,0,0,0,0,0.0382475,0.0348716,0.0275195,0.00806394,0,0,0.00767923,0,0.0114893,0.00592922,0.034671,0.0204151,0.00654761,0.0038264,0.0155545,0.0118392,0.00924546,0.00551521,0.0383305,0.015905,0.0196961,0.0180354,0.0264846,0.0402111,0.0065284,0.010401,0.00380171,0.03107,0.0208324,0.0323062,0.00791344,0.0134937,0,0,0.0327931,0,0.0139725,0.00791911,0.0362093,0.0351061,0.0290822,0.0315694,0.00554809,0.00335546,0.00400867,0.00759778,0.0312044,0.0235768,0.0343838,0.0272942,0.0115663,0.00673581,0.00872235,0.0111404,0.0125819,0,0,0,0,0,0,0,0,0.041178,0,0,0.00743125,0.0197276
192,0.0116475,0.00889246,0,0,0,0,0,0.0378967,0.0348718,0.0270546,0.00827344,0,0,0.00785637,0,0.0114719,0.00598267,0.0348883,0.0199968,0.00630645,0.00371901,0.0156117,0.01182,0.00927335,0.00539636,0.0382956,0.0158938,0.0197169,0.0179786,0.0264775,0.03994,0.00669318,0.0103874,0.00380982,0.0248597,0.0208477,0.0272917,0.00819345,0.0133844,0,0,0.0329416,0,0.0139756,0.00820226,0.0363594,0.0280711,0.0291614,0.0325224,0.00552193,0.00346039,0.00459482,0.00748292,0.0312592,0.0229337,0.0337776,0.0228834,0.0118427,0.00669867,0.00880095,0.0112617,0.0124241,0,0,0,0,0,0,0,0,0.0421559,0,0,0.00743824,0.0195417
193,0.011648,0.00895949,0,0,0,0,0,0.0374379,0.0349114,0.0264142,0.00855834,0,0,0.00807007,0,0.0114586,0.00610983,0.035055,0.0193785,0.00639275,0.0035224,0.0156951,0.0118888,0.00927295,0.00529322,0.0382693,0.0159198,0.0197737,0.0179801,0.0264387,0.0396374,0.00676697,0.0104169,0.00383152,0.0232627,0.0208565,0.0256427,0.00857718,0.0133583,0,0,0.0329287,0,0.0139802,0.00824641,0.0361834,0.0249945,0.0293935,0.0326077,0.00548243,0.00339621,0.00490296,0.00762293,0.0310096,0.0225493,0.0334352,0.0229288,0.0116851,0.00667002,0.00881242,0.0113777,0.012365,0,0,0,0,0,0,0,0,0.0423532,0,0,0.00739466,0.0191859
194,0.0117548,0.00903182,0,0,0,0,0,0.0370173,0.0349668,0.0258458,0.00884786,0,0,0.00821221,0,0.0114688,0.00617373,0.0351569,0.018604,0.00661182,0.00347739,0.01579,0.0120501,0.00916721,0.00513565,0.0383025,0.0159698,0.0197789,0.0179297,0.0263614,0.039217,0.00674418,0.0104647,0.00381502,0.0268263,0.0208194,0.0280626,0.00894747,0.0134102,0,0,0.03282,0,0.013986,0.00810957,0.0357421,0.027829,0.0297281,0.0321137,0.00539322,0.00322528,0.00525064,0.0079686,0.0306996,0.0224221,0.0336072,0.0257256,0.0114825,0.00679082,0.00878709,0.0114745,0.0123652,0,0,0,0,0,0,0,0,0.0416376,0,0,0.00724068,0.0190236
195,0.0118876,0.00922776,0,0,0,0,0,0.0366882,0.0349892,0.0254541,0.00909988,0,0,0.00838133,0,0.0114873,0.00623849,0.0352331,0.0182415,0.00684987,0.0036883,0.0160904,0.0123025,0.00902501,0.00489195,0.0384444,0.0160424,0.019826,0.0178704,0.0261972,0.0388479,0.0068107,0.0105295,0.00381309,0.0317034,0.0207724,0.0314512,0.00933249,0.0133989,0,0,0.0327552,0,0.0139706,0.00815396,0.0351968,0.0319665,0.0301687,0.0308332,0.00536854,0.00296767,0.00613693,0.00826889,0.0301305,0.0227176,0.0339523,0.0291073,0.0113613,0.00688754,0.00890922,0.0116154,0.0124181,0,0,0,0,0,0,0,0,0.0408773,0,0,0.00703017,0.0191261
196,0.0121466,0.00957611,0,0,0,0,0,0.0360787,0.0349357,0.0248833,0.00932455,0,0,0.00859333,0,0.011505,0.00632591,0.0352886,0.0177728,0.00693135,0.00392874,0.0164492,0.0125534,0.008887,0.00472418,0.038444,0.0160163,0.0197902,0.0177363,0.0260347,0.0381994,0.006911,0.0105717,0.00384336,0.0300315,0.0207358,0.0295739,0.0095401,0.0132853,0,0,0.0327656,0,0.0139792,0.0085855,0.0347805,0.0299185,0.030555,0.0280102,0.00537149,0.00273584,0.00585428,0.00789896,0.0285626,0.0220503,0.0327006,0.0275836,0.0113411,0.00694446,0.00897939,0.0118241,0.0125079,0,0,0,0,0,0,0,0,0.0409001,0,0,0.00685213,0.0193531
197,0.0122969,0.00970652,0,0,0,0,0,0.0355041,0.0347973,0.0242821,0.00933679,0,0,0.00858323,0,0.0114857,0.0061781,0.0353093,0.0172488,0.00715919,0.0039364,0.0166543,0.0126959,0.00877372,0.00458101,0.0384507,0.0160054,0.0197905,0.017577,0.0258881,0.0375996,0.0068261,0.0105366,0.00382427,0.0278902,0.0207382,0.0272734,0.00947155,0.0133078,0,0,0.0325075,0,0.0140065,0.00895518,0.0346076,0.0278517,0.0308603,0.0247676,0.00533216,0.00258061,0.00446388,0.00766577,0.0269046,0.0213451,0.0314189,0.0259952,0.0113282,0.00692955,0.00899335,0.0118647,0.0126835,0,0,0,0,0,0,0,0,0.0404484,0,0,0.00675605,0.0193991
198,0.0123601,0.00983872,0,0,0,0,0,0.0349266,0.0346961,0.023727,0.00927447,0,0,0.00855614,0,0.011429,0.00589376,0.0353079,0.0172291,0.00724692,0.00407287,0.0169587,0.0128045,0.0087089,0.00445141,0.038514,0.0159738,0.0197718,0.0174269,0.0258501,0.0369998,0.0067482,0.0104862,0.00376693,0.026003,0.0207419,0.0248462,0.0092699,0.013298,0,0,0.0322186,0,0.0140191,0.00890707,0.0347284,0.0262666,0.0311255,0.0216511,0.00537829,0.00240376,0.00371384,0.0079614,0.0254381,0.0206515,0.0302347,0.0257275,0.0113373,0.00701145,0.00898511,0.0118738,0.0127889,0,0,0,0,0,0,0,0,0.0400463,0,0,0.00677175,0.0193051
199,0.0124711,0.00983246,0,0,0,0,0,0.0343055,0.0346308,0.0232716,0.00921262,0,0,0.008202,0,0.0113433,0.00567545,0.0353819,0.0171461,0.00735249,0.00441741,0.0171887,0.0128213,0.00869073,0.00435203,0.0386001,0.0159569,0.0197055,0.0173047,0.025797,0.0364053,0.00649738,0.0104726,0.00360808,0.0250376,0.0206973,0.0228758,0.00909901,0.013242,0,0,0.0319235,0,0.0140159,0.00872658,0.034929,0.0262529,0.0314377,0.0191985,0.00523256,0.00236974,0.0032996,0.00833327,0.0245037,0.0201569,0.0293275,0.0257221,0.011112,0.00708765,0.00896123,0.0117717,0.0128895,0,0,0,0,0,0,0,0,0.0401635,0,0,0.00678322,0.019125
200,0.0127986,0.00962748,0,0,0,0,0,0.0333965,0.0344604,0.0226834,0.00906833,0,0,0.00759462,0,0.011196,0.00529755,0.035556,0.0168074,0.00752618,0.00482017,0.0172515,0.0127115,0.00868785,0.00441518,0.0386606,0.0158982,0.019535,0.0170776,0.0256248,0.0355509,0.00594188,0.01043,0.00340726,0.0250501,0.0206485,0.0222316,0.00889144,0.0132017,0,0,0.0314586,0,0.0140309,0.00877439,0.0350626,0.0276084,0.031686,0.0176414,0.0048915,0.0025299,0.00257394,0.00831308,0.0240086,0.0198812,0.0285301,0.0251799,0.0108146,0.0071645,0.00898848,0.0115121,0.0130045,0,0,0,0,0,0,0,0,0.0404269,0,0,0.00686613,0.0187858
201,0.0133545,0.00939606,0,0,0,0,0,0.0322424,0.0342668,0.0222279,0.00893331,0,0,0.00688968,0,0.0110589,0.0048589,0.0357589,0.0166246,0.00765665,0.00521417,0.0171923,0.0125762,0.00865032,0.00462101,0.0386407,0.015812,0.0193525,0.0168644,0.0254045,0.0343719,0.00533354,0.0103323,0.00325679,0.0257786,0.0206651,0.0233609,0.00865715,0.0132467,0,0,0.030885,0,0.0140587,0.00885832,0.0350244,0.0293612,0.0318356,0.0174878,0.00461555,0.00275225,0.00161538,0.00825109,0.0236163,0.0197116,0.0277995,0.024654,0.0105649,0.00702499,0.00901147,0.0112425,0.0132321,0,0,0,0,0,0,0,0,0.0403936,0,0,0.00706316,0.0183673
