Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHII,IMUR_M,RTHII,LTHIA,RTHIA
94,0.00880444,0.00807474,0,0,0,0,0,0.0303544,0.0319576,0.0262555,0.0102858,0,0,0.0217901,0,0.0114979,0.0169565,0.0363911,0.0256864,0.00880168,0.0064797,0.00994335,0.0196568,0.0100643,0.0343687,0.00995264,0.0125255,0.0137783,0.018844,0.0317341,0.023945,0.00925001,0.0072986,0.010753,0.0203725,0.00505695,0.00781264,0.00824341,0,0,0.0277933,0,0.0142153,0.00955866,0.031197,0.0135476,0.0285644,0.00909014,0.00302632,0.0138914,0.014071,0.0141682,0.0106817,0.0348882,0.00912096,0.00845987,0.0141158,0.0170862,0.00473884,0.00743193,0.0074484,0.0101304,0,0,0,0,0,0,0,0,0.00971886,0,0,0.0109833,0.0160692
95,0.00850215,0.0079482,0,0,0,0,0,0.0294638,0.0320152,0.0270732,0.00976695,0,0,0.0217777,0,0.0115577,0.0169177,0.0364651,0.0262369,0.00860167,0.00646458,0.00999797,0.0197873,0.00992748,0.0341709,0.00907062,0.0121061,0.0137121,0.0180543,0.0293861,0.0242343,0.00931834,0.00724593,0.0117973,0.0204706,0.00495952,0.00757425,0.00802657,0,0,0.0279755,0,0.0142451,0.00951837,0.0311053,0.0128355,0.0284832,0.00872188,0.00290695,0.0139347,0.0145915,0.0143536,0.010198,0.0343176,0.00858328,0.00810552,0.0152545,0.017049,0.00455263,0.00731856,0.0073467,0.00974603,0,0,0,0,0,0,0,0,0.00998543,0,0,0.0109994,0.0156397
96,0.00848868,0.00768596,0,0,0,0,0,0.0286923,0.0321771,0.0277092,0.00903483,0,0,0.0212612,0,0.0115685,0.0161537,0.0370417,0.0265298,0.0080809,0.00683129,0.0110243,0.0201754,0.00956786,0.0344185,0.00848117,0.0120658,0.0137018,0.0171304,0.0276461,0.023991,0.0094018,0.00711607,0.0125032,0.0205906,0.0098034,0.00740906,0.00814829,0,0,0.028796,0,0.0142251,0.00980655,0.0302003,0.0096648,0.0289513,0.0213205,0.00227854,0.0140427,0.01687,0.0198398,0.0136916,0.0302808,0.00502056,0.0124028,0.0144276,0.0175323,0.00427918,0.00729963,0.0072611,0.00957866,0,0,0,0,0,0,0,0,0.0100511,0,0,0.0111634,0
97,0.00863595,0.00732551,0,0,0,0,0,0.028482,0.0322784,0.0284583,0.00789066,0,0,0.0211095,0,0.0114967,0.0156391,0.0373869,0.0268402,0.00770459,0.00738144,0.0112128,0.0206023,0.00964993,0.0343761,0.00787354,0.0124597,0.0135376,0.0165226,0.0245736,0.0240583,0.00943281,0.00710549,0.0122203,0.0207059,0.0103901,0.00684452,0.00849536,0,0,0.029375,0,0.0141658,0.0100543,0.0306741,0.00990283,0.0288155,0.0210708,0.00246006,0.0140968,0.0173183,0.0204809,0.0136407,0.0302799,0.00486917,0.01233,0.014024,0.0178162,0.00417521,0.00713635,0.00697113,0.00957045,0,0,0,0,0,0,0,0,0.0105383,0,0,0.0122926,0
98,0.00880322,0.00695238,0,0,0,0,0,0.0281707,0.0324053,0.0295469,0.00666203,0,0,0.0209786,0,0.01152,0.0149837,0.0379181,0.0281406,0.00721642,0.00789566,0.0114036,0.0214284,0.00988125,0.0342898,0.00750081,0.0130266,0.0135903,0.0157474,0.0216106,0.0240754,0.00959796,0.00710781,0.0120562,0.0208255,0.0105928,0.00623492,0.00898954,0,0,0.0303421,0,0.0142134,0.010652,0.0312185,0.0103024,0.0287498,0.0208243,0.00277217,0.0143188,0.0176767,0.0208606,0.0135748,0.0303546,0.00478421,0.0122026,0.0133023,0.0181798,0.00402656,0.00704753,0.00676622,0.00969802,0,0,0,0,0,0,0,0,0.0112725,0,0,0.0136174,0
99,0.0091348,0.00671507,0,0,0,0,0,0.0277689,0.0326385,0.0303396,0.0055072,0,0,0.0209547,0,0.0116489,0.0144001,0.038603,0.0291845,0.00680318,0.00859722,0.0116057,0.0222529,0.0103194,0.0343407,0.00745693,0.0136944,0.0138055,0.0151449,0.0192693,0.0241099,0.00973548,0.00716757,0.0118897,0.0209782,0.0106407,0.00559383,0.00962852,0,0,0.0315767,0,0.0142456,0.0114067,0.0317469,0.0109806,0.0286563,0.0205418,0.00330917,0.0146333,0.0178852,0.0209553,0.0134094,0.0303864,0.00471072,0.0120981,0.0123627,0.0187253,0.0039687,0.00693849,0.00673666,0.00993359,0,0,0,0,0,0,0,0,0.0122081,0,0,0.015011,0
100,0.00957404,0.00676036,0,0,0,0,0,0.0271092,0.0329169,0.0306806,0.00457472,0,0,0.0210414,0,0.0118519,0.013895,0.0394547,0.0293716,0.00656651,0.00924689,0.0118036,0.0231063,0.0109588,0.0345607,0.00760664,0.0142578,0.0142746,0.0146409,0.0172046,0.0242396,0.00988199,0.00724202,0.011555,0.0211076,0.0109458,0.0048922,0.0102885,0,0,0.0329097,0,0.0142629,0.0121318,0.0321682,0.0120814,0.0285938,0.0202455,0.00400097,0.0149956,0.0181531,0.0209839,0.0131557,0.030478,0.00469229,0.0120491,0.0114304,0.0192685,0.00388024,0.00698044,0.00701676,0.0103363,0,0,0,0,0,0,0,0,0.0130894,0,0,0.0165055,0
101,0.0101004,0.00705669,0,0,0,0,0,0.0259528,0.0331007,0.030223,0.00405226,0,0,0.0210978,0,0.0118832,0.013408,0.0404141,0.0284812,0.00645098,0.0102221,0.0119601,0.023806,0.0117116,0.0350174,0.0078828,0.0147937,0.0143863,0.0141884,0.0156181,0.024257,0.010029,0.00728089,0.0113349,0.0212373,0.0112964,0.00430364,0.0110094,0,0,0.0340797,0,0.0142265,0.012752,0.0324378,0.0133493,0.0285587,0.0201694,0.00482483,0.0153411,0.0187339,0.021131,0.0128353,0.0306709,0.00470797,0.0122098,0.0105463,0.0197547,0.00377624,0.00717891,0.00756498,0.010899,0,0,0,0,0,0,0,0,0.0140644,0,0,0.0183358,0
102,0.0107171,0.00762359,0,0,0,0,0,0.0247987,0.0332577,0.029379,0.00398347,0,0,0.0211507,0,0.0119418,0.0128374,0.0414029,0.0277133,0.00644052,0.0111419,0.0121888,0.0245526,0.0120605,0.0356874,0.00809418,0.0150589,0.0144801,0.0138691,0.0156365,0.0241936,0.0102197,0.0073056,0.0111218,0.0213356,0.0117402,0.00387941,0.0117392,0,0,0.0352287,0,0.0142338,0.0133731,0.0325559,0.0147885,0.0285167,0.0201876,0.00578074,0.0157787,0.0190026,0.0214175,0.0124428,0.0309437,0.004699,0.0126124,0.00976603,0.0203049,0.00373144,0.00717472,0.00838328,0.0114928,0,0,0,0,0,0,0,0,0.0148723,0,0,0.0199666,0
103,0.0114425,0.00831314,0,0,0,0,0,0.0245635,0.033494,0.0285048,0.00434052,0,0,0.0212522,0,0.0120468,0.012335,0.0423888,0.0278649,0.00649649,0.0120126,0.0124256,0.0252515,0.0126596,0.0364704,0.00809844,0.0149653,0.0145257,0.0138979,0.0185866,0.0241094,0.0104036,0.00739628,0.0109985,0.0214636,0.0122528,0.0036421,0.0124978,0,0,0.0362742,0,0.0142673,0.0139813,0.0326479,0.0162786,0.02829,0.0193106,0.00693326,0.0162473,0.0190015,0.0216209,0.0118826,0.0308552,0.00456889,0.0128822,0.00886364,0.0208231,0.00386567,0.00704274,0.00927493,0.0121235,0,0,0,0,0,0,0,0,0.015535,0,0,0.0211669,0
