Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,,x75,x79
9,0.00643149,0.00711933,0,0,0,0,0,0,0.0363988,0.0372842,0.0249668,0.00788804,0,0,0.0167034,0,0.0114763,0.0107272,0.0345417,0.0355996,0.00908139,0.0139339,0.00771067,0.0131782,0.00748733,0.0120291,0.0109206,0.0408399,0.0106313,0.00307349,0.0128464,0.0392757,0.0463946,0.0113985,0.0118039,0.00792423,0.0274929,0.022153,0.0280943,0.00609626,0.00929926,0,0,0.0311803,0,0.0139598,0.0115334,0.0371194,0.0321947,0.0276365,0.0283876,0.00223169,0.00737023,0.00564809,0.0231801,0,0.00688516,0.0275221,0.041139,0.0200847,0.0308103,0.0222271,0.0142632,0.0137468,0.0100182,0.00664986,0.00688896,0,0,0,0,0,0,0,0,0,0,0
10,0.00624219,0.00695622,0,0,0,0,0,0,0.0368573,0.0373863,0.0248812,0.00803462,0,0,0.016732,0,0.0114305,0.0105435,0.0346334,0.0358181,0.00934906,0.0137174,0.00763176,0.0133242,0.00723104,0.0117888,0.0108211,0.0407849,0.0105298,0.00323928,0.0108313,0.0391953,0.047326,0.0113196,0.0118679,0.00790586,0.0273687,0.0221528,0.0282063,0.00653325,0.00927171,0,0,0.0313609,0,0.0139496,0.0115846,0.0369738,0.0319909,0.0277664,0.0292701,0.00234302,0.00732912,0.00590735,0.022842,0,0.00738265,0.0279255,0.0413924,0.0205878,0.0318749,0.0223794,0.0142707,0.0137918,0.010122,0.00658257,0.00701681,0,0,0,0,0,0,0,0,0,0,0
11,0.00614521,0.00686973,0,0,0,0,0,0,0.0374604,0.0374816,0.024841,0.00836862,0,0,0.0166555,0,0.0113678,0.0104691,0.0347049,0.0358702,0.00961922,0.0135062,0.00770129,0.0133938,0.00694162,0.0115235,0.0106911,0.0408661,0.0103936,0.0036469,0.00999838,0.0391199,0.0484329,0.0114157,0.0120064,0.00783534,0.0264378,0.022144,0.0276427,0.00709698,0.0093703,0,0,0.0314227,0,0.0139121,0.0118085,0.0364461,0.0316269,0.0280235,0.0281251,0.0023754,0.00722843,0.0057746,0.022776,0,0.00745651,0.0276108,0.041399,0.0207975,0.0323064,0.0219566,0.014168,0.0138439,0.0102802,0.00656761,0.00716351,0,0,0,0,0,0,0,0,0,0,0
12,0.00608874,0.00685024,0,0,0,0,0,0,0.037746,0.0375169,0.0246497,0.00885098,0,0,0.0165201,0,0.0113674,0.0103769,0.0346856,0.0359188,0.00969776,0.0132159,0.00795912,0.0133316,0.00656667,0.0111397,0.010507,0.040958,0.0101876,0.00413353,0.00980985,0.0389784,0.0492761,0.0113721,0.0120356,0.00782546,0.0253081,0.0221465,0.0267775,0.00732834,0.0095441,0,0,0.0315682,0,0.0138714,0.0120906,0.0359041,0.0314707,0.02857,0.0258784,0.00233661,0.00694586,0.00501079,0.0226027,0,0.00699082,0.0270315,0.0410024,0.0206129,0.031929,0.0212209,0.0141349,0.0137107,0.0104285,0.00657512,0.00732887,0,0,0,0,0,0,0,0,0,0,0
13,0.00607693,0.00679041,0,0,0,0,0,0,0.0377779,0.0374524,0.0243847,0.00934168,0,0,0.0163773,0,0.0114085,0.0104207,0.0345546,0.0360211,0.00974948,0.0129094,0.00826267,0.0132353,0.00615827,0.0106959,0.0103077,0.0410224,0.00992773,0.00434731,0.00974912,0.0388193,0.0499578,0.0113291,0.0119667,0.00774378,0.0232039,0.0221086,0.025303,0.00745561,0.00956298,0,0,0.031653,0,0.0138636,0.0123048,0.035499,0.0307153,0.0291059,0.0234893,0.00218978,0.00657303,0.00401164,0.0221991,0,0.00608205,0.026135,0.0402885,0.0201191,0.0314882,0.0196701,0.0140786,0.0139882,0.0105266,0.00650706,0.0074228,0,0,0,0,0,0,0,0,0,0,0
14,0.00608481,0.00672142,0,0,0,0,0,0,0.0377107,0.0373725,0.0240345,0.00971849,0,0,0.0161863,0,0.0114222,0.0104611,0.0343608,0.0359339,0.00972158,0.0126244,0.00858787,0.0131701,0.00571432,0.0101476,0.0101075,0.0410959,0.00965738,0.00424137,0.0096283,0.0387042,0.0506399,0.0112742,0.0118948,0.00768545,0.0193471,0.022038,0.0233301,0.00754479,0.00947644,0,0,0.0316391,0,0.0138671,0.0124315,0.0351872,0.0290865,0.0294074,0.0203943,0.00170055,0.00627057,0.00309714,0.0222071,0,0.00478389,0.024722,0.0394581,0.0193732,0.0305979,0.0165255,0.0139358,0.0145583,0.0105913,0.00647078,0.00730691,0,0,0,0,0,0,0,0,0,0,0
15,0.00602841,0.00663905,0,0,0,0,0,0,0.0375096,0.0372834,0.0236299,0.00994587,0,0,0.0159796,0,0.0114011,0.0105187,0.0341932,0.0357052,0.00960708,0.0123451,0.00889693,0.0132051,0.00525968,0.00951496,0.00990246,0.0411532,0.00934573,0.00409383,0.00944672,0.0385751,0.0513052,0.0114543,0.0118503,0.00749935,0.015457,0.0220005,0.0213833,0.00749947,0.00942609,0,0,0.0314453,0,0.0138961,0.0124612,0.0351145,0.0272083,0.0295736,0.0174808,0.00109819,0.00602184,0.00280172,0.0221853,0,0.00397193,0.0232819,0.0385206,0.0184628,0.0295493,0.013537,0.0135968,0.0147922,0.0106699,0.00650542,0.00727717,0,0,0,0,0,0,0,0,0,0,0
16,0.00587815,0.00649546,0,0,0,0,0,0,0.0372243,0.0371556,0.0231294,0.0100534,0,0,0.015851,0,0.0113788,0.0104736,0.0341784,0.03546,0.00939174,0.0119828,0.00937794,0.0134066,0.00486291,0.00888503,0.00955772,0.0412401,0.00897542,0.00404468,0.00929997,0.0384282,0.051946,0.0116094,0.0117606,0.00740943,0.0122532,0.0219952,0.0196237,0.00738794,0.00938262,0,0,0.031214,0,0.0139291,0.0124335,0.0352528,0.0256803,0.0297179,0.0148944,0.000998825,0.00571518,0.00335083,0.0221906,0,0.00397134,0.0220524,0.037848,0.017674,0.028326,0.0117664,0.0134245,0.0149989,0.0107362,0.00654845,0.00742948,0,0,0,0,0,0,0,0,0,0,0
17,0.00568742,0.00636716,0,0,0,0,0,0,0.0369209,0.037083,0.0225308,0.0101305,0,0,0.0158739,0,0.0113052,0.0104945,0.0343642,0.0352409,0.0091265,0.0115985,0.0100463,0.0136874,0.0045358,0.00826638,0.00909671,0.0413873,0.00854963,0.00391359,0.00919014,0.0382642,0.0526804,0.0119459,0.0117414,0.00739547,0.0104184,0.0220137,0.0179126,0.0072884,0.00943575,0,0,0.0310234,0,0.0139421,0.0124303,0.0353636,0.0252663,0.0298662,0.0127189,0.0015869,0.00547477,0.00358687,0.0224934,0,0.00412344,0.0211174,0.0377665,0.0171054,0.0268355,0.0104734,0.0132241,0.014784,0.0108462,0.00664414,0.0076234,0,0,0,0,0,0,0,0,0,0,0
18,0.00547595,0.00622078,0,0,0,0,0,0,0.0365075,0.0369674,0.0218602,0.0100592,0,0,0.0158773,0,0.0112563,0.0105277,0.0346679,0.0350193,0.008859,0.0112209,0.0105945,0.0139667,0.00432377,0.00769573,0.00853461,0.041543,0.00807638,0.00375126,0.0091041,0.0381129,0.0530957,0.0122194,0.011743,0.00730501,0.0102428,0.0220112,0.016567,0.00707828,0.00950009,0,0,0.0308236,0,0.013935,0.0124184,0.0353573,0.0259392,0.0299087,0.0115484,0.00216491,0.00526281,0.00292296,0.0229095,0,0.00432423,0.0201656,0.0381415,0.0165221,0.0249468,0.00913023,0.0129867,0.0146588,0.010856,0.00669651,0.00737072,0,0,0,0,0,0,0,0,0,0,0
