Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,RTHIA,LTHI
9,0.0183159,0,0,0,0,0.0233372,0,0,0,0,0,0,0.0520202,0.0197688,0.0352716,0.00815829,0,0,0.0239109,0,0.0309969,0.013194,0.0330659,0.028497,0.0221186,0.00937294,0.0270526,0.0419816,0.0122908,0.0106949,0.0276628,0.0137038,0.0154373,0.0197516,0.0178166,0.0495398,0.012661,0.0141069,0.0229707,0.0379037,0.0149897,0.0180205,0.00900878,0.00947583,0,0,0.0132031,0,0.0288221,0.00994436,0.0545542,0.0327984,0.0323334,0.00702088,0.0281059,0.0474465,0.0136922,0.0102421,0.0166015,0.0170129,0.0267527,0.0195643,0.0317163,0.0517117,0.0152583,0.024155,0.00842024,0.0216169,0.00955578,0,0,0,0,0,0,0
10,0.0182296,0,0,0,0,0.0232335,0,0,0,0,0,0,0.0518364,0.0198012,0.035058,0.00822289,0,0,0.0239068,0,0.0310301,0.0132669,0.0330725,0.0283386,0.022022,0.00941653,0.0270867,0.041853,0.0122425,0.0106781,0.0276116,0.0136567,0.0154282,0.0196669,0.0178133,0.0493098,0.0126752,0.0141115,0.0229027,0.0377785,0.0150215,0.0179318,0.00893657,0.00930773,0,0,0.0131273,0,0.0288254,0.00984132,0.0546127,0.0326517,0.0323692,0.00702768,0.0281536,0.0475354,0.0137144,0.0101393,0.0166508,0.0169808,0.0267004,0.0195211,0.0316683,0.0516322,0.0153304,0.0240059,0.00834277,0.0213837,0.00935807,0,0,0,0,0,0,0
11,0.018181,0,0,0,0,0.0231499,0,0,0,0,0,0,0.0516774,0.0198473,0.0349643,0.00825504,0,0,0.0239322,0,0.0310609,0.0134185,0.0331147,0.0282969,0.0220525,0.0096357,0.0271176,0.0417997,0.0121983,0.0106647,0.0275913,0.0136659,0.0154144,0.0196451,0.0178121,0.0492169,0.0126605,0.014127,0.0228611,0.037739,0.015045,0.0178724,0.00888841,0.00920793,0,0,0.0130514,0,0.0288043,0.00971701,0.054625,0.0325377,0.0324113,0.00704491,0.028185,0.0476432,0.0137562,0.0100602,0.016658,0.0169448,0.0266889,0.0195309,0.0315906,0.0514851,0.0153888,0.023756,0.0082884,0.0212444,0.00925173,0,0,0,0,0,0,0
12,0.0181798,0,0,0,0,0.0231851,0,0,0,0,0,0,0.0515698,0.0198659,0.0349462,0.00831345,0,0,0.0239485,0,0.0310527,0.0134916,0.0331279,0.0282721,0.022039,0.0100152,0.0272218,0.0418576,0.0121541,0.0106063,0.0275771,0.0137053,0.0154181,0.019683,0.0178046,0.0491498,0.0126935,0.0140806,0.0228597,0.0377084,0.0150352,0.0177828,0.00892407,0.00911036,0,0,0.0128449,0,0.0287779,0.00943058,0.0546479,0.0324052,0.0324563,0.00703182,0.0283029,0.0477564,0.0137645,0.00998022,0.0166265,0.0169023,0.0266766,0.0195379,0.0315068,0.0513306,0.0155178,0.0233492,0.00818869,0.0213668,0.00921239,0,0,0,0,0,0,0
13,0.0182257,0,0,0,0,0.023273,0,0,0,0,0,0,0.0513624,0.0198613,0.0349418,0.00826628,0,0,0.0239197,0,0.0310298,0.0133128,0.0331109,0.0281812,0.0220194,0.00972799,0.0273138,0.0418858,0.0121398,0.0105552,0.0275847,0.0137178,0.0154077,0.0196789,0.0177921,0.0491127,0.0126908,0.0140475,0.0228283,0.0375169,0.0150395,0.0177444,0.00897748,0.00907494,0,0,0.0126957,0,0.0287341,0.00918398,0.0546625,0.032349,0.0324908,0.00703798,0.0284161,0.0478823,0.013787,0.00993258,0.0166153,0.0168697,0.0266051,0.0194339,0.0314746,0.0511992,0.0156494,0.023057,0.00813629,0.0217074,0.00922976,0,0,0,0,0,0,0
14,0.0183675,0,0,0,0,0.0234595,0,0,0,0,0,0,0.0509552,0.0198873,0.0349539,0.00815621,0,0,0.0237692,0,0.030972,0.0129583,0.0330489,0.0281021,0.0219066,0.0097047,0.0274005,0.0420651,0.0120894,0.0104997,0.027562,0.0137095,0.0153768,0.0196643,0.0177727,0.0490271,0.0126577,0.01404,0.0228157,0.0373832,0.01505,0.0178253,0.00899126,0.00911113,0,0,0.012482,0,0.0287052,0.00881992,0.0547509,0.0323787,0.0325336,0.00703707,0.0285266,0.0480509,0.0138115,0.00991115,0.0166676,0.0169221,0.0265207,0.0193931,0.0315323,0.0510786,0.0157948,0.0226145,0.0081006,0.0219751,0.00932323,0,0,0,0,0,0,0
15,0.0185727,0,0,0,0,0.0236629,0,0,0,0,0,0,0.0509921,0.020032,0.0349845,0.00812926,0,0,0.0234604,0,0.0309897,0.0127759,0.0330272,0.0282006,0.0219046,0.0101754,0.0274395,0.0423884,0.0120582,0.0104781,0.0275357,0.0137482,0.0154042,0.0196881,0.0177878,0.0490241,0.0125539,0.0140205,0.0228259,0.0372794,0.0150801,0.0180422,0.00899978,0.00929431,0,0,0.0123289,0,0.0286658,0.0084639,0.0548225,0.0325333,0.0326035,0.00704714,0.0286036,0.0483192,0.0139021,0.00994798,0.0167373,0.0170674,0.0264516,0.0194708,0.0316624,0.0509129,0.0159697,0.0222199,0.00809593,0.0220338,0.00952507,0,0,0,0,0,0,0
16,0.0187963,0,0,0,0,0.0238665,0,0,0,0,0,0,0.0514248,0.0200365,0.0350909,0.00813805,0,0,0.0229959,0,0.03102,0.012672,0.0330496,0.0282675,0.0219991,0.010406,0.0274613,0.0426689,0.0120569,0.0105004,0.02755,0.0138027,0.0154492,0.019718,0.0178093,0.0490359,0.0123635,0.0139938,0.0229309,0.0372002,0.0151186,0.0182009,0.00903085,0.00958734,0,0,0.0123021,0,0.0286265,0.00822,0.0548641,0.032685,0.0326632,0.00708957,0.0286427,0.0486698,0.0140092,0.0100219,0.01675,0.0171992,0.0264538,0.0195505,0.0317509,0.0507824,0.0161415,0.0219801,0.00812663,0.0220396,0.00980001,0,0,0,0,0,0,0
17,0.0187665,0,0,0,0,0.0237486,0,0,0,0,0,0,0.051547,0.0198642,0.0350165,0.00821348,0,0,0.0227634,0,0.0310477,0.0126814,0.0330898,0.028222,0.0220976,0.0102352,0.0275135,0.0422662,0.0120853,0.0105121,0.0275717,0.0137937,0.0154529,0.0197085,0.0178248,0.0489795,0.0121678,0.0139557,0.0230899,0.0371956,0.015112,0.0183338,0.00909522,0.00960948,0,0,0.0122539,0,0.028597,0.00797597,0.0548696,0.0328268,0.0327227,0.00714003,0.0287189,0.0489584,0.0140736,0.0101222,0.016728,0.0171979,0.0264571,0.019612,0.0318259,0.0507608,0.0161459,0.0218539,0.00820758,0.0218186,0.00972553,0,0,0,0,0,0,0
18,0.0187546,0,0,0,0,0.0236395,0,0,0,0,0,0,0.0512698,0.0198054,0.0348742,0.00826784,0,0,0.0224941,0,0.0310454,0.0125562,0.0331176,0.0280861,0.0221424,0.00980767,0.0275354,0.0418964,0.01213,0.0105102,0.0276024,0.0137404,0.0154317,0.0196319,0.0178437,0.0488321,0.0119866,0.0139033,0.0233283,0.0373343,0.0150843,0.0183536,0.00913455,0.00963281,0,0,0.0122467,0,0.0285605,0.00774212,0.0548752,0.0328683,0.0327543,0.00718125,0.0287499,0.0492587,0.0141273,0.0102348,0.0166632,0.017174,0.0264545,0.0196138,0.0317871,0.0508476,0.015997,0.021761,0.00827265,0.0216128,0.00963401,0,0,0,0,0,0,0
