Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,RTHIA
505,0.0603419,0,0,0,0,0.0551178,0,0,0,0,0,0,0.0114776,0.0493237,0.0119139,0.0149864,0,0,0.025026,0,0.0295254,0.0168283,0.0366686,0.00454044,0.0164293,0.00651539,0.0382668,0.0629088,0.0081344,0.0120114,0.00984054,0.0148093,0.00964532,0.00916551,0.0104048,0.0118366,0.0130874,0.0389832,0.0442833,0.0143498,0.00548485,0.0318998,0.0116426,0.0138956,0.0413465,0,0,0.0135259,0,0.0291713,0.0128292,0.068923,0.0180223,0.00750632,0.0108755,0.0381388,0.0274903,0.012771,0.0132102,0.00890505,0.00953331,0.00549995,0.0102412,0.0134201,0.00566834,0.0148421,0.0129536,0.0097692,0.0477311,0.0485419,0,0,0,0,0,0.0227052
506,0.0601405,0,0,0,0,0.0553547,0,0,0,0,0,0,0.0119692,0.0491577,0.0120109,0.0147465,0,0,0.0250914,0,0.0295414,0.0168506,0.0364907,0.00442346,0.0163833,0.00648457,0.0383161,0.0631184,0.00810653,0.0119971,0.00985111,0.0148317,0.00990113,0.00937091,0.0105549,0.0116668,0.0137274,0.0389691,0.044145,0.0144007,0.00473497,0.0319562,0.0111028,0.0137477,0.041281,0,0,0.0137814,0,0.0293401,0.012923,0.0687509,0.0173478,0.00769119,0.0110201,0.0381843,0.0270817,0.0126118,0.0130445,0.0087605,0.00952238,0.00577713,0.0101561,0.0135437,0.00525695,0.0149354,0.0128532,0.00950946,0.0479791,0.0484337,0,0,0,0,0,0.0228103
507,0.0598331,0,0,0,0,0.0555412,0,0,0,0,0,0,0.0124248,0.0490312,0.0121063,0.0145104,0,0,0.0252327,0,0.0295727,0.0168898,0.0363029,0.00435847,0.0163442,0.00644536,0.0383699,0.0633591,0.00804212,0.0119613,0.00984605,0.0148336,0.0100745,0.00956343,0.0106489,0.0115436,0.0143769,0.0389544,0.0440773,0.014436,0.00413416,0.0320226,0.0105123,0.0135692,0.0412002,0,0,0.0139995,0,0.0295329,0.0131106,0.0686506,0.0166968,0.00789387,0.0112195,0.038234,0.0266729,0.0124608,0.0128799,0.00866015,0.00944776,0.0060459,0.0100619,0.0136641,0.00494433,0.0150257,0.0128422,0.00923743,0.048199,0.0483187,0,0,0,0,0,0.0229359
508,0.0595955,0,0,0,0,0.0556643,0,0,0,0,0,0,0.0128272,0.0489194,0.01216,0.0143041,0,0,0.0254056,0,0.0296088,0.0169905,0.0361532,0.00439537,0.0163088,0.00642509,0.0383938,0.0636186,0.00796374,0.0118891,0.0098233,0.0148465,0.0101857,0.00971404,0.0107387,0.0114353,0.0148371,0.0389361,0.0440557,0.0145019,0.00364312,0.03207,0.00993596,0.0133358,0.0411133,0,0,0.0141693,0,0.0297387,0.0133936,0.0686421,0.0161072,0.00813928,0.0114117,0.0382932,0.0263318,0.0123582,0.0127242,0.00860958,0.00932158,0.00630753,0.00996843,0.0137537,0.00468704,0.0151494,0.0129116,0.00896737,0.048365,0.0482273,0,0,0,0,0,0.0231346
509,0.0593187,0,0,0,0,0.0557229,0,0,0,0,0,0,0.0131205,0.0487995,0.0122132,0.0140886,0,0,0.0255683,0,0.029679,0.0170342,0.0360988,0.00448823,0.0162704,0.00639697,0.0384207,0.0637308,0.00793106,0.0118098,0.00976688,0.0148436,0.0103053,0.00981599,0.0108115,0.011321,0.0151352,0.0390886,0.044071,0.0146085,0.0032982,0.0321238,0.00942152,0.0130395,0.0410588,0,0,0.0142729,0,0.0299143,0.0135004,0.0687155,0.0154829,0.0084084,0.0114999,0.0383282,0.0260135,0.01224,0.0125984,0.00861312,0.00926937,0.00654681,0.00984771,0.0137345,0.00447204,0.0153293,0.0130913,0.00870129,0.0484929,0.0481478,0,0,0,0,0,0.0233981
510,0.0590278,0,0,0,0,0.0557495,0,0,0,0,0,0,0.0133174,0.0486927,0.0123111,0.0138783,0,0,0.0256936,0,0.0298483,0.0169463,0.0361506,0.00455115,0.016238,0.00638239,0.0384221,0.0638023,0.00792419,0.0117189,0.00967924,0.0148245,0.0103983,0.00982194,0.01086,0.011193,0.0152677,0.0393242,0.0441659,0.0147641,0.00301319,0.0321902,0.00897617,0.0127517,0.0410482,0,0,0.014333,0,0.030107,0.0134948,0.068856,0.0146922,0.00864782,0.0115686,0.0383485,0.0256921,0.0121269,0.0124908,0.00864946,0.00924311,0.00677231,0.0097148,0.0136118,0.00428019,0.0155,0.0131677,0.00840485,0.0485865,0.0480689,0,0,0,0,0,0.0236847
511,0.0587901,0,0,0,0,0.0557495,0,0,0,0,0,0,0.0134813,0.0486324,0.0124003,0.0137009,0,0,0.0257838,0,0.0299612,0.0169333,0.0362553,0.00467722,0.0161988,0.00641454,0.0384286,0.0639051,0.00789868,0.0115897,0.0095567,0.0147807,0.0104703,0.00979831,0.0108784,0.0110734,0.0153962,0.0396725,0.0442509,0.0148866,0.00280106,0.032283,0.00850829,0.0124904,0.041024,0,0,0.0144245,0,0.0303348,0.0134609,0.0690246,0.0137422,0.00885307,0.0118218,0.0383096,0.0253997,0.0119591,0.0123772,0.00868232,0.00922355,0.00698069,0.00958122,0.0134312,0.00415908,0.0156867,0.0130804,0.00811942,0.04863,0.0478885,0,0,0,0,0,0.0239862
512,0.0585563,0,0,0,0,0.0557558,0,0,0,0,0,0,0.013577,0.0485796,0.0124875,0.0135577,0,0,0.0258577,0,0.03,0.0169999,0.0363903,0.00492868,0.0161672,0.00639895,0.0385058,0.064043,0.0078187,0.0114626,0.00942804,0.0147211,0.0104864,0.0097897,0.0108995,0.010969,0.0155345,0.0400299,0.0442994,0.0149853,0.00263719,0.0323743,0.00797429,0.0122519,0.0408712,0,0,0.014554,0,0.030566,0.0134411,0.0692063,0.0128745,0.00903947,0.0123455,0.0382382,0.0251586,0.0118504,0.0122548,0.0086478,0.0091727,0.00719778,0.00941371,0.0132764,0.00407871,0.0159241,0.0129245,0.00784644,0.048665,0.0477055,0,0,0,0,0,0.0243158
513,0.0583054,0,0,0,0,0.0557594,0,0,0,0,0,0,0.0136337,0.0485202,0.0125959,0.0134121,0,0,0.0259519,0,0.0299964,0.0171161,0.0365112,0.00521203,0.0161583,0.00632125,0.0385181,0.0642017,0.00777103,0.0113337,0.00930802,0.0146803,0.0104932,0.00979621,0.0109357,0.0108922,0.0156737,0.040262,0.0443033,0.0151065,0.00255689,0.0324341,0.00747354,0.01202,0.0407514,0,0,0.0147157,0,0.0308005,0.0134556,0.069421,0.0123131,0.00919748,0.0126506,0.0381339,0.0249619,0.0117765,0.0121326,0.00857525,0.00906695,0.00740058,0.00919666,0.0131348,0.00401983,0.016188,0.0126831,0.00757673,0.048694,0.0475149,0,0,0,0,0,0.0246343
514,0.0580901,0,0,0,0,0.0557259,0,0,0,0,0,0,0.013622,0.0484533,0.0126721,0.0132794,0,0,0.0260506,0,0.0300485,0.0171763,0.0366015,0.00536249,0.0161195,0.00645882,0.0384437,0.0643904,0.00770929,0.0111953,0.0091845,0.0146613,0.0105142,0.00978453,0.010967,0.0108522,0.0156453,0.0403722,0.0443475,0.015188,0.00252417,0.0324841,0.00710787,0.0118104,0.0406817,0,0,0.0149496,0,0.031051,0.0135005,0.0695941,0.0121311,0.00936982,0.0127183,0.0380283,0.0247638,0.0116658,0.0120091,0.00851294,0.00899805,0.00757859,0.00902399,0.0129896,0.00392542,0.0164711,0.0122907,0.00728429,0.0487255,0.0472382,0,0,0,0,0,0.0249193
515,0.0577872,0,0,0,0,0.0556541,0,0,0,0,0,0,0.0137289,0.048406,0.0127479,0.0131446,0,0,0.0261661,0,0.030138,0.017119,0.0366439,0.00558225,0.0160698,0.00654368,0.0382831,0.0646109,0.00772401,0.0110978,0.00908587,0.0145986,0.0105134,0.00970364,0.0109535,0.0107674,0.0156096,0.0404723,0.0444457,0.0151985,0.00247353,0.0325459,0.00680677,0.0116193,0.0406735,0,0,0.0152062,0,0.0312803,0.0134362,0.0697208,0.0118018,0.00957741,0.0125938,0.0379604,0.0245515,0.0114991,0.0119066,0.00846655,0.00897299,0.00772543,0.00892571,0.0128825,0.00383719,0.0167235,0.0117771,0.00701621,0.0487373,0.0469609,0,0,0,0,0,0.0252234
516,0.0575132,0,0,0,0,0.0555611,0,0,0,0,0,0,0.013859,0.0483649,0.0128732,0.0130065,0,0,0.0263245,0,0.0301682,0.017114,0.0366276,0.00587269,0.016044,0.00644135,0.0381256,0.0648116,0.0077156,0.0110019,0.00898113,0.0145518,0.0104981,0.00961656,0.0109432,0.0106671,0.0156748,0.0405669,0.0444617,0.0151413,0.0024058,0.0326181,0.00662596,0.0114529,0.0406168,0,0,0.0153981,0,0.0314784,0.0133926,0.0698074,0.0112523,0.00977332,0.0122754,0.0378997,0.024345,0.0112951,0.0118414,0.00843593,0.0089635,0.00785217,0.00887641,0.0128366,0.00379745,0.0169591,0.0114812,0.00680311,0.0487363,0.0466627,0,0,0,0,0,0.0254928
