Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,RTHII
All Timesteps RMSE,0.0468222,0,0,0,0,0.0420541,0,0,0,0,0,0,0.0281346,0.0554357,0.0224115,0.0118315,0,0,0.0207445,0,0.0308153,0.0176176,0.0448363,0.02505,0.0237748,0.0186474,0.0422271,0.0348772,0.0163702,0.0180224,0.0161956,0.0139839,0.0162058,0.0151083,0.0158469,0.0112245,0.0336346,0.0161193,0.0454381,0.0211976,0.0254772,0.0292337,0.0136398,0.0166033,0.0483254,0,0,0.0179659,0,0.0378402,0.0118407,0.0611136,0.0175568,0.0124119,0.0150546,0.0376989,0.0555525,0.00996108,0.0317349,0.0131271,0.0104627,0.00774015,0.0114232,0.0172076,0.0307908,0.0284265,0.0156355,0.0145823,0.0390539,0.0386884,0,0,0,0,0,0.0138807
0,0.0233761,0,0,0,0,0.0208947,0,0,0,0,0,0,0.0222711,0.0171634,0.0201994,0.0113068,0,0,0.0687705,0,0.0269549,0.0498787,0.0410821,0.018523,0.0223886,0.0151216,0.0156067,0.014,0.0105301,0.011871,0.0105649,0.0161009,0.0150027,0.0122528,0.0146053,0.0100038,0.021528,0.0367004,0.0204924,0.0266264,0.00974375,0.0122407,0.00868258,0.00634105,0.0289952,0,0,0.0446507,0,0.0346452,0.0327318,0.061768,0.013975,0.0187345,0.0134129,0.0131455,0.0682757,0.00409856,0.0344252,0.00512806,0.00857326,0.0126069,0.00930749,0.0141231,0.0112538,0.022103,0.034794,0.0143937,0.0226895,0.0268917,0,0,0,0,0,0
1,0.0224152,0,0,0,0,0.0276682,0,0,0,0,0,0,0.0259082,0.0185614,0.019763,0.00789285,0,0,0.0371677,0,0.0322421,0.0276187,0.0406133,0.0171115,0.0187801,0.0137246,0.014042,0.0174445,0.00798446,0.00979647,0.00836666,0.0173026,0.0128047,0.00986873,0.0126565,0.0101982,0.0257294,0.0199423,0.0122382,0.0156974,0.0119858,0.0124383,0.00925113,0.00368702,0.0243387,0,0,0.0448199,0,0.0354818,0.0333596,0.0612879,0.0141978,0.0169466,0.0143158,0.0116853,0.0644623,0.00257626,0.0355116,0.00626404,0.00881912,0.0139377,0.00930615,0.0145808,0.0134804,0.0230326,0.0353449,0.0152759,0.0292809,0.0240428,0,0,0,0,0,0
2,0.0151461,0,0,0,0,0.0190179,0,0,0,0,0,0,0.0469474,0.0216899,0.0312501,0.0131181,0,0,0.0318073,0,0.0299355,0.0234883,0.0410966,0.033157,0.0233206,0.03825,0.00894665,0.0119845,0.0106722,0.0245075,0.0176427,0.022693,0.0218987,0.013583,0.0162779,0.0122926,0.0441151,0.0151944,0.0150803,0.0126089,0.0205376,0.0116366,0.0213945,0.0103802,0.0239145,0,0,0.0423672,0,0.0321218,0.0314725,0.0610178,0.0276517,0.0234862,0.0275414,0.00872484,0.065403,0.00474508,0.0356695,0.0109846,0.0164528,0.0112361,0.016084,0.0228127,0.0146902,0.0211943,0.0359911,0.0109565,0.019819,0.0207293,0,0,0,0,0,0
3,0.025038,0,0,0,0,0.022841,0,0,0,0,0,0,0.021765,0.0147341,0.0196461,0.00668136,0,0,0.103886,0,0.0284909,0.0733246,0.0398414,0.0180985,0.01788,0.0144342,0.0210714,0.0213656,0.00926745,0.0108771,0.0096507,0.0161154,0.0140894,0.0114907,0.0137913,0.0101087,0.0208848,0.0618073,0.0296693,0.0304694,0.00944591,0.0120898,0.00811779,0.00307542,0.030961,0,0,0.0429469,0,0.0344468,0.0320658,0.0624895,0.0127366,0.0145388,0.0135605,0.0184915,0.0688748,0.00463951,0.0332511,0.0049262,0.00866485,0.0120241,0.0090144,0.0136743,0.0106636,0.023297,0.0356344,0.0144455,0.0249653,0.0273149,0,0,0,0,0,0
4,0.024439,0,0,0,0,0.0217288,0,0,0,0,0,0,0.0218847,0.0193213,0.0199019,0.0101548,0,0,0.0585956,0,0.0278081,0.0451729,0.0406755,0.0183106,0.0209957,0.0147691,0.0158609,0.020231,0.010191,0.0114097,0.0102274,0.016245,0.0145943,0.012,0.014238,0.0101066,0.0211428,0.0347391,0.0199177,0.0273937,0.00987052,0.0119141,0.0082283,0.00603835,0.0297872,0,0,0.0421368,0,0.0333249,0.0312375,0.0619383,0.0131952,0.0180745,0.0131199,0.0134358,0.0688666,0.00391098,0.034276,0.00487332,0.00848458,0.0127695,0.00904358,0.0138118,0.0112498,0.0230881,0.0354426,0.0128959,0.0236352,0.0274449,0,0,0,0,0,0
5,0.0226926,0,0,0,0,0.0202801,0,0,0,0,0,0,0.0222686,0.0218187,0.0200529,0.0131698,0,0,0.0464846,0,0.0280966,0.0367934,0.0411597,0.0184246,0.0236321,0.0149298,0.0129152,0.0162663,0.0107344,0.0116032,0.0104402,0.0163279,0.0147889,0.0121772,0.0144168,0.0100921,0.0216325,0.0265902,0.0203482,0.0223655,0.0096908,0.0118884,0.0080691,0.00928518,0.0290743,0,0,0.0412164,0,0.0319925,0.0299007,0.0620711,0.0133884,0.0207782,0.0128012,0.0111334,0.0684687,0.00384302,0.0344889,0.00495287,0.00845382,0.0127339,0.00910906,0.0139656,0.0115359,0.0223457,0.0359203,0.0113001,0.0218639,0.0269899,0,0,0,0,0,0
6,0.0267457,0,0,0,0,0.0323307,0,0,0,0,0,0,0.0238356,0.0228662,0.0195682,0.00761306,0,0,0.0343288,0,0.0325984,0.0272526,0.0403127,0.0176589,0.017408,0.0137602,0.0204757,0.0201354,0.00949155,0.00995078,0.00904804,0.0172634,0.0132043,0.0104775,0.0129537,0.0105804,0.0234785,0.0216773,0.0190309,0.0128926,0.0118714,0.0123439,0.00854114,0.00567361,0.026656,0,0,0.0445885,0,0.0339652,0.0314739,0.060271,0.0130101,0.0146807,0.01375,0.017005,0.0653826,0.00203961,0.036313,0.0057248,0.00847291,0.0147838,0.00873813,0.0136595,0.0129337,0.0255612,0.0359881,0.0140653,0.0343124,0.0266254,0,0,0,0,0,0
7,0.0265382,0,0,0,0,0.033119,0,0,0,0,0,0,0.0236133,0.0239781,0.0196416,0.0076324,0,0,0.0326069,0,0.0325374,0.0260444,0.0401551,0.0178667,0.0180778,0.0137294,0.0181716,0.0224526,0.00955244,0.010106,0.00913931,0.0170126,0.0133487,0.0106497,0.0131255,0.0104969,0.023078,0.0213334,0.0205688,0.0114209,0.0112504,0.0120656,0.00819631,0.004225,0.0264584,0,0,0.0437196,0,0.0330549,0.0306451,0.061181,0.0127578,0.0156596,0.0132474,0.0152551,0.0646873,0.00260491,0.0354998,0.0053603,0.00832536,0.0141145,0.00868906,0.0136064,0.0125033,0.0259247,0.0361699,0.0128003,0.0351588,0.0269137,0,0,0,0,0,0
8,0.0288809,0,0,0,0,0.0269506,0,0,0,0,0,0,0.0202943,0.0227583,0.0203719,0.0108328,0,0,0.0551293,0,0.0285017,0.0431295,0.0421876,0.0193452,0.0219807,0.0154791,0.0192929,0.0318878,0.0119493,0.0127057,0.0114086,0.0155832,0.0157151,0.0133483,0.0153102,0.0102158,0.0193319,0.034851,0.0237956,0.0260227,0.00897619,0.0119283,0.00756012,0.00575,0.0325998,0,0,0.0405063,0,0.0315025,0.0284351,0.0620592,0.0122229,0.0177707,0.0123942,0.0162322,0.0704454,0.00416133,0.034183,0.00443199,0.00809859,0.0127547,0.00856584,0.0130454,0.01016,0.0247191,0.0355798,0.0101816,0.0293195,0.031499,0,0,0,0,0,0
9,0.0270615,0,0,0,0,0.0340779,0,0,0,0,0,0,0.0229971,0.0259439,0.0198,0.00743316,0,0,0.0307581,0,0.0325623,0.0239674,0.0407125,0.0183785,0.0176006,0.0141262,0.0199102,0.0231502,0.00967534,0.0105624,0.00945523,0.0165129,0.0137701,0.0111184,0.0135277,0.0104915,0.0222157,0.0214339,0.0227328,0.00933012,0.0104206,0.0119403,0.00782989,0.00405549,0.027801,0,0,0.0424943,0,0.0319907,0.0297097,0.0617558,0.0124095,0.015308,0.0128175,0.016912,0.0653805,0.0029989,0.0351008,0.00510226,0.00821044,0.0137062,0.00854408,0.013416,0.0118971,0.0268996,0.0354686,0.0107113,0.0359809,0.0277281,0,0,0,0,0,0
10,0.0275946,0,0,0,0,0.0361143,0,0,0,0,0,0,0.0234675,0.0267968,0.0198918,0.00761893,0,0,0.0280216,0,0.0320853,0.0224382,0.0411475,0.0185154,0.01791,0.0140439,0.0195097,0.0265223,0.00965597,0.0105526,0.00935665,0.0166053,0.0136782,0.0109772,0.0134667,0.010534,0.0228131,0.0207628,0.0237996,0.00780606,0.0103946,0.0120953,0.0077632,0.00428776,0.0271559,0,0,0.041458,0,0.0313186,0.028925,0.0616598,0.0124752,0.0156221,0.012733,0.0164161,0.0646619,0.00274978,0.0353861,0.00515352,0.00825312,0.013819,0.00857021,0.0134414,0.0119293,0.0277568,0.0350594,0.0096356,0.0377424,0.0278337,0,0,0,0,0,0
11,0.0264962,0,0,0,0,0.0362219,0,0,0,0,0,0,0.023413,0.0275417,0.0199175,0.00795639,0,0,0.0254981,0,0.0316393,0.0211388,0.0410433,0.018554,0.0179089,0.0139886,0.0192079,0.0258381,0.00976364,0.0105983,0.00945805,0.0166505,0.0136781,0.0109756,0.0134716,0.0105806,0.0227103,0.0194725,0.0251011,0.00699056,0.0100347,0.0123616,0.00764428,0.00475142,0.0269402,0,0,0.0403419,0,0.0307201,0.0282187,0.061596,0.0123832,0.0155579,0.01252,0.0160397,0.0643313,0.00276456,0.0354486,0.00497663,0.00825351,0.0137683,0.00850506,0.0132875,0.0115582,0.0282268,0.0344223,0.00794352,0.0377245,0.0271949,0,0,0,0,0,0
