Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,RTHII
63,0.0263407,0,0,0,0,0.0262941,0,0,0,0,0,0,0.024768,0.0422418,0.0198608,0.00480452,0,0,0.0390606,0,0.0316705,0.0141916,0.0394116,0.017041,0.0172979,0.00764359,0.0144176,0.036141,0.00549455,0.00716259,0.00770768,0.01797,0.0129993,0.0119099,0.0133883,0.00951926,0.0248119,0.0400213,0.0310052,0.0137713,0.0056037,0.0315974,0.00435269,0.00417713,0.0295208,0,0,0.0142976,0,0.0363832,0.0166445,0.06582,0.00781015,0.0153853,0.0101931,0.0131972,0.032867,0.00277822,0.0345071,0.00390065,0.00789729,0.0135257,0.0078237,0.0116348,0.00640058,0.0256752,0.0186475,0.0272566,0.0265107,0.0264195,0,0,0,0,0,0
64,0.0263271,0,0,0,0,0.0262952,0,0,0,0,0,0,0.0243257,0.0427858,0.0195939,0.00485262,0,0,0.0381574,0,0.0315938,0.0136667,0.0394184,0.0168486,0.0172811,0.00739604,0.014401,0.0355909,0.00581482,0.00722349,0.00764307,0.0179227,0.0129594,0.011855,0.0133021,0.00960241,0.024495,0.0394272,0.0316808,0.0135828,0.00571588,0.0316817,0.00430579,0.00408891,0.0295423,0,0,0.014133,0,0.036544,0.0167801,0.0658228,0.00777418,0.0153627,0.0102177,0.0131986,0.0327948,0.00271663,0.0345243,0.00392889,0.0079105,0.0136078,0.00782503,0.0116892,0.00656972,0.0252956,0.0182826,0.0270933,0.0265729,0.0262347,0,0,0,0,0,0
65,0.0262701,0,0,0,0,0.0262851,0,0,0,0,0,0,0.0240324,0.0432279,0.0192437,0.00481423,0,0,0.0375297,0,0.0314701,0.0131784,0.0394204,0.0166001,0.017351,0.00737774,0.0143797,0.035145,0.00590966,0.00718283,0.00766399,0.0179146,0.0129153,0.0118159,0.013177,0.00970909,0.0240926,0.0388675,0.0322076,0.0132965,0.00572789,0.0317231,0.0042452,0.00401764,0.0295425,0,0,0.0140423,0,0.0366013,0.0169097,0.0658023,0.00781447,0.015403,0.0102616,0.013166,0.0327186,0.00264981,0.0345086,0.00395574,0.00803716,0.0136008,0.00786143,0.0117365,0.00667121,0.0250019,0.0178805,0.0268346,0.0267269,0.0259728,0,0,0,0,0,0
66,0.0262681,0,0,0,0,0.0262658,0,0,0,0,0,0,0.0236168,0.0436013,0.018829,0.00469412,0,0,0.0369458,0,0.0314344,0.0127248,0.0394485,0.0162977,0.0173519,0.00731839,0.0143736,0.0346713,0.00570917,0.0071669,0.00764852,0.0178469,0.0128378,0.0117984,0.0130045,0.00976259,0.0236493,0.0382876,0.0325852,0.0131046,0.00559236,0.0316843,0.00417633,0.00397876,0.0296025,0,0,0.0139224,0,0.0365849,0.0169972,0.0657577,0.00785646,0.015446,0.0103569,0.0131709,0.0327046,0.00265741,0.0345273,0.00391865,0.00811114,0.0135332,0.00790935,0.0118149,0.00670919,0.0247829,0.0175048,0.0265257,0.0267305,0.0257677,0,0,0,0,0,0
67,0.0263029,0,0,0,0,0.0262371,0,0,0,0,0,0,0.0229681,0.0440286,0.0183023,0.00484684,0,0,0.0364535,0,0.0315177,0.012397,0.0394987,0.015911,0.0173233,0.007293,0.0143498,0.03422,0.00558858,0.00714905,0.00757315,0.0177119,0.0127296,0.0117676,0.0127839,0.00983075,0.0231373,0.0377717,0.0329004,0.0130671,0.00551888,0.0316405,0.00411195,0.00390363,0.029638,0,0,0.0138394,0,0.0366051,0.0170602,0.0657277,0.00783985,0.0154498,0.0104298,0.013172,0.0326441,0.00269611,0.0345435,0.00386521,0.00811856,0.0135159,0.00791944,0.0118512,0.00690816,0.0246944,0.0171881,0.026181,0.0267316,0.0256316,0,0,0,0,0,0
68,0.0263788,0,0,0,0,0.0261958,0,0,0,0,0,0,0.0220683,0.044637,0.0177496,0.00493176,0,0,0.0359789,0,0.031654,0.0121279,0.0395357,0.0153964,0.0172727,0.00740312,0.0143039,0.0337904,0.00560584,0.00721306,0.00753615,0.0175622,0.0126191,0.0117037,0.0124979,0.0099369,0.0224587,0.0373799,0.033278,0.0130082,0.0056312,0.0316846,0.0040487,0.00381596,0.0295889,0,0,0.01387,0,0.0367691,0.0171124,0.0657228,0.00780719,0.0154435,0.0104817,0.0131491,0.0325458,0.00271332,0.0345275,0.0039111,0.00821877,0.0135213,0.00786751,0.0118384,0.00707335,0.0246704,0.0169618,0.025822,0.0267173,0.0255742,0,0,0,0,0,0
69,0.0265375,0,0,0,0,0.0261144,0,0,0,0,0,0,0.0209713,0.0454693,0.017025,0.00488428,0,0,0.0355745,0,0.0317758,0.0118619,0.0395529,0.0147137,0.0171145,0.00739146,0.0142098,0.0334237,0.00566526,0.00727227,0.00748377,0.0174294,0.0124769,0.0116107,0.0122184,0.0101023,0.0216177,0.0370663,0.0337144,0.012825,0.00576599,0.0317815,0.00397238,0.00380864,0.0294946,0,0,0.0138881,0,0.0369694,0.0171147,0.0657284,0.00772494,0.0154105,0.0105237,0.0130801,0.0323719,0.00272857,0.0344855,0.0040376,0.00828914,0.0134953,0.00782111,0.0118197,0.00719213,0.02467,0.0168002,0.0254043,0.0265534,0.0256015,0,0,0,0,0,0
70,0.0268056,0,0,0,0,0.0260757,0,0,0,0,0,0,0.0198886,0.0464572,0.0161109,0.00475909,0,0,0.0353298,0,0.0318314,0.0114839,0.0395905,0.0138847,0.0169741,0.00721871,0.0141183,0.0331737,0.00570149,0.00738205,0.0074102,0.0172823,0.0122828,0.0115131,0.0118683,0.010349,0.0206906,0.036845,0.034062,0.0126721,0.00589023,0.0318905,0.0039416,0.00387807,0.0294308,0,0,0.0140389,0,0.0371222,0.0169702,0.065714,0.00766503,0.0153908,0.0105166,0.0129991,0.0321074,0.00271246,0.0344641,0.00409693,0.00828525,0.0134913,0.00775546,0.0117744,0.00729593,0.0249746,0.0167026,0.0247999,0.0264825,0.0257184,0,0,0,0,0,0
71,0.0270419,0,0,0,0,0.0260363,0,0,0,0,0,0,0.0187821,0.0474471,0.0150813,0.00475162,0,0,0.0351802,0,0.0318672,0.011299,0.0396544,0.0130489,0.0169923,0.00712625,0.0140809,0.0328266,0.00565108,0.00742222,0.00731173,0.0171253,0.0120759,0.0114201,0.0114758,0.0106439,0.0197075,0.0366736,0.0342664,0.0125285,0.00597781,0.032071,0.00394631,0.00387021,0.0293118,0,0,0.0144112,0,0.0372764,0.0164625,0.0656866,0.00764234,0.0154163,0.0104566,0.012961,0.0317813,0.00266665,0.0345037,0.00405339,0.008203,0.0136034,0.00767711,0.0116958,0.00746189,0.0259316,0.0163304,0.0237466,0.0265439,0.0258198,0,0,0,0,0,0
72,0.0272387,0,0,0,0,0.0259081,0,0,0,0,0,0,0.0172046,0.0482694,0.0139573,0.00462965,0,0,0.0350777,0,0.0318696,0.0112641,0.0396948,0.0122068,0.0168701,0.00714778,0.0140318,0.0324015,0.00556041,0.00740722,0.00722304,0.0169204,0.01183,0.011291,0.0109992,0.0110071,0.0186339,0.0363778,0.0344236,0.0124816,0.0059009,0.0323808,0.00393729,0.0038583,0.0291525,0,0,0.0149145,0,0.037456,0.0155648,0.0656564,0.00768587,0.0154534,0.0103745,0.0129203,0.0314602,0.00261496,0.0345352,0.00403793,0.00813762,0.0135952,0.00762885,0.0116421,0.00764547,0.0264965,0.0154258,0.0222869,0.026345,0.0258535,0,0,0,0,0,0
73,0.0274056,0,0,0,0,0.0257261,0,0,0,0,0,0,0.0165063,0.0488699,0.0135829,0.00456098,0,0,0.0349163,0,0.0317817,0.0110541,0.0397502,0.0123157,0.0167761,0.0071817,0.0139763,0.0319218,0.00551974,0.00744938,0.007125,0.016709,0.0117389,0.0112569,0.0108606,0.0111689,0.0179717,0.0358731,0.0346643,0.0125348,0.00571036,0.032731,0.00394676,0.00381087,0.0289518,0,0,0.0155412,0,0.0376143,0.0143019,0.0656282,0.00782077,0.0154753,0.0102959,0.0128643,0.031158,0.00258256,0.0345352,0.00405386,0.00817745,0.013454,0.00763175,0.0116314,0.00777944,0.0266932,0.0137332,0.0208095,0.0260173,0.025765,0,0,0,0,0,0
