Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x75,x74
532,0.0317406,0,0,0,0,0.0300306,0,0,0,0,0,0,0.0668622,0.0580661,0.0336689,0.00546874,0,0,0.0371339,0,0.0275615,0.0175524,0.0314642,0.032867,0.010821,0.0157718,0.00360454,0.0348734,0.0132452,0.0147129,0.0102139,0.012707,0.0348521,0.0346534,0.0220661,0.0379491,0.0827577,0.033671,0.0481676,0.0169099,0.0163339,0.0350742,0.0064978,0.00562707,0.0255963,0,0,0.0304723,0,0.0339087,0.0143908,0.0565998,0.00814345,0.0192667,0.00468277,0.00244842,0.0131915,0.00597353,0.0392888,0.00436541,0.00669438,0.00326608,0.0100142,0.00287994,0.00260902,0.0146004,0.0232192,0.0209983,0.00771839,0.0310229,0.0232491,0,0,0,0,0
533,0.03205,0,0,0,0,0.0301633,0,0,0,0,0,0,0.064067,0.058041,0.0327131,0.0053129,0,0,0.0375338,0,0.0275727,0.0178178,0.031546,0.0315967,0.0110021,0.0148484,0.00390031,0.034692,0.0130079,0.0142638,0.00988908,0.0126841,0.0337333,0.0338571,0.0219334,0.0379119,0.0796608,0.0338285,0.0481608,0.0170273,0.0161514,0.0350488,0.00639267,0.00561804,0.0258835,0,0,0.0302984,0,0.0340107,0.0142666,0.0569182,0.0080748,0.0193054,0.00441458,0.00219816,0.0129409,0.0059575,0.0394549,0.00419011,0.00614183,0.00325108,0.00997068,0.00284077,0.00259112,0.0143863,0.0228814,0.0209654,0.00783361,0.0310846,0.023501,0,0,0,0,0
534,0.0322394,0,0,0,0,0.0301818,0,0,0,0,0,0,0.0609169,0.0579556,0.0316804,0.00512717,0,0,0.0378717,0,0.0277076,0.0181129,0.0316692,0.0299976,0.0112509,0.0138309,0.00428489,0.0344144,0.0126455,0.0136227,0.00945605,0.0126861,0.0322838,0.032621,0.0206558,0.0378021,0.0760935,0.033991,0.0482042,0.0172062,0.0159755,0.0350166,0.00634387,0.00556782,0.0260988,0,0,0.0302124,0,0.0340906,0.0141691,0.0572354,0.00810262,0.0193354,0.00416769,0.00199319,0.0126578,0.00584817,0.0395591,0.00401711,0.00569316,0.00322917,0.00998159,0.00277918,0.00251452,0.0141213,0.0226195,0.0209518,0.00802407,0.0310647,0.0236551,0,0,0,0,0
535,0.0323251,0,0,0,0,0.0301288,0,0,0,0,0,0,0.0573367,0.0579136,0.0303045,0.00494191,0,0,0.0381903,0,0.0279968,0.0184109,0.0318329,0.0278479,0.011475,0.0122395,0.00457089,0.0341639,0.0122537,0.0129187,0.00899946,0.0126668,0.0308677,0.0307872,0.0198326,0.0373245,0.0717932,0.0341423,0.0483576,0.017343,0.0157264,0.0349638,0.00633012,0.00546965,0.0262397,0,0,0.0301879,0,0.0341085,0.0141071,0.0575111,0.00828396,0.0193394,0.0038848,0.00182412,0.0123483,0.00571051,0.039736,0.00393163,0.00539402,0.00330616,0.00992666,0.00288645,0.00266598,0.0137857,0.0224229,0.021014,0.00818669,0.0309798,0.0237459,0,0,0,0,0
536,0.0324445,0,0,0,0,0.0300814,0,0,0,0,0,0,0.053541,0.057976,0.0287212,0.00472337,0,0,0.038524,0,0.0281194,0.0186054,0.0320139,0.0259069,0.0116976,0.0106619,0.00482569,0.0340966,0.011837,0.012243,0.00860008,0.0125447,0.0293073,0.0287035,0.0190527,0.0368544,0.0670123,0.0343747,0.048517,0.01753,0.0154958,0.0348905,0.00647102,0.00539043,0.0263933,0,0,0.0301332,0,0.0341007,0.014108,0.0577662,0.00864208,0.0193656,0.00362306,0.00168598,0.012006,0.00560074,0.0399037,0.00388806,0.00521057,0.0034359,0.00989501,0.00300811,0.00290648,0.0134369,0.0222123,0.0210833,0.00835664,0.0308674,0.0238694,0,0,0,0,0
537,0.0326771,0,0,0,0,0.0301258,0,0,0,0,0,0,0.049265,0.0580856,0.0270574,0.00449206,0,0,0.0389115,0,0.0281388,0.0187138,0.0321824,0.0241481,0.0119381,0.009155,0.0051324,0.0342863,0.0114165,0.0116095,0.00823707,0.0124307,0.0271346,0.0274186,0.0181697,0.0362894,0.0619675,0.0346465,0.0486496,0.0176803,0.0152906,0.0348566,0.00663369,0.00530292,0.0266323,0,0,0.0300082,0,0.0341301,0.014069,0.0580118,0.00899165,0.0193888,0.00340705,0.00158662,0.0116472,0.00557434,0.0400358,0.00387887,0.00505801,0.00356691,0.00988765,0.00308717,0.00319862,0.0131084,0.0219826,0.0211818,0.0084992,0.0307924,0.024049,0,0,0,0,0
538,0.0329066,0,0,0,0,0.0301804,0,0,0,0,0,0,0.0446179,0.0582166,0.02542,0.00423863,0,0,0.0392825,0,0.0281436,0.0188912,0.0323615,0.0218859,0.0121848,0.00768818,0.00541605,0.0345866,0.0109654,0.0110995,0.00785905,0.012353,0.0247484,0.0260155,0.0174458,0.0355624,0.0567301,0.0349366,0.0487931,0.0178289,0.0150592,0.0348248,0.00676241,0.00517724,0.0268714,0,0,0.029833,0,0.0341809,0.0138857,0.0582612,0.00923174,0.0194068,0.00326117,0.00144488,0.0113395,0.00566964,0.0401987,0.00389579,0.00477089,0.00368022,0.00990135,0.00314729,0.00340806,0.0127874,0.021792,0.0212103,0.00857009,0.0307516,0.0241604,0,0,0,0,0
539,0.0330466,0,0,0,0,0.0302257,0,0,0,0,0,0,0.039551,0.0583145,0.0233574,0.0039829,0,0,0.0395732,0,0.0281267,0.0190812,0.0325401,0.0201332,0.0124344,0.00684628,0.00566239,0.0348849,0.0106303,0.010772,0.00763886,0.0121985,0.0227991,0.0239561,0.0162514,0.0351709,0.0510669,0.0352103,0.0488869,0.0180089,0.014814,0.0347716,0.00685986,0.00502284,0.0270164,0,0,0.02984,0,0.0342227,0.0135656,0.0585197,0.00962683,0.0194307,0.00310052,0.00122013,0.011081,0.00572917,0.0403928,0.003914,0.00449084,0.00377998,0.00990687,0.00322989,0.00369916,0.0124976,0.0216413,0.0211249,0.00853324,0.0307066,0.0241869,0,0,0,0,0
540,0.0330417,0,0,0,0,0.0302237,0,0,0,0,0,0,0.0345044,0.0583595,0.021201,0.0036814,0,0,0.0397222,0,0.0280934,0.0191836,0.0327003,0.0187542,0.012629,0.00643658,0.00585427,0.0350241,0.0103169,0.0105382,0.00745092,0.0121402,0.0210715,0.0217075,0.015037,0.0347792,0.045234,0.0353889,0.0489402,0.0181789,0.0145471,0.0347322,0.00692364,0.00487072,0.0270297,0,0,0.0298479,0,0.0342871,0.0134383,0.0587585,0.00983256,0.0194274,0.00293152,0.000997155,0.0109103,0.00578775,0.0406336,0.00396251,0.00435043,0.00382604,0.00992109,0.00329859,0.00398927,0.0121867,0.0215427,0.0208939,0.00841993,0.0306585,0.0240793,0,0,0,0,0
541,0.0329679,0,0,0,0,0.0302254,0,0,0,0,0,0,0.0300257,0.058429,0.0193155,0.00334615,0,0,0.0398444,0,0.0281024,0.0193077,0.0328473,0.0175254,0.0128015,0.00672266,0.00594923,0.0350357,0.00993196,0.0104054,0.00712831,0.0122465,0.0195227,0.0194813,0.0141583,0.0343038,0.0397664,0.035499,0.0490356,0.0182979,0.014271,0.0347253,0.00698333,0.00474589,0.0269826,0,0,0.0298598,0,0.0343927,0.0134527,0.0589607,0.010076,0.0193945,0.00276379,0.000825788,0.0107955,0.0062684,0.0408663,0.00403547,0.00433303,0.00383435,0.00997726,0.00334866,0.00427197,0.0118637,0.0215474,0.0205789,0.00835423,0.0306418,0.0239894,0,0,0,0,0
