Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,LTHI,RTHIA
All Timesteps RMSE,0.0245057,0,0,0,0,0.021958,0,0,0,0,0,0,0.022503,0.0525532,0.012767,0.00583004,0,0,0.0228957,0,0.0285762,0.016327,0.0352838,0.0153131,0.0152897,0.00850593,0.0137634,0.036318,0.00794973,0.0062013,0.0185907,0.0114582,0.0113255,0.00711206,0.0257357,0.0282815,0.018196,0.0426786,0.021854,0.0187986,0.0305915,0.0103461,0.00889058,0.0181713,0,0,0.0229154,0,0.0319832,0.011909,0.0637131,0.0170168,0.0198642,0.0111601,0.0127106,0.0358819,0.0121055,0.0090395,0.00927615,0.0101428,0.0148238,0.0100747,0.0169539,0.0260798,0.0235012,0.0142551,0.01073,0.0210168,0.0168005,0,0,0,0,0,0.00587931,0.0380925
0,0.0193891,0,0,0,0,0.0227471,0,0,0,0,0,0,0.0119695,0.0217711,0.00828215,0.00734508,0,0,0.0174324,0,0.0284006,0.0123768,0.0354542,0.00942138,0.0184478,0.00778534,0.0288796,0.0435607,0.0104174,0.00839645,0.0243357,0.00466497,0.00300573,0.00494154,0.0272811,0.016131,0.0122013,0.0148371,0.0268646,0.0178584,0.012783,0.0215685,0.00743955,0.00687844,0,0,0.0186521,0,0.0300932,0.0157256,0.0640243,0.0379071,0.035976,0.0182375,0.0304974,0.0392187,0.0107697,0.0143004,0.0125543,0.0185339,0.0224907,0.0167261,0.0275149,0.0330952,0.0163965,0.0292867,0.00580272,0.0193186,0.00901475,0,0,0,0,0,0,0
1,0.0190626,0,0,0,0,0.0221297,0,0,0,0,0,0,0.0116765,0.0211991,0.00835398,0.00719951,0,0,0.0194245,0,0.0287543,0.0139054,0.0354476,0.00950221,0.0182691,0.00765438,0.0282069,0.0422844,0.0101807,0.00833835,0.024192,0.0045064,0.00281845,0.00476344,0.0271727,0.0157811,0.0130574,0.0143814,0.026053,0.0178027,0.0129099,0.0215413,0.00728631,0.0067369,0,0,0.0188779,0,0.029599,0.0156009,0.0641708,0.0379296,0.035544,0.0183672,0.0297595,0.03969,0.0107572,0.0143261,0.0125759,0.0185358,0.0224254,0.0166787,0.0274984,0.0334031,0.0174363,0.0294178,0.00547885,0.0188437,0.00884981,0,0,0,0,0,0,0
2,0.0196152,0,0,0,0,0.0235519,0,0,0,0,0,0,0.0120907,0.022107,0.00855652,0.00758596,0,0,0.0162469,0,0.0283187,0.0120142,0.0355106,0.00968051,0.018792,0.00768525,0.0294818,0.0451418,0.0101886,0.00832424,0.0242731,0.00451932,0.00283358,0.00475637,0.0271279,0.0162527,0.0124195,0.0147183,0.027456,0.0181021,0.0127598,0.0217446,0.00767985,0.00722242,0,0,0.0186047,0,0.0299571,0.0156001,0.0641426,0.0382842,0.0361377,0.0183669,0.0310017,0.0398545,0.0107772,0.0144127,0.012621,0.018674,0.0225465,0.0169091,0.0278018,0.0339312,0.0163953,0.0291962,0.00573723,0.0201034,0.00920635,0,0,0,0,0,0,0
3,0.0196111,0,0,0,0,0.0235389,0,0,0,0,0,0,0.0122271,0.0221962,0.00860282,0.00760404,0,0,0.0161301,0,0.0282919,0.0120314,0.0354965,0.00972494,0.0188213,0.00767246,0.0294824,0.0451956,0.0100909,0.00830856,0.0242891,0.00450984,0.00283883,0.00473483,0.027134,0.0163853,0.0124022,0.0147634,0.0275435,0.0182461,0.0128643,0.0218,0.00779244,0.00716564,0,0,0.0184685,0,0.0300485,0.0155736,0.0641085,0.0384298,0.0361396,0.018385,0.0310143,0.0398285,0.0107659,0.0144679,0.0126168,0.0187214,0.0225745,0.0169514,0.0278956,0.0340976,0.0162617,0.0290825,0.00594736,0.0201607,0.00916549,0,0,0,0,0,0,0
4,0.019606,0,0,0,0,0.023523,0,0,0,0,0,0,0.0123487,0.0222414,0.00861722,0.00761975,0,0,0.0160812,0,0.0282444,0.0120135,0.0354943,0.00977589,0.0188703,0.00769318,0.0294741,0.0452932,0.0100248,0.00829675,0.0243098,0.00450116,0.00283978,0.00471319,0.0271518,0.0165684,0.0124258,0.0148342,0.027601,0.0184202,0.0129057,0.0217997,0.0078268,0.00710196,0,0,0.0183463,0,0.0300803,0.0155538,0.0640806,0.0384929,0.0361398,0.0183709,0.0310079,0.0398841,0.0107377,0.0144523,0.0125392,0.0187696,0.0226185,0.0169769,0.0279528,0.0343142,0.0161723,0.0290516,0.00608978,0.0201867,0.00912631,0,0,0,0,0,0,0
5,0.0195581,0,0,0,0,0.0234615,0,0,0,0,0,0,0.0123585,0.022243,0.00865707,0.00761589,0,0,0.0161178,0,0.0281474,0.0120124,0.0355012,0.0098405,0.0189177,0.00763193,0.0294325,0.0453822,0.0102665,0.00829094,0.0243852,0.0044044,0.00285403,0.00465988,0.0270594,0.0167112,0.0124988,0.0148804,0.0276969,0.0186529,0.012952,0.0217476,0.00775773,0.00701477,0,0,0.0182487,0,0.0300695,0.015487,0.0640605,0.0384534,0.0361275,0.0183741,0.0309726,0.0399651,0.0107196,0.0143808,0.0124441,0.0188192,0.0225584,0.0169982,0.0279719,0.0345394,0.0161634,0.02903,0.00619442,0.0201402,0.00908354,0,0,0,0,0,0,0
6,0.0194966,0,0,0,0,0.0233971,0,0,0,0,0,0,0.0124059,0.0222847,0.00873908,0.00758946,0,0,0.0161506,0,0.0280577,0.0120744,0.03549,0.00990427,0.0190126,0.0075941,0.0293768,0.0456134,0.0108933,0.00830446,0.0244551,0.00419451,0.00298853,0.00467403,0.0269974,0.0168052,0.0125905,0.0149111,0.0278424,0.0189503,0.0129908,0.0216989,0.00758664,0.00690725,0,0,0.0181716,0,0.0300398,0.0153874,0.0639914,0.0384113,0.0361367,0.0184084,0.0309224,0.0399218,0.0107612,0.0143342,0.0123965,0.0188642,0.0223172,0.0170373,0.0280031,0.0348609,0.0161647,0.029005,0.00621841,0.0200917,0.00904926,0,0,0,0,0,0,0
7,0.0194107,0,0,0,0,0.0232879,0,0,0,0,0,0,0.0124537,0.0222857,0.0087544,0.00753795,0,0,0.0162465,0,0.0279645,0.0122077,0.0354911,0.00998498,0.0191027,0.00759674,0.0292407,0.0457865,0.0111645,0.00831273,0.0245248,0.00410499,0.00306563,0.00468466,0.0269802,0.0168776,0.0126771,0.0149603,0.0278848,0.0191343,0.0129902,0.0216848,0.00754172,0.00679272,0,0,0.0180645,0,0.0300112,0.0152968,0.063922,0.0384111,0.0360778,0.0183333,0.0307702,0.0398638,0.0107694,0.0142712,0.0123249,0.0188635,0.0223262,0.0170759,0.0280071,0.0349947,0.0161236,0.0289155,0.00621586,0.0200132,0.00897742,0,0,0,0,0,0,0
8,0.019257,0,0,0,0,0.0229826,0,0,0,0,0,0,0.012479,0.0222055,0.00872754,0.00740797,0,0,0.0166675,0,0.0279046,0.0125642,0.0354515,0.0100649,0.0190527,0.00767129,0.0289791,0.0454901,0.0112177,0.00836528,0.0246092,0.00415299,0.00313193,0.0047209,0.027017,0.0168344,0.0127322,0.0150794,0.0277533,0.0192386,0.0129842,0.0216435,0.00749803,0.00662291,0,0,0.0178844,0,0.0300145,0.0151952,0.0639018,0.0383644,0.0358881,0.0181775,0.0304383,0.0398019,0.0107308,0.0141916,0.0122285,0.0188341,0.0226421,0.017113,0.0279929,0.0349502,0.0160459,0.0288664,0.00624487,0.0197396,0.00881033,0,0,0,0,0,0,0
9,0.0188007,0,0,0,0,0.022199,0,0,0,0,0,0,0.0121866,0.0214663,0.00860902,0.00715628,0,0,0.0194267,0,0.0282764,0.0145162,0.0353259,0.0100146,0.0185678,0.00754696,0.0279315,0.043844,0.0109959,0.0082669,0.0244551,0.00403892,0.0029254,0.00453641,0.0269027,0.0163997,0.0137206,0.0146436,0.0267908,0.0192404,0.0132315,0.0214584,0.00724271,0.00628828,0,0,0.017851,0,0.0295289,0.0149396,0.0640596,0.0382082,0.0352747,0.0181601,0.0293767,0.0399902,0.0106635,0.0140666,0.0121777,0.0187639,0.022642,0.016999,0.0278907,0.0349258,0.0169879,0.028823,0.00588618,0.0191692,0.00839334,0,0,0,0,0,0,0
10,0.0193582,0,0,0,0,0.0239155,0,0,0,0,0,0,0.0123775,0.0224417,0.00874404,0.00756431,0,0,0.0152102,0,0.0276095,0.0124313,0.0353099,0.0102006,0.0189354,0.00761048,0.0291874,0.047554,0.0109697,0.00828537,0.0244989,0.00407417,0.00289662,0.00449543,0.0268875,0.016591,0.0131961,0.0150864,0.0289154,0.0197052,0.0130704,0.0215217,0.00757344,0.00694312,0,0,0.0173523,0,0.0299031,0.0147165,0.0641143,0.038409,0.0358356,0.0180495,0.0306147,0.0403346,0.0106277,0.0139512,0.0121584,0.0188244,0.0227674,0.0171427,0.0281239,0.0354577,0.0158396,0.0287089,0.00599168,0.020665,0.0088305,0,0,0,0,0,0,0
11,0.019325,0,0,0,0,0.0239512,0,0,0,0,0,0,0.0124117,0.0225024,0.00878969,0.00751115,0,0,0.0150715,0,0.0273914,0.0126048,0.0352887,0.0102353,0.0189507,0.00761562,0.0291596,0.0478112,0.010971,0.00829942,0.0245479,0.00404715,0.00284876,0.00448134,0.026847,0.0166467,0.0134522,0.0151321,0.0292104,0.0199358,0.0131154,0.021404,0.00748182,0.00691847,0,0,0.017155,0,0.0298709,0.0144895,0.0641202,0.0382945,0.0357708,0.0179599,0.0305545,0.040404,0.0105667,0.0138144,0.0121059,0.0188224,0.0228182,0.0171453,0.0281163,0.0355728,0.0157452,0.0286592,0.00592752,0.0207261,0.0087727,0,0,0,0,0,0,0
12,0.0192702,0,0,0,0,0.0240333,0,0,0,0,0,0,0.0124357,0.0225723,0.00879776,0.00747296,0,0,0.0147296,0,0.027222,0.0127962,0.0352777,0.0102565,0.018945,0.00764279,0.0291423,0.0483878,0.0110318,0.00833861,0.0246006,0.00401446,0.00281298,0.00444277,0.0268269,0.0166837,0.0138283,0.015112,0.0294554,0.020193,0.013132,0.0212646,0.00740454,0.00688645,0,0,0.0168177,0,0.0298038,0.0142331,0.0641285,0.0381777,0.0356966,0.0178793,0.030491,0.0405564,0.0104579,0.0137043,0.0120562,0.0188274,0.0228786,0.0171562,0.0280932,0.0356864,0.0156292,0.028322,0.00587787,0.0208487,0.00870489,0,0,0,0,0,0,0
13,0.0192523,0,0,0,0,0.0242483,0,0,0,0,0,0,0.0125671,0.0226833,0.00877665,0.00747582,0,0,0.0144495,0,0.0272741,0.0131561,0.0353126,0.0103049,0.0190871,0.00766628,0.029163,0.0492399,0.0111199,0.0083847,0.0246837,0.00397942,0.002802,0.00441233,0.0268342,0.016808,0.0143712,0.015185,0.0295188,0.0204,0.0131204,0.0212013,0.0074071,0.00691717,0,0,0.0165151,0,0.0297568,0.0139847,0.0641108,0.038146,0.0356528,0.0178158,0.0304483,0.0406472,0.0103978,0.0136176,0.0119811,0.0188381,0.0229486,0.0172019,0.028102,0.0359761,0.015527,0.0279697,0.00588618,0.0210788,0.0086931,0,0,0,0,0,0,0
14,0.0192751,0,0,0,0,0.0245797,0,0,0,0,0,0,0.0126392,0.0227325,0.00880454,0.00748941,0,0,0.0142661,0,0.0272802,0.0135846,0.0353452,0.0103989,0.0192209,0.00773574,0.0292262,0.0503315,0.0110822,0.00843741,0.0247535,0.00395309,0.00276148,0.00438578,0.0268389,0.0168681,0.0150416,0.015251,0.029639,0.0205834,0.0131179,0.0211874,0.00748587,0.00697886,0,0,0.0162027,0,0.029823,0.0137525,0.0641107,0.0381609,0.0356406,0.0177471,0.0304555,0.0409437,0.0103665,0.01351,0.0119017,0.018849,0.0229896,0.0172324,0.0281352,0.0362525,0.0154879,0.0276574,0.00585814,0.0214477,0.00871898,0,0,0,0,0,0,0
15,0.0193518,0,0,0,0,0.0249875,0,0,0,0,0,0,0.0126782,0.0227019,0.00880158,0.00749985,0,0,0.0141688,0,0.0271693,0.0140635,0.0353535,0.0104975,0.019324,0.0078365,0.0292775,0.0515723,0.0109594,0.0085042,0.0248016,0.00392883,0.00270535,0.00436315,0.0268258,0.0168785,0.0159476,0.0153364,0.0298124,0.0207631,0.0131242,0.0211826,0.00755423,0.00711104,0,0,0.0157834,0,0.0298497,0.0134653,0.0641265,0.0381814,0.0356141,0.0176612,0.03046,0.0412158,0.0103656,0.0133757,0.0118183,0.0188254,0.0230289,0.01722,0.028147,0.0365024,0.0154486,0.0273031,0.00577299,0.022006,0.00878869,0,0,0,0,0,0,0
16,0.0194342,0,0,0,0,0.0254119,0,0,0,0,0,0,0.0127297,0.0225377,0.00880658,0.00746027,0,0,0.0142508,0,0.0269025,0.0145865,0.0353103,0.0105845,0.0193472,0.00787083,0.0292554,0.0530064,0.0110186,0.00855854,0.0248431,0.00389247,0.00262375,0.00428112,0.026777,0.0168955,0.0170632,0.0154371,0.0299843,0.0209551,0.0131331,0.0211505,0.00759309,0.00731537,0,0,0.0153561,0,0.0298519,0.0131582,0.064153,0.0381858,0.0355444,0.0175901,0.0303792,0.0414167,0.0103625,0.0132855,0.0117423,0.0187975,0.0230655,0.0172043,0.0281727,0.0367444,0.0154414,0.0268316,0.00565526,0.0226619,0.00893161,0,0,0,0,0,0,0
17,0.0184491,0,0,0,0,0.0233523,0,0,0,0,0,0,0.0122535,0.0213656,0.00875481,0.00685749,0,0,0.0216921,0,0.026879,0.0172241,0.0351181,0.0105483,0.0185983,0.00787632,0.0275789,0.0469476,0.0110239,0.00857709,0.0247857,0.00383798,0.002445,0.0042046,0.0267566,0.0162695,0.0175907,0.0151316,0.0285404,0.0209346,0.0134302,0.0209236,0.007088,0.00609001,0,0,0.016126,0,0.0292295,0.013416,0.0641811,0.0379177,0.0346994,0.0175276,0.0286966,0.0407643,0.0104241,0.0132441,0.011697,0.018673,0.0230077,0.0170516,0.0279685,0.0365748,0.0167821,0.0286836,0.00604918,0.0208681,0.00795402,0,0,0,0,0,0,0
18,0.0208275,0,0,0,0,0.0280319,0,0,0,0,0,0,0.0125419,0.0228163,0.00892141,0.00771387,0,0,0.0136908,0,0.026303,0.0159034,0.0351869,0.0107642,0.0194329,0.00804397,0.0297912,0.0591106,0.0111213,0.00861999,0.024835,0.00385814,0.00238549,0.00411086,0.0266955,0.0165811,0.0205469,0.0158829,0.0311324,0.0216354,0.0131997,0.021027,0.00796559,0.00965555,0,0,0.0155825,0,0.0297326,0.0133369,0.0643076,0.0383236,0.0356413,0.0174953,0.0308091,0.0424895,0.0104047,0.0131996,0.0117507,0.018862,0.0231134,0.0172622,0.0283701,0.0373965,0.0150552,0.028497,0.00636639,0.0247195,0.0106784,0,0,0,0,0,0,0
19,0.0213494,0,0,0,0,0.0288612,0,0,0,0,0,0,0.0124293,0.0229971,0.0089905,0.00775992,0,0,0.0146888,0,0.0264194,0.0168738,0.0351737,0.0109008,0.0194048,0.00812553,0.02984,0.0610367,0.0111058,0.00864769,0.0248644,0.00383287,0.00231122,0.00406986,0.026669,0.0164459,0.0220003,0.0159978,0.0316073,0.022038,0.013203,0.0209129,0.00816611,0.0103587,0,0,0.0153114,0,0.0297335,0.0130732,0.0643499,0.0383175,0.035598,0.0174648,0.0308398,0.0428552,0.010433,0.0131278,0.011829,0.0188906,0.0231357,0.0172695,0.0284363,0.0376862,0.0149959,0.0284853,0.00641633,0.0251222,0.0113015,0,0,0,0,0,0,0
20,0.0218169,0,0,0,0,0.0295633,0,0,0,0,0,0,0.0123451,0.0229807,0.00907117,0.00777491,0,0,0.0155799,0,0.0262767,0.0175066,0.035194,0.0110679,0.0194901,0.00827301,0.0299169,0.0625941,0.0110946,0.00869943,0.0248969,0.00381449,0.00225594,0.00401012,0.0266358,0.0162983,0.0230958,0.0160639,0.0320237,0.0224512,0.0132269,0.020794,0.00840012,0.0109499,0,0,0.0150509,0,0.0297059,0.0128757,0.0643675,0.0382995,0.0355599,0.0174615,0.0308859,0.043223,0.0104531,0.0130563,0.0119394,0.0189062,0.0231412,0.0172924,0.0285017,0.0381605,0.0150288,0.0284954,0.00647142,0.0258061,0.0118337,0,0,0,0,0,0,0
21,0.0222561,0,0,0,0,0.0302037,0,0,0,0,0,0,0.0123142,0.0230164,0.00911912,0.00780634,0,0,0.0163271,0,0.0262678,0.017967,0.0351988,0.0111889,0.0196917,0.00835663,0.0300746,0.0638733,0.011204,0.00874501,0.0249057,0.00378875,0.00222204,0.00395407,0.0266248,0.0161998,0.0240065,0.0161098,0.0324444,0.0228002,0.0132602,0.0207377,0.00867628,0.011439,0,0,0.0148609,0,0.029664,0.0127336,0.0643689,0.0383333,0.03556,0.0174112,0.0310061,0.0435461,0.0104394,0.0129939,0.012061,0.018898,0.0231903,0.0173197,0.0285726,0.0385473,0.0150859,0.0285172,0.00656087,0.0269311,0.0122966,0,0,0,0,0,0,0
22,0.0227816,0,0,0,0,0.0309065,0,0,0,0,0,0,0.0121678,0.0231866,0.00908753,0.00786198,0,0,0.0170099,0,0.0264697,0.0184491,0.035182,0.0112381,0.0197726,0.00832635,0.030227,0.0651296,0.0112287,0.00878653,0.0248769,0.00374546,0.00217439,0.00389255,0.0266368,0.015994,0.0248949,0.0161363,0.032846,0.0231468,0.0133092,0.0206747,0.00895266,0.0120171,0,0,0.0146333,0,0.0296343,0.0125452,0.0643954,0.0383242,0.0355575,0.0173299,0.0311277,0.0438884,0.0104324,0.0128881,0.012208,0.0189204,0.0232285,0.0173447,0.0286412,0.0390395,0.0151088,0.0285578,0.00669537,0.0278524,0.0128489,0,0,0,0,0,0,0
23,0.0233272,0,0,0,0,0.0315982,0,0,0,0,0,0,0.0119879,0.0232739,0.00907843,0.00786836,0,0,0.0175733,0,0.0265625,0.0189704,0.0351179,0.0112899,0.0197217,0.00848374,0.0303021,0.0663399,0.0111742,0.00884206,0.0248465,0.00371487,0.00210423,0.00385431,0.0265909,0.015797,0.0257221,0.0161438,0.0332246,0.0234849,0.0133327,0.0205769,0.00914786,0.0126024,0,0,0.0143671,0,0.0295834,0.0123374,0.0644388,0.0382754,0.035526,0.017265,0.0311915,0.0442109,0.0105125,0.0128188,0.0123822,0.0190013,0.0232611,0.0174026,0.0287479,0.0393554,0.0151111,0.0286554,0.00681446,0.028371,0.0134137,0,0,0,0,0,0,0
24,0.0237807,0,0,0,0,0.0321605,0,0,0,0,0,0,0.0118976,0.0232589,0.00903007,0.00787222,0,0,0.0179814,0,0.0265563,0.0192713,0.0350606,0.0113406,0.0196991,0.00864331,0.0303052,0.0672627,0.0111997,0.00892228,0.024889,0.00373396,0.00208433,0.00383908,0.0266008,0.015697,0.0262596,0.0161535,0.0334289,0.023752,0.0133036,0.0205216,0.00919612,0.0131161,0,0,0.0141393,0,0.0295719,0.0121808,0.0644135,0.0383568,0.0355077,0.0171619,0.0311725,0.0444848,0.0106288,0.0127966,0.0125429,0.0190169,0.0232404,0.0174573,0.0288507,0.0395864,0.0151242,0.0287691,0.00687402,0.0285735,0.0139126,0,0,0,0,0,0,0
25,0.0239493,0,0,0,0,0.0324679,0,0,0,0,0,0,0.011787,0.0231428,0.00900028,0.00792836,0,0,0.0182407,0,0.0265649,0.0193328,0.034996,0.0112871,0.019625,0.00872107,0.0303052,0.0675819,0.0112996,0.00894874,0.0248592,0.00372873,0.0020397,0.00377241,0.0265944,0.0154868,0.0264587,0.0161178,0.0334182,0.0239448,0.0132609,0.0204715,0.00912194,0.0132692,0,0,0.0140539,0,0.0295666,0.0120698,0.0644342,0.0383593,0.035482,0.0170273,0.0311558,0.0446245,0.0106822,0.0127477,0.0127157,0.0190435,0.0232312,0.0175215,0.0289683,0.0398772,0.0152899,0.0289163,0.00685618,0.0288739,0.0140619,0,0,0,0,0,0,0
26,0.0239667,0,0,0,0,0.0324744,0,0,0,0,0,0,0.0118644,0.0233267,0.00898351,0.00796299,0,0,0.0178775,0,0.0265307,0.0190755,0.0349815,0.0112008,0.0196423,0.00872767,0.0304904,0.0675688,0.011306,0.00894506,0.0249039,0.00371296,0.00195272,0.00373267,0.0265503,0.0155863,0.0262115,0.0161632,0.0335817,0.0241731,0.0132923,0.0204676,0.00925569,0.0132769,0,0,0.0137372,0,0.0295986,0.0117903,0.0644051,0.0383948,0.0355738,0.0167564,0.0313248,0.0444982,0.0106708,0.0126342,0.0127011,0.0189745,0.0231816,0.0175302,0.0289949,0.0402573,0.0151567,0.0285038,0.0067986,0.0291475,0.0140058,0,0,0,0,0,0,0
27,0.0238568,0,0,0,0,0.0323908,0,0,0,0,0,0,0.0118087,0.0234044,0.00901879,0.00801969,0,0,0.0178437,0,0.0266468,0.0191699,0.0350368,0.0113061,0.0196421,0.00883503,0.0305901,0.0677563,0.011217,0.00897024,0.0249012,0.00372404,0.00190498,0.00369935,0.0265217,0.0155104,0.0261475,0.0161398,0.0333366,0.0244426,0.0133279,0.0204081,0.00934566,0.0131694,0,0,0.0135057,0,0.0295903,0.0114959,0.0644029,0.0384131,0.0355738,0.0165524,0.0313917,0.0443521,0.0107076,0.012508,0.0127462,0.0189279,0.0231894,0.0175116,0.0290245,0.0406826,0.0150593,0.0282051,0.00684206,0.0290525,0.0138752,0,0,0,0,0,0,0
28,0.0235238,0,0,0,0,0.032095,0,0,0,0,0,0,0.0117249,0.023311,0.00901606,0.00800514,0,0,0.0177246,0,0.0266308,0.0192701,0.0350854,0.0114045,0.0196145,0.00893283,0.0306058,0.0675974,0.0110662,0.00900703,0.0249004,0.00372205,0.00193427,0.00368357,0.0265229,0.0153802,0.0258406,0.0161566,0.0329039,0.0246987,0.0132841,0.0202784,0.00947139,0.0128289,0,0,0.0133275,0,0.0295621,0.0111256,0.0643983,0.0382265,0.0355497,0.0163046,0.0313922,0.0440264,0.0107225,0.012332,0.0127671,0.0188686,0.0232274,0.0174956,0.0290272,0.0409933,0.0148836,0.027702,0.00689199,0.0286367,0.0135764,0,0,0,0,0,0,0
29,0.0229314,0,0,0,0,0.0315133,0,0,0,0,0,0,0.0116614,0.023283,0.00900797,0.00795216,0,0,0.0175539,0,0.0266275,0.0189856,0.0351258,0.0115019,0.0195487,0.00907761,0.0305448,0.0670279,0.0108461,0.00904081,0.0248912,0.00372062,0.00194841,0.00363038,0.0265289,0.0152565,0.025372,0.0161285,0.0323681,0.0250436,0.0132032,0.020109,0.00943224,0.0122161,0,0,0.0131006,0,0.0294134,0.0106638,0.0644115,0.0379668,0.0354968,0.0160362,0.031341,0.0433477,0.010715,0.0121656,0.0127799,0.0188244,0.0232572,0.0174956,0.0290404,0.0413019,0.0146451,0.0269421,0.00697146,0.0280625,0.0130338,0,0,0,0,0,0,0
30,0.0221096,0,0,0,0,0.0305509,0,0,0,0,0,0,0.0115408,0.0233619,0.00907939,0.0078841,0,0,0.0171345,0,0.0266676,0.0185308,0.0351978,0.0116253,0.0194721,0.00922436,0.0304291,0.0657012,0.0106905,0.00912006,0.02488,0.00373792,0.00185355,0.0035799,0.0264571,0.0149967,0.024541,0.0160641,0.0316693,0.0253205,0.0131855,0.0199228,0.00925736,0.0113402,0,0,0.0128088,0,0.0291893,0.0101726,0.0644339,0.0377987,0.0354028,0.0157373,0.0312179,0.0422592,0.0106114,0.0119971,0.0127629,0.0187567,0.0233496,0.0174705,0.0290355,0.0415204,0.0142697,0.0258999,0.00712392,0.0274515,0.0122192,0,0,0,0,0,0,0
31,0.0210978,0,0,0,0,0.0291974,0,0,0,0,0,0,0.0114525,0.0234654,0.00913777,0.00777239,0,0,0.0164548,0,0.0267513,0.0178759,0.0353153,0.0117971,0.0193696,0.00924095,0.0301824,0.0636715,0.0106803,0.00917015,0.0248496,0.00373452,0.00182916,0.00354554,0.0264078,0.0147224,0.0234032,0.01608,0.0308753,0.0256647,0.0132519,0.0197359,0.00918396,0.0101996,0,0,0.0125411,0,0.0289685,0.00976911,0.0644159,0.0375032,0.0352617,0.0154704,0.0309643,0.0407534,0.0104712,0.0118676,0.012734,0.0186917,0.0235262,0.0174639,0.028999,0.0417692,0.013711,0.0245844,0.00732787,0.0263254,0.0111593,0,0,0,0,0,0,0
32,0.0187172,0,0,0,0,0.0258344,0,0,0,0,0,0,0.0110656,0.0232111,0.00909327,0.00714832,0,0,0.0169133,0,0.0268085,0.0165669,0.0351797,0.0119562,0.0187247,0.00932663,0.0287336,0.055679,0.0108826,0.00922163,0.0248338,0.00371241,0.00187989,0.00357467,0.0264453,0.0140893,0.0193179,0.0158097,0.0295986,0.0258131,0.0134635,0.019488,0.00860275,0.00704806,0,0,0.0130895,0,0.0284193,0.00996141,0.0642952,0.0369671,0.0346453,0.0150866,0.0295873,0.0382796,0.0104227,0.0117113,0.0126346,0.0184862,0.0236022,0.0173828,0.0287186,0.041633,0.0137602,0.0253526,0.00797437,0.0232932,0.00852299,0,0,0,0,0,0,0
33,0.0173883,0,0,0,0,0.022375,0,0,0,0,0,0,0.010516,0.0221722,0.00903218,0.00665864,0,0,0.0214925,0,0.0274976,0.0185923,0.0349704,0.011967,0.017951,0.00950537,0.0269481,0.0491378,0.0108634,0.00918485,0.0247226,0.00362916,0.00189855,0.00345945,0.026402,0.0132034,0.0188514,0.0153733,0.0261995,0.0258484,0.0136208,0.0192293,0.00793644,0.00417491,0,0,0.012281,0,0.0278174,0.00864821,0.0642779,0.0366414,0.0337521,0.0149757,0.0278348,0.0362838,0.0105773,0.0116177,0.0126363,0.0184231,0.0235281,0.0173042,0.0285527,0.0415655,0.0147602,0.0225952,0.00706886,0.0202486,0.00632673,0,0,0,0,0,0,0
34,0.0175607,0,0,0,0,0.021107,0,0,0,0,0,0,0.0105635,0.0233723,0.00905752,0.00709353,0,0,0.0163456,0,0.0269149,0.0159264,0.034809,0.0119771,0.0180931,0.00963755,0.0276071,0.0497844,0.0109183,0.00928577,0.0249158,0.00370554,0.00195684,0.00350193,0.0264525,0.013183,0.0169613,0.0164668,0.0268904,0.0262994,0.0131886,0.0191313,0.00809378,0.00381151,0,0,0.0116142,0,0.0280908,0.00834997,0.0641962,0.036546,0.0340641,0.0145169,0.0284544,0.0334509,0.0108076,0.0114511,0.0125924,0.018322,0.0236468,0.0173636,0.0285665,0.0419303,0.0128802,0.021303,0.00710569,0.0188055,0.00646058,0,0,0,0,0,0,0
35,0.0181715,0,0,0,0,0.0189195,0,0,0,0,0,0,0.010307,0.0238878,0.00899332,0.00720657,0,0,0.0149708,0,0.0268879,0.0155762,0.0346648,0.0118788,0.0179172,0.00961407,0.0271989,0.0472594,0.0108632,0.00929643,0.0248682,0.00362606,0.00192305,0.00339519,0.0263587,0.0127328,0.0159046,0.0167197,0.0261049,0.0265824,0.0131062,0.018925,0.00794006,0.00442344,0,0,0.0112009,0,0.0279099,0.00784994,0.0641926,0.0363459,0.0338229,0.014165,0.0280471,0.0310374,0.0108306,0.0112699,0.0125035,0.0181828,0.023625,0.0172662,0.0284759,0.0421852,0.0127331,0.0197937,0.00643919,0.0172328,0.00687369,0,0,0,0,0,0,0
