Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,LTHI,RTHIA
471,0.00967803,0,0,0,0,0.0131113,0,0,0,0,0,0,0.0721123,0.0598131,0.0334572,0.00817179,0,0,0.0361507,0,0.0296907,0.0214462,0.0330147,0.0327137,0.00798751,0.0165835,0.0112129,0.0267578,0.00873863,0.00750503,0.0129912,0.0378149,0.0367107,0.0200569,0.0370851,0.0907031,0.0257454,0.0518466,0.0227344,0.00607563,0.0354554,0.00210259,0.00441163,0.011571,0,0,0.0241537,0,0.0320317,0.0133089,0.0584506,0.00377577,0.0156619,0.00599592,0.00696145,0.0342199,0.00448598,0.00588603,0.00618479,0.00102511,0.0129601,0.00157317,0.00393411,0.00464139,0.0244555,0.00946322,0.00781458,0.0147029,0.0118085,0,0,0,0,0,0.00852263,0.0379117
472,0.00964098,0,0,0,0,0.0130419,0,0,0,0,0,0,0.0719886,0.0597603,0.0339314,0.00816859,0,0,0.0359511,0,0.0297336,0.0213811,0.0330296,0.0325722,0.00786947,0.0168321,0.011202,0.0264195,0.00923035,0.00781341,0.0131134,0.037832,0.0367511,0.0204851,0.0372889,0.0903539,0.0254611,0.0518355,0.0227353,0.00602335,0.0354554,0.00226508,0.00454515,0.0114537,0,0,0.0244155,0,0.0320111,0.0135688,0.058795,0.00422595,0.0158319,0.0060043,0.00685844,0.0341554,0.00492969,0.00586542,0.00590724,0.00114429,0.0130109,0.00186616,0.00452024,0.00439627,0.0245268,0.00941778,0.00774185,0.0145856,0.0117882,0,0,0,0,0,0.00912437,0.038042
473,0.00979999,0,0,0,0,0.0132988,0,0,0,0,0,0,0.0715132,0.0597085,0.0341917,0.00813047,0,0,0.0360585,0,0.0297898,0.0215155,0.0330879,0.0322916,0.00782611,0.0168177,0.0112167,0.0266337,0.00973676,0.00812489,0.0131589,0.0375793,0.03663,0.0208088,0.0374551,0.0896992,0.0254583,0.0518707,0.0227495,0.00590205,0.0354105,0.00248735,0.00469969,0.0114984,0,0,0.0245018,0,0.0320241,0.0135725,0.0591731,0.00467486,0.0160006,0.00579892,0.00670313,0.0340551,0.00509006,0.00575697,0.00564714,0.00145703,0.0130895,0.00221027,0.00513206,0.00437779,0.0245924,0.0093872,0.00754548,0.014818,0.0119888,0,0,0,0,0,0.00960736,0.0381913
474,0.00997812,0,0,0,0,0.0134062,0,0,0,0,0,0,0.0708011,0.0597356,0.034294,0.00808258,0,0,0.0361643,0,0.0298385,0.0216081,0.033175,0.0319767,0.00786219,0.0170562,0.011265,0.026801,0.01006,0.00820687,0.0132711,0.0371912,0.0364535,0.0211384,0.0375174,0.0887883,0.0254673,0.051904,0.02276,0.00585798,0.0353966,0.00247264,0.00481837,0.0115639,0,0,0.0246796,0,0.0320354,0.0136909,0.0594967,0.0048207,0.0160972,0.00577249,0.006617,0.0338555,0.00505719,0.00568303,0.00547248,0.00164286,0.013137,0.00238904,0.00550011,0.00447628,0.0246088,0.00929945,0.00739414,0.0149532,0.0121549,0,0,0,0,0,0.00987902,0.0383397
475,0.0101874,0,0,0,0,0.0135474,0,0,0,0,0,0,0.0695945,0.0597645,0.0341174,0.0079636,0,0,0.0363232,0,0.0298397,0.0216732,0.0332973,0.0317925,0.0079604,0.0169962,0.0115797,0.0270514,0.0102765,0.00821325,0.0133734,0.0365785,0.0360398,0.0212646,0.0375671,0.0872588,0.0255171,0.0519297,0.0227742,0.00579379,0.0354017,0.00225734,0.00488212,0.0116064,0,0,0.0248129,0,0.0320857,0.0138131,0.059783,0.00480394,0.0161947,0.00597348,0.00651776,0.0336217,0.00502026,0.0056828,0.00535566,0.00188344,0.01319,0.00244403,0.00568688,0.00473462,0.024536,0.00904133,0.00725302,0.0151473,0.012342,0,0,0,0,0,0.0100688,0.0384585
476,0.0104478,0,0,0,0,0.0136677,0,0,0,0,0,0,0.0678467,0.0598386,0.0336052,0.00778281,0,0,0.0365354,0,0.0297706,0.0218118,0.0334156,0.0314612,0.00808193,0.0165119,0.0118398,0.0273647,0.0104388,0.0081873,0.013451,0.0356916,0.0353429,0.021132,0.0375702,0.0849422,0.0256262,0.051996,0.0228316,0.00580445,0.035404,0.00210997,0.00490128,0.0116346,0,0,0.024762,0,0.0321538,0.0138894,0.0600296,0.00487853,0.0162746,0.00639624,0.0065535,0.0333266,0.0050259,0.00579325,0.00528413,0.00201295,0.0133336,0.0025104,0.00588422,0.00514055,0.0244388,0.00884178,0.0070996,0.015334,0.0125271,0,0,0,0,0,0.0101637,0.0385199
477,0.0104605,0,0,0,0,0.0135567,0,0,0,0,0,0,0.0654936,0.059949,0.0327448,0.00757991,0,0,0.0367317,0,0.0297372,0.0219497,0.0335266,0.030533,0.00830453,0.0158829,0.0119754,0.0273277,0.0104188,0.00803219,0.0135195,0.0344895,0.0343188,0.0207234,0.0374483,0.0818597,0.0257564,0.0520861,0.02288,0.00590302,0.0353978,0.00219272,0.00489968,0.0115712,0,0,0.0247838,0,0.0321856,0.0139868,0.060228,0.00510689,0.0163257,0.0066739,0.00658355,0.0331213,0.00499849,0.00586432,0.00527896,0.00219279,0.0135596,0.002778,0.00628246,0.00549596,0.0243935,0.00872313,0.00696054,0.0152833,0.012447,0,0,0,0,0,0.010097,0.0385675
478,0.0104132,0,0,0,0,0.0134952,0,0,0,0,0,0,0.0622522,0.0600409,0.0316043,0.00735363,0,0,0.0369517,0,0.0297408,0.0220366,0.0336381,0.0290907,0.0085674,0.0147796,0.0121145,0.0273417,0.0101375,0.00774997,0.0135348,0.032974,0.0329926,0.0202317,0.0371598,0.0779588,0.0259453,0.0521412,0.0228171,0.0061628,0.0353296,0.00238101,0.00486155,0.0115265,0,0,0.0248234,0,0.0321111,0.0140613,0.0604302,0.00533271,0.0163229,0.00704037,0.00662724,0.0330059,0.00497249,0.00600047,0.00536028,0.00264977,0.013744,0.00312606,0.00695915,0.00599149,0.0243916,0.00860227,0.0067647,0.0152644,0.012302,0,0,0,0,0,0.00994398,0.0386085
479,0.0104065,0,0,0,0,0.0134787,0,0,0,0,0,0,0.0584053,0.0600597,0.0301395,0.00710294,0,0,0.0371849,0,0.0297156,0.0221372,0.0336835,0.0272553,0.00883323,0.013576,0.0122591,0.0274129,0.00969904,0.00743568,0.0135062,0.0312121,0.0314263,0.0196169,0.0367889,0.0733416,0.0260948,0.0521468,0.0227122,0.00672206,0.0352582,0.00267366,0.0047905,0.01151,0,0,0.0249634,0,0.0320673,0.0141539,0.0606611,0.00551999,0.0162987,0.00736962,0.00669085,0.0328981,0.00488067,0.00610048,0.00536362,0.00321329,0.0138814,0.00359787,0.00771213,0.00694865,0.0244347,0.00852414,0.00653551,0.0152717,0.0121162,0,0,0,0,0,0.00977605,0.0386901
480,0.0105378,0,0,0,0,0.0134471,0,0,0,0,0,0,0.0543157,0.0601379,0.0284508,0.00682762,0,0,0.0374722,0,0.0296685,0.0222878,0.0337063,0.0253124,0.00911296,0.0120734,0.012447,0.0276121,0.00927687,0.00712349,0.0134254,0.0292468,0.0296368,0.0188904,0.0364321,0.0682221,0.0263833,0.0522172,0.0226481,0.00750043,0.0351767,0.00288975,0.00471087,0.0115808,0,0,0.0251105,0,0.0320444,0.0142371,0.0608952,0.00571627,0.0162982,0.00766268,0.0067882,0.0327325,0.004687,0.00617854,0.00542611,0.00370434,0.014089,0.00398848,0.00834137,0.0083259,0.024535,0.00823808,0.00630006,0.0152878,0.0119829,0,0,0,0,0,0.00959675,0.0387763
481,0.0105792,0,0,0,0,0.0134046,0,0,0,0,0,0,0.0496989,0.0602659,0.0264512,0.00656031,0,0,0.0376348,0,0.0296881,0.0223116,0.0337509,0.023504,0.00942059,0.0103133,0.0127567,0.0277068,0.00891926,0.00682085,0.0133187,0.0271196,0.0276587,0.0179755,0.0360162,0.0627735,0.0266194,0.0523648,0.0226439,0.00841589,0.0351095,0.00306996,0.00461724,0.0115844,0,0,0.0251787,0,0.0320246,0.0143011,0.0611251,0.00590426,0.0163229,0.00796881,0.00691922,0.0325324,0.004479,0.00626418,0.00551361,0.00415018,0.0143857,0.0042926,0.00888246,0.0099189,0.0246482,0.0079561,0.00606221,0.0153293,0.0118448,0,0,0,0,0,0.00936489,0.0388632
482,0.0105954,0,0,0,0,0.0133474,0,0,0,0,0,0,0.0447551,0.0603578,0.024325,0.0063027,0,0,0.0377062,0,0.0296976,0.0223679,0.033814,0.0215256,0.00970379,0.00878693,0.0130682,0.0277806,0.00863068,0.00648015,0.013235,0.0249051,0.0255928,0.0169358,0.0355177,0.0571696,0.0267555,0.0524631,0.0226446,0.00944339,0.0350458,0.00324659,0.00450161,0.0115725,0,0,0.0252178,0,0.0320007,0.0143313,0.0613439,0.00608181,0.0163346,0.00830298,0.00705602,0.0323593,0.00454023,0.00640081,0.00569906,0.00456358,0.0147239,0.00457323,0.00947999,0.0115052,0.0247301,0.00770556,0.00589183,0.0153603,0.0117996,0,0,0,0,0,0.00910187,0.0389675
483,0.0105923,0,0,0,0,0.0132949,0,0,0,0,0,0,0.0396015,0.0604455,0.0221559,0.00607011,0,0,0.0376531,0,0.0296738,0.0224418,0.0338853,0.0194778,0.00995399,0.00755248,0.0132964,0.0278374,0.00847193,0.00616562,0.0132365,0.0227656,0.0235082,0.0158491,0.0349672,0.0513602,0.0267373,0.0525198,0.0226161,0.0106346,0.0349735,0.00339149,0.00436213,0.0115536,0,0,0.0253073,0,0.032004,0.0143347,0.0615775,0.0061399,0.0163498,0.0088205,0.00720538,0.0322183,0.0045989,0.00671203,0.0059229,0.00479011,0.0150262,0.00481818,0.0100146,0.0131254,0.0247865,0.00754177,0.00576656,0.0153324,0.0118052,0,0,0,0,0,0.00882824,0.0390951
484,0.010614,0,0,0,0,0.0132456,0,0,0,0,0,0,0.0347541,0.0605063,0.0201167,0.00590296,0,0,0.0374949,0,0.0296017,0.0224258,0.0339642,0.0177215,0.0101409,0.00657478,0.0135209,0.0278688,0.0084313,0.0058156,0.0133263,0.0207705,0.0214967,0.0147582,0.0343541,0.0457151,0.0265736,0.0525314,0.0225768,0.0118092,0.0349006,0.0035871,0.00420543,0.0115698,0,0,0.0254277,0,0.0320191,0.0143406,0.0618051,0.00622688,0.0163624,0.00927506,0.00742321,0.0320837,0.00452334,0.00683759,0.00609061,0.00504571,0.0153558,0.0051215,0.0104788,0.014651,0.0248744,0.00736888,0.00564697,0.0152624,0.0118588,0,0,0,0,0,0.00855651,0.0392402
485,0.0105168,0,0,0,0,0.0130285,0,0,0,0,0,0,0.0307218,0.0605076,0.0183606,0.00575145,0,0,0.0372749,0,0.0295327,0.0223751,0.0340333,0.0164243,0.0103065,0.00603004,0.0136199,0.0276458,0.00850929,0.00543371,0.0135238,0.0188936,0.0196928,0.013735,0.0337754,0.0405365,0.0262602,0.0525003,0.0225347,0.0129105,0.0348665,0.00380627,0.00404717,0.0115387,0,0,0.0256083,0,0.0320267,0.01436,0.0620427,0.00634735,0.0163837,0.00949725,0.00753468,0.0320373,0.00437001,0.0066936,0.00631334,0.00565618,0.0157111,0.00548318,0.0109201,0.0162141,0.0250388,0.00729197,0.00560768,0.015029,0.0117429,0,0,0,0,0,0.00827736,0.039418
486,0.0103746,0,0,0,0,0.012844,0,0,0,0,0,0,0.0268626,0.060557,0.016612,0.00561245,0,0,0.0370548,0,0.0294802,0.0223112,0.0340942,0.0151976,0.0104613,0.00556556,0.0137219,0.0274553,0.00868096,0.00506949,0.0137989,0.0171305,0.0179616,0.0125948,0.0331665,0.0357231,0.0259164,0.0524793,0.0224654,0.0139755,0.0348554,0.00405217,0.00384282,0.0115454,0,0,0.025715,0,0.0320645,0.014347,0.0622845,0.00637773,0.0163946,0.00975042,0.00762959,0.0320401,0.0042738,0.00667202,0.00658831,0.00619369,0.0160283,0.00581616,0.0115373,0.0177866,0.0251537,0.00744385,0.00560859,0.014828,0.0116262,0,0,0,0,0,0.00804665,0.0396429
487,0.0102158,0,0,0,0,0.0126625,0,0,0,0,0,0,0.0233576,0.0606238,0.0149849,0.00548511,0,0,0.0367851,0,0.0294894,0.0222393,0.034158,0.0139234,0.0105776,0.00510339,0.0139773,0.0273087,0.00892668,0.00470669,0.0141724,0.0155016,0.0163415,0.0114791,0.032526,0.0315602,0.0255663,0.0525345,0.0224123,0.0150123,0.0348615,0.0042663,0.00359287,0.0115962,0,0,0.0257451,0,0.0321061,0.0143421,0.062549,0.00637137,0.0164178,0.0100478,0.007732,0.0320773,0.00422767,0.00675521,0.00692428,0.00665902,0.0163173,0.00611722,0.012111,0.0191967,0.0251943,0.00753734,0.00561221,0.0146163,0.0115297,0,0,0,0,0,0.00787089,0.0399057
488,0.0101174,0,0,0,0,0.0124963,0,0,0,0,0,0,0.020252,0.0606806,0.0134247,0.00542061,0,0,0.0364657,0,0.0294991,0.0221587,0.0342539,0.0128442,0.0106465,0.00473801,0.0141075,0.0272296,0.00919583,0.0044718,0.0146359,0.0140048,0.0148597,0.0104251,0.0318654,0.0279476,0.025231,0.0526144,0.0224621,0.0159305,0.0348645,0.00446747,0.00329882,0.0116742,0,0,0.0257038,0,0.0321056,0.0143911,0.0628201,0.00639246,0.0164179,0.0103044,0.00781485,0.0320886,0.00421935,0.00683375,0.00712347,0.00712787,0.0165663,0.00641396,0.0126282,0.0203736,0.0251497,0.0074837,0.00560078,0.0143728,0.0115088,0,0,0,0,0,0.00773329,0.040164
489,0.0101455,0,0,0,0,0.0123265,0,0,0,0,0,0,0.0176438,0.0607446,0.0115836,0.00540865,0,0,0.0361232,0,0.0294927,0.0220662,0.0343768,0.0117193,0.0107064,0.0044759,0.0141221,0.0272469,0.00948349,0.00436261,0.0151184,0.0126419,0.0133493,0.00941413,0.0312466,0.0248556,0.024901,0.0526807,0.0225963,0.0167385,0.0348762,0.00464003,0.00301627,0.0118301,0,0,0.0255858,0,0.0320805,0.0142805,0.0630596,0.00635693,0.0163987,0.0104797,0.00789089,0.0321239,0.00422842,0.00686219,0.00731338,0.00740295,0.0167646,0.00670504,0.0130871,0.0213981,0.025056,0.00742316,0.00558642,0.0141211,0.011572,0,0,0,0,0,0.00756898,0.0404193
490,0.0102414,0,0,0,0,0.0121801,0,0,0,0,0,0,0.0159793,0.0608542,0.00966345,0.00546687,0,0,0.0358088,0,0.0295277,0.0219987,0.0345377,0.011022,0.0107402,0.00417667,0.0140247,0.0274155,0.00973813,0.00436188,0.0156842,0.0114292,0.0119563,0.00843175,0.0305884,0.0222956,0.0246024,0.0527767,0.0226994,0.0175822,0.034901,0.00468952,0.00272973,0.0120761,0,0,0.0254772,0,0.0320301,0.0140336,0.0632391,0.00614205,0.016359,0.0106374,0.00804341,0.0322481,0.00425898,0.00689123,0.00740995,0.00751357,0.0169243,0.00686383,0.0133701,0.0225196,0.0250432,0.00745103,0.00556802,0.013915,0.0117233,0,0,0,0,0,0.00730213,0.0406881
491,0.0104394,0,0,0,0,0.0120251,0,0,0,0,0,0,0.0142971,0.0609984,0.00834401,0.0053821,0,0,0.0356444,0,0.0295585,0.0219759,0.0347187,0.0103316,0.0108301,0.00395678,0.0137703,0.0277605,0.0100037,0.0045762,0.0162669,0.0102298,0.0106095,0.00753932,0.0300552,0.0200495,0.024406,0.0528791,0.0228151,0.0183089,0.0349501,0.00466054,0.00247959,0.0123956,0,0,0.0253507,0,0.0320362,0.0137277,0.0634474,0.0060452,0.0163447,0.0107419,0.00810222,0.0321886,0.00427237,0.00680543,0.00759075,0.00761824,0.0170412,0.00700298,0.0137078,0.0235507,0.0250377,0.00745008,0.00559206,0.0137154,0.0120037,0,0,0,0,0,0.00707576,0.0409299
492,0.0105109,0,0,0,0,0.0119279,0,0,0,0,0,0,0.0128059,0.0610803,0.00717283,0.005299,0,0,0.0353287,0,0.0295898,0.02187,0.0348954,0.0097199,0.0109302,0.00383231,0.0136385,0.0280027,0.0102305,0.00496272,0.0168942,0.00910494,0.00934906,0.00671002,0.0295109,0.0181803,0.0240343,0.052891,0.0229448,0.0189511,0.0350257,0.00462189,0.00218208,0.0126195,0,0,0.0251082,0,0.0320821,0.0134202,0.0635907,0.00619578,0.0163486,0.0107347,0.00813763,0.0321382,0.00424962,0.00669327,0.00779098,0.00796859,0.0171081,0.00718424,0.0141138,0.0242757,0.0249367,0.0075706,0.00568249,0.0135674,0.0122153,0,0,0,0,0,0.00692073,0.0411531
493,0.0102189,0,0,0,0,0.011607,0,0,0,0,0,0,0.0115523,0.0611304,0.00595837,0.00524073,0,0,0.034774,0,0.0296483,0.0217,0.0350597,0.00928042,0.0110863,0.00385763,0.0135714,0.0277172,0.0104373,0.00550189,0.0175596,0.0080834,0.00818298,0.0059679,0.0290014,0.0164955,0.023504,0.0529146,0.023114,0.0195925,0.035134,0.00457468,0.00205357,0.0126415,0,0,0.0248109,0,0.0321203,0.0131811,0.0636723,0.00628931,0.0163391,0.01073,0.00812907,0.0321354,0.00423235,0.0066183,0.00800113,0.00812506,0.0171396,0.00737075,0.0144105,0.0250594,0.0248198,0.00774715,0.00571303,0.0132312,0.0120898,0,0,0,0,0,0.00676201,0.0413745
494,0.0100127,0,0,0,0,0.0113058,0,0,0,0,0,0,0.0106763,0.0611927,0.00488254,0.0052047,0,0,0.0341924,0,0.0296943,0.0215387,0.035219,0.0093197,0.0112838,0.00401829,0.0135623,0.027427,0.0106328,0.00617123,0.0182575,0.00722184,0.00718797,0.00539074,0.0285248,0.0150409,0.0229769,0.0529377,0.0231981,0.0201317,0.0352373,0.00450684,0.00221262,0.0126744,0,0,0.024496,0,0.0321468,0.0130398,0.063697,0.00628269,0.0163176,0.0107241,0.00820274,0.0321199,0.00417718,0.0065455,0.0081654,0.00802914,0.0171481,0.00752796,0.0145154,0.0258186,0.0246723,0.0079283,0.00570135,0.012913,0.0120224,0,0,0,0,0,0.00645398,0.0415653
495,0.00996294,0,0,0,0,0.0110172,0,0,0,0,0,0,0.0100601,0.0612621,0.00420988,0.00515686,0,0,0.0337235,0,0.0296992,0.0214093,0.0353902,0.00982456,0.0114908,0.00431718,0.0135836,0.0272777,0.010783,0.00685684,0.0189302,0.00643657,0.00630144,0.00498268,0.0280849,0.0139057,0.0224876,0.0529445,0.023162,0.0204851,0.0352909,0.00448013,0.00213758,0.012747,0,0,0.0242251,0,0.0321582,0.0129737,0.063705,0.00629845,0.0163146,0.0106931,0.00828587,0.0321209,0.00410891,0.00647127,0.00821634,0.00811036,0.0170973,0.00764498,0.0145605,0.0263579,0.0244236,0.0080566,0.00572101,0.0126095,0.0120287,0,0,0,0,0,0.0062231,0.0417084
