Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75
All Timesteps RMSE,0.0253856,0,0,0,0,0.0230697,0,0,0,0,0,0,0.0276904,0.0488741,0.0139142,0.00637578,0,0,0.0285464,0,0.0282155,0.0179071,0.0351531,0.0171033,0.0158061,0.00790378,0.0136878,0.0450038,0.00553202,0.00705411,0.00503759,0.0172209,0.0130429,0.013256,0.00761467,0.0245917,0.0345886,0.0260498,0.0387967,0.0197196,0.0202093,0.0302992,0.0114602,0.00925353,0.0199332,0,0,0.0211222,0,0.0304899,0.010758,0.0617434,0.0169925,0.0185485,0.011776,0.0127495,0.0395342,0.00584296,0.0386063,0.0101088,0.00907594,0.0097888,0.0143142,0.00997597,0.015897,0.0259257,0.0207439,0.0150203,0.0104977,0.0207895,0.0184798,0,0,0,0,0
0,0.0381753,0,0,0,0,0.0376989,0,0,0,0,0,0,0.0169363,0.0167375,0.0054758,0.00151523,0,0,0.0725936,0,0.0333289,0.0517612,0.0365355,0.0147918,0.017532,0.00487332,0.00792616,0.0884891,0.00435431,0.00519746,0.00217723,0.019312,0.00756925,0.00539661,0.00620372,0.0269629,0.0245125,0.0621782,0.0158502,0.0417347,0.00964046,0.0144534,0.0136767,0.00770159,0.0251779,0,0,0.0344066,0,0.0281094,0.0132804,0.061628,0.0147587,0.0230233,0.016088,0.0108894,0.0672253,0.002529,0.038345,0.00886269,0.00981989,0.00760586,0.0200332,0.00319466,0.00656932,0.0130566,0.036425,0.0203249,0.014984,0.0332423,0.0278502,0,0,0,0,0
1,0.038634,0,0,0,0,0.0379904,0,0,0,0,0,0,0.0167877,0.0162633,0.00535063,0.00144293,0,0,0.0734884,0,0.0333974,0.0524017,0.0363031,0.0142295,0.0175401,0.00458916,0.00789005,0.0903299,0.00410048,0.00491288,0.00205989,0.0192043,0.00749563,0.00533608,0.00618754,0.0268871,0.0236593,0.0629525,0.0159884,0.0413875,0.00980751,0.0146423,0.0136048,0.0075124,0.0253993,0,0,0.0346551,0,0.0277913,0.0136858,0.0617865,0.0149282,0.0231281,0.0162598,0.0108552,0.0669901,0.00266044,0.0385414,0.008951,0.0101628,0.0077943,0.0202851,0.00327418,0.00687943,0.0126592,0.0364643,0.0199306,0.0151378,0.0337665,0.0283004,0,0,0,0,0
2,0.0396807,0,0,0,0,0.0387494,0,0,0,0,0,0,0.0164741,0.016352,0.00550801,0.00140101,0,0,0.0730824,0,0.0334591,0.0520963,0.0362012,0.0143662,0.0173961,0.00445367,0.00795992,0.0918366,0.00409861,0.00483169,0.00204087,0.0191986,0.0073997,0.005271,0.00616851,0.0267963,0.0225745,0.0632294,0.0157674,0.0414599,0.0101633,0.0148006,0.0136908,0.00769806,0.0260131,0,0,0.0347298,0,0.0274739,0.01401,0.0617082,0.0150013,0.0230091,0.0164113,0.0109526,0.0669613,0.00270596,0.0383653,0.00902414,0.010395,0.00787036,0.0203799,0.00327445,0.00706729,0.0129444,0.0364814,0.0194973,0.0153439,0.0341265,0.0291928,0,0,0,0,0
3,0.0408606,0,0,0,0,0.0395825,0,0,0,0,0,0,0.0161186,0.01652,0.00526664,0.0016001,0,0,0.0723413,0,0.0334389,0.0515648,0.0361157,0.0148991,0.0172914,0.00428235,0.00809387,0.0932962,0.0040759,0.00465841,0.00209196,0.0192677,0.00729342,0.00524194,0.0061331,0.026725,0.0213128,0.0634168,0.0154029,0.0415912,0.0105412,0.0148805,0.0138952,0.00798146,0.0267104,0,0,0.0347248,0,0.0271457,0.0142932,0.0615527,0.0151114,0.0229613,0.0166262,0.0111085,0.0670192,0.0026949,0.0381552,0.00911975,0.0105993,0.0079228,0.0204017,0.00332491,0.00720254,0.0132707,0.0364313,0.0191859,0.0155615,0.0348509,0.0301686,0,0,0,0,0
4,0.0418257,0,0,0,0,0.0402731,0,0,0,0,0,0,0.0153966,0.0165306,0.00521647,0.00163694,0,0,0.0714034,0,0.0332893,0.0510128,0.035999,0.0137468,0.0171919,0.00417776,0.00823774,0.0945668,0.0039207,0.00436463,0.00197011,0.0192364,0.00721396,0.00516969,0.00608713,0.0267679,0.0197546,0.0635126,0.0150677,0.0415979,0.0110091,0.0149085,0.0142258,0.00838513,0.0272374,0,0,0.0346704,0,0.0268461,0.0144733,0.0614295,0.0152956,0.0229185,0.0168218,0.0112283,0.0670049,0.00262622,0.0380004,0.00927011,0.010788,0.00797031,0.0204588,0.00339391,0.0072341,0.0135817,0.0361855,0.0190578,0.0157815,0.0357552,0.0309923,0,0,0,0,0
5,0.0426341,0,0,0,0,0.0408449,0,0,0,0,0,0,0.0147436,0.0162567,0.00556114,0.0015551,0,0,0.0713322,0,0.0333156,0.0508378,0.0360068,0.0130055,0.0170665,0.00396221,0.00839442,0.0962295,0.00373585,0.00379166,0.00174482,0.0190989,0.00710448,0.00507222,0.00598936,0.0268308,0.0181294,0.0638169,0.0147044,0.041426,0.011638,0.0149676,0.0145925,0.00839066,0.0276545,0,0,0.0347332,0,0.0266289,0.0146414,0.0614048,0.0154871,0.0228836,0.017052,0.0113435,0.0671397,0.00259593,0.0379552,0.00941245,0.010914,0.00805797,0.020717,0.00344806,0.00725344,0.0140637,0.0358848,0.0189806,0.0158706,0.036226,0.0316888,0,0,0,0,0
6,0.0427699,0,0,0,0,0.0405371,0,0,0,0,0,0,0.0144234,0.0148996,0.0058955,0.00151469,0,0,0.075873,0,0.0341461,0.0533412,0.0360744,0.0128179,0.0170144,0.00353503,0.00849138,0.0983805,0.00357513,0.00311154,0.00141076,0.0189817,0.00689076,0.00497342,0.00591685,0.02677,0.0167808,0.0657593,0.0148828,0.0406208,0.0121174,0.0152543,0.0149007,0.0084779,0.0279234,0,0,0.0344197,0,0.026452,0.0145923,0.0613243,0.0158175,0.022803,0.0172446,0.0113843,0.0672741,0.00257223,0.0379627,0.00943974,0.011006,0.00818884,0.0209634,0.00359808,0.0073463,0.0144672,0.0356324,0.0191165,0.0158092,0.0358362,0.0317671,0,0,0,0,0
7,0.0435969,0,0,0,0,0.0410616,0,0,0,0,0,0,0.0139035,0.0149729,0.00602118,0.00158923,0,0,0.0758508,0,0.0341216,0.0532785,0.0360836,0.012753,0.0169931,0.00333405,0.00869348,0.0993844,0.00324763,0.00258607,0.00110134,0.0188554,0.00674098,0.0049232,0.00590261,0.0267491,0.0155859,0.0658393,0.0148265,0.040443,0.0125059,0.0154566,0.0151848,0.00871358,0.0284372,0,0,0.0343937,0,0.0264115,0.0146997,0.0611956,0.0160001,0.022736,0.017384,0.0115272,0.0671581,0.00252722,0.0379745,0.00938766,0.0110676,0.00830866,0.0210923,0.00375553,0.00748612,0.0148146,0.0354533,0.0192057,0.0157582,0.0364349,0.0324089,0,0,0,0,0
8,0.0442507,0,0,0,0,0.0414406,0,0,0,0,0,0,0.013285,0.014986,0.00607753,0.00170875,0,0,0.0758596,0,0.0340584,0.0531803,0.0360265,0.0123612,0.0168305,0.00321302,0.00887747,0.100101,0.0031227,0.00223279,0.000903925,0.0187137,0.00657241,0.00483172,0.00592811,0.026697,0.0144411,0.0662317,0.0148191,0.0402461,0.0127522,0.0154434,0.0154822,0.00884099,0.0288332,0,0,0.0341147,0,0.0260092,0.0145145,0.0611159,0.0163264,0.0226002,0.0175265,0.0116018,0.0669005,0.00239885,0.0379826,0.00956708,0.0111915,0.00843857,0.0211958,0.00391761,0.00752781,0.0149178,0.0350845,0.0191987,0.0157238,0.0367424,0.0329842,0,0,0,0,0
