Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75
All Timesteps RMSE,0.0319729,0,0,0,0,0.0259331,0,0,0,0,0,0,0.0256153,0.0473713,0.014026,0.00492671,0,0,0.0321913,0,0.028698,0.0212011,0.0348454,0.0155609,0.0160667,0.00839217,0.0109476,0.045991,0.00623509,0.00785866,0.00588081,0.0181162,0.011726,0.0120723,0.00794945,0.0231383,0.0310215,0.0281724,0.0372248,0.0205814,0.0198206,0.0294373,0.0111249,0.0065118,0.0261749,0,0,0.0275053,0,0.0289687,0.0144121,0.0614392,0.0170285,0.0183849,0.0113934,0.0108057,0.0443228,0.00508939,0.036524,0.0101136,0.00940653,0.00991328,0.0143349,0.0103975,0.0172169,0.0261148,0.02523,0.0149806,0.0113962,0.0235249,0.0216722,0,0,0,0,0
0,0.00636737,0,0,0,0,0.00863612,0,0,0,0,0,0,0.0555376,0.0247253,0.0402838,0.0073279,0,0,0.0170941,0,0.0295588,0.0100534,0.0332785,0.0353037,0.021423,0.0104462,0.0154853,0.0345893,0.00977452,0.00900021,0.0106085,0.0262537,0.0136922,0.0153004,0.0214101,0.0172343,0.0524488,0.00935915,0.0173879,0.0278265,0.0209824,0.0145943,0.0110098,0.00865711,0.00756917,0,0,0.0131474,0,0.0259832,0.00886024,0.0623693,0.00842969,0.0250561,0.0128246,0.0154348,0.0384082,0.00246362,0.0389019,0.0100863,0.0107693,0.00915739,0.0222846,0.00770833,0.0118797,0.0241516,0.0176377,0.0318947,0.00922911,0.0115607,0.00705701,0,0,0,0,0
1,0.00624614,0,0,0,0,0.00852072,0,0,0,0,0,0,0.0550419,0.0245013,0.0400294,0.00704128,0,0,0.0167422,0,0.0294414,0.00990004,0.0333717,0.0348546,0.0215073,0.0102956,0.0151698,0.0345337,0.00984518,0.00900061,0.0106127,0.0262738,0.013683,0.0152347,0.0212597,0.0171861,0.0521507,0.00920843,0.0173163,0.0277963,0.0208199,0.0144863,0.0110074,0.00847343,0.00783923,0,0,0.0130106,0,0.0260003,0.00914758,0.0623117,0.00839601,0.0249951,0.0128523,0.0151602,0.0378529,0.00242999,0.0388649,0.00990845,0.010563,0.00915629,0.0222276,0.00766129,0.0118761,0.0238976,0.017457,0.0312002,0.00800497,0.0114406,0.00718196,0,0,0,0,0
2,0.00609,0,0,0,0,0.00843509,0,0,0,0,0,0,0.0545588,0.0244548,0.0395409,0.00681407,0,0,0.0163018,0,0.0293355,0.00975998,0.0334396,0.0343445,0.0214903,0.0101122,0.0148959,0.0346487,0.0098564,0.00894467,0.0105398,0.026239,0.0136295,0.0151642,0.0211072,0.0171629,0.0517089,0.00917946,0.0172904,0.0274039,0.0206567,0.0144327,0.0109864,0.00832205,0.00811022,0,0,0.0128808,0,0.0260684,0.0092639,0.0622829,0.00836768,0.0249415,0.0129116,0.0149373,0.0373656,0.00240724,0.0388891,0.00976779,0.0105576,0.0090762,0.022204,0.00759367,0.0117873,0.0236115,0.01726,0.0305619,0.00728497,0.0113583,0.00729915,0,0,0,0,0
3,0.00590824,0,0,0,0,0.00831984,0,0,0,0,0,0,0.0538559,0.0244579,0.0389474,0.00664151,0,0,0.015704,0,0.0292053,0.00966741,0.0334641,0.0337719,0.0213981,0.0101538,0.0145846,0.0348651,0.00983443,0.00889996,0.0104666,0.0261778,0.0134956,0.0150419,0.0208734,0.017126,0.0510516,0.00929918,0.017259,0.0268649,0.0204608,0.0144544,0.0109996,0.0081456,0.0083365,0,0,0.0128109,0,0.0261705,0.00930709,0.0622423,0.00831397,0.0248791,0.0130493,0.0147112,0.0369933,0.00237118,0.038905,0.00968449,0.0106264,0.00903487,0.0221939,0.00754441,0.0116631,0.0233682,0.0170744,0.0298294,0.00706542,0.0112699,0.0073681,0,0,0,0,0
4,0.00576858,0,0,0,0,0.00819026,0,0,0,0,0,0,0.0529084,0.0244706,0.0382875,0.00647335,0,0,0.0149901,0,0.0290944,0.00955049,0.0334076,0.0330712,0.0212024,0.0103868,0.0141943,0.0350943,0.00978987,0.00883398,0.0104116,0.0261108,0.0132719,0.0148053,0.0204988,0.0170638,0.0500664,0.00948051,0.0172137,0.026211,0.0204327,0.0145056,0.0110886,0.00788736,0.00855737,0,0,0.0127988,0,0.0263307,0.00931479,0.062184,0.00825915,0.0248283,0.0132271,0.014449,0.0366397,0.00234208,0.038917,0.00976014,0.0106907,0.00904302,0.0221873,0.00751831,0.011485,0.0232394,0.0169254,0.0289371,0.00659667,0.0111886,0.00744981,0,0,0,0,0
5,0.00571496,0,0,0,0,0.00809396,0,0,0,0,0,0,0.0517573,0.0245142,0.0374366,0.00619375,0,0,0.014374,0,0.0290514,0.00945907,0.0332712,0.0322106,0.0208326,0.0100272,0.0137142,0.0352019,0.00973821,0.00875015,0.010339,0.0260525,0.0129694,0.0144676,0.0200077,0.0169859,0.0488564,0.00951442,0.0171727,0.0255539,0.0204313,0.0145971,0.0112221,0.00759548,0.00881903,0,0,0.0127934,0,0.0265646,0.00935225,0.0620901,0.00823071,0.0247768,0.0134912,0.0140978,0.0361799,0.00232788,0.0389428,0.00991777,0.0107809,0.00916346,0.0221986,0.00747678,0.0114284,0.0231669,0.0167702,0.0280659,0.00589249,0.0111479,0.00758244,0,0,0,0,0
6,0.00590205,0,0,0,0,0.00795318,0,0,0,0,0,0,0.0503314,0.0245218,0.036283,0.00586574,0,0,0.0138905,0,0.0290479,0.00939838,0.033099,0.0311648,0.0203239,0.00968056,0.0129035,0.0349402,0.00968369,0.0086882,0.0102431,0.0260226,0.0125764,0.0140619,0.0193542,0.0169297,0.0472642,0.00977022,0.0172077,0.0247946,0.0206338,0.0146664,0.0115489,0.00704183,0.00910048,0,0,0.0127695,0,0.0268326,0.0092961,0.0618837,0.00828776,0.0247069,0.0140175,0.0134427,0.0355805,0.00244218,0.0390413,0.0102318,0.0109792,0.00936846,0.0222446,0.00741669,0.011376,0.0232228,0.016618,0.0270002,0.00514153,0.0111338,0.00778717,0,0,0,0,0
7,0.00723402,0,0,0,0,0.00797603,0,0,0,0,0,0,0.048417,0.0245314,0.0347123,0.00540814,0,0,0.0135906,0,0.0290844,0.00961263,0.0328915,0.0296168,0.019624,0.00963404,0.0116254,0.0334724,0.00967021,0.00866789,0.0101806,0.0261037,0.0119473,0.0134951,0.0183814,0.0169451,0.0451847,0.00991385,0.0172494,0.0238152,0.0211716,0.0146366,0.0121423,0.00620772,0.00987325,0,0,0.0125952,0,0.0271934,0.0091924,0.0615024,0.00854085,0.0246117,0.015107,0.0124422,0.0343761,0.00268163,0.0392759,0.0108527,0.0113525,0.00946057,0.0223912,0.00730777,0.0112367,0.0234513,0.0161902,0.0257638,0.00442356,0.0113041,0.00862316,0,0,0,0,0
8,0.00595285,0,0,0,0,0.00811213,0,0,0,0,0,0,0.0486172,0.0248962,0.0345249,0.00577845,0,0,0.0136211,0,0.0288831,0.00957621,0.0331242,0.0292534,0.0201796,0.00924338,0.0127677,0.035149,0.0095091,0.00852141,0.00990948,0.0258054,0.0122644,0.0137074,0.0185082,0.0168224,0.0458474,0.0102569,0.0173155,0.0247387,0.02006,0.0147695,0.0113618,0.00681352,0.00965124,0,0,0.0127182,0,0.026886,0.00976332,0.0620633,0.00824679,0.0246906,0.0140129,0.0133222,0.0349988,0.002406,0.0390959,0.0101481,0.0109838,0.00930021,0.0222528,0.00742235,0.011497,0.0226687,0.0162841,0.0270407,0.00515633,0.0112837,0.00818673,0,0,0,0,0
