Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75
All Timesteps RMSE,0.0263081,0,0,0,0,0.0369596,0,0,0,0,0,0,0.028637,0.0510851,0.0211159,0.0118451,0,0,0.0254231,0,0.0307485,0.018571,0.0432978,0.0252492,0.015182,0.013879,0.0365101,0.0476318,0.011877,0.0135261,0.0111173,0.0137811,0.0107145,0.0100001,0.0101962,0.0134197,0.0331889,0.0226789,0.043579,0.0180332,0.021101,0.0294762,0.0117115,0.0156662,0.0141256,0,0,0.0263289,0,0.033438,0.0200246,0.0609767,0.0147549,0.00928867,0.0141685,0.0331664,0.0349191,0.00793281,0.0348195,0.0116392,0.0107857,0.00972929,0.0106179,0.0100437,0.015367,0.0254306,0.0269122,0.0218715,0.0140385,0.0374505,0.0133552,0,0,0,0,0
0,0.00730434,0,0,0,0,0.0121698,0,0,0,0,0,0,0.0169979,0.0156157,0.0137389,0.00782314,0,0,0.0480238,0,0.0410026,0.0355458,0.0401505,0.01166,0.00928387,0.00357837,0.0152116,0.0235418,0.00687518,0.00542781,0.00384229,0.0173149,0.00476219,0.00545191,0.00687623,0.0170371,0.0174842,0.0232856,0.00434281,0.0200267,0.0126074,0.018888,0.00933197,0.00532596,0.0140919,0,0,0.031706,0,0.0521735,0.0333881,0.0591504,0.0102522,0.0130967,0.016928,0.0128643,0.055698,0.00381407,0.0411017,0.00918282,0.00979911,0.0105455,0.0188861,0.00912907,0.0144895,0.0124997,0.0183686,0.0461013,0.0279157,0.0146906,0.0121439,0,0,0,0,0
1,0.00945229,0,0,0,0,0.0116553,0,0,0,0,0,0,0.036521,0.0159649,0.0225568,0.00750743,0,0,0.0514553,0,0.042441,0.0378988,0.0398361,0.0193345,0.0101402,0.0164849,0.0104692,0.0270511,0.00416457,0.0099181,0.00729606,0.0192855,0.00480645,0.0069347,0.00753375,0.0145705,0.0376364,0.0278816,0.00363555,0.0199131,0.0136028,0.0131397,0.00994142,0.00358143,0.0125927,0,0,0.00505221,0,0.0495723,0.0219749,0.0591787,0.01111,0.0145345,0.017028,0.00916283,0.0646177,0.00451252,0.042204,0.00963609,0.0110263,0.0113258,0.0198219,0.00991217,0.0157355,0.0139776,0.0114597,0.043886,0.0277082,0.0133387,0.0112613,0,0,0,0,0
2,0.00959957,0,0,0,0,0.0120352,0,0,0,0,0,0,0.03592,0.0160067,0.0221907,0.00807773,0,0,0.051615,0,0.0427093,0.0381704,0.0400132,0.0193954,0.0102372,0.016215,0.0107995,0.0273396,0.00428394,0.0096396,0.00718972,0.019081,0.0047026,0.00682752,0.00743535,0.0145036,0.0369265,0.0281219,0.00377449,0.0191572,0.0135633,0.0125228,0.00983859,0.00361928,0.0119378,0,0,0.0054618,0,0.0498787,0.0225958,0.0592705,0.010926,0.0144,0.0169512,0.00948021,0.0657276,0.00458576,0.0423464,0.00961412,0.0112241,0.0113723,0.0199099,0.00994137,0.0157554,0.0140466,0.0108316,0.0441851,0.0275322,0.0139129,0.0108932,0,0,0,0,0
3,0.00890068,0,0,0,0,0.0114931,0,0,0,0,0,0,0.0350224,0.0162318,0.0218298,0.00813082,0,0,0.0518005,0,0.0428798,0.0384142,0.0401795,0.0193045,0.010116,0.0158361,0.0112502,0.0280613,0.00477101,0.00929999,0.00701801,0.0188611,0.00458132,0.00655397,0.00725605,0.0144336,0.0358942,0.0284281,0.00396218,0.0187348,0.013475,0.0128418,0.00974882,0.00373688,0.012525,0,0,0.00684846,0,0.0485009,0.0200233,0.0594934,0.0107399,0.0142566,0.0169817,0.0099246,0.0738454,0.00449046,0.0424391,0.00961019,0.0116154,0.0113047,0.0199753,0.00992534,0.0156021,0.0139928,0.0188002,0.0441676,0.0255355,0.0135433,0.0111563,0,0,0,0,0
4,0.00862793,0,0,0,0,0.0113007,0,0,0,0,0,0,0.0339813,0.0162583,0.0214074,0.00776295,0,0,0.052091,0,0.0428952,0.03858,0.0403618,0.0192632,0.00979565,0.0152672,0.0115955,0.028161,0.00445609,0.00890347,0.00677456,0.0186105,0.00443073,0.00616807,0.00712384,0.0143973,0.0347258,0.0286027,0.00426721,0.0182544,0.0132741,0.0129994,0.00961553,0.00368583,0.0125006,0,0,0.0101414,0,0.0479153,0.0200212,0.0595879,0.0105422,0.0139709,0.0169608,0.0102201,0.0759605,0.00421197,0.0424821,0.00952613,0.0118368,0.0112738,0.0199523,0.00987759,0.0155358,0.0138249,0.0217421,0.0430117,0.0244824,0.013474,0.0111033,0,0,0,0,0
5,0.00860525,0,0,0,0,0.0113626,0,0,0,0,0,0,0.0329705,0.0162364,0.0208704,0.00775669,0,0,0.0524597,0,0.0429111,0.0388066,0.0405904,0.0192529,0.00960791,0.0146213,0.0120515,0.0281158,0.00457054,0.00851444,0.00650732,0.0183528,0.00425887,0.00570978,0.00700056,0.014408,0.0335655,0.0288144,0.00455531,0.0179566,0.0129919,0.0130802,0.00944407,0.00366614,0.0121867,0,0,0.0128162,0,0.0473747,0.0199195,0.0595742,0.010252,0.0135736,0.0168588,0.0105839,0.0775831,0.00411267,0.0425509,0.00945284,0.0118097,0.0112052,0.0199689,0.00976538,0.0155141,0.0135741,0.0240907,0.0410654,0.0238798,0.0137101,0.010924,0,0,0,0,0
6,0.00866703,0,0,0,0,0.0114755,0,0,0,0,0,0,0.0318266,0.0160829,0.0204817,0.00796405,0,0,0.0529734,0,0.0427938,0.0390551,0.0407693,0.0191894,0.00945834,0.0138924,0.0126172,0.0278273,0.00531326,0.00817965,0.00622376,0.0180807,0.00406127,0.00522117,0.00685675,0.0144279,0.0323674,0.0291564,0.00485673,0.0177516,0.0127432,0.0135412,0.00926119,0.00381971,0.0120622,0,0,0.0163256,0,0.046714,0.0200145,0.0596903,0.00996859,0.0133462,0.0168267,0.0111139,0.0791782,0.00414303,0.0426498,0.00944741,0.0115695,0.0111822,0.0199719,0.00968285,0.0155018,0.0133595,0.0268254,0.0396056,0.0230843,0.0140409,0.0108443,0,0,0,0,0
7,0.0089551,0,0,0,0,0.0117363,0,0,0,0,0,0,0.0307401,0.0159392,0.0200648,0.00832449,0,0,0.0535921,0,0.0424094,0.0391949,0.0409386,0.0190912,0.00939453,0.0132334,0.0132653,0.0271971,0.00566402,0.00779086,0.00601884,0.0178284,0.00390564,0.00487135,0.00676594,0.0144353,0.0313465,0.0296177,0.00514899,0.0177071,0.0125563,0.0142075,0.00913782,0.00409604,0.012115,0,0,0.0200744,0,0.0459222,0.020461,0.0599917,0.00971446,0.013283,0.0168518,0.0117478,0.0805256,0.00418845,0.0427877,0.00949608,0.0109905,0.0112614,0.0199384,0.00962451,0.0153227,0.0131962,0.0302029,0.0382163,0.0222309,0.0144954,0.0108466,0,0,0,0,0
8,0.00992426,0,0,0,0,0.0124951,0,0,0,0,0,0,0.0298583,0.0158262,0.0196272,0.00880083,0,0,0.0541291,0,0.0420113,0.0390626,0.041098,0.0189385,0.0094779,0.0125666,0.0140523,0.0259934,0.00579759,0.00735891,0.00586514,0.0175882,0.00378814,0.00455499,0.00675196,0.0144364,0.0303894,0.0298423,0.00540249,0.0179518,0.0124627,0.0143275,0.00911168,0.00428782,0.0118788,0,0,0.0223235,0,0.0450672,0.0205068,0.060084,0.00951705,0.0129802,0.0168158,0.0124265,0.081117,0.00415696,0.0428603,0.00939827,0.0106044,0.0114346,0.0199698,0.00953959,0.0151238,0.0130339,0.0322129,0.037015,0.0217883,0.0154246,0.0107895,0,0,0,0,0
