Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75
All Timesteps RMSE,0.0367621,0,0,0,0,0.0578575,0,0,0,0,0,0,0.0307138,0.0456116,0.0208609,0.0276765,0,0,0.0358499,0,0.0323835,0.0264917,0.0417531,0.0265952,0.0164249,0.013686,0.0552783,0.0608893,0.0107538,0.013888,0.00969794,0.0165755,0.0109725,0.0120346,0.00920314,0.0153956,0.0375931,0.0344393,0.0385146,0.0210293,0.0240568,0.0301087,0.0131345,0.0322673,0.0400765,0,0,0.0169872,0,0.0369355,0.0120046,0.0572438,0.0177791,0.010941,0.0153953,0.0524852,0.0608095,0.00902993,0.0335232,0.013881,0.0118877,0.0104592,0.00946572,0.0110979,0.0174079,0.0289833,0.0290452,0.0173129,0.0133689,0.0599734,0.0305629,0,0,0,0,0
0,0.059515,0,0,0,0,0.0500439,0,0,0,0,0,0,0.0178703,0.0148787,0.0170099,0.0365344,0,0,0.0470151,0,0.0354333,0.0351308,0.0379721,0.0149163,0.0134764,0.0126604,0.0594507,0.0159923,0.00647428,0.0123878,0.00925788,0.022394,0.00676554,0.0102596,0.00877686,0.0175574,0.0174653,0.027846,0.0081389,0.0247549,0.0145047,0.0110517,0.00941217,0.0407055,0.0334143,0,0,0.0306718,0,0.0340848,0.0242315,0.0559859,0.00865724,0.00869674,0.0186408,0.0548806,0.0590921,0.00380213,0.0339625,0.00947831,0.00792344,0.0097212,0.0173789,0.0041961,0.00958006,0.0132023,0.00919623,0.0349979,0.012617,0.054563,0.0323656,0,0,0,0,0
1,0.0603488,0,0,0,0,0.0507195,0,0,0,0,0,0,0.017566,0.0150082,0.0167666,0.0367133,0,0,0.0433495,0,0.0360398,0.0327704,0.0379143,0.0145791,0.0137073,0.0127465,0.0597757,0.0191119,0.0067306,0.0126241,0.00929137,0.0223542,0.00682197,0.0103002,0.0087535,0.0176015,0.0171735,0.0273495,0.0078659,0.0237634,0.0144462,0.0112805,0.0094895,0.0410051,0.0343114,0,0,0.0291714,0,0.0330242,0.0221195,0.0550225,0.00881971,0.00909675,0.0190192,0.0551232,0.0574386,0.00323333,0.0336828,0.0101535,0.00856263,0.0100334,0.0175539,0.00420152,0.00964984,0.0132708,0.009069,0.0340895,0.0133574,0.0553957,0.0337176,0,0,0,0,0
2,0.0601093,0,0,0,0,0.0508103,0,0,0,0,0,0,0.0169776,0.0151491,0.0162489,0.0367826,0,0,0.0430449,0,0.0361821,0.0329611,0.0377784,0.0140577,0.0137501,0.0127796,0.0600404,0.0197676,0.00701038,0.0129205,0.00933742,0.0221999,0.00679605,0.0103253,0.00856392,0.0176425,0.016727,0.0275063,0.00859274,0.0234349,0.0142346,0.011298,0.0093773,0.0410678,0.034112,0,0,0.0283621,0,0.0328913,0.0214198,0.054751,0.00869445,0.00896125,0.0189284,0.0554572,0.0569373,0.00335737,0.0338968,0.0103026,0.00865268,0.010014,0.0175281,0.00413174,0.00954768,0.0131969,0.00883529,0.0333672,0.0135759,0.0555325,0.033584,0,0,0,0,0
3,0.0596466,0,0,0,0,0.0507272,0,0,0,0,0,0,0.0162003,0.0152546,0.0155201,0.036733,0,0,0.042778,0,0.0362678,0.0331001,0.0377554,0.0133807,0.013769,0.0128174,0.0600832,0.0207597,0.00729891,0.0131936,0.00934923,0.0220305,0.00670839,0.0103079,0.008322,0.0177282,0.0160361,0.0277546,0.0095516,0.0231626,0.01415,0.0112198,0.00929203,0.0410234,0.0339921,0,0,0.0277569,0,0.0326967,0.0208316,0.0549026,0.00858081,0.00881735,0.0187679,0.055572,0.0569133,0.00352418,0.0340401,0.0101116,0.00861564,0.0099493,0.0174834,0.00417852,0.009542,0.0131601,0.00870067,0.0322923,0.0136199,0.0553726,0.0334845,0,0,0,0,0
4,0.0587255,0,0,0,0,0.0503397,0,0,0,0,0,0,0.015659,0.0154827,0.0151526,0.0361941,0,0,0.0426928,0,0.0361802,0.0336106,0.0379933,0.0128074,0.013781,0.0127464,0.0593855,0.0218199,0.00745508,0.0131851,0.00926094,0.0220287,0.00668018,0.0102615,0.00817281,0.0178066,0.0154581,0.0280548,0.0105779,0.0229096,0.0142202,0.0111284,0.009318,0.0404059,0.0337414,0,0,0.0272669,0,0.0325092,0.0203205,0.0551639,0.00858654,0.00924154,0.0187719,0.0547524,0.056915,0.0035197,0.0339182,0.00987923,0.00852355,0.00995519,0.0174603,0.0042204,0.00962359,0.0132162,0.00888609,0.0313394,0.0134773,0.055064,0.0332668,0,0,0,0,0
5,0.0569974,0,0,0,0,0.0494371,0,0,0,0,0,0,0.0155985,0.0158644,0.015259,0.0348388,0,0,0.0426567,0,0.0361426,0.0341765,0.0381647,0.0124654,0.0135462,0.0124921,0.0573886,0.022887,0.00737912,0.0127308,0.00909206,0.0221461,0.00668817,0.0100751,0.00819802,0.0178951,0.0151422,0.0283626,0.0117025,0.0228068,0.0143335,0.0108732,0.00941497,0.0386881,0.0331723,0,0,0.0270868,0,0.0322005,0.0197805,0.0554833,0.00868227,0.0101741,0.0188893,0.0523825,0.0568876,0.0033848,0.0337575,0.00979988,0.0083513,0.00998923,0.0174104,0.00420719,0.00969395,0.0131831,0.00931154,0.0302501,0.0129549,0.0542163,0.0328441,0,0,0,0,0
6,0.0551369,0,0,0,0,0.0484943,0,0,0,0,0,0,0.015366,0.0164999,0.0150614,0.0335853,0,0,0.0423948,0,0.0361822,0.0344853,0.0385037,0.0120111,0.0131478,0.0123056,0.0557138,0.0238601,0.00725802,0.0124443,0.00894912,0.0220635,0.00674149,0.00999226,0.0082265,0.0178321,0.0147496,0.0286112,0.0132433,0.0226716,0.0142242,0.0108281,0.00935659,0.0372032,0.032836,0,0,0.0268701,0,0.0317753,0.0191198,0.0558969,0.00860861,0.0100907,0.0187439,0.0506737,0.0573743,0.00317348,0.0337593,0.00972778,0.00808077,0.00993314,0.0173181,0.00426851,0.00970714,0.0129825,0.0102872,0.0293748,0.0118936,0.0534606,0.0325239,0,0,0,0,0
7,0.0537696,0,0,0,0,0.0480011,0,0,0,0,0,0,0.0150287,0.0172485,0.0147038,0.0328953,0,0,0.0416596,0,0.036009,0.0345229,0.0390053,0.0114934,0.012716,0.0122737,0.0549427,0.0251367,0.0071388,0.0123164,0.00887997,0.0218411,0.00686919,0.0100037,0.0082368,0.0176615,0.0143088,0.0287095,0.0152647,0.022464,0.0139866,0.011229,0.00914735,0.0362822,0.0330754,0,0,0.0265526,0,0.03134,0.0186904,0.0563687,0.00838324,0.00921471,0.0184273,0.0500894,0.0584644,0.00292857,0.033748,0.00960218,0.00772409,0.00979282,0.0171821,0.00427753,0.0097162,0.0127471,0.0116392,0.0289474,0.0104399,0.0531476,0.0326669,0,0,0,0,0
8,0.0528314,0,0,0,0,0.0478756,0,0,0,0,0,0,0.014363,0.0181379,0.0144577,0.0324993,0,0,0.0404553,0,0.035618,0.0342049,0.0395633,0.0107974,0.0123777,0.0122537,0.0546386,0.0267377,0.00701919,0.0122934,0.008709,0.02148,0.00702236,0.0100571,0.00811149,0.0174143,0.0136119,0.0287268,0.0175101,0.0221311,0.013599,0.011854,0.00883566,0.035619,0.0339169,0,0,0.0263576,0,0.0307792,0.0184194,0.0568567,0.00809222,0.00817375,0.0180311,0.0500311,0.0600749,0.00285231,0.033622,0.00936332,0.00731189,0.00958081,0.0170323,0.00426181,0.00972285,0.0125236,0.01314,0.0290223,0.0099482,0.0531276,0.0333394,0,0,0,0,0
