Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70
All Timesteps RMSE,0.0142499,0.0325029,0.0446002,0.0114846,0.0240028,0.032172,0,0,0.0250829,0,0.0246741,0.0145426,0.0392073,0.0324369,0.0242213,0.0320911,0.0554865,0.0178528,0.0229658,0.0353016,0.0247384,0.0586765,0.0228769,0.0306335,0.0169863,0.015805,0.0595626,0.0197185,0.0107739,0.00861588,0.0263916,0.0173941,0.0200533,0.0303631,0.0105605,0,0,0.0371178,0,0.0193023,0.024313,0.0524954,0.0315755,0.019234,0.0166895,0.0501284,0.0176574,0.015388,0.0608917,0.0180806,0.0173905,0.0139616,0.0115304,0.0118564,0.0190638,0.0358552,0.0242489,0.0117372,0.00884722,0.0396311,0.0174044,0,0,0,0,0,0,0,0,0,0
0,0.00901908,0.0319738,0.0336409,0.0109408,0.00435207,0.029366,0,0,0.026913,0,0.0248176,0.0135216,0.0411102,0.0139836,0.025893,0.0270004,0.0556204,0.0159006,0.0196651,0.0267384,0.0225951,0.0563694,0.0197637,0.0217956,0.0124362,0.0113065,0.0479381,0.018274,0.0102935,0.0081652,0.0134487,0.0179089,0.0172198,0.0298293,0.00856986,0,0,0.0284635,0,0.0163956,0.0218772,0.0490662,0.0213219,0.0162013,0.0161126,0.046602,0.0207223,0.0183758,0.0658872,0.0204256,0.0224593,0.0103234,0.012588,0.00678082,0.0214957,0.0148869,0.0221603,0.0109714,0.0113399,0.0416828,0.0183442,0,0,0,0,0,0,0,0,0,0
1,0.0116284,0.0320374,0.0354228,0.0117347,0.00429958,0.0289811,0,0,0.0235809,0,0.0239987,0.0121971,0.0410164,0.0144018,0.0250069,0.027136,0.054189,0.0161646,0.020735,0.0278097,0.0223731,0.057572,0.0194956,0.0219454,0.0121782,0.0113411,0.0505169,0.0154083,0.0101592,0.00760838,0.0150356,0.0176227,0.0161067,0.0297113,0.00711592,0,0,0.0312258,0,0.0167946,0.0231961,0.048427,0.0231449,0.0160237,0.0165026,0.0455999,0.0211594,0.0188797,0.066643,0.0207403,0.0230577,0.00983206,0.0129827,0.00669081,0.0209025,0.0198642,0.0226758,0.00977336,0.0114131,0.0409798,0.0163007,0,0,0,0,0,0,0,0,0,0
2,0.0137338,0.0321067,0.036889,0.0116403,0.00435747,0.0294843,0,0,0.02371,0,0.0240353,0.0125379,0.0409661,0.0139965,0.0249022,0.0271272,0.0534191,0.0162766,0.0207384,0.0279953,0.0215373,0.0582939,0.0191082,0.0221886,0.0118761,0.0110182,0.0527695,0.0156519,0.0100942,0.00778297,0.0166097,0.0176805,0.0143,0.0302909,0.00681454,0,0,0.0315402,0,0.0169357,0.0230261,0.0483508,0.0253074,0.0158915,0.0166085,0.0452118,0.0210557,0.019245,0.0669801,0.0208973,0.0236507,0.00926921,0.0136794,0.0064102,0.0201915,0.0232561,0.0215076,0.00788853,0.010835,0.0408077,0.0152258,0,0,0,0,0,0,0,0,0,0
3,0.0152797,0.0324375,0.0379126,0.0114789,0.00493957,0.0298842,0,0,0.0243451,0,0.0239662,0.0130581,0.0408273,0.0131634,0.0248829,0.027262,0.053058,0.0162626,0.0202645,0.0280251,0.0206808,0.0580983,0.0189481,0.0225422,0.0118369,0.0106431,0.0541308,0.0163842,0.00996917,0.00805459,0.0185147,0.017563,0.0124716,0.0308399,0.00773138,0,0,0.0322716,0,0.0170447,0.0232034,0.0483812,0.0275538,0.0158236,0.0166767,0.0451228,0.0212697,0.0197537,0.0673534,0.0211879,0.0245822,0.00894929,0.0143493,0.00620262,0.0197397,0.0263925,0.0208949,0.0068901,0.0103151,0.040629,0.014549,0,0,0,0,0,0,0,0,0,0
4,0.0161735,0.0327159,0.0383054,0.0113083,0.00544133,0.0300379,0,0,0.0249922,0,0.0238733,0.0136087,0.0407344,0.0130419,0.0249106,0.0272323,0.0528905,0.0161048,0.0194848,0.0281096,0.01976,0.0579503,0.0190296,0.022881,0.0120044,0.0103894,0.054645,0.0171833,0.00988124,0.00830475,0.0200543,0.017355,0.0113328,0.0314039,0.00864916,0,0,0.0331354,0,0.0171586,0.0234348,0.0483426,0.0296058,0.0157835,0.0167099,0.0452283,0.0212475,0.0203493,0.0677539,0.0216023,0.0257659,0.00913949,0.0150607,0.00610983,0.0198088,0.0297961,0.0207948,0.00663404,0.00992905,0.0402966,0.0138876,0,0,0,0,0,0,0,0,0,0
5,0.016333,0.0329733,0.0377025,0.0110686,0.00548296,0.030153,0,0,0.0256616,0,0.023913,0.0139381,0.0407474,0.0131573,0.0248711,0.0271712,0.0528342,0.0160372,0.0186075,0.0281507,0.0191666,0.0576014,0.0192549,0.0230297,0.0120933,0.0102797,0.0539583,0.0179264,0.00984172,0.00847278,0.0214492,0.0171567,0.0114057,0.0320861,0.00902339,0,0,0.0341955,0,0.0173636,0.0237193,0.0483039,0.0310531,0.015826,0.0166797,0.0454751,0.0208238,0.0209569,0.0681449,0.0220149,0.0268041,0.00987478,0.0158384,0.00610412,0.0203346,0.0330396,0.0213298,0.00679696,0.0097087,0.0401281,0.0132341,0,0,0,0,0,0,0,0,0,0
6,0.0163543,0.0330781,0.0361672,0.0109182,0.00523129,0.0303187,0,0,0.0262286,0,0.0239503,0.0140567,0.0409437,0.0123359,0.0247709,0.0273061,0.0528068,0.0161294,0.0179584,0.028172,0.019019,0.057137,0.0194562,0.0228357,0.0119612,0.0102814,0.051962,0.0184784,0.00974974,0.00855348,0.0228931,0.0169372,0.012178,0.0326576,0.00921179,0,0,0.0354228,0,0.0176324,0.024083,0.0482163,0.0322532,0.0159013,0.016555,0.0457994,0.0203853,0.0214762,0.0684935,0.0223756,0.0275647,0.0110418,0.0166076,0.0063451,0.021344,0.0361261,0.022113,0.00715767,0.00971586,0.0401654,0.0128682,0,0,0,0,0,0,0,0,0,0
7,0.0163613,0.0329943,0.0345674,0.010895,0.00517584,0.030539,0,0,0.0265757,0,0.0239807,0.0140803,0.0412877,0.0120203,0.0246778,0.0272086,0.0526205,0.0163124,0.017623,0.0280778,0.0189935,0.0570478,0.0194864,0.0224478,0.0119194,0.0105414,0.0499163,0.0188153,0.00971389,0.00866532,0.0245084,0.0167976,0.013187,0.0330015,0.00933651,0,0,0.0364485,0,0.0178705,0.0243285,0.0480436,0.0334412,0.0159413,0.0162967,0.0460843,0.0198723,0.0218326,0.0686778,0.0226308,0.0280593,0.0124868,0.0173301,0.00691495,0.0228039,0.0390123,0.0227831,0.00746572,0.0096736,0.0403147,0.0129554,0,0,0,0,0,0,0,0,0,0
8,0.0163692,0.0330012,0.0329952,0.0109472,0.00481286,0.0307765,0,0,0.0267264,0,0.0238754,0.0140105,0.0416356,0.0123134,0.0245616,0.0270312,0.052347,0.0164649,0.0174896,0.0277779,0.0191438,0.0568371,0.0193974,0.0219861,0.0119992,0.0109502,0.0479457,0.0188808,0.00968537,0.00870844,0.0262,0.0166247,0.0141944,0.0331424,0.00931277,0,0,0.0374429,0,0.0180509,0.0245273,0.0478081,0.0346442,0.0159184,0.0159799,0.0462469,0.0193579,0.0220699,0.0688319,0.0228,0.0284122,0.0140481,0.0179243,0.00766514,0.0245365,0.0411948,0.0234654,0.00813226,0.00964604,0.0402387,0.0133096,0,0,0,0,0,0,0,0,0,0
