Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68
9,0.0135799,0.0259164,0.0332968,0.0127416,0.0218444,0.0124142,0,0,0.0185754,0,0.0229545,0.010948,0.0437694,0.0238849,0.0243934,0.0205209,0.0294012,0.0164905,0.00779652,0.0133458,0.0180164,0.0475864,0.0176077,0.0158602,0.0164952,0.0222435,0.0327586,0.0142687,0.0109013,0.00669145,0.0408936,0.0159982,0.0135727,0.0133258,0.00476482,0,0,0.0429142,0,0.0194785,0.0288083,0.056339,0.0393625,0.0178712,0.0145595,0.0274615,0.0166198,0.0151076,0.060576,0.0183953,0.0190087,0.0148401,0.0158598,0.00761516,0.0255379,0.0584759,0.0277062,0.00859713,0.0111619,0.028317,0.0077626,0,0,0,0,0,0,0,0
10,0.0137142,0.0262932,0.0352902,0.0127537,0.0226662,0.0125819,0,0,0.0182445,0,0.0229706,0.0108261,0.0437895,0.0245586,0.0242986,0.0211758,0.0298606,0.0165238,0.00784817,0.0135683,0.0182466,0.0473923,0.0177941,0.0158607,0.0165799,0.0224225,0.0352694,0.0141438,0.0109215,0.00676943,0.0400553,0.0157434,0.0135346,0.013268,0.00474181,0,0,0.0436601,0,0.0196863,0.0293158,0.0567223,0.0391009,0.0180025,0.0153782,0.0278596,0.0168187,0.0155501,0.0604551,0.019021,0.0191828,0.0138097,0.014974,0.00730265,0.0248423,0.0573956,0.0278651,0.0089049,0.0115187,0.0288466,0.00792068,0,0,0,0,0,0,0,0
11,0.0137234,0.0265126,0.0376881,0.0128256,0.0234812,0.0125262,0,0,0.0178052,0,0.0229237,0.010624,0.0437853,0.0252883,0.0241711,0.0217661,0.0299516,0.0165349,0.00788209,0.0137335,0.0187827,0.0471587,0.0179508,0.0157752,0.0165879,0.0225447,0.0379535,0.0138138,0.0108364,0.00674167,0.0384911,0.0155279,0.0136604,0.0132292,0.00469601,0,0,0.0444223,0,0.0199143,0.0298471,0.0566597,0.0387447,0.0179665,0.0162104,0.0280317,0.0170318,0.0158349,0.0601918,0.01952,0.0193141,0.0127516,0.0139445,0.00752091,0.0240054,0.0553222,0.0280695,0.00925871,0.0118614,0.0291033,0.00792196,0,0,0,0,0,0,0,0
12,0.0137236,0.0266919,0.0400938,0.0128335,0.0240962,0.0122291,0,0,0.0172986,0,0.0228913,0.0104176,0.0437871,0.0259177,0.0240257,0.0222966,0.0299029,0.0164675,0.00783047,0.0138393,0.0191851,0.0468367,0.0179931,0.0156273,0.0165486,0.0226107,0.0405535,0.0134282,0.0107997,0.00666843,0.0360737,0.0153089,0.0136862,0.0133957,0.00463799,0,0,0.0451493,0,0.0201507,0.0303352,0.0568401,0.0377476,0.0178022,0.0170238,0.0280739,0.0172506,0.0160415,0.0600409,0.019914,0.0193943,0.011725,0.0127106,0.00819522,0.0228672,0.0521727,0.0282381,0.00946538,0.0121916,0.0292116,0.00781271,0,0,0,0,0,0,0,0
13,0.0137964,0.0268287,0.0426931,0.0128719,0.0245988,0.0120868,0,0,0.0167472,0,0.0228762,0.010187,0.0437772,0.0264881,0.0238168,0.0227758,0.0298108,0.0163722,0.00769739,0.0141454,0.0194077,0.0464786,0.017966,0.0154141,0.0164674,0.0225883,0.0428935,0.0130304,0.0108146,0.00662795,0.0332466,0.0151141,0.0138273,0.0136982,0.00455296,0,0,0.0458155,0,0.0203918,0.0307983,0.0571282,0.0360184,0.0175111,0.0175055,0.0280035,0.0174402,0.0159991,0.0598791,0.019842,0.0191002,0.0107312,0.0113958,0.00852737,0.0213625,0.0482997,0.0283455,0.00968429,0.0125655,0.029328,0.00766686,0,0,0,0,0,0,0,0
14,0.0138841,0.0268967,0.0446703,0.0128693,0.0250088,0.0119798,0,0,0.0161212,0,0.0228029,0.00989219,0.0437948,0.0268712,0.0235021,0.0231683,0.0296943,0.0162243,0.00756918,0.0144512,0.0196169,0.0460891,0.0178551,0.0151213,0.0163194,0.0224424,0.0452037,0.0125978,0.0108111,0.00658828,0.0299025,0.0149547,0.0145421,0.0141022,0.00444468,0,0,0.0464212,0,0.020635,0.0312249,0.0573485,0.0341515,0.0170918,0.0174708,0.0278238,0.017653,0.0155196,0.0596006,0.0190667,0.0182209,0.00993677,0.0101427,0.0087161,0.0196112,0.0437627,0.0284078,0.00988209,0.0128749,0.0294658,0.00751727,0,0,0,0,0,0,0,0
15,0.0139771,0.0269663,0.045884,0.0128723,0.025326,0.0118608,0,0,0.015502,0,0.0227041,0.00960827,0.0438398,0.0270384,0.0231515,0.0234053,0.0296092,0.0159652,0.00763783,0.0146278,0.0198018,0.0457119,0.017668,0.0146675,0.016088,0.0222068,0.0474127,0.0121732,0.0107674,0.00652371,0.0261374,0.0147878,0.0156532,0.0145514,0.00434368,0,0,0.0470388,0,0.0208684,0.0316174,0.057493,0.0328516,0.0165745,0.016923,0.027572,0.0178901,0.0146475,0.0592153,0.0176394,0.0167782,0.00928022,0.00917617,0.00882657,0.017465,0.0387749,0.028445,0.0100698,0.0130725,0.0296278,0.00734192,0,0,0,0,0,0,0,0
16,0.0143687,0.0273058,0.0470575,0.0130259,0.0255147,0.011684,0,0,0.0147476,0,0.0226149,0.00924321,0.0438302,0.027171,0.0227411,0.0235914,0.0296745,0.0156966,0.00775316,0.0146887,0.0199816,0.0454077,0.0174727,0.0142695,0.0158803,0.0219055,0.0492082,0.0116693,0.0106874,0.0064379,0.0221643,0.0144779,0.0170156,0.0151025,0.00468201,0,0,0.0481133,0,0.0212831,0.0323061,0.057534,0.0320301,0.0160569,0.016068,0.027415,0.0184001,0.0135711,0.0588266,0.0159065,0.0150046,0.00887342,0.00861339,0.00904253,0.0150645,0.0332988,0.0285644,0.010348,0.0134787,0.0299445,0.00715674,0,0,0,0,0,0,0,0
17,0.0144351,0.0274383,0.0485992,0.0130687,0.0255537,0.0115656,0,0,0.0144052,0,0.0225415,0.00905136,0.0439702,0.0272517,0.0223642,0.0236034,0.0296749,0.0155819,0.0076955,0.0144308,0.0201049,0.0450194,0.0170798,0.0137488,0.0155099,0.0214167,0.05085,0.0114473,0.0106189,0.00640443,0.0186,0.0143415,0.0183457,0.0156818,0.00464158,0,0,0.0485316,0,0.0215043,0.032509,0.0575381,0.0317146,0.0155182,0.0151714,0.0271219,0.0185913,0.0126608,0.0583733,0.0142585,0.0132747,0.00861325,0.00852171,0.00924048,0.0129413,0.0276024,0.0284905,0.0104892,0.0136165,0.0300964,0.00694991,0,0,0,0,0,0,0,0
18,0.0144388,0.0275673,0.0500483,0.0130875,0.0255401,0.0114678,0,0,0.0141611,0,0.0225063,0.0089848,0.0441415,0.027321,0.0219449,0.0234448,0.0297609,0.0155819,0.00747317,0.0139059,0.0201243,0.0446012,0.0165953,0.0131326,0.0150361,0.0208917,0.0522654,0.0112665,0.010583,0.00641638,0.0166815,0.0141828,0.0194955,0.0162221,0.00462566,0,0,0.048964,0,0.0217763,0.0327882,0.0574503,0.0316902,0.0150343,0.0147123,0.0268429,0.0188111,0.0126352,0.0579965,0.0134205,0.0124106,0.00846142,0.00873206,0.00941932,0.0112466,0.022867,0.0285186,0.0107135,0.0138082,0.0303767,0.00676349,0,0,0,0,0,0,0,0
