Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,LHEE
38,0.0184465,0.027046,0.0824591,0.0125973,0.0335022,0.028015,0,0,0.0276625,0,0.0239338,0.0111585,0.0404679,0.0203664,0.0187261,0.0427716,0.0290444,0.0181657,0.0274499,0.0126372,0.0570989,0.0179169,0.0327946,0.0150661,0.0164265,0.104107,0.0274696,0.0103382,0.00702765,0.0134207,0.0162517,0.00689735,0.0241861,0.0189334,0,0,0.0383358,0,0.0179654,0.0258352,0.0599828,0.00794828,0.0187968,0.00923816,0.0393091,0.0161277,0.00460692,0.0496532,0.008305,0.00542529,0.00937542,0.0112959,0.00762493,0.00798272,0.0152712,0.0239217,0.00679417,0.0112409,0.0339411,0.0258305,0,0,0,0,0,0,0,0.0434776
39,0.0186503,0.0272507,0.0800697,0.0124841,0.0321096,0.0278846,0,0,0.0280181,0,0.0241049,0.0112167,0.0408728,0.0204311,0.017846,0.0430169,0.0287494,0.0173147,0.0254238,0.0125106,0.0565095,0.0168561,0.0313243,0.0146053,0.0162048,0.100789,0.0275156,0.0104203,0.00702807,0.0142894,0.0163106,0.00753516,0.0240268,0.0191182,0,0,0.0378454,0,0.0178567,0.0257245,0.0599249,0.00827297,0.0188444,0.00966948,0.0391384,0.0166408,0.0048835,0.0495864,0.0085227,0.00600277,0.00966734,0.0110498,0.00769276,0.00828454,0.0158069,0.0239584,0.00708431,0.0112473,0.034078,0.0257616,0,0,0,0,0,0,0,0.0419195
40,0.0188909,0.0273964,0.0772906,0.012337,0.0305587,0.0274972,0,0,0.0285828,0,0.0242679,0.0112472,0.0410434,0.0208005,0.0170839,0.0429627,0.0285627,0.0162797,0.0237183,0.0122649,0.0558872,0.0158379,0.0299469,0.0141693,0.0159423,0.096848,0.0275559,0.0105015,0.00702826,0.0154239,0.0163409,0.00804075,0.0236584,0.019323,0,0,0.0373043,0,0.0177669,0.0255855,0.0599118,0.00852644,0.0188794,0.0099307,0.0387568,0.0171343,0.00515139,0.049491,0.00878737,0.00661372,0.0100882,0.0108449,0.00780086,0.00869164,0.0167172,0.0238998,0.00738426,0.0113287,0.0339843,0.0256521,0,0,0,0,0,0,0,0.0399679
41,0.0191115,0.0274796,0.0738743,0.0122045,0.0290121,0.0268257,0,0,0.0290916,0,0.0244444,0.0114197,0.0413672,0.0210525,0.0165335,0.0428049,0.0283776,0.0152164,0.0219767,0.0120128,0.0553224,0.0148084,0.0283941,0.0138627,0.0157068,0.0921347,0.0275916,0.0105475,0.00708309,0.0167603,0.0163935,0.00853767,0.023225,0.0195133,0,0,0.0367577,0,0.0177015,0.0254511,0.0598945,0.00883193,0.0188581,0.0102452,0.0383672,0.017636,0.00541806,0.0494193,0.00904531,0.00720634,0.0105623,0.010702,0.00790828,0.00914755,0.0179421,0.0238874,0.00771738,0.0113899,0.0339007,0.025489,0,0,0,0,0,0,0,0.037715
42,0.019197,0.0276036,0.0696369,0.0121361,0.0274307,0.0264371,0,0,0.0294998,0,0.0245807,0.0115977,0.041737,0.0211585,0.0161134,0.0428372,0.0280717,0.0141769,0.0201253,0.0116408,0.0546242,0.0138941,0.0266777,0.0136046,0.0155235,0.0863971,0.0276334,0.0105347,0.00711706,0.0181817,0.0164444,0.0091025,0.022856,0.0195951,0,0,0.0361261,0,0.017617,0.0252412,0.0598097,0.00918136,0.0188341,0.0105699,0.0380797,0.0181465,0.00569522,0.0493791,0.00924389,0.00767836,0.010875,0.0105844,0.00798191,0.00953526,0.0193153,0.0238477,0.00800709,0.0114556,0.0340047,0.0252961,0,0,0,0,0,0,0,0.0353539
43,0.0192067,0.0277658,0.0644998,0.0121041,0.0257729,0.0263546,0,0,0.0299438,0,0.0247017,0.0117883,0.0422902,0.0211411,0.0155873,0.0429866,0.0276652,0.0131926,0.0182728,0.011213,0.0538992,0.013442,0.0248598,0.0134567,0.0153614,0.0795862,0.0277126,0.0104905,0.00715587,0.0196253,0.016499,0.00963458,0.0226098,0.0196143,0,0,0.0354125,0,0.0175307,0.0249339,0.0596933,0.00949967,0.0188189,0.0108818,0.0379093,0.0186085,0.00600134,0.0493274,0.00935643,0.00804787,0.0110583,0.0104381,0.00814806,0.00983215,0.0208818,0.0237058,0.00828393,0.0115736,0.0341751,0.0251537,0,0,0,0,0,0,0,0.0328252
44,0.0191436,0.0278605,0.0584476,0.0120263,0.0240991,0.0263016,0,0,0.030257,0,0.024822,0.0118747,0.0427418,0.0212689,0.0148949,0.0430375,0.0271139,0.0122244,0.0166112,0.0107271,0.0531138,0.0132701,0.0231835,0.0133494,0.0153071,0.0716275,0.0277368,0.0104442,0.00720335,0.0208578,0.0165675,0.0100181,0.0222682,0.0195638,0,0,0.0346628,0,0.0174473,0.0245331,0.059594,0.0098579,0.0188561,0.011235,0.0376828,0.0189717,0.00631868,0.0492431,0.00949447,0.00846578,0.0112864,0.0103849,0.00825265,0.0101868,0.0224741,0.0235362,0.00848339,0.0115655,0.0343204,0.0249735,0,0,0,0,0,0,0,0.0304237
45,0.0190252,0.0279245,0.0513347,0.0119643,0.0224403,0.0262753,0,0,0.0304042,0,0.0249259,0.0119075,0.0431901,0.0214003,0.0142907,0.0430042,0.02651,0.0112303,0.0149605,0.0102426,0.052418,0.0133241,0.0213903,0.0132534,0.0153543,0.0621913,0.027628,0.0104181,0.00723289,0.0218423,0.016675,0.0103472,0.0219616,0.0194904,0,0,0.0338142,0,0.0173782,0.0241487,0.0594788,0.0100951,0.0189091,0.0116079,0.0375315,0.0192569,0.00665844,0.0491508,0.00968046,0.00894826,0.0114526,0.0105477,0.00819778,0.0104849,0.023753,0.0233932,0.00859642,0.0114999,0.0345156,0.02483,0,0,0,0,0,0,0,0.0277329
46,0.0189157,0.0280022,0.043314,0.0119184,0.0208809,0.0262657,0,0,0.0305325,0,0.025043,0.0120086,0.0436697,0.0215361,0.0139517,0.0429196,0.026041,0.0105135,0.013458,0.00985838,0.0517311,0.0135798,0.0196817,0.0131841,0.0155957,0.0517451,0.0275695,0.010411,0.00729641,0.0225892,0.0167756,0.0106888,0.0216892,0.0194643,0,0,0.0329242,0,0.0173096,0.0237626,0.0593802,0.0101282,0.0188915,0.0119582,0.0374146,0.0194857,0.00707357,0.0490728,0.00993219,0.00950033,0.0115681,0.0108933,0.00803025,0.0108274,0.0247906,0.0232263,0.00876994,0.011449,0.0346039,0.0247743,0,0,0,0,0,0,0,0.0254354
47,0.0188131,0.0280992,0.0351285,0.0119442,0.0195834,0.0263355,0,0,0.0306168,0,0.0251917,0.0121307,0.044283,0.0217045,0.013796,0.0427643,0.0256445,0.0101987,0.0123934,0.00979121,0.0511149,0.0140203,0.0182369,0.0131262,0.0160826,0.0411957,0.0275064,0.0104055,0.00738255,0.0237019,0.0168347,0.0110091,0.0214982,0.0194428,0,0,0.0319106,0,0.0171613,0.0232976,0.0595106,0.01058,0.0187224,0.0122745,0.0372766,0.0196833,0.00765212,0.0489217,0.0102379,0.0102718,0.01183,0.0108776,0.00817052,0.0113339,0.0259245,0.0229237,0.00877731,0.0113456,0.0346196,0.0247524,0,0,0,0,0,0,0,0.024096
