Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,LHEE
58,0.0201833,0.0298134,0.0461661,0.010133,0.0404351,0.025489,0,0,0.0357873,0,0.028557,0.0162951,0.0452967,0.0206826,0.0305846,0.0426595,0.0271382,0.0303433,0.0317775,0.0301499,0.056902,0.0208027,0.0217955,0.0206089,0.0162217,0.0498383,0.0310046,0.0103398,0.00849423,0.0279519,0.0164888,0.0119212,0.0200662,0.0210185,0,0,0.0297799,0,0.01668,0.023164,0.0601145,0.0146568,0.016389,0.0114548,0.0402898,0.0235232,0.0111237,0.0454561,0.00956408,0.0145406,0.0111833,0.0148134,0.00758515,0.0129108,0.0311668,0.0249972,0.0101562,0.0128837,0.0364107,0.0239607,0,0,0,0,0,0,0,0.0537021
59,0.02043,0.0301423,0.0350974,0.00996933,0.0310219,0.024884,0,0,0.0368395,0,0.0289606,0.0169932,0.045636,0.0205203,0.0289235,0.0428081,0.0275707,0.0286361,0.0297561,0.0278143,0.0555793,0.0187731,0.0189369,0.0151537,0.0157768,0.0368457,0.0316193,0.0102801,0.00870263,0.0276577,0.0162565,0.0124203,0.0196814,0.0212954,0,0,0.0306591,0,0.0167008,0.0236487,0.0600347,0.0161046,0.0165633,0.0111275,0.0398625,0.024095,0.0109642,0.0456791,0.00913085,0.0142455,0.0111153,0.0147275,0.00793531,0.0132384,0.0310392,0.0256881,0.0106031,0.0133448,0.0366419,0.0238899,0,0,0,0,0,0,0,0.0425514
60,0.0203982,0.0304287,0.0252557,0.00981672,0.0232285,0.02453,0,0,0.0373966,0,0.029227,0.0174596,0.0459608,0.0203709,0.026497,0.0429947,0.0276894,0.0267802,0.0274111,0.0250973,0.0542699,0.0169686,0.0165778,0.0110597,0.0167696,0.0243448,0.0320084,0.0101862,0.00892739,0.0276436,0.0160646,0.0131583,0.0194589,0.0213727,0,0,0.0314745,0,0.0167356,0.0240447,0.0598663,0.0177183,0.0167963,0.010696,0.0394813,0.0244886,0.0105077,0.0458988,0.00857567,0.0135235,0.0109141,0.014565,0.00824158,0.0132686,0.0311498,0.0262633,0.0110223,0.0137054,0.0368416,0.0237522,0,0,0,0,0,0,0,0.0328376
61,0.0201058,0.0306224,0.0232532,0.00971006,0.0217254,0.0245612,0,0,0.037471,0,0.0293596,0.0176182,0.0462073,0.0202091,0.0235058,0.0432024,0.0274601,0.0250138,0.0250614,0.0221305,0.0531304,0.0166058,0.0161813,0.0113347,0.0165369,0.0229205,0.0319933,0.0101183,0.00904167,0.0277934,0.0159402,0.0142547,0.0194236,0.0211617,0,0,0.0320772,0,0.0167905,0.024321,0.0596212,0.0192349,0.0169847,0.0101047,0.0391828,0.0246654,0.00978994,0.0460286,0.00794499,0.0126107,0.010625,0.014274,0.00853105,0.0129097,0.0314442,0.0266154,0.0113695,0.013978,0.0369491,0.0236347,0,0,0,0,0,0,0,0.0302543
62,0.0195424,0.0307644,0.0221096,0.00969503,0.0200104,0.0247108,0,0,0.0371946,0,0.029422,0.0176194,0.0462187,0.0200204,0.0207346,0.0435535,0.0268784,0.0236262,0.0234181,0.0193635,0.0521639,0.0164292,0.0158268,0.0115069,0.0165706,0.0223205,0.0318872,0.0100898,0.00905778,0.0278732,0.0158366,0.0156055,0.0195097,0.0206389,0,0,0.0326393,0,0.016851,0.0245753,0.059408,0.0206658,0.0171481,0.00928482,0.0389357,0.0246444,0.0088738,0.0461534,0.00726347,0.0115084,0.0102648,0.0138591,0.00881259,0.0123628,0.031875,0.0268811,0.0116871,0.014206,0.036978,0.023367,0,0,0,0,0,0,0,0.0275597
63,0.0186719,0.0308911,0.0214576,0.00971723,0.0184386,0.0249572,0,0,0.0366993,0,0.02941,0.0176595,0.0461447,0.0198871,0.0192053,0.0441011,0.0259186,0.022672,0.0225444,0.0176987,0.0514494,0.0157889,0.0150669,0.0115217,0.016882,0.0231044,0.0315541,0.0100913,0.009075,0.0279362,0.0157262,0.0173611,0.0197617,0.0197634,0,0,0.0334142,0,0.0169207,0.0249286,0.0591896,0.0222203,0.0172242,0.0080945,0.0388539,0.0244993,0.00785645,0.0463053,0.00649888,0.0101363,0.00981832,0.0134904,0.00897753,0.0116097,0.0323293,0.0271823,0.0119005,0.0143917,0.0369856,0.0227685,0,0,0,0,0,0,0,0.0251021
64,0.0176308,0.0310209,0.0199086,0.00975935,0.0174802,0.0251013,0,0,0.036255,0,0.0293391,0.0178621,0.0457582,0.0197244,0.0194942,0.0447451,0.0247256,0.0223233,0.0227264,0.0174696,0.0508228,0.0143051,0.0138579,0.0114412,0.0166687,0.0242751,0.0312086,0.0100883,0.0091522,0.0279436,0.0155747,0.0195364,0.0202463,0.0185717,0,0,0.0346587,0,0.0170396,0.0255314,0.0589191,0.0239761,0.0171791,0.00658614,0.0389798,0.0243314,0.00681153,0.0465572,0.00551436,0.00830515,0.00908894,0.0133137,0.00898911,0.0106343,0.0324854,0.0276574,0.0121085,0.014619,0.0370496,0.0218444,0,0,0,0,0,0,0,0.0210209
65,0.016346,0.031114,0.0175485,0.0096758,0.0156767,0.025139,0,0,0.0358459,0,0.0291486,0.0181138,0.0450482,0.0194636,0.0210914,0.0453659,0.0232928,0.0226855,0.0240645,0.0184488,0.0502772,0.0130079,0.0139944,0.0118874,0.0149074,0.0242035,0.0308034,0.0100171,0.00928021,0.0275383,0.0152933,0.0221122,0.0211053,0.016947,0,0,0.0365812,0,0.0171548,0.0264485,0.058607,0.0258308,0.0170666,0.00511125,0.0394173,0.0242325,0.0058163,0.0470261,0.00439194,0.00626449,0.00792381,0.0134774,0.00873417,0.00920713,0.0320846,0.0284211,0.012234,0.0149642,0.0373073,0.0205175,0,0,0,0,0,0,0,0.0144701
66,0.0147801,0.0309683,0.0184489,0.00963189,0.0117452,0.0251873,0,0,0.0353783,0,0.028895,0.0183274,0.0443987,0.0191273,0.0219956,0.0458296,0.0217433,0.0234409,0.0261479,0.0198814,0.0502475,0.0137218,0.0159065,0.0130721,0.0121977,0.0259776,0.0302969,0.0099209,0.00941029,0.0269808,0.0149671,0.0248891,0.0223168,0.0151801,0,0,0.03883,0,0.0173296,0.0275314,0.0582724,0.0273033,0.017009,0.00414431,0.0400506,0.0240472,0.00520661,0.0477076,0.00337779,0.0048934,0.00667372,0.0138703,0.00829968,0.00796771,0.03133,0.0293019,0.0124743,0.0153314,0.0375391,0.0187726,0,0,0,0,0,0,0,0.00873865
67,0.0133764,0.0304461,0.0226439,0.0096509,0.00822364,0.0253648,0,0,0.0346028,0,0.0285476,0.0184131,0.0443295,0.0190041,0.0210159,0.0461692,0.0201353,0.0240441,0.0275381,0.0207742,0.0511087,0.0150222,0.0166501,0.0135486,0.0104089,0.0309211,0.0295867,0.00987809,0.00944951,0.0262953,0.0146276,0.0272785,0.0239647,0.0135642,0,0,0.0407487,0,0.0174842,0.0283731,0.0579997,0.0280701,0.0169103,0.00371086,0.0408458,0.023531,0.00524596,0.048487,0.00263602,0.00513007,0.00611551,0.0141583,0.00784582,0.00824133,0.030571,0.0297444,0.0126492,0.0155191,0.037496,0.0166713,0,0,0,0,0,0,0,0.00670856
68,0.0121632,0.0295921,0.0261208,0.00975861,0.00620635,0.0256345,0,0,0.0334903,0,0.0281328,0.0182973,0.0447493,0.0192217,0.0196485,0.0464168,0.0186856,0.0237753,0.0267906,0.0203095,0.0520879,0.0153323,0.0165436,0.0132448,0.0101059,0.0358846,0.0285892,0.00992131,0.00932253,0.0256277,0.0143661,0.0289551,0.0258294,0.0123826,0,0,0.0419273,0,0.0176719,0.028749,0.0578309,0.0278069,0.0169127,0.00360861,0.0415856,0.0225568,0.00549069,0.0493189,0.00223268,0.00622819,0.00638944,0.0141784,0.00761461,0.00961409,0.0294297,0.0296639,0.0127082,0.0154265,0.0370094,0.014484,0,0,0,0,0,0,0,0.00801391
69,0.0110353,0.0286577,0.0278111,0.00987045,0.0058269,0.0259633,0,0,0.032101,0,0.0277,0.018,0.0449894,0.019551,0.018464,0.046757,0.0174832,0.0214779,0.0237793,0.0185597,0.0519495,0.0149693,0.0165041,0.0128008,0.0107846,0.0393388,0.0274064,0.010072,0.00902579,0.0248913,0.0142341,0.0298907,0.0276722,0.0117066,0,0,0.0424168,0,0.0179135,0.0286834,0.0577076,0.0265777,0.0170841,0.00402001,0.0420885,0.0213066,0.00553887,0.0502888,0.00227725,0.00724526,0.00679577,0.0141224,0.00762505,0.0107825,0.0275201,0.0293437,0.0126531,0.0150853,0.036214,0.0126536,0,0,0,0,0,0,0,0.0102593
70,0.0101347,0.0278178,0.0295989,0.00994752,0.00651016,0.0262465,0,0,0.030724,0,0.0273247,0.0175941,0.0449475,0.0197384,0.0170406,0.0472634,0.0165232,0.0172283,0.0197591,0.0162173,0.0505612,0.0144108,0.016458,0.0124428,0.0119369,0.0425354,0.0262006,0.0103116,0.00864188,0.0234866,0.0141642,0.03018,0.0293225,0.0113284,0,0,0.0426205,0,0.0181889,0.0284082,0.0575248,0.0248011,0.0173511,0.00493858,0.042217,0.0199717,0.00545042,0.0513959,0.00290786,0.00785343,0.0069074,0.0142312,0.00763345,0.0112512,0.0246854,0.0290098,0.0122834,0.0146554,0.0352968,0.011942,0,0,0,0,0,0,0,0.0131953
71,0.00941683,0.0270186,0.0315559,0.0101065,0.00688989,0.0264011,0,0,0.029558,0,0.027049,0.0170875,0.0449618,0.019727,0.0156584,0.0476828,0.0158178,0.0140381,0.0167331,0.0142241,0.048919,0.0140446,0.0163966,0.0122579,0.0130424,0.0455394,0.0250846,0.0105701,0.00823422,0.0213152,0.0142083,0.0298068,0.030591,0.0111997,0,0,0.0426279,0,0.0184436,0.0278936,0.0572943,0.022678,0.0176684,0.00609167,0.041968,0.0186376,0.00536213,0.0524744,0.00394971,0.00843935,0.00682103,0.0144333,0.00761353,0.0111537,0.0210136,0.0286063,0.0114862,0.0140485,0.0343799,0.0125895,0,0,0,0,0,0,0,0.0155555
72,0.0088707,0.0260963,0.0329108,0.0104158,0.00645019,0.0265812,0,0,0.028667,0,0.0267706,0.0165173,0.0452956,0.0196337,0.0144352,0.0478819,0.0153584,0.0134154,0.0158201,0.0132047,0.0479356,0.0136978,0.0162572,0.0123164,0.0138212,0.0477475,0.0241754,0.0107629,0.00786549,0.019379,0.0143359,0.0289631,0.031472,0.0112927,0,0,0.0423858,0,0.0185647,0.0270883,0.0570996,0.0204655,0.017969,0.00719576,0.0414769,0.0172861,0.00579641,0.0534272,0.00514574,0.00914627,0.00668472,0.0146067,0.00761381,0.0108539,0.016958,0.0279597,0.0102332,0.0132442,0.0335239,0.0139098,0,0,0,0,0,0,0,0.0165037
73,0.00844348,0.0250689,0.03407,0.01075,0.00562414,0.0268829,0,0,0.0279667,0,0.026427,0.0160163,0.0457867,0.0194341,0.0134324,0.0477223,0.0150985,0.0142835,0.016447,0.0130044,0.0476419,0.0130964,0.0157218,0.0124237,0.0141808,0.0496498,0.0234745,0.0108627,0.00754571,0.0183267,0.0145828,0.0278341,0.032025,0.0116253,0,0,0.0421454,0,0.0186733,0.0262777,0.0568871,0.0179506,0.018235,0.0080454,0.0408467,0.0159729,0.00679556,0.0542301,0.00619982,0.0100738,0.00645704,0.01471,0.00756057,0.0104859,0.0130101,0.0272808,0.00899266,0.0123293,0.032825,0.0152387,0,0,0,0,0,0,0,0.0167437
74,0.00816824,0.0241178,0.0354435,0.010975,0.00507358,0.0268085,0,0,0.027318,0,0.0261523,0.0156238,0.0462364,0.0191487,0.0128597,0.0472778,0.0149881,0.0149509,0.0170254,0.0129631,0.0476284,0.0124015,0.0152365,0.0123514,0.0141755,0.0517648,0.0229031,0.010945,0.00729761,0.0180151,0.0148907,0.0262797,0.0325857,0.0121224,0,0,0.0421477,0,0.0188033,0.0257505,0.0566178,0.0153298,0.0184353,0.0085745,0.0401731,0.0148034,0.00775116,0.0548913,0.0069861,0.0111365,0.00616914,0.0147311,0.00750712,0.0100387,0.0109225,0.0267258,0.00752586,0.011475,0.0322982,0.0163406,0,0,0,0,0,0,0,0.0168883
75,0.00805453,0.0233506,0.0373271,0.011168,0.00515276,0.0263799,0,0,0.0269027,0,0.0259121,0.0154088,0.0465346,0.018914,0.0127378,0.0467304,0.0150336,0.0152055,0.0173348,0.0126869,0.0476524,0.0119975,0.0153125,0.012138,0.0139952,0.0543324,0.022423,0.0110066,0.00715092,0.0177424,0.0151014,0.0246877,0.0332109,0.0125588,0,0,0.042448,0,0.0189465,0.0256017,0.0563054,0.0128408,0.0186291,0.00877466,0.0394489,0.0138432,0.0084976,0.0553724,0.00745417,0.0123162,0.00581859,0.0146756,0.007536,0.00960102,0.0125158,0.0264358,0.00636385,0.0107981,0.0319221,0.0172603,0,0,0,0,0,0,0,0.0171818
76,0.00791969,0.0228315,0.0394822,0.01129,0.00583702,0.0262142,0,0,0.0267315,0,0.0257083,0.0152884,0.0466778,0.0188452,0.0131156,0.045921,0.0151149,0.0152408,0.0177141,0.0122574,0.0477242,0.0120084,0.016038,0.0119531,0.0138294,0.057022,0.0219749,0.0110265,0.0071183,0.0171443,0.0152568,0.0228778,0.0336367,0.0128761,0,0,0.0430742,0,0.0191986,0.025794,0.0563715,0.0105591,0.0188556,0.00873952,0.0386432,0.0131393,0.00934658,0.0557373,0.00772655,0.0137388,0.00539761,0.0145626,0.00764675,0.00931534,0.0143463,0.026388,0.00571168,0.0102881,0.031612,0.0180088,0,0,0,0,0,0,0,0.0177087
77,0.00786314,0.022585,0.0414364,0.0112838,0.00688992,0.0263546,0,0,0.0266642,0,0.0255685,0.015171,0.0467517,0.0187765,0.013919,0.0450546,0.0154789,0.0150482,0.018146,0.0118704,0.0478628,0.0123768,0.0171324,0.0119593,0.0136036,0.0593262,0.0217684,0.0110821,0.00719797,0.0170493,0.0153687,0.0207139,0.0339233,0.0131132,0,0,0.0439834,0,0.019584,0.0262818,0.0568578,0.00945603,0.0190479,0.00851305,0.0380458,0.0127147,0.0103912,0.0560075,0.00794764,0.015574,0.00498259,0.0145825,0.00763186,0.00902728,0.0169221,0.0265634,0.00619667,0.00984,0.031276,0.0186506,0,0,0,0,0,0,0,0.0182427
78,0.00782087,0.0225665,0.04278,0.0112058,0.00785542,0.0265038,0,0,0.0267185,0,0.0254158,0.0151289,0.0468259,0.0187224,0.0149109,0.0444235,0.015967,0.0146967,0.018821,0.0118811,0.0479767,0.0130089,0.0182384,0.0120847,0.0133366,0.0607844,0.0219132,0.0111161,0.00727791,0.0182254,0.0153488,0.0191751,0.0342485,0.0132218,0,0,0.0449139,0,0.0200324,0.0268417,0.0577483,0.0095549,0.0192413,0.00813635,0.0377698,0.0125569,0.0116654,0.0562202,0.00822288,0.0176374,0.00474546,0.0148896,0.0073216,0.00875872,0.0207351,0.0269848,0.00757929,0.00948885,0.0308993,0.0189915,0,0,0,0,0,0,0,0.0185032
79,0.00790852,0.022587,0.043132,0.0111292,0.00835806,0.0267495,0,0,0.0269057,0,0.0251127,0.0148943,0.0469295,0.0186981,0.0157439,0.0440937,0.0164804,0.0140771,0.0194225,0.0122037,0.0480724,0.0136658,0.0189589,0.0121986,0.0130904,0.0610635,0.0224836,0.0109623,0.00724782,0.0205762,0.0152223,0.0187966,0.0347802,0.0132023,0,0,0.0457129,0,0.0204138,0.0273232,0.0585127,0.0103757,0.0193919,0.00770302,0.0377964,0.0125352,0.0128649,0.0563873,0.00853659,0.0196765,0.00506122,0.0155137,0.00659649,0.00898122,0.0250038,0.0275362,0.00916595,0.00925978,0.0304611,0.0190626,0,0,0,0,0,0,0,0.018481
80,0.00808892,0.0225692,0.0422888,0.0111551,0.00811654,0.0267058,0,0,0.0272111,0,0.0248391,0.0146917,0.0470227,0.0186216,0.0161875,0.0437212,0.0169768,0.013752,0.0195784,0.0125921,0.0481926,0.0139004,0.0189253,0.0121851,0.0128642,0.0599023,0.0229749,0.0108008,0.00710131,0.0230749,0.0151506,0.0190408,0.0353628,0.0131739,0,0,0.0460969,0,0.0207096,0.0274068,0.0585506,0.0124056,0.0193576,0.0073255,0.0379343,0.0125584,0.0137774,0.056505,0.00881161,0.0214555,0.00618221,0.0163192,0.00547592,0.0101322,0.0292258,0.0280331,0.0107249,0.00902133,0.0299516,0.0189648,0,0,0,0,0,0,0,0.0180495
81,0.0083712,0.022496,0.0404145,0.0112611,0.00715852,0.0262062,0,0,0.0275058,0,0.0245827,0.0145368,0.0471392,0.0184908,0.016201,0.0431704,0.0175216,0.0135896,0.019296,0.012794,0.0483414,0.0136956,0.0182068,0.0121101,0.0127049,0.0574963,0.023403,0.0107035,0.00694198,0.0257321,0.0151786,0.0194799,0.0357823,0.0131988,0,0,0.0461485,0,0.0209275,0.0271815,0.057614,0.015626,0.0191179,0.00705955,0.0380021,0.0125192,0.0143255,0.0564625,0.00894535,0.0226296,0.00792607,0.0171578,0.00418569,0.0121703,0.0331251,0.0284758,0.0122789,0.0087898,0.029437,0.0188726,0,0,0,0,0,0,0,0.0173623
82,0.00873138,0.0224866,0.0379996,0.0114039,0.0058564,0.0260297,0,0,0.027832,0,0.0243656,0.014439,0.0474072,0.0184331,0.0161301,0.0429202,0.0180833,0.0135176,0.018844,0.0131614,0.0484885,0.0134823,0.0172251,0.0120121,0.0127004,0.0546046,0.023858,0.0106374,0.00686249,0.0287227,0.0152252,0.0197363,0.0360577,0.0132454,0,0,0.0461037,0,0.0210783,0.0268767,0.0578802,0.0188978,0.0189158,0.00685937,0.0382812,0.0124386,0.0145108,0.0566611,0.00913833,0.0235475,0.00978542,0.0179629,0.00303014,0.0144941,0.0371589,0.0289232,0.0134325,0.00864227,0.0291976,0.0188879,0,0,0,0,0,0,0,0.0168436
83,0.0089814,0.0224598,0.0354077,0.011629,0.00493557,0.025885,0,0,0.0281306,0,0.0241487,0.0145091,0.0476847,0.0183961,0.0159819,0.0426959,0.0184737,0.0131558,0.0182668,0.0135859,0.0485695,0.0133884,0.016406,0.011911,0.012853,0.0515524,0.0243619,0.0105564,0.00696569,0.0312399,0.0153202,0.0197301,0.0360702,0.0131937,0,0,0.0459923,0,0.021217,0.026652,0.0576171,0.0221012,0.0187216,0.00673916,0.0384698,0.0122326,0.0143951,0.056666,0.00926466,0.0240164,0.0118696,0.0186245,0.00199409,0.0172201,0.04077,0.0293632,0.0141997,0.00845735,0.0291281,0.0189607,0,0,0,0,0,0,0,0.0165235
84,0.00922862,0.0224446,0.0329065,0.011919,0.00471787,0.0258938,0,0,0.0283745,0,0.0239779,0.0146472,0.0478459,0.0185125,0.0157858,0.0424302,0.0188635,0.0128125,0.0176468,0.0139347,0.0485803,0.0133547,0.0159969,0.0117896,0.0132144,0.0485041,0.024818,0.0104749,0.00718377,0.0335829,0.0154111,0.0198268,0.0358046,0.0131237,0,0,0.045929,0,0.0213149,0.026647,0.0577754,0.0250261,0.0186958,0.0066608,0.0385021,0.0119805,0.0140883,0.0567251,0.0094237,0.0238122,0.0137927,0.0191362,0.00179661,0.0199187,0.0443066,0.0298603,0.0148743,0.00835609,0.0291058,0.0191999,0,0,0,0,0,0,0,0.0165466
85,0.00933745,0.0224699,0.0307987,0.0121944,0.00513958,0.0257894,0,0,0.0283066,0,0.0237449,0.01474,0.0477588,0.0187225,0.0157041,0.0420725,0.0190794,0,0.0172011,0.0142163,0.048572,0.0134116,0.015855,0.0117333,0.01375,0.0458031,0.0249761,0.0103968,0.00733585,0.035943,0.0155341,0.0200747,0.0354272,0.0130284,0,0,0.0457933,0,0.0213401,0.0267246,0.0576039,0.0281189,0.0186176,0.00660775,0.0386278,0.0117159,0.0135759,0.0566637,0.00945288,0.0231318,0.0155676,0.0195274,0.0022045,0.0225302,0.0481014,0.0301249,0.0153223,0.00823308,0.0291209,0.019562,0,0,0,0,0,0,0,0.0168883
86,0.00942439,0.0225399,0.028874,0.012446,0.00579907,0.0259829,0,0,0.0280023,0,0.0235265,0.0147533,0.0476087,0.0189497,0.0157803,0.0419568,0.0192695,0.0124958,0.016802,0.0147579,0.0484671,0.0135808,0.0160025,0.0118751,0.0143074,0.0432851,0.0249854,0.0103293,0.00743438,0.0384705,0.0156594,0.0202213,0.0350152,0.0130432,0,0,0.0456896,0,0.0212989,0.0269122,0.0583694,0.0309077,0.0184532,0.0065121,0.039023,0.0114318,0.0129453,0.0567602,0.00946249,0.0223579,0.017005,0.0198055,0.00271563,0.0248038,0.0519291,0.0301866,0.0155843,0.00814854,0.0291792,0.0200722,0,0,0,0,0,0,0,0.0171593
87,0.0098371,0.0226451,0.0270807,0.0127154,0.0063934,0.0259537,0,0,0.0272876,0,0.0233624,0.0142806,0.0475815,0.0191056,0.0160391,0.0418406,0.0195691,0.0129301,0.016524,0.0151442,0.0483331,0.0137849,0.0161052,0.0120262,0.014726,0.0409505,0.0245823,0.0102401,0.0076034,0.0408271,0.0157862,0.0203837,0.034756,0.0132712,0,0,0.0456195,0,0.0212971,0.0271328,0.0583769,0.0338397,0.0182238,0.00641215,0.039431,0.0112288,0.0120725,0.0565467,0.00934229,0.0212899,0.018249,0.0199194,0.00334988,0.0267052,0.0555981,0.0301443,0.0158986,0.00818843,0.0291,0.0207002,0,0,0,0,0,0,0,0.0174706
88,0.010426,0.022711,0.0251622,0.012975,0.00689669,0.025534,0,0,0.0263272,0,0.0231957,0.0136854,0.0475055,0.0192713,0.016183,0.041578,0.0198231,0.0130694,0.0162915,0.0153293,0.0481617,0.0140146,0.0161002,0.0121929,0.0150622,0.0383904,0.0239101,0.0102071,0.00756684,0.0428769,0.0158688,0.0205648,0.0346267,0.0135349,0,0,0.0455673,0,0.0212794,0.0273238,0.0574141,0.037027,0.0179544,0.00624007,0.0398534,0.011057,0.0109843,0.0560253,0.00901898,0.0199007,0.0194383,0.0199257,0.00416519,0.0282881,0.0591625,0.0300114,0.0162596,0.00825549,0.0290064,0.0211574,0,0,0,0,0,0,0,0.0174804
89,0.0109781,0.0227341,0.0231933,0.0131742,0.00751673,0.0252471,0,0,0.0253624,0,0.0230175,0.0132302,0.0473863,0.0194954,0.016364,0.0413435,0.0200274,0.0129468,0.0162177,0.0154048,0.0480046,0.0142426,0.0160351,0.0123523,0.0152613,0.0358579,0.0231924,0.0102436,0.00746768,0.0449161,0.0158443,0.0205233,0.0343568,0.0137026,0,0,0.0455728,0,0.0211875,0.0275037,0.0573307,0.0397636,0.0177641,0.00595745,0.0402378,0.0109016,0.00992998,0.0557439,0.00879325,0.0183874,0.0204201,0.0198625,0.00492966,0.0295963,0.0625187,0.029811,0.016483,0.00836561,0.0288411,0.0212288,0,0,0,0,0,0,0,0.0174709
90,0.0109188,0.0230393,0.0211916,0.0127857,0.00834041,0.0250181,0,0,0.02604,0,0.0231641,0.013471,0.0471006,0.0195438,0.0166312,0.0415022,0.0220036,0.0128889,0.0163272,0.015445,0.0480197,0.014586,0.0160426,0.0126432,0.0154607,0.0331434,0.0239621,0.0103591,0.00768537,0.0469308,0.0160859,0.0203503,0.0337129,0.0139862,0,0,0.044484,0,0.020766,0.0268154,0.0579496,0.0418605,0.0175142,0.005659,0.0410349,0.0102665,0.00918563,0.0559479,0.00893413,0.016946,0.0208024,0.0197183,0.00549368,0.0305676,0.0656158,0.0284689,0.0165066,0.00808221,0.029101,0.0217181,0,0,0,0,0,0,0,0.0173799
91,0.0112431,0.0232803,0.0194246,0.0128208,0.00893399,0.0249417,0,0,0.0251023,0,0.0231005,0.0129078,0.0469153,0.0195684,0.0168424,0.0416632,0.0223483,0.0129419,0.0165032,0.0154681,0.0478966,0.0148461,0.0159681,0.0128822,0.0156305,0.0307093,0.0234553,0.0104395,0.00740065,0.048699,0.0160637,0.0204471,0.033382,0.0142181,0,0,0.0443312,0,0.0206476,0.0268232,0.0585328,0.0440838,0.0174088,0.00532108,0.0417564,0.0102743,0.00838965,0.0558951,0.00891008,0.0154615,0.021242,0.0197056,0.00606529,0.0315192,0.068489,0.0279899,0.0166437,0.00827007,0.029245,0.0217079,0,0,0,0,0,0,0,0.0171745
92,0.0115334,0.0235528,0.0178423,0.0128049,0.00940278,0.0247293,0,0,0.024072,0,0.0230519,0.0122693,0.0466887,0.0196585,0.0171567,0.0416813,0.0225668,0.0126919,0.016658,0.0155181,0.0477221,0.0151247,0.0159174,0.0131088,0.015877,0.0283619,0.0228874,0.010522,0.00697926,0.0502828,0.0161031,0.0208645,0.0330546,0.0144274,0,0,0.0441017,0,0.0206165,0.0267713,0.058518,0.0462688,0.0172836,0.0049595,0.0424039,0.0103749,0.00754015,0.0555946,0.00883054,0.0140506,0.0218384,0.0197378,0.00664119,0.0324395,0.0710041,0.0274471,0.0166942,0.00846049,0.0294893,0.0217674,0,0,0,0,0,0,0,0.0172936
93,0.0117027,0.023859,0.0163204,0.0127655,0.00970251,0.0245198,0,0,0.0231259,0,0.0230108,0.01171,0.0464593,0.0197343,0.0175589,0.0416873,0.0227076,0.0122418,0.0168356,0.0156055,0.0474894,0.0154016,0.0159692,0.0132789,0.0161722,0.0261113,0.0222417,0.0106063,0.00657379,0.0516732,0.0160693,0.0212434,0.0326668,0.0145467,0,0,0.0439154,0,0.0205826,0.0268128,0.0585967,0.0480229,0.0171567,0.00457423,0.0430334,0.0105542,0.00682065,0.0552654,0.0088216,0.0128801,0.0223994,0.0197436,0.0071749,0.0330213,0.0731119,0.0269359,0.01672,0.00870166,0.0299307,0.0219264,0,0,0,0,0,0,0,0.0174861
94,0.011725,0.02421,0.0149112,0.012703,0.0101666,0.0243349,0,0,0.0223211,0,0.0230025,0.0113074,0.0462482,0.0197198,0.017951,0.0417931,0.0227889,0.011739,0.0169425,0.0156348,0.0472532,0.0156398,0.0160086,0.0133944,0.0163119,0.0239617,0.0216107,0.0107268,0.00631281,0.0526861,0.0159001,0.0213549,0.0322384,0.0145469,0,0,0.0438012,0,0.0205484,0.0269682,0.058843,0.0490427,0.0170645,0.00414891,0.0436891,0.0107847,0.00636661,0.0550141,0.00873254,0.0120078,0.0224763,0.0196814,0.00760035,0.0333025,0.0746919,0.0264478,0.0166947,0.0089917,0.030414,0.0221869,0,0,0,0,0,0,0,0.018082
95,0.011672,0.0245624,0.0138351,0.0126316,0.0107303,0.024044,0,0,0.0215723,0,0.022968,0.0111245,0.046076,0.0196864,0.0183663,0.0420405,0.0227125,0.0112363,0.0169555,0.0156727,0.047029,0.0158959,0.0160616,0.0135486,0.0164257,0.0221163,0.0211013,0.0108507,0.00625773,0.0530929,0.0157649,0.0213137,0.0317713,0.0143775,0,0,0.0437041,0,0.0205428,0.0271668,0.0587265,0.049581,0.0169973,0.00372975,0.0442643,0.0110418,0.0060452,0.0546964,0.00837781,0.0113911,0.0224064,0.0195552,0.0080104,0.0334723,0.0754752,0.025955,0.0166242,0.0093176,0.0308332,0.0223618,0,0,0,0,0,0,0,0.0176103
