Timestep,C7,CLAV,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,LANK
11,0.0105233,0.0274895,0.0860698,0.0114647,0.00777219,0,0,0.0223979,0,0.023111,0.0130536,0.0372288,0.0436776,0.0186893,0.0238106,0.0215387,0.012856,0.0167432,0.0380151,0.0152137,0.0639374,0.0261107,0.0434577,0.0227211,0.0151963,0.107845,0.0187951,0.00952414,0.00833522,0.0196082,0.01626,0.00466892,0.00692618,0.0066614,0,0,0.0378818,0,0.0187062,0.023724,0.0587976,0.00744661,0.0233113,0.0090265,0.0136105,0.0187412,0.00552934,0.0536401,0.00677208,0.00716392,0.0105647,0.00840017,0.0106675,0.00974573,0.0262068,0.0185218,0.00504458,0.0105817,0,0.00455259,0,0,0,0,0,0,0,0.0414885
12,0.00986641,0.0267099,0.0865065,0.0114379,0.00752374,0,0,0.0217138,0,0.0230689,0.0125694,0.03736,0.0440347,0.0184423,0.0229609,0.0213456,0.0122771,0.0165445,0.0370574,0.015029,0.0635458,0.0257126,0.0430338,0.0225807,0.0153745,0.107853,0.0183224,0.00969085,0.00852448,0.018852,0.0164049,0.00503228,0.00679105,0.00651986,0,0,0.0371098,0,0.0184183,0.0236604,0.0587376,0.00783373,0.0232755,0.00925187,0.012985,0.0180575,0.00571688,0.0537332,0.00685182,0.00759241,0.0107305,0.0082442,0.0107797,0.00997001,0.0250231,0.0189833,0.00529104,0.0105448,0.0282386,0.00563297,0,0,0,0,0,0,0,0.0417269
13,0.00948907,0.0260681,0.0861793,0.0113447,0.0073689,0,0,0.0216041,0,0.0228825,0.0123728,0.0374638,0.0435707,0.018112,0.0220021,0.0212897,0.0119776,0.0162238,0.0353117,0.0148556,0.0630957,0.0249576,0.042215,0.0222359,0.0153873,0.107258,0.0181839,0.00968508,0.00868538,0.0178361,0.0167875,0.0055399,0.00666545,0.00679103,0,0,0.0357041,0,0.0181397,0.0231077,0.058653,0.00819614,0.0232206,0.00954412,0.0124745,0.0174578,0.00590352,0.0539168,0.00693514,0.00799666,0.0110962,0.00810372,0.0111561,0.0105197,0.023594,0.0190933,0.00578799,0.0102371,0.0276536,0.00690586,0,0,0,0,0,0,0,0.0414351
14,0.00934738,0.0256846,0.0845999,0.0114157,0.00736056,0,0,0.021407,0,0.0227664,0.0122592,0.0375584,0.0426712,0.0177703,0.0208654,0.0212761,0.0116722,0.0156741,0.0334713,0.0147451,0.0626252,0.0240227,0.0407572,0.0217175,0.0152422,0.105834,0.017925,0.00964513,0.00878881,0.0166216,0.0170749,0.00606696,0.00682756,0.00691414,0,0,0.0344933,0,0.0180187,0.0225369,0.0584687,0.00856573,0.023226,0.00971009,0.0120503,0.0170795,0.00615364,0.0540848,0.00695796,0.00835678,0.0117081,0.00792982,0.0115786,0.011333,0.0218866,0.0189341,0.00589838,0.00992374,0.0272332,0.00744472,0,0,0,0,0,0,0,0.0406493
15,0.00898935,0.0254221,0.0824277,0.011577,0.00732643,0,0,0.0213099,0,0.022814,0.0121866,0.0375269,0.0416314,0.0174681,0.0196729,0.0212403,0.0114917,0.0149481,0.0314828,0.0146708,0.0621144,0.0228582,0.0386218,0.021052,0.0149932,0.103581,0.0177538,0.00961812,0.00879878,0.0155046,0.0173193,0.00661325,0.00693185,0.00700286,0,0,0.0333965,0,0.017883,0.021991,0.0583097,0.00911624,0.0232425,0.00992959,0.0117547,0.016769,0.00636788,0.0539955,0.00707216,0.00858332,0.0123222,0.00765392,0.0120231,0.0122076,0.0200977,0.0188279,0.00564114,0.00961539,0.0268213,0.00766351,0,0,0,0,0,0,0,0.0394758
16,0.00842795,0.0252278,0.0800679,0.0116075,0.00727984,0,0,0.0212353,0,0.0228722,0.0121159,0.0375652,0.0405202,0.0172317,0.0184702,0.0212143,0.0113652,0.0140646,0.0290025,0.0145791,0.061658,0.0212275,0.0361536,0.0202579,0.014755,0.100676,0.0176116,0.00966072,0.00873372,0.0143496,0.0175341,0.0070807,0.00683084,0.00708373,0,0,0.0324232,0,0.0177775,0.0214707,0.0582216,0.00975558,0.0232584,0.0102802,0.0115364,0.0164904,0.00632276,0.0538186,0.00723585,0.00883341,0.012865,0.00735097,0.0124671,0.0130048,0.018175,0.018678,0.00590916,0.00929598,0.0264891,0.00766183,0,0,0,0,0,0,0,0.0381408
17,0.00825451,0.024993,0.0777426,0.0115953,0.0074189,0,0,0.0210741,0,0.0229094,0.0120368,0.0376313,0.0390197,0.0169725,0.0172205,0.0211568,0.0112299,0.0132096,0.0262526,0.0142649,0.0610655,0.0196586,0.0337611,0.0192934,0.0144629,0.0974073,0.0173364,0.00973655,0.00856236,0.0132927,0.0177635,0.007608,0.00649573,0.00722757,0,0,0.0315813,0,0.0177743,0.0210418,0.0581893,0.0106395,0.0233471,0.0105012,0.0112487,0.0163133,0.00632514,0.0538176,0.0073372,0.00915792,0.0135504,0.00714934,0.012833,0.0139614,0.0162686,0.0185,0.00641333,0.00904308,0.0262354,0.007532,0,0,0,0,0,0,0,0.0368374
18,0.00978073,0.0261448,0.0752669,0.011909,0.00753773,0,0,0.0201229,0,0.0228463,0.011708,0.037584,0.0366301,0.0163966,0.016201,0.0213323,0.0107179,0.0124915,0.0234291,0.0137855,0.0605804,0.0182774,0.0315729,0.0183314,0.0138643,0.0936342,0.016498,0.00983247,0.00833832,0.0122341,0.0174486,0.00811504,0.00610657,0.0055521,0,0,0.032305,0,0.0180653,0.0215661,0.0577984,0.0115427,0.0233908,0.0108349,0.0110428,0.017251,0.0063879,0.0538836,0.00756582,0.00952127,0.014104,0.00683435,0.0129501,0.0147522,0.0145469,0.0172992,0.00702928,0.00927424,0.027127,0.004396,0,0,0,0,0,0,0,0.0355104
19,0.00992534,0.0261505,0.0716229,0.0121129,0.00744821,0,0,0.0197027,0,0.0231126,0.0115837,0.037725,0.034676,0.0161665,0.0153809,0.0211457,0.0104582,0.0114599,0.0205248,0.0132539,0.0599359,0.016651,0.0290363,0.0173627,0.0132799,0.088695,0.0162289,0.00993611,0.00810714,0.0115728,0.0175366,0.00857257,0.00619541,0.00536209,0,0,0.0320058,0,0.0178885,0.0215366,0.0572322,0.0121575,0.0232407,0.0111234,0.0106343,0.0173638,0.00618821,0.0535851,0.00778949,0.00971896,0.0143746,0.00665502,0.0130419,0.0151141,0.0136653,0.0170465,0.00660714,0.00918393,0.0270377,0.00343186,0,0,0,0,0,0,0,0.0338281
20,0.0097527,0.0260274,0.0672144,0.0120469,0.00737429,0,0,0.0193344,0,0.0231467,0.0115848,0.0379101,0.0326892,0.0160065,0.0150623,0.0208995,0.0103072,0.0102809,0.0177833,0.0129367,0.0592969,0.0145728,0.0260574,0.0162942,0.0126663,0.0826304,0.0158687,0.0100416,0.00787464,0.0111933,0.0176945,0.00923936,0.00679502,0.00529094,0,0,0.0315943,0,0.0177967,0.0214678,0.056936,0.0130107,0.0231691,0.0114214,0.010215,0.0174776,0.00618128,0.0532533,0.00798464,0.0100235,0.0148034,0.00646881,0.0133316,0.0157952,0.0128619,0.0169008,0.00576027,0.00908806,0.0269952,0.00284012,0,0,0,0,0,0,0,0.0318303
