Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,LILC,LTHIP
34,0.00330859,0.00162895,0.0232035,0.0160422,0.00926305,0.00471948,0,0,0.00376736,0,0.0226502,0.00171881,0.0453303,0.0126354,0.016591,0.00497689,0.00208469,0.00622656,0.00470477,0.0178458,0.0101837,0.00578907,0.007568,0.0190267,0.028823,0.00436287,0.00940198,0.0011484,0.0289504,0.0202479,0.00820653,0.00356568,0.00294686,0,0,0.00525963,0,0.0181349,0.00350594,0.0657909,0.0143438,0.0216899,0.0129214,0.00938265,0.00251587,0.0130342,0.048872,0.0154852,0.0136723,0.00795421,0.022105,0.00915178,0.0123716,0.0334284,0.00360082,0.00193697,0.000791054,0.00136024,0.00374234,0,0,0,0,0,0,0,0.0268089,0.0405827
35,0.0033298,0.00181506,0.0240504,0.0160238,0.00955156,0.00475213,0,0,0.00414947,0,0.0228222,0.00183796,0.0455356,0.0119572,0.0177052,0.00485355,0.00230293,0.00698475,0.00575542,0.0189825,0.0103127,0.00546551,0.0074155,0.0189862,0.0295,0.00447728,0.00946846,0.00120744,0.0223879,0.0202477,0.00772345,0.00308206,0.00301295,0,0,0.00541559,0,0.0182016,0.00340745,0.0663354,0.0165518,0.0216778,0.0140118,0.00928601,0.00248721,0.0129264,0.0481938,0.0155589,0.0132528,0.00647141,0.0203641,0.00772561,0.0115294,0.0268671,0.00358478,0.00195069,0.000908262,0.00143919,0.00386142,0,0,0,0,0,0,0,0.0265896,0.0403921
36,0.00320093,0.002029,0.0251555,0.0159271,0.00980135,0.00462987,0,0,0.00461144,0,0.0226234,0.00197094,0.0457711,0.0112905,0.0185981,0.00470587,0.0024582,0.00782137,0.00661341,0.0198638,0.0102607,0.0050567,0.00708436,0.0189451,0.0304381,0.00484622,0.00942411,0.00119823,0.0159295,0.0202713,0.00827748,0.00248767,0.00297588,0,0,0.00510819,0,0.0181797,0.0029602,0.0668296,0.0188524,0.0217286,0.014298,0.00923856,0.00232475,0.0121306,0.0474424,0.0146783,0.0119705,0.00545236,0.0187606,0.0063707,0.0108109,0.0199418,0.00288066,0.00193111,0.00106454,0.00172749,0.00402225,0,0,0,0,0,0,0,0.0262187,0.0401741
37,0.00301892,0.00220802,0.0262902,0.0159519,0.00994028,0.00455721,0,0,0.00519232,0,0.0225011,0.00221322,0.0460198,0.0108254,0.0192952,0.00451942,0.00271048,0.00866425,0.00731042,0.0205332,0.0102382,0.00456391,0.00673732,0.0188867,0.0314938,0.00521406,0.00931096,0.00121674,0.0117003,0.0202746,0.00995559,0.00226795,0.00304637,0,0,0.00557294,0,0.0183594,0.00298158,0.0670426,0.0210195,0.0217665,0.0137876,0.00904141,0.00244169,0.0108349,0.0466279,0.01305,0.0101562,0.00511919,0.017613,0.00559239,0.0103396,0.0130802,0.00296672,0.00199447,0.00108503,0.00210494,0.0044191,0,0,0,0,0,0,0,0.0257661,0.0398664
38,0.00278171,0.00242604,0.0272004,0.0159826,0.00996268,0.00440644,0,0,0.00569322,0,0.0224898,0.0024505,0.0462636,0.0104203,0.0198462,0.00438577,0.00297771,0.00940748,0.00786351,0.0208278,0.0103123,0.00405483,0.00646166,0.0187895,0.0326304,0.00548045,0.00925969,0.00126556,0.0102259,0.0203052,0.0120689,0.00249321,0.00319703,0,0,0.00582659,0,0.018501,0.00283024,0.0670153,0.0226948,0.0219574,0.012535,0.00887949,0.00258448,0.0099379,0.0461128,0.0109262,0.00819856,0.00577631,0.0162975,0.00492477,0.00942523,0.0134327,0.00257898,0.00206135,0.00104677,0.00250765,0.00487684,0,0,0,0,0,0,0,0.025398,0.0394887
39,0.00245497,0.00273191,0.0280849,0.0159106,0.00988765,0.00394067,0,0,0.00579031,0,0.0225004,0.00236093,0.0465395,0.00981194,0.0202892,0.00434306,0.0031988,0.0100693,0.00844375,0.0213951,0.0104074,0.00362333,0.00624077,0.0186359,0.0336827,0.00556319,0.00926851,0.00116676,0.0263821,0.0204051,0.0237042,0.00311302,0.00328226,0,0,0.00634379,0,0.0183931,0.00345986,0.0666456,0.032355,0.0225415,0.01041,0.00887124,0.00247227,0.0103955,0.046111,0.00919056,0.00756197,0.00946558,0.0163077,0.0110766,0.0110891,0.0333547,0.00320691,0.00238317,0.00178012,0.00300184,0.00513001,0,0,0,0,0,0,0,0.0249881,0.0390013
40,0.00242748,0.00292076,0.0302088,0.0157643,0.00975152,0.00378642,0,0,0.00580383,0,0.0225083,0.00222039,0.0468375,0.0091352,0.0204346,0.0041906,0.00333285,0.0103268,0.0084994,0.0213221,0.0102089,0.00297795,0.0061471,0.0186138,0.0359853,0.00566962,0.0093657,0.000974586,0.0442446,0.020407,0.0365824,0.00392147,0.00356333,0,0,0.00714646,0,0.0185304,0.00341486,0.066142,0.0437116,0.0231995,0.0104683,0.00883369,0.00306911,0.0127892,0.0465735,0.0111314,0.0105749,0.0138724,0.019727,0.0188141,0.0156108,0.0484653,0.00227482,0.00184044,0.00122634,0.00333727,0.00565609,0,0,0,0,0,0,0,0.0244429,0.0384005
41,0.00249502,0.00312906,0.0316589,0.0157346,0.00968293,0.00375369,0,0,0.0060348,0,0.0224635,0.0023562,0.0470257,0.00921104,0.0202675,0.00389083,0.00344013,0.0105934,0.00864512,0.0210832,0.00993313,0.00243006,0.00599882,0.0184865,0.0377407,0.0058614,0.009389,0.00103668,0.0588656,0.0203995,0.0476848,0.00418556,0.00384281,0,0,0.00802126,0,0.0186722,0.00398761,0.0655607,0.0538615,0.0238415,0.0121282,0.00894183,0.00354246,0.0161222,0.0474038,0.0153304,0.0152425,0.018362,0.0242441,0.025701,0.0207175,0.0620402,0.00307422,0.00181521,0.00119297,0.00377107,0.00596823,0,0,0,0,0,0,0,0.0239137,0.0378365
42,0.00260472,0.00333406,0.0327982,0.0156841,0.00957864,0.00417173,0,0,0.00624512,0,0.0223239,0.00255333,0.0470311,0.00947633,0.0197789,0.00381264,0.00352828,0.0107325,0.0085762,0.0208434,0.0095257,0.00188986,0.00587736,0.018303,0.039225,0.00628059,0.00926546,0.00123043,0.0697931,0.0203552,0.0556983,0.00414951,0.00418079,0,0,0.00888477,0,0.0188343,0.00445868,0.0650316,0.0615543,0.024472,0.0135378,0.0091704,0.0040826,0.0192827,0.0481556,0.0194938,0.0196999,0.0219016,0.0281829,0.030729,0.0248706,0.072099,0.00388181,0.00178932,0.00107415,0.00410934,0.00616553,0,0,0,0,0,0,0,0.0234958,0.0372973
43,0.00271815,0.00351975,0.0335389,0.0155349,0.00941495,0.00412175,0,0,0.00655424,0,0.0222199,0.00280627,0.0468399,0.00984216,0.0189986,0.00381482,0.00357072,0.0107352,0.00837388,0.0205268,0.00898909,0.00162145,0.00578497,0.018061,0.040429,0.00613366,0.00915562,0.0014524,0.076315,0.0202709,0.0600965,0.00391029,0.0045009,0,0,0.00957661,0,0.0190139,0.0048236,0.0648112,0.0658822,0.0248691,0.0143546,0.0094631,0.00462292,0.0214187,0.0485347,0.0219356,0.0227611,0.0238729,0.0305577,0.0333599,0.0271,0.078043,0.00452717,0.00182851,0.0009208,0.00435584,0.00626678,0,0,0,0,0,0,0,0.0232736,0.0368426
44,0.00288259,0.0037068,0.0335881,0.0153597,0.00901681,0.00418288,0,0,0.00729693,0,0.0221423,0.00334789,0.0464977,0.0103466,0.0179298,0.00382471,0.00364271,0.0106311,0.00804938,0.0199457,0.008386,0.0018168,0.00561767,0.0177842,0.0410481,0.00639529,0.00909516,0.00179664,0.0776416,0.0201466,0.0602081,0.00346453,0.00483104,0,0,0.0101641,0,0.0192162,0.00511233,0.0650529,0.0656638,0.0250332,0.0147225,0.00968795,0.00513458,0.0219096,0.0482832,0.0218953,0.0234083,0.024067,0.0307495,0.0333127,0.0270816,0.0790623,0.00495375,0.00212939,0.000740624,0.00470274,0.00637274,0,0,0,0,0,0,0,0.0232452,0.0365054
45,0.00297975,0.00376302,0.0343201,0.0152046,0.00855967,0.0044629,0,0,0.00766623,0,0.0220539,0.00361895,0.0461032,0.0111735,0.0165957,0.003875,0.00370275,0.010191,0.00765735,0.0183991,0.00755951,0.0024412,0.00564061,0.0175785,0.0423829,0.00593921,0.00901963,0.00207054,0.0735573,0.0200372,0.0559488,0.00274579,0.00508533,0,0,0.0106458,0,0.0192472,0.00536529,0.0655895,0.0604346,0.024992,0.0145029,0.00983701,0.00546369,0.0207228,0.0474753,0.0198627,0.0214713,0.0226816,0.0288961,0.0306657,0.0249834,0.0745763,0.00541321,0.00229378,0.00080287,0.00502032,0.00637496,0,0,0,0,0,0,0,0.023277,0.0363414
46,0.00304927,0.00377182,0.0351317,0.0150976,0.00815511,0.00484928,0,0,0.00782438,0,0.0220242,0.00374431,0.0456711,0.0123071,0.0150971,0.00397541,0.00366114,0.00962566,0.00753425,0.0168892,0.00671438,0.00329254,0.00582061,0.0173424,0.043838,0.00572573,0.00894995,0.00232213,0.0649022,0.0199242,0.0481233,0.00215473,0.00524971,0,0,0.0109419,0,0.0192366,0.00553965,0.0662258,0.0510427,0.0249066,0.0138669,0.00994239,0.00562089,0.01854,0.0463623,0.0170269,0.0181448,0.0205062,0.0257694,0.0262555,0.0217921,0.0656635,0.00577981,0.00222803,0.000845726,0.0052088,0.00635927,0,0,0,0,0,0,0,0.0235365,0.0364108
47,0.00304523,0.00365797,0.0375868,0.0151028,0.00824402,0.00575273,0,0,0.00709623,0,0.0219148,0.00322039,0.0452126,0.0147118,0.0137656,0.00405341,0.0034813,0.00875794,0.00855758,0.0153049,0.00557116,0.00488531,0.00641114,0.017245,0.047024,0.00607488,0.00890544,0.00217914,0.0535742,0.0199434,0.0383951,0.00215815,0.00521861,0,0,0.0110367,0,0.0188247,0.00574525,0.0667323,0.0397176,0.0251238,0.0130844,0.0102171,0.00551635,0.0160821,0.0453653,0.0143345,0.0144487,0.0184858,0.0224548,0.0213458,0.0186963,0.0549353,0.00655252,0.0014469,0.000772121,0.00517268,0.00619329,0,0,0,0,0,0,0,0.0242216,0.0367543
48,0.00316198,0.00371384,0.0369551,0.0149972,0.00776664,0.00556299,0,0,0.00718957,0,0.0219025,0.00341646,0.0447699,0.015436,0.0119626,0.00398224,0.00323616,0.00860095,0.0091309,0.0131412,0.00510169,0.00524702,0.00648497,0.0167398,0.0470962,0.00714845,0.00882875,0.00240299,0.0408591,0.0198116,0.0270531,0.00232672,0.00521617,0,0,0.0109524,0,0.0189508,0.00555826,0.067232,0.0275267,0.0250439,0.0126405,0.0101629,0.00539505,0.0139943,0.0445641,0.0125024,0.0113752,0.0165094,0.019549,0.0158033,0.0158164,0.0417971,0.00623507,0.00153152,0.000789297,0.00519033,0.00614785,0,0,0,0,0,0,0,0.0248179,0.0371345
49,0.00321914,0.00362789,0.0366289,0.0149069,0.00756444,0.00514457,0,0,0.00705567,0,0.0218644,0.0035751,0.0442552,0.0165007,0.00996496,0.00385659,0.00295522,0.00863888,0.0102922,0.0107262,0.00468643,0.0058846,0.00656085,0.0162418,0.0477913,0.00696302,0.00877962,0.00247981,0.0300883,0.0197861,0.0182644,0.00261023,0.00511552,0,0,0.0107462,0,0.0189325,0.00533066,0.06752,0.0196892,0.0250054,0.0128145,0.0101535,0.00505753,0.0121971,0.0441176,0.011342,0.00892481,0.0153018,0.0183189,0.0117448,0.0145856,0.0308729,0.00581917,0.00165051,0.000732342,0.00491961,0.00595656,0,0,0,0,0,0,0,0.0251391,0.0376302
50,0.00312977,0.00343942,0.0366166,0.0148233,0.00750218,0.00498368,0,0,0.00668835,0,0.0218914,0.00373223,0.0436546,0.0173037,0.00791723,0.0036763,0.00261926,0.00907502,0.0118788,0.00856889,0.00428993,0.00665238,0.00644094,0.0155891,0.0486698,0.00612146,0.00870649,0.00248118,0.0209787,0.0198209,0.0137605,0.00317065,0.00497305,0,0,0.0105922,0,0.0189557,0.00514171,0.0674619,0.0169187,0.0252103,0.0131249,0.0103291,0.00463576,0.0103747,0.0439996,0.0105452,0.00712294,0.0147303,0.0189306,0.0102541,0.0146781,0.0221318,0.00552654,0.00153107,0.000668112,0.0045417,0.00567714,0,0,0,0,0,0,0,0.0254475,0.0382684
51,0.00286363,0.00316369,0.0377262,0.0149137,0.00761852,0.00508763,0,0,0.00579223,0,0.0218804,0.00350497,0.0430196,0.0167502,0.00667648,0.00351051,0.0022907,0.0101673,0.0140974,0.00700444,0.00395274,0.00820089,0.00534469,0.0146472,0.0507438,0.00615127,0.00869738,0.00222503,0.0120118,0.0199429,0.0113167,0.00418623,0.00476277,0,0,0.0106684,0,0.018917,0.00501128,0.0671151,0.0163084,0.0257632,0.0136156,0.0107166,0.00419503,0.00838078,0.0440848,0.0096621,0.00563061,0.0157124,0.020149,0.0112755,0.0160699,0.0138257,0.00551129,0.000893223,0.00059294,0.00416472,0.005322,0,0,0,0,0,0,0,0.02569,0.0392201
52,0.00253814,0.00294155,0.044565,0.0150073,0.0118233,0.00537635,0,0,0.00484353,0,0.0219017,0.00314821,0.0422468,0.0104424,0.00739548,0.00317381,0.00197538,0.0120355,0.0162423,0.00817173,0.00747126,0.0133704,0.0055187,0.016055,0.0597955,0.00608778,0.00865361,0.00196217,0.00799177,0.0199718,0.00987674,0.00546987,0.00447004,0,0,0.0110121,0,0.0189181,0.00506386,0.0667631,0.0170285,0.0267718,0.0150283,0.0108322,0.00394275,0.00674875,0.0440326,0.00926649,0.00464643,0.0182634,0.0207966,0.012856,0.01879,0.00716983,0.00580179,0.000491114,0.000613651,0.00385184,0.00495989,0,0,0,0,0,0,0,0.0258864,0.0414887
53,0.00238303,0.00273025,0.0428255,0.0149471,0.0108153,0.00478298,0,0,0.00380711,0,0.0218662,0.00263465,0.0417139,0.0125563,0.0105163,0.00308929,0.00163392,0.0134823,0.0181633,0.0110869,0.0082031,0.013165,0.00615089,0.0173504,0.0605213,0.00483066,0.00855613,0.0017148,0.0136106,0.0199518,0.0126316,0.00622811,0.00410332,0,0,0.0115277,0,0.018876,0.00524839,0.0669266,0.0208537,0.0275071,0.0177316,0.010838,0.00379656,0.00621948,0.0436222,0.00993174,0.00446443,0.0204755,0.0206409,0.0131988,0.0212013,0.00905109,0.0062828,0.000783986,0.000676134,0.00355264,0.00429358,0,0,0,0,0,0,0,0.0263013,0.0434499
54,0.00249494,0.00282084,0.0405358,0.0149593,0.00883615,0.0049245,0,0,0.00333696,0,0.0217817,0.0024232,0.0421038,0.0118962,0.0134706,0.00234622,0.00144931,0.0144323,0.0192357,0.0143002,0.00855409,0.0117379,0.00663031,0.0190844,0.0593288,0.00329543,0.0084062,0.00163292,0.0150515,0.01987,0.0149568,0.00667832,0.00393741,0,0,0.012289,0,0.0187616,0.00571333,0.0674489,0.0233749,0.0288697,0.0206737,0.0105773,0.00402032,0.00338934,0.0429618,0.0089534,0.00405303,0.0219786,0.0222411,0.0144406,0.021134,0.00738229,0.00702031,0.00115247,0.000804266,0.00378781,0.00373395,0,0,0,0,0,0,0,0.026411,0.0451099
55,0.00285666,0.00277223,0.0373858,0.0150187,0.00650982,0.00514447,0,0,0.00340901,0,0.0218402,0.00238897,0.0417971,0.0122276,0.015976,0.00214704,0.00153588,0.0151954,0.0199379,0.017309,0.00900135,0.00957022,0.00713785,0.0211764,0.0574082,0.00296011,0.00836079,0.00153547,0.0217894,0.0198503,0.0197088,0.00681259,0.00395775,0,0,0.0123089,0,0.018967,0.00559019,0.0678217,0.0298038,0.029273,0.0224077,0.0107271,0.00376515,0.0035187,0.0425224,0.0106128,0.00559304,0.0203923,0.020499,0.0120826,0.0202959,0.0133817,0.0066312,0.000979296,0.000842934,0.00368808,0.00311089,0,0,0,0,0,0,0,0.0272141,0.0475328
56,0.00336815,0.00260993,0.0325993,0.0149907,0.00496629,0.0040017,0,0,0.00348323,0,0.0219656,0.00212603,0.0405821,0.0157808,0.0183132,0.0024142,0.00191496,0.0162419,0.0206467,0.0201901,0.00967588,0.00769167,0.0078351,0.0234946,0.0555994,0.00193046,0.00840605,0.00136524,0.0205708,0.0199254,0.0166883,0.00634248,0.00402599,0,0,0.0120162,0,0.0189885,0.00543036,0.06749,0.0249652,0.0286975,0.0190308,0.0114205,0.00337519,0.00549561,0.0425979,0.0109473,0.00588631,0.0181296,0.018066,0.0103616,0.0189646,0.0156482,0.00627951,0.00163405,0.000822171,0.00319313,0.00258973,0,0,0,0,0,0,0,0.028271,0.0507486
57,0.00378964,0.00274195,0.0296592,0.015175,0.00446206,0.00537868,0,0,0.00309902,0,0.0219494,0.00210652,0.0408444,0.0175062,0.0194614,0.00133545,0.00153256,0.0163572,0.0202694,0.0219358,0.0110342,0.00707855,0.00929296,0.0261901,0.0524258,0.00215619,0.00840276,0.00146929,0.0185037,0.0199553,0.0185045,0.00623485,0.00438406,0,0,0.0119924,0,0.0190703,0.00541709,0.067455,0.0271493,0.0292854,0.018697,0.0110164,0.00348839,0.00629611,0.0431226,0.0121921,0.00790935,0.0149973,0.0192838,0.00914039,0.015273,0.0115223,0.00604283,0.00241413,0.000995025,0.00323448,0.00290608,0,0,0,0,0,0,0,0.0281247,0.0529324
58,0.00438561,0.00268411,0.0273841,0.0153723,0.00584036,0.00489462,0,0,0.00276012,0,0.0220586,0.00171748,0.039608,0.0213423,0.0205183,0.0016123,0.00175777,0.0171052,0.0203196,0.0238502,0.0124789,0.0074457,0.0110562,0.0286917,0.0492883,0.0027258,0.00851263,0.00138185,0.0217436,0.0201438,0.0167351,0.00566071,0.00459393,0,0,0.011331,0,0.0190338,0.00493822,0.0676902,0.0230354,0.0286925,0.0170617,0.0113074,0.00326441,0.00760266,0.0428664,0.0133881,0.0089453,0.0147182,0.0171488,0.00863264,0.015376,0.0185511,0.00541545,0.00342228,0.00136465,0.00267795,0.00339461,0,0,0,0,0,0,0,0.0284904,0.0558382
59,0.00445317,0.00266426,0.0274681,0.0157784,0.00794561,0.00584797,0,0,0.00240647,0,0.0222069,0.00197066,0.0388349,0.0254099,0.0207312,0.00156166,0.00155858,0.0172615,0.0197264,0.0249777,0.0141239,0.00886369,0.013122,0.0311344,0.0460477,0.00321961,0.0086727,0.00131159,0.0225863,0.0203672,0.0173989,0.00528537,0.00469951,0,0,0.0106901,0,0.0190321,0.00442833,0.0677619,0.0226643,0.0284978,0.0163985,0.0110399,0.00322927,0.00826729,0.0431013,0.0140861,0.00979419,0.0141197,0.0167181,0.00809054,0.0147079,0.0198365,0.00475248,0.00436166,0.00189446,0.00254079,0.00410169,0,0,0,0,0,0,0,0.028462,0.0582207
60,0.00401196,0.00254159,0.0294594,0.0162775,0.0108588,0.00663351,0,0,0.00246226,0,0.0222968,0.00245114,0.0378574,0.0299856,0.020838,0.00146469,0.00125809,0.0171853,0.0188197,0.0256457,0.0156733,0.0105983,0.0152166,0.0333646,0.0418105,0.00357716,0.00870911,0.00150983,0.0230536,0.0206188,0.0181042,0.00494552,0.00464396,0,0,0.00999023,0,0.0190362,0.00393016,0.0677622,0.0228724,0.0281501,0.0162992,0.0108378,0.00323679,0.00857788,0.0435617,0.0142615,0.00994199,0.0142921,0.0164184,0.00797794,0.0149333,0.0201981,0.00413605,0.00530221,0.00243518,0.00252832,0.00475301,0,0,0,0,0,0,0,0.028411,0.0603722
61,0.00332828,0.00240216,0.0332082,0.0169064,0.014017,0.00700756,0,0,0.00271665,0,0.0223723,0.00299785,0.0368152,0.0342982,0.0209748,0.00115974,0.00111196,0.0172263,0.0178515,0.0261261,0.0169708,0.0122196,0.0170454,0.0351662,0.0373975,0.00368492,0.00866426,0.00189807,0.0230732,0.0208686,0.0188402,0.00468142,0.00443205,0,0,0.00924205,0,0.0190361,0.00341046,0.0676388,0.0235283,0.0277333,0.0168607,0.0107512,0.00326448,0.00858889,0.0442244,0.0139461,0.00964157,0.0148327,0.0163659,0.00813956,0.0155111,0.0198729,0.00360984,0.00598496,0.00295419,0.00253919,0.00519674,0,0,0,0,0,0,0,0.0283647,0.0620828
62,0.00180697,0.00151249,0.0526034,0.0176953,0.045107,0.0070909,0,0,0.00340089,0,0.0224015,0.00385348,0.0356589,0.0567945,0.0354829,0.00262408,0.00183607,0.0292763,0.0364006,0.0333555,0.00733494,0.00904709,0.0194953,0.0235718,0.0522755,0.00419095,0.00859598,0.00246414,0.0217872,0.0216063,0.0199715,0.00493097,0.00333625,0,0,0.00624897,0,0.01885,0.00187668,0.0684369,0.0253273,0.0267436,0.0178992,0.0109587,0.00243997,0.00860208,0.0441949,0.0138313,0.00961151,0.0162734,0.0170554,0.00926457,0.0172256,0.0176855,0.00189677,0.00729567,0.00388649,0.0014816,0.00473074,0,0,0,0,0,0,0,0.0289079,0.0626991
63,0.00240485,0.0021796,0.0427787,0.0177952,0.0190803,0.00674665,0,0,0.00477821,0,0.0224905,0.00349613,0.035754,0.0395286,0.0207416,0.00040486,0.00128,0.0172074,0.0157493,0.026428,0.0182258,0.0140273,0.018824,0.0369003,0.0357381,0.00469685,0.00865066,0.0021947,0.0215065,0.0212499,0.0201901,0.00455647,0.00382127,0,0,0.00872252,0,0.019159,0.00302994,0.0672685,0.0255689,0.0268469,0.0187395,0.0103515,0.00323994,0.00687517,0.0455877,0.0133979,0.00910294,0.016088,0.0163482,0.0088935,0.0166373,0.0178932,0.00387395,0.0069996,0.00326285,0.00280306,0.00553225,0,0,0,0,0,0,0,0.0281596,0.0640971
64,0.00219008,0.00172003,0.0685257,0.0182847,0.0462889,0.00718177,0,0,0.00600344,0,0.0224664,0.00407791,0.0350622,0.0506156,0.0360067,0.00275293,0.00219546,0.0283547,0.0340903,0.0346605,0.00810138,0.00967828,0.0190685,0.0240726,0.068811,0.00581295,0.00863811,0.00254321,0.013037,0.02175,0.0158572,0.00494897,0.00287707,0,0,0.00635515,0,0.019005,0.00175496,0.0664728,0.0207444,0.0261954,0.0111865,0.00927721,0.00252213,0.00471736,0.0468172,0.00641427,0.00487154,0.011099,0.0199584,0.00636278,0.0116517,0.00585308,0.00299897,0.00731605,0.00375904,0.00213534,0.00560718,0,0,0,0,0,0,0,0.0282328,0.0641508
65,0.00211344,0.0015589,0.0739701,0.018086,0.0464116,0.00628792,0,0,0.00576963,0,0.0225729,0.00364907,0.0346238,0.045898,0.0348238,0.00273866,0.00180555,0.026944,0.0314593,0.0343148,0.00829382,0.0108666,0.0193039,0.0240349,0.0751631,0.00564446,0.00875838,0.00230258,0.0184244,0.0216597,0.0207609,0.0062201,0.00260763,0,0,0.00651152,0,0.0190077,0.00186702,0.067765,0.027434,0.0261983,0.0197473,0.00914191,0.00242951,0.00678788,0.045381,0.0135316,0.00927748,0.0175839,0.0163971,0.00970913,0.0181452,0.0143262,0.00350389,0.00657317,0.00344379,0.00196136,0.00463797,0,0,0,0,0,0,0,0.0282693,0.0646474
66,0.00241539,0.00165034,0.077279,0.0179576,0.046424,0.00700024,0,0,0.00564862,0,0.022606,0.00355342,0.0352275,0.0413185,0.0335212,0.00266542,0.00192004,0.0252726,0.0287425,0.0337604,0.0091657,0.0125404,0.0193281,0.0243157,0.0793766,0.00544202,0.00883601,0.00231628,0.0126456,0.0215761,0.0141583,0.00584242,0.0024914,0,0,0.00667644,0,0.0190395,0.00206892,0.0660217,0.0197355,0.0262445,0.00874311,0.00814025,0.00268104,0.0040154,0.0473827,0.00438806,0.00337689,0.0105902,0.0194591,0.00524789,0.0115411,0.00745188,0.0040553,0.00547457,0.00311171,0.00229297,0.00418448,0,0,0,0,0,0,0,0.0276837,0.0646759
67,0.00223215,0.00136558,0.0797775,0.0175157,0.0465327,0.00641887,0,0,0.00497478,0,0.0226787,0.00304226,0.0353309,0.0373518,0.0313164,0.00251746,0.00148832,0.0237037,0.0258791,0.032932,0.0105135,0.0148437,0.0195719,0.0247525,0.0828375,0.00503474,0.00890371,0.00211007,0.0173769,0.0214223,0.0203777,0.00659052,0.00228115,0,0,0.00656854,0,0.0189992,0.00227543,0.0683598,0.0270358,0.0266475,0.0198252,0.00856533,0.0026683,0.00718917,0.0456369,0.0136374,0.00951167,0.0188524,0.0151646,0.00945321,0.0194164,0.0126133,0.00419963,0.00411058,0.00275073,0.00229335,0.0027599,0,0,0,0,0,0,0,0.0276053,0.0651433
68,0.002131,0.00130176,0.0816109,0.0172003,0.0464655,0.00643968,0,0,0.0048761,0,0.022688,0.00281546,0.0357525,0.0347305,0.0291148,0.0024637,0.00163641,0.0223806,0.0232195,0.0320895,0.0122739,0.0172064,0.0201201,0.0254788,0.0854774,0.00501121,0.00890315,0.00209707,0.016432,0.0212575,0.0198703,0.00648886,0.00221881,0,0,0.00640434,0,0.018883,0.00262348,0.068541,0.0269068,0.0268474,0.0197278,0.00833355,0.0028211,0.00736517,0.0456918,0.0136102,0.00961972,0.0192948,0.0144536,0.00923514,0.019849,0.0123558,0.00419987,0.00267113,0.00235359,0.00247983,0.00220408,0,0,0,0,0,0,0,0.0271211,0.0653906
69,0.00193934,0.00130449,0.0821962,0.0169661,0.0466436,0.00638484,0,0,0.00478262,0,0.0227741,0.00272615,0.0363736,0.0340797,0.0269032,0.00253207,0.00190141,0.0209915,0.0204832,0.0309132,0.0139618,0.0196719,0.0204477,0.0259094,0.087852,0.00509053,0.00893334,0.0021572,0.0162269,0.0212098,0.0193314,0.00644294,0.0021844,0,0,0.00618451,0,0.0188087,0.00301657,0.0683893,0.026236,0.0268469,0.0198249,0.00788396,0.00290444,0.00748773,0.0457297,0.0137676,0.00985045,0.0193579,0.0137984,0.00881943,0.0197614,0.012137,0.00419658,0.0016599,0.00202746,0.00251496,0.0020824,0,0,0,0,0,0,0,0.0267326,0.065394
70,0.00166963,0.00129486,0.0827576,0.0167274,0.0470388,0.00625258,0,0,0.00498171,0,0.0228023,0.00277807,0.0369307,0.0342923,0.0247805,0.00249853,0.00218783,0.0196842,0.0179301,0.0295194,0.0155996,0.0220805,0.0205953,0.0265325,0.0893734,0.00543885,0.00898287,0.00217455,0.0155281,0.0212213,0.018621,0.00641353,0.00225383,0,0,0.00642898,0,0.0186525,0.0036119,0.0681867,0.0254424,0.026777,0.0198092,0.00732008,0.00301413,0.00769878,0.045993,0.0140202,0.0103086,0.0191508,0.0131669,0.00843663,0.019323,0.011874,0.00458521,0.00132628,0.00178279,0.00246093,0.00219919,0,0,0,0,0,0,0,0.0261679,0.0652215
71,0.00143665,0.00112895,0.0828208,0.0164589,0.0476196,0.00610095,0,0,0.0052509,0,0.0227245,0.0028558,0.0374828,0.0349944,0.0228504,0.00247446,0.00230513,0.0181401,0.0157751,0.028101,0.0170362,0.0242447,0.020723,0.0271668,0.0901299,0.00581681,0.00907136,0.00212498,0.014854,0.0212947,0.0177178,0.00619696,0.0023963,0,0,0.00581521,0,0.018691,0.00362064,0.0679826,0.0243668,0.0266929,0.0194213,0.00679116,0.00271665,0.00806186,0.0464652,0.0141384,0.0107763,0.0186698,0.0125557,0.0080246,0.0186436,0.0115701,0.00400833,0.00125343,0.00176562,0.00224954,0.00254063,0,0,0,0,0,0,0,0.0256479,0.0647651
