Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,LILC,LTHIP
11,0.00260674,0.000349666,0.00640227,0.0171589,0.0132023,0.00620712,0,0,0.00409189,0,0.0216622,0.00313818,0.0485755,0.0156884,0.00974428,0.0018068,0.00236793,0.00716482,0.0116533,0.00592693,0.00662453,0.00938615,0.00534913,0.0140711,0.00634462,0.00300929,0.00881542,0.00196661,0.0558532,0.0220206,0.0286262,0.00782476,0.00367258,0,0,0.00938611,0,0.0191243,0.00506143,0.0590527,0.0273268,0.026417,0.029907,0.00877317,0.00383176,0.0259379,0.0650618,0.0281249,0.031882,0.0193449,0.0214488,0.0104104,0.0172912,0.0580549,0.00591726,0.00833686,0.00491179,0.00110446,0.00269536,0,0,0,0,0,0,0,0.0195074,0.0426417
12,0.00263045,0.000355621,0.0064685,0.0168144,0.01314,0.00531894,0,0,0.0028451,0,0.0215663,0.0027691,0.0487033,0.0155142,0.00930455,0.00162211,0.0024431,0.0067965,0.011161,0.00558071,0.00689014,0.0101581,0.00479201,0.0139106,0.00690216,0.00245852,0.00879232,0.00170012,0.054263,0.0221746,0.0281872,0.00764965,0.00342971,0,0,0.0100348,0,0.0193026,0.00520459,0.0591984,0.0261312,0.0263057,0.0304094,0.00828893,0.00395662,0.0264037,0.0648846,0.0284382,0.0328509,0.0209447,0.0218841,0.0104748,0.0189973,0.0570473,0.00748872,0.0090543,0.0052517,0.000880523,0.00287442,0,0,0,0,0,0,0,0.0200509,0.0429222
13,0.00259724,0.000334752,0.00670138,0.0164789,0.0130313,0.00475616,0,0,0.00146655,0,0.0214533,0.00248222,0.0488325,0.0158278,0.00901729,0.00148026,0.00275711,0.00667502,0.0110601,0.00525286,0.00696668,0.0106893,0.00432075,0.0137711,0.007606,0.00235318,0.00874653,0.00150542,0.0524603,0.0223072,0.0274076,0.00754353,0.00321372,0,0,0.0106863,0,0.0193873,0.00540818,0.0593259,0.0250828,0.0261063,0.0306882,0.00812393,0.00409826,0.0264933,0.0646825,0.0285276,0.0333879,0.0225141,0.0221933,0.0104214,0.020754,0.0557171,0.00867183,0.00930638,0.0053452,0.00101775,0.0031424,0,0,0,0,0,0,0,0.0205541,0.0429784
14,0.00257883,0.000334826,0.00701884,0.0163711,0.0127522,0.00440097,0,0,0.0019736,0,0.021506,0.00267575,0.0486981,0.0161214,0.00865672,0.00144798,0.00344536,0.00683502,0.0111811,0.00472687,0.00676038,0.0106571,0.00402744,0.0137543,0.00827208,0.00332373,0.00869111,0.00158706,0.0510529,0.0223783,0.0266823,0.00742467,0.0030531,0,0,0.0110159,0,0.0194188,0.00555036,0.0594818,0.0234748,0.0258535,0.0307322,0.00830757,0.00408043,0.0262614,0.0643227,0.0283971,0.0334902,0.0237097,0.0223056,0.010079,0.0221418,0.0550629,0.00920067,0.00918782,0.0052771,0.00104918,0.00341299,0,0,0,0,0,0,0,0.0210452,0.042657
15,0.00247215,0.000426677,0.00718342,0.0162236,0.0121516,0.00428929,0,0,0.000872336,0,0.0215106,0.0022646,0.0483632,0.0160368,0.0081423,0.00149826,0.00350051,0.00720624,0.011329,0.00422226,0.00641004,0.0103209,0.00379395,0.0139575,0.00898312,0.00338572,0.00871856,0.00124332,0.0498715,0.0223904,0.0257537,0.00719765,0.00282155,0,0,0.0113649,0,0.019304,0.00553006,0.0595872,0.0232706,0.0254241,0.0306566,0.00865982,0.0040624,0.0258673,0.0638911,0.0281379,0.0332932,0.0247477,0.0225916,0.00988817,0.0234052,0.0537984,0.00956457,0.0088527,0.00497577,0.00120062,0.00352245,0,0,0,0,0,0,0,0.0214367,0.0421943
16,0.00244405,0.000531362,0.00730659,0.0162425,0.0116016,0.00399008,0,0,0.00230821,0,0.0214964,0.00257707,0.0479619,0.0158938,0.00719837,0.00167907,0.00369786,0.007702,0.011088,0.00394242,0.00581405,0.00963828,0.00368651,0.0143198,0.00935517,0.00428908,0.00867836,0.00132641,0.0491655,0.0223913,0.0248175,0.00693974,0.00280063,0,0,0.0112989,0,0.0191414,0.00540078,0.0598384,0.0213264,0.0249343,0.0304992,0.0091291,0.00383795,0.0251637,0.0633619,0.0277007,0.0327193,0.0253247,0.0225444,0.00935988,0.0242554,0.0532659,0.00940844,0.00839939,0.00454721,0.00154454,0.00353265,0,0,0,0,0,0,0,0.0216932,0.0420597
17,0.00242308,0.00065702,0.00745058,0.0163082,0.0111322,0.00363187,0,0,0.00245836,0,0.0214315,0.00262782,0.0476269,0.0158688,0.00614333,0.00177267,0.00365027,0.00791808,0.0105709,0.00396727,0.00524332,0.00893171,0.00377562,0.0146868,0.00992466,0.00460521,0.0086235,0.00131763,0.0488298,0.0223754,0.0236336,0.00666313,0.00280381,0,0,0.0108139,0,0.0189938,0.00541872,0.060048,0.0202974,0.024416,0.0303345,0.00947102,0.00360029,0.0242105,0.0627593,0.0270513,0.031809,0.0257919,0.0225614,0.00913766,0.0250189,0.0532309,0.00889276,0.00777254,0.00406971,0.00175292,0.00346388,0,0,0,0,0,0,0,0.0219919,0.0422393
18,0.00240281,0.000773961,0.00814954,0.0164369,0.0107017,0.00377461,0,0,0.00252082,0,0.0214701,0.00273501,0.047284,0.0157842,0.00516107,0.00205728,0.00351471,0.00797548,0.0100327,0.00403698,0.00507936,0.00881287,0.00391277,0.0148778,0.0110447,0.004851,0.0085843,0.00137857,0.0484939,0.022299,0.0223868,0.00603487,0.00283846,0,0,0.00955337,0,0.0189003,0.00519635,0.0601323,0.0189333,0.0238526,0.0297939,0.0097444,0.00334491,0.0229961,0.0621295,0.0262377,0.0305365,0.0259992,0.022497,0.00876429,0.025511,0.0534683,0.00761811,0.00678423,0.00377957,0.00150675,0.00332533,0,0,0,0,0,0,0,0.0223134,0.0422342
19,0.00235972,0.000639641,0.00914137,0.0164885,0.0102802,0.00428545,0,0,0.00245113,0,0.0216019,0.0027288,0.046927,0.0156539,0.00417259,0.00208458,0.00313022,0.00765858,0.00928634,0.00410805,0.00516819,0.00893545,0.00398019,0.0149666,0.0124384,0.00500753,0.00874604,0.00141641,0.0482306,0.0221544,0.0212326,0.00573162,0.00284169,0,0,0.00806172,0,0.0187545,0.00477936,0.0602841,0.0182719,0.023371,0.0291447,0.00950111,0.00310226,0.0215325,0.0613875,0.0253736,0.0289959,0.02616,0.0224939,0.00851436,0.0259468,0.0537696,0.00620902,0.00586276,0.00346373,0.00174983,0.00339101,0,0,0,0,0,0,0,0.0226143,0.0420406
20,0.00221378,0.00056501,0.0100109,0.0164101,0.0100161,0.0045373,0,0,0.00230703,0,0.0217406,0.00272199,0.0465744,0.0153631,0.00299288,0.00192618,0.00267182,0.00728864,0.00812259,0.00442327,0.00531014,0.00887728,0.00410616,0.0149812,0.0136626,0.00503928,0.00903557,0.00141859,0.0482211,0.0219623,0.0203554,0.00550694,0.00280955,0,0,0.00634076,0,0.0185766,0.0042475,0.0605575,0.0183766,0.0229379,0.0284995,0.0089321,0.00296332,0.019949,0.0606753,0.0244759,0.0271557,0.0262613,0.0224716,0.00850349,0.026287,0.0543762,0.00463497,0.00504891,0.00319006,0.00259649,0.00353712,0,0,0,0,0,0,0,0.0228115,0.0417098
