Timestep,C7,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,CLAV
67,0.0113095,0.016887,0.0125917,0.00593321,0.00894029,0,0,0.0178189,0,0.0241151,0.011653,0.0443649,0.0131425,0.0160073,0.0118311,0.0267731,0.0148237,0.00736551,0.00878672,0.00972281,0.0514307,0.0136114,0.0141286,0.0119993,0.0118535,0.0256861,0.0107751,0.0111081,0.00546789,0.0199843,0.0181848,0.0236593,0.0138931,0.00754996,0,0,0.0205627,0,0.0165449,0.0166318,0.0596481,0.0207789,0.0234604,0.00801102,0.0139446,0.0160301,0.00751249,0.0550012,0.0102993,0.00980545,0.00894775,0.0156694,0.00668827,0.016261,0.0148341,0.0181261,0.00979367,0.00852166,0.021747,0.00734877,0,0,0,0,0,0,0,0,0.0203752
68,0.0110371,0.0169176,0.0129448,0.00518138,0.0094193,0,0,0.0175374,0,0.0239579,0.0113494,0.0448308,0.0113938,0.015764,0.00961602,0.0264849,0.014561,0.00722433,0.00763196,0.00856417,0.051239,0.013219,0.0137918,0.0125525,0.0128268,0.0254369,0.0104397,0.0111565,0.00521704,0.0222648,0.018577,0.022494,0.0146389,0.00591149,0,0,0.0204332,0,0.0165946,0.0159673,0.0596302,0.0191264,0.0235417,0.00884332,0.013398,0.0147393,0.00834743,0.055827,0.0110639,0.0106092,0.00904135,0.0159101,0.00620899,0.0164891,0.0206499,0.0170587,0.00825945,0.0077452,0.0211417,0.0065405,0,0,0,0,0,0,0,0,0.0198123
69,0.0107949,0.0172375,0.013225,0.00451596,0.00972568,0,0,0.0174844,0,0.0237688,0.0111669,0.0450103,0.0103978,0.0154694,0.0087641,0.0260196,0.0144923,0.00721363,0.00753095,0.00770908,0.0512053,0.0129619,0.0135601,0.0127295,0.0131153,0.0256828,0.0104477,0.0111629,0.00504366,0.0245125,0.0189947,0.0207854,0.0152029,0.00448989,0,0,0.0206894,0,0.0166955,0.0155206,0.0596408,0.0175453,0.0236027,0.00954138,0.0128799,0.0136871,0.00903023,0.0565113,0.0117287,0.0112979,0.00873719,0.0161007,0.00569657,0.0160536,0.0275823,0.0163476,0.00638628,0.00698286,0.020509,0.00552478,0,0,0,0,0,0,0,0,0.0192032
70,0.0107167,0.0180728,0.0134472,0.00405485,0.0100728,0,0,0.0175684,0,0.023585,0.0111134,0.0449199,0.0102427,0.0152648,0.00856261,0.0254774,0.0146936,0.00712634,0.007377,0.00716206,0.0514961,0.0125616,0.0131823,0.0125439,0.0130663,0.0265287,0.0105808,0.0111349,0.00497592,0.0267852,0.0193158,0.0191549,0.0156595,0.00343968,0,0,0.0211894,0,0.0167818,0.0151824,0.059817,0.0172589,0.0237003,0.0099514,0.0124883,0.0128706,0.00957345,0.0569925,0.0121572,0.0119688,0.00819507,0.0163984,0.00526306,0.0153529,0.0339464,0.0160919,0.00466047,0.00617897,0.0199241,0.0045878,0,0,0,0,0,0,0,0,0.0186324
71,0.0107642,0.019267,0.0135876,0.00367529,0.0105431,0,0,0.0178105,0,0.0234242,0.0112267,0.0446765,0.0104952,0.0151135,0.00851363,0.0250721,0.0148827,0.00701409,0.00718953,0.00680771,0.0519993,0.0119851,0.0127074,0.0121568,0.0128666,0.0278563,0.0108718,0.0110988,0.00500981,0.0287627,0.0195726,0.0177866,0.0160115,0.00264043,0,0,0.0220921,0,0.0168882,0.0151557,0.0600917,0.0187832,0.0237487,0.00997175,0.0121436,0.0123665,0.0100489,0.0572164,0.0124027,0.0127873,0.00759549,0.0168361,0.00499709,0.0148408,0.0377423,0.0163434,0.00327696,0.00546973,0.0195037,0.00383591,0,0,0,0,0,0,0,0,0.0182714
72,0.0108761,0.0205792,0.0135417,0.00347179,0.0107956,0,0,0.0180648,0,0.0233052,0.0114827,0.0444525,0.0108588,0.0150321,0.00828904,0.0248702,0.0150076,0.00711218,0.00721676,0.0065564,0.0524023,0.0113168,0.0122223,0.0116948,0.0125734,0.0292367,0.011192,0.0110536,0.00507748,0.0305657,0.0197691,0.0164895,0.0163007,0.00221648,0,0,0.0230967,0,0.0170057,0.0152726,0.0604542,0.0208611,0.0237861,0.00964239,0.0118791,0.0121208,0.0105292,0.0571493,0.0125405,0.0138106,0.00717493,0.0173239,0.00468795,0.0145519,0.0405647,0.017097,0.00327047,0.00481922,0.0192187,0.00366532,0,0,0,0,0,0,0,0,0.0180504
73,0.0111681,0.0215278,0.0134473,0.00361246,0.0109497,0,0,0.0182363,0,0.0231753,0.0116738,0.044371,0.0111746,0.0150856,0.00804115,0.024406,0.0150163,0.00712536,0.00753302,0.00646248,0.0526691,0.0107861,0.0118837,0.0113681,0.0122907,0.0302593,0.0114637,0.0110064,0.00517572,0.0322831,0.0198841,0.0152733,0.0165739,0.00198896,0,0,0.0244678,0,0.017144,0.015725,0.0609341,0.0227157,0.0237943,0.00911127,0.0118519,0.0122467,0.0110695,0.0570216,0.0125737,0.015026,0.00735883,0.0177277,0.00407214,0.0146506,0.0432136,0.0183397,0.00492115,0.00453839,0.0190913,0.0035558,0,0,0,0,0,0,0,0,0.0181364
74,0.0116753,0.0217917,0.0133582,0.00378671,0.0109039,0,0,0.0182701,0,0.0230549,0.0116914,0.044331,0.0111608,0.0153074,0.00804879,0.0240665,0.0149159,0.00661259,0.00764417,0.00650774,0.0528024,0.0106431,0.0117167,0.0111633,0.0120412,0.0303336,0.0116167,0.0109421,0.0052583,0.0340415,0.0199394,0.0150807,0.0168291,0.00198674,0,0,0.0261013,0,0.0173125,0.0164145,0.0615349,0.024708,0.0237532,0.00863416,0.012076,0.012648,0.0115695,0.0571549,0.0125807,0.0163623,0.00823374,0.0183137,0.00324922,0.0153759,0.0458672,0.0199251,0.00721511,0.00455327,0.0190252,0.00358445,0,0,0,0,0,0,0,0,0.0183493
75,0.0122802,0.0213204,0.0132701,0.00374876,0.0108999,0,0,0.018176,0,0.0229417,0.0115978,0.0443017,0.0109721,0.0154367,0.00814513,0.0238424,0.0148704,0.00571913,0.00764358,0.00656486,0.0527429,0.010863,0.0117754,0.0110744,0.0118132,0.0295571,0.0116813,0.0108593,0.00540423,0.0356561,0.0198956,0.015679,0.0169899,0.00222656,0,0,0.0277316,0,0.0174871,0.0171204,0.0617029,0.0266562,0.0236424,0.0081776,0.0123619,0.0131369,0.0120391,0.0572962,0.0124661,0.0176116,0.00956543,0.0190046,0.00236678,0.0166882,0.0485611,0.0216127,0.00957572,0.00474434,0.0190278,0.00407926,0,0,0,0,0,0,0,0,0.0185854
76,0.0129745,0.0200616,0.0131708,0.00337691,0.0109129,0,0,0.0179359,0,0.0227437,0.0114084,0.0442978,0.0104578,0.0155804,0.00830162,0.0235574,0.0147689,0.00586817,0.00743658,0.00659899,0.0526511,0.0113004,0.0120328,0.0110966,0.0115731,0.0279207,0.0115712,0.0107581,0.00553707,0.0369393,0.0198573,0.0166536,0.0173737,0.00268008,0,0,0.0292446,0,0.0176455,0.0177022,0.0606965,0.0288349,0.0232731,0.0077402,0.0125792,0.0135418,0.0122665,0.0572175,0.0123276,0.0185447,0.0113007,0.0196455,0.0017988,0.01852,0.0508104,0.0231355,0.0115055,0.00507295,0.0190308,0.0047927,0,0,0,0,0,0,0,0,0.0187917
77,0.0137201,0.0186412,0.013138,0.00305359,0.0107637,0,0,0.0175823,0,0.0225878,0.0112161,0.0445787,0.0098137,0.0158609,0.0086485,0.0230241,0.0147351,0.00596185,0.00739596,0.00687121,0.0525852,0.0118953,0.0124268,0.0112006,0.0115483,0.0263112,0.0113812,0.0106316,0.00550806,0.0383904,0.0198061,0.0174562,0.0177441,0.00331452,0,0,0.030757,0,0.0178135,0.0182999,0.0601023,0.0306157,0.0228273,0.00732446,0.0127597,0.0139205,0.0124666,0.0571428,0.012129,0.0192865,0.0128641,0.0202387,0.00169595,0.0204077,0.0528185,0.0245803,0.0133297,0.00553643,0.0189804,0.0054319,0,0,0,0,0,0,0,0,0.0189333
78,0.0144578,0.0174518,0.0131059,0.00323434,0.0102278,0,0,0.0171839,0,0.0224883,0.0110013,0.044938,0.00945103,0.0162846,0.00907764,0.0224732,0.0148522,0.00594787,0.00762144,0.00735447,0.0525099,0.0124236,0.01281,0.0113695,0.01174,0.0249682,0.0110704,0.0105603,0.00557814,0.0398037,0.0197666,0.0180783,0.0177694,0.00398207,0,0,0.0320729,0,0.0179845,0.0187617,0.0599721,0.0320799,0.0224326,0.00699975,0.0129644,0.0142795,0.0125654,0.0571543,0.012119,0.0197795,0.0140852,0.0207406,0.00194168,0.0221045,0.0549474,0.0258038,0.0148053,0.00588534,0.0188991,0.00589898,0,0,0,0,0,0,0,0,0.0190712
79,0.0150495,0.0165436,0.012987,0.00387423,0.00980039,0,0,0.0168311,0,0.0224477,0.0109183,0.0451254,0.00959196,0.0164935,0.0094589,0.0222321,0.015053,0.00642368,0.00787653,0.00793996,0.0523545,0.0127521,0.0131145,0.0115478,0.012119,0.0238938,0.0107455,0.0105702,0.00578042,0.0410558,0.0197126,0.0184764,0.0176409,0.00459161,0,0,0.033182,0,0.0180903,0.0191129,0.0599653,0.0333557,0.0220449,0.00682261,0.0130154,0.0144566,0.01243,0.0571517,0.0121895,0.0199202,0.0150814,0.0210023,0.00211853,0.0235115,0.0567247,0.026704,0.0155393,0.00603689,0.0188637,0.00595356,0,0,0,0,0,0,0,0,0.019315
80,0.015517,0.01596,0.0129518,0.00469001,0.00971615,0,0,0.0163574,0,0.0224155,0.0108241,0.0451211,0.0101897,0.0166458,0.00972044,0.0219827,0.0152011,0.0069897,0.0081207,0.00859388,0.0521192,0.0129101,0.0133184,0.0116962,0.0126671,0.023159,0.0104053,0.0105389,0.00596674,0.0421738,0.0196408,0.0186966,0.0174899,0.00525893,0,0,0.0342229,0,0.0181567,0.0195571,0.0598956,0.034791,0.0216073,0.00671624,0.0128566,0.0143692,0.0121123,0.0571263,0.0122306,0.0196999,0.0158504,0.021148,0.00242481,0.0246986,0.058304,0.0273525,0.0161352,0.00602751,0.0188291,0.00558395,0,0,0,0,0,0,0,0,0.0195914
81,0.0159072,0.0156257,0.0129243,0.00565654,0.00974732,0,0,0.0159392,0,0.0223662,0.0106735,0.045005,0.0110412,0.0169251,0.00985103,0.021772,0.0154359,0.00757351,0.00842419,0.00927142,0.0518891,0.0130697,0.0134922,0.011887,0.0132152,0.0227041,0.0101296,0.0104987,0.00610192,0.0434225,0.0195694,0.0185833,0.0173744,0.00588374,0,0,0.0351059,0,0.0182364,0.020034,0.0597603,0.0362913,0.021236,0.00662712,0.012936,0.014204,0.0117382,0.0569672,0.0121713,0.0190762,0.0164197,0.0212474,0.00275001,0.0254629,0.0599899,0.0277785,0.0165733,0.00590511,0.018861,0.00512944,0,0,0,0,0,0,0,0,0.0198878
82,0.0162203,0.0152253,0.0129185,0.00654246,0.00972005,0,0,0.0156009,0,0.0223569,0.0105359,0.0448725,0.0117346,0.0172798,0.00999605,0.021592,0.0155515,0.00810055,0.00879632,0.00991642,0.05166,0.0132918,0.0136769,0.0120798,0.0137818,0.0220829,0.00991565,0.0104844,0.00612662,0.0447844,0.0194747,0.018445,0.0172415,0.00641933,0,0,0.0358355,0,0.0182874,0.0205888,0.0597332,0.0378539,0.0209448,0.00653629,0.0133154,0.0140148,0.0113245,0.0567691,0.0119972,0.0183471,0.0167858,0.0213224,0.00299757,0.0261038,0.0619383,0.0279483,0.016371,0.00572562,0.0189712,0.00459892,0,0,0,0,0,0,0,0,0.0201859
83,0.0164734,0.0146806,0.0128549,0.00738554,0.0094712,0,0,0.0155306,0,0.0223889,0.0105732,0.0446902,0.0122403,0.0176225,0.0100794,0.021569,0.0155564,0.00845707,0.00915203,0.0104419,0.051454,0.0135305,0.0139121,0.0123229,0.0142791,0.0212634,0.00993916,0.010538,0.00609592,0.0461733,0.0193406,0.0181431,0.0170856,0.00685609,0,0,0.0363042,0,0.0182981,0.0210229,0.0599476,0.0393273,0.0207236,0.00643695,0.0138853,0.0137998,0.0107472,0.0565233,0.0118008,0.0174771,0.0170847,0.0213614,0.00317748,0.0266261,0.0640896,0.0278971,0.0158547,0.00566127,0.0191625,0.00425293,0,0,0,0,0,0,0,0,0.0204634
84,0.0166542,0.014079,0.0127954,0.00817347,0.00927856,0,0,0.0154533,0,0.0224249,0.0106182,0.0444448,0.0126395,0.0179088,0.010343,0.0216491,0.0153789,0.00882904,0.00951446,0.0109099,0.0512713,0.0137586,0.0140891,0.012572,0.0146838,0.0202692,0.0100196,0.0106336,0.00596834,0.0476271,0.0192419,0.0178019,0.0167997,0.00718343,0,0,0.0365605,0,0.0182903,0.0213501,0.0605487,0.0406577,0.0203648,0.00627131,0.0142006,0.0134628,0.0101005,0.0563378,0.0118531,0.0164555,0.0173892,0.0213917,0.00331362,0.0269229,0.0662503,0.027592,0.0151523,0.00569745,0.0192341,0.00405984,0,0,0,0,0,0,0,0,0.0205704
85,0.0167323,0.0134801,0.0127882,0.00895708,0.00921632,0,0,0.0153741,0,0.0224465,0.0106184,0.0441524,0.0128781,0.0182136,0.010682,0.0216711,0.0152014,0.00901223,0.00993072,0.0113293,0.0510917,0.0140225,0.0142408,0.0128464,0.0150515,0.0191875,0.0100392,0.0107134,0.00587337,0.0491123,0.0191814,0.0176435,0.0164521,0.00743679,0,0,0.0366271,0,0.0183179,0.0215612,0.0612755,0.0418559,0.0200645,0.00601195,0.0144768,0.0131482,0.00949023,0.0561931,0.0118488,0.0153364,0.0175084,0.0214119,0.00350783,0.0271333,0.0683875,0.0270578,0.0145567,0.00582989,0.0192697,0.00408735,0,0,0,0,0,0,0,0,0.0206354
86,0.016549,0.013039,0.0128377,0.00982978,0.00915761,0,0,0.0151855,0,0.022505,0.0104292,0.0438674,0.0131483,0.0184828,0.0110987,0.0216358,0.0149779,0.00900985,0.010383,0.0117809,0.0509276,0.0143379,0.0144346,0.0132061,0.0154694,0.0182214,0.00994694,0.0107881,0.00578245,0.0505579,0.0190823,0.0175815,0.0160326,0.00751723,0,0,0.0365155,0,0.0183682,0.0215697,0.0616434,0.0431028,0.0198139,0.00568381,0.0148266,0.0127952,0.00891956,0.0558839,0.011675,0.0142602,0.0175143,0.0214125,0.00373338,0.0273324,0.0704664,0.0262162,0.0137418,0.00605953,0.0192537,0.00416796,0,0,0,0,0,0,0,0,0.0205899
87,0.0164412,0.012722,0.012808,0.0107272,0.00903771,0,0,0.0151744,0,0.0225966,0.0103605,0.043588,0.0134581,0.0187014,0.0115803,0.0216884,0.0149031,0.00895495,0.0107593,0.0122007,0.050731,0.014695,0.0147267,0.0135674,0.0158641,0.0173499,0.0101743,0.0109032,0.00570881,0.0517524,0.0189248,0.0176204,0.0156172,0.00773642,0,0,0.036289,0,0.018378,0.0215153,0.0617619,0.0442521,0.0196056,0.00531333,0.015234,0.0125548,0.00837498,0.0554981,0.0113764,0.0132443,0.0176997,0.0213856,0.00388929,0.0274792,0.0721467,0.0252677,0.0128811,0.00646652,0.019373,0.00428219,0,0,0,0,0,0,0,0,0.0207611
88,0.0161004,0.0127255,0.0127873,0.0114892,0.00874097,0,0,0.015118,0,0.0226609,0.0102916,0.0434721,0.013791,0.0189796,0.0120841,0.0217054,0.0148533,0.0087856,0.0110266,0.0124869,0.0505362,0.0150839,0.0150258,0.013918,0.0162433,0.0165651,0.0103588,0.0109791,0.00560464,0.0528586,0.0186391,0.0177143,0.0151691,0.00775,0,0,0.0359434,0,0.0183794,0.021327,0.061846,0.0450339,0.01939,0.00494931,0.0156682,0.0123814,0.00797228,0.0550887,0.011056,0.0123371,0.0179699,0.0213408,0.00400006,0.0274617,0.0735937,0.0241285,0.0121188,0.00672446,0.0193774,0.00435019,0,0,0,0,0,0,0,0,0.0207904
89,0.0157618,0.0131062,0.0127584,0.0123057,0.00867316,0,0,0.0152537,0,0.0227145,0.0103878,0.0433679,0.0143117,0.0192283,0.0127603,0.0216793,0.0149339,0.00848704,0.0113217,0.0127561,0.0503039,0.0153957,0.0152414,0.0142575,0.0166288,0.0163532,0.0105607,0.011039,0.00562255,0.0538086,0.0183458,0.0177935,0.0147159,0.00778015,0,0,0.0355985,0,0.0183959,0.0211439,0.0620978,0.045348,0.0192555,0.00461304,0.0160524,0.0123688,0.00766433,0.0547583,0.0108261,0.0115942,0.0179057,0.0213168,0.0041088,0.0275163,0.0746924,0.0229436,0.0116614,0.00697319,0.0195226,0.0044559,0,0,0,0,0,0,0,0,0.0209273
90,0.0160305,0.0138148,0.0127351,0.0130115,0.00902015,0,0,0.0153747,0,0.0227571,0.0105133,0.043253,0.0151847,0.0194371,0.0135728,0.0215909,0.0150483,0.00823334,0.0115382,0.0131084,0.0500272,0.0156638,0.0154462,0.0145312,0.0169614,0.0165085,0.0107681,0.0110893,0.00569417,0.0543055,0.0180935,0.0178172,0.0142806,0.00783498,0,0,0.0352978,0,0.0184523,0.0209528,0.0620187,0.045373,0.0191693,0.00432041,0.0163635,0.0124194,0.00721747,0.0543434,0.0106509,0.0109541,0.0177324,0.0213284,0.00410792,0.0275793,0.0753929,0.0217812,0.0112569,0.00717747,0.0197339,0.00455972,0,0,0,0,0,0,0,0,0.021049
91,0.0164265,0.0147386,0.0126561,0.0137486,0.00864213,0,0,0.0155895,0,0.0228117,0.0107568,0.0431651,0.0156324,0.0196662,0.0143766,0.0215798,0.0152727,0.0079486,0.0115795,0.0136232,0.0496787,0.0160183,0.0156435,0.0147797,0.0172927,0.0169598,0.0112264,0.0111749,0.00581712,0.0543115,0.0178271,0.0177323,0.0139137,0.00803485,0,0,0.0350638,0,0.0184809,0.0208611,0.0617274,0.0451987,0.0190006,0.00419824,0.0166767,0.0125173,0.0068349,0.0539027,0.0104657,0.0104099,0.0174635,0.0213305,0.0040302,0.0273981,0.0755957,0.0206965,0.0109609,0.00742246,0.020036,0.0046072,0,0,0,0,0,0,0,0,0.0212956
92,0.0164434,0.0156551,0.0126332,0.0144806,0.00808453,0,0,0.0156816,0,0.0228855,0.0109223,0.0431837,0.0156297,0.0199398,0.0151971,0.0215061,0.0154825,0.00772399,0.0116989,0.0140256,0.0492954,0.0163085,0.0157937,0.0149514,0.0178283,0.0174251,0.0115428,0.011249,0.00595243,0.0541039,0.0176157,0.017034,0.0135186,0.00816649,0,0,0.0348051,0,0.0185219,0.0207027,0.0616302,0.0445187,0.0188085,0.00437834,0.0169332,0.0126271,0.00657135,0.0535486,0.0101175,0.00997964,0.0167419,0.0208958,0.00372585,0.0266546,0.0750404,0.019693,0.0107455,0.00756801,0.0202068,0.00474326,0,0,0,0,0,0,0,0,0.0214552
93,0.016449,0.0169048,0.0126315,0.0152931,0.0075268,0,0,0.0157216,0,0.0229412,0.0110334,0.0432777,0.01592,0.0202312,0.01599,0.0212821,0.0156805,0.00764907,0.0118478,0.0142268,0.0490084,0.0165423,0.015936,0.0151452,0.0182083,0.0181852,0.0117257,0.0113099,0.0060804,0.0533781,0.0174455,0.0161612,0.0131272,0.00832817,0,0,0.0345947,0,0.018575,0.0205517,0.0614279,0.0431341,0.0185552,0.00461844,0.017114,0.0127985,0.00633666,0.0532229,0.009929,0.00964144,0.0158168,0.0202374,0.00338693,0.0255265,0.0735917,0.0189794,0.0108167,0.00768018,0.0204007,0.00499011,0,0,0,0,0,0,0,0,0.0216138
94,0.0167057,0.0182727,0.0126102,0.0160048,0.0070941,0,0,0.0157294,0,0.0229497,0.0111403,0.0433371,0.0164519,0.0204392,0.0166852,0.0211747,0.015783,0.00763243,0.0120113,0.0146025,0.0487299,0.0167652,0.0160573,0.0152612,0.0185899,0.0193551,0.0118384,0.0113444,0.0062276,0.0520748,0.0173393,0.0151978,0.0128561,0.00841375,0,0,0.034446,0,0.0186457,0.0204158,0.061518,0.0409513,0.0183308,0.00504446,0.0173198,0.012946,0.00630687,0.0531515,0.0100939,0.00942656,0.0143526,0.0196579,0.00266506,0.0237956,0.0713506,0.0183444,0.0110269,0.00775383,0.0206175,0.00515789,0,0,0,0,0,0,0,0,0.0217125
95,0.0160818,0.0197408,0.0125598,0.0166245,0.00668477,0,0,0.0156754,0,0.0229733,0.0112746,0.0433948,0.0166632,0.0206746,0.017215,0.02116,0.016007,0.00766976,0.0121267,0.0147612,0.0485016,0.0169325,0.0161137,0.0154007,0.0188547,0.0208549,0.0119349,0.0113951,0.00637242,0.0500176,0.0172136,0.0142502,0.0126946,0.0086273,0,0,0.0344213,0,0.0187141,0.020382,0.0616656,0.0379386,0.0181152,0.00572,0.017509,0.0131448,0.00648982,0.0531299,0.0102663,0.00922224,0.0122594,0.0189597,0.00159633,0.0211933,0.0680846,0.0177878,0.0112168,0.00781275,0.0209576,0.00538467,0,0,0,0,0,0,0,0,0.0219622
96,0.0158838,0.0211223,0.0125365,0.0172273,0.00628676,0,0,0.0155214,0,0.0229921,0.011302,0.0434528,0.0168447,0.0208882,0.0176882,0.0211751,0.016249,0.0077005,0.0122394,0.0151252,0.0483761,0.017083,0.0160789,0.0154807,0.0189714,0.0224556,0.0120174,0.0114295,0.00646734,0.0470211,0.0171082,0.0131933,0.0126208,0.00886682,0,0,0.0344972,0,0.0187995,0.02044,0.061671,0.0338755,0.0178612,0.0065179,0.0176159,0.0133767,0.00673661,0.0530381,0.0102864,0.00894362,0.00963228,0.0180211,0.00119346,0.0176667,0.0635799,0.0174236,0.0114314,0.00788347,0.0212053,0.00565873,0,0,0,0,0,0,0,0,0.0222154
97,0.0160774,0.0224708,0.0125384,0.0177428,0.00580084,0,0,0.0151986,0,0.0229444,0.0112252,0.0434903,0.0171031,0.020955,0.0181155,0.0210175,0.0163034,0.00765878,0.0123651,0.0157699,0.0482735,0.0171889,0.0160244,0.0154795,0.0189951,0.0239288,0.0119647,0.0114581,0.00649444,0.0427555,0.0170777,0.0121922,0.0126346,0.00908627,0,0,0.0346124,0,0.0188995,0.0205055,0.0615207,0.0290845,0.0175231,0.00715342,0.0176267,0.0135729,0.00681841,0.052993,0.00993258,0.00844442,0.00683781,0.0169744,0.00214531,0.0137252,0.0570765,0.0172842,0.011746,0.00791438,0.0212998,0.00590445,0,0,0,0,0,0,0,0,0.0223478
98,0.0163842,0.0237805,0.0124873,0.0181531,0.00550755,0,0,0.0148633,0,0.0228658,0.0111723,0.0435239,0.0173641,0.0209107,0.0184835,0.0208396,0.0162834,0.00745322,0.0124595,0.0162133,0.0480995,0.017212,0.015908,0.0154056,0.0189762,0.0253434,0.0118955,0.0114873,0.00652492,0.0375883,0.0170981,0.0117537,0.0127159,0.00937561,0,0,0.0347332,0,0.0190241,0.0205339,0.0614224,0.024093,0.0172111,0.00767674,0.0176177,0.013776,0.00671702,0.0529963,0.0092453,0.00774601,0.00384721,0.0159839,0.00335526,0.0090826,0.0491323,0.017297,0.0120817,0.00786182,0.0214162,0.00609522,0,0,0,0,0,0,0,0,0.0225045
99,0.0167077,0.0251469,0.0124462,0.0185172,0.0052525,0,0,0.0146184,0,0.0229079,0.0111822,0.0435889,0.0176431,0.0208287,0.0186685,0.0207241,0.0163175,0.0074088,0.012231,0.0163959,0.0478716,0.0171297,0.0157313,0.0153016,0.018813,0.0268983,0.0118176,0.0115479,0.00659566,0.0313444,0.0170873,0.0116469,0.012877,0.00968764,0,0,0.0349617,0,0.0191653,0.0206394,0.0613144,0.0193487,0.0169505,0.00824452,0.0176302,0.0139692,0.00655029,0.0530385,0.00865126,0.00702826,0.00210191,0.0151722,0.00482545,0.00411035,0.0400204,0.0174999,0.0124344,0.00786227,0.0216568,0.00626489,0,0,0,0,0,0,0,0,0.0227178
100,0.017116,0.0264586,0.0124178,0.0189238,0.00494647,0,0,0.0144703,0,0.0229587,0.0112393,0.0436906,0.0178676,0.0206617,0.0188258,0.0207033,0.0164182,0.00743911,0.0118201,0.0165093,0.0476004,0.0169526,0.015463,0.01518,0.0185829,0.028226,0.0118538,0.0115752,0.00668014,0.0241999,0.0170272,0.0114852,0.0130123,0.0100795,0,0,0.0353041,0,0.0193122,0.0208457,0.0611434,0.0150773,0.0168029,0.00923318,0.0176025,0.01424,0.00671044,0.0529635,0.00861519,0.00705798,0.00467801,0.0144595,0.00646658,0.00152252,0.0299986,0.0178493,0.0128091,0.00788454,0.0220161,0.00647117,0,0,0,0,0,0,0,0,0.0230056
101,0.0175752,0.0277033,0.0123433,0.019297,0.00476659,0,0,0.0143844,0,0.0230004,0.011293,0.0438883,0.0179851,0.0203705,0.0189454,0.020809,0.0165804,0.00746304,0.0117656,0.0166032,0.0472337,0.0166706,0.0151095,0.0149703,0.0183042,0.0293068,0.011964,0.0116076,0.0067633,0.0175381,0.0169586,0.0109888,0.0131634,0.0105307,0,0,0.035721,0,0.0194966,0.0211282,0.0609544,0.0118292,0.0167269,0.0107896,0.0175721,0.0146111,0.00776158,0.0527708,0.00938509,0.00870997,0.00818748,0.0136026,0.00790539,0.00624484,0.0198768,0.0182562,0.0131226,0.00789403,0.0224223,0.0067374,0,0,0,0,0,0,0,0,0.0233684
102,0.0181591,0.028614,0.0122185,0.0195168,0.00477748,0,0,0.0143551,0,0.0230145,0.0113933,0.044177,0.0180287,0.019937,0.0189626,0.0209414,0.0168183,0.00749791,0.0115727,0.0166721,0.046774,0.016278,0.0146831,0.0146328,0.0179593,0.0301153,0.0121336,0.0116291,0.00688411,0.0137286,0.0168458,0.0100903,0.0133455,0.0110508,0,0,0.0362268,0,0.0196899,0.0214372,0.0607848,0.00971347,0.0167588,0.0128021,0.0175234,0.0150519,0.0101354,0.0525515,0.0115875,0.0121064,0.0117145,0.0125986,0.00892828,0.010782,0.0124357,0.0187625,0.0132597,0.00791593,0.0228025,0.00711699,0,0,0,0,0,0,0,0,0.0237293
103,0.0188699,0.0293197,0.01198,0.0197851,0.00460184,0,0,0.0145228,0,0.022937,0.0115461,0.0445186,0.0182423,0.019489,0.0188667,0.0211956,0.0172612,0.00757689,0.0110929,0.0165303,0.0462394,0.015848,0.0142375,0.0142919,0.0175418,0.0307237,0.012484,0.0116404,0.00702802,0.0257008,0.0166919,0.0201563,0.0135618,0.0115369,0,0,0.0365246,0,0.0199174,0.0215406,0.0605315,0.02125,0.0170922,0.0147842,0.0174305,0.0154227,0.0135163,0.0524545,0.0148674,0.0161865,0.0164871,0.0118741,0.0138689,0.0163308,0.0255591,0.0193,0.0131458,0.00798868,0.0231493,0.00777323,0,0,0,0,0,0,0,0,0.0239976
104,0.0195494,0.0298225,0.0117795,0.0197673,0.00452447,0,0,0.0148163,0,0.0229036,0.0117212,0.0448323,0.0187133,0.0191395,0.0186642,0.0215942,0.0175551,0.00765715,0.0105353,0.0161991,0.0456791,0.015482,0.0139096,0.0139582,0.0171881,0.0308669,0.0129695,0.011644,0.00721338,0.0458158,0.0165487,0.0368251,0.0138264,0.0120594,0,0,0.0373676,0,0.0200975,0.0220939,0.0601104,0.0392523,0.0175149,0.0167548,0.0175699,0.0161326,0.0173367,0.0527401,0.0187312,0.0204627,0.0222439,0.0163288,0.0231005,0.0235729,0.0457437,0.0199094,0.0138891,0.00824967,0.0238545,0.00796909,0,0,0,0,0,0,0,0,0.0245084
